POA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
POA6063,1169,2344,55,342,207,1007,59,304,967,3886,1293,5535,120,521,171,587,415,1356,704,2461,1994,8000,13,87,44,164,40,150,261,757,363,1157,37,114,50,113,295,654,375,881,743,2043,69,151,3975,12538
POA6064,2605,5238,113,727,349,1764,107,544,1769,7002,2342,10045,249,1069,263,899,803,2617,1308,4583,3654,14622,44,227,109,445,76,280,584,1645,805,2593,106,363,125,302,738,1669,972,2329,1775,4929,191,416,8218,25211
POA6065,5811,11481,219,1233,1008,4603,277,1256,5872,22588,7377,29679,574,2432,818,2830,1724,5535,3113,10798,10489,40482,52,245,193,639,72,256,1060,2729,1386,3865,146,474,255,588,839,1856,1239,2920,2619,6791,196,410,19123,59165
POA6066,1600,3191,65,436,238,1142,73,350,1067,4231,1456,6160,186,809,202,675,627,2049,1015,3537,2473,9689,30,138,55,216,40,143,345,957,463,1454,62,231,80,194,350,796,490,1214,959,2662,83,175,5109,15727
POA6067,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,11,0,0,0,0,0,11,0,11,3,18,0,0,5,21
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,3784,7418,171,951,680,3138,212,986,3914,15151,4970,20230,277,1157,454,1512,869,2755,1600,5428,6574,25654,40,186,183,656,111,394,975,2685,1308,3915,91,290,179,410,541,1187,816,1894,2123,5812,139,298,12623,39183
POA6070,441,868,3,19,57,252,15,70,295,1141,368,1479,24,117,59,194,77,240,163,549,533,2029,0,0,8,30,5,19,28,66,45,117,4,9,13,34,40,93,68,138,110,260,7,22,1091,3177
POA6071,430,838,10,43,41,182,8,36,216,854,278,1115,20,104,66,213,105,328,197,639,470,1753,0,0,9,19,0,5,34,84,44,110,7,20,12,22,55,117,69,154,115,265,11,17,1019,2871
POA6072,115,217,3,15,13,74,3,12,45,177,70,280,11,37,9,18,25,84,36,135,109,419,4,9,0,0,0,0,10,17,12,25,0,0,0,6,10,24,12,29,21,50,0,0,241,689
POA6073,446,889,11,45,31,145,5,32,174,659,220,886,19,86,34,118,83,262,139,463,362,1346,0,3,10,17,6,28,38,101,52,149,3,16,12,26,56,127,76,168,127,322,4,14,936,2565
POA6074,127,256,0,0,18,75,3,25,63,220,83,317,8,38,5,23,34,106,51,164,133,484,0,0,3,14,0,0,9,26,15,48,0,4,4,7,14,32,20,40,36,84,0,5,301,831
POA6076,2826,5601,51,285,336,1520,67,283,1341,5273,1792,7369,191,819,264,910,619,1953,1073,3686,2871,11051,13,53,49,182,28,96,227,605,320,942,27,93,55,131,291,619,378,841,699,1785,55,110,6441,18546
POA6077,244,488,8,27,23,113,6,46,50,212,85,388,18,85,19,65,59,210,100,357,180,749,0,3,0,0,4,7,14,35,16,45,5,4,5,6,19,35,25,49,36,94,3,8,472,1337
POA6078,104,203,3,12,14,68,0,7,43,179,58,266,15,77,13,40,34,101,60,213,119,477,0,0,3,12,6,8,8,23,16,37,0,0,0,4,13,26,12,25,24,66,7,12,255,764
POA6079,8,14,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
POA6081,561,1096,18,80,85,385,12,58,329,1256,439,1780,56,228,52,187,169,516,282,927,726,2707,3,12,3,15,8,23,56,140,69,187,9,17,18,36,61,130,80,192,152,379,5,11,1447,4197
POA6082,396,772,12,49,43,197,8,51,226,854,293,1147,22,95,31,102,95,283,150,477,445,1625,3,31,11,41,4,12,45,132,67,216,6,15,9,20,63,115,75,151,144,375,3,8,982,2775
POA6083,504,985,17,86,39,179,18,61,184,711,258,1041,46,181,49,168,110,334,207,679,465,1719,0,0,6,30,0,3,39,87,43,119,3,18,3,4,34,74,37,93,84,210,7,13,1062,2931
POA6084,1020,1986,31,166,113,523,70,309,547,2150,766,3147,73,275,73,250,258,783,402,1312,1167,4458,3,21,29,92,11,28,132,344,168,490,9,39,20,47,120,245,152,329,318,818,22,48,2531,7311
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0
POA6100,2027,3994,10,29,95,409,13,54,1007,3623,1118,4114,47,201,111,350,168,517,324,1073,1441,5181,0,6,25,80,4,24,163,380,199,483,24,67,57,137,168,349,253,554,451,1039,135,280,4053,10488
POA6101,1896,3732,12,69,128,576,28,110,1206,4388,1376,5143,65,278,142,468,174,542,375,1288,1749,6434,3,39,35,104,18,70,205,482,260,696,24,71,72,153,225,487,316,710,578,1400,132,280,4359,11843
POA6102,1190,2373,6,34,76,331,22,94,651,2424,749,2879,33,146,70,246,107,332,211,724,961,3609,8,44,29,110,11,38,153,417,202,599,13,45,47,109,154,327,214,486,415,1082,140,307,2710,7365
POA6103,1319,2567,11,71,61,285,14,55,625,2277,712,2685,28,133,45,140,103,327,176,602,889,3286,6,9,14,35,11,33,148,359,169,441,12,45,37,73,152,322,200,445,373,884,108,227,2685,6960
POA6104,1609,3156,24,152,99,474,37,179,862,3212,1029,4014,68,263,106,358,228,702,402,1321,1424,5336,7,27,36,126,18,56,220,598,282,808,29,102,52,118,237,532,323,757,604,1568,121,251,3756,10311
POA6105,1527,3012,32,207,145,718,37,168,1075,4089,1290,5178,73,310,131,449,237,754,440,1513,1734,6690,12,71,45,154,23,82,266,672,346,978,24,80,66,150,313,681,401,910,744,1884,125,259,4132,11841
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
POA6107,4135,8262,121,757,490,2380,130,596,3858,14734,4597,18470,232,1025,380,1305,792,2542,1406,4872,6001,23338,34,172,112,408,67,238,559,1567,778,2385,90,301,165,373,662,1455,914,2128,1690,4515,343,716,12168,36840
POA6108,2377,4721,66,386,300,1439,107,503,1508,5931,1972,8259,163,715,243,796,623,1987,1028,3506,2999,11761,23,119,63,229,37,142,372,1002,494,1490,57,180,92,200,452,994,597,1367,1094,2863,124,261,6590,19602
POA6109,1000,1962,66,405,178,862,60,292,865,3391,1159,4948,88,371,86,298,240,765,412,1432,1578,6385,3,29,41,162,25,101,224,615,302,903,23,70,51,109,225,488,297,672,599,1572,59,132,3235,10053
POA6110,3520,7014,128,752,637,3021,195,913,3247,12732,4209,17417,320,1369,393,1320,994,3224,1702,5917,5908,23337,35,158,153,532,96,362,865,2443,1149,3495,89,304,145,324,707,1573,938,2206,2084,5701,184,382,11702,36432
POA6111,2596,5156,44,264,236,1096,99,465,1343,5214,1718,7044,147,611,201,659,571,1785,911,3059,2634,10102,19,107,74,273,42,158,457,1228,600,1772,54,161,99,212,453,952,597,1331,1198,3101,109,229,6540,18582
POA6112,5721,11349,186,1107,921,4287,285,1334,6387,24604,7790,31329,336,1396,541,1839,1200,3784,2076,7020,9865,38353,42,194,206,752,127,493,1388,3817,1768,5262,124,385,226,524,1003,2212,1349,3125,3119,8381,296,628,18997,58711
POA6121,348,680,9,66,39,190,18,88,194,788,265,1135,31,121,40,130,131,422,197,682,461,1811,0,5,6,24,5,8,24,66,34,97,4,14,8,11,33,77,41,101,79,202,9,16,892,2704
POA6122,1785,3500,69,394,270,1305,110,520,2108,8241,2564,10469,126,529,130,446,418,1305,676,2281,3241,12749,14,67,53,211,48,155,453,1274,568,1710,30,97,51,112,206,453,294,658,862,2366,60,119,5940,18736
POA6123,240,473,3,28,19,105,11,54,182,701,222,889,11,47,14,50,38,108,59,202,284,1094,5,6,3,14,8,37,43,127,62,191,3,4,6,13,36,71,42,88,106,280,4,10,624,1858
POA6124,154,299,0,0,15,57,10,29,81,326,102,413,7,23,10,35,29,86,48,148,150,559,0,8,3,19,0,10,15,35,17,68,0,6,5,12,13,28,21,46,41,111,7,10,344,978
POA6125,434,843,17,115,38,186,16,65,172,686,243,1052,29,118,36,115,103,310,167,547,414,1601,0,3,8,17,4,10,36,87,50,118,3,11,3,13,45,88,50,109,98,227,4,13,946,2681
POA6126,40,72,0,3,6,24,0,0,14,46,16,71,0,4,0,0,7,22,5,27,23,97,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,4,3,4,8,12,0,0,69,181
POA6147,1401,2792,32,205,165,777,53,235,990,3794,1234,5015,81,347,159,546,363,1151,596,2047,1833,7058,5,21,48,177,23,67,250,656,323,914,34,108,56,118,322,703,410,933,737,1847,100,219,4078,11919
POA6148,1818,3626,30,168,367,1631,37,157,1300,5092,1734,7039,168,707,343,1225,428,1332,934,3256,2667,10303,7,41,62,210,14,54,206,534,293,829,40,125,110,251,228,476,381,857,670,1686,63,144,5220,15762
POA6149,2105,4191,23,128,308,1377,47,217,1332,5231,1716,6952,172,685,326,1134,558,1751,1057,3575,2770,10528,4,24,56,175,12,43,165,435,236,674,34,100,68,159,256,542,360,800,597,1475,44,91,5510,16286
POA6150,1435,2879,26,143,191,886,20,89,749,2935,990,4055,137,579,218,786,425,1363,789,2724,1775,6771,3,24,33,103,8,44,101,237,142,410,26,80,47,121,139,321,212,523,360,928,47,104,3625,10693
POA6151,2109,4136,17,91,187,842,21,82,961,3580,1188,4597,87,356,252,876,247,763,581,1995,1774,6596,6,13,29,97,11,32,179,409,217,552,23,63,70,164,173,372,270,598,489,1142,116,229,4484,12106
POA6152,2923,5783,34,179,227,1041,14,65,1559,5807,1834,7095,129,534,329,1137,425,1338,881,3009,2717,10102,3,35,48,158,17,48,285,709,357,950,39,105,123,276,320,664,483,1045,840,2000,249,518,6727,18412
POA6153,2462,4876,24,146,322,1439,40,178,1436,5549,1828,7314,149,633,355,1258,503,1575,1009,3459,2836,10778,10,30,58,178,14,40,259,627,337,872,31,96,89,209,252,538,379,846,717,1718,97,210,6110,17584
POA6154,1000,1972,15,80,174,766,31,153,744,2857,963,3857,87,355,160,576,222,690,471,1626,1431,5483,4,11,29,107,5,16,110,283,152,418,21,72,60,142,147,308,231,519,387,936,34,76,2854,8466
POA6155,4241,8482,134,765,1164,5225,196,874,4064,15778,5552,22643,591,2470,986,3495,1476,4731,3049,10697,8607,33339,19,98,177,582,49,174,548,1446,789,2302,122,412,230,573,551,1238,907,2226,1692,4531,173,390,14713,46747
POA6156,1699,3364,24,157,261,1173,30,141,1289,4914,1610,6380,139,592,266,924,329,1061,736,2575,2348,8959,11,25,55,182,24,98,242,601,334,905,48,160,90,200,272,590,414,945,742,1856,75,156,4863,14330
POA6157,1535,3008,9,63,160,706,26,100,978,3694,1169,4565,94,383,182,641,214,670,494,1704,1668,6263,5,31,51,151,15,49,191,430,260,660,25,65,93,207,215,440,330,721,589,1378,69,133,3859,10790
POA6158,812,1603,10,59,122,551,9,40,505,1949,647,2602,51,223,142,474,146,458,342,1155,987,3753,3,10,29,80,4,12,86,223,126,330,13,24,45,94,79,171,132,294,259,622,19,40,2075,6022
POA6159,574,1110,0,3,30,142,4,20,193,685,232,856,26,85,36,126,55,163,115,376,347,1230,0,8,12,47,0,8,33,84,53,142,5,16,19,40,40,78,59,141,116,279,8,17,1040,2641
POA6160,1119,2192,0,12,54,244,7,31,399,1448,463,1737,30,142,76,252,106,312,212,707,681,2442,0,6,22,69,5,13,119,268,143,356,11,27,54,100,120,249,180,380,331,737,32,70,2164,5438
POA6161,16,35,0,0,0,0,0,0,3,20,3,20,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,59
POA6162,1319,2586,16,75,113,519,19,84,775,2844,921,3527,66,259,122,419,202,614,387,1288,1306,4816,4,16,19,53,16,60,194,456,233,582,16,40,60,138,212,431,283,610,522,1191,47,102,3195,8690
POA6163,6193,12200,67,366,452,2020,133,563,3169,11738,3822,14688,307,1275,517,1731,1202,3838,2026,6843,5850,21530,22,97,179,601,87,307,937,2313,1228,3323,130,387,253,551,1057,2293,1436,3232,2663,6548,265,570,14976,40849
POA6164,5919,11691,144,777,872,3883,232,1025,5768,21776,7016,27460,471,1972,743,2533,1409,4573,2621,9071,9638,36526,26,127,193,626,99,351,1126,2885,1447,3993,154,483,235,528,794,1773,1184,2780,2631,6778,253,525,18447,55524
POA6165,13,23,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,8,5,8,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,35
