POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA6012,3447,3911,7352,1484,878,2364,636,1175,1809,87,110,200,106,108,217,2319,2279,4591,970,1458,2423,4.7,4.8,4.7,67.2,58.2,62.4,64.1,55.4,59.5,494,485,975,109,204,310,1062,1173,2238,279,369,649,326,200,521,16,29,40,26,71,100,365,297,662,3254,3675,6933,693,827,1512,2083,2342,4423,1691,1987,3675
POA6014,8145,9061,17212,4055,2444,6500,1489,2956,4440,207,279,489,234,244,481,5988,5920,11905,1997,2952,4950,4,4.1,4,73.5,65.3,69.2,70.5,62.7,66.4,1324,1178,2496,273,516,790,2634,3020,5658,722,902,1622,811,495,1303,50,67,115,73,181,256,936,736,1677,8637,9203,17843,1467,1634,3102,5474,5808,11277,4119,4558,8676
POA6015,2609,2796,5407,1156,567,1725,476,838,1316,49,77,127,73,63,133,1752,1545,3294,814,1189,2008,4.1,3.9,4,67.1,55.3,61,64.3,53.1,58.5,437,301,735,88,156,241,894,890,1776,185,304,483,187,95,284,12,22,36,30,56,82,226,169,399,2770,2887,5654,390,401,789,1949,2050,4000,1134,1161,2295
POA6016,4001,4396,8396,2185,1388,3573,732,1545,2273,93,146,243,106,100,209,3121,3180,6301,742,1093,1836,3.5,3.1,3.3,78,72.4,75,75.3,70.1,72.6,494,505,999,155,239,396,1135,1346,2480,383,469,855,518,292,817,30,44,78,39,91,135,593,432,1026,4276,4495,8779,664,734,1400,2570,2793,5363,2047,2175,4219
POA6017,1923,1965,3887,885,668,1558,371,555,931,69,66,141,69,62,128,1394,1362,2753,385,483,868,4.8,4.5,4.6,72.6,69.1,70.8,69.1,66,67.5,186,193,384,38,72,109,430,497,924,197,216,410,293,187,482,16,23,45,20,41,63,332,251,584,1632,1667,3302,350,398,742,757,783,1540,1140,1185,2323
POA6018,15412,18091,33497,7999,5111,13107,2180,5216,7400,390,595,989,434,397,824,11009,11307,22322,3858,6112,9966,3.9,3.5,3.7,71.5,62.5,66.6,68.7,60.3,64.2,1384,1442,2819,490,862,1352,3895,5010,8901,1556,1918,3472,2621,1357,3980,123,190,310,202,413,612,2944,1960,4905,15748,17817,33567,2723,3105,5834,9907,11242,21146,7523,8623,16150
POA6019,9302,10197,19505,4848,3428,8275,1419,3055,4476,340,402,745,281,242,527,6893,7132,14027,2025,2677,4701,4.1,3.4,3.8,74.1,69.9,71.9,71,67.5,69.2,893,920,1816,275,530,803,2433,3148,5582,898,1173,2071,1624,805,2427,84,103,187,110,208,314,1813,1115,2928,8852,9211,18060,1981,2220,4199,5139,5381,10516,5090,5555,10645
POA6020,8450,9092,17536,3973,2092,6061,1388,2987,4372,218,307,529,226,192,421,5806,5576,11381,2482,3349,5835,3.9,3.4,3.7,68.7,61.3,64.9,66,59.2,62.5,711,582,1296,254,455,706,2118,2409,4518,906,1025,1932,1606,698,2302,61,102,161,104,267,372,1769,1061,2833,9175,9743,18916,1103,1161,2266,6512,6843,13356,3269,3559,6831
POA6021,8234,9117,17352,4020,2435,6455,1188,2529,3717,215,267,487,261,229,490,5687,5459,11146,2251,3332,5584,4.6,4.2,4.4,69,59.9,64.2,65.9,57.4,61.4,531,500,1030,148,258,405,1524,1860,3388,784,879,1663,1661,851,2514,83,117,194,98,196,295,1840,1164,3003,8330,9146,17477,1165,1209,2374,5750,6401,12153,3238,3483,6724
POA6022,1976,2088,4068,954,560,1512,267,598,869,64,84,150,65,56,119,1356,1296,2653,569,747,1318,4.9,4.1,4.5,68.4,62,65.2,65.1,59.5,62.2,84,86,169,48,83,128,328,467,797,221,277,496,553,232,785,11,34,50,25,41,63,591,314,901,2194,2259,4453,227,244,470,1576,1634,3214,671,727,1394
POA6023,5810,6334,12139,2874,1503,4377,858,2129,2985,153,225,382,203,149,351,4090,3999,8095,1629,2212,3840,4.9,3.7,4.3,70.5,63.2,66.7,67,60.9,63.8,468,410,883,166,328,494,1292,1577,2868,637,761,1399,1227,580,1804,65,82,150,64,165,229,1356,821,2183,6665,6961,13626,764,793,1558,4890,5085,9974,2172,2325,4496
POA6024,5195,5540,10736,2483,1451,3932,749,1676,2425,163,213,379,208,145,355,3606,3484,7087,1454,1921,3373,5.8,4.1,5,69.4,62.8,66,65.4,60.2,62.7,217,258,478,85,245,334,804,1137,1945,529,577,1106,1415,658,2073,63,87,149,74,169,251,1554,921,2473,5566,5800,11363,683,740,1419,4086,4165,8250,1794,2032,3823
POA6025,11899,12779,24679,6017,3382,9395,1747,4085,5830,365,469,832,413,335,747,8535,8265,16804,3085,4243,7331,4.8,4.1,4.4,71.7,64.7,68.1,68.3,62.1,65.1,673,627,1296,244,546,791,2031,2907,4941,1217,1542,2760,3171,1421,4594,109,174,283,166,331,494,3449,1928,5376,12827,13361,26190,1673,1813,3492,9013,9310,18325,4672,5072,9743
POA6026,8564,9548,18108,4184,2351,6536,1344,3080,4426,247,304,552,265,216,480,6043,5956,11995,2399,3448,5848,4.4,3.7,4,70.5,62.4,66.2,67.5,60.1,63.6,428,383,816,198,360,559,1424,1897,3322,951,1109,2062,2241,1068,3313,88,137,220,106,280,388,2431,1485,3920,9475,10233,19707,957,1060,2020,7089,7544,14633,2860,3241,6106
POA6027,16881,17624,34500,8354,4559,12910,2435,5618,8052,544,687,1232,639,484,1125,11972,11339,23314,4162,5554,9714,5.3,4.3,4.8,70.9,64.4,67.6,67.1,61.6,64.3,821,760,1580,290,619,905,2365,3393,5763,1656,2175,3824,4697,2204,6897,204,290,496,272,459,728,5174,2954,8122,16948,17363,34311,2783,2882,5667,11712,12166,23875,7004,7160,14169
POA6028,8924,9555,18478,4922,2696,7622,1366,3305,4665,304,338,645,312,298,613,6903,6641,13549,1865,2724,4589,4.5,4.5,4.5,77.4,69.5,73.3,73.9,66.4,70,464,394,863,187,300,482,1414,1970,3379,959,1224,2184,2411,1137,3550,101,168,266,133,262,394,2644,1572,4212,9523,9915,19438,1358,1441,2800,6750,7033,13786,3642,3839,7486
POA6029,1061,1167,2231,495,257,750,193,406,604,40,38,72,30,20,53,759,723,1481,264,414,678,4.2,3,3.6,71.6,61.8,66.5,68.6,59.9,64.1,92,99,189,31,63,93,292,334,625,110,136,244,172,66,239,4,14,18,15,32,51,191,111,304,1083,1210,2286,182,186,367,785,876,1661,406,458,867
POA6030,14907,16557,31460,7242,4274,11513,2152,4840,6996,609,603,1212,675,650,1328,10678,10374,21052,3632,5528,9160,6.3,6.3,6.3,71.6,62.7,66.9,67.1,58.7,62.7,444,479,920,169,376,547,1443,2392,3832,1365,2068,3430,4253,2406,6654,247,375,620,228,401,628,4726,3184,7909,15600,16542,32139,2506,2783,5292,10356,10893,21247,6712,7417,14133
POA6031,6395,7117,13513,3658,2159,5812,915,2401,3314,283,333,615,256,265,523,5113,5158,10272,1098,1773,2879,5.1,5.1,5.1,79.9,72.5,76,75.9,68.8,72.1,185,203,391,70,171,246,650,1194,1845,557,903,1465,1897,1195,3088,96,164,265,104,181,284,2093,1543,3634,7262,7935,15195,1104,1189,2292,4830,5175,10010,2933,3265,6205
POA6032,86,77,162,36,18,51,20,33,50,7,5,13,4,3,7,64,57,116,14,18,26,3.2,5.5,4.2,75.9,71.4,73.8,73.5,67.5,70.6,3,3,5,0,4,5,9,3,15,7,7,19,28,9,37,3,0,3,4,0,3,29,17,43,73,72,141,18,15,29,59,56,117,20,28,50
POA6033,183,170,353,87,45,132,30,60,90,7,7,14,0,0,7,134,112,244,40,48,89,2.3,1.8,2,70.8,67.1,69,69.2,65.9,67.6,6,4,10,5,4,0,18,26,46,5,14,23,49,15,62,7,0,7,0,4,5,60,25,80,192,173,367,16,20,35,152,125,276,49,65,118
POA6034,1148,1379,2534,690,428,1117,125,405,532,55,101,158,47,50,99,920,984,1910,173,341,509,5.3,5.5,5.4,80.3,71.4,75.5,76,67.5,71.4,21,22,44,7,33,36,90,219,313,114,206,325,384,255,634,20,33,49,17,37,51,420,320,740,1248,1420,2670,309,344,649,501,529,1030,870,1073,1939
POA6035,3662,4148,7813,1706,922,2630,413,1150,1558,196,156,344,160,189,356,2473,2415,4887,1001,1498,2496,6.6,7.9,7.2,67.5,58.3,62.6,63.1,53.7,58.1,61,78,142,29,102,132,214,458,674,295,496,792,1244,725,1968,66,109,175,59,105,167,1364,946,2307,4072,4368,8444,688,808,1500,2413,2474,4893,1960,2309,4271
POA6036,5990,6966,12959,3182,1955,5140,869,2202,3068,274,257,530,276,332,607,4599,4744,9346,1195,2011,3211,6,7,6.5,76.8,68.1,72.1,72.2,63.3,67.4,169,182,351,61,164,225,545,961,1505,533,889,1419,1742,1141,2889,110,160,264,82,175,252,1934,1472,3407,6569,7105,13677,1157,1387,2536,3996,4151,8139,3183,3817,7001
POA6037,1360,1393,2752,549,279,828,156,369,528,65,53,121,57,60,120,830,768,1595,430,534,966,7.2,7.8,7.5,61.3,55,58.1,56.8,50.7,53.7,12,18,26,11,30,39,54,162,211,91,169,265,473,226,693,24,35,57,20,29,49,513,290,802,1412,1408,2826,269,276,541,856,826,1679,709,766,1477
POA6038,3272,3871,7145,1984,1212,3202,423,1232,1653,135,171,313,152,167,315,2703,2784,5485,480,985,1464,5.7,6,5.8,82.5,71.9,76.8,77.8,67.6,72.3,116,121,240,47,111,156,394,667,1058,347,524,866,1019,670,1687,51,83,137,49,94,136,1117,846,1966,3580,4011,7590,802,996,1805,1624,1756,3382,2346,2837,5187
POA6041,633,647,1278,194,110,300,57,159,217,53,23,75,17,14,35,320,299,626,281,300,579,5.6,4.6,5.1,50.6,46.7,48.6,47.7,44.6,46.1,5,9,15,3,15,17,18,52,69,19,63,85,218,85,300,10,14,21,5,14,22,230,111,345,587,578,1161,101,134,232,458,437,899,207,235,440
POA6042,53,39,97,7,3,11,10,4,9,0,0,0,3,4,10,19,8,31,20,17,39,20,20,20,37,24.4,31.6,29.6,19.5,25.3,0,0,5,0,0,0,7,4,4,7,3,8,7,5,14,0,0,0,0,0,0,7,4,14,40,28,62,8,10,17,20,18,44,19,15,32
POA6043,111,98,212,27,15,45,9,18,31,7,3,15,4,0,4,56,39,92,50,54,107,11.1,0,6.4,47,40.4,43.9,41.7,40.4,41.1,5,0,6,0,0,0,4,9,14,9,4,11,43,3,50,0,0,0,4,0,6,48,11,54,93,93,183,17,10,26,71,76,149,37,27,61
POA6044,573,543,1117,174,110,283,63,127,192,36,22,58,17,8,19,288,266,556,234,237,472,5.5,1.9,3.8,50.5,49.1,49.8,47.7,48.2,47.9,11,16,26,5,10,15,37,67,102,42,53,92,164,43,209,0,7,11,11,11,25,181,58,238,459,424,884,105,134,237,328,306,636,214,235,448
POA6050,6333,6991,13318,2977,2021,4996,1134,1956,3094,144,208,354,170,178,356,4424,4369,8790,1619,2328,3943,3.9,4.1,4,69.8,62.5,66,67.1,59.9,63.3,699,651,1346,191,352,539,1857,2036,3893,542,729,1272,794,432,1227,35,103,137,64,133,195,899,664,1563,5922,6372,12290,1155,1320,2479,3882,4154,8039,2889,3253,6141
POA6051,5533,5530,11060,2838,2050,4889,894,1518,2413,157,180,332,215,200,416,4110,3946,8048,1121,1352,2481,5.3,5.1,5.2,74.2,71.3,72.8,70.3,67.7,69,490,574,1063,148,254,401,1403,1621,3023,577,605,1185,879,568,1449,79,86,163,71,108,176,1027,760,1783,4814,4694,9505,1198,1305,2502,2583,2479,5069,3145,3247,6388
POA6052,4386,4889,9277,2266,1493,3762,691,1451,2141,119,175,292,135,124,257,3212,3240,6447,1012,1492,2506,4.2,3.8,4,73.2,66.3,69.5,70.1,63.7,66.7,362,407,772,129,262,393,1063,1297,2355,454,507,961,712,405,1122,27,54,83,41,97,136,781,565,1343,4468,4800,9271,733,798,1535,2951,3174,6127,1988,2147,4126
POA6053,5892,6408,12304,2978,2040,5016,925,1782,2707,192,246,441,178,175,354,4277,4243,8517,1411,1962,3374,4.3,4.1,4.2,72.5,66.2,69.2,69.4,63.4,66.3,395,518,915,198,317,512,1277,1591,2869,574,663,1242,1105,586,1690,43,95,144,66,127,195,1223,816,2034,5993,6355,12347,886,997,1886,3956,4225,8181,2486,2749,5241
POA6054,8069,8749,16819,3703,2444,6143,1207,2277,3483,222,288,511,322,294,616,5456,5302,10756,2192,3061,5253,5.9,5.5,5.7,67.6,60.6,64,63.6,57.3,60.3,355,407,759,155,323,473,1092,1615,2704,657,849,1505,1945,1062,3007,123,155,284,94,207,303,2167,1426,3595,8225,8711,16939,1187,1222,2412,5637,5975,11616,3215,3459,6673
POA6055,11583,12393,23980,6754,3925,10679,1613,3587,5194,429,539,965,334,375,711,9127,8417,17545,2123,3646,5772,3.7,4.4,4,78.8,67.9,73.2,75.9,64.9,70.2,546,665,1213,183,352,536,1697,2548,4251,1185,1399,2589,3048,1746,4791,168,209,376,160,288,444,3372,2237,5612,12669,12871,25546,2203,2302,4502,6782,6845,13628,6670,7068,13737
POA6056,16408,17448,33854,7378,4281,11656,2013,4482,6498,569,600,1170,660,572,1236,10620,9939,20558,4569,6304,10875,6.2,5.8,6,64.7,56.9,60.7,60.7,53.7,57.1,369,474,841,185,387,571,1318,2060,3375,1170,1793,2968,4464,2493,6960,280,393,666,221,442,667,4967,3325,8292,15895,16456,32349,2540,2827,5370,10706,10995,21706,6714,7323,14043
POA6057,6260,6786,13045,3270,1854,5124,806,1882,2682,244,270,512,213,204,416,4529,4204,8735,1530,2336,3867,4.7,4.8,4.8,72.4,62,67,69,59,63.8,115,130,242,64,145,210,483,839,1319,442,722,1161,1990,1043,3031,96,147,239,98,184,281,2178,1377,3553,6587,6837,13425,959,1056,2017,4802,5014,9820,2303,2523,4825
POA6058,5086,5376,10466,2550,1415,3962,581,1348,1929,188,193,381,204,174,379,3528,3125,6649,1317,1991,3304,5.8,5.5,5.7,69.3,58.1,63.6,65.3,54.9,59.9,115,107,221,35,95,131,403,663,1065,370,546,917,1582,872,2456,91,131,220,74,128,206,1749,1131,2882,5231,5387,10616,743,792,1531,3580,3660,7237,2024,2173,4192
POA6059,9551,10524,20074,4389,2708,7100,1541,2827,4371,248,309,558,329,266,599,6505,6119,12627,2720,4072,6795,5.1,4.4,4.7,68.2,58.1,62.9,64.7,55.6,59.9,576,606,1186,214,337,546,1881,2278,4157,969,1059,2026,1757,860,2613,77,157,239,128,255,380,1961,1275,3231,9594,10405,20007,1397,1410,2806,6680,7389,14071,3781,3958,7736
POA6060,10002,11359,21362,5155,3774,8920,1606,3040,4646,282,397,675,360,309,670,7403,7516,14921,2175,3410,5585,4.9,4.1,4.5,74,66.2,69.8,70.4,63.5,66.7,861,990,1854,249,470,720,2321,2881,5197,1041,1244,2282,1796,1024,2814,90,172,257,113,220,336,2005,1412,3419,9126,10273,19399,1985,2196,4182,5035,5780,10815,5466,6109,11573
POA6061,16078,16833,32911,6821,4232,11051,2735,4106,6841,549,593,1138,722,768,1488,10827,9697,20524,4117,6001,10117,6.7,7.9,7.3,67.3,57.6,62.4,62.8,53.1,57.8,809,789,1594,174,370,545,2149,2738,4886,1501,1719,3216,2857,1961,4821,246,300,548,223,350,570,3321,2610,5932,15814,16169,31983,2760,2850,5610,9077,9402,18481,8141,8387,16526
POA6062,13720,14290,28010,6217,3678,9892,2088,3749,5831,409,478,885,557,493,1051,9266,8399,17664,3965,5423,9388,6.1,5.9,6,67.5,58.8,63.1,63.5,55.3,59.3,614,697,1308,187,352,536,2108,2502,4606,1284,1447,2728,3016,1516,4527,169,236,407,177,371,546,3359,2126,5488,13864,14216,28080,2002,1984,3994,9350,9635,18986,5672,5779,11445
POA6063,5719,5871,11593,2671,1518,4189,861,1523,2380,209,185,388,289,253,542,4026,3473,7500,1471,2160,3633,7.2,7.3,7.2,70.4,59.2,64.7,65.3,54.9,60,135,169,307,50,102,148,554,756,1314,455,523,981,1354,784,2135,107,112,218,72,131,209,1527,1031,2562,6299,6234,12534,752,768,1522,4553,4469,9021,2080,2159,4245
POA6064,12173,12556,24722,5085,2746,7830,1854,3168,5029,383,391,776,656,548,1208,7976,6856,14835,3575,5018,8595,8.2,8,8.1,65.6,54.6,60,60.2,50.2,55.1,251,276,526,79,215,294,1004,1373,2375,790,1115,1905,2784,1527,4313,226,293,519,165,302,464,3170,2127,5290,12917,13142,26065,1457,1422,2879,9362,9455,18815,4207,4283,8486
POA6065,24549,26847,51394,13464,7663,21130,3483,8472,11962,898,974,1874,826,859,1681,18679,17964,36644,5238,8173,13411,4.4,4.8,4.6,76.1,66.9,71.3,72.7,63.7,68,954,995,1947,297,683,978,3199,4850,8044,2315,3144,5460,6535,3592,10124,296,526,821,346,691,1039,7188,4802,11993,27810,29423,57242,3412,3743,7154,19016,19960,38974,10132,11254,21381
POA6066,7138,7411,14552,3392,1866,5256,1101,2145,3243,240,241,484,320,287,600,5052,4532,9586,1865,2633,4498,6.3,6.2,6.3,70.8,61.2,65.9,66.3,57.3,61.7,177,185,356,68,113,177,698,941,1635,509,709,1218,1837,1008,2842,118,146,256,110,201,309,2057,1352,3408,7843,8048,15891,728,752,1481,6019,6063,12082,2099,2273,4376
POA6067,28,39,65,0,0,0,0,0,0,0,0,4,3,0,3,3,0,6,22,34,54,50,0,33.3,13.8,5.3,9,6.9,5.3,6,0,0,0,0,0,0,3,0,5,0,3,5,10,8,19,0,0,0,0,3,3,10,14,18,22,32,51,16,19,33,15,18,34,14,21,36
POA6068,11,0,10,3,0,4,3,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,57.1,100,62.5,57.1,100,62.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,5,0,3,0,0,0
POA6069,15650,17659,33311,8776,5383,14158,2017,5196,7215,663,681,1351,608,635,1245,12073,11899,23972,3060,5190,8244,5.1,5.3,5.2,77.1,67.4,72,73.2,63.8,68.2,454,534,989,166,408,571,1469,2480,3952,1494,2075,3567,4528,2969,7493,282,408,689,224,432,656,5031,3812,8843,17856,19081,36937,2799,3185,5984,11257,11939,23199,7752,8847,16594
POA6070,1374,1467,2842,632,361,986,232,489,726,53,48,101,41,34,79,961,929,1892,383,507,883,4.4,4,4.2,70.1,63.4,66.6,67,60.8,63.8,122,115,238,48,92,139,299,403,707,151,185,330,267,129,398,17,18,32,18,40,54,291,190,486,1534,1577,3114,168,203,367,1146,1176,2324,484,524,1011
POA6071,1286,1416,2699,595,347,946,202,476,680,60,46,102,37,36,77,896,908,1799,359,467,825,4.4,4.1,4.2,69.7,64.1,66.7,66.6,61.5,63.9,80,94,178,44,57,103,198,310,514,134,195,325,344,157,500,14,22,40,24,31,53,381,214,593,1402,1464,2866,137,167,299,1101,1171,2270,363,401,764
