POA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
POA6067,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,8,33,7,0,65
POA6068,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
POA6069,693,1218,549,318,963,132,15,3898,340,633,383,311,747,78,17,2509,157,255,194,174,496,52,3,1332,45,53,28,19,266,18,4,441,7212,9201,3683,3080,8827,1305,57,33373
POA6070,100,205,92,47,44,24,0,504,43,127,114,79,53,11,0,426,36,68,45,40,34,7,0,237,10,7,10,3,24,0,0,51,633,925,510,346,351,78,0,2844
POA6071,81,219,91,43,52,7,0,501,42,126,89,79,64,8,0,426,19,71,27,42,45,3,0,201,10,10,7,3,29,3,0,56,567,900,448,304,395,82,0,2704
POA6072,18,50,20,14,19,0,0,132,7,24,16,23,21,0,0,95,5,11,11,6,7,0,0,43,5,0,0,3,4,0,0,14,142,194,96,82,131,20,0,662
POA6073,73,164,82,59,66,8,0,456,48,108,94,81,77,17,0,423,37,49,56,35,97,11,0,290,12,21,9,8,62,13,0,136,486,740,406,340,514,95,0,2586
POA6074,26,52,23,21,19,4,0,143,28,37,24,25,19,3,0,141,6,20,4,14,14,0,0,58,3,9,0,5,0,0,0,17,168,248,106,100,139,23,0,785
POA6076,526,1075,472,288,411,71,0,2848,320,829,659,440,476,95,0,2818,209,444,329,309,469,109,4,1874,103,127,55,52,260,69,0,667,3796,5501,2679,1917,3202,588,21,17692
POA6077,43,88,47,30,65,5,0,285,35,74,55,38,72,8,0,282,29,45,23,29,54,11,0,186,9,6,0,0,16,0,0,35,244,381,183,147,399,44,5,1399
POA6078,14,48,23,23,25,10,3,151,10,37,23,16,32,3,0,130,0,11,10,6,15,0,0,43,0,0,0,0,5,0,0,5,141,193,114,82,188,40,4,757
POA6079,0,0,0,0,0,0,0,6,3,0,0,4,4,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,7,3,7,11,0,0,31
POA6081,94,277,148,83,111,14,5,725,55,127,109,73,124,12,0,501,30,67,35,37,50,5,0,225,9,13,3,0,21,3,0,53,825,1190,600,420,681,97,6,3824
POA6082,74,155,81,57,96,16,5,484,30,83,53,78,69,23,0,337,14,30,22,35,40,10,0,156,3,7,5,5,16,0,0,30,480,765,359,338,508,140,5,2597
POA6083,78,217,104,96,93,26,0,615,37,100,86,67,71,21,0,387,19,43,36,27,48,9,0,176,10,4,0,11,16,4,0,43,530,866,423,380,495,137,0,2829
POA6084,202,395,223,149,187,71,5,1223,96,186,178,141,174,46,0,816,34,63,48,49,107,24,0,322,5,11,3,0,37,8,0,67,1451,1887,993,779,1367,452,58,6987
POA6090,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,3,5,0,22
POA6100,388,569,226,139,373,161,7,1858,186,365,199,125,314,95,4,1293,70,105,59,49,180,49,7,511,31,31,20,5,75,14,0,179,3405,4079,1371,816,3192,1136,54,14054
POA6101,296,583,204,116,361,92,6,1657,175,328,177,108,371,80,3,1238,64,117,69,52,206,53,3,563,42,38,17,8,97,33,0,234,3268,4401,1419,875,3404,887,33,14282
POA6102,165,233,108,64,298,65,6,934,104,199,96,78,261,90,8,839,91,138,83,66,291,191,5,864,59,52,22,17,269,312,0,737,2563,2547,868,612,4187,1422,50,12243
POA6103,227,322,104,70,324,78,18,1140,110,183,98,51,253,45,3,759,41,74,32,24,172,29,4,387,20,32,10,3,55,13,0,129,2141,2462,778,531,2728,659,55,9353
POA6104,315,513,198,148,471,122,12,1777,158,337,187,134,422,78,7,1325,84,120,85,65,290,74,0,719,33,42,15,9,219,99,0,417,2573,3151,1136,913,3941,1117,69,12905
POA6105,290,402,175,134,446,86,5,1545,141,279,178,126,360,57,5,1147,99,140,87,67,267,38,3,701,41,60,31,26,147,20,0,322,2589,3211,1221,967,4127,829,36,12969
POA6106,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,12,7,0,24
POA6107,655,1164,508,356,1213,216,35,4148,346,676,429,343,972,128,27,2920,178,322,192,151,583,98,5,1530,65,85,41,26,327,26,0,570,7126,8822,3461,2976,13324,2375,133,38222
POA6108,457,797,377,310,717,85,10,2746,296,580,400,321,713,72,13,2398,140,250,186,168,414,39,6,1209,48,58,37,20,142,27,0,335,3715,4688,2092,1770,5602,797,42,18717
POA6109,193,340,139,114,416,88,10,1302,122,242,161,126,342,61,5,1056,62,123,61,67,215,48,0,578,30,25,17,14,84,33,0,213,1748,2208,933,886,3686,788,30,10272
POA6110,747,1255,579,383,1228,159,20,4376,451,791,494,404,1027,191,26,3390,213,333,214,197,714,172,9,1845,58,84,39,35,382,197,8,800,6609,8284,3560,3022,10739,1926,97,34246
POA6111,485,973,446,295,659,137,7,3007,325,679,462,388,677,97,7,2634,143,231,180,189,394,82,3,1221,41,48,30,19,167,71,0,374,3816,5074,2291,1936,4523,1048,32,18718
POA6112,1074,1801,764,542,1564,275,41,6063,512,980,651,567,1341,198,50,4297,225,410,275,222,767,168,16,2077,78,79,42,36,318,100,0,650,10132,13612,5756,4979,14401,2662,145,51690
POA6121,84,155,85,65,102,16,0,504,29,64,55,57,91,11,0,308,9,31,14,15,36,3,0,117,3,3,0,9,9,7,0,23,487,697,320,294,557,87,3,2444
POA6122,320,537,262,173,391,52,5,1742,125,289,195,163,300,39,9,1112,49,78,72,55,190,21,0,463,10,17,4,8,85,15,0,141,3149,4212,1711,1638,3815,498,24,15047
POA6123,37,71,24,35,40,17,0,229,24,34,26,21,38,12,0,157,8,10,3,16,14,0,0,52,0,3,5,4,9,0,0,21,298,463,187,210,361,92,0,1619
POA6124,29,63,22,32,38,11,0,188,11,17,27,13,19,3,0,93,9,7,23,11,15,3,0,66,0,0,0,4,5,0,0,18,170,257,133,128,171,49,0,908
POA6125,67,131,89,72,101,65,0,523,45,73,61,61,74,52,0,366,12,32,31,36,78,27,3,214,9,6,4,4,20,7,0,50,524,682,357,330,534,516,4,2949
POA6126,9,14,12,5,6,6,0,52,7,12,3,7,10,6,0,41,0,7,0,4,5,0,0,19,0,3,0,0,0,0,0,3,49,65,27,21,35,21,0,228
POA6147,289,492,225,191,459,53,3,1713,218,378,256,193,422,41,5,1515,111,153,105,90,268,38,4,770,33,44,17,16,95,11,0,211,2429,2945,1299,1121,3657,561,46,12054
POA6148,398,707,368,199,380,62,14,2121,237,561,366,276,437,61,17,1955,170,285,214,176,367,94,0,1307,59,99,45,48,237,90,3,578,3288,4179,2009,1466,3592,517,55,15114
POA6149,423,938,404,239,285,31,8,2331,304,773,559,364,498,51,10,2567,156,269,179,137,358,59,0,1157,59,86,34,26,237,59,0,505,3311,4604,2240,1446,3102,333,25,15064
POA6150,247,579,275,183,272,132,12,1696,201,447,338,236,376,176,12,1782,116,226,147,119,308,193,0,1116,56,68,47,24,207,201,0,604,2449,2942,1421,1028,2643,1240,35,11760
POA6151,443,836,297,166,329,91,19,2166,312,623,343,184,367,97,10,1938,136,219,157,85,254,72,4,919,36,49,25,22,104,58,0,293,3663,4492,1711,978,2889,718,82,14535
POA6152,529,1023,421,255,536,96,5,2863,356,803,451,294,656,113,14,2685,189,312,209,153,546,137,0,1553,78,124,54,40,459,194,0,942,5206,6545,2371,1590,5150,1094,75,22024
POA6153,522,983,456,236,413,85,16,2714,352,796,451,318,459,47,15,2440,169,334,263,167,324,32,6,1293,71,110,69,42,202,18,0,514,4132,5247,2351,1626,3399,530,89,17378
POA6154,220,457,197,96,171,18,3,1165,123,278,183,134,216,28,5,970,84,171,104,94,279,35,5,765,60,85,45,15,314,45,0,567,1974,2508,1092,730,1934,220,25,8481
POA6155,1021,1896,953,638,1174,138,51,5873,598,1209,812,665,1088,73,42,4492,227,415,281,230,667,68,15,1900,66,99,47,24,378,29,11,652,8993,10866,5038,4023,10748,2292,172,42140
POA6156,429,753,335,160,328,72,4,2088,229,456,243,181,336,68,0,1506,114,258,150,140,319,87,0,1067,80,94,46,42,269,101,0,638,3438,4354,1788,1249,2873,656,27,14396
POA6157,349,643,257,121,287,43,3,1698,191,442,251,173,353,57,7,1465,111,194,134,89,269,71,4,864,62,54,55,17,201,39,0,433,2779,3701,1453,924,2259,436,28,11586
POA6158,227,418,174,80,122,26,9,1053,100,297,151,96,149,25,0,817,61,108,67,46,151,32,0,468,23,30,7,14,141,41,0,259,1515,2006,823,509,1131,251,34,6275
POA6159,164,249,66,32,74,19,0,601,82,177,96,47,88,19,6,512,40,88,50,34,77,9,0,300,9,6,0,5,87,4,0,111,849,1104,367,224,600,141,15,3299
POA6160,265,464,151,75,211,155,16,1347,154,339,166,84,226,94,3,1073,68,142,56,41,151,69,0,532,29,30,11,10,79,42,0,203,2043,2604,831,456,1633,1036,107,8702
POA6161,18,36,5,9,4,6,0,81,12,21,17,6,6,12,0,60,0,10,4,3,10,4,0,35,4,0,0,0,0,0,0,3,84,110,39,31,79,47,4,391
POA6162,320,640,242,118,258,63,5,1644,176,401,238,134,308,63,7,1322,82,169,88,69,226,30,3,667,34,52,24,25,177,15,0,318,2283,3131,1283,783,1830,456,48,9816
POA6163,1289,2336,921,597,1442,238,13,6836,743,1466,906,671,1554,243,15,5602,366,669,476,374,1138,296,0,3328,158,214,99,90,561,323,0,1451,9743,12829,5168,3769,10972,2424,82,44993
POA6164,1072,1861,819,527,1443,152,34,5917,496,985,583,444,1161,131,35,3834,198,356,188,149,598,125,3,1613,71,68,40,22,290,74,0,565,11249,14274,5614,4321,12684,1687,121,49952
POA6165,0,0,0,0,0,3,0,9,4,0,0,0,5,0,0,4,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,13,8,3,6,25,14,0,69
POA6166,275,468,211,122,320,73,0,1463,147,314,191,150,304,63,3,1180,70,116,84,76,209,54,0,610,21,35,15,18,75,18,0,181,1827,2366,1039,797,2186,438,14,8671
POA6167,437,769,358,271,754,180,7,2773,229,424,283,270,650,125,14,1991,112,174,122,115,459,61,0,1038,36,50,23,22,200,27,0,366,3879,5234,2213,2029,6232,2377,39,22000
POA6168,518,1046,409,309,998,176,16,3469,361,726,468,407,981,180,10,3123,219,352,239,218,774,203,8,2001,84,101,46,45,377,156,6,811,3740,5059,2148,1823,6343,2063,63,21232
POA6169,737,1527,731,496,1075,183,5,4758,405,823,564,503,952,126,9,3387,219,387,293,271,662,189,10,2024,72,115,58,54,281,178,0,756,5193,7271,3465,2848,6966,1487,42,27271
POA6170,185,377,168,111,339,47,9,1224,82,155,96,90,203,31,11,669,28,51,31,32,100,8,3,257,3,7,3,0,22,3,0,43,2546,3347,1327,1162,3399,558,28,12360
POA6171,522,833,398,267,651,82,14,2764,237,474,269,226,625,87,10,1919,101,218,141,126,383,64,0,1035,26,34,9,12,76,9,0,167,5560,7325,3002,2512,6692,1090,40,26215
POA6172,266,544,198,146,351,38,7,1549,108,221,147,124,260,38,3,893,55,103,67,48,185,40,0,498,16,24,16,13,105,31,0,213,2043,2736,1126,955,2629,501,18,10004
POA6173,191,412,145,106,246,27,0,1136,57,121,89,65,150,20,0,507,31,47,28,28,73,3,0,222,11,3,11,0,26,3,0,53,1973,2482,1071,864,2138,229,10,8770
POA6174,88,149,62,40,85,9,0,441,29,64,30,35,78,10,4,256,19,23,13,12,47,5,0,120,5,5,0,3,9,0,0,20,903,1151,443,394,957,184,9,4036
POA6175,63,142,64,40,79,14,0,402,28,58,52,36,60,6,3,237,7,21,11,16,42,4,0,103,3,4,3,0,23,4,0,31,617,828,393,289,628,88,7,2847
POA6176,31,62,22,16,44,8,0,185,15,34,21,21,37,8,0,130,3,15,5,8,16,3,0,43,0,0,0,0,7,0,0,15,272,422,176,159,375,62,0,1471
POA6180,88,162,75,54,111,16,0,500,57,120,74,57,165,8,0,488,41,60,51,36,114,17,0,317,0,8,0,0,29,5,0,43,1009,1283,565,508,1242,158,3,4765
POA6181,12,26,23,4,6,0,0,76,0,18,5,6,6,0,0,45,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,6,73,121,63,45,68,9,0,380
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,23,45,37,21,31,14,0,173,8,27,23,20,22,6,0,107,3,13,3,0,17,3,0,38,0,0,0,3,0,0,0,10,159,232,122,132,177,90,3,909
POA6208,223,451,263,198,362,68,0,1569,174,390,284,278,452,92,0,1659,111,207,155,139,342,105,0,1062,39,45,33,24,120,62,0,326,1660,2513,1357,1222,2462,634,10,9867
POA6209,39,78,49,24,95,22,0,306,38,61,38,50,108,34,0,334,26,31,24,26,61,17,0,180,3,10,0,4,24,3,0,40,277,383,189,184,477,149,4,1661
POA6210,1575,2993,1453,998,2144,347,13,9520,1085,2390,1656,1383,2887,430,17,9845,676,1287,902,879,2280,485,0,6512,276,325,183,179,1189,396,5,2558,10501,15256,7361,6415,16201,3356,74,59170
POA6211,164,315,189,123,222,25,0,1046,122,304,233,224,300,27,0,1210,68,115,118,98,161,18,0,579,8,11,8,11,21,4,0,76,1142,1703,912,847,1484,217,5,6318
POA6213,17,28,27,11,19,10,0,112,14,35,20,17,17,7,0,103,8,3,4,3,13,6,0,38,0,5,0,0,10,0,0,18,95,158,86,66,95,51,0,555
POA6214,12,32,19,10,15,9,0,94,7,26,17,11,27,5,0,89,5,8,0,5,12,0,0,28,0,4,0,0,6,0,0,4,93,157,73,64,114,40,0,540
POA6215,88,190,95,96,134,40,0,638,67,133,82,107,133,33,0,565,23,62,35,48,75,43,0,293,13,11,8,9,31,30,0,98,558,856,451,476,749,314,5,3415
POA6218,17,26,6,15,20,3,0,87,7,20,9,14,19,9,0,73,0,5,3,6,3,0,0,17,0,0,0,0,0,0,0,12,72,127,40,70,85,13,0,406
POA6219,14,21,23,16,29,7,0,106,0,17,16,14,16,5,0,66,0,5,4,3,9,7,0,28,0,0,0,0,7,0,0,12,76,131,68,73,110,38,0,490
POA6220,93,159,76,73,99,41,0,542,61,136,91,91,123,34,0,530,39,62,43,51,121,32,0,341,24,20,8,13,64,15,0,146,604,879,401,399,1009,248,10,3550
POA6221,12,9,9,7,13,10,0,58,9,6,0,5,5,0,0,30,0,4,3,0,3,0,0,14,0,3,0,0,0,0,0,6,97,75,42,40,82,38,3,375
POA6223,0,8,9,9,3,0,0,25,0,0,3,4,0,0,0,10,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,22,36,26,14,15,0,0,120
