POA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6012,243,248,171,107,32,9,975,3,38,78,67,66,36,16,5,310,139,419,456,473,341,251,130,28,2238,34,74,84,134,117,113,73,18,649,64,82,78,86,80,70,38,14,521,15,4,8,3,6,5,3,0,40,5,3,9,19,12,23,21,3,100,85,91,90,116,95,103,62,22,662,5,8,3,11,12,16,7,5,74,50,56,60,56,59,53,50,45,442,333,839,1007,1104,866,682,382,131,5346
POA6014,731,591,340,193,82,29,2496,6,110,188,198,148,98,42,6,790,350,1103,1343,1261,818,488,218,80,5658,87,188,280,289,301,247,138,86,1622,186,197,226,199,206,146,99,54,1303,47,9,13,12,15,5,9,4,115,16,21,20,57,52,47,25,22,256,249,220,259,264,276,195,135,83,1677,9,28,22,24,17,27,19,9,150,43,109,93,65,55,83,84,85,620,774,2253,2907,2690,1957,1338,719,372,13010
POA6015,111,211,197,88,51,20,735,6,16,33,79,60,29,15,0,241,129,169,266,471,347,192,141,63,1776,12,23,47,102,115,67,76,35,483,40,20,23,51,61,44,24,17,284,17,0,3,4,3,3,0,0,36,5,0,7,16,8,6,24,12,82,60,24,38,66,74,50,54,30,399,6,4,8,11,4,10,7,8,56,17,8,10,30,35,33,39,18,191,234,298,519,966,836,468,386,171,3882
POA6016,347,223,86,45,11,5,999,5,80,92,106,68,33,5,0,396,127,666,774,504,262,126,20,5,2480,52,154,219,188,126,73,32,12,855,86,163,168,142,141,77,26,11,817,31,12,12,11,10,6,0,0,78,8,13,21,21,32,19,10,6,135,126,188,202,169,177,108,39,20,1026,0,10,8,16,9,12,11,0,60,35,70,79,48,49,47,28,14,381,362,1443,1730,1254,775,429,146,58,6187
POA6017,129,28,17,0,0,0,384,6,51,27,12,8,4,4,0,109,59,451,252,70,54,31,4,0,924,41,140,95,44,37,33,15,7,410,45,160,96,77,44,42,14,0,482,15,12,3,4,4,4,0,0,45,0,9,11,11,8,12,0,0,63,68,182,108,92,58,59,22,0,584,0,12,5,8,10,3,0,0,33,41,108,65,33,31,22,21,6,327,222,1143,680,287,205,152,62,17,2767
POA6018,868,641,378,197,96,9,2819,16,242,348,311,234,140,46,14,1352,568,2115,2422,1743,981,645,339,88,8901,132,490,689,741,590,448,289,93,3472,401,851,730,661,572,407,254,110,3980,93,59,47,41,32,31,15,4,310,37,53,71,121,123,104,77,33,612,522,959,845,814,721,536,345,151,4905,15,27,50,41,20,48,43,26,278,115,292,239,169,169,201,307,304,1803,1416,4711,5456,4467,3095,2224,1469,686,23531
POA6019,568,373,216,126,63,9,1816,11,187,182,197,130,58,27,3,803,298,1629,1377,1003,637,392,199,54,5582,74,424,406,395,341,224,153,59,2071,208,690,494,370,356,186,94,32,2427,70,40,32,17,15,18,8,0,187,21,34,44,72,61,36,24,18,314,297,767,568,454,433,238,118,56,2928,7,31,37,23,25,40,21,9,197,113,270,222,144,106,127,82,31,1089,822,3731,3368,2597,1883,1205,665,216,14487
POA6020,323,319,253,179,53,14,1296,4,64,173,173,155,115,29,5,706,264,612,1087,1002,702,616,199,41,4518,53,120,285,405,400,436,197,44,1932,238,276,361,411,404,370,205,41,2302,54,12,23,11,26,27,12,0,161,17,14,49,69,65,93,44,13,372,310,300,429,488,493,499,257,55,2833,3,3,19,31,35,31,34,8,167,60,68,82,108,81,122,139,98,759,709,1307,2402,2523,2120,1986,903,255,12208
POA6021,354,206,104,55,23,0,1030,5,98,104,85,67,37,16,5,405,257,982,947,579,337,197,65,23,3388,94,306,384,331,260,191,91,10,1663,203,468,473,464,428,273,165,49,2514,67,23,34,30,29,14,3,0,194,16,28,48,71,60,38,23,9,295,282,525,553,562,511,319,192,54,3003,15,24,27,28,28,19,14,4,161,83,153,161,125,122,127,165,124,1055,746,2353,2527,1925,1432,950,558,219,10712
POA6022,50,32,20,13,3,0,169,0,35,26,33,22,10,3,0,128,38,209,196,153,86,80,27,4,797,23,67,111,73,89,90,40,9,496,70,157,182,123,86,103,49,9,785,13,7,10,3,6,4,5,0,50,4,3,6,18,12,12,10,0,63,91,163,195,153,105,120,66,11,901,3,7,4,0,0,4,10,0,30,17,19,20,24,7,39,24,16,166,174,538,614,472,328,362,170,38,2689
POA6023,261,251,120,108,40,8,883,3,50,137,145,79,63,15,0,494,134,408,798,673,377,338,132,20,2868,46,107,236,333,270,269,111,26,1399,157,236,370,362,302,230,123,25,1804,63,14,22,14,8,26,8,0,150,0,8,27,47,53,53,32,5,229,227,258,419,417,368,306,164,27,2183,3,12,17,17,18,27,15,8,124,20,38,59,57,50,84,75,44,421,438,963,1929,1896,1276,1189,549,134,8376
POA6024,159,93,67,43,9,0,478,0,60,86,87,42,43,8,0,334,100,449,550,375,209,187,71,11,1945,51,142,202,203,180,205,108,12,1106,185,382,419,387,298,263,129,25,2073,59,16,27,16,11,10,9,0,149,10,16,34,50,47,67,20,0,251,256,410,476,450,352,345,152,25,2473,3,10,14,10,6,28,13,3,91,54,55,97,68,60,79,62,17,494,471,1221,1583,1298,918,930,419,66,6913
POA6025,352,318,236,122,24,3,1296,12,133,188,162,186,88,19,0,791,317,1011,1260,1029,699,467,141,23,4941,86,384,546,552,569,455,146,31,2760,389,893,901,778,771,590,229,40,4594,87,46,41,20,43,36,14,0,283,24,41,77,108,84,95,66,6,494,501,973,1018,906,900,721,311,47,5376,10,26,43,40,34,46,27,6,234,96,138,146,160,139,142,106,73,1000,1034,2883,3547,3171,2767,2042,770,185,16399
POA6026,251,219,124,77,18,9,816,8,55,125,157,127,69,14,4,559,222,557,925,643,526,325,87,32,3322,112,180,381,436,472,343,89,42,2062,321,395,600,579,706,477,170,65,3313,99,14,17,34,36,13,3,4,220,21,21,44,76,89,81,33,21,388,439,431,660,692,831,569,206,89,3920,9,6,19,26,24,38,20,7,147,47,55,80,90,81,117,88,91,645,840,1401,2445,2269,2186,1542,517,272,11465
POA6027,403,360,279,130,34,7,1580,17,146,216,216,180,101,24,6,905,400,1368,1393,1127,810,501,144,15,5763,245,505,724,799,818,529,170,34,3824,680,1217,1322,1178,1293,891,267,50,6897,204,64,57,49,59,49,12,6,496,57,59,125,146,176,121,45,10,728,949,1336,1498,1364,1524,1065,324,56,8122,25,35,40,54,42,55,27,12,287,231,276,318,288,296,291,293,277,2259,1881,4006,4605,4205,3952,2671,1012,408,22739
POA6028,200,250,198,65,13,3,863,14,63,105,151,103,27,12,0,482,284,599,777,917,545,196,58,3,3379,107,201,408,658,540,214,54,5,2184,362,512,589,807,770,382,105,26,3550,117,35,33,27,29,21,3,0,266,26,31,43,129,100,55,24,0,394,502,576,666,961,892,456,133,28,4212,7,19,13,41,35,27,15,0,159,98,67,87,116,99,83,48,30,633,1034,1641,2260,3095,2414,1068,327,71,11913
POA6029,44,47,38,25,14,0,189,0,7,19,23,23,13,6,4,93,40,72,132,156,98,79,38,8,625,9,18,33,55,51,50,18,5,244,30,36,47,42,36,22,25,10,239,10,0,0,0,3,6,0,0,18,0,5,7,6,8,10,5,5,51,39,38,55,50,41,37,35,9,304,0,0,8,4,3,8,3,0,24,18,12,14,11,6,14,18,5,106,110,172,296,341,267,224,130,37,1586
POA6030,264,252,142,54,24,3,920,13,123,114,132,101,41,18,3,547,309,904,957,848,482,207,104,24,3832,196,575,709,844,630,301,130,45,3430,712,1337,1247,1417,1134,525,231,58,6654,262,123,82,63,50,27,9,0,620,56,70,116,134,123,61,53,16,628,1034,1532,1438,1617,1302,608,292,83,7909,23,33,49,61,46,37,34,12,291,279,280,308,304,215,172,240,181,1971,1860,3621,3842,4048,2924,1419,844,352,18910
POA6031,158,89,33,13,9,0,391,8,64,77,61,24,7,0,0,246,117,517,600,370,147,58,24,5,1845,108,295,386,364,197,80,24,6,1465,354,819,738,556,404,162,50,9,3088,97,67,39,35,18,4,0,0,265,37,41,60,74,39,26,8,0,284,487,926,836,669,462,197,58,9,3634,7,19,32,33,22,14,4,0,138,110,125,150,112,70,55,20,3,640,849,2028,2240,1694,946,429,139,24,8353
POA6032,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3,5,0,7,0,0,0,15,0,0,4,5,0,0,0,0,19,0,6,10,12,6,4,4,0,37,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,6,10,12,11,5,4,0,43,0,0,0,0,0,0,0,0,0,4,0,0,9,4,3,5,0,23,9,11,17,23,27,9,7,0,110
POA6033,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,8,15,8,6,0,0,46,0,4,0,5,4,6,0,0,23,7,7,7,11,18,8,0,0,62,5,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,5,11,7,10,16,22,12,0,0,80,0,0,0,0,0,5,0,0,4,0,8,8,0,8,0,0,0,24,17,29,23,43,47,21,4,0,187
POA6034,17,10,3,5,0,0,44,0,10,12,9,0,0,0,0,36,23,107,97,49,21,8,0,0,313,22,113,77,62,23,12,6,0,325,64,262,146,89,43,25,4,0,634,18,14,11,3,5,0,0,0,49,3,18,12,12,8,4,0,0,51,86,297,168,99,55,28,4,0,740,3,5,4,3,0,0,0,0,27,21,38,34,21,18,13,5,0,146,160,586,419,257,115,65,14,0,1619
POA6035,42,36,18,20,9,0,142,6,19,38,35,16,14,7,0,132,19,142,189,141,84,55,29,0,674,38,136,163,193,139,84,31,3,792,149,470,443,355,275,178,84,16,1968,57,36,30,24,17,10,0,0,175,6,22,35,44,29,20,11,6,167,215,526,503,421,321,209,101,17,2307,3,3,18,8,5,9,8,0,59,69,96,96,72,71,59,76,60,596,357,949,1044,904,662,449,253,88,4702
POA6036,103,89,44,30,7,0,351,8,39,65,71,27,12,3,0,225,108,397,427,333,155,66,17,3,1505,87,267,340,390,205,107,28,0,1419,359,653,619,665,367,154,56,10,2889,127,46,37,40,10,6,3,0,264,29,36,55,68,38,20,7,5,252,521,735,711,772,416,180,67,16,3407,9,18,38,27,20,19,6,4,137,96,130,113,93,75,55,40,9,612,832,1663,1799,1761,936,474,164,32,7655
POA6037,11,10,3,6,0,0,26,0,4,8,13,9,7,0,0,39,8,36,49,47,34,29,10,0,211,5,36,47,74,56,34,8,0,265,58,139,128,124,140,76,29,3,693,24,12,3,7,10,0,5,0,57,4,5,9,13,11,6,7,0,49,82,153,138,149,155,84,39,3,802,0,0,8,7,5,6,0,0,23,41,25,48,50,43,44,23,4,268,134,261,301,344,306,199,84,8,1644
POA6038,95,53,24,10,0,0,240,9,42,50,40,13,7,0,0,156,47,350,362,181,74,24,14,3,1058,58,229,269,173,88,43,9,0,866,169,590,405,261,157,81,15,10,1687,55,41,23,13,9,0,0,0,137,15,19,39,30,19,13,10,0,136,241,649,457,302,182,99,26,10,1966,0,16,21,14,4,0,0,0,55,57,76,54,58,33,7,13,3,296,412,1414,1311,814,409,193,66,13,4631
POA6041,5,4,3,4,0,0,15,0,4,6,5,3,5,3,0,17,0,5,15,15,12,13,7,0,69,5,6,9,23,14,19,10,0,85,14,38,45,59,57,60,27,4,300,4,5,0,0,5,3,0,0,21,0,0,3,5,5,10,0,0,22,23,43,49,69,65,67,30,5,345,0,0,3,0,5,3,0,0,9,11,6,12,17,16,30,31,4,123,40,62,90,127,123,136,71,10,665
POA6042,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,8,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,5,0,27,0,0,0,5,12,27,6,0,61
POA6043,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,14,0,0,0,0,3,0,0,0,11,4,8,0,9,11,14,9,0,50,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,4,8,0,10,18,15,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,7,0,30,8,10,0,26,33,34,11,0,113
POA6044,0,0,4,10,0,0,26,0,5,0,3,6,0,0,0,15,4,36,14,16,19,13,5,4,102,0,13,17,12,19,19,10,0,92,13,27,22,35,41,50,19,7,209,0,3,0,0,0,0,0,0,11,0,4,4,0,4,6,5,0,25,13,30,23,36,47,59,21,7,238,0,3,3,0,0,3,0,0,10,11,13,10,21,34,27,23,6,145,28,106,63,93,125,134,67,15,630
POA6050,309,270,199,149,45,9,1346,14,92,140,109,102,78,14,0,539,289,948,797,728,575,361,141,57,3893,127,188,205,223,213,177,105,39,1272,138,242,205,189,199,132,71,44,1227,62,19,14,16,15,7,5,4,137,11,15,27,33,35,35,20,8,195,207,277,245,243,247,179,97,55,1563,7,15,24,15,16,20,20,8,130,45,113,91,70,70,112,178,153,829,716,1973,1817,1645,1424,1073,601,327,9571
POA6051,353,153,80,59,16,3,1063,14,108,93,84,60,42,4,3,401,188,1124,828,408,234,177,44,9,3023,118,310,256,192,152,116,36,7,1185,154,438,311,180,182,127,55,10,1449,68,39,21,16,9,3,5,0,163,11,30,26,25,33,38,10,5,176,228,505,363,224,223,169,69,15,1783,7,22,25,16,17,15,6,6,104,73,186,144,106,71,79,46,7,704,641,2633,2063,1169,832,657,225,38,8264
POA6052,241,157,105,47,16,0,772,3,61,108,94,73,41,12,0,393,148,581,674,438,297,146,52,15,2355,70,169,208,173,182,109,42,9,961,112,214,228,210,181,124,47,16,1122,29,13,13,14,11,9,4,0,83,14,10,23,21,36,18,8,3,136,152,235,261,246,225,143,61,19,1343,3,9,21,10,11,14,3,0,73,64,59,48,63,72,74,78,42,499,450,1302,1564,1183,968,577,261,97,6397
POA6053,312,200,122,49,14,5,915,9,116,127,118,79,46,12,3,512,146,834,798,520,312,182,55,18,2869,67,216,253,268,237,139,51,17,1242,144,361,323,286,267,184,83,34,1690,49,29,17,14,14,17,0,0,144,6,20,32,43,42,28,21,3,195,204,408,371,352,320,240,102,39,2034,7,13,24,12,12,18,14,8,109,43,100,99,77,79,77,98,82,648,485,1884,1984,1548,1160,756,349,171,8333
POA6054,257,153,104,53,13,3,759,7,86,124,127,89,32,9,0,473,164,766,706,481,323,183,69,12,2704,76,264,327,314,269,167,68,17,1505,283,574,586,545,497,353,139,37,3007,108,65,45,29,24,15,0,0,284,32,15,43,66,75,44,27,5,303,421,655,671,637,586,410,171,44,3595,10,17,14,16,22,19,15,3,114,146,199,166,140,152,139,116,43,1106,834,2146,2268,1864,1546,1008,464,121,10253
POA6055,518,160,93,55,15,0,1213,10,157,172,105,59,24,11,0,536,210,1511,1369,610,296,175,55,14,4251,149,766,733,432,287,137,61,13,2589,497,1514,1097,731,534,271,120,23,4791,135,96,71,37,22,13,3,0,376,36,77,95,73,79,49,19,9,444,663,1691,1267,837,638,331,148,29,5612,18,45,57,29,31,24,12,0,211,138,246,201,128,122,109,72,46,1053,1205,4778,4326,2306,1520,861,376,106,15465
POA6056,257,149,125,86,35,0,841,14,90,136,138,129,50,17,4,571,179,839,771,657,432,325,145,33,3375,153,489,599,620,523,411,151,25,2968,809,1547,1244,1169,1090,725,321,62,6960,264,138,84,72,51,37,18,0,666,54,65,91,136,150,105,53,11,667,1126,1754,1417,1381,1288,866,388,75,8292,17,43,40,33,42,32,25,7,227,329,456,466,471,409,388,384,344,3244,1829,3849,3681,3436,2940,2158,1140,483,19520
POA6057,61,47,38,27,9,0,242,0,41,64,44,41,19,0,0,210,68,340,337,247,155,110,55,12,1319,80,189,252,246,189,126,66,8,1161,326,675,595,508,459,292,139,33,3031,107,47,29,29,17,8,4,0,239,27,31,36,62,65,31,22,3,281,458,754,660,601,542,332,165,37,3553,3,14,11,13,8,11,21,3,92,77,112,108,82,90,87,72,31,656,696,1503,1485,1280,1067,710,396,96,7236
POA6058,88,30,28,14,9,5,221,9,25,32,26,22,14,3,4,131,45,302,312,167,112,74,29,18,1065,56,154,215,183,151,117,27,10,917,258,548,483,407,364,268,96,27,2456,99,35,37,21,13,10,0,0,220,10,19,33,43,40,42,7,9,206,372,610,546,472,411,321,109,39,2882,0,9,10,12,9,15,5,0,59,100,105,148,90,98,97,65,35,736,583,1255,1354,981,829,651,248,105,6011
POA6059,328,218,157,85,37,4,1186,11,100,101,133,109,56,31,0,546,320,1012,996,745,523,350,163,47,4157,102,277,365,454,359,255,157,44,2026,250,430,405,469,461,325,202,87,2613,88,35,32,31,20,21,3,0,239,27,19,40,95,73,61,48,22,380,362,480,475,593,556,407,253,108,3231,9,21,34,32,19,34,16,6,178,128,132,136,142,125,153,150,83,1046,967,2346,2438,2324,1855,1339,814,288,12371
POA6060,614,243,120,72,23,9,1854,4,189,207,132,115,57,11,0,720,319,1992,1356,673,437,281,103,41,5197,137,529,513,408,315,229,102,37,2282,309,674,534,436,432,244,132,66,2814,79,60,44,24,23,19,4,0,257,18,37,55,64,65,55,24,21,336,410,770,624,523,521,317,154,89,3419,10,54,33,15,24,20,19,15,184,130,288,225,163,140,108,72,64,1185,1047,4574,3563,2158,1678,1074,489,266,14844
