POA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
POA6016,9,3,13,0,23,8,0,0,0,10,5,0,4,0,12,3,5,7,0,12,12,8,14,3,37,16,8,14,4,36,50,11,19,0,79,40,15,22,3,76,52,33,35,9,129,54,34,28,3,125,43,45,25,3,113,41,41,21,5,113,130,133,42,6,315,116,121,15,15,257,83,157,18,3,264,49,120,4,0,174,231,648,34,6,918,46,106,17,3,167,7,3,4,0,18,1007,1474,337,55,2877
POA6017,6,3,5,0,19,0,0,0,0,0,0,0,0,0,4,0,0,6,0,3,8,3,3,0,13,8,0,16,0,20,31,9,10,0,54,24,15,16,0,58,34,18,18,8,78,61,25,9,5,103,45,32,10,5,94,42,25,5,7,84,92,68,13,9,183,61,36,7,6,111,44,26,6,0,78,32,29,0,0,60,37,29,0,0,68,40,25,6,0,66,3,0,0,0,9,568,357,140,45,1109
POA6018,72,23,19,3,119,33,3,5,4,42,27,8,24,5,62,9,3,32,0,47,86,8,56,8,150,64,16,77,4,153,260,23,85,5,373,245,47,121,10,425,266,62,134,13,480,292,105,130,14,538,156,114,122,7,402,180,177,108,8,468,427,461,198,21,1101,403,501,87,22,1002,353,602,62,14,1034,266,471,21,9,772,760,2239,108,7,3117,294,514,116,0,920,34,26,15,0,76,4228,5392,1516,141,11283
POA6019,23,8,20,0,53,13,0,8,0,19,11,0,5,0,20,8,0,15,0,29,30,9,33,0,60,34,4,48,4,92,97,13,58,4,173,81,14,76,4,183,149,44,87,9,283,183,48,74,11,318,102,78,56,7,244,142,72,55,3,274,312,229,107,7,657,275,194,45,4,517,272,276,40,15,602,171,214,13,7,403,562,1136,68,8,1762,242,248,87,5,580,21,19,9,3,49,2709,2605,905,96,6314
POA6020,43,10,3,0,51,32,4,8,5,39,19,5,12,0,31,8,0,6,0,16,76,7,18,5,103,52,6,21,4,86,191,5,24,7,227,197,16,39,3,250,243,29,53,9,331,230,41,64,5,334,111,54,54,4,221,163,60,46,3,265,285,223,82,5,597,180,247,23,5,454,182,323,26,3,535,118,275,6,0,400,445,1511,57,3,2018,110,325,39,0,477,28,19,9,0,55,2708,3149,581,59,6497
POA6021,77,8,9,4,99,26,0,0,0,28,19,3,11,0,35,10,4,15,0,31,83,7,31,0,118,44,9,48,6,105,290,34,48,4,374,142,47,82,9,280,153,71,77,8,311,161,114,72,9,363,81,121,64,14,277,104,138,75,6,320,267,328,108,12,711,201,275,40,10,528,153,278,20,6,458,97,192,10,0,305,256,752,31,3,1044,142,226,63,3,434,43,24,4,6,72,2348,2628,814,102,5894
POA6022,8,0,0,0,10,4,0,0,0,10,5,4,0,0,5,0,4,4,0,9,9,0,10,0,20,7,4,17,0,31,56,7,9,0,70,52,14,24,6,89,64,19,22,0,108,48,26,27,0,99,38,27,25,0,82,31,43,14,0,87,64,82,35,5,183,39,107,13,0,159,42,78,10,0,125,21,64,3,0,92,73,141,6,0,219,38,78,21,3,138,10,0,7,0,17,616,679,237,18,1548
POA6023,40,3,7,0,51,13,7,0,0,20,9,4,9,0,20,12,0,7,0,15,41,0,11,0,62,28,3,30,5,60,121,16,17,3,153,109,8,35,8,158,144,22,51,5,228,160,39,55,3,261,95,43,35,8,183,95,50,31,5,186,143,212,92,0,447,132,243,30,0,402,120,340,34,0,496,66,234,14,0,312,192,909,34,3,1139,78,254,44,0,383,25,16,3,0,39,1627,2414,521,33,4602
POA6024,22,5,3,0,31,8,0,6,0,17,9,0,10,6,24,8,0,21,0,31,39,4,17,0,65,32,0,37,0,64,152,12,20,0,190,124,18,39,4,186,150,37,74,0,265,149,67,59,0,274,74,66,45,5,186,70,92,31,5,197,155,223,77,10,463,155,242,33,7,436,92,223,34,3,354,59,213,8,5,285,140,359,29,5,532,105,190,53,0,348,14,5,3,0,19,1565,1757,606,47,3969
POA6025,64,8,14,0,85,29,5,0,0,32,29,4,15,0,47,19,3,27,0,50,75,7,47,3,133,77,8,54,3,148,297,30,83,3,414,251,34,114,13,411,282,79,140,8,515,306,107,103,10,526,146,155,94,10,403,177,153,88,8,424,391,445,167,18,1026,341,484,70,8,906,263,472,50,7,791,179,370,21,5,575,425,1397,59,3,1879,240,498,109,0,857,36,26,16,5,84,3634,4285,1282,107,9316
POA6026,44,5,4,0,61,33,3,5,0,40,13,4,3,0,22,8,3,13,0,20,72,8,19,0,101,35,0,32,0,77,262,19,40,5,324,210,21,61,5,292,228,49,90,6,375,229,71,85,0,387,135,95,72,0,309,133,97,67,7,302,277,343,89,8,710,217,429,43,3,694,193,421,36,0,656,111,306,19,4,434,231,988,34,0,1259,113,382,70,4,559,23,20,7,0,47,2572,3261,797,55,6675
POA6027,72,14,21,0,109,30,4,18,5,57,24,5,15,4,44,29,9,36,0,71,90,15,60,5,170,61,14,106,6,192,393,37,110,7,544,324,64,143,12,546,367,107,172,11,660,385,153,154,6,702,280,201,134,5,618,294,232,115,12,641,550,646,201,13,1414,460,637,67,7,1179,385,717,70,3,1174,214,491,21,0,724,502,1402,64,5,1979,334,728,143,4,1216,58,35,11,0,109,4859,5516,1651,125,12145
POA6028,51,7,12,7,73,23,0,6,0,28,18,0,0,0,30,17,3,8,0,25,43,5,22,0,68,48,3,38,0,85,180,20,41,5,250,135,17,54,4,220,167,56,71,5,296,169,92,64,10,336,114,100,63,0,282,112,109,55,0,282,278,363,99,9,753,224,397,50,3,681,169,443,38,7,651,123,338,23,5,477,381,1226,38,0,1657,151,511,69,0,742,32,32,6,0,70,2433,3735,772,56,6998
POA6029,6,0,0,0,9,0,0,0,0,5,4,0,0,0,3,0,5,0,0,5,5,0,0,0,5,3,0,0,0,10,27,0,4,0,30,13,4,5,0,23,21,4,7,0,31,24,4,5,0,34,12,3,4,0,17,20,6,3,0,31,31,20,3,0,60,23,31,3,0,60,20,27,0,0,50,16,29,4,0,51,61,237,9,0,310,13,41,11,0,64,6,3,0,0,13,302,417,61,3,791
POA6030,64,14,35,4,121,22,3,10,7,39,23,8,25,0,52,12,6,47,0,68,78,14,86,0,176,73,15,163,6,258,363,59,187,8,621,301,82,202,23,606,290,142,232,10,670,301,264,214,21,801,179,258,154,9,597,200,300,123,16,641,521,700,223,14,1462,353,625,92,11,1083,281,545,61,7,894,146,368,17,0,543,312,1004,59,4,1385,313,745,167,11,1231,68,45,25,3,141,3912,5193,2120,153,11377
POA6031,35,5,14,0,54,15,3,4,0,23,11,5,10,0,23,3,7,10,0,20,19,6,40,0,71,16,16,54,0,86,82,23,80,0,187,58,34,103,5,200,64,67,111,3,255,90,147,83,3,324,57,155,71,6,283,90,175,60,6,329,242,432,91,5,781,150,384,36,5,577,119,344,21,9,495,51,183,15,4,258,99,450,17,3,576,137,392,50,5,588,18,26,10,3,52,1354,2852,920,61,5190
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,6,3,0,0,8,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,25,24,7,0,51
POA6033,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,6,0,0,8,0,3,0,0,6,4,0,0,0,7,0,0,0,0,3,0,0,0,0,3,3,9,0,0,12,4,6,0,0,15,5,7,0,0,8,0,5,0,0,11,6,5,0,0,15,0,8,4,0,11,0,0,0,0,4,47,59,11,0,118
POA6034,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,6,0,19,7,0,20,0,30,19,5,14,0,31,14,7,16,0,35,20,23,17,0,62,11,29,25,0,61,23,31,19,0,73,17,39,9,0,74,59,111,29,0,202,42,66,0,0,113,26,52,8,0,89,9,27,6,0,43,13,57,3,0,72,38,89,13,0,139,4,11,0,0,17,307,550,184,13,1050
POA6035,21,4,15,0,39,3,0,3,0,6,7,3,7,0,15,0,0,17,0,17,27,0,27,0,53,36,7,44,0,84,112,14,55,5,185,80,15,71,3,173,66,37,68,3,174,82,72,54,6,213,48,64,31,0,149,39,75,30,0,147,138,214,62,5,419,79,174,17,0,272,67,153,3,0,225,37,70,10,0,118,55,169,5,0,224,101,313,37,0,460,15,12,11,0,33,1000,1406,564,31,3005
POA6036,24,3,22,0,49,8,3,5,0,14,9,3,6,0,18,10,0,23,3,36,30,3,46,0,88,10,6,85,3,109,108,18,92,8,223,76,29,99,8,214,88,71,100,6,269,120,87,97,8,308,71,115,65,8,259,82,132,55,0,277,203,328,104,9,645,153,294,39,4,493,115,260,21,0,396,53,170,19,0,241,95,437,21,4,561,131,394,67,0,595,16,16,15,0,46,1416,2377,985,64,4837
POA6037,9,0,0,0,16,5,0,0,0,10,12,0,0,0,17,0,5,5,0,13,10,0,8,0,25,3,8,18,0,23,61,5,12,0,76,22,4,17,0,45,28,15,12,0,58,31,19,7,0,64,19,21,9,0,50,24,22,4,0,51,43,47,8,0,102,18,62,4,0,81,19,32,0,0,55,13,31,0,0,43,37,59,0,0,97,47,130,20,0,199,3,3,0,0,12,405,479,138,3,1028
POA6038,21,3,4,0,29,0,0,0,0,0,9,0,0,0,15,4,0,7,0,12,13,0,19,0,31,9,0,44,0,52,42,10,52,4,107,28,11,65,4,105,42,36,65,3,143,47,92,50,3,199,33,87,59,5,182,44,82,21,0,153,123,245,43,11,413,115,204,21,0,341,72,195,14,0,285,46,87,0,0,141,59,201,7,0,267,86,236,35,4,371,4,9,0,0,17,805,1518,507,34,2865
POA6041,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,3,4,0,17,3,0,7,0,7,43,0,8,0,53,22,0,3,0,34,12,6,10,0,21,20,9,9,0,35,10,4,7,0,26,18,14,4,0,28,26,22,0,0,48,12,15,0,0,23,3,13,0,0,23,3,12,0,0,10,14,15,4,0,31,22,46,3,0,70,8,0,0,0,10,240,151,52,7,449
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,22
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,3,4,0,0,0,7,5,0,0,0,8,5,0,0,0,5,3,0,3,0,8,0,3,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,5,0,0,0,12,0,0,0,0,0,52,7,6,0,67
POA6044,12,0,0,0,12,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,12,0,0,0,12,4,0,0,0,9,29,0,0,0,40,20,5,0,0,30,10,0,0,0,15,19,5,0,0,22,9,5,4,0,12,9,7,0,0,20,16,4,0,0,25,18,10,0,0,22,3,8,0,0,14,4,4,0,0,6,11,8,0,0,24,26,25,3,0,52,3,3,0,0,10,205,88,21,4,317
POA6050,24,0,3,0,28,10,0,0,0,14,6,5,10,0,20,5,0,8,0,16,26,7,7,3,42,17,4,13,0,30,96,10,24,4,133,72,13,30,3,123,94,20,48,6,171,122,25,24,5,174,75,21,37,7,141,87,31,30,0,152,186,98,41,11,341,151,101,19,0,279,124,130,14,4,271,82,112,13,0,208,452,940,44,8,1445,105,149,33,0,283,17,8,0,0,32,1753,1686,402,61,3904
POA6051,23,7,7,0,32,5,0,3,0,10,5,3,6,0,15,5,0,14,0,15,23,7,17,0,49,13,10,23,0,44,74,15,50,5,142,70,20,37,6,131,71,44,38,9,158,116,61,44,9,228,89,33,36,14,167,91,35,29,9,161,227,125,40,15,405,181,93,14,5,298,152,111,16,5,283,107,93,0,3,201,270,308,13,3,597,143,73,24,0,251,9,6,6,0,24,1669,1040,421,86,3216
POA6052,30,4,8,3,44,8,0,3,0,15,4,3,11,0,18,3,0,9,0,17,22,0,13,5,40,11,5,24,4,39,81,10,16,5,115,56,14,37,7,113,78,22,33,8,141,81,38,40,9,168,49,41,42,4,136,68,44,20,4,135,121,120,59,10,312,98,129,26,0,256,98,193,14,8,313,77,151,13,0,239,230,549,24,6,806,67,106,38,4,213,15,7,3,0,27,1197,1441,449,55,3140
POA6053,21,4,6,0,27,12,3,5,0,16,4,0,5,0,8,3,4,14,0,26,28,7,23,4,65,26,12,29,0,68,124,14,37,0,174,75,16,40,4,145,80,43,54,5,175,119,54,44,12,221,67,63,49,8,178,85,88,41,3,216,169,177,57,7,412,178,206,34,10,428,155,233,20,8,411,130,177,6,0,319,294,564,24,7,889,124,177,46,5,346,12,11,4,0,25,1704,1850,531,70,4158
POA6054,20,10,13,0,44,17,0,3,0,24,7,0,14,0,21,8,3,29,3,43,53,5,45,5,108,34,11,78,4,128,236,28,92,10,363,129,40,126,12,304,154,75,116,11,359,167,123,99,12,397,95,122,68,13,301,93,123,66,11,297,265,330,113,14,727,203,285,53,7,554,155,270,30,6,464,108,187,13,6,314,201,435,16,6,663,159,227,60,4,455,21,19,15,5,57,2123,2313,1062,135,5633
POA6055,68,7,18,0,101,17,0,7,0,26,10,3,9,0,24,3,5,16,0,26,39,6,32,0,78,41,23,73,4,142,156,47,74,3,287,101,74,94,4,277,154,149,99,6,415,179,252,119,11,568,138,282,83,13,520,162,311,76,17,575,427,824,131,18,1399,368,673,69,9,1114,285,505,26,13,831,158,318,11,4,494,283,721,29,15,1052,234,547,74,4,858,34,22,12,0,68,2858,4792,1062,131,8849
POA6056,74,16,47,0,139,31,6,14,0,54,36,10,48,3,90,12,8,47,5,68,86,16,108,8,220,87,20,170,7,282,477,41,191,21,730,323,59,242,27,642,324,145,238,17,717,392,227,227,37,882,203,221,149,17,596,227,251,144,12,643,519,636,238,25,1422,376,532,96,14,1021,274,436,56,12,781,164,272,28,7,468,300,740,50,3,1094,301,592,168,15,1079,76,34,33,4,145,4293,4256,2287,229,11063
POA6057,30,8,10,0,50,13,0,8,4,18,12,0,8,0,24,8,0,25,0,30,41,0,33,0,71,24,4,55,0,87,184,13,59,0,257,111,30,71,7,217,133,64,95,4,306,144,88,82,5,323,91,96,60,0,248,97,113,46,3,266,231,296,105,12,649,173,284,35,13,505,131,236,32,6,397,72,136,10,7,231,158,315,20,6,497,137,271,76,9,488,30,18,10,0,55,1830,1969,845,83,4725
POA6058,21,6,6,0,37,16,0,4,0,26,5,0,10,0,12,5,0,21,0,24,29,3,33,3,70,27,7,47,0,76,159,7,55,4,223,87,27,64,3,191,99,47,81,0,233,113,90,64,12,281,77,94,60,4,230,68,98,51,4,223,191,248,52,10,499,114,202,30,11,358,113,173,13,0,299,58,105,3,4,168,86,176,18,3,281,117,197,67,3,383,26,11,8,0,50,1422,1485,682,65,3652
POA6059,69,13,14,0,98,24,3,3,0,32,12,3,12,0,31,16,9,11,0,33,86,12,32,8,137,46,15,71,5,138,268,40,56,10,379,174,57,83,10,323,186,75,100,19,375,204,151,77,13,447,121,137,69,3,323,130,138,70,9,350,280,325,110,17,735,219,318,75,10,625,173,333,35,4,545,99,292,13,3,412,312,765,36,10,1120,128,257,57,3,450,32,23,8,3,72,2573,2979,944,123,6619
POA6060,56,11,12,3,78,13,0,0,4,21,9,4,16,5,35,11,12,14,0,33,53,5,45,3,102,46,14,69,3,131,183,22,73,0,277,139,49,102,10,302,165,96,107,18,384,234,123,96,17,463,158,142,75,17,397,160,137,63,11,372,426,325,109,28,894,301,240,34,22,601,241,279,27,3,553,198,197,12,4,414,426,585,49,3,1060,186,184,65,0,439,37,16,18,0,66,3053,2430,986,150,6628
POA6061,71,36,45,9,160,13,13,18,5,43,23,24,32,9,85,21,13,76,5,114,81,61,137,7,280,71,86,184,10,345,371,150,227,8,765,229,204,291,24,749,233,324,268,28,849,305,407,252,39,1003,198,375,164,27,769,225,345,123,26,723,517,718,169,46,1449,323,420,75,20,832,210,305,50,15,585,116,131,16,14,278,170,219,35,6,430,248,382,140,12,784,55,37,34,7,136,3479,4245,2334,321,10380
POA6062,104,19,43,0,168,32,3,6,0,48,8,4,21,0,36,23,6,37,8,68,116,15,55,8,194,91,29,103,3,224,481,68,124,12,688,269,105,145,15,532,284,175,173,17,656,322,247,153,24,743,158,238,122,12,527,186,246,104,13,547,434,588,163,37,1215,306,465,81,25,877,254,456,60,7,773,144,260,19,8,432,254,665,46,4,972,214,408,119,8,744,49,28,13,0,90,3718,4015,1581,204,9524
POA6063,43,7,22,6,69,11,0,5,0,15,13,8,8,0,26,7,4,19,0,33,18,17,26,0,68,23,13,58,0,100,124,34,73,3,230,75,70,79,10,241,89,118,73,9,291,102,159,83,8,347,69,146,48,6,273,76,145,39,4,265,147,322,76,4,550,108,258,41,11,420,64,163,15,5,255,40,105,3,3,153,44,202,8,0,249,80,204,53,6,341,20,17,13,4,53,1169,1994,743,69,3975
POA6064,77,39,44,9,164,24,6,6,0,38,20,16,36,0,66,20,12,48,0,78,93,33,85,4,209,70,42,136,8,265,381,98,154,5,632,235,151,176,22,575,201,230,199,15,643,234,298,168,31,731,139,317,141,16,613,143,272,116,15,550,323,560,161,18,1065,214,426,71,16,724,117,283,43,14,453,68,169,24,5,267,85,288,24,5,394,132,382,128,4,645,37,35,22,0,97,2605,3654,1775,191,8218
