POA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
POA6036,789,8,4,0,0,797,3210,39,8,0,0,3259,1175,41,32,0,0,1244,121,39,0,0,0,162,26,18,0,0,0,41,390,15,0,0,0,400,20,0,0,0,0,16,8,0,0,0,0,12,1741,102,32,0,3,1882,36,4,0,0,0,38,204,11,5,0,0,214,5974,160,48,0,5,6189
POA6037,362,4,0,0,0,368,725,0,0,0,0,723,157,0,0,0,0,157,3,0,0,0,0,3,0,0,0,0,0,0,66,0,0,0,0,66,4,0,0,0,0,4,0,0,0,0,0,0,227,0,0,0,0,227,14,0,0,0,0,14,100,0,0,0,5,106,1426,4,0,4,0,1435
POA6038,266,11,0,0,0,272,2184,38,0,0,3,2222,756,28,3,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,192,6,0,0,0,200,18,0,0,0,0,19,0,0,0,0,0,3,965,35,5,0,0,1007,14,0,0,0,0,14,108,4,0,0,0,113,3534,83,4,0,3,3629
POA6041,249,0,0,0,0,248,252,0,0,0,0,252,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,7,0,0,0,0,3,0,0,0,0,0,0,48,0,0,0,0,52,12,0,0,0,0,12,49,0,0,0,0,53,604,0,0,9,0,611
POA6042,20,0,0,4,0,23,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,4,0,0,0,0,4,14,0,0,0,0,14,52,0,0,3,6,60
POA6043,52,0,0,4,0,59,34,0,0,0,0,37,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,17,0,0,0,0,0,6,5,0,0,0,0,7,106,8,5,13,0,130
POA6044,251,5,0,13,0,277,130,4,0,0,0,135,24,0,6,0,0,33,9,7,0,0,0,11,3,5,0,0,0,8,42,6,9,0,0,55,17,0,0,0,0,21,0,0,0,0,0,3,89,15,15,0,0,128,12,0,0,3,0,20,34,3,0,6,0,47,524,38,19,27,4,610
POA6050,1576,248,147,0,0,1974,1448,284,269,0,0,2008,272,343,702,4,0,1324,3,10,27,0,0,44,8,26,55,0,0,90,176,106,206,0,0,491,12,6,25,0,0,47,4,3,9,0,0,19,478,494,1027,5,0,2005,60,135,147,0,0,353,74,46,128,10,3,256,3643,1212,1721,22,0,6594
POA6051,658,272,233,0,0,1175,822,649,485,0,0,1954,285,712,1025,0,0,2023,6,155,128,0,0,288,0,17,17,0,0,38,166,240,325,0,0,729,8,33,34,0,3,77,0,4,8,0,0,11,464,1164,1534,0,3,3169,24,17,22,0,0,61,61,116,153,13,3,343,2028,2221,2429,16,7,6697
POA6052,1151,151,37,0,0,1337,1462,196,101,0,3,1761,420,153,244,0,0,811,95,64,52,0,0,210,4,3,50,0,0,60,207,57,74,0,0,338,12,0,11,0,0,29,4,4,0,0,0,8,747,281,434,0,0,1458,39,12,17,0,0,72,100,9,32,0,0,147,3496,647,616,6,6,4774
POA6053,1506,188,19,3,0,1711,2270,234,52,0,0,2554,616,197,123,0,0,936,48,150,6,0,0,206,12,30,0,0,0,40,361,80,27,0,0,467,25,10,5,0,0,41,4,6,0,0,0,8,1057,477,161,0,0,1698,50,60,0,0,0,112,129,69,19,5,0,221,5019,1030,251,7,4,6298
POA6054,2136,251,78,0,3,2467,2886,411,85,0,6,3384,771,262,90,0,3,1131,171,226,38,0,0,427,41,39,0,0,0,87,433,130,27,0,0,587,24,9,0,0,0,37,6,7,0,0,0,16,1444,670,158,8,5,2279,81,34,9,0,0,121,292,122,17,4,0,437,6836,1497,344,10,11,8700
POA6055,1636,50,0,131,4,1830,6912,140,6,4,18,7072,949,80,26,0,0,1060,73,39,10,0,4,129,17,6,0,0,0,22,410,46,10,0,6,458,60,7,0,29,0,99,6,0,0,0,0,4,1514,176,42,31,8,1773,87,3,3,4,0,103,247,17,7,42,9,323,10400,393,68,213,33,11099
POA6056,4202,395,33,42,4,4671,5994,410,53,4,5,6472,1162,887,402,0,6,2463,213,342,49,0,0,601,30,77,22,0,0,125,884,283,31,8,3,1207,71,50,0,31,0,145,15,14,0,5,0,36,2371,1652,516,34,11,4584,160,19,16,0,3,200,561,234,66,393,35,1293,13299,2711,681,481,52,17222
POA6057,1929,30,0,12,0,1962,2820,52,3,0,0,2879,646,66,7,0,3,723,66,11,0,0,0,75,7,0,0,0,0,10,356,16,0,0,0,365,35,0,0,4,0,40,3,0,0,0,0,3,1107,93,7,4,3,1213,82,13,0,0,0,95,204,6,0,0,0,218,6150,194,20,14,7,6370
POA6058,1239,89,0,98,0,1420,2228,96,0,3,0,2325,555,71,0,0,0,628,63,51,0,0,0,117,6,15,0,0,0,22,303,31,0,0,0,335,22,9,0,20,0,50,6,0,0,0,0,9,959,169,0,17,6,1155,45,96,3,6,0,153,196,35,0,78,0,309,4673,486,9,197,5,5366
POA6059,3059,611,64,0,0,3735,2550,656,37,0,0,3250,643,554,83,0,0,1279,17,110,83,0,0,216,9,21,26,0,0,55,408,266,27,0,0,699,34,26,6,0,0,69,10,14,0,0,0,20,1118,990,224,0,0,2338,85,57,56,0,0,197,196,124,30,0,0,349,7008,2435,415,0,3,9867
POA6060,1503,1154,190,0,0,2857,1598,1676,336,0,0,3611,657,1632,916,0,3,3210,65,145,96,0,0,306,10,32,22,0,0,62,338,598,199,0,0,1144,36,76,23,0,0,129,3,8,5,0,0,16,1115,2493,1258,0,8,4868,61,69,17,0,0,142,145,259,112,0,3,525,4421,5652,1920,0,10,11997
POA6061,2350,659,18,0,0,3026,3562,1831,75,0,0,5471,2129,1587,81,0,4,3802,391,727,31,0,0,1151,48,114,4,0,0,171,972,512,26,0,4,1515,248,105,11,0,0,358,42,23,0,0,0,66,3823,3067,159,0,10,7058,107,67,6,0,0,182,753,443,15,22,6,1245,10593,6075,273,22,23,16977
POA6062,4221,483,8,0,3,4715,4038,580,18,0,0,4642,1399,534,20,0,0,1953,94,62,0,0,0,158,22,29,0,0,0,50,813,221,3,0,4,1041,114,36,0,0,0,157,11,4,0,0,0,15,2456,883,33,0,10,3377,109,44,10,0,0,165,366,128,4,10,5,506,11194,2114,71,13,18,13408
POA6063,1253,53,7,0,0,1320,2343,81,19,0,0,2444,429,46,3,0,0,485,99,54,29,0,0,188,12,20,0,0,0,33,309,25,3,0,0,337,43,3,0,0,0,46,4,6,0,0,0,9,905,150,31,0,0,1091,32,3,3,0,0,45,192,28,7,0,0,229,4727,320,73,0,0,5123
POA6064,2917,248,5,0,0,3175,4172,442,8,0,0,4633,873,200,8,0,0,1082,180,355,0,0,0,540,29,32,0,0,0,63,703,121,3,0,0,835,140,25,3,0,0,168,15,6,0,0,0,19,1946,739,17,0,0,2700,109,16,3,0,0,121,390,108,4,21,3,525,9536,1553,39,21,8,11158
POA6065,4918,336,5,108,3,5368,12552,399,5,4,6,12962,2130,386,29,0,0,2553,85,98,3,0,0,182,17,11,0,0,0,32,876,113,0,12,0,1004,98,14,5,38,3,160,20,3,0,0,0,19,3229,632,40,55,3,3951,299,143,0,9,0,447,556,68,5,23,4,649,21550,1571,57,198,6,23381
POA6066,1805,61,8,0,0,1871,3021,58,5,0,0,3087,452,55,0,0,0,511,96,123,0,0,0,211,14,3,0,0,0,17,286,18,0,0,0,309,51,0,0,0,0,51,5,6,0,0,0,11,904,206,0,0,3,1113,54,5,0,0,0,54,200,20,0,0,0,219,5985,344,10,3,3,6349
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4
POA6069,2170,320,13,0,0,2513,8952,409,23,0,3,9386,1743,185,96,0,3,2028,162,81,0,0,0,250,38,5,0,0,0,45,620,51,13,0,0,686,85,7,0,0,0,94,14,0,0,0,0,12,2665,335,113,0,3,3120,76,53,0,0,0,131,481,71,7,3,9,575,14342,1198,158,6,12,15721
POA6070,529,0,0,0,0,535,673,0,0,6,0,680,40,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,41,4,0,0,0,0,4,0,0,0,0,0,0,81,4,0,0,0,86,11,3,0,0,0,15,28,0,0,0,0,33,1321,13,0,6,0,1342
POA6071,531,0,0,0,0,538,605,4,0,0,0,602,34,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,4,33,4,0,0,0,0,4,0,0,0,0,0,0,72,7,0,0,4,80,8,0,3,0,0,11,34,0,0,0,0,38,1244,16,3,4,4,1264
POA6072,118,0,0,0,0,123,157,0,0,0,0,159,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,7,0,0,0,0,7,6,0,0,0,0,6,303,3,0,0,0,304
POA6073,512,21,0,7,0,546,459,0,0,0,0,466,62,4,0,0,0,66,0,3,0,0,0,3,0,18,0,0,0,16,48,8,0,0,0,61,0,0,0,0,0,8,0,0,0,0,0,0,115,33,0,9,0,152,11,13,0,0,0,23,23,21,0,6,0,44,1121,99,0,14,4,1234
POA6074,149,0,3,0,0,149,171,0,0,0,0,176,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,5,34,0,0,0,0,0,0,11,0,0,0,0,11,361,0,5,0,5,367
POA6076,3539,169,14,26,4,3748,3141,35,11,6,5,3195,353,56,20,0,0,430,7,38,0,0,0,53,3,33,3,0,0,38,325,40,8,8,0,384,17,0,0,0,0,25,3,3,0,0,0,12,718,174,28,6,0,936,98,19,3,0,0,120,177,24,10,6,0,218,7665,419,69,49,11,8221
POA6077,257,85,0,0,0,346,175,8,6,0,0,186,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,25,3,6,0,0,0,9,0,0,0,0,0,0,27,16,0,0,0,49,4,9,0,0,0,14,11,8,0,0,0,26,479,125,4,0,0,614
POA6078,110,0,3,0,0,114,119,0,3,0,0,118,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13,6,0,0,0,0,6,0,0,0,0,0,0,40,0,0,0,0,40,7,0,0,0,0,7,16,0,0,0,0,16,289,0,3,0,0,295
POA6079,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
POA6081,616,0,0,0,0,616,928,0,0,0,0,928,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,3,0,0,0,0,3,0,0,0,0,0,0,122,0,0,0,0,122,9,0,0,0,0,9,47,0,0,0,0,47,1724,0,0,0,3,1725
POA6082,398,0,0,0,0,398,628,0,0,0,0,636,58,0,0,0,0,58,0,0,0,0,0,0,4,0,0,0,0,4,55,0,0,0,0,56,8,0,0,0,0,8,0,0,0,0,0,0,120,0,0,0,0,119,12,0,0,0,0,15,46,0,0,0,0,46,1204,4,4,3,0,1213
POA6083,454,0,0,8,0,462,624,0,0,0,0,632,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5,0,0,41,14,0,0,0,0,16,0,0,0,0,0,0,78,0,3,0,0,84,18,0,0,0,0,18,56,0,0,0,0,59,1226,0,7,11,0,1248
POA6084,754,3,0,3,0,760,1758,0,0,0,0,1761,151,0,0,0,0,153,7,0,0,0,0,4,6,0,0,0,0,10,163,0,0,0,0,162,20,0,0,0,0,20,3,0,0,0,0,3,350,0,0,0,0,353,33,0,0,0,0,36,179,0,0,7,0,190,3072,9,0,15,9,3108
