POA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
POA6012,1505,1142,925,1081,1274,1051,899,539,200,8618,8,0,5,3,4,0,0,0,0,26,0,4,5,0,0,4,0,0,0,14,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,34,24,20,28,23,23,30,16,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,34,39,35,27,25,28,30,30,16,252,42,38,37,23,29,24,31,30,16,281,6,4,7,0,7,7,4,4,0,37,1549,1180,970,1113,1314,1088,931,574,218,8930
POA6014,4310,2470,2462,3121,2953,2330,1747,1084,683,21151,0,0,0,0,5,0,4,0,3,18,0,0,0,4,0,3,0,3,0,23,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,47,64,60,56,43,28,35,20,5,360,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,64,74,59,45,31,42,30,12,400,51,61,74,59,45,28,48,28,15,418,4,3,10,4,3,6,13,5,3,51,4366,2529,2550,3184,3006,2373,1801,1118,696,21625
POA6015,1189,935,345,544,1065,946,597,541,303,6461,0,0,0,3,0,0,3,0,0,6,0,4,0,0,0,0,0,0,0,7,0,6,6,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,22,12,8,13,7,8,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,22,13,13,16,9,8,0,152,25,30,22,17,13,16,14,12,0,159,0,7,3,0,6,7,0,3,0,24,1214,970,369,563,1079,967,610,558,303,6646
POA6016,2198,1075,1656,1890,1463,1027,660,296,163,10431,0,0,0,0,0,0,5,0,0,10,0,0,0,0,4,0,0,0,0,6,0,0,0,0,3,0,5,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,17,29,24,21,15,15,7,3,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,36,29,29,16,20,9,7,166,9,24,36,29,28,22,23,9,4,176,6,0,7,5,4,0,9,0,0,32,2211,1102,1701,1922,1493,1049,690,307,168,10632
POA6017,491,413,1302,813,406,352,296,172,67,4315,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,21,8,9,8,10,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,21,8,9,8,10,3,0,67,7,3,26,8,9,8,10,3,0,72,0,0,0,9,0,0,0,0,0,9,498,415,1329,831,416,363,306,175,67,4397
POA6018,7609,4426,5363,6110,5368,4140,3377,2533,1333,40257,4,0,6,11,0,8,0,3,5,39,0,3,0,0,5,7,15,5,0,38,8,0,0,6,4,16,6,0,4,44,0,0,0,0,6,12,5,3,0,30,0,0,0,0,0,0,4,0,0,10,124,130,134,93,80,84,74,39,39,808,4,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,142,137,149,108,87,121,115,57,36,954,143,135,155,119,88,128,119,60,41,996,11,0,18,6,22,22,14,7,3,106,7762,4566,5539,6239,5471,4287,3513,2605,1376,41357
POA6019,3883,2364,4183,3709,3064,2323,1712,1098,431,22768,0,0,0,0,0,0,3,3,0,16,0,3,10,13,0,3,0,0,0,34,0,3,3,0,0,4,5,5,0,27,0,0,3,8,6,6,0,0,0,28,0,0,4,3,5,0,0,0,0,15,61,84,123,75,61,64,47,22,8,545,0,0,3,0,6,5,4,0,0,13,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,76,96,149,103,83,91,55,24,8,678,75,94,152,103,86,91,60,28,9,694,8,13,15,10,9,15,6,5,0,79,3962,2469,4351,3820,3160,2422,1781,1130,442,23541
POA6020,4165,2329,1484,2658,2970,2773,2997,1490,472,21341,3,0,0,4,7,0,3,0,0,24,0,0,0,0,0,4,3,0,0,11,0,4,0,0,4,6,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,59,44,46,54,36,30,18,13,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,44,56,59,38,46,24,13,396,61,66,46,56,65,45,49,25,13,425,3,3,13,3,10,3,0,3,0,40,4230,2404,1548,2719,3042,2814,3049,1515,487,21804
POA6021,3365,2102,2823,3002,2604,2335,2031,1403,592,20259,0,0,0,5,0,9,0,6,7,31,0,0,5,4,0,5,0,0,0,9,0,0,0,4,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,46,49,63,55,48,37,36,66,40,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,55,69,61,52,47,46,66,40,480,46,58,67,67,55,49,44,73,50,511,0,0,7,0,6,12,15,0,0,34,3418,2161,2900,3066,2667,2397,2087,1475,643,20807
POA6022,1006,476,637,717,619,499,628,343,70,4996,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,11,12,11,7,8,0,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,11,15,11,7,9,4,9,88,15,18,11,20,11,7,9,4,9,93,0,0,0,0,0,0,0,3,0,3,1022,490,649,734,632,507,640,347,78,5091
POA6023,3417,1651,1103,2174,2213,1673,1824,956,309,15321,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,40,39,34,23,15,13,10,236,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,32,41,40,34,24,25,19,10,263,37,32,46,42,34,24,23,19,10,266,3,0,0,3,0,9,5,0,0,29,3454,1688,1152,2219,2250,1702,1857,983,318,15618
POA6024,2571,1404,1486,1917,1737,1339,1641,835,170,13095,3,3,0,0,4,7,4,0,0,15,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,35,32,16,23,24,4,7,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,37,37,32,20,23,31,4,7,232,40,43,37,36,24,32,28,4,7,253,0,0,7,3,0,4,0,0,0,16,2615,1446,1535,1948,1762,1374,1668,838,180,13364
POA6025,5905,3412,3459,4158,4023,3790,3387,1489,430,30050,0,0,0,4,3,4,8,0,0,19,0,3,3,0,0,0,0,0,0,17,0,0,8,0,0,8,3,3,0,18,0,0,4,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,103,91,115,69,76,55,46,15,11,569,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,112,90,128,78,84,60,59,16,11,630,106,90,130,81,86,63,65,16,15,652,5,0,8,3,6,9,6,0,0,35,6024,3505,3596,4240,4109,3861,3455,1503,443,30741
