POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA6012,165,109,267,51,30,85,0,0,0,0,0,0,9,0,13,1247,1209,2452,60,89,145,6,0,4,20,0,20,50,8,59,21,6,26,34,68,107,1661,1521,3178,10,20,30,0,4,5,0,0,0,10,10,25,0,0,0,9,3,9,33,35,76,0,0,0,0,0,0,0,3,5,0,0,0,4,0,4,3,8,9,12,10,26,50,50,107,9,7,13,3,0,3,0,0,0,7,10,19,300,295,594,182,290,466,3,6,9,2203,2169,4372
POA6014,75,85,159,350,312,663,0,0,0,0,0,0,23,25,49,3449,3045,6491,192,326,519,17,0,17,33,5,35,216,81,304,54,18,68,94,115,208,4510,4011,8521,52,75,131,0,0,0,0,0,0,15,19,30,3,4,8,10,3,18,79,108,187,0,0,0,0,0,0,20,11,37,9,13,20,10,14,17,38,43,79,36,33,65,154,173,328,15,17,28,10,8,13,5,4,8,26,25,49,587,677,1257,460,785,1244,12,10,25,5750,5681,11426
POA6015,7,8,17,50,25,73,0,0,0,0,0,0,0,0,5,1081,893,1975,52,57,106,0,0,5,7,3,14,49,3,54,4,0,6,16,14,31,1273,1013,2282,3,4,12,0,0,0,0,0,0,9,4,13,3,0,3,0,0,0,24,7,30,0,0,0,0,0,0,5,3,7,0,6,6,0,0,0,7,9,14,9,9,11,35,24,58,0,0,0,3,0,3,0,0,0,0,0,7,250,251,510,110,192,300,9,4,12,1678,1483,3167
POA6016,107,125,236,176,169,349,0,0,0,0,0,0,19,24,41,1778,1617,3399,87,193,278,22,0,22,15,0,18,123,31,151,42,14,52,49,69,112,2420,2237,4654,44,59,104,0,0,0,0,0,0,5,4,11,3,7,10,6,0,9,63,69,135,0,0,0,0,0,0,0,5,8,3,10,13,0,6,3,3,19,24,14,23,34,81,108,191,14,19,33,3,3,6,0,0,0,20,20,41,253,301,547,236,409,648,7,4,8,3009,3082,6095
POA6017,19,26,41,39,47,82,0,0,0,0,0,0,4,7,11,944,754,1695,29,122,151,9,0,9,8,0,10,16,9,20,16,3,22,14,15,27,1100,978,2081,27,39,76,0,0,0,0,0,0,7,11,15,0,4,5,3,5,9,48,60,106,0,0,0,0,0,0,0,0,0,5,4,6,6,4,9,7,5,9,8,9,19,60,71,136,5,19,24,0,0,0,0,0,0,11,20,26,53,67,118,91,156,247,15,0,14,1330,1300,2628
POA6018,245,220,462,165,154,317,0,0,0,0,0,0,30,26,57,6715,6650,13361,328,482,815,64,0,69,71,5,73,175,32,206,173,42,213,90,117,204,8064,7722,15782,276,202,479,0,0,0,0,0,0,135,129,266,20,27,45,10,3,13,437,363,801,0,0,0,0,0,0,17,18,37,9,19,27,3,6,8,29,40,74,77,41,119,546,447,988,50,32,76,10,4,10,3,4,3,54,31,85,1001,1155,2153,892,1537,2433,30,23,53,10578,10914,21499
POA6019,63,95,162,127,90,215,0,0,0,0,0,0,18,17,40,4207,4318,8519,181,266,452,27,0,27,52,4,56,95,19,117,135,31,167,78,81,160,4991,4927,9918,148,115,257,0,0,0,0,0,0,78,88,167,7,7,16,0,0,0,234,213,443,0,0,0,0,0,0,10,18,30,8,3,11,5,0,6,19,20,41,54,26,80,305,261,564,10,15,32,8,0,4,0,0,0,20,18,39,647,765,1414,622,894,1515,33,20,51,6611,6887,13498
POA6020,155,138,287,27,15,45,0,0,0,0,5,5,18,0,16,3551,3230,6780,137,204,338,44,0,50,34,3,39,52,10,60,57,10,68,33,51,84,4103,3662,7768,103,55,157,0,0,0,0,0,0,88,66,159,9,11,27,4,0,9,208,137,347,0,0,0,0,0,0,4,0,11,0,0,0,4,0,3,9,4,13,16,17,32,232,160,393,18,25,46,0,0,0,0,0,0,26,27,50,652,737,1388,547,780,1331,16,14,31,5578,5379,10960
POA6021,121,121,242,65,103,171,0,0,0,0,0,0,22,13,33,3762,3281,7040,166,314,480,68,0,70,28,3,31,49,7,64,73,7,85,27,40,68,4385,3897,8279,79,89,162,0,0,0,0,0,0,39,41,79,10,5,13,4,0,4,134,135,265,0,0,0,0,0,0,3,12,20,9,4,14,5,3,3,15,21,34,30,25,60,179,186,358,26,20,47,0,4,8,0,0,3,27,24,49,410,464,875,404,650,1050,19,17,36,5424,5234,10657
POA6022,39,47,87,9,0,13,0,0,0,0,0,0,3,5,7,854,755,1609,50,52,105,16,0,16,5,0,4,10,0,10,14,5,19,11,5,15,1010,869,1888,24,26,52,0,0,0,0,0,0,8,13,20,5,4,5,5,0,6,42,46,82,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,11,3,19,58,51,110,4,4,13,0,0,0,0,0,0,4,9,12,85,138,219,121,175,294,8,0,8,1288,1242,2529
POA6023,201,170,368,16,9,25,0,0,0,0,0,0,4,7,9,2384,2279,4663,100,145,248,40,0,39,11,0,11,50,6,58,34,7,39,21,37,57,2863,2652,5515,139,56,199,0,0,0,0,0,0,47,59,111,10,6,15,14,3,16,211,128,339,0,0,0,0,0,0,3,8,9,0,6,4,0,0,0,7,8,12,26,7,34,241,149,389,25,24,48,0,0,0,0,0,0,29,24,49,382,468,849,367,550,917,8,10,17,3895,3851,7744
POA6024,150,128,283,19,24,44,0,0,3,0,0,0,7,8,18,2188,2008,4202,100,124,221,32,0,32,13,0,13,27,6,35,58,8,70,21,20,37,2614,2335,4954,66,63,124,0,0,0,0,0,0,49,33,78,0,11,14,4,0,3,120,107,225,0,0,0,0,0,0,3,7,5,0,0,0,3,0,3,3,3,6,19,5,24,141,117,257,22,19,39,0,0,0,0,0,0,20,19,42,247,330,578,355,522,877,12,12,24,3394,3338,6734
POA6025,209,254,457,40,26,67,0,7,5,0,0,0,14,7,20,5278,4803,10082,247,306,553,97,0,100,43,4,45,48,8,52,117,15,134,42,69,110,6127,5495,11621,156,114,273,0,0,0,0,0,0,167,132,299,18,20,37,8,0,12,354,264,619,0,0,0,0,0,0,7,3,5,0,0,3,3,0,4,9,4,14,41,15,59,400,285,690,48,50,96,0,0,3,3,0,3,54,49,104,727,924,1650,795,1171,1966,22,17,38,8122,7934,16059
POA6026,285,226,513,37,14,54,0,0,0,0,0,0,17,14,23,3655,3562,7217,171,200,370,62,0,62,28,4,35,30,0,39,75,14,93,32,37,64,4389,4075,8462,100,84,177,0,0,0,0,0,0,98,81,173,12,12,24,18,3,17,222,173,398,0,0,0,0,0,0,5,0,9,0,3,5,4,0,4,13,8,20,27,9,38,263,192,454,47,27,73,0,0,0,0,0,0,47,27,73,491,570,1058,581,868,1444,17,7,19,5777,5736,11510
POA6027,438,425,863,96,74,171,0,0,0,0,0,0,39,27,67,7174,6444,13621,370,470,841,135,5,140,61,0,60,62,17,80,219,30,250,150,182,329,8752,7667,16422,175,153,328,0,0,0,0,0,0,151,137,285,22,32,56,21,6,22,377,321,696,0,0,0,0,0,0,13,4,14,6,7,15,5,0,9,25,18,38,73,47,125,475,384,858,70,64,128,3,0,3,6,0,8,74,62,142,829,1132,1965,1166,1573,2742,34,34,71,11334,10855,22189
POA6028,367,295,666,33,15,49,3,0,5,0,0,4,13,5,17,4205,3873,8077,219,308,528,86,3,87,17,0,17,21,6,30,106,20,118,26,27,52,5093,4560,9658,68,53,126,0,0,0,0,0,0,105,85,189,27,18,44,13,0,13,217,152,367,0,0,0,0,0,0,3,3,9,0,3,3,4,0,3,11,7,18,27,26,47,248,185,435,23,41,63,0,0,0,0,0,0,25,38,67,546,667,1218,653,869,1526,22,21,46,6596,6340,12935
POA6029,7,4,13,0,3,8,0,0,0,0,0,0,0,3,0,475,437,902,17,26,49,3,0,3,3,0,6,9,5,12,5,0,9,4,10,11,529,490,1021,17,7,15,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,25,10,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,3,4,0,4,27,14,37,3,4,3,0,0,0,0,0,0,3,4,7,101,99,204,66,96,160,0,3,3,728,699,1429
POA6030,378,407,779,81,50,131,7,3,9,0,0,0,20,23,46,6281,6011,12292,439,463,901,139,3,142,49,0,50,22,3,28,215,40,256,66,72,142,7690,7092,14783,199,155,355,0,0,0,0,0,0,103,100,203,19,32,46,11,10,21,339,289,625,0,0,0,0,0,0,0,5,5,7,9,16,3,3,7,12,16,31,73,46,122,419,349,771,67,63,127,6,4,9,9,5,7,74,71,151,596,874,1471,1160,1303,2469,51,27,81,10007,9717,19723
POA6031,88,95,179,57,38,92,4,0,3,0,0,0,16,8,17,3242,3132,6371,200,249,451,65,0,68,26,0,26,13,0,13,114,26,141,42,37,74,3855,3580,7439,61,68,130,0,0,0,0,0,0,68,69,137,8,12,22,0,0,0,133,151,287,0,0,0,0,0,0,0,3,8,3,12,11,0,0,5,3,20,21,56,17,67,193,179,374,27,31,57,0,4,3,3,0,3,31,29,68,241,401,645,506,668,1174,25,24,45,4854,4888,9748
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,56,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,10,3,11,46,38,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,19,5,5,12,0,0,0,60,53,115
POA6033,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,48,116,0,7,10,11,0,11,0,0,0,0,0,0,0,0,0,3,6,15,88,67,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,6,0,0,3,0,0,0,0,0,0,0,0,3,23,23,42,8,20,25,0,5,5,125,112,242
POA6034,14,26,40,6,6,12,0,0,0,0,0,0,0,0,4,582,598,1178,27,42,71,4,0,4,3,0,3,0,0,0,32,0,35,4,0,5,676,675,1350,8,12,21,0,0,0,0,0,0,9,6,19,0,3,5,0,0,0,18,26,41,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,4,7,13,0,13,29,29,56,5,3,11,4,0,4,0,0,0,12,3,11,35,67,103,119,154,280,4,0,8,870,930,1805
POA6035,28,27,53,27,14,44,5,0,5,0,0,0,0,0,6,1382,1394,2774,91,105,196,31,3,32,11,0,11,10,0,11,88,20,106,22,16,42,1692,1587,3278,31,18,50,0,0,0,0,0,0,42,34,70,3,7,6,0,3,5,72,64,135,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,7,28,8,34,105,72,174,12,11,26,0,0,0,0,0,0,16,14,28,104,215,319,378,332,714,13,3,16,2310,2230,4535
POA6036,243,230,473,45,24,70,0,0,0,0,0,0,9,10,20,2623,2683,5304,184,234,412,62,0,61,16,0,16,7,5,12,137,17,155,35,41,75,3356,3245,6597,57,76,133,0,0,0,0,0,0,39,31,70,16,14,29,11,3,13,125,126,248,0,0,0,0,0,0,0,4,4,0,4,4,3,0,3,7,9,14,31,16,45,161,145,302,12,32,36,3,0,3,0,0,0,18,32,47,232,342,571,548,639,1181,22,10,33,4321,4414,8739
POA6037,7,13,12,6,4,13,0,0,0,0,0,0,0,0,0,462,442,901,28,27,60,23,0,23,0,0,0,0,0,5,27,9,28,4,3,8,560,501,1061,4,4,14,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,13,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,22,15,47,4,0,3,0,0,0,0,0,0,5,0,4,30,74,108,146,107,248,4,5,8,773,707,1480
POA6038,103,113,220,16,4,21,0,0,0,0,0,0,0,3,8,1565,1584,3155,106,116,224,26,0,26,9,0,9,4,0,5,75,14,89,20,21,36,1925,1864,3790,37,38,77,0,0,0,0,0,0,38,21,63,5,6,10,3,0,5,90,71,163,0,0,0,0,0,0,0,6,8,4,0,0,7,0,8,5,6,11,26,8,37,125,88,211,16,23,35,0,0,6,0,0,0,19,21,40,125,244,371,354,396,747,6,3,9,2552,2617,5166
POA6041,0,0,4,20,17,42,0,0,0,0,0,0,0,0,0,147,175,327,10,7,16,9,0,9,0,0,0,0,0,0,11,0,8,0,6,3,203,212,413,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,8,7,12,0,0,3,0,0,0,0,0,0,0,0,3,12,31,43,69,37,109,5,0,9,302,288,590
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,6,24
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,42,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,31,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,7,10,21,0,0,0,48,39,89
POA6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,119,270,25,53,78,8,0,10,0,0,0,7,5,10,6,0,6,16,10,23,210,195,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,30,47,44,36,76,0,3,3,269,264,535
POA6050,64,65,127,474,345,819,0,0,0,0,0,0,22,34,56,2344,2142,4486,127,230,358,11,0,11,22,5,28,117,34,149,42,16,57,110,120,231,3329,2992,6320,36,50,89,0,0,0,0,0,0,3,8,7,3,5,4,5,3,13,52,63,107,0,0,0,0,0,0,9,8,12,7,14,23,12,11,20,24,27,57,25,18,38,99,104,203,15,7,24,0,0,3,0,0,0,19,11,24,446,474,924,357,588,946,5,13,23,4250,4187,8438
POA6051,226,207,438,226,234,462,0,0,0,0,0,0,37,32,72,2200,1958,4155,96,206,308,14,0,11,24,0,26,109,40,152,66,18,88,54,44,98,3052,2750,5801,61,67,129,0,0,0,0,0,0,17,15,36,5,5,13,7,8,11,87,97,186,0,0,0,0,0,0,10,5,17,5,8,12,5,7,14,24,26,46,29,29,57,142,154,291,18,27,45,5,4,6,0,0,0,22,25,51,293,335,626,361,470,829,30,8,34,3891,3746,7634
POA6052,23,31,53,321,305,621,0,0,0,0,0,0,14,12,27,1808,1656,3458,97,172,266,17,0,17,22,3,26,67,13,84,36,9,49,30,43,73,2434,2247,4680,29,27,57,0,0,0,0,0,0,6,7,9,0,4,9,0,0,0,34,40,76,0,0,0,0,0,0,6,5,15,8,9,14,13,5,19,25,24,39,19,12,31,76,75,149,3,3,8,5,0,3,0,0,0,5,9,16,288,337,619,261,452,714,12,5,19,3075,3115,6188
POA6053,254,216,470,120,115,239,0,0,0,0,0,5,17,18,35,2430,2325,4760,132,197,336,25,0,25,29,3,32,126,27,159,49,25,70,41,22,59,3241,2946,6185,41,40,80,0,0,0,0,0,0,19,31,51,6,13,15,4,0,7,66,85,153,0,0,0,0,0,0,10,3,15,3,3,4,4,0,4,14,4,18,25,10,35,106,99,209,8,11,19,3,0,5,0,0,0,12,16,27,348,399,745,376,598,972,12,11,23,4091,4069,8156
POA6054,219,235,454,57,62,114,0,0,0,0,0,0,15,22,45,3318,3080,6396,190,241,433,52,5,52,31,3,38,65,15,85,80,20,104,38,43,86,4069,3736,7805,55,58,111,0,0,0,0,0,0,45,36,78,4,11,15,6,9,18,104,119,221,0,0,0,0,0,0,9,3,9,4,4,12,5,6,4,17,15,24,31,16,47,152,148,301,16,31,45,5,0,3,0,0,0,21,29,52,372,411,790,496,675,1171,18,13,27,5132,5010,10142
