POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6020,4,15,162,1595,3595,831,106,109,6417,0,42,323,426,66,7,0,36,898,0,10,97,241,123,21,0,6,499,0,51,419,662,185,25,3,47,1396,21,42,41,52,0,0,0,53,205,0,6,70,23,0,0,0,3,105,0,8,98,11,0,0,0,3,115,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,28,59,206,84,0,0,0,62,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,124,793,2340,3781,857,110,213,8257
POA6021,7,13,139,2037,2837,459,58,146,5695,4,121,589,1480,90,8,0,135,2432,0,25,58,134,37,0,0,24,281,5,145,645,1614,125,8,0,164,2711,0,8,23,17,6,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,11,26,17,6,0,0,3,57,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,11,165,816,3670,2967,469,57,313,8467
POA6022,5,6,26,806,827,106,17,32,1833,0,0,31,127,17,0,0,12,183,0,0,0,0,7,0,0,0,6,0,0,32,130,20,0,0,12,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,57,940,844,106,18,52,2028
POA6023,0,4,43,1267,3149,533,80,64,5138,0,3,122,154,24,0,0,21,322,0,0,17,21,3,0,0,0,43,0,5,140,173,24,6,0,24,365,6,15,39,7,0,0,0,9,78,0,8,5,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,8,28,54,9,0,0,0,17,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,36,232,1447,3176,532,83,102,5621
POA6024,0,14,84,2031,2261,286,45,122,4845,0,7,70,254,28,6,0,16,372,0,0,16,17,7,0,0,0,40,0,12,87,266,29,6,0,15,415,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,9,9,0,0,0,4,0,0,0,0,3,0,25,194,2308,2291,292,45,140,5296
POA6025,6,34,153,3937,5295,943,136,189,10702,0,18,172,657,40,3,0,29,917,0,13,46,83,28,3,0,11,183,0,34,217,739,67,3,0,39,1097,0,8,53,24,0,0,0,5,86,0,0,4,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,3,0,19,0,12,68,33,5,0,3,11,123,0,0,0,0,0,0,0,27,25,0,0,3,0,0,0,0,0,5,3,77,443,4707,5370,949,140,262,11957
POA6026,3,20,58,1535,4792,715,78,86,7281,0,35,280,473,20,5,0,36,845,0,0,34,42,5,0,0,3,91,0,37,312,515,30,5,0,38,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,6,0,0,0,0,0,9,9,24,54,4,4,0,0,12,104,0,0,0,0,0,0,0,0,0,11,81,429,2056,4821,715,83,146,8341
POA6027,13,38,199,4455,7132,1274,197,336,13636,0,79,121,469,75,3,0,46,790,8,75,110,316,105,24,12,39,689,8,148,233,786,185,26,12,83,1485,0,7,16,21,5,0,0,0,51,0,56,197,58,5,0,0,35,358,4,100,247,124,0,0,0,42,518,0,0,0,0,0,0,0,0,0,0,10,14,3,5,0,3,0,30,4,173,473,203,20,0,3,77,950,0,0,0,10,4,0,0,71,91,3,4,7,6,0,0,0,20,32,29,374,908,5458,7332,1300,210,587,16192
POA6028,6,34,77,954,5469,753,100,138,7539,0,8,38,168,25,0,0,19,254,0,0,0,8,8,4,0,0,19,0,8,40,173,29,4,0,20,269,0,17,21,38,0,0,0,9,84,0,14,56,29,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,34,75,66,0,0,0,10,197,0,6,0,3,0,0,0,12,20,0,0,0,0,0,0,0,4,6,3,89,201,1200,5505,763,96,185,8033
POA6029,0,0,54,313,396,92,16,22,889,0,0,33,33,0,0,0,5,67,0,0,32,26,0,0,0,5,67,0,0,66,58,0,0,0,7,135,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,371,399,92,16,33,1034
POA6030,9,40,358,3628,7660,913,112,536,13252,0,64,500,554,54,0,3,79,1262,0,24,109,69,9,0,0,17,222,0,85,606,620,62,5,5,93,1481,0,0,0,0,0,0,0,0,11,0,29,66,12,0,0,0,12,118,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4,0,5,5,0,0,14,0,35,78,21,3,5,0,15,151,0,0,0,0,0,0,0,9,13,0,0,0,4,5,0,0,3,11,12,166,1044,4274,7729,916,111,659,14913
POA6031,7,10,102,1584,3771,303,46,171,5993,0,16,66,75,12,0,0,19,183,0,0,17,3,0,0,0,0,23,0,16,82,78,12,0,0,17,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,9,0,4,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,7,29,189,1656,3787,308,48,193,6214
POA6032,0,3,3,16,22,9,3,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,22,9,3,12,73
POA6033,0,0,8,33,64,16,10,10,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,64,16,10,10,143
POA6034,0,4,6,487,696,32,8,53,1279,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,494,699,28,8,53,1287
POA6035,4,10,123,1225,2026,203,24,168,3785,0,0,45,32,0,0,0,6,84,0,0,0,17,0,0,0,0,15,0,0,45,49,6,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,18,164,1268,2031,203,24,176,3896
POA6036,0,27,274,2092,3030,299,37,216,5974,0,6,40,44,5,0,0,8,104,0,17,33,3,0,0,0,4,56,0,25,71,50,4,0,0,7,160,0,8,26,6,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,28,6,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,62,374,2150,3039,299,37,223,6189
POA6037,0,8,89,484,614,112,22,98,1426,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,8,94,487,611,112,21,97,1435
POA6038,7,14,79,1380,1844,100,10,108,3534,0,0,6,25,11,0,0,0,39,0,0,16,24,0,0,0,0,40,0,0,20,48,10,0,0,4,83,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,102,1436,1855,100,9,115,3629
POA6041,8,16,34,186,261,44,23,42,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,16,36,186,261,44,23,47,611
POA6042,0,0,3,18,14,5,0,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,6,5,18,14,4,0,14,60
