POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6275,18,205,224,241,62,304,70,14,74,48,3,53,19,6,24,6,5,14,400,297,699
POA6280,316,3179,3499,4018,625,4639,1562,117,1676,1458,79,1538,599,38,638,256,13,271,8209,4054,12264
POA6281,102,679,786,1032,213,1244,437,47,479,465,49,512,159,22,183,49,13,66,2246,1014,3263
POA6282,16,101,115,189,75,263,76,22,92,67,16,79,44,3,43,17,3,17,403,217,618
POA6284,28,178,202,281,72,349,156,19,175,180,23,203,55,4,63,20,3,20,715,299,1015
POA6285,133,942,1075,1087,311,1405,591,91,680,553,69,626,205,22,225,69,12,81,2636,1450,4086
POA6286,15,85,100,103,29,135,46,3,52,34,3,35,21,0,21,3,0,6,220,121,350
POA6288,10,63,73,75,20,95,32,0,28,31,3,32,7,0,8,4,0,4,155,90,240
POA6290,13,319,335,352,84,431,82,11,93,38,5,41,13,4,18,5,0,5,503,416,919
POA6302,41,524,569,532,116,649,164,17,181,102,12,114,52,0,55,34,0,34,929,670,1601
POA6304,25,227,255,267,55,318,75,9,85,46,6,52,23,4,24,12,3,12,447,302,751
POA6306,4,111,120,133,15,149,40,7,43,39,7,47,11,0,19,10,0,10,238,139,387
POA6308,20,205,227,242,49,289,59,9,73,52,3,55,21,0,23,18,0,15,413,272,686
POA6309,4,46,50,48,4,51,13,3,14,6,0,6,3,0,3,6,0,3,83,53,135
POA6311,8,70,79,100,18,118,31,0,31,21,0,24,7,3,7,6,0,8,171,95,265
POA6312,40,675,718,539,113,650,215,39,255,156,23,181,86,11,94,36,0,40,1078,859,1939
POA6313,4,23,20,44,8,50,4,0,4,9,0,10,5,0,3,3,0,3,71,28,101
POA6315,17,270,290,266,54,317,69,8,78,66,3,68,25,7,33,20,3,23,464,351,810
POA6316,7,37,42,46,10,58,11,0,10,20,0,20,13,0,15,6,0,6,105,53,158
POA6317,24,458,485,460,91,554,207,30,238,156,17,171,66,13,76,75,13,90,992,623,1612
