POA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA6012,2647,2964,5619,0,0,0,3,0,8,18,30,46,37,67,103,7,4,14,3,0,4,0,3,3,16,36,46,6,3,6,21,38,61,33,35,64,13,25,40,15,6,21,12,4,13,36,64,105,30,16,47,11,23,31,0,9,15,4,0,5,38,52,89,3,0,3,15,13,25,78,71,141,5,4,3,17,36,49,14,29,37,41,45,87,85,82,170,17,19,35,0,3,6,5,27,32,425,436,868,46,54,99,0,11,13,284,297,577,179,213,392,18,22,37,4199,4733,8930
POA6014,6740,7170,13914,0,0,0,9,10,14,60,49,110,151,213,360,12,15,27,12,13,23,3,3,7,44,66,104,14,16,26,40,38,71,194,191,385,25,46,73,41,41,83,0,0,0,119,122,238,79,69,154,34,64,98,19,25,42,0,0,3,144,180,321,33,33,59,51,35,89,160,152,313,11,17,29,41,55,96,20,25,41,82,109,194,168,197,367,36,45,78,15,16,29,23,34,62,872,812,1684,91,101,189,36,48,84,838,945,1787,187,208,395,32,22,51,10429,11195,21625
POA6015,2210,2286,4500,0,0,3,0,0,3,15,19,30,25,31,53,0,0,0,5,3,8,0,0,0,28,27,53,13,9,20,11,12,28,43,47,87,9,12,20,11,12,21,0,0,0,34,19,54,30,31,60,9,10,20,0,4,3,0,0,3,45,54,94,0,0,0,16,14,34,53,41,95,0,0,0,5,7,10,4,12,21,32,26,57,88,92,181,7,4,13,0,5,4,0,3,3,319,287,604,48,58,103,8,14,15,108,152,266,48,71,122,14,12,24,3252,3394,6646
POA6016,3240,3419,6660,0,7,3,3,4,9,18,25,38,31,48,85,7,8,15,3,4,14,0,0,0,15,25,39,16,28,48,21,16,37,198,180,377,9,29,34,10,13,23,5,0,5,69,55,118,80,79,161,5,19,20,9,9,19,0,5,5,32,61,91,49,60,107,6,10,20,83,75,159,6,0,10,27,39,62,18,13,33,12,34,49,51,52,99,11,9,23,8,7,12,3,10,15,399,303,703,35,30,63,19,47,69,509,594,1100,153,133,287,15,18,32,5163,5470,10632
POA6017,936,970,1907,4,0,10,0,0,5,3,0,3,27,42,68,17,10,25,0,0,0,0,0,0,0,13,11,5,3,11,6,11,12,149,127,273,4,12,21,20,12,29,8,6,14,40,37,68,58,49,108,5,11,16,10,6,15,0,0,6,18,41,58,28,20,49,0,0,3,49,37,82,18,14,33,34,37,67,6,7,12,16,14,29,18,22,39,10,7,18,4,5,9,9,16,21,97,110,202,8,3,11,15,33,44,406,420,823,144,125,264,9,4,9,2167,2227,4397
POA6018,12613,14133,26750,6,4,15,9,6,12,62,73,144,349,490,838,47,51,95,19,35,52,5,5,12,91,114,210,25,32,61,85,97,183,302,313,610,56,128,185,102,111,214,18,14,31,233,229,463,227,216,443,53,119,172,34,57,85,8,5,19,228,330,560,13,9,23,67,87,150,459,396,849,18,16,32,55,118,171,60,90,148,137,176,313,415,458,877,60,66,123,23,42,68,21,82,98,1662,1683,3339,109,116,222,67,95,161,1016,1215,2225,611,674,1290,41,62,106,19406,21951,41357
POA6019,7510,7646,15157,3,4,6,4,0,0,56,89,137,86,131,215,13,16,29,10,21,27,3,4,10,80,101,178,5,15,19,24,19,47,74,58,134,30,52,79,21,34,49,4,3,8,151,177,325,104,91,193,33,83,121,4,14,19,0,0,0,58,101,162,0,0,0,30,54,85,351,292,645,3,6,15,16,47,66,27,48,75,51,55,106,304,308,603,19,21,40,11,5,16,8,34,42,1109,1069,2178,86,105,192,15,23,36,678,891,1572,433,436,865,45,35,79,11467,12074,23541
POA6020,7457,7790,15247,3,0,8,0,0,0,25,49,77,49,77,125,19,8,24,15,12,25,0,4,4,61,67,121,16,19,34,16,24,43,78,67,147,14,27,38,21,7,31,0,4,10,103,118,217,99,77,174,12,14,23,10,17,20,0,4,5,55,94,148,0,0,0,61,45,107,231,217,442,3,3,8,8,40,44,24,49,69,37,57,98,292,325,618,14,9,23,6,0,4,9,18,25,1204,1201,2404,58,56,110,20,25,44,375,464,838,186,206,393,21,15,40,10585,11220,21804
POA6021,5819,6221,12040,14,15,32,4,3,11,21,34,51,176,248,425,88,103,190,17,21,34,4,4,6,20,39,62,104,124,224,52,60,111,376,330,707,27,63,91,51,62,108,11,12,21,111,83,189,502,560,1059,17,50,71,8,24,30,12,7,23,131,158,288,26,22,47,18,20,37,153,129,284,48,30,73,54,92,150,32,57,93,56,60,105,122,141,258,35,29,60,28,50,73,11,56,73,503,440,949,35,47,82,130,151,285,767,932,1703,350,358,708,13,25,34,9966,10835,20807
POA6022,1757,1770,3533,0,0,0,0,0,0,13,13,27,14,31,45,0,5,5,3,3,7,4,3,6,10,13,18,0,5,6,5,4,13,39,33,69,3,3,5,10,10,21,7,3,7,38,31,72,24,16,40,0,10,14,0,0,3,0,0,0,19,16,36,4,4,4,3,9,17,86,68,154,6,3,11,10,14,26,6,4,13,8,8,17,24,34,61,9,9,16,0,0,7,0,18,18,188,207,400,11,7,22,24,26,51,111,130,239,61,56,113,5,6,3,2512,2586,5091
POA6023,5082,5138,10221,0,0,0,3,0,3,30,38,67,41,60,99,19,14,30,7,17,20,3,0,0,41,56,95,7,9,22,7,19,26,69,81,148,12,20,31,24,30,51,0,0,0,108,109,211,50,40,94,7,17,24,5,9,12,3,0,8,65,75,141,0,0,0,25,26,57,173,166,336,0,0,0,17,26,41,19,44,62,25,32,59,278,295,574,7,6,15,9,13,16,6,30,32,1062,1015,2073,60,48,110,11,23,34,288,389,676,86,112,196,11,14,29,7648,7966,15618
POA6024,4505,4631,9136,0,0,0,0,0,3,16,18,38,38,61,102,9,4,16,3,0,5,4,4,3,42,54,99,12,7,21,8,11,20,94,82,178,6,15,29,13,13,22,0,0,0,125,99,225,66,52,113,14,27,39,3,7,14,0,0,0,43,59,100,4,4,5,35,23,53,190,164,353,3,0,10,24,36,60,13,21,26,29,33,64,111,121,230,14,16,22,10,9,23,5,32,38,634,672,1308,22,30,56,39,47,85,220,302,522,155,177,335,5,8,16,6525,6838,13364
POA6025,9665,9814,19480,6,3,11,4,3,9,49,65,113,73,101,170,17,19,38,24,22,44,3,7,13,86,104,188,7,18,24,21,34,56,106,126,233,19,61,83,28,30,60,3,0,5,243,240,481,101,71,172,12,46,61,7,16,20,6,8,16,63,90,154,4,3,5,58,53,112,439,391,826,15,13,25,31,92,125,59,71,127,56,53,108,442,501,943,13,12,28,8,14,24,12,48,64,2284,2369,4654,61,82,139,32,45,75,637,761,1402,316,318,636,22,14,35,15025,15715,30741
POA6026,6925,7392,14323,0,6,4,0,0,0,23,36,54,60,79,134,14,14,25,3,8,6,6,3,0,56,62,120,9,9,17,23,22,47,103,95,198,9,33,47,53,60,112,0,0,0,174,172,344,58,57,118,16,32,47,5,9,16,0,6,7,58,89,147,0,3,9,49,52,101,257,277,533,4,3,5,18,48,68,30,42,69,28,47,73,318,335,656,10,11,26,3,5,9,14,42,53,1779,1842,3620,35,40,75,17,25,38,385,462,846,141,153,297,14,14,29,10694,11590,22285
POA6027,11870,11650,23520,3,9,16,20,6,21,63,80,144,81,123,208,21,15,32,43,46,86,9,8,16,126,138,262,20,16,37,22,39,63,195,147,349,39,86,127,65,52,120,18,13,32,398,366,761,107,91,199,18,44,59,26,25,55,9,9,12,104,157,258,11,16,29,91,96,185,572,573,1149,30,26,63,53,154,208,64,118,184,84,106,197,671,719,1393,55,47,103,11,31,43,22,123,145,4009,4103,8111,101,81,185,40,61,108,962,1100,2068,746,743,1489,29,30,61,20814,21266,42076
POA6028,5564,5661,11218,17,18,41,0,3,3,28,42,73,61,77,141,13,12,25,33,39,71,4,9,10,36,44,80,0,5,11,17,23,45,84,80,171,22,46,67,45,38,83,6,3,8,200,199,396,28,24,51,10,26,36,10,14,29,5,3,3,75,81,160,0,0,3,25,33,61,265,256,521,12,14,24,52,98,147,43,51,94,80,90,172,753,804,1555,12,14,24,0,15,15,8,43,50,2909,2963,5871,56,44,104,25,30,57,482,586,1073,179,192,377,12,15,29,11191,11704,22893
POA6029,982,1090,2075,0,0,0,0,0,0,8,11,11,0,10,11,0,0,0,0,0,3,0,0,0,5,4,14,0,0,0,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,8,13,20,18,17,33,0,0,0,0,0,0,0,0,0,3,7,9,0,0,0,7,7,12,20,23,41,0,0,0,0,9,9,3,8,5,3,5,8,26,38,66,0,0,0,0,0,0,4,6,6,129,97,224,17,16,35,0,3,4,34,46,80,30,34,68,3,3,6,1308,1450,2758
POA6030,10344,10679,21017,55,62,116,15,19,34,38,52,89,56,103,165,22,22,37,40,33,72,9,7,19,80,109,191,10,12,23,10,23,37,217,201,416,28,83,108,31,25,59,17,20,32,222,237,462,62,58,118,9,37,45,14,24,33,3,9,10,89,133,224,13,4,17,50,56,110,746,739,1482,24,22,50,154,249,404,64,84,146,81,83,162,839,899,1736,16,12,29,9,27,35,34,107,139,3899,4009,7908,69,81,149,57,91,147,925,1152,2084,758,804,1565,33,42,70,19141,20412,39550
POA6031,4848,5254,10106,11,12,26,0,3,4,17,20,31,19,39,53,7,16,19,22,17,38,3,6,8,30,30,61,3,0,3,7,9,11,223,217,442,10,28,40,16,19,35,4,0,13,107,107,220,20,11,33,3,12,14,8,6,17,0,0,0,37,60,89,6,9,12,16,13,29,323,341,662,15,11,24,209,257,464,16,20,39,30,39,70,325,327,656,11,20,28,0,16,19,20,47,66,1553,1606,3159,10,14,30,38,68,107,518,601,1118,223,221,443,10,17,25,8726,9499,18226
POA6032,61,49,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,24,0,0,0,0,4,3,8,4,11,10,13,20,0,0,0,93,93,183
POA6033,133,115,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,4,12,0,0,3,0,0,0,0,4,6,25,27,52,0,0,0,8,7,13,8,6,12,26,26,55,5,0,5,233,211,434
POA6034,933,1028,1962,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,5,0,3,5,4,8,3,0,3,0,0,5,19,13,24,0,6,11,3,0,5,0,0,0,23,15,34,0,0,9,0,0,0,0,0,5,0,4,5,0,12,9,0,0,0,3,3,7,90,111,198,0,3,3,22,22,43,0,0,0,8,12,20,86,90,173,0,0,4,0,0,0,6,4,12,312,362,666,3,0,14,3,0,6,89,107,199,66,64,131,3,0,3,1680,1884,3567
POA6035,3025,3106,6129,3,0,4,0,0,0,7,14,24,10,11,20,6,3,10,5,9,11,0,4,5,29,41,69,4,0,6,0,3,8,29,18,46,6,7,16,0,0,5,0,0,0,34,37,71,9,16,28,0,7,7,10,9,15,0,0,0,7,10,18,0,0,0,22,15,35,256,298,554,0,0,0,23,43,66,10,12,19,6,3,8,160,185,343,0,7,4,0,5,3,5,26,25,1025,1156,2188,19,15,38,0,11,12,156,188,345,198,211,403,32,6,39,5105,5492,10591
POA6036,4219,4422,8645,8,8,19,5,3,3,19,25,36,11,30,43,8,3,14,31,34,57,3,5,9,28,37,64,0,0,3,8,11,22,97,93,184,10,27,34,10,17,33,14,8,19,83,102,185,18,16,36,3,23,27,3,8,10,0,0,3,31,37,69,10,8,14,14,23,39,393,430,818,16,13,30,109,131,245,17,31,50,17,29,48,385,461,849,5,4,9,0,6,10,12,32,36,1860,2009,3863,23,23,47,18,20,34,363,471,827,250,250,503,13,15,24,8102,8861,16965
POA6037,1191,1132,2329,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,14,15,28,0,0,0,0,5,5,3,0,7,0,6,9,0,0,0,0,0,0,6,12,24,9,0,7,0,0,0,0,0,0,0,0,0,5,5,9,0,0,0,3,8,16,88,80,167,0,0,0,0,6,11,0,3,3,0,0,0,36,37,72,0,0,0,0,0,4,0,9,11,263,287,555,4,4,19,0,0,0,58,50,106,123,122,241,14,0,11,1826,1804,3630
POA6038,2370,2643,5012,7,3,5,0,0,0,7,11,22,12,25,35,9,3,12,7,7,19,0,0,0,16,17,35,0,0,0,4,14,20,85,78,165,17,22,36,4,3,8,6,5,9,46,50,104,8,12,21,10,11,19,6,10,15,0,0,3,30,27,58,0,0,0,4,12,18,210,248,460,10,3,13,70,84,152,7,8,17,11,15,31,225,248,478,0,3,10,4,5,11,13,17,28,1014,1185,2200,11,13,16,0,9,13,246,314,563,117,128,247,6,9,14,4606,5261,9867
POA6041,473,487,954,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,5,16,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,8,16,5,6,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,31,23,59,0,0,0,4,3,5,0,0,0,0,0,0,3,8,7,0,0,3,0,0,0,0,6,7,102,120,226,4,4,8,0,5,5,40,44,85,57,50,105,3,8,18,756,780,1536
POA6042,30,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,17,12,30,0,0,0,62,45,105
POA6043,86,73,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,17,0,0,0,0,0,0,0,3,3,8,8,22,0,0,0,111,104,220
POA6044,427,365,793,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,4,4,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,4,19,17,30,0,0,0,4,6,5,0,5,4,0,0,0,3,5,12,0,0,0,7,25,39,0,6,6,45,55,102,0,5,7,4,6,8,34,40,76,56,44,103,9,15,24,633,630,1266
POA6050,4906,5358,10269,3,0,3,4,0,5,21,38,60,42,89,134,6,20,26,3,6,4,5,4,8,29,46,75,23,27,47,20,20,43,91,86,171,14,29,45,9,9,25,6,0,0,58,59,115,138,162,306,17,31,47,10,32,42,3,0,3,73,100,169,40,25,63,29,31,58,160,127,291,20,8,23,22,50,70,17,30,50,41,60,94,119,126,245,31,25,60,6,10,17,14,32,49,696,640,1337,46,43,90,75,89,167,362,400,759,290,295,579,12,18,31,7472,8103,15576
POA6051,3716,3559,7275,4,3,8,20,7,29,24,30,55,59,89,149,8,11,18,8,8,11,3,4,9,29,55,86,8,10,16,27,35,59,285,237,529,36,60,102,30,10,38,4,4,9,70,60,136,62,47,104,15,37,54,19,41,59,3,3,6,83,97,180,53,51,103,23,21,42,131,137,265,45,11,58,39,67,109,31,52,80,40,52,89,67,92,159,43,32,76,10,28,40,24,49,70,511,444,956,37,32,69,74,93,167,471,506,980,320,271,588,19,21,34,6448,6376,12817
POA6052,3669,3893,7569,0,0,3,6,4,3,20,21,38,45,76,121,10,12,23,6,4,15,3,4,7,27,37,63,9,16,30,24,23,48,76,94,170,11,22,35,26,20,41,6,10,20,68,46,113,87,88,175,4,28,27,10,22,29,0,3,3,56,85,139,20,18,34,13,18,32,101,89,195,18,15,35,15,34,47,18,30,47,26,37,63,54,44,96,29,26,51,4,12,17,18,25,42,436,344,783,20,30,50,74,105,178,285,352,638,154,157,313,7,14,17,5451,5841,11294
POA6053,4749,5022,9769,17,9,20,10,9,17,29,25,54,49,93,144,15,9,26,4,0,3,0,5,6,38,41,80,7,10,13,11,25,33,185,178,366,16,28,40,20,12,35,12,11,16,96,84,184,78,74,151,10,37,43,13,24,45,0,5,6,70,83,153,26,21,54,41,28,67,204,182,382,20,8,32,50,91,133,29,43,75,35,42,78,54,64,112,29,26,55,15,16,34,13,35,49,585,583,1169,44,40,79,91,100,198,358,380,742,233,229,462,9,5,16,7250,7678,14933
POA6054,6761,6921,13682,5,4,16,8,7,14,13,23,35,68,92,159,27,46,81,6,4,15,6,0,9,37,55,86,11,6,16,8,16,34,214,229,445,25,50,66,15,11,28,13,15,28,90,74,166,87,83,170,14,24,33,15,25,41,3,0,4,82,108,187,22,22,43,32,29,62,294,255,542,23,10,36,112,187,301,27,39,64,35,43,75,56,81,145,32,16,53,4,21,25,18,67,84,757,729,1490,39,32,65,121,170,294,472,556,1027,489,438,925,15,21,33,10053,10530,20579
POA6055,9428,9543,18971,76,50,124,13,15,33,21,19,41,59,103,157,42,35,71,19,6,26,10,9,13,40,43,79,3,4,11,38,35,68,1265,1233,2502,38,84,116,16,27,43,49,46,96,98,86,181,66,57,125,12,30,39,11,22,29,6,4,13,70,118,188,59,57,118,24,25,53,508,514,1023,76,61,132,689,845,1533,29,19,48,73,85,158,179,184,369,74,74,151,0,20,17,25,106,127,899,892,1798,34,48,83,94,133,228,1039,1118,2155,391,358,748,30,56,84,15620,16160,31772
POA6056,13884,14110,27991,6,5,16,11,18,27,28,40,71,69,112,179,77,100,181,3,8,15,13,10,19,103,111,214,7,9,15,6,12,22,376,354,734,29,61,90,13,9,24,10,14,19,97,89,182,227,238,462,8,21,31,10,15,29,0,5,0,60,93,155,12,16,21,79,73,153,701,688,1390,22,20,46,471,632,1104,33,61,98,27,41,69,143,143,288,41,38,85,9,24,31,20,109,128,1463,1549,3014,57,77,130,44,84,130,623,680,1310,1208,1181,2389,38,44,74,20057,20892,40950
POA6057,5839,5914,11753,3,0,5,0,0,0,8,15,21,4,28,36,3,8,13,0,4,6,3,0,4,32,29,61,4,7,14,0,11,8,96,88,184,14,28,42,7,3,6,0,0,0,48,52,104,51,31,85,3,15,15,4,12,15,6,0,8,36,53,84,3,0,3,31,29,58,338,309,642,6,10,12,97,144,240,5,7,20,25,37,60,56,89,145,15,16,28,4,10,14,8,46,58,684,748,1430,24,19,41,8,18,25,201,231,433,240,254,496,9,9,18,7916,8265,16183
