POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6448,22,22,3,4,166
POA6450,947,642,413,103,5989
POA6452,0,0,0,0,4
POA6460,54,60,12,5,287
POA6461,28,45,6,3,197
POA6462,7,10,0,0,56
POA6463,0,0,0,0,10
POA6465,0,0,0,0,14
POA6466,0,4,0,0,16
POA6467,4,5,0,0,10
POA6468,16,4,6,0,87
POA6470,0,0,0,0,4
POA6472,5,4,0,4,58
POA6473,0,0,0,0,14
POA6475,18,25,10,0,123
POA6476,0,5,0,0,9
POA6477,19,9,3,0,97
POA6479,48,28,14,7,238
POA6480,4,0,0,0,23
POA6484,0,0,0,0,12
POA6485,26,27,18,9,189
POA6487,4,0,0,0,18
POA6488,10,5,4,0,56
POA6489,10,15,4,0,50
POA6490,24,23,3,0,128
POA6501,70,43,19,5,389
POA6502,120,98,50,6,538
POA6503,187,147,88,10,1002
POA6504,34,18,20,0,139
POA6505,10,7,3,0,51
POA6506,5,7,0,0,26
POA6507,82,31,10,4,462
POA6509,21,21,12,0,106
POA6510,156,125,45,19,854
POA6511,50,66,17,5,260
POA6512,8,12,0,0,36
POA6513,12,5,5,0,68
POA6514,74,81,37,7,299
POA6515,31,27,4,0,149
POA6516,193,214,69,18,972
POA6517,28,39,19,0,217
POA6518,39,14,12,5,131
POA6519,50,42,20,0,292
POA6521,35,33,14,0,189
POA6522,61,57,23,5,284
POA6525,364,374,178,33,1826
POA6528,33,22,10,4,155
POA6530,2473,1715,836,352,15464
POA6532,570,369,106,19,3262
POA6535,171,172,55,17,756
POA6536,305,367,112,18,1336
POA6537,365,373,117,6,1633
POA6556,207,120,32,9,940
POA6558,112,58,16,3,586
POA6560,106,88,47,9,546
POA6562,90,122,29,6,617
POA6564,34,34,5,5,159
POA6566,417,357,139,23,1654
POA6567,71,47,28,0,235
POA6568,15,17,4,0,70
POA6569,13,8,10,5,96
POA6571,4,4,0,0,32
POA6572,0,0,0,0,15
POA6574,3,3,0,0,34
POA6575,3,8,4,0,47
POA6603,82,74,26,5,483
POA6605,6,0,0,0,19
POA6606,3,7,0,3,47
POA6608,20,4,0,0,69
POA6609,49,36,21,10,355
POA6612,25,23,8,4,91
POA6613,10,3,0,0,20
POA6614,0,0,0,0,7
POA6616,8,4,0,0,30
POA6620,120,42,11,5,691
POA6623,57,80,24,10,329
POA6625,0,4,0,0,24
POA6627,6,4,4,0,35
POA6628,0,0,0,0,4
POA6630,54,95,8,0,325
POA6631,5,0,0,0,5
POA6632,0,0,4,0,33
POA6635,121,46,8,0,845
POA6638,181,93,18,4,991
POA6639,51,24,15,0,224
POA6640,72,47,9,0,359
POA6642,250,111,29,0,1541
POA6646,108,39,7,0,949
POA6701,823,885,255,33,4310
POA6705,41,54,7,0,169
POA6707,661,712,198,26,3659
POA6710,260,214,51,0,1323
POA6712,37,6,0,0,268
POA6713,122,48,14,0,727
POA6714,1704,617,135,12,13164
POA6716,264,76,8,0,1690
POA6718,51,32,10,0,262
POA6720,299,180,38,3,1834
POA6721,593,334,78,4,3737
POA6722,941,307,58,15,7004
POA6725,1512,1233,304,45,8565
POA6726,1007,933,301,23,5518
POA6728,615,462,77,7,3379
POA6740,236,151,30,0,1261
POA6743,921,637,115,19,4945
POA6751,955,353,63,0,6192
POA6753,1306,250,27,0,9587
POA6754,148,22,8,4,1007
POA6758,261,37,3,3,2163
POA6760,249,104,8,0,1573
POA6762,121,16,0,0,887
POA6765,152,116,17,0,848
POA6770,370,287,56,8,1871
