POA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
POA6012,27,47,74,15,18,36,8,64,66,11,87,101,29,176,201,31,122,151,40,88,136,67,99,170,86,104,194,88,95,182,76,71,149,87,39,126,154,112,263,125,14,144,164,25,193,88,4,90,942,80,1024,209,20,225,15,36,43,2247,1316,3567
POA6014,38,74,119,27,29,57,23,65,88,13,125,138,51,263,313,65,267,333,127,210,338,152,212,366,232,270,499,304,218,522,219,175,394,254,119,369,480,232,714,405,24,428,409,57,463,299,12,314,2300,129,2424,397,46,443,25,63,87,5827,2595,8422
POA6015,15,18,30,10,5,11,0,8,14,4,26,29,12,52,63,10,41,49,33,30,68,42,34,70,67,38,102,62,27,90,37,21,56,55,18,70,101,42,138,91,3,98,98,9,110,72,4,75,951,46,999,174,4,181,19,23,39,1857,464,2321
POA6016,20,33,53,6,16,23,8,48,58,9,74,87,34,163,193,35,112,147,76,73,147,75,82,155,115,107,222,112,97,211,108,79,188,104,80,182,314,142,452,256,21,285,268,40,310,186,14,197,928,73,1001,168,23,191,14,32,46,2843,1301,4146
POA6017,15,21,34,0,11,12,0,31,34,3,73,80,16,145,158,16,72,92,49,60,118,52,79,131,71,110,183,99,108,208,85,95,179,86,53,138,175,119,292,112,7,117,80,20,96,65,3,70,85,25,106,69,19,87,9,20,30,1085,1077,2163
POA6018,100,162,258,41,65,105,53,178,234,39,308,349,139,726,866,142,405,545,355,326,679,399,313,712,465,350,820,522,315,841,392,327,722,445,268,717,1073,529,1601,1001,82,1083,1020,163,1179,767,53,815,3179,270,3450,932,158,1088,67,143,209,11117,5139,16257
POA6019,48,104,149,20,42,63,18,84,106,21,142,167,58,310,368,83,278,358,161,222,388,177,248,420,284,289,574,311,299,613,233,248,478,261,238,503,632,525,1163,520,61,578,602,173,774,406,32,442,1800,265,2071,582,193,777,48,59,109,6262,3824,10087
POA6020,46,57,105,35,41,76,32,81,108,12,90,104,94,258,350,79,195,269,207,142,353,244,128,369,306,123,435,314,108,421,209,75,290,258,69,324,597,134,738,439,12,452,527,49,577,402,9,408,2043,85,2130,480,30,512,51,62,116,6385,1754,8137
POA6021,78,83,160,20,26,49,31,100,134,31,175,208,107,449,555,90,201,288,338,141,481,259,159,417,294,215,511,334,181,513,267,162,428,293,146,441,688,195,880,522,23,553,463,53,514,323,9,326,1100,72,1171,437,39,476,70,84,152,5730,2518,8248
POA6022,7,14,23,5,0,4,5,13,13,5,25,28,17,84,101,21,46,71,64,38,103,82,44,120,101,42,148,96,37,134,82,33,116,81,20,101,186,49,232,167,0,164,128,9,134,91,0,91,221,4,226,137,9,148,13,9,20,1519,477,1997
POA6023,38,28,69,21,26,41,18,33,48,12,51,69,60,167,224,56,111,164,137,85,224,151,89,242,220,71,290,237,51,293,183,73,250,171,45,219,439,76,513,395,4,403,484,31,509,311,0,315,1168,32,1202,384,22,405,44,34,73,4532,1035,5566
POA6024,27,38,67,20,17,33,18,39,55,25,88,116,62,192,260,54,130,177,177,82,261,175,104,285,253,100,356,267,98,365,184,69,255,193,72,268,459,102,563,434,9,446,356,30,388,270,3,279,566,34,596,353,28,380,20,32,57,3911,1277,5188
POA6025,71,84,159,32,31,61,43,74,120,38,169,205,127,339,466,132,262,396,398,185,586,388,197,585,481,223,705,507,198,704,396,170,564,408,145,552,1020,245,1263,891,30,921,793,56,847,587,16,609,1924,59,1984,853,65,925,79,80,162,9163,2642,11805
POA6026,57,69,120,31,20,54,21,50,67,18,92,113,90,317,407,67,239,298,304,126,423,277,126,397,352,138,493,371,100,462,289,72,365,291,75,366,702,139,842,688,13,707,638,32,669,446,5,454,1298,32,1335,566,17,582,48,52,96,6552,1699,8254
POA6027,95,132,225,51,44,88,40,119,154,64,236,297,162,528,683,159,343,501,507,259,759,512,311,824,617,349,967,672,296,965,577,249,832,618,211,835,1389,359,1748,1169,59,1224,1191,95,1285,730,23,749,2053,106,2158,1233,87,1321,98,130,232,11922,3929,15850
POA6028,56,39,95,25,12,35,22,28,52,24,62,86,62,118,178,71,126,198,222,69,293,202,78,283,273,103,372,308,78,389,275,92,363,273,68,335,714,97,814,648,10,659,649,31,680,487,3,486,1705,47,1755,740,17,758,62,34,93,6810,1118,7929
POA6029,4,3,11,0,4,7,5,11,11,0,3,6,7,35,37,6,36,40,24,16,42,20,11,29,27,12,42,36,17,49,20,13,32,20,9,34,60,17,76,57,3,57,48,8,53,53,0,52,314,18,324,64,13,75,13,8,19,781,230,1013
POA6030,93,109,201,33,44,76,37,103,138,59,196,254,152,499,649,210,325,541,569,213,784,569,275,845,621,302,921,755,251,1002,581,221,803,625,181,806,1426,256,1690,1090,29,1116,912,59,969,546,13,560,1459,71,1533,1248,64,1312,123,115,237,11108,3325,14432
POA6031,46,31,76,15,10,26,18,20,40,18,43,61,58,94,149,75,61,134,166,64,225,182,107,284,230,122,352,309,116,420,270,82,354,321,70,387,765,108,877,571,8,584,491,26,522,270,4,271,617,32,651,589,25,615,50,28,77,5050,1047,6097
POA6032,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,11,3,15,3,0,3,0,4,4,4,0,4,3,0,3,6,0,9,5,0,5,5,0,11,5,0,3,0,0,0,49,13,66
POA6033,3,0,3,0,0,0,0,0,7,0,3,3,0,3,0,0,0,0,3,0,3,6,0,8,0,0,0,6,0,11,3,0,3,4,0,4,9,3,13,15,0,15,9,0,9,13,0,13,23,0,23,14,0,14,5,0,6,113,16,128
POA6034,3,4,15,3,0,3,0,0,0,3,6,16,10,19,25,21,14,39,29,9,37,29,16,42,53,26,85,67,25,88,71,31,103,69,15,91,200,26,223,110,6,113,89,4,98,39,0,39,76,5,80,141,4,142,11,6,21,1027,209,1245
POA6035,31,29,67,3,12,12,7,25,35,15,51,67,45,128,176,75,91,163,174,42,215,157,69,227,170,70,239,205,67,273,146,49,194,151,41,191,406,77,485,257,9,266,228,18,241,120,0,123,253,22,268,457,10,472,27,31,61,2926,839,3769
POA6036,43,48,91,12,9,23,15,46,57,33,79,111,77,148,222,91,116,204,194,84,284,199,116,314,251,145,397,294,108,408,253,89,341,272,87,356,623,107,735,492,16,507,393,25,421,243,4,247,593,39,628,602,30,633,38,28,70,4717,1328,6046
POA6037,13,12,25,4,4,10,14,12,26,13,33,44,18,55,75,22,31,56,72,26,94,37,31,68,55,41,95,58,15,67,50,19,69,48,29,75,105,28,127,82,8,85,52,11,61,41,0,41,99,5,105,198,3,197,15,15,30,992,368,1363
POA6038,23,21,40,4,7,9,10,7,22,14,32,45,27,47,71,47,42,90,97,37,135,100,71,174,128,94,219,184,92,277,176,71,244,153,49,209,400,94,493,344,6,357,284,19,298,143,3,144,292,14,308,365,12,381,22,17,38,2816,735,3547
POA6041,0,7,7,0,0,0,0,4,8,3,18,24,13,30,47,4,22,25,46,11,57,32,11,35,21,6,32,30,8,44,18,3,27,27,3,34,49,4,50,27,0,28,21,0,20,13,0,13,36,4,36,71,0,72,8,12,22,432,148,579
POA6042,0,0,0,0,0,0,0,0,0,0,3,5,3,3,8,4,0,4,0,0,3,0,3,3,0,5,5,0,0,0,3,0,0,0,3,4,3,6,8,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,20,25,51
POA6043,0,5,3,0,0,0,0,4,4,0,0,0,0,16,16,3,4,5,0,0,0,0,0,0,6,4,10,5,4,8,0,0,4,6,0,13,4,3,10,0,0,0,0,0,0,0,0,3,4,0,9,10,0,10,0,5,8,72,58,120
POA6044,8,12,24,5,5,12,4,6,10,0,13,16,13,29,44,5,14,28,31,9,47,30,29,54,15,19,36,19,13,38,8,18,27,15,12,28,30,19,46,24,5,35,15,8,25,7,0,10,23,4,28,56,3,57,9,17,25,318,256,578
POA6050,24,56,81,13,26,37,18,63,85,16,132,149,42,264,299,34,251,282,123,143,273,111,192,307,158,243,401,170,217,389,132,168,304,151,129,283,330,263,597,273,28,300,265,90,357,211,13,227,1464,152,1614,289,56,343,33,59,87,3859,2555,6413
POA6051,31,84,112,9,27,37,19,90,107,15,207,223,45,317,365,35,264,305,133,206,338,123,264,389,152,321,472,216,266,480,157,226,386,162,192,353,394,371,764,304,45,354,285,91,377,213,17,233,621,111,727,252,92,343,19,65,91,3185,3250,6435
POA6052,36,75,112,14,17,30,22,57,73,8,97,109,38,219,261,33,137,175,108,100,210,101,112,213,128,130,257,159,124,280,132,86,222,139,66,205,303,160,468,261,23,280,316,40,358,240,6,247,823,56,876,215,34,248,23,35,61,3110,1574,4684
POA6053,25,52,71,19,24,42,6,60,69,21,115,134,58,311,368,65,181,246,161,94,259,136,159,294,174,146,324,212,146,357,169,129,299,224,115,336,401,214,615,419,25,448,424,46,468,326,18,343,916,77,990,347,55,404,26,68,94,4121,2030,6152
POA6054,34,87,119,18,28,51,22,84,103,42,207,249,94,476,567,106,270,378,341,179,522,286,212,505,349,241,599,377,200,579,300,173,468,287,140,423,706,247,955,567,33,595,462,45,504,321,13,334,704,51,755,461,50,507,57,95,150,5528,2837,8368
POA6055,46,74,123,21,32,56,17,52,66,26,90,117,68,199,266,114,185,294,244,99,341,242,170,413,378,230,610,521,228,748,485,196,679,532,176,708,1354,274,1631,1109,37,1146,835,60,900,514,17,529,1130,82,1213,869,63,930,61,49,110,8563,2315,10877
POA6056,108,211,321,38,74,115,67,234,304,51,435,485,186,916,1107,236,537,780,658,353,1003,601,446,1046,679,542,1217,828,400,1233,555,334,888,614,229,844,1389,347,1736,1025,29,1055,787,82,867,490,14,508,1182,98,1283,1089,104,1192,129,506,639,10722,5897,16618
POA6057,44,69,115,17,18,34,19,38,55,28,79,101,66,208,271,77,169,242,246,107,359,203,129,331,289,152,441,307,115,419,230,106,340,257,87,346,618,157,770,503,21,525,409,31,434,237,7,239,539,33,574,489,37,531,57,50,101,4621,1609,6231
POA6058,29,43,75,21,23,42,10,43,57,23,102,125,58,239,295,67,175,239,200,85,286,169,127,301,213,154,366,261,128,390,228,108,334,222,64,286,494,124,620,362,19,380,292,31,324,171,0,171,311,35,346,387,31,419,44,100,147,3568,1626,5199
POA6059,71,136,200,29,55,80,30,118,154,27,203,227,114,551,660,126,351,474,354,209,566,307,250,554,353,240,595,413,204,623,302,192,497,335,146,487,717,229,943,619,29,647,536,65,599,405,11,410,1185,76,1263,453,60,507,65,90,154,6441,3201,9643
POA6060,58,131,188,26,52,74,30,117,145,37,290,322,99,609,711,126,478,602,268,319,585,286,377,667,369,487,857,440,422,860,376,401,768,358,292,642,865,527,1398,603,57,663,563,116,677,428,30,458,1105,162,1266,446,97,542,63,104,167,6540,5054,11596
POA6061,126,216,341,36,61,96,74,215,291,93,411,501,241,910,1154,298,445,744,699,310,1008,692,483,1177,781,597,1378,938,520,1459,734,397,1128,695,286,989,1392,448,1846,875,74,948,619,121,742,316,33,351,540,119,659,809,158,966,122,173,299,10095,5972,16067
POA6062,114,158,274,46,43,86,31,125,151,57,221,273,168,642,816,199,325,522,617,236,850,493,300,791,599,334,930,700,281,985,512,238,748,521,194,719,1186,301,1493,883,43,923,791,77,875,456,23,476,1053,82,1136,759,89,847,80,107,190,9262,3826,13088
POA6063,47,46,95,17,22,39,21,52,70,26,82,104,52,185,233,74,86,157,204,80,287,205,103,308,271,124,396,322,87,413,257,60,319,258,51,309,522,79,602,424,12,435,248,28,273,164,4,166,295,23,320,353,30,380,50,32,81,3810,1173,4977
POA6064,120,111,230,28,30,62,52,122,170,61,236,294,178,564,740,204,223,431,565,182,742,520,254,767,585,297,886,685,227,914,577,164,743,524,114,638,1052,157,1207,712,26,738,484,33,519,297,3,301,481,40,520,655,57,712,80,114,198,7869,2950,10818
POA6065,113,144,260,42,44,96,53,106,158,86,229,315,189,648,836,258,523,780,714,287,1003,692,341,1036,837,373,1210,1062,325,1390,943,319,1266,1071,232,1302,2462,397,2858,2311,36,2348,1819,87,1909,1217,19,1236,2664,104,2764,1827,58,1890,168,175,345,18541,4454,22991
POA6066,49,52,99,17,21,36,16,47,71,18,84,105,75,199,281,97,94,193,276,80,356,283,101,381,351,123,477,355,111,465,314,86,398,305,65,368,680,89,770,514,12,529,353,8,362,258,8,263,455,23,476,456,29,486,50,32,87,4930,1273,6204
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,76,96,169,34,27,55,39,64,108,60,134,193,125,334,462,180,201,387,512,170,681,432,232,665,642,338,984,733,309,1046,671,267,932,755,201,953,1829,297,2132,1365,43,1410,1100,75,1174,661,17,678,1516,64,1583,1446,75,1518,106,85,191,12283,3027,15308
POA6070,9,13,16,3,5,12,6,14,20,3,16,16,12,34,46,14,26,32,37,11,50,35,19,56,54,20,68,54,17,67,34,11,48,51,14,67,106,14,124,101,6,105,102,3,108,61,0,61,268,16,284,113,3,115,8,3,12,1076,241,1316
POA6071,7,7,16,0,0,4,0,10,11,3,18,18,7,33,45,11,18,33,40,19,52,35,18,54,55,18,70,65,19,88,47,23,69,41,19,57,90,16,104,108,3,108,100,8,105,58,0,58,203,3,210,116,6,118,8,6,15,997,247,1241
POA6072,0,0,3,0,0,0,0,0,0,0,3,3,0,7,8,3,3,6,8,8,22,4,6,17,15,7,24,14,7,19,8,0,8,15,0,18,25,7,31,20,0,21,23,0,24,9,0,9,49,0,49,39,0,39,0,0,0,237,62,299
POA6073,4,11,11,4,5,8,10,9,20,0,17,21,16,68,79,20,44,67,48,12,65,45,24,68,66,16,85,43,15,61,35,8,43,48,6,60,108,14,123,81,0,86,78,6,84,52,0,49,134,3,142,101,0,107,10,9,18,908,290,1199
POA6074,4,0,6,0,0,4,3,0,3,3,0,3,9,6,10,3,9,9,15,7,26,16,0,14,25,4,32,25,7,33,14,7,16,19,0,15,35,11,46,18,0,23,27,0,31,15,0,15,43,0,43,36,0,37,0,0,0,292,62,359
POA6076,57,64,124,32,32,60,34,74,106,25,123,147,97,311,408,88,220,303,305,136,445,285,149,436,385,145,536,407,111,511,259,79,341,295,65,360,643,116,759,540,10,545,525,26,553,427,0,427,1279,36,1320,571,18,585,54,65,122,6299,1796,8098
POA6077,8,8,13,0,0,3,0,8,7,4,8,10,7,20,33,6,33,38,24,12,45,25,8,32,32,11,45,37,4,44,18,4,21,18,0,19,36,5,38,35,0,36,25,0,29,17,0,16,79,6,88,64,3,66,14,10,24,454,155,603
POA6078,5,0,7,4,0,3,3,0,0,0,0,0,3,0,3,3,0,7,8,6,13,12,4,18,12,4,22,10,5,20,11,5,17,11,0,15,20,0,25,28,0,31,15,0,17,12,3,13,44,5,47,25,0,26,0,0,0,234,51,281
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16
POA6081,13,13,21,8,3,7,3,3,10,3,20,23,18,44,57,13,22,38,61,18,78,46,22,64,74,20,97,63,30,92,49,18,66,82,14,95,154,31,182,135,4,139,123,4,130,95,0,95,258,8,272,188,12,199,18,8,27,1400,284,1692
POA6082,4,8,17,0,4,4,4,12,8,6,9,19,15,37,56,10,15,26,47,13,60,46,18,61,62,12,76,55,16,74,33,20,50,45,17,64,106,21,125,88,0,88,76,9,86,48,0,48,137,7,138,156,4,157,12,6,19,946,232,1174
POA6083,3,18,27,9,4,12,0,5,6,3,4,9,7,38,42,9,4,16,51,3,54,34,15,50,39,28,73,61,8,71,40,17,52,36,4,43,100,21,122,91,0,91,92,11,103,60,0,60,186,3,196,154,9,158,14,8,23,1002,201,1203
POA6084,24,23,48,8,11,22,5,11,13,8,28,39,25,76,102,38,39,76,87,17,113,98,46,136,113,51,166,137,46,186,118,35,152,123,26,149,293,52,343,233,3,238,190,16,201,145,0,149,343,17,365,395,10,408,30,25,56,2434,540,2973
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,17
POA6100,36,99,139,6,29,39,19,69,85,20,152,173,36,249,278,53,223,270,125,180,304,140,240,379,166,283,448,246,248,491,215,217,434,207,172,379,505,363,870,378,55,435,340,103,443,270,25,293,903,165,1066,310,102,416,29,63,89,4003,3027,7034
POA6101,40,95,133,4,35,45,10,93,107,18,183,199,50,308,359,74,218,285,149,138,290,141,173,316,193,221,411,237,191,434,194,190,385,216,142,359,497,345,835,442,54,497,427,99,524,315,30,341,920,107,1029,346,111,459,22,56,81,4306,2786,7091
POA6102,36,80,116,11,39,46,12,91,103,23,161,182,45,352,395,54,299,358,147,144,290,140,172,313,146,208,350,226,159,381,133,137,270,162,106,271,370,198,566,242,73,313,217,54,271,103,21,128,323,104,429,211,148,360,22,92,108,2627,2622,5251
POA6103,21,62,86,7,17,31,10,54,65,23,126,145,34,235,265,39,136,180,103,105,205,117,149,267,122,219,344,176,206,378,153,185,340,149,135,276,369,300,663,268,37,307,234,82,310,180,20,199,391,94,477,228,81,306,14,50,73,2644,2289,4928
POA6104,45,65,118,12,29,46,16,80,98,30,146,177,66,326,386,72,146,216,162,113,277,181,167,348,201,210,412,246,182,424,197,154,341,199,122,319,482,214,695,358,33,392,301,68,371,204,12,224,530,82,611,341,81,424,33,75,108,3687,2297,5986
POA6105,55,75,129,13,17,36,18,62,82,36,149,184,63,340,398,77,156,237,237,117,349,203,192,396,247,226,471,323,183,509,259,176,436,251,112,367,569,179,747,393,33,429,306,56,364,205,20,223,367,58,425,352,77,429,51,57,105,4030,2284,6316
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20
POA6107,114,202,312,43,65,114,53,160,214,70,295,366,178,643,822,215,367,574,581,275,858,536,404,940,741,490,1227,853,423,1276,719,370,1090,780,235,1019,1700,380,2076,1329,107,1433,979,137,1114,555,59,611,1174,137,1318,1048,235,1283,114,144,262,11780,5125,16907
POA6108,95,77,170,23,19,40,27,76,104,42,149,195,115,331,447,133,194,325,413,150,562,397,174,575,473,175,651,509,153,663,379,116,492,427,109,534,905,126,1029,592,22,614,484,30,517,275,11,284,505,33,533,530,33,564,71,56,126,6405,2034,8435
POA6109,38,55,92,12,17,32,22,53,72,26,113,138,71,256,329,62,156,224,214,101,313,207,135,338,251,158,417,270,110,379,203,81,283,214,62,275,423,88,506,277,14,287,199,21,225,95,6,99,169,23,196,329,36,363,30,50,87,3110,1536,4645
POA6110,122,142,266,35,37,75,49,126,183,72,318,387,184,668,853,250,469,713,675,258,938,580,342,922,688,405,1091,848,288,1138,741,257,994,716,163,875,1559,261,1822,1144,35,1183,894,49,948,495,12,507,1081,63,1144,1071,74,1147,107,140,251,11318,4112,15435
POA6111,61,98,157,31,29,57,33,91,130,31,190,221,120,389,512,139,248,386,384,179,562,380,225,604,427,247,673,487,167,654,373,146,519,396,100,490,792,147,935,554,16,570,506,31,543,293,6,302,699,41,744,593,51,641,61,105,159,6357,2509,8860
POA6112,142,175,321,44,46,94,58,162,223,81,331,416,244,792,1033,323,525,846,835,319,1156,762,481,1244,1059,573,1625,1262,495,1756,1127,383,1514,1208,289,1495,2675,410,3081,2044,35,2084,1661,83,1747,926,18,946,1953,91,2046,1794,111,1903,183,194,376,18390,5526,23914
POA6121,12,3,18,3,0,3,3,3,3,0,3,8,11,13,29,9,11,23,41,4,42,24,11,36,38,9,52,45,10,57,29,9,43,41,9,52,70,12,87,75,0,76,59,4,65,50,0,50,192,8,199,112,9,118,12,3,13,831,131,961
POA6122,28,32,62,14,10,24,18,35,47,23,44,65,65,103,171,94,74,165,196,64,257,191,80,273,242,137,387,344,120,460,342,104,452,381,104,486,901,139,1044,689,14,706,522,31,550,294,8,301,656,25,681,694,35,733,50,29,81,5752,1195,6946
POA6123,8,5,11,0,0,0,3,8,13,3,5,7,7,11,15,5,10,10,34,12,44,27,9,33,34,14,49,37,12,52,34,14,46,44,3,46,90,21,113,78,0,74,52,7,63,18,0,18,53,7,60,74,0,76,4,0,3,608,131,740
POA6124,0,6,13,0,0,6,0,0,0,0,15,14,5,8,15,6,4,7,18,9,24,19,10,25,15,5,20,12,11,25,16,3,17,11,6,22,44,4,46,42,0,46,36,3,40,13,0,13,43,0,47,46,0,50,6,8,9,338,104,441
POA6125,9,8,15,4,4,8,0,6,11,3,15,15,14,32,46,7,32,40,49,9,62,37,10,49,48,13,62,42,14,56,24,15,34,50,12,60,99,12,113,72,3,77,82,3,90,46,0,44,149,3,151,149,3,151,11,14,24,892,218,1114
POA6126,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,8,0,8,7,4,8,0,4,4,3,0,4,0,3,7,5,0,5,5,0,5,0,0,0,0,0,0,7,0,7,8,0,8,7,0,7,3,0,3,67,21,89
POA6147,41,76,113,25,24,50,28,57,86,20,98,120,66,285,354,96,151,247,266,123,389,233,122,355,350,166,515,312,126,442,253,97,346,256,60,317,546,113,662,357,31,392,262,31,286,176,9,181,299,28,331,325,39,365,38,40,79,3953,1678,5627
POA6148,62,57,120,23,25,50,29,57,86,11,131,143,83,298,379,82,169,254,244,117,359,234,145,376,281,140,420,331,123,449,228,95,326,263,51,314,584,101,688,433,15,448,436,31,466,284,9,290,1087,43,1137,391,28,415,22,37,58,5099,1682,6778
POA6149,45,54,101,29,27,59,30,39,71,20,79,95,88,223,314,63,173,236,208,98,307,209,130,334,296,80,379,323,82,405,227,75,305,250,53,302,566,92,658,481,13,497,523,27,554,332,0,330,1220,40,1257,421,21,442,41,37,75,5380,1339,6722
POA6150,46,38,80,33,11,54,28,43,73,14,55,67,59,116,178,47,92,134,155,49,204,182,54,230,189,58,249,211,47,254,135,46,181,158,33,195,357,58,416,265,5,270,269,22,292,205,7,208,858,39,898,266,25,291,29,24,50,3505,814,4321
