POA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
POA6012,83,462,385,1789,11,2727,0,12,0,92,0,97,320,7,32,7,0,367,30,12,0,55,3,105,82,27,16,38,0,164,1197,447,309,1750,12,3713,42,0,12,0,0,52,86,7,3,16,0,114,139,42,27,113,0,320,30,11,6,57,0,107,20,0,3,5,0,27,111,13,13,6,0,143,331,86,71,598,3,1087,157,48,25,147,0,384,13,0,0,0,4,17,11,3,0,4,0,18,7,0,4,8,0,21,5,3,0,12,0,22,4,4,4,0,0,11,37,10,13,5,0,60,74,8,13,24,0,119,38,3,0,5,0,45,3,0,0,0,0,8,274,103,91,603,6,1066,12,0,0,0,0,9,93,11,29,0,0,135,37,0,4,13,0,55,15,0,3,0,0,27,24,0,4,3,0,22,59,5,8,30,0,99,845,104,89,123,3,1167,28,5,0,24,357,414,3317,808,659,3710,401,8894
POA6014,210,1150,909,4458,32,6756,0,8,5,75,0,89,1288,48,84,59,0,1484,83,27,34,145,0,292,244,66,34,110,3,460,2519,993,773,3791,45,8124,102,0,25,0,0,131,135,8,25,35,0,199,277,54,50,307,0,687,114,59,25,141,0,343,33,3,11,15,0,59,537,24,30,25,0,615,832,269,157,1416,16,2701,459,154,88,518,8,1228,53,7,6,6,0,71,10,0,3,9,0,33,21,11,11,46,0,85,9,3,0,7,4,32,40,3,4,0,0,45,91,48,47,26,0,215,146,34,13,45,0,235,63,5,10,4,0,87,3,0,0,0,0,3,650,239,163,1097,8,2149,36,9,8,8,0,64,209,27,29,4,0,272,89,0,4,29,3,123,66,3,12,10,0,89,109,6,14,3,0,134,119,14,22,55,0,212,2623,208,210,232,14,3292,38,7,0,30,362,441,9031,1992,1574,8502,472,21572
POA6015,69,354,302,1416,3,2136,0,0,3,16,0,19,249,22,22,27,0,314,27,16,5,59,0,106,90,21,8,26,0,146,860,326,246,1295,10,2733,9,0,3,0,0,17,30,9,0,11,0,51,146,29,30,99,0,300,75,24,15,72,0,188,20,8,4,0,0,35,124,21,11,16,0,167,234,68,52,454,0,810,183,61,18,157,0,427,5,0,0,0,0,11,6,0,0,0,0,4,28,7,6,11,0,58,7,0,0,5,0,12,4,5,5,5,0,12,34,5,15,6,0,53,51,14,10,7,0,80,27,4,3,3,0,41,3,0,0,0,0,3,216,63,51,376,3,705,6,0,4,3,0,15,95,15,3,5,0,125,31,7,4,10,0,41,18,0,4,0,0,14,20,0,5,3,0,31,24,16,9,19,0,68,498,65,81,75,0,730,5,0,4,7,103,122,2468,673,514,2835,126,6617
POA6016,113,543,417,1915,10,3002,0,10,4,80,0,92,385,22,29,23,0,457,39,18,13,63,0,133,67,33,22,50,0,165,1128,459,342,1571,12,3509,70,3,10,5,0,84,52,18,7,21,0,94,128,26,16,149,0,319,108,39,26,115,0,283,22,4,5,8,0,37,408,14,11,17,0,449,446,116,77,547,3,1187,416,146,54,365,0,986,24,4,5,7,0,34,8,8,0,6,0,22,51,7,9,20,0,87,12,7,3,11,0,35,29,3,0,4,0,39,56,33,6,9,0,99,69,28,11,33,0,136,23,0,0,0,0,24,4,0,0,0,0,9,280,111,71,440,3,903,45,6,3,5,5,58,77,20,10,6,0,117,33,5,3,5,0,47,20,0,5,0,0,29,89,4,6,10,0,105,57,17,11,26,0,110,1616,117,131,137,5,2014,49,0,0,28,280,356,4799,1019,715,3755,315,10602
POA6017,61,138,105,491,5,798,0,4,8,39,0,52,201,0,7,4,0,219,42,9,3,18,0,70,27,11,7,12,0,54,408,119,85,449,11,1067,76,0,3,0,0,82,23,4,0,4,0,34,31,12,8,33,0,79,14,9,0,6,0,31,12,0,0,5,0,12,252,3,0,0,0,259,158,31,22,143,6,362,218,49,22,96,3,388,25,0,0,0,0,25,10,0,0,0,0,8,33,3,9,19,0,59,5,0,0,0,0,8,21,6,0,3,0,30,14,0,4,0,0,18,26,0,0,8,0,34,3,0,0,4,0,11,0,0,0,0,0,0,79,30,20,100,0,228,23,0,0,0,0,25,18,3,0,0,0,19,38,3,0,4,0,47,9,0,0,0,0,9,48,0,0,0,0,47,21,4,4,6,0,31,1186,36,21,25,4,1273,35,5,4,6,260,310,2654,278,193,988,286,4387
POA6018,425,2086,1648,8250,69,12478,3,19,9,302,0,338,2487,50,115,59,18,2729,256,89,46,227,6,625,460,143,70,213,0,895,5199,1805,1361,7193,115,15669,224,3,39,8,0,276,255,37,22,62,0,365,566,104,85,534,10,1311,209,59,33,209,3,516,106,25,14,21,0,160,1022,44,29,48,4,1148,1606,395,298,2298,25,4626,1238,410,188,1172,14,3025,100,0,7,4,7,118,31,5,7,5,0,48,130,40,23,96,0,282,30,18,3,32,0,83,129,23,18,9,0,176,217,105,64,23,0,415,310,66,51,99,3,522,127,11,16,26,4,176,18,4,4,0,0,33,1337,427,285,1887,25,3953,112,20,13,12,0,155,512,41,67,17,5,637,157,13,18,53,0,234,83,12,3,18,3,121,203,12,19,18,0,245,197,43,20,117,0,379,3623,439,495,418,25,4994,176,18,6,105,1197,1494,17282,3739,2858,15906,1467,41253
POA6019,190,1250,1106,4857,25,7428,6,17,9,172,5,208,634,21,44,32,0,732,80,30,26,124,0,259,276,65,53,147,4,543,3445,1106,830,4164,48,9589,71,0,20,10,0,104,217,32,17,30,0,299,448,84,73,355,0,971,117,29,19,94,0,265,61,6,6,4,0,79,244,21,30,36,4,338,1085,230,164,1518,19,3014,647,184,85,587,3,1512,29,0,0,7,0,38,16,0,0,10,0,29,46,13,12,30,0,107,11,3,7,12,0,38,125,19,13,5,0,166,180,69,47,22,0,317,186,39,22,59,0,305,93,3,12,13,0,117,8,0,0,0,0,13,856,226,206,1146,5,2443,56,0,0,11,0,73,350,45,41,7,0,446,137,9,9,13,0,166,36,6,5,7,0,57,51,0,8,0,0,61,134,33,25,79,0,272,2084,240,324,268,11,2923,88,14,9,51,832,990,9187,2169,1813,9349,939,23461
POA6020,212,1262,947,5031,27,7480,6,7,5,109,4,133,429,7,35,37,0,519,112,53,13,114,0,293,287,74,40,117,0,506,3538,1026,718,4459,31,9781,49,3,13,8,0,64,99,8,18,30,0,158,346,73,73,329,3,825,120,46,11,107,0,287,22,9,4,7,0,42,277,38,8,14,0,347,879,246,159,1460,8,2754,543,193,105,630,7,1487,25,4,0,0,0,24,9,4,7,10,0,30,100,17,17,62,0,198,19,8,6,11,0,50,61,10,3,0,0,79,123,69,34,11,0,235,170,28,22,73,3,296,39,0,5,10,0,57,3,4,0,0,0,11,869,237,138,1171,8,2422,44,5,9,5,0,55,353,37,28,14,0,431,86,4,14,26,0,127,25,11,3,0,0,39,57,9,6,4,0,72,154,29,23,86,0,288,1113,220,224,248,7,1812,64,15,4,52,387,522,7970,2150,1516,9651,477,21763
POA6021,347,721,504,2570,39,4185,0,23,5,149,3,188,1395,27,55,20,4,1508,393,67,40,200,3,706,131,32,32,56,0,249,1592,589,426,2076,39,4730,168,5,11,0,0,188,67,9,5,22,0,100,171,42,25,172,3,415,350,66,21,182,4,624,37,10,5,8,0,60,900,23,11,14,3,946,545,117,86,609,13,1359,2386,476,193,1332,25,4419,38,0,6,0,0,46,29,0,5,0,0,39,715,88,67,208,4,1073,23,6,0,11,0,47,59,12,8,0,0,82,83,27,12,8,0,127,168,10,18,35,0,243,56,0,3,0,0,65,10,3,0,0,0,14,395,108,51,472,3,1032,161,4,3,16,0,191,143,22,8,3,0,176,114,11,3,22,0,145,44,6,5,0,0,52,333,19,14,9,4,380,70,21,8,31,0,129,2353,179,202,182,13,2928,135,5,4,32,596,780,11561,1663,1087,5717,739,20764
POA6022,55,265,222,1229,16,1785,0,0,0,51,0,49,142,8,11,8,0,171,17,8,0,26,0,58,49,17,4,27,0,104,686,258,186,904,12,2041,29,0,3,0,0,35,29,0,6,6,0,37,48,17,10,71,0,136,22,9,4,26,0,59,4,0,0,0,0,10,76,0,8,3,0,90,221,53,31,287,4,595,126,59,35,149,0,370,4,0,0,0,0,4,4,0,0,0,0,4,66,10,0,10,3,89,10,0,4,10,0,23,63,6,3,0,0,81,31,10,3,9,0,50,39,9,11,13,4,70,9,3,9,6,0,18,0,7,0,0,0,7,140,60,42,224,0,468,4,0,0,0,0,11,29,3,0,3,0,33,15,4,3,4,0,28,0,0,0,0,0,4,44,0,7,5,0,62,22,8,3,16,0,56,432,53,61,68,4,621,23,3,3,11,88,127,1936,487,382,2157,128,5087
