POA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6012,0,0,0,4,13,5,17,23,21,83,0,0,0,0,4,8,4,0,0,28,17,24,53,50,45,47,50,50,47,377,236,539,968,1110,1305,1077,929,566,218,6953
POA6014,0,0,3,12,8,11,25,41,70,178,0,3,5,0,13,13,8,5,5,53,9,23,92,71,39,41,63,51,56,442,485,1159,2530,3188,3004,2364,1789,1115,696,16322
POA6015,0,0,0,0,0,0,7,21,23,51,0,0,0,0,0,5,0,0,4,8,7,3,7,7,23,15,23,27,9,127,208,368,368,561,1075,962,606,556,305,5017
POA6016,5,6,5,5,5,18,43,66,63,210,0,0,10,5,3,8,3,14,11,57,14,19,62,56,33,34,40,15,20,295,204,558,1696,1920,1492,1046,680,304,167,8058
POA6017,0,6,6,3,11,12,17,43,24,123,0,0,3,0,8,3,9,3,3,40,7,29,101,65,32,24,19,10,3,293,48,321,1330,824,417,360,306,177,67,3840
POA6018,0,0,13,22,25,42,108,243,213,666,0,0,7,13,14,26,22,34,21,141,47,47,229,176,124,106,161,242,254,1393,889,2184,5523,6225,5451,4265,3495,2588,1374,31992
POA6019,6,0,8,11,17,14,35,64,60,206,0,0,8,11,8,4,6,4,0,33,39,54,229,187,109,66,96,61,22,859,467,1200,4334,3809,3147,2416,1777,1125,438,18702
POA6020,0,0,0,4,11,8,63,90,55,225,0,0,0,3,0,6,5,5,0,24,20,25,47,51,59,42,77,92,85,490,510,1055,1535,2710,3033,2814,3047,1508,487,16702
POA6021,0,5,11,17,30,42,254,410,226,997,0,0,15,19,11,27,47,62,56,241,22,37,119,111,98,95,98,126,109,817,412,1137,2894,3064,2654,2383,2070,1466,627,16707
POA6022,0,0,5,0,3,3,22,44,11,99,0,0,0,3,3,0,9,4,0,22,10,0,11,18,17,9,18,22,13,128,102,231,647,729,627,507,638,343,78,3904
POA6023,4,0,0,3,0,11,26,58,67,166,0,0,3,5,3,4,4,4,3,24,8,4,29,41,38,27,53,75,25,287,357,648,1152,2215,2244,1699,1849,982,318,11454
POA6024,0,0,12,6,10,12,48,58,27,174,3,0,4,7,4,3,0,6,4,33,11,20,33,66,40,43,52,42,5,313,327,646,1527,1951,1761,1366,1668,834,178,10256
POA6025,6,3,18,7,18,41,77,118,74,355,0,0,6,5,10,14,10,12,4,62,34,26,103,98,105,70,80,75,56,651,768,1596,3589,4239,4109,3852,3445,1506,443,23527
POA6026,4,3,5,7,7,21,76,105,126,356,0,0,4,0,6,3,14,24,22,72,18,15,32,48,52,40,56,69,62,382,586,1159,1758,2934,2899,3225,2794,1168,741,17256
POA6027,4,5,17,26,35,55,134,121,67,453,0,4,5,7,18,18,13,15,7,93,69,112,231,230,208,223,198,271,271,1807,1151,2720,5107,5681,5620,5753,4351,1884,770,33047
POA6028,5,5,0,22,15,20,55,41,23,188,0,0,8,5,5,7,3,3,6,34,31,32,47,47,63,47,54,34,20,377,773,1563,2143,2722,4001,3492,1809,695,198,17398
POA6029,0,0,0,0,0,0,6,16,14,38,0,0,0,0,0,0,0,0,0,6,8,6,13,13,3,6,12,6,0,65,80,174,200,334,408,343,308,189,72,2103
POA6030,12,10,20,54,58,77,105,142,99,578,5,5,11,23,37,27,25,14,15,158,116,108,228,240,225,161,134,195,144,1553,1316,2726,5099,5142,5716,4530,2771,1860,774,29925
POA6031,4,0,13,19,22,29,30,21,4,156,0,4,18,14,20,22,11,3,0,88,38,27,74,90,66,47,43,24,3,412,604,1154,2875,2970,2388,1574,842,298,56,12762
POA6032,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,3,3,0,0,12,5,12,15,18,35,45,18,6,0,158
POA6033,0,0,0,0,0,7,3,0,0,10,0,0,0,0,4,0,0,5,0,5,0,0,8,8,0,3,0,0,0,23,9,22,50,48,68,71,43,9,6,328
POA6034,0,0,6,0,5,0,6,9,0,27,0,0,5,0,3,3,0,0,0,8,11,11,33,30,15,9,3,0,0,106,89,238,821,541,355,206,143,47,0,2437
POA6035,9,3,7,11,13,19,22,38,21,139,0,0,7,5,0,0,3,3,0,27,31,19,71,69,49,47,36,58,50,448,316,484,1393,1469,1324,1050,832,461,146,7468
POA6036,4,6,16,15,26,21,34,31,5,151,0,4,5,8,22,6,9,0,0,57,37,30,87,77,57,46,38,33,6,425,643,1253,2342,2468,2520,1551,944,388,80,12198
POA6037,0,3,0,4,11,6,19,18,0,60,0,0,0,0,3,0,0,0,0,4,12,15,18,40,36,30,31,14,4,205,88,166,403,438,530,469,356,177,30,2646
POA6038,0,0,3,3,6,8,14,22,3,64,0,0,0,9,3,7,0,6,0,27,20,22,55,39,36,24,13,9,6,216,261,583,1925,1651,1170,664,399,146,37,6833
POA6041,0,3,7,4,4,6,13,17,7,63,0,0,0,0,0,0,4,0,6,6,0,5,6,8,11,18,23,23,4,89,41,56,130,150,223,213,264,129,25,1228
POA6042,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,5,0,26,0,0,6,5,12,18,42,9,0,91
POA6043,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,20,6,7,17,3,37,55,63,28,3,213
POA6044,0,0,5,0,5,5,19,13,4,49,0,0,8,0,0,0,0,0,0,8,3,6,11,4,12,23,17,20,0,108,21,48,153,105,157,212,242,118,33,1095
POA6050,0,4,3,0,5,10,56,104,114,292,0,0,0,7,9,8,7,14,23,61,17,23,101,75,68,37,82,150,138,697,369,1076,2303,2082,1984,1800,1493,1009,708,12823
POA6051,5,0,9,15,17,40,38,45,31,198,0,0,0,3,7,10,9,10,0,46,15,49,150,126,86,63,62,38,6,590,175,915,3055,2372,1518,1198,1030,442,116,10836
POA6052,5,0,7,13,15,22,50,66,69,246,0,0,3,0,13,15,8,10,15,57,16,33,49,42,52,50,53,63,37,392,282,677,1559,1789,1556,1397,990,495,236,8976
POA6053,3,4,14,8,25,37,64,102,97,354,0,0,9,5,11,7,17,16,12,74,13,26,78,72,64,50,61,71,76,515,283,752,2277,2344,2040,1719,1295,737,431,11881
POA6054,11,5,17,31,47,102,137,169,99,614,0,4,14,13,25,29,28,14,8,138,38,86,159,134,115,124,113,96,27,886,468,1208,2838,2956,2736,2577,2002,1058,404,16243
POA6055,6,7,32,62,67,73,106,101,57,511,0,3,24,50,45,28,36,25,8,217,46,49,179,143,98,82,84,63,25,760,689,1717,6290,5608,3437,2605,1684,749,238,23018
POA6056,18,10,33,55,78,137,287,379,212,1211,0,7,23,28,17,21,31,41,32,202,108,170,389,400,405,325,318,331,319,2771,1177,2647,5495,5163,5396,5181,4152,2460,990,32658
POA6057,4,0,21,9,23,45,87,105,45,332,0,0,3,12,16,21,6,9,6,75,33,24,87,71,56,78,46,66,52,513,486,930,2143,2125,2067,2046,1510,890,306,12496
POA6058,8,0,13,20,29,36,67,81,38,290,0,5,16,16,14,9,9,6,0,80,35,47,72,124,82,67,76,50,38,590,341,779,1798,1900,1584,1456,1340,649,262,10115
POA6059,0,6,24,34,42,104,179,296,198,885,0,0,15,22,37,46,40,50,46,249,36,51,94,99,97,94,116,120,63,785,564,1459,2916,3046,3245,2997,2467,1826,788,19307
POA6060,5,0,17,25,31,55,119,234,209,695,0,5,10,13,29,29,30,42,50,195,35,66,243,182,135,114,90,60,47,968,394,1450,5333,4217,2943,2566,1976,1216,757,20859
POA6061,12,20,152,214,241,275,319,314,143,1685,0,11,119,195,179,168,129,87,49,941,140,251,574,534,337,268,216,151,58,2529,874,2920,8289,6623,4302,3853,2877,1521,532,31789
POA6062,12,9,39,67,115,165,299,416,227,1350,0,0,28,26,64,78,72,74,61,407,62,72,177,173,151,139,138,141,73,1133,755,2051,4996,4613,4073,3904,3527,2225,855,26996
POA6063,4,8,51,89,67,99,115,61,37,518,4,0,25,40,56,55,36,31,10,255,39,33,119,92,62,66,61,31,12,517,488,984,2006,2139,1860,1788,1199,446,131,11034
POA6064,4,13,88,173,213,230,292,247,126,1383,5,11,79,179,195,190,129,61,42,889,74,103,199,197,169,137,176,189,115,1351,871,2145,4082,4067,3896,3726,2861,1454,491,23596
POA6065,8,10,46,78,112,167,267,294,161,1148,0,4,31,69,109,120,75,48,26,487,103,98,239,244,211,157,172,184,170,1578,1849,4035,8715,10722,9042,6380,4625,2492,910,48769
POA6066,5,0,39,63,68,100,117,87,41,516,0,6,46,57,70,65,35,23,9,323,44,36,95,78,81,68,69,41,9,524,585,1297,2299,2178,2421,2701,1500,652,190,13823
POA6067,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,23,18,6,9,0,0,0,65
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
POA6069,3,14,31,49,73,60,129,148,73,586,0,4,28,42,42,35,35,11,6,204,115,79,260,247,178,104,121,89,61,1251,1369,2689,6476,7138,5688,3880,2491,1328,439,31488
POA6070,0,0,0,0,0,0,8,8,6,26,0,0,0,0,0,0,0,0,0,3,6,4,7,4,14,18,16,7,0,86,89,142,229,474,549,504,423,237,51,2695
POA6071,0,0,0,0,0,0,3,18,5,29,0,0,0,0,0,0,0,0,0,4,5,5,7,14,16,11,12,7,10,85,93,157,260,360,524,501,426,201,56,2575
POA6072,0,0,5,0,0,0,3,0,5,9,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,3,0,0,0,19,26,39,74,94,119,132,95,43,14,630
POA6073,0,0,0,0,9,3,20,9,19,66,0,0,0,0,0,0,0,4,0,3,3,3,7,3,20,13,20,16,20,108,67,131,237,305,437,456,419,290,136,2477
POA6074,0,0,0,0,0,4,5,8,0,13,0,0,0,0,0,0,0,0,0,0,3,0,6,7,3,11,3,3,0,25,31,45,91,104,141,143,141,58,17,755
POA6076,9,0,5,5,16,33,91,127,90,379,0,3,0,4,3,5,9,7,11,52,24,23,37,54,57,68,85,123,89,558,568,1060,1481,2393,3084,2844,2818,1872,661,16777
POA6077,0,0,0,0,0,4,20,22,5,56,0,0,0,0,0,5,3,0,0,10,0,3,0,6,9,6,11,15,5,56,54,98,93,120,178,285,282,186,35,1341
POA6078,0,0,0,3,0,5,12,5,0,25,0,0,0,0,0,0,0,0,0,4,4,6,4,7,11,10,0,0,0,36,34,59,69,106,114,151,130,43,5,712
POA6079,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,5,0,26
POA6081,4,0,0,0,3,5,15,23,4,56,0,0,0,0,4,0,0,0,0,11,6,0,18,16,22,23,21,7,3,114,139,212,439,573,733,722,501,225,53,3594
POA6082,0,0,0,8,4,11,15,13,9,56,0,0,0,0,0,3,3,0,0,7,11,6,20,27,14,11,20,10,3,124,89,159,353,422,444,484,337,156,30,2464
POA6083,0,0,0,0,3,3,13,9,9,46,0,0,0,0,4,0,0,0,0,9,11,7,4,16,32,25,24,15,4,131,104,158,217,348,640,611,387,176,43,2681
POA6084,0,0,10,9,9,15,35,45,14,137,0,0,0,5,5,5,3,0,0,19,45,42,67,52,102,78,51,32,16,485,297,534,944,1040,1354,1219,816,323,67,6598
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,9,5,3,0,4,0,0,22
POA6100,4,0,6,9,9,25,47,58,44,199,0,3,12,10,8,14,6,10,12,70,39,98,229,223,186,150,94,56,26,1108,354,1349,3433,2766,1976,1851,1293,509,179,13710
POA6101,3,0,10,18,20,25,69,76,61,280,0,3,12,20,25,29,17,18,9,124,36,82,227,145,120,113,87,78,32,933,360,1316,3612,2812,2119,1647,1230,562,234,13904
POA6102,0,11,25,32,22,51,46,90,94,374,3,0,20,8,8,11,18,7,10,95,33,146,241,100,87,67,112,242,355,1387,490,1951,3263,1757,1128,927,830,861,737,11946
POA6103,0,0,13,17,19,26,46,59,35,216,0,0,19,12,16,9,16,5,11,83,13,56,143,152,106,62,51,42,13,637,159,904,2729,1788,1178,1120,752,380,129,9142
POA6104,4,4,9,18,36,34,79,106,82,383,0,0,16,23,32,28,18,8,6,135,41,82,233,163,168,124,91,101,125,1132,331,1018,2687,2261,1961,1760,1316,712,417,12481
POA6105,3,6,33,45,47,44,78,139,74,469,0,7,34,27,26,23,17,18,9,161,48,90,196,139,103,96,87,51,26,833,405,1133,2952,2439,1841,1534,1138,702,322,12464
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,24
POA6107,15,27,100,127,170,176,217,247,126,1209,3,16,95,111,96,110,82,54,29,602,136,244,617,412,253,224,143,124,75,2221,1119,3988,9630,7851,5083,4098,2887,1517,565,36755
POA6108,12,16,26,56,61,117,169,131,53,644,4,10,35,38,30,53,40,31,15,251,49,63,134,169,112,92,99,76,20,813,683,1438,2918,3270,2933,2734,2390,1210,335,17904
POA6109,3,10,49,70,60,72,81,78,48,474,4,6,57,77,86,49,31,14,11,333,41,60,130,136,119,92,74,54,40,753,333,850,1899,2011,1546,1297,1047,571,213,9769
POA6110,17,19,90,140,128,141,235,181,149,1098,0,14,110,107,129,82,68,38,27,575,100,105,327,288,248,176,216,240,233,1931,1278,2798,5810,6804,5540,4356,3361,1832,796,32564
POA6111,10,3,22,39,34,57,118,116,54,471,0,9,20,25,27,25,24,19,11,146,83,70,150,161,174,138,108,112,86,1068,693,1292,2682,2985,3062,2992,2625,1216,374,17918
POA6112,21,22,61,106,130,185,259,242,111,1146,3,8,38,56,52,72,50,40,18,334,197,209,512,494,335,281,257,219,119,2624,1768,3934,11024,12076,7583,6018,4243,2058,650,49355
POA6121,0,3,0,0,4,11,23,12,7,70,0,0,0,0,0,3,0,0,0,3,3,5,7,19,19,7,12,9,4,78,107,197,235,354,484,499,308,112,23,2326
POA6122,3,5,12,20,19,37,56,67,24,241,0,0,3,8,13,6,11,9,0,45,33,33,102,84,70,52,37,41,21,463,599,1097,3564,3338,2293,1731,1100,463,141,14326
POA6123,0,0,4,3,6,4,4,13,9,47,0,0,6,0,0,0,3,0,0,0,5,3,24,13,15,16,13,6,3,99,65,143,390,255,246,229,157,52,21,1556
POA6124,0,0,0,0,0,4,9,6,0,17,0,0,0,0,0,0,0,0,0,3,3,0,8,11,10,11,0,3,0,52,34,40,103,150,190,188,93,66,18,878
POA6125,3,0,0,0,9,0,13,18,6,52,0,0,0,4,10,3,0,0,0,23,11,10,23,33,41,32,38,25,3,212,112,178,346,433,606,522,366,215,47,2822
POA6126,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,7,0,4,4,0,0,22,8,10,11,30,36,52,41,19,3,221
POA6147,0,9,22,42,41,74,146,116,34,477,0,8,13,24,36,47,39,26,15,202,38,55,85,107,90,45,53,40,12,531,360,942,2114,2210,1765,1707,1507,767,210,11576
POA6148,5,3,8,16,23,34,75,111,75,344,0,0,4,9,10,10,19,16,18,82,19,22,44,65,40,64,74,98,82,514,506,1085,1654,2564,2491,2106,1933,1301,574,14213
POA6149,4,0,7,9,8,34,58,68,52,239,0,0,4,0,6,13,21,18,21,79,12,14,23,46,23,44,67,85,89,403,459,948,1629,2451,2300,2326,2556,1159,507,14330
POA6150,4,9,0,10,8,24,48,67,60,222,0,0,0,0,8,9,14,14,18,71,42,35,125,112,115,129,197,209,200,1181,563,1025,1316,1517,1651,1686,1760,1113,604,11224
POA6151,3,0,7,8,4,11,36,48,30,142,0,0,4,5,4,8,7,5,0,40,20,56,113,93,74,88,99,84,60,693,434,1219,2436,2245,2237,2146,1925,916,293,13854
POA6152,6,0,14,21,18,49,70,87,93,357,0,0,16,13,24,21,22,16,7,120,29,72,165,120,107,116,150,229,335,1321,686,2208,3932,3378,2899,2854,2675,1551,941,21127
POA6153,0,5,7,13,9,15,53,78,73,237,0,0,6,3,6,6,10,12,16,57,30,31,82,84,88,88,74,51,41,568,491,1282,2165,2860,2781,2697,2426,1290,511,16508
POA6154,0,0,0,8,0,14,28,55,92,211,0,0,0,3,0,4,7,6,8,26,10,0,23,27,22,21,41,68,90,310,250,592,928,1383,1426,1158,960,759,567,8022
POA6155,13,16,19,59,108,138,227,179,122,886,0,6,21,73,60,53,77,49,36,379,157,70,199,213,187,108,93,92,53,1172,1658,3477,5649,8216,7626,5808,4440,1881,646,39408
POA6156,7,0,5,17,15,17,52,93,80,273,0,0,3,5,7,8,6,3,4,38,40,22,80,74,72,71,68,99,125,651,492,1001,1917,2258,2610,2080,1506,1060,639,13573
POA6157,0,3,0,9,3,10,33,82,79,215,0,0,0,11,0,14,9,10,6,49,19,18,60,44,59,43,65,74,62,438,338,731,1739,1908,1935,1694,1461,861,436,11097
POA6158,0,0,0,0,0,7,13,48,30,96,0,0,0,0,0,0,6,0,4,7,11,3,24,49,26,27,46,74,101,357,195,364,710,893,1156,1046,813,463,259,5899
POA6159,0,0,0,0,0,3,16,9,7,43,0,0,0,0,0,0,0,0,0,0,9,9,19,24,20,18,39,40,57,234,66,206,463,490,447,601,513,300,111,3189
POA6160,5,0,4,0,15,17,33,52,43,169,0,0,0,0,0,5,7,4,15,35,29,97,189,153,191,157,99,72,45,1036,180,709,1678,1359,1362,1325,1064,529,202,8415
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,7,3,4,0,50,11,33,74,52,37,81,60,35,3,392
POA6162,0,4,3,3,14,26,78,160,98,390,0,4,6,5,9,9,9,21,26,87,20,24,77,79,70,73,70,43,27,479,239,564,1384,1605,1692,1637,1315,667,316,9429
POA6163,8,10,29,39,102,162,455,642,347,1788,3,8,14,23,25,46,53,78,73,334,103,134,372,320,271,249,334,341,307,2421,1207,3401,7599,7203,6821,6820,5574,3323,1451,43410
POA6164,10,9,23,54,92,155,249,226,95,913,0,3,25,19,44,50,50,39,23,255,110,143,315,302,200,161,153,175,132,1700,1704,4213,10319,11005,8505,5874,3796,1610,565,47587
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,15,3,3,7,10,13,9,4,3,0,69
POA6166,0,0,3,4,11,36,92,146,56,360,3,0,0,6,4,7,16,23,5,61,17,17,55,58,59,62,70,66,13,430,269,550,1176,1429,1465,1458,1168,611,182,8306
POA6167,17,17,36,46,73,86,168,159,75,686,4,4,26,39,47,17,20,19,5,176,86,91,261,251,184,154,149,87,31,1305,820,1790,4353,4486,3545,2762,1976,1032,362,21141
POA6168,0,9,20,25,56,94,190,191,116,704,0,5,8,17,16,14,17,18,11,108,101,289,426,267,216,190,218,286,176,2155,674,1687,3114,2686,3046,3457,3120,1994,808,20590
POA6169,13,10,18,35,54,83,157,193,127,703,4,0,7,7,23,15,18,7,4,88,73,76,203,212,169,191,153,204,177,1464,970,1826,3928,4062,4430,4752,3372,2017,756,26116
POA6170,3,4,17,18,23,40,36,35,8,178,0,0,9,20,18,20,12,3,3,88,51,42,115,125,76,45,32,12,7,497,473,1148,3131,2989,1901,1221,656,255,48,11821
POA6171,7,6,19,40,27,46,83,97,31,354,0,0,9,13,16,11,10,7,0,64,85,75,243,198,143,85,121,93,21,1057,1019,2016,6049,5697,4110,2754,1912,1029,166,24759
POA6172,3,4,5,16,12,39,58,60,25,224,0,4,0,0,3,0,7,8,0,32,38,33,77,86,62,47,43,48,45,479,471,829,1549,1576,1880,1546,891,498,213,9453
POA6173,0,0,0,4,10,7,21,26,8,73,0,0,0,3,0,0,3,0,0,19,20,16,26,46,34,25,16,12,7,199,508,700,1197,1854,1990,1136,507,222,51,8151
POA6174,5,0,9,0,7,10,11,14,5,63,0,0,0,0,0,5,0,0,0,8,19,9,30,37,34,8,9,13,0,164,213,395,848,821,692,440,252,120,20,3798
POA6175,0,0,5,0,3,3,5,10,5,42,0,0,0,0,0,0,0,0,0,0,5,5,12,12,16,11,5,3,3,70,145,228,453,536,561,402,233,103,31,2696
POA6176,0,0,0,4,4,0,5,6,0,26,0,0,0,0,4,0,0,0,0,6,12,0,12,8,12,5,9,3,0,67,60,113,401,245,219,185,130,43,15,1398
POA6180,6,0,5,7,0,6,40,44,8,108,0,0,0,8,0,5,0,0,0,9,12,11,26,21,25,17,19,10,3,139,196,356,956,940,716,500,481,317,43,4507
POA6181,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,31,54,90,74,45,16,6,345
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,0,0,3,7,4,0,4,25,0,0,0,0,0,0,0,0,0,3,11,5,10,19,13,13,9,0,0,80,37,46,131,169,175,173,107,38,10,875
POA6208,3,4,6,10,19,32,92,135,73,364,0,0,0,0,3,5,6,4,3,23,48,28,71,77,77,74,113,122,65,673,371,554,1243,1316,1401,1569,1663,1052,326,9493
POA6209,0,0,0,0,8,11,24,32,15,87,0,0,0,0,3,0,3,3,0,10,5,11,23,12,25,16,27,24,9,143,62,100,153,166,258,306,329,180,40,1596
POA6210,32,20,40,84,109,209,471,710,454,2137,4,4,19,27,26,37,42,35,14,205,176,193,382,379,415,377,543,692,561,3716,1922,3625,7018,7488,8561,9508,9824,6502,2551,57004
POA6211,5,0,4,5,9,10,50,53,17,160,0,0,0,0,0,0,0,0,0,3,23,14,24,35,39,35,38,32,12,244,187,301,713,921,994,1044,1206,578,76,6024
POA6213,0,0,0,0,0,3,3,8,5,27,0,0,0,0,0,0,0,0,0,0,3,0,4,8,16,13,7,6,0,59,15,15,61,71,109,112,103,38,18,542
POA6214,0,0,0,0,0,0,4,7,4,17,0,0,0,0,0,0,0,0,0,0,6,0,5,10,0,5,10,0,0,40,26,44,48,90,95,94,89,28,4,511
POA6215,0,0,0,3,3,20,42,61,28,158,0,0,0,0,0,0,0,4,4,12,16,17,30,38,59,40,38,53,31,324,127,168,351,475,575,640,565,289,98,3294
POA6218,0,0,0,0,3,0,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,21,13,26,53,54,56,87,73,17,12,395
POA6219,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,3,6,5,8,3,5,0,31,22,21,51,63,98,106,66,28,12,470
POA6220,0,0,6,9,11,11,46,73,40,207,0,0,9,3,0,0,3,7,4,22,15,10,34,27,50,41,45,42,33,294,95,178,530,509,555,542,527,341,146,3422
POA6221,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,16,0,8,0,3,8,0,0,0,36,29,16,27,30,49,58,30,14,6,260
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,18,32,25,10,10,0,115
POA6224,0,0,4,0,0,3,14,13,7,43,0,0,0,0,0,0,0,0,0,0,9,0,9,18,13,16,16,7,5,94,58,60,124,129,178,162,151,78,18,961
