POA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
POA6012,7,224,11,0,244,8,237,13,0,264,20,397,42,0,457,39,464,32,0,537,83,520,20,6,625,84,417,31,4,540,63,389,17,0,464,30,213,18,5,262,3,71,7,0,81,336,2924,183,17,3460,27,357,14,4,398,14,246,22,0,279,34,450,27,3,521,70,483,19,0,578,131,537,20,3,685,147,379,26,0,548,101,346,26,0,463,36,250,22,0,305,13,104,28,0,139,570,3145,196,18,3923,31,575,27,4,639,18,491,33,0,539,55,850,69,7,970,112,950,45,0,1113,213,1059,38,7,1314,228,790,57,7,1088,161,724,35,4,931,68,463,38,4,574,11,171,32,0,218,906,6071,377,29,7379
POA6014,29,692,5,0,724,33,519,13,0,565,49,1093,41,6,1187,105,1360,46,3,1509,166,1246,30,7,1447,225,892,19,6,1139,121,701,24,6,847,62,419,19,0,505,27,198,15,0,240,821,7118,203,28,8180,34,598,16,0,646,38,540,18,0,596,84,1217,49,9,1361,189,1455,36,0,1676,308,1232,20,0,1561,355,846,23,0,1225,187,727,28,6,957,95,495,24,5,612,45,388,25,0,460,1330,7499,230,22,9082,54,1290,22,0,1372,73,1059,31,3,1165,136,2309,88,10,2550,289,2818,78,4,3184,482,2479,44,3,3006,579,1738,38,6,2373,311,1426,47,13,1801,159,918,41,5,1118,72,582,43,3,696,2155,14620,431,54,17261
POA6015,14,306,5,0,329,15,168,0,3,188,18,182,8,4,207,22,207,0,0,228,61,439,11,7,513,88,382,12,0,481,42,244,10,0,302,38,200,5,0,250,18,109,0,0,128,315,2234,56,14,2623,8,260,0,0,270,17,164,4,0,186,17,148,5,0,164,41,287,9,0,337,136,415,10,0,563,161,315,7,0,481,59,237,13,0,312,56,243,12,3,309,11,156,7,0,178,503,2223,69,12,2810,19,563,14,0,600,30,334,0,3,375,33,327,4,3,369,57,492,11,0,563,201,852,27,6,1079,247,695,20,7,967,107,481,19,0,610,90,447,23,3,558,32,264,10,0,303,818,4462,129,24,5430
POA6016,15,252,12,0,279,12,228,15,0,246,33,707,39,3,782,64,838,29,0,934,111,596,26,3,732,99,394,18,0,513,44,253,15,5,317,12,118,6,0,145,0,55,6,0,56,382,3446,168,11,4008,9,245,6,0,260,10,287,16,0,307,60,821,36,3,918,120,830,41,5,988,162,577,16,4,761,146,370,13,0,533,74,272,18,3,372,15,136,11,0,162,3,98,6,0,110,603,3647,147,14,4415,21,498,18,0,542,25,511,26,0,558,90,1529,77,7,1701,180,1670,72,5,1922,270,1181,41,4,1493,246,761,32,0,1049,120,531,34,9,690,29,254,18,0,307,10,155,8,0,168,985,7092,322,25,8420
POA6017,0,43,5,0,52,4,128,15,0,145,33,561,41,0,628,26,380,44,3,448,28,167,25,0,214,18,142,17,0,173,13,139,7,0,159,8,65,6,0,79,4,18,0,0,20,126,1643,155,9,1928,0,43,3,0,44,13,157,12,0,172,46,599,56,0,697,34,318,27,0,380,30,159,9,0,200,26,152,11,0,188,21,115,10,0,147,16,85,0,0,100,0,38,3,0,45,176,1661,128,4,1970,5,81,7,0,96,14,283,22,0,321,73,1160,99,0,1329,57,703,71,9,831,54,330,30,0,416,46,295,22,0,363,34,258,18,0,306,19,142,8,0,175,4,59,5,0,67,302,3307,279,9,3901
POA6018,40,1106,32,0,1178,52,962,20,0,1041,108,2291,110,6,2511,203,2626,104,0,2945,300,2192,78,7,2579,306,1659,51,9,2021,193,1308,56,12,1568,122,915,89,3,1128,52,356,77,0,483,1379,13415,614,43,15448,40,1140,26,0,1212,74,1034,36,0,1142,186,2696,133,11,3026,351,2846,94,9,3292,523,2281,81,10,2893,586,1607,58,13,2268,355,1506,81,8,1945,166,1183,120,6,1475,40,708,136,3,893,2323,15004,760,53,18140,83,2240,54,0,2386,124,1994,58,0,2182,300,4984,235,18,5539,553,5470,199,6,6239,829,4477,153,22,5471,895,3269,102,22,4287,547,2815,137,14,3513,282,2097,216,7,2605,93,1063,216,3,1376,3704,28415,1384,95,33592
POA6019,26,683,17,0,727,29,515,29,0,580,71,1766,134,11,1987,100,1662,97,3,1864,174,1294,69,6,1546,199,937,30,4,1171,115,676,36,9,833,50,399,16,0,464,19,143,5,0,173,793,8079,431,42,9345,20,487,23,0,537,39,547,40,3,627,121,2135,103,5,2366,183,1673,90,5,1955,290,1259,61,0,1610,298,914,36,6,1253,195,713,43,0,950,91,551,24,0,665,8,246,5,0,268,1253,8531,418,29,10234,51,1177,38,0,1266,68,1067,63,6,1203,192,3907,240,15,4351,281,3338,188,10,3820,473,2551,122,9,3160,497,1852,62,15,2422,312,1388,75,6,1781,140,945,42,5,1130,34,393,12,0,442,2041,16612,853,73,19578
POA6020,26,659,16,0,707,24,516,13,0,551,34,676,28,9,738,105,1120,39,0,1258,193,1256,36,5,1490,231,1070,18,0,1326,220,1211,29,0,1460,81,642,25,0,745,26,140,11,0,181,934,7297,211,18,8462,18,602,15,0,640,25,461,12,6,508,53,721,26,6,808,167,1252,30,0,1456,308,1214,27,0,1553,427,1047,17,0,1497,331,1231,27,0,1586,95,636,33,0,765,25,257,15,0,298,1452,7428,215,19,9106,48,1260,33,0,1345,50,981,26,4,1058,87,1394,55,13,1548,271,2372,70,3,2719,498,2470,61,10,3042,663,2115,40,3,2814,546,2446,58,0,3049,181,1271,57,3,1515,55,408,31,0,487,2391,14723,425,32,17572
POA6021,24,463,16,0,505,35,496,28,0,560,73,1255,67,3,1397,129,1306,62,0,1500,189,1073,45,0,1310,184,934,39,0,1161,104,740,30,10,886,80,540,49,0,672,36,214,13,0,259,857,7025,353,13,8243,28,466,23,0,518,33,523,20,0,577,99,1341,55,0,1500,181,1328,51,0,1564,299,1017,37,0,1349,285,901,36,11,1234,224,920,47,7,1204,87,661,57,0,809,21,337,28,0,384,1266,7491,360,25,9145,52,929,44,0,1019,66,1020,48,0,1140,175,2594,120,7,2900,313,2630,113,0,3066,484,2092,88,6,2667,473,1838,76,12,2397,330,1663,82,15,2087,172,1199,101,0,1475,55,547,38,0,643,2124,14516,713,34,17393
POA6022,4,130,11,0,139,7,107,0,0,118,13,280,13,0,307,37,317,10,0,364,43,260,13,0,321,37,187,7,0,227,40,253,4,0,298,25,144,3,0,179,3,24,5,0,35,221,1697,57,5,1983,6,109,5,0,125,5,102,4,0,110,28,309,4,0,341,57,308,7,0,367,54,248,6,0,310,61,215,6,0,280,49,290,6,0,345,26,140,3,0,170,0,38,3,0,44,279,1753,53,6,2089,12,238,11,0,261,12,216,5,0,235,40,585,19,0,649,89,621,19,0,734,101,506,23,0,632,101,398,5,0,507,88,541,13,0,640,51,285,5,3,347,6,66,6,0,78,499,3455,110,3,4072
POA6023,26,538,13,0,567,24,301,3,0,330,30,505,19,0,555,82,907,22,0,1017,135,964,17,0,1117,133,641,14,0,787,142,691,17,0,852,49,419,9,0,478,16,94,5,0,114,627,5063,117,12,5816,15,446,7,0,468,19,299,4,0,324,47,534,21,0,598,158,1010,30,0,1202,217,901,15,0,1128,234,668,9,5,919,189,797,13,3,1005,45,417,33,0,503,6,177,22,0,201,931,5253,149,17,6346,39,982,18,0,1036,38,608,3,0,647,72,1039,34,0,1152,239,1922,53,3,2219,347,1866,34,0,2250,368,1304,22,9,1702,330,1491,31,5,1857,99,840,40,0,983,23,269,22,0,318,1564,10314,266,23,12160
POA6024,8,378,10,0,399,13,310,12,0,336,37,673,18,0,725,91,831,30,3,954,110,734,32,3,877,105,525,21,0,653,94,664,17,0,774,50,354,22,0,419,8,60,6,0,70,512,4517,162,5,5203,11,376,11,0,401,20,285,10,0,314,48,729,26,0,805,123,836,38,0,998,194,676,20,0,885,149,549,18,5,723,167,711,24,0,897,64,335,17,0,414,9,95,9,0,111,781,4587,170,8,5552,19,754,21,0,802,30,597,23,0,648,85,1398,50,7,1535,214,1663,68,3,1948,303,1408,53,0,1762,254,1075,41,4,1374,255,1374,37,0,1668,110,689,34,0,838,20,153,8,0,180,1296,9107,330,16,10754
POA6025,34,927,22,0,982,39,790,24,0,853,82,1560,70,7,1713,137,1823,70,0,2032,221,1731,58,0,2010,259,1478,32,7,1772,208,1400,35,5,1648,72,632,36,0,739,21,136,3,0,164,1084,10469,349,18,11916,33,864,32,0,927,51,677,17,0,741,109,1708,60,6,1883,242,1914,52,4,2211,373,1671,54,4,2104,474,1572,39,3,2087,305,1470,35,5,1807,96,638,34,0,767,14,228,37,0,278,1694,10742,345,15,12799,66,1791,51,0,1907,88,1466,38,0,1600,195,3265,128,8,3596,379,3738,123,3,4240,590,3399,114,6,4109,734,3049,71,9,3861,513,2866,66,6,3455,168,1270,71,0,1503,36,369,40,0,443,2769,21212,699,30,24716
POA6026,29,690,10,0,734,28,609,16,0,649,39,805,16,3,862,96,1267,32,0,1389,161,1154,22,6,1341,242,1196,15,4,1455,199,1155,28,0,1386,77,411,10,5,497,28,224,14,0,266,891,7508,166,11,8575,30,659,13,0,705,28,483,0,0,517,62,809,18,0,893,169,1344,27,0,1547,313,1224,24,0,1561,429,1317,24,3,1783,267,1116,22,7,1413,75,569,30,5,678,21,434,25,0,483,1402,7957,184,14,9565,64,1345,23,0,1438,52,1095,14,0,1162,106,1616,40,0,1757,269,2608,55,0,2933,475,2375,50,6,2904,670,2515,39,7,3233,473,2275,50,7,2798,147,986,38,3,1174,52,660,38,0,741,2295,15466,347,30,18134
POA6027,48,1263,45,0,1362,56,1336,63,4,1459,114,2294,140,5,2555,191,2453,140,5,2793,271,2302,116,3,2698,355,2272,121,4,2753,259,1779,73,5,2118,88,705,81,0,875,16,217,65,0,300,1404,14621,853,29,16907,55,1134,46,0,1233,73,1138,54,4,1265,161,2269,126,4,2564,359,2432,106,5,2896,502,2324,107,0,2931,614,2305,94,0,3012,368,1784,85,4,2240,102,813,101,0,1022,22,361,90,0,472,2251,14564,812,29,17651,101,2400,93,0,2591,130,2475,117,4,2727,277,4568,267,13,5120,550,4880,254,10,5694,775,4627,217,5,5630,966,4576,214,7,5768,630,3562,162,9,4361,182,1521,184,3,1892,36,573,155,5,773,3650,29179,1664,56,34551
POA6028,25,901,28,0,953,30,743,20,0,795,47,969,35,3,1050,88,1098,36,4,1226,185,1631,44,6,1853,201,1495,25,0,1716,105,813,23,0,943,22,284,11,0,313,8,70,0,0,77,706,8001,219,12,8939,32,837,30,0,895,39,703,22,0,768,74,989,29,0,1099,156,1303,34,0,1494,321,1783,46,4,2152,300,1450,32,0,1779,109,738,25,3,881,35,335,13,5,386,9,111,3,0,120,1069,8253,231,14,9565,51,1739,57,0,1850,66,1451,44,0,1559,123,1956,64,3,2149,246,2407,73,5,2722,501,3415,86,6,4011,497,2943,54,0,3498,218,1554,49,3,1820,54,618,22,5,700,17,177,0,0,201,1774,16259,451,29,18508
POA6029,0,98,4,0,103,8,68,3,0,80,0,84,6,0,96,6,135,7,0,151,18,179,3,0,200,30,137,3,0,177,16,120,6,0,138,12,78,7,0,96,8,22,6,0,33,110,917,39,3,1065,9,98,3,0,109,7,85,4,0,93,3,94,7,0,109,17,161,10,0,189,48,155,8,0,205,47,114,0,3,167,34,131,4,0,171,19,74,9,0,95,4,36,0,0,40,176,947,42,3,1171,9,191,8,0,207,5,155,13,0,174,8,174,15,0,199,22,303,13,0,336,71,328,10,0,408,80,252,9,4,346,45,253,9,0,310,29,153,10,0,193,10,60,6,0,72,284,1860,79,6,2240
