POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA6056,1073,5715,5648,2136,1369,15944,1273,17222
POA6057,159,1892,2441,1018,647,6156,218,6370
POA6058,213,1709,2001,709,430,5059,303,5366
POA6059,599,3601,3515,1113,707,9535,329,9867
POA6060,831,5618,3845,801,376,11471,527,11997
POA6061,1198,6813,5504,1551,648,15717,1262,16977
POA6062,662,4530,5185,1617,903,12907,504,13408
POA6063,209,1407,1956,834,489,4895,225,5123
POA6064,575,3418,4025,1596,1018,10641,514,11158
POA6065,577,6273,10194,3686,2032,22770,614,23381
POA6066,199,1713,2456,1073,702,6146,207,6349
POA6067,3,4,0,0,0,7,0,5
POA6068,0,0,0,0,0,0,0,4
POA6069,326,4584,6703,2280,1252,15137,579,15721
POA6070,9,263,610,262,157,1305,34,1342
POA6071,14,251,514,258,190,1236,30,1264
POA6072,3,54,131,65,48,294,6,304
POA6073,49,324,440,217,161,1186,52,1234
POA6074,15,71,128,83,70,359,7,367
POA6076,221,1907,3244,1487,1152,8018,201,8221
POA6077,12,162,169,90,159,594,27,614
POA6078,3,29,79,84,87,280,15,295
POA6079,0,0,5,5,4,16,0,16
POA6081,17,305,668,380,312,1688,41,1725
POA6082,16,236,451,245,230,1166,50,1213
POA6083,6,158,442,286,298,1191,60,1248
POA6084,40,530,1112,657,593,2927,179,3108
POA6090,4,6,4,0,0,16,7,21
POA6100,592,3322,2267,539,209,6933,361,7290
POA6101,559,2968,2570,643,262,7000,424,7422
POA6102,648,2108,1566,527,289,5142,384,5524
POA6103,436,2381,1559,339,148,4860,248,5110
POA6104,434,2342,2177,655,281,5894,391,6285
POA6105,460,2529,2229,638,315,6182,420,6606
POA6106,3,11,0,0,0,17,5,18
POA6107,866,5885,6464,2166,1219,16601,991,17595
POA6108,340,2738,3338,1235,688,8330,335,8664
POA6109,303,1711,1545,598,426,4574,315,4889
POA6110,732,4968,6023,2208,1274,15203,774,15977
POA6111,388,2776,3298,1358,908,8731,483,9211
POA6112,959,7182,10412,3286,1741,23581,1170,24749
POA6121,9,91,316,235,309,952,31,983
POA6122,93,1673,3096,1205,795,6870,230,7102
POA6123,8,142,311,153,120,731,43,777
POA6124,9,75,174,98,73,429,29,456
POA6125,17,219,364,222,263,1082,81,1167
POA6126,0,17,35,17,15,86,10,93
POA6147,280,2043,2147,700,388,5555,233,5793
POA6148,254,2188,2913,916,451,6719,178,6897
POA6149,199,1895,3098,971,506,6674,114,6784
POA6150,107,1190,1903,701,382,4280,96,4370
POA6151,415,3263,2654,670,293,7297,310,7602
POA6152,602,4242,4010,1134,459,10452,399,10850
POA6153,310,2859,3425,1025,552,8176,252,8431
POA6154,234,1401,1616,465,247,3967,100,4065
POA6155,287,4229,7576,2906,1549,16542,346,16893
POA6156,368,2205,2894,829,469,6771,252,7020
POA6157,365,2442,2346,579,302,6042,223,6262
POA6158,124,1053,1205,375,169,2926,96,3022
POA6159,104,704,660,144,70,1679,85,1762
POA6160,494,1949,1248,278,126,4102,362,4461
POA6161,120,12,7,0,0,143,42,184
POA6162,357,1961,1832,485,224,4861,225,5087
POA6163,1342,8185,8392,2572,1373,21861,1013,22871
POA6164,617,6871,10337,3300,1696,22818,701,23517
POA6165,0,11,6,3,11,21,13,39
POA6166,90,1090,1677,658,396,3918,218,4127
POA6167,567,3630,3777,1258,655,9881,604,10486
POA6168,865,4716,3235,1034,489,10339,649,10989
POA6169,653,4701,5193,1831,898,13272,611,13883
POA6170,220,1799,2501,729,352,5604,254,5853
POA6171,231,3949,5560,1705,886,12329,513,12845
POA6172,118,1361,1891,713,352,4437,207,4638
POA6173,47,908,1769,737,400,3856,87,3944
POA6174,49,643,813,278,152,1933,88,2020
POA6175,18,337,609,241,125,1331,43,1368
POA6176,3,162,300,113,74,661,31,692
POA6180,38,793,950,352,149,2286,70,2351
POA6181,0,16,42,34,50,151,3,151
POA6182,0,0,0,0,0,0,0,0
POA6207,3,50,158,95,83,384,34,416
POA6208,125,1716,1814,741,448,4843,269,5120
POA6209,31,252,211,134,130,763,73,837
POA6210,1742,12312,10674,3405,1695,29821,1450,31272
POA6211,52,967,1368,463,249,3104,99,3209
POA6213,10,78,86,49,33,257,31,284
POA6214,0,40,80,48,62,226,17,242
POA6215,60,472,597,269,205,1597,94,1692
POA6218,3,53,95,32,20,200,11,212
POA6219,0,36,89,38,45,215,13,231
POA6220,77,516,593,265,174,1628,113,1740
POA6221,0,30,26,17,20,94,7,97
POA6223,0,8,21,20,11,59,0,63
POA6224,13,138,165,88,56,453,38,495
POA6225,166,1081,1267,585,390,3498,283,3782
POA6226,0,39,121,68,65,294,11,309
POA6227,0,52,116,64,40,272,17,292
POA6228,0,12,28,10,10,56,6,65
POA6229,0,48,22,8,5,89,21,106
POA6230,981,6549,6595,2159,1004,17301,1051,18348
POA6232,122,1366,1737,613,275,4123,183,4300
POA6233,158,2018,3138,1218,636,7169,310,7480
POA6236,7,151,308,182,144,790,43,833
POA6237,6,185,363,200,166,917,62,983
POA6239,35,493,676,306,196,1713,101,1815
POA6240,0,14,18,21,11,65,7,71
POA6243,0,12,12,8,9,29,0,33
POA6244,22,161,216,115,84,595,73,666
POA6251,0,25,44,22,24,113,6,121
POA6252,0,20,16,17,12,58,4,64
POA6253,5,111,109,48,22,300,17,315
POA6254,7,68,80,44,21,221,15,238
POA6255,47,568,691,270,175,1748,131,1874
POA6256,0,30,65,29,33,159,11,166
POA6258,135,837,911,399,241,2526,186,2712
POA6260,21,164,199,84,47,513,61,579
POA6262,8,83,107,41,40,282,41,320
POA6271,28,371,532,252,117,1289,77,1366
POA6275,33,174,247,104,52,615,83,699
POA6280,441,4212,4517,1575,868,11616,646,12264
POA6281,42,1016,1437,408,174,3081,181,3263
POA6282,9,146,239,121,67,571,44,618
POA6284,11,238,426,156,76,911,105,1015
POA6285,124,1269,1632,500,241,3763,323,4086
POA6286,4,80,155,50,26,318,29,350
POA6288,0,55,85,44,38,224,22,240
POA6290,34,357,331,96,50,863,55,919
POA6302,49,493,508,244,152,1450,153,1601
POA6304,22,192,247,118,92,671,78,751
POA6306,15,89,130,62,52,348,37,387
POA6308,28,169,206,104,101,607,79,686
POA6309,0,33,39,17,28,116,16,135
POA6311,3,66,75,52,52,246,15,265
POA6312,117,661,567,245,153,1743,194,1939
POA6313,0,19,39,21,17,93,3,101
POA6315,42,229,262,99,97,726,80,810
POA6316,0,32,50,31,36,139,16,158
POA6317,109,483,499,205,151,1457,158,1612
POA6318,9,46,55,36,35,179,20,203
POA6320,5,58,46,52,33,189,23,212
POA6321,8,66,58,40,16,181,22,206
POA6322,0,20,30,20,16,84,9,92
POA6323,9,129,168,78,50,432,36,470
POA6324,33,406,495,235,179,1350,137,1486
POA6326,0,25,68,45,41,180,17,195
POA6327,0,16,27,18,19,82,13,98
POA6328,4,42,56,28,28,159,27,189
POA6330,685,5022,5535,2075,1281,14600,772,15373
POA6333,61,918,977,344,147,2449,294,2745
POA6335,10,66,93,44,56,270,26,289
POA6336,0,23,47,25,31,128,16,145
POA6337,10,61,63,43,29,201,31,226
POA6338,0,81,126,50,41,307,13,317
POA6341,0,30,35,16,16,95,8,104
POA6343,0,12,16,16,24,75,20,97
POA6346,16,96,93,42,47,301,29,324
POA6348,19,222,168,43,27,481,53,532
POA6350,3,39,49,9,19,125,24,149
POA6351,0,0,14,9,3,23,0,23
POA6352,0,9,23,5,6,53,16,67
POA6353,8,84,119,37,46,300,24,325
POA6355,3,41,70,28,37,175,21,198
POA6356,0,13,11,3,8,46,5,50
POA6357,0,0,3,3,6,18,7,28
POA6358,0,9,6,8,13,33,3,38
POA6359,3,57,56,26,20,154,28,187
POA6361,0,4,16,5,8,26,6,32
POA6363,0,3,9,11,13,28,0,33
POA6365,5,51,76,25,38,198,23,221
POA6367,11,51,46,21,16,144,18,162
POA6368,0,7,10,3,7,30,0,38
POA6369,10,73,95,36,25,234,38,274
POA6370,6,28,75,20,22,154,32,185
POA6372,0,12,19,10,4,42,6,48
POA6373,0,0,3,12,13,26,0,26
POA6375,12,132,132,48,31,355,31,386
POA6383,13,102,111,35,39,302,110,416
POA6384,0,0,0,3,4,6,0,6
POA6385,0,5,4,0,3,9,0,9
POA6386,0,3,14,5,3,25,22,46
POA6390,14,179,215,123,63,600,63,659
POA6391,12,90,140,85,47,372,51,425
POA6392,6,43,74,25,33,177,22,195
POA6393,0,7,15,4,12,43,8,49
POA6394,0,33,72,41,42,189,22,208
POA6395,32,165,210,90,96,591,63,656
POA6396,3,36,47,36,26,146,18,163
POA6397,3,6,13,7,9,40,6,40
POA6398,14,127,104,25,10,282,24,306
POA6401,192,1036,1038,420,289,2966,288,3252
POA6403,0,20,19,21,10,64,3,70
POA6405,0,30,44,23,21,112,17,124
POA6407,17,96,126,68,37,346,23,362
POA6409,4,48,48,22,24,136,29,165
POA6410,30,121,115,51,50,380,40,416
POA6411,0,9,17,11,6,47,10,53
POA6412,0,4,6,8,3,18,6,21
POA6413,0,7,10,4,3,23,6,30
POA6414,0,5,0,7,8,22,12,30
POA6415,68,380,384,156,72,1057,156,1206
POA6418,10,96,102,37,28,269,30,291
POA6419,0,0,8,0,12,18,6,21
POA6420,0,0,8,9,10,31,0,29
POA6421,0,12,13,10,8,49,10,58
POA6422,0,4,11,3,0,21,0,20
POA6423,6,23,20,9,9,71,9,81
POA6424,0,9,10,4,5,26,6,27
POA6425,0,3,10,8,8,31,3,29
POA6426,26,135,108,42,34,348,31,380
POA6427,13,3,0,0,0,10,0,11
POA6428,0,0,8,0,7,14,9,23
POA6429,29,109,94,57,23,323,82,405
POA6430,369,2463,3063,1171,662,7726,753,8480
POA6431,106,61,25,4,8,204,20,228
POA6432,142,823,863,354,217,2401,574,2972
POA6434,0,0,0,0,3,3,10,15
POA6436,12,29,15,10,0,63,24,90
POA6437,23,76,44,6,4,155,44,199
POA6438,35,86,65,42,12,241,110,351
POA6440,46,112,43,23,10,235,52,287
POA6442,34,287,301,125,69,818,222,1037
POA6443,36,169,78,18,22,317,69,385
POA6445,4,10,17,13,13,53,9,61
POA6446,0,9,21,10,10,50,6,48
POA6447,0,6,22,12,19,61,9,68
POA6448,0,26,49,16,24,116,20,143
POA6450,238,1620,1857,696,472,4882,574,5458
POA6452,0,0,0,0,0,0,0,0
POA6460,7,95,99,48,24,280,41,321
POA6461,8,74,81,33,18,214,24,232
POA6462,0,15,22,7,8,54,4,64
POA6463,0,0,3,5,0,11,0,11
POA6465,0,9,8,8,0,22,3,24
POA6466,0,6,6,3,7,17,0,17
POA6467,0,0,4,3,5,13,0,13
POA6468,0,14,26,19,11,61,17,80
POA6470,0,4,0,0,0,7,0,7
POA6472,0,14,22,7,11,62,6,68
POA6473,0,5,0,9,9,16,0,19
POA6475,3,63,48,16,24,152,8,164
POA6476,0,10,6,3,6,19,0,19
POA6477,0,37,33,15,14,99,10,102
POA6479,5,66,74,35,28,213,30,250
POA6480,0,0,7,5,4,13,0,15
POA6484,3,11,7,0,4,23,0,26
POA6485,13,85,69,28,17,205,27,230
POA6487,0,0,6,3,0,15,0,15
POA6488,8,23,25,13,10,76,7,87
POA6489,4,19,14,3,4,43,6,48
POA6490,5,26,27,16,17,88,23,115
POA6501,3,53,107,79,81,321,20,343
POA6502,12,117,167,91,59,442,45,486
POA6503,14,200,312,144,143,814,70,880
POA6504,0,14,26,18,8,69,17,83
POA6505,0,3,18,4,12,43,4,47
POA6506,0,8,12,3,11,30,0,31
POA6507,0,43,63,25,46,176,10,190
POA6509,3,10,15,7,14,50,25,76
POA6510,34,256,230,93,78,701,112,814
POA6511,6,77,98,32,10,227,18,245
POA6512,0,6,13,10,5,34,3,38
POA6513,5,8,21,11,11,59,3,62
POA6514,7,107,108,52,13,296,28,322
POA6515,0,31,48,19,23,121,27,158
POA6516,27,302,323,135,60,838,77,915
POA6517,4,56,64,22,13,163,35,198
POA6518,10,44,29,7,16,101,28,128
POA6519,9,80,72,30,29,212,36,253
POA6521,4,20,38,27,22,110,20,131
POA6522,5,58,59,25,27,178,64,239
POA6525,70,591,549,225,123,1554,189,1746
POA6528,4,40,53,33,27,155,15,166
POA6530,682,4564,4679,1635,812,12376,1172,13543
POA6532,38,637,1017,436,338,2462,200,2662
POA6535,12,210,239,119,71,647,108,761
POA6536,29,496,289,76,38,932,125,1057
POA6537,38,517,215,39,42,856,216,1065
POA6556,0,145,252,171,136,697,31,731
POA6558,3,51,111,51,55,274,26,294
POA6560,10,153,172,89,73,498,52,553
POA6562,3,86,187,108,86,475,55,523
POA6564,0,38,49,28,19,134,8,141
POA6566,32,346,480,204,188,1253,209,1462
POA6567,0,36,71,38,29,172,32,208
POA6568,0,16,25,17,10,71,5,86
POA6569,3,30,39,14,15,99,14,110
POA6571,0,3,14,11,0,27,6,33
POA6572,0,3,6,3,5,21,3,21
POA6574,0,7,9,5,11,28,0,27
POA6575,0,10,8,10,5,41,4,46
POA6603,12,140,193,80,26,451,40,493
POA6605,0,3,0,3,4,16,4,18
POA6606,4,14,18,14,13,68,0,67
POA6608,3,8,10,4,15,38,15,57
POA6609,6,77,119,37,25,272,45,316
POA6612,5,31,21,13,9,73,16,91
POA6613,0,3,9,3,0,21,0,21
POA6614,0,0,3,0,3,5,0,5
POA6616,0,6,10,0,3,13,9,22
POA6620,4,42,34,11,17,110,51,165
POA6623,13,73,83,27,13,205,49,255
POA6625,0,0,7,7,5,22,0,22
POA6627,0,5,3,8,9,25,0,25
POA6628,0,0,0,5,0,3,0,3
POA6630,12,101,58,32,21,230,50,279
POA6631,0,0,0,4,0,9,0,9
POA6632,0,4,9,9,7,25,0,25
POA6635,13,36,19,3,4,77,26,103
POA6638,13,91,45,13,18,181,138,316
POA6639,3,25,29,3,8,67,12,75
POA6640,8,47,22,10,5,96,71,168
POA6642,56,168,76,20,22,348,92,444
POA6646,25,66,18,3,11,116,34,156
POA6701,207,1551,847,228,146,2973,420,3390
POA6705,8,77,24,4,7,115,17,136
POA6707,72,1095,639,198,153,2161,158,2320
POA6710,36,288,155,49,22,544,143,686
POA6712,5,0,0,0,0,4,0,7
POA6713,21,98,185,77,48,418,59,480
POA6714,192,1670,2348,903,455,5569,1025,6592
POA6716,22,82,18,6,3,131,23,156
POA6718,54,78,73,21,13,247,19,270
POA6720,27,230,320,102,54,735,202,939
POA6721,95,767,688,226,117,1893,300,2197
POA6722,252,1177,1429,529,227,3614,790,4396
POA6725,475,2302,1376,476,295,4919,738,5661
POA6726,141,1199,831,288,126,2581,265,2853
POA6728,421,806,385,122,80,1819,542,2362
POA6740,169,238,102,27,14,550,135,683
POA6743,291,1129,659,222,150,2444,805,3248
POA6751,113,680,411,137,65,1409,192,1596
POA6753,166,570,574,192,102,1598,229,1826
POA6754,15,178,101,39,25,363,50,416
POA6758,18,27,10,6,0,53,8,62
POA6760,42,139,35,10,14,241,28,265
POA6762,30,28,6,0,0,60,0,66
POA6765,194,253,93,28,7,574,91,662
POA6770,414,527,157,32,19,1146,166,1315
