POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6078,165,130,69,106,114,151,130,43,5,916
POA6079,4,0,0,0,3,6,9,5,0,34
POA6081,931,576,439,573,733,722,501,225,53,4754
POA6082,675,372,353,422,444,484,337,156,30,3269
POA6083,531,408,216,348,640,615,387,176,43,3360
POA6084,1752,1164,944,1040,1354,1219,815,323,67,8681
POA6090,0,0,9,5,3,0,4,0,0,22
POA6100,2154,1981,3436,2766,1976,1851,1295,508,179,16148
POA6101,2709,2025,3616,2812,2119,1647,1230,560,234,16965
POA6102,1628,2675,3272,1756,1127,927,833,861,737,13817
POA6103,1483,1219,2728,1788,1180,1121,749,380,129,10778
POA6104,2343,1703,2687,2263,1967,1758,1319,712,417,15171
POA6105,2912,1998,2963,2441,1843,1538,1145,702,322,15848
POA6106,0,0,0,0,7,4,3,0,0,24
POA6107,9635,6390,9649,7866,5092,4111,2892,1519,565,47725
POA6108,4611,2870,2920,3268,2933,2741,2391,1205,335,23286
POA6109,2726,1636,1908,2022,1546,1297,1051,578,213,12968
POA6110,9932,5622,5816,6812,5543,4356,3362,1837,799,44079
POA6111,4318,2732,2690,2986,3067,3003,2631,1215,374,23009
POA6112,17703,7859,11031,12092,7587,6021,4249,2057,650,69250
POA6121,593,422,235,354,484,496,308,112,23,3033
POA6122,6005,2386,3567,3336,2298,1732,1107,463,141,21031
POA6123,548,270,390,255,246,229,157,52,21,2165
POA6124,272,106,103,150,190,188,93,66,18,1177
POA6125,575,412,346,433,606,522,366,215,47,3516
POA6126,39,23,11,30,36,52,41,19,3,258
POA6147,2748,1715,2114,2218,1766,1710,1509,764,210,14760
POA6148,3507,2424,1654,2564,2495,2107,1937,1306,574,18565
POA6149,3442,2101,1629,2448,2303,2325,2559,1157,507,18476
POA6150,2069,2074,1316,1517,1651,1686,1769,1112,604,13792
POA6151,2450,2237,2432,2250,2242,2149,1925,915,293,16899
POA6152,3838,3720,3932,3383,2901,2859,2675,1551,941,25793
POA6153,3712,2535,2165,2866,2788,2697,2426,1293,515,21000
POA6154,1938,1265,928,1383,1430,1158,959,759,567,10390
POA6155,10919,7635,5657,8222,7644,5825,4451,1889,646,52891
POA6156,3471,2287,1917,2258,2610,2080,1506,1063,639,17839
POA6157,2433,1524,1734,1908,1935,1694,1462,861,436,13985
POA6158,1362,895,710,893,1156,1046,813,463,259,7605
POA6159,458,365,463,490,447,601,513,300,111,3745
POA6160,1011,1076,1682,1359,1364,1325,1064,531,202,9612
POA6161,24,44,74,52,37,81,60,35,3,415
POA6162,1912,1137,1384,1605,1692,1638,1317,667,316,11678
POA6163,8437,6079,7604,7211,6832,6822,5584,3324,1451,53341
POA6164,14625,8129,10320,11011,8513,5889,3800,1611,565,64451
POA6165,4,12,7,10,13,9,4,3,0,75
POA6166,1926,1158,1173,1429,1465,1460,1176,615,182,10581
POA6167,5893,3418,4354,4485,3557,2762,1979,1034,362,27851
POA6168,3495,2921,3122,2686,3054,3458,3121,1997,805,24662
POA6169,6734,3908,3925,4066,4430,4752,3372,2017,756,33961
POA6170,4475,2125,3138,2987,1902,1221,656,254,48,16812
POA6171,10082,4445,6054,5699,4115,2752,1912,1035,166,36249
POA6172,2980,1836,1551,1576,1880,1546,891,498,213,12968
POA6173,3103,1809,1199,1855,1984,1131,507,222,51,11860
POA6174,1428,837,848,821,692,440,254,120,20,5465
POA6175,979,522,454,536,561,402,233,103,31,3817
POA6176,550,245,406,245,219,185,130,43,15,2023
POA6180,1727,802,955,943,716,500,481,317,43,6492
POA6181,73,63,31,54,90,74,45,16,6,451
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,286,115,131,169,175,173,107,38,10,1194
POA6208,2401,1284,1249,1316,1401,1569,1663,1056,326,12250
POA6209,245,223,153,166,258,306,329,180,40,1911
POA6210,12365,7612,7021,7494,8564,9508,9829,6510,2551,71463
POA6211,1602,775,713,921,994,1044,1210,580,76,7910
POA6213,117,52,61,71,109,112,103,38,18,672
POA6214,138,88,47,90,95,94,89,28,4,675
POA6215,690,409,351,475,575,637,565,289,98,4096
POA6218,109,59,53,54,56,87,73,17,12,516
POA6219,98,68,51,63,98,106,66,28,12,591
POA6220,747,386,530,506,555,542,527,341,146,4289
POA6221,30,160,27,30,52,58,30,14,6,401
POA6223,27,15,10,18,32,25,10,10,0,150
POA6224,227,158,124,132,178,162,151,78,18,1230
POA6225,1622,939,917,1030,1183,1316,1170,570,181,8923
POA6226,207,105,82,121,136,132,87,22,0,892
POA6227,199,75,69,125,100,93,68,35,4,766
POA6228,23,17,3,12,22,21,28,10,3,143
POA6229,7,4,7,15,26,39,51,21,4,170
POA6230,8262,5175,5488,5667,5968,5551,4429,2416,1020,43978
POA6232,2382,1190,1488,1469,1271,1163,967,675,314,10917
POA6233,4513,2199,2230,2697,2451,2406,1894,884,202,19478
POA6236,377,213,184,224,346,360,267,117,33,2118
POA6237,509,241,182,321,359,432,340,119,28,2534
POA6239,831,434,391,499,598,674,610,323,105,4470
POA6240,17,9,7,15,16,39,33,22,0,166
POA6243,13,15,3,11,6,13,18,9,4,89
POA6244,302,100,119,173,197,258,199,140,26,1525
POA6251,50,22,20,30,46,57,45,16,0,288
POA6252,20,6,16,17,18,32,21,17,0,138
POA6253,78,47,44,63,73,119,169,63,13,666
POA6254,79,49,63,82,91,128,67,41,10,615
POA6255,728,322,327,424,565,702,776,348,95,4276
POA6256,89,36,31,50,58,78,52,31,4,426
POA6258,1130,697,661,692,821,996,747,402,142,6289
POA6260,224,139,185,194,226,265,207,89,44,1569
POA6262,99,43,47,64,112,140,109,54,9,682
POA6271,663,344,305,385,500,468,398,183,43,3280
POA6275,205,82,94,182,171,277,317,145,26,1503
POA6280,5659,2923,2874,3579,3944,3927,3942,2243,912,30013
POA6281,1778,621,785,1243,1110,1023,1102,508,108,8272
POA6282,305,117,152,213,285,316,296,89,18,1788
POA6284,708,188,249,521,402,323,211,82,34,2710
POA6285,2233,885,1253,1664,1574,1343,1037,374,132,10496
POA6286,161,50,98,141,98,147,88,37,7,825
POA6288,96,49,62,76,106,87,76,32,3,585
POA6290,181,79,95,149,207,343,440,220,104,1815
POA6302,494,220,256,336,386,620,657,372,106,3450
POA6304,200,100,113,146,203,276,327,163,50,1585
POA6306,168,63,82,105,138,135,124,92,41,945
POA6308,237,123,125,146,208,258,232,139,33,1499
POA6309,39,29,21,24,47,43,47,21,7,276
POA6311,101,42,59,45,84,114,91,44,10,589
POA6312,801,636,522,509,566,604,508,300,159,4591
POA6313,47,19,18,25,38,41,25,20,0,234
POA6315,305,143,175,197,208,282,270,143,48,1779
POA6316,85,31,39,41,46,66,51,16,0,374
POA6317,786,509,539,480,487,528,428,226,94,4082
POA6318,110,28,50,71,64,75,60,22,4,483
POA6320,115,54,58,58,63,100,41,31,11,530
POA6321,100,37,35,57,61,78,57,38,4,465
POA6322,44,22,16,27,33,32,42,23,0,236
POA6323,171,80,57,88,143,178,195,92,7,1025
POA6324,638,342,341,417,509,571,499,207,101,3634
POA6326,78,50,52,46,65,88,80,24,8,492
POA6327,63,16,26,32,47,31,33,13,5,267
POA6328,79,40,69,50,40,71,40,21,0,419
POA6330,6652,4137,4055,4130,4800,5188,4512,2741,1139,37345
POA6333,1099,523,435,727,823,1025,1002,538,160,6328
POA6335,164,68,115,105,81,109,90,25,12,758
POA6336,72,23,51,38,48,54,35,7,0,323
POA6337,128,44,78,87,72,81,38,8,0,536
POA6338,135,41,79,88,94,116,124,40,4,718
POA6341,57,27,33,39,36,26,28,6,0,253
POA6343,51,8,34,40,43,26,18,13,0,227
POA6346,143,137,278,203,255,209,93,26,15,1358
POA6348,200,49,147,128,150,172,142,87,16,1089
POA6350,50,21,33,30,49,51,51,34,6,318
POA6351,14,3,3,10,7,10,9,0,0,57
POA6352,33,10,24,33,27,30,19,7,0,190
POA6353,150,75,101,97,102,115,72,47,9,770
POA6355,87,20,50,70,71,75,52,13,0,435
POA6356,20,6,10,23,23,19,11,0,0,117
POA6357,6,6,7,8,15,3,10,0,0,53
POA6358,22,10,8,10,18,13,9,6,5,94
POA6359,83,58,113,117,112,115,65,25,12,700
POA6361,15,12,5,13,14,16,6,6,0,86
POA6363,21,5,10,11,19,7,3,8,0,86
POA6365,117,20,54,71,66,78,59,28,9,506
POA6367,51,21,34,30,48,70,52,21,9,328
POA6368,29,3,14,18,6,11,11,4,0,92
POA6369,116,34,77,59,94,94,71,53,34,639
POA6370,94,28,54,38,45,78,45,37,12,431
POA6372,9,8,7,15,18,21,24,9,7,112
POA6373,13,6,9,11,17,7,10,0,0,77
POA6375,144,68,92,100,95,112,138,63,38,845
POA6383,145,40,93,80,110,152,170,87,40,910
POA6384,4,4,0,0,13,0,0,0,0,23
POA6385,0,0,0,0,0,7,3,0,0,16
POA6386,17,16,8,13,12,20,13,0,0,102
POA6390,370,136,247,293,318,324,191,85,20,1979
POA6391,224,71,110,151,118,149,107,68,17,1011
POA6392,74,23,37,54,54,81,52,31,15,412
POA6393,26,8,8,13,22,20,16,6,0,120
POA6394,77,31,28,49,86,80,61,43,9,451
POA6395,304,100,154,211,167,256,155,108,51,1511
POA6396,56,20,34,55,61,65,37,17,3,351
POA6397,13,3,4,7,22,18,17,4,0,91
POA6398,62,31,45,46,87,135,108,66,10,580
POA6401,1504,936,919,936,1021,1150,980,514,205,8165
POA6403,23,13,7,14,20,32,17,17,0,141
POA6405,81,29,33,43,30,47,47,14,5,325
POA6407,180,227,114,100,108,104,86,44,20,997
POA6409,65,29,42,36,61,70,34,27,9,374
POA6410,131,69,90,97,126,158,119,96,42,924
POA6411,13,18,12,11,16,27,20,13,0,131
POA6412,12,9,3,0,11,17,4,0,0,58
POA6413,3,0,0,10,10,16,13,4,0,53
POA6414,19,3,11,4,9,14,14,3,0,77
POA6415,520,319,363,331,360,394,307,140,65,2799
POA6418,143,57,80,95,81,89,113,62,22,741
POA6419,8,8,9,0,15,8,0,5,0,50
POA6420,15,0,14,8,12,10,9,6,0,71
POA6421,36,14,14,26,28,13,19,4,0,149
POA6422,20,8,7,9,10,9,0,0,0,61
POA6423,17,16,37,47,61,70,29,15,8,296
POA6424,6,4,12,8,9,18,6,3,0,65
POA6425,13,0,10,6,6,23,5,3,4,72
POA6426,100,92,253,250,263,256,131,38,16,1397
POA6427,0,18,71,68,92,58,12,0,0,319
POA6428,11,6,6,6,15,12,9,0,0,59
POA6429,149,125,277,225,278,252,151,33,4,1492
POA6430,4859,2718,3793,3434,3015,2594,1365,539,168,22481
POA6431,125,218,359,328,308,203,61,17,0,1626
POA6432,1531,883,1140,1072,1000,1012,556,148,31,7378
POA6434,14,67,194,155,107,56,14,0,0,599
POA6436,14,32,59,84,62,73,50,9,0,387
POA6437,154,207,458,394,287,204,53,5,0,1768
POA6438,108,170,473,385,351,289,151,29,5,1962
POA6440,131,306,920,834,874,681,140,21,0,3909
POA6442,539,333,462,438,463,365,176,52,12,2843
POA6443,88,97,184,132,257,210,173,44,10,1189
POA6445,30,0,15,15,31,24,18,7,0,144
POA6446,27,8,15,18,20,15,7,5,0,115
POA6447,30,15,31,21,21,28,11,0,0,165
POA6448,97,81,54,43,55,50,46,12,6,436
POA6450,2555,1426,1485,1577,1757,1784,1381,876,272,13122
POA6452,0,0,0,0,0,0,0,0,0,4
POA6460,112,60,48,75,76,113,127,51,20,689
POA6461,86,46,31,62,65,57,87,34,6,483
POA6462,57,11,25,17,20,19,19,3,0,164
POA6463,7,5,6,3,0,5,4,0,0,28
POA6465,0,0,0,4,12,5,11,6,0,39
POA6466,4,3,12,3,0,6,4,0,0,42
POA6467,8,0,0,3,0,9,8,0,0,28
POA6468,34,16,18,31,31,41,15,9,0,191
POA6470,11,0,0,4,3,0,0,0,0,24
POA6472,22,9,13,22,31,23,15,5,3,145
POA6473,18,0,0,10,11,3,8,0,0,53
POA6475,49,17,27,35,55,52,61,24,3,331
POA6476,9,0,5,3,9,14,8,3,5,42
POA6477,40,11,27,27,36,41,19,9,7,226
POA6479,109,41,56,60,80,93,79,48,9,577
POA6480,5,0,3,0,11,4,8,0,0,37
POA6484,3,0,6,0,11,11,11,5,0,37
POA6485,57,30,45,40,50,66,71,57,7,436
POA6487,3,8,5,0,4,6,4,0,0,38
POA6488,18,7,22,8,23,28,25,14,0,154
POA6489,5,11,5,3,13,20,27,11,0,91
POA6490,38,34,14,20,42,43,52,10,4,253
POA6501,148,99,90,97,151,154,105,47,13,907
POA6502,217,116,84,119,152,192,179,98,29,1183
POA6503,396,200,275,274,288,352,298,172,27,2282
POA6504,29,18,21,16,29,47,36,24,3,219
POA6505,30,5,14,17,6,19,15,8,0,126
POA6506,9,4,3,11,9,10,9,6,0,59
POA6507,76,66,123,114,125,141,63,30,6,747
POA6509,22,14,10,24,24,30,24,15,0,169
POA6510,371,215,223,204,239,306,240,121,43,1954
POA6511,66,22,58,42,53,102,118,46,17,519
POA6512,16,6,3,13,19,24,12,9,5,85
POA6513,37,17,16,17,36,26,16,7,0,166
POA6514,66,33,37,37,65,135,156,70,14,618
POA6515,56,18,37,44,41,68,50,18,6,337
POA6516,291,128,190,212,245,336,404,146,43,1977
POA6517,62,32,43,64,44,65,70,31,10,413
POA6518,17,19,18,32,32,50,29,23,5,231
POA6519,110,38,67,92,79,90,75,45,6,608
POA6521,45,36,52,49,45,56,58,30,3,368
POA6522,81,24,40,57,72,106,99,41,4,530
POA6525,569,302,269,387,479,673,741,388,81,3893
POA6528,63,27,41,34,51,67,67,18,10,382
POA6530,6550,3942,3896,4087,4317,4300,3464,1972,781,33296
POA6532,1495,704,775,828,1045,974,778,243,58,6907
POA6535,269,98,118,171,191,317,348,161,60,1732
POA6536,264,151,167,230,276,509,608,224,38,2464
POA6537,329,123,313,277,278,548,614,208,14,2703
POA6556,320,233,173,223,297,333,196,73,23,1871
POA6558,117,283,660,618,409,278,132,48,6,2556
POA6560,247,147,130,127,201,221,160,93,15,1340
POA6562,277,120,115,170,202,165,208,82,12,1357
POA6564,50,22,31,31,44,60,56,16,4,312
POA6566,451,240,238,289,414,635,605,257,61,3189
POA6567,66,38,24,41,68,95,78,41,4,460
POA6568,25,9,14,17,22,45,32,15,3,177
POA6569,56,12,29,31,35,31,31,14,5,251
POA6571,8,3,4,20,5,11,7,0,0,62
POA6572,14,3,10,6,8,12,4,0,0,60
POA6574,9,5,14,3,12,6,8,4,0,66
POA6575,22,3,15,9,26,16,14,7,0,115
POA6603,212,96,122,143,131,158,151,69,21,1105
POA6605,8,4,7,0,10,8,3,0,0,41
POA6606,17,5,11,18,15,23,26,12,3,128
POA6608,26,9,16,15,18,32,16,5,0,140
POA6609,193,75,125,133,92,116,79,51,25,884
POA6612,32,11,20,25,14,37,33,15,8,191
POA6613,10,0,3,8,5,8,10,0,5,50
POA6614,0,0,3,0,0,0,4,0,0,13
POA6616,12,3,0,12,5,10,10,0,0,55
POA6620,68,70,192,206,189,170,65,22,8,984
POA6623,133,55,56,68,63,95,118,42,23,646
POA6625,9,11,4,3,8,4,4,3,0,56
POA6627,11,6,6,9,13,12,3,9,0,71
POA6628,10,0,4,0,0,5,0,0,0,15
POA6630,98,39,54,75,79,108,140,30,3,627
POA6631,0,0,0,0,0,5,0,0,0,17
POA6632,19,4,3,16,12,3,5,8,0,74
POA6635,53,78,302,191,218,152,58,17,4,1079
POA6638,124,99,227,252,254,240,137,24,3,1356
POA6639,4,24,46,29,40,73,47,22,0,279
POA6640,8,45,102,74,97,113,89,29,0,561
POA6642,171,253,506,410,422,363,197,47,0,2372
POA6646,91,129,343,259,257,145,66,9,0,1303
POA6701,1222,626,932,869,1010,1370,1623,599,98,8349
POA6705,53,15,23,37,41,62,68,14,0,310
POA6707,819,464,879,750,698,995,1216,416,44,6279
POA6710,244,83,299,286,333,378,374,108,11,2123
POA6712,0,7,64,80,92,45,6,0,0,298
POA6713,363,106,152,241,226,171,78,29,0,1354
POA6714,4499,2028,4110,4397,3423,2327,977,232,20,22017
POA6716,244,187,546,520,439,367,117,15,0,2434
POA6718,164,171,187,158,146,119,72,29,0,1051
POA6720,610,270,537,552,411,380,267,70,3,3102
POA6721,1068,381,1074,1140,840,817,509,131,10,5981
POA6722,2836,1378,2630,2354,1859,1449,526,115,33,13166
POA6725,3122,1422,2280,2223,1918,2291,2125,582,85,16054
POA6726,1514,722,1281,1160,1162,1430,1511,534,49,9365
POA6728,1340,859,1174,931,892,976,733,152,31,7089
POA6740,405,221,339,398,385,360,226,52,3,2386
POA6743,1711,844,1491,1223,1177,1364,1040,205,28,9092
POA6751,990,619,1908,1809,1699,1292,501,100,5,8923
POA6753,1314,1045,3275,3073,2715,1780,374,42,6,13623
POA6754,276,155,302,360,307,217,39,12,3,1670
POA6758,38,172,756,746,589,357,55,9,4,2718
POA6760,82,161,476,489,466,375,158,32,6,2252
POA6762,66,154,356,294,251,172,24,3,0,1316
POA6765,413,264,358,268,265,276,198,44,4,2099
POA6770,890,579,677,597,516,561,475,111,12,4418
