POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
POA6012,0,0,0,0,6,3,14,12,0,3,3,4,0,0,0,49,0,0,3,6,18,0,4,6,0,0,0,0,0,0,0,37,0,4,9,7,6,15,22,4,0,5,0,0,6,4,0,87,0,0,7,16,21,13,61,24,6,4,0,6,7,0,3,170,0,0,0,3,6,5,16,5,0,0,0,5,0,0,0,35,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,4,5,0,4,0,0,3,32,11,34,122,96,72,109,215,120,8,7,10,18,10,3,18,868,0,0,3,12,15,14,17,10,0,6,10,6,10,0,3,99,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,13,3,20,20,37,41,58,107,80,24,29,41,87,15,0,9,578,43,98,214,237,299,357,661,388,65,83,94,190,84,27,63,2887
POA6014,0,0,0,0,9,13,18,28,0,3,3,4,0,0,3,96,3,0,0,6,16,7,3,9,0,0,0,0,0,0,0,41,3,4,6,31,33,26,44,24,0,9,0,0,8,0,0,194,0,3,11,19,48,68,137,42,3,0,11,9,4,4,4,367,3,0,0,3,16,3,16,8,3,7,6,9,0,0,0,78,0,0,0,0,0,13,4,7,0,0,0,3,0,0,0,29,0,0,0,3,9,3,19,10,3,4,0,0,0,0,4,62,26,79,209,203,260,219,359,178,21,19,19,37,25,5,26,1684,5,0,4,12,25,14,43,42,6,3,9,8,9,0,9,189,0,0,0,21,16,8,7,24,0,0,0,8,0,0,0,84,9,17,43,69,121,97,224,266,111,130,197,338,134,5,20,1779,94,224,394,571,875,720,1468,1124,236,275,352,532,239,51,109,7262
POA6015,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,21,0,0,0,7,8,13,3,9,0,0,0,0,3,0,7,57,0,0,4,15,26,27,68,19,10,6,8,0,6,0,0,181,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,13,34,81,101,103,83,118,42,3,3,6,5,3,0,11,604,0,0,6,6,7,11,21,19,3,4,5,10,0,3,6,103,0,0,3,3,5,0,0,0,0,0,0,0,0,0,5,15,10,4,14,24,31,33,47,36,9,11,15,15,13,0,0,255,51,95,158,238,309,268,395,192,34,33,64,61,59,10,32,1995
POA6016,0,0,0,4,3,3,19,15,0,4,3,4,0,0,0,62,0,0,0,5,10,3,4,7,0,0,0,0,0,0,0,33,0,0,0,6,9,5,17,5,0,0,0,0,0,0,0,49,0,0,0,5,25,18,33,6,0,0,0,0,4,0,3,99,0,0,0,4,4,0,0,5,0,0,0,0,3,0,0,23,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,12,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,15,0,18,79,103,124,86,149,89,4,7,12,8,8,0,13,703,0,5,3,6,6,9,13,11,4,0,3,0,3,0,0,63,0,0,0,14,27,13,0,8,0,0,0,3,0,0,3,69,3,7,31,40,45,77,99,191,99,109,148,161,66,0,6,1076,23,117,222,307,397,340,641,591,169,185,251,249,107,3,56,3659
POA6017,0,0,0,0,4,5,15,23,3,6,6,6,3,3,0,67,0,0,0,4,3,4,0,3,0,0,0,0,0,0,0,12,0,0,0,0,3,0,5,3,0,0,0,0,3,0,0,29,0,0,0,3,6,9,14,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,4,0,0,0,9,3,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,8,4,7,0,0,0,0,0,0,0,21,0,8,33,32,31,23,43,26,3,3,3,0,0,0,4,202,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,9,18,0,7,6,0,0,0,0,0,0,0,44,4,3,12,12,18,37,69,128,60,77,101,205,68,0,7,796,7,42,103,91,155,161,328,447,119,143,171,298,104,3,30,2214
POA6018,0,0,3,5,29,22,40,31,12,5,6,7,7,4,3,171,5,0,3,8,65,13,15,17,3,0,4,0,0,0,4,148,3,3,9,15,48,58,114,27,0,7,6,6,5,0,10,313,0,0,4,38,92,163,304,132,23,25,32,34,17,4,8,877,0,0,3,11,17,20,32,23,0,0,0,3,7,0,6,123,0,0,0,3,12,6,6,14,11,0,5,0,0,0,0,68,0,0,0,0,14,7,33,11,9,6,4,9,5,0,0,98,56,128,475,407,527,363,674,442,39,32,53,33,28,16,67,3339,0,0,11,20,28,30,54,35,3,9,5,11,12,0,0,222,0,0,0,48,46,23,14,19,4,0,6,0,4,0,4,161,29,34,81,136,225,302,583,391,71,74,79,90,45,0,34,2179,191,470,875,1001,1811,1633,3239,2202,309,297,329,377,200,36,240,13212
POA6019,0,0,0,5,5,8,14,8,7,6,0,3,0,0,6,66,0,0,0,9,25,0,7,18,0,7,0,0,0,0,4,75,0,4,0,5,20,21,32,3,4,4,4,4,3,5,5,106,0,0,13,23,64,118,219,82,16,0,18,21,8,6,5,603,3,0,0,5,7,4,17,6,0,0,0,0,0,0,0,40,0,0,0,0,3,0,6,4,0,0,0,0,0,0,0,16,0,0,0,0,3,5,15,8,0,3,0,0,0,0,0,42,21,61,235,248,291,254,488,334,33,38,44,40,45,12,32,2178,0,0,7,7,19,26,33,33,7,8,7,17,12,0,3,192,0,0,0,8,18,3,4,3,0,0,0,3,0,0,0,36,17,18,39,64,118,150,361,286,72,115,94,133,50,9,20,1549,82,200,415,534,882,860,1773,1254,206,253,252,359,185,65,123,7435
POA6020,0,0,6,0,5,12,4,8,8,0,4,0,0,0,0,44,4,0,0,7,24,18,12,4,0,0,0,0,0,0,0,69,0,0,8,14,19,15,23,4,0,3,0,0,0,0,4,98,0,0,11,30,62,128,224,61,25,19,15,21,17,6,6,618,0,5,0,3,5,9,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,7,0,4,4,0,0,0,0,25,25,113,375,309,388,266,501,259,42,25,28,24,13,0,38,2404,0,4,3,4,9,9,29,14,0,0,4,8,3,3,9,110,0,0,0,11,19,3,3,0,0,0,0,0,0,0,0,44,13,30,68,95,137,99,190,106,25,6,22,14,11,3,14,818,74,298,659,696,1021,784,1340,667,129,85,97,92,62,14,107,6126
POA6021,0,0,3,9,11,12,29,39,18,17,3,8,0,5,0,150,4,3,4,5,49,16,3,3,0,0,0,0,0,0,0,93,0,5,3,10,23,11,47,7,0,3,0,0,0,0,0,105,0,0,3,9,28,54,93,35,16,0,0,0,0,3,3,258,0,0,3,5,8,9,18,4,3,0,0,13,4,0,0,60,0,0,0,0,18,14,9,22,5,3,3,6,0,0,4,73,0,0,0,7,7,3,19,22,0,6,0,3,0,0,6,73,6,31,173,133,146,86,204,100,18,4,9,10,8,0,22,949,0,0,3,4,3,8,27,17,0,5,3,0,4,5,9,82,0,0,0,39,104,43,28,18,11,10,4,3,0,0,11,285,20,16,103,73,121,226,324,208,45,44,46,68,19,3,24,1347,113,613,980,615,876,919,1617,1109,236,165,171,220,112,26,244,8018
POA6022,0,0,0,5,5,0,8,4,4,0,0,0,0,0,0,26,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,13,0,0,0,3,4,3,3,0,0,0,0,0,0,0,0,17,0,0,0,0,7,16,28,6,3,0,5,6,0,0,0,61,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,3,12,0,0,0,0,0,0,0,18,10,21,80,62,62,32,60,50,0,0,3,0,0,0,10,400,0,0,5,5,0,4,0,6,0,0,0,0,0,0,0,22,0,0,0,16,9,6,12,0,7,3,0,0,0,0,0,51,0,6,28,15,30,18,43,34,14,5,3,8,0,0,7,212,26,61,168,156,210,136,291,242,38,19,30,18,0,5,40,1438
POA6023,0,0,0,6,14,4,3,7,0,0,0,0,0,0,0,41,0,0,0,7,24,8,13,4,0,0,0,4,5,0,4,62,0,4,0,15,10,13,8,0,0,0,5,0,0,0,0,59,0,3,3,16,44,98,267,77,12,10,22,3,7,6,0,574,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,6,0,0,0,0,8,0,0,0,0,16,0,0,0,0,4,8,10,9,4,0,0,0,0,0,0,32,23,75,214,254,289,211,542,330,36,14,19,21,9,0,33,2073,0,0,6,7,4,17,19,25,5,0,9,4,6,5,0,110,0,0,0,11,3,5,0,8,0,0,0,9,0,0,0,34,9,10,55,68,70,106,194,89,23,5,7,7,11,0,11,667,69,198,397,522,752,636,1400,750,101,49,93,62,54,20,67,5172
POA6024,0,0,0,3,12,7,13,12,3,0,3,0,0,0,4,60,0,0,3,0,6,5,7,0,0,0,0,0,0,0,0,26,0,0,6,3,16,10,12,0,0,0,0,0,0,0,0,64,0,0,4,13,24,43,101,29,4,10,3,4,0,5,0,230,0,0,0,6,3,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,9,0,0,0,5,3,0,0,23,0,0,0,0,0,5,12,17,4,0,0,0,0,0,0,38,21,63,221,168,186,143,291,140,9,13,6,12,3,0,14,1308,0,0,0,7,3,11,11,0,3,0,5,8,6,0,0,56,0,0,0,8,17,15,19,7,3,4,0,5,3,0,5,85,7,10,51,44,76,80,108,79,9,9,12,6,0,0,11,501,68,155,396,406,558,457,869,605,67,64,55,82,26,4,69,3874
POA6025,0,0,0,10,36,21,26,21,4,5,3,3,3,0,0,125,3,4,0,8,80,7,9,16,3,0,0,3,0,0,0,127,0,3,8,29,16,21,21,3,0,0,4,0,0,0,4,108,0,3,10,40,63,161,389,135,27,37,27,30,8,9,3,943,0,0,0,5,4,6,0,0,0,0,0,6,0,0,0,28,0,0,0,0,0,4,10,5,0,0,0,0,0,0,0,24,0,0,0,0,6,8,24,9,0,0,0,3,0,0,4,64,34,94,529,594,775,530,1068,683,87,41,70,49,34,4,67,4654,0,0,3,12,20,13,36,31,3,3,0,0,10,5,0,139,0,0,0,22,19,11,12,0,3,0,0,0,3,0,4,75,9,13,86,111,229,243,371,179,21,15,36,19,8,5,13,1370,81,255,808,1100,1768,1427,2572,1617,176,145,184,180,91,24,164,10588
POA6026,0,0,0,10,24,6,10,8,0,0,0,3,0,0,0,68,0,0,0,9,27,10,3,13,0,0,0,0,0,0,0,69,0,0,8,11,21,4,17,6,0,0,0,0,0,0,0,73,0,0,5,24,40,60,294,137,20,19,15,18,11,0,7,656,0,0,5,0,0,7,4,0,0,0,0,4,0,0,0,26,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,3,9,15,11,3,0,0,9,3,0,0,53,30,103,502,452,617,371,922,453,27,33,22,20,8,0,59,3620,0,0,3,12,9,9,14,18,0,0,0,9,4,3,0,75,0,0,0,7,16,4,4,7,5,0,0,0,0,0,0,38,10,15,79,86,154,78,233,108,10,11,8,19,3,0,8,825,75,236,775,820,1287,783,2017,1128,82,100,77,102,46,13,97,7644
