POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA6014,187,260,6,450,1876,40,6,2373,30,537,5,566,1172,46,13,1801,4,131,0,138,938,36,5,1118,0,14,0,9,645,38,3,696,4169,1295,167,5634,11159,413,54,17261
POA6015,96,108,3,204,738,16,7,967,4,192,0,193,392,18,0,610,6,70,0,81,458,17,3,558,4,8,0,6,290,12,0,303,1139,462,52,1649,3639,126,24,5430
POA6016,77,105,3,178,839,27,0,1049,8,146,0,150,499,31,9,690,0,28,0,33,256,17,0,307,0,0,0,0,161,8,0,168,2152,460,86,2698,5406,294,25,8420
POA6017,17,29,0,42,295,25,0,363,4,29,0,37,255,14,0,306,0,7,0,4,159,7,0,175,0,0,0,0,63,3,0,67,566,163,21,749,2871,276,9,3901
POA6018,242,563,9,810,3354,98,22,4287,51,885,4,935,2431,127,14,3513,15,279,0,290,2100,201,7,2605,4,15,0,12,1146,214,3,1376,7654,2395,286,10332,21862,1308,95,33592
POA6019,144,288,6,439,1907,66,15,2422,22,489,0,513,1191,71,6,1781,6,122,0,124,952,49,5,1130,3,6,0,8,418,16,0,442,4030,1371,151,5552,13115,845,73,19578
POA6020,134,480,6,628,2148,34,3,2814,42,1061,0,1106,1887,54,0,3049,4,190,3,195,1256,55,3,1515,0,0,0,3,453,27,0,487,3880,2051,175,6104,11026,412,32,17572
POA6021,118,358,3,480,1834,80,12,2397,21,483,0,510,1494,68,15,2087,9,116,0,123,1257,88,0,1475,0,12,0,11,594,38,0,643,3449,1287,98,4827,11843,682,34,17393
POA6022,28,77,0,109,392,8,0,507,3,161,0,162,460,14,0,640,0,35,0,37,300,5,3,347,0,0,0,0,69,4,0,78,957,354,44,1362,2599,109,3,4072
POA6023,92,291,9,391,1277,27,9,1702,31,573,7,609,1218,30,5,1857,0,119,0,121,815,41,0,983,0,0,0,0,293,20,0,318,3254,1209,153,4615,7277,244,23,12160
POA6024,71,222,0,297,1035,40,4,1374,17,462,3,482,1151,37,0,1668,5,84,0,89,722,29,0,838,0,4,0,8,166,5,0,180,2395,1056,130,3579,6846,308,16,10754
POA6025,172,641,11,825,2964,62,9,3861,55,922,7,983,2402,62,6,3455,7,173,0,182,1259,66,0,1503,0,4,0,4,403,34,0,443,5734,2285,249,8269,15766,644,30,24716
POA6026,136,650,4,793,2392,41,7,3233,30,735,3,766,1979,48,7,2798,7,91,4,104,1020,46,3,1174,0,14,0,14,704,29,0,741,3865,1813,197,5880,11900,332,30,18134
POA6027,218,969,13,1202,4346,213,7,5768,37,1001,0,1037,3155,156,9,4361,11,143,0,154,1546,188,3,1892,4,9,0,11,608,154,5,773,7085,2915,307,10314,22579,1611,56,34551
POA6028,136,659,5,801,2638,53,0,3498,14,462,0,479,1300,35,3,1820,6,75,0,78,600,19,5,700,0,0,0,0,193,5,0,201,4177,1644,151,5971,12089,415,29,18508
POA6029,25,31,0,57,275,9,4,346,0,116,0,119,187,4,0,310,0,26,0,23,156,11,0,193,0,0,0,0,68,0,0,72,513,212,21,748,1408,74,6,2240
POA6030,228,719,17,963,3417,151,10,4546,41,480,4,526,2160,94,11,2784,7,95,0,102,1643,119,3,1865,0,9,0,9,682,86,0,772,6792,2306,349,9446,20572,1444,60,31523
POA6031,74,301,5,376,1165,35,6,1584,7,178,0,186,628,31,5,845,0,28,0,32,261,10,0,300,0,0,0,0,49,0,0,56,3915,1007,176,5086,7995,425,25,13534
POA6032,0,8,0,9,26,8,0,45,0,6,0,6,11,3,0,18,0,5,0,5,0,5,0,6,0,0,0,0,0,0,0,0,22,16,9,44,98,18,0,162
POA6033,3,17,0,22,48,3,0,71,0,16,0,16,32,0,0,43,0,0,0,0,11,0,0,9,0,0,0,0,6,0,0,6,56,37,0,98,231,32,5,359
POA6034,14,41,0,51,147,11,0,208,0,35,0,36,101,3,0,143,0,0,0,0,45,0,0,47,0,0,0,0,0,0,0,0,888,171,31,1091,1323,114,3,2532
POA6035,53,146,0,201,792,54,4,1047,7,125,0,136,667,31,0,831,0,33,0,33,404,23,0,464,0,0,0,0,120,22,0,146,2092,552,100,2748,4657,410,38,7846
POA6036,71,276,3,357,1147,49,9,1560,8,178,0,185,735,29,0,951,0,28,0,28,344,24,0,391,0,0,0,0,76,4,0,78,3242,966,163,4367,8121,464,23,12980
POA6037,16,66,0,88,351,36,0,469,0,56,0,53,282,22,0,356,0,8,0,8,153,10,0,177,0,0,0,0,26,8,0,30,592,204,41,833,1713,204,11,2759
POA6038,44,115,0,164,490,17,6,668,5,88,3,91,297,6,4,400,0,9,0,8,123,12,0,146,0,0,0,0,35,0,0,39,2322,462,96,2890,4035,225,12,7157
POA6041,3,36,0,38,167,14,0,213,0,25,0,25,214,24,6,266,0,4,0,5,109,17,0,129,0,0,0,0,21,0,0,25,185,101,7,297,890,92,18,1302
POA6042,0,0,0,0,18,0,0,18,0,0,0,0,34,8,0,42,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,4,0,0,3,64,29,0,97
POA6043,0,8,0,8,38,3,0,55,0,5,0,3,52,4,0,63,0,0,0,0,26,3,0,28,0,0,0,0,3,0,0,3,11,20,0,33,166,13,0,212
POA6044,3,22,0,24,174,19,0,218,5,26,0,28,199,14,3,246,0,0,0,0,101,9,0,118,0,0,0,0,27,5,0,33,111,66,8,183,849,86,24,1142
POA6050,122,202,3,329,1437,36,5,1807,16,330,0,348,1088,63,3,1496,3,97,0,107,790,114,4,1016,0,9,0,9,604,103,0,708,2248,899,90,3243,9498,590,24,13345
POA6051,58,118,5,173,978,50,10,1213,18,154,0,167,825,40,3,1038,4,34,0,39,387,18,0,443,0,0,0,0,113,3,0,120,1795,567,51,2406,8097,554,34,11100
POA6052,79,161,3,241,1111,48,0,1398,11,212,0,222,721,47,0,988,0,54,0,55,391,47,0,491,0,0,0,0,204,31,0,236,2031,627,69,2724,6190,364,10,9289
POA6053,96,202,4,300,1373,50,0,1724,24,237,0,265,975,54,0,1301,6,55,0,64,632,47,0,736,0,7,0,7,386,41,0,431,2648,803,124,3570,8275,456,15,12317
POA6054,117,330,7,456,2006,114,10,2586,16,334,3,354,1566,85,12,2009,5,74,0,78,904,75,4,1060,0,6,0,9,373,23,0,404,3252,1190,159,4604,11355,863,37,16850
POA6055,133,439,9,578,1944,79,25,2633,29,343,0,371,1262,50,17,1710,4,71,0,73,628,44,3,753,0,3,0,3,201,29,0,238,6904,1622,231,8755,14236,993,83,24056
POA6056,218,748,16,981,3896,297,9,5192,56,678,7,741,3160,254,6,4161,5,133,0,142,2063,258,8,2466,0,4,0,4,738,248,0,992,6027,2567,311,8903,22394,2556,67,33924
POA6057,73,361,0,431,1551,68,7,2054,15,293,4,312,1155,42,5,1510,6,58,0,59,793,42,0,890,0,3,0,3,281,28,0,310,2812,1065,119,4000,8556,488,15,13063
POA6058,53,210,3,272,1122,66,0,1462,16,227,0,243,1052,50,0,1340,0,35,0,37,583,33,0,651,0,0,0,0,238,24,0,262,2152,766,110,3023,6887,550,7,10473
POA6059,138,358,4,504,2407,92,11,3014,35,488,0,532,1867,78,8,2483,11,150,0,157,1571,96,0,1827,0,9,0,9,751,33,0,793,3614,1379,109,5096,14249,729,40,20107
POA6060,114,252,8,374,2098,107,7,2580,22,375,6,402,1510,65,3,1978,12,108,0,123,1038,53,4,1218,4,12,0,19,684,53,0,757,3769,1191,146,5103,15279,975,46,21402
POA6061,185,431,14,632,2991,240,26,3882,53,407,0,455,2237,183,7,2882,10,73,0,78,1332,113,0,1524,0,7,0,7,489,36,0,534,6301,1674,209,8184,22240,2493,81,32996
POA6062,173,505,7,685,3090,125,13,3917,52,710,4,767,2684,87,12,3549,7,162,0,170,1964,84,4,2227,0,10,0,12,795,54,0,858,5149,1952,147,7245,19672,1089,56,28065
POA6063,92,226,9,330,1400,68,7,1799,14,161,4,175,982,40,7,1203,3,31,0,33,388,27,0,452,0,0,0,0,115,8,0,130,2350,739,112,3196,7840,552,27,11615
POA6064,197,511,10,716,2897,125,14,3753,43,474,3,528,2203,139,11,2878,0,85,0,88,1226,141,0,1455,0,5,0,5,356,135,0,491,4536,1803,168,6512,16852,1364,52,24771
POA6065,334,1156,12,1499,4723,149,19,6400,74,1004,12,1086,3420,126,23,4658,8,164,0,174,2191,130,10,2504,0,14,0,14,778,114,5,911,13754,3788,533,18085,31746,1562,94,51490
POA6066,127,410,0,541,2094,65,12,2708,21,286,0,306,1142,50,6,1502,3,51,0,55,571,26,0,652,0,5,0,3,177,10,0,192,2812,1167,86,4067,9951,528,22,14574
POA6067,0,0,0,0,6,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,50,3,0,65
POA6068,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10
POA6069,189,612,13,811,2950,115,15,3898,35,450,0,486,1934,70,17,2509,3,84,0,91,1186,52,3,1332,0,7,0,3,416,19,4,441,9377,2345,385,12105,19939,1265,57,33373
POA6070,43,70,0,116,373,18,0,504,3,111,0,114,295,13,0,426,0,26,0,26,207,6,0,237,0,0,0,0,55,3,0,51,705,266,47,1021,1745,77,0,2844
POA6071,23,78,0,96,396,7,0,501,3,90,0,95,319,12,0,426,0,14,0,15,178,7,0,201,0,0,0,0,55,0,0,56,517,248,31,802,1818,75,0,2704
POA6072,8,25,0,30,92,0,0,132,0,31,0,31,64,0,0,95,4,0,0,6,36,0,0,43,0,0,0,0,14,0,0,14,117,84,7,205,439,18,0,662
POA6073,28,71,0,99,348,4,0,456,7,83,4,90,321,12,0,423,0,24,0,20,256,9,0,290,0,4,0,4,123,11,0,136,465,249,26,745,1760,81,0,2586
POA6074,6,23,0,31,106,4,0,143,0,21,0,20,120,3,0,141,0,4,0,4,50,3,0,58,0,0,0,0,11,0,0,17,161,60,5,232,533,27,0,785
POA6076,154,468,0,618,2156,71,0,2848,30,744,5,778,1947,95,0,2818,9,173,3,189,1587,104,4,1874,0,8,0,8,599,57,0,667,3465,1794,176,5436,11681,564,21,17692
POA6077,13,38,0,51,230,4,0,285,0,55,0,62,217,11,0,282,0,3,0,3,168,13,0,186,0,0,0,0,35,0,0,35,170,135,9,313,1044,34,5,1399
POA6078,4,24,0,28,107,7,3,151,0,26,0,24,98,3,0,130,0,3,0,3,41,0,0,43,0,0,0,0,5,0,0,5,116,74,7,195,518,39,4,757
POA6079,0,0,0,0,0,0,0,6,0,4,0,4,7,0,0,9,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,4,0,7,24,0,0,31
POA6081,30,109,5,138,565,15,5,725,5,100,0,110,380,13,0,501,0,8,0,7,210,5,0,225,0,0,0,0,45,3,0,53,856,344,43,1238,2483,96,6,3824
POA6082,13,72,3,86,380,15,5,484,3,45,0,52,271,16,0,337,0,10,0,17,134,5,0,156,0,0,0,0,29,0,0,30,551,193,33,780,1678,133,5,2597
POA6083,30,89,0,124,463,23,0,615,3,50,0,57,310,18,0,387,0,10,0,8,154,9,0,176,0,0,0,0,41,5,0,43,509,228,27,767,1919,145,0,2829
POA6084,43,184,0,226,918,78,5,1223,11,125,0,136,632,48,0,816,0,9,0,9,283,28,0,322,0,0,0,0,54,6,0,67,1452,525,78,2055,4422,458,58,6987
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,22
POA6100,68,226,6,292,1401,151,7,1858,15,245,4,263,937,93,4,1293,7,34,0,43,426,39,7,511,0,4,0,6,162,11,0,179,2344,834,79,3255,9621,1113,54,14054
POA6101,92,175,0,266,1297,88,6,1657,13,208,0,227,934,75,3,1238,5,43,0,46,464,56,3,563,0,0,0,0,205,27,0,234,2718,755,99,3563,9814,874,33,14282
POA6102,46,82,8,130,739,67,6,934,3,112,0,118,621,94,8,839,5,38,0,37,630,189,5,864,0,3,0,3,424,309,0,737,1486,447,57,1989,8795,1402,50,12243
POA6103,54,133,3,191,870,64,18,1140,13,108,0,123,581,46,3,759,0,11,0,13,337,31,4,387,0,0,0,0,119,12,0,129,1458,473,48,1982,6685,638,55,9353
POA6104,93,211,0,303,1339,115,12,1777,24,204,0,231,1016,70,7,1325,11,50,0,53,583,78,0,719,0,4,0,4,317,98,0,417,2176,733,75,2981,8759,1086,69,12905
POA6105,77,175,6,260,1197,78,5,1545,16,180,4,194,892,54,5,1147,0,42,0,38,625,35,3,701,0,0,0,0,307,15,0,322,2502,738,68,3309,8830,795,36,12969
POA6106,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,24
POA6107,187,568,10,764,3137,213,35,4148,52,523,7,573,2204,113,27,2920,3,101,0,107,1312,105,5,1530,0,8,0,8,530,27,0,570,8276,2028,231,10533,25256,2301,133,38222
POA6108,123,466,10,597,2059,85,10,2746,32,458,5,488,1826,74,13,2398,3,84,4,92,1078,37,6,1209,0,0,0,0,306,23,0,335,3755,1594,165,5519,12359,795,42,18717
POA6109,77,154,3,240,969,86,10,1302,14,142,4,155,841,52,5,1056,3,36,0,37,492,46,0,578,0,0,0,5,171,34,0,213,2099,594,53,2743,6743,756,30,10272
POA6110,201,670,7,881,3331,151,20,4376,53,552,0,602,2583,181,26,3390,13,84,0,99,1578,165,9,1845,0,6,0,6,601,188,8,800,7961,2385,341,10686,21628,1833,97,34246
POA6111,113,465,8,587,2287,130,7,3007,21,471,0,491,2049,86,7,2634,6,83,0,87,1042,85,3,1221,0,6,0,7,302,64,0,374,3490,1584,205,5281,12388,1021,32,18718
POA6112,271,953,20,1240,4509,268,41,6063,74,722,9,804,3261,181,50,4297,12,112,0,123,1793,145,16,2077,0,12,0,17,546,92,0,650,14476,3453,596,18527,30461,2561,145,51690
POA6121,28,96,0,124,357,14,0,504,4,55,0,61,242,12,0,308,0,10,0,10,99,4,0,117,0,0,0,0,20,4,0,23,512,241,22,770,1587,90,3,2444
POA6122,81,345,8,431,1251,50,5,1742,8,232,0,242,820,43,9,1112,0,34,0,36,411,20,0,463,3,0,0,3,127,16,0,141,4672,1242,250,6157,8380,480,24,15047
POA6123,5,36,0,48,168,14,0,229,0,24,0,24,123,12,0,157,0,3,0,3,48,3,0,52,0,0,0,0,21,0,0,21,421,133,20,571,958,91,0,1619
POA6124,5,31,0,33,147,8,0,188,0,12,0,16,75,3,0,93,0,0,0,0,56,4,0,66,0,0,0,0,13,0,0,18,200,79,11,287,568,52,0,908
POA6125,17,89,0,110,351,63,0,523,8,52,0,58,255,50,0,366,3,9,0,12,179,23,3,214,0,0,0,0,39,7,0,50,484,242,30,755,1685,504,4,2949
POA6126,0,3,0,4,42,6,0,52,0,0,0,0,37,6,0,41,0,0,0,0,19,0,0,19,0,0,0,0,3,0,0,3,32,11,0,41,166,16,0,228
POA6147,93,249,0,344,1322,43,3,1713,29,304,0,328,1141,45,5,1515,8,67,0,74,658,34,4,770,0,3,0,4,197,7,0,211,2371,899,91,3365,8108,539,46,12054
POA6148,141,302,0,448,1604,56,14,2121,36,485,0,524,1359,58,17,1955,9,121,0,132,1091,87,0,1307,0,9,0,9,477,90,3,578,3339,1215,104,4660,9899,495,55,15114
POA6149,137,410,0,545,1740,37,8,2331,35,700,3,743,1767,52,10,2567,7,139,0,146,954,60,0,1157,3,3,0,9,443,56,0,505,3362,1550,121,5028,9673,338,25,15064
POA6150,88,253,8,348,1209,129,12,1696,30,483,0,513,1073,179,12,1782,8,103,0,108,811,188,0,1116,0,11,0,8,390,205,0,604,1952,1068,61,3085,7412,1230,35,11760
POA6151,144,251,8,399,1665,86,19,2166,18,467,0,485,1352,91,10,1938,5,95,0,102,749,69,4,919,0,0,0,0,236,49,0,293,2461,1111,100,3665,10095,692,82,14535
POA6152,172,361,7,536,2220,100,5,2863,41,648,4,692,1871,110,14,2685,5,125,3,132,1281,135,0,1553,0,8,0,10,739,195,0,942,3675,1594,157,5426,15444,1084,75,22024
POA6153,166,353,4,522,2092,85,16,2714,46,710,4,758,1618,49,15,2440,11,174,0,185,1078,28,6,1293,0,10,0,15,487,15,0,514,3632,1562,122,5316,11453,512,89,17378
POA6154,85,144,0,231,907,21,3,1165,12,237,0,253,681,27,5,970,5,65,0,69,656,33,5,765,4,5,0,10,516,44,0,567,1893,618,61,2576,5649,219,25,8481
POA6155,318,870,17,1206,4470,144,51,5873,90,1072,10,1170,3216,67,42,4492,12,168,0,181,1644,61,15,1900,0,10,0,15,603,30,11,652,10248,3110,280,13632,26105,2227,172,42140
POA6156,142,280,5,429,1584,64,4,2088,16,405,0,424,1025,59,0,1506,8,114,3,121,858,86,0,1067,7,3,0,12,526,105,0,638,3202,1119,162,4482,9255,631,27,14396
POA6157,105,227,0,331,1322,41,3,1698,11,337,7,357,1049,56,7,1465,10,88,0,92,703,67,4,864,3,0,0,4,395,38,0,433,2386,932,120,3433,7702,418,28,11586
POA6158,90,131,0,218,805,26,9,1053,12,237,0,250,540,25,0,817,0,55,0,54,384,31,0,468,0,0,0,0,212,41,0,259,1304,566,71,1936,4063,239,34,6275
POA6159,38,86,0,114,467,14,0,601,7,132,0,138,351,22,6,512,0,40,0,43,239,14,0,300,0,0,0,0,113,3,0,111,495,337,18,848,2294,138,15,3299
POA6160,65,123,0,195,977,154,16,1347,7,226,0,240,741,92,3,1073,0,43,0,50,410,75,0,532,0,0,0,0,161,42,0,203,1072,576,51,1706,5862,1033,107,8702
POA6161,0,11,0,11,67,6,0,81,0,22,0,20,29,12,0,60,0,4,0,8,28,4,0,35,0,0,0,0,3,0,0,3,32,44,3,76,268,45,4,391
POA6162,119,167,13,292,1282,60,5,1644,19,246,0,269,990,62,7,1322,3,70,3,75,564,29,3,667,0,4,0,5,306,8,0,318,1931,710,111,2752,6576,437,48,9816
POA6163,337,960,19,1320,5281,224,13,6836,56,1154,0,1217,4134,236,15,5602,12,221,0,237,2813,282,0,3328,5,12,0,16,1105,322,0,1451,8084,3407,395,11890,30697,2325,82,44993
POA6164,282,1021,12,1315,4434,145,34,5917,70,811,6,891,2791,121,35,3834,18,138,4,157,1331,124,3,1613,0,7,0,5,488,73,0,565,13456,3468,537,17464,30743,1617,121,49952
POA6165,0,3,0,3,6,3,0,9,0,0,0,0,6,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,0,6,50,14,0,69
POA6166,70,241,4,319,1085,61,0,1463,5,265,0,276,840,57,3,1180,4,46,0,48,505,61,0,610,0,0,0,0,162,16,0,181,1783,754,80,2616,5604,428,14,8671
POA6167,107,414,6,530,2072,162,7,2773,29,276,3,305,1553,119,14,1991,4,58,0,61,915,57,0,1038,0,0,0,0,337,27,0,366,4815,1420,235,6469,13164,2326,39,22000
POA6168,105,567,10,674,2610,171,16,3469,25,417,0,449,2492,180,10,3123,6,74,0,86,1716,194,8,2001,4,5,0,7,652,150,6,811,2899,1616,139,4656,14494,2012,63,21232
POA6169,175,827,13,1016,3573,162,5,4758,29,576,0,606,2642,130,9,3387,6,101,0,109,1727,185,10,2024,4,3,0,5,581,171,0,756,5374,2361,321,8058,17752,1418,42,27271
POA6170,56,193,3,251,919,49,9,1224,18,120,3,134,500,25,11,669,0,24,0,28,222,8,3,257,0,0,0,0,41,0,0,43,3754,818,150,4723,7085,526,28,12360
POA6171,126,562,6,687,1980,86,14,2764,19,323,3,345,1487,76,10,1919,6,57,0,62,914,58,0,1035,0,4,0,4,159,7,0,167,7992,1854,398,10242,14874,1052,40,26215
POA6172,57,294,10,351,1148,39,7,1549,7,133,0,140,713,34,3,893,0,15,0,14,437,40,0,498,0,5,0,5,171,39,0,213,2266,820,148,3234,6268,480,18,10004
POA6173,55,205,0,257,851,22,0,1136,11,105,0,114,383,13,0,507,3,19,0,21,190,5,0,222,0,0,0,0,45,3,0,53,2538,660,132,3334,5213,208,10,8770
POA6174,19,76,0,99,332,12,0,441,7,38,0,46,198,11,4,256,0,11,0,11,109,7,0,120,0,0,0,0,19,0,0,20,1120,262,70,1453,2401,183,9,4036
POA6175,22,84,0,108,286,12,0,402,0,62,0,62,165,7,3,237,0,9,0,9,94,3,0,103,0,3,0,3,31,4,0,31,766,257,46,1065,1694,80,7,2847
POA6176,11,31,0,44,134,6,0,185,0,20,0,23,97,8,0,130,0,9,0,9,36,3,0,43,0,0,0,0,9,0,0,15,442,118,22,585,826,63,0,1471
POA6180,31,106,0,137,356,12,0,500,0,93,0,94,377,12,0,488,0,18,0,12,291,13,0,317,0,0,0,0,35,5,0,43,1366,384,93,1843,2762,152,3,4765
POA6181,5,13,0,18,58,0,0,76,0,12,0,12,29,0,0,45,0,0,0,0,11,0,0,16,0,0,0,0,6,0,0,6,68,52,7,118,250,6,0,380
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,30,0,35,120,15,0,173,0,14,0,13,87,6,0,107,0,0,0,0,37,5,0,38,0,0,0,0,6,0,0,10,212,77,12,299,524,82,3,909
POA6208,46,260,0,307,1190,66,0,1569,3,167,0,172,1412,77,0,1659,4,40,0,39,929,86,0,1062,0,5,0,5,259,64,0,326,1740,727,107,2578,6687,594,10,9867
POA6209,10,42,0,47,235,17,0,306,3,40,0,41,251,34,0,334,0,5,0,3,163,19,0,180,0,0,0,0,39,3,0,40,223,126,9,358,1158,144,4,1661
POA6210,339,1491,13,1837,7342,330,13,9520,67,1193,8,1273,8154,406,17,9845,24,221,0,240,5787,480,0,6512,0,18,0,20,2147,391,5,2558,9892,4492,518,14904,40947,3244,74,59170
POA6211,34,165,4,204,813,30,0,1046,8,169,0,180,1008,24,0,1210,6,19,0,26,540,16,0,579,0,0,0,0,64,7,0,76,1265,530,49,1844,4253,211,5,6318
POA6213,4,13,0,18,82,10,0,112,0,6,0,6,91,11,0,103,0,0,0,0,35,6,0,38,0,0,0,0,17,0,0,18,95,28,3,129,378,52,0,555
POA6214,4,15,0,23,70,6,0,94,0,8,0,3,77,5,0,89,0,0,0,0,28,0,0,28,0,0,0,0,4,0,0,4,93,41,3,143,362,34,0,540
POA6215,15,95,0,111,488,40,0,638,4,60,0,68,464,39,0,565,0,14,0,14,241,36,0,293,0,0,0,0,76,27,0,98,556,260,30,850,2256,303,5,3415
POA6218,0,13,0,12,71,0,0,87,0,3,0,3,58,9,0,73,0,0,0,0,14,0,0,17,0,0,0,0,9,0,0,12,78,28,7,116,274,23,0,406
POA6219,3,13,0,15,87,6,0,106,0,9,0,9,49,5,0,66,0,0,0,0,23,3,0,28,0,0,0,0,9,0,0,12,98,32,0,127,331,33,0,490
POA6220,17,83,0,97,408,40,0,542,3,66,0,69,431,31,0,530,0,8,0,8,305,24,0,341,0,0,0,4,126,14,0,146,560,251,21,833,2475,231,10,3550
POA6221,0,3,0,3,48,3,0,58,0,0,0,0,24,0,0,30,0,0,0,0,14,0,0,14,0,0,0,0,6,0,0,6,31,10,0,45,291,39,3,375
