POA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6012,188,230,415,454,537,326,120,13,0,2279,191,39,80,107,132,197,328,267,110,1458,9,15,24,16,16,24,25,24,23,180,394,279,516,575,681,548,466,309,141,3911,24,135,458,537,706,397,93,17,0,2364,215,258,240,310,301,262,176,29,0,1809,14,19,38,36,22,17,16,3,0,160,3,3,7,14,3,4,0,0,0,36,258,417,748,899,1038,682,294,56,0,4372,0,14,23,19,31,19,6,0,0,107,42,15,10,6,12,10,8,5,0,109,40,21,35,27,39,29,14,3,0,217,299,439,776,924,1077,707,302,61,0,4591,321,75,135,136,189,326,585,464,183,2423,16,22,53,43,38,46,36,42,29,337,639,539,968,1110,1305,1078,929,566,218,7352
POA6014,369,514,1195,1385,1326,867,237,27,4,5920,264,68,115,260,221,337,679,561,430,2952,9,13,41,31,13,18,24,21,26,192,646,593,1349,1677,1561,1223,946,609,458,9061,41,328,1371,1707,1769,1069,190,22,9,6500,581,569,692,881,754,598,299,44,13,4440,26,36,80,89,60,68,16,4,0,380,0,11,35,25,23,7,5,0,0,101,656,934,2183,2697,2610,1749,513,67,12,11426,3,33,42,33,41,39,9,0,0,207,103,35,42,35,23,29,15,0,0,278,109,65,85,73,63,65,22,0,0,481,764,998,2263,2769,2675,1816,533,67,12,11905,589,135,190,340,295,518,1213,1014,650,4950,13,22,84,77,37,28,42,28,33,356,1373,1161,2538,3188,3004,2364,1789,1115,696,17212
POA6015,142,164,130,263,451,305,71,22,3,1545,126,19,31,70,106,171,230,275,163,1189,0,3,5,7,9,6,8,11,5,60,271,185,168,332,561,484,311,310,178,2796,15,84,214,303,591,429,74,16,0,1725,218,199,67,153,280,226,129,41,13,1316,10,8,14,13,17,21,4,4,0,90,0,4,6,4,9,4,4,0,0,37,242,297,297,473,891,681,210,58,17,3167,3,14,11,5,14,13,0,0,0,61,40,7,8,5,9,5,0,0,0,73,44,24,16,11,26,22,3,0,0,133,275,318,315,481,915,697,212,61,17,3294,309,48,46,69,140,249,379,482,282,2008,7,5,7,7,19,12,16,12,8,100,597,368,368,561,1075,962,606,556,303,5407
POA6016,158,274,806,845,648,360,84,0,0,3180,104,26,80,105,103,162,265,150,103,1093,6,10,26,33,17,12,18,9,3,125,260,307,913,983,756,533,367,160,110,4396,24,165,941,1038,876,446,77,3,0,3573,221,284,458,576,386,247,101,15,0,2273,18,19,50,49,23,25,6,0,0,186,5,4,22,14,6,0,0,0,0,56,268,468,1473,1680,1290,719,183,18,0,6095,3,8,25,27,20,14,4,0,0,96,31,17,20,14,8,14,0,0,0,111,37,25,43,39,27,27,4,0,0,209,303,492,1516,1720,1317,745,187,14,0,6301,222,43,124,136,140,273,469,273,157,1836,16,22,60,61,30,28,28,15,9,259,542,558,1695,1920,1492,1046,685,304,167,8396
POA6017,23,154,584,307,149,118,30,0,0,1362,15,15,62,47,42,60,107,93,36,483,3,10,52,21,9,3,10,6,4,122,44,172,698,378,198,185,147,100,45,1965,12,123,673,409,186,124,27,0,0,1558,27,106,374,217,89,73,26,5,0,931,0,8,34,18,12,7,6,0,0,88,0,3,27,11,4,4,3,0,0,54,42,252,1114,647,298,210,67,6,3,2628,5,10,24,22,10,13,5,0,0,79,8,10,13,4,7,9,0,0,0,52,10,18,33,24,14,24,5,0,0,128,51,268,1150,678,310,231,67,6,3,2753,40,29,89,85,74,107,218,162,58,868,7,23,93,55,31,23,22,6,4,267,99,321,1331,824,416,362,306,177,67,3887
POA6018,692,992,2570,2691,2407,1521,378,51,4,11307,493,115,328,513,412,682,1486,1328,752,6112,24,28,124,80,60,46,74,92,141,670,1212,1142,3011,3286,2882,2253,1944,1472,890,18091,116,779,3352,3519,3138,1836,339,34,0,13107,975,924,1061,1491,1343,1049,463,85,6,7400,36,48,253,220,77,111,30,13,0,789,10,20,70,42,29,16,7,9,3,201,1135,1773,4734,5269,4584,3015,844,135,6,21499,14,51,82,62,103,64,16,0,0,384,178,64,39,57,46,41,9,0,0,444,194,116,117,123,147,107,20,0,0,824,1334,1889,4853,5391,4730,3119,863,138,10,22322,1008,240,461,657,600,1057,2502,2277,1152,9966,42,52,210,178,119,93,130,179,208,1212,2386,2181,5523,6225,5453,4265,3497,2595,1372,33497
POA6019,333,559,2076,1623,1341,920,251,30,0,7132,176,36,185,242,218,295,660,614,259,2677,21,36,96,88,51,28,34,19,7,389,537,622,2359,1951,1610,1248,946,662,263,10197,59,412,2614,2150,1776,1063,174,16,0,8275,473,541,875,889,724,611,297,59,6,4476,30,29,184,144,70,91,17,4,0,567,3,25,62,32,29,15,7,3,0,183,566,1010,3739,3217,2601,1786,500,84,6,13498,13,27,56,59,63,40,12,0,0,268,87,23,43,39,26,28,14,0,0,260,100,52,93,98,86,68,23,3,0,527,667,1054,3834,3311,2692,1848,520,82,6,14027,556,90,280,322,351,493,1182,1009,422,4701,39,56,223,172,112,63,69,31,10,775,1261,1202,4338,3813,3147,2416,1777,1129,438,19505
POA6020,419,449,690,1240,1336,1062,355,26,0,5576,214,45,92,188,195,413,1212,720,276,3349,9,6,24,26,23,16,18,20,19,169,641,501,803,1455,1547,1496,1586,765,298,9092,86,342,835,1486,1797,1215,268,22,0,6061,598,527,375,756,784,772,495,61,6,4372,29,25,84,112,66,75,39,4,0,425,10,11,17,30,26,11,7,0,0,104,720,904,1320,2389,2665,2074,806,91,6,10960,10,14,23,28,25,40,19,0,0,156,143,18,13,17,31,26,9,0,0,271,153,32,41,44,56,67,28,0,0,421,873,934,1357,2430,2717,2138,835,88,6,11381,451,100,133,228,265,650,2168,1385,454,5835,20,16,48,53,51,29,43,39,30,325,1340,1055,1535,2712,3033,2811,3049,1507,487,17536
POA6021,314,479,1253,1280,1094,773,249,13,0,5459,186,83,189,238,214,415,909,738,354,3332,10,14,54,49,37,38,37,52,25,327,518,576,1499,1564,1355,1230,1190,804,384,9117,58,394,1652,1687,1455,979,211,13,0,6455,416,455,615,733,625,541,279,40,0,3717,13,20,106,74,47,55,20,4,0,337,11,25,34,25,29,16,8,4,0,145,501,889,2408,2525,2156,1595,519,62,6,10657,9,23,63,49,58,44,4,0,0,251,61,29,36,41,28,28,13,0,0,236,74,52,98,85,91,72,13,0,0,490,577,944,2507,2611,2243,1666,534,61,6,11146,422,153,275,345,330,645,1479,1319,611,5584,25,39,111,111,85,81,61,90,34,624,1019,1134,2892,3066,2660,2389,2072,1471,643,17352
POA6022,84,94,289,318,264,185,57,4,0,1296,34,15,51,44,40,90,284,160,38,747,3,4,7,4,11,0,9,3,4,42,125,115,341,366,310,280,346,166,44,2088,22,87,372,402,349,227,51,5,0,1512,99,84,137,198,156,112,72,7,0,869,5,3,36,33,15,15,11,0,0,116,0,4,9,5,6,0,0,0,0,28,125,183,555,640,527,356,131,11,0,2529,5,5,12,14,15,3,0,0,0,55,26,7,5,7,11,8,5,0,0,63,28,13,15,21,26,11,5,0,0,119,153,197,570,658,549,365,135,11,0,2653,96,29,63,56,66,134,489,313,68,1318,8,5,14,15,13,4,11,9,11,95,261,231,647,729,629,507,638,343,78,4068
POA6023,328,294,503,1011,1009,648,192,21,0,3999,140,29,76,174,112,252,797,452,182,2212,0,0,18,22,12,13,17,28,17,121,468,324,595,1200,1127,910,1004,500,201,6334,62,241,618,1189,1337,763,163,14,0,4377,471,289,281,625,604,427,253,43,0,2985,14,9,60,85,45,58,29,6,0,304,7,7,13,10,21,16,5,0,0,77,550,546,972,1911,2004,1250,448,63,3,7744,10,12,28,28,30,20,8,0,0,134,102,20,13,33,23,15,12,0,0,219,114,35,42,56,54,37,11,0,0,351,666,582,1005,1966,2055,1294,457,63,3,8095,364,66,113,214,169,383,1362,880,292,3840,3,4,28,35,23,22,32,40,24,209,1038,650,1152,2215,2244,1697,1851,982,318,12139
POA6024,261,272,681,821,754,503,175,19,0,3484,134,31,106,146,111,202,705,382,107,1921,4,11,22,37,15,14,21,14,4,137,401,314,802,998,886,719,897,414,111,5540,73,240,832,1046,1001,589,151,8,0,3932,325,249,347,506,420,343,194,30,0,2425,16,10,92,71,41,51,22,6,0,302,4,9,14,16,8,15,0,3,0,77,423,504,1289,1640,1471,992,369,45,0,6734,14,27,29,33,45,22,4,0,0,171,80,22,22,25,18,20,6,0,0,181,92,49,55,55,61,36,6,0,0,355,513,553,1341,1694,1531,1030,375,41,0,7087,273,70,155,191,189,308,1262,761,172,3373,16,18,33,65,42,33,37,26,3,276,802,646,1528,1951,1757,1366,1668,838,180,10736
POA6025,586,650,1592,1855,1752,1446,368,22,0,8265,324,81,240,312,303,611,1411,716,246,4243,21,10,50,37,47,33,26,30,27,269,927,740,1881,2207,2101,2089,1802,767,278,12779,158,639,2016,2287,2343,1642,303,7,0,9395,760,621,776,1125,1003,1018,477,54,3,5830,28,29,195,151,103,120,41,8,0,673,3,15,52,49,18,13,8,0,0,165,955,1299,3045,3610,3460,2788,827,72,3,16059,25,48,67,75,79,70,5,0,0,367,168,43,33,48,36,33,19,0,0,383,187,93,102,121,109,105,29,0,0,747,1142,1394,3148,3730,3575,2889,856,72,5,16804,730,181,343,419,434,902,2537,1385,410,7331,39,27,104,92,101,60,52,52,28,548,1907,1593,3590,4239,4103,3851,3445,1507,443,24679
POA6026,494,472,762,1303,1374,1244,288,19,3,5956,205,39,117,223,167,512,1095,629,454,3448,7,0,9,17,23,21,20,23,20,148,704,510,898,1542,1561,1775,1404,672,483,9548,118,425,983,1575,1761,1418,254,0,0,6536,658,510,391,830,747,862,390,37,4,4426,19,19,92,112,54,122,50,0,0,468,0,5,21,11,18,21,5,0,0,82,795,963,1485,2533,2573,2429,693,45,7,11510,20,30,43,43,36,30,8,0,0,204,132,43,22,26,24,21,21,0,3,279,148,71,64,64,59,53,22,0,3,480,937,1030,1552,2594,2635,2476,715,48,9,11995,472,116,181,295,227,716,2032,1094,707,5848,19,14,26,46,36,28,44,31,31,266,1435,1157,1758,2934,2899,3225,2791,1168,741,18108
POA6027,815,1068,2049,2351,2450,2111,466,28,0,11339,391,151,396,450,391,815,1695,893,385,5554,28,48,115,100,87,82,77,102,87,727,1234,1265,2563,2892,2928,3015,2232,1018,468,17624,244,962,2603,3025,3196,2434,425,16,0,12910,1054,1052,1152,1410,1335,1431,561,47,0,8052,43,73,272,185,128,203,60,3,0,971,12,31,56,60,45,36,13,3,0,257,1352,2109,4087,4683,4714,4104,1061,66,3,22189,39,83,129,90,98,107,14,0,0,557,214,91,72,73,51,52,23,3,0,567,252,170,196,156,148,163,35,4,0,1125,1605,2283,4288,4840,4857,4270,1098,71,3,23314,915,335,604,620,575,1307,3113,1643,612,9714,70,101,223,221,186,189,146,180,156,1474,2594,2720,5112,5686,5622,5759,4354,1890,767,34500
