POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6036,303,189,169,144,164,82,42,28,4,1141,3982,2648,2347,2468,2529,1548,944,391,78,16937
POA6037,90,43,25,63,51,43,27,14,6,351,864,356,403,438,530,469,356,177,30,3615
POA6038,153,76,99,96,82,40,14,9,0,570,2707,1151,1921,1649,1170,664,401,146,37,9853
POA6041,19,6,7,15,18,16,28,21,0,127,234,146,130,150,223,213,264,129,25,1520
POA6042,4,0,0,0,5,4,8,5,0,28,8,3,6,5,12,18,42,9,0,105
POA6043,0,0,0,0,10,3,4,0,0,20,10,16,17,3,37,55,63,28,3,220
POA6044,19,7,16,6,16,23,23,13,0,123,120,88,157,105,157,218,242,118,33,1239
POA6050,128,103,136,114,115,92,94,129,111,1025,2223,1944,2303,2079,1984,1802,1491,1009,708,15545
POA6051,133,97,198,162,120,76,68,20,3,883,1720,1306,3059,2378,1518,1207,1033,440,120,12783
POA6052,107,79,69,75,92,62,51,24,20,573,2000,1263,1555,1789,1556,1397,990,493,236,11276
POA6053,125,99,112,130,125,99,70,51,53,863,2617,1456,2277,2349,2040,1718,1300,737,431,14916
POA6054,314,189,221,227,198,192,139,74,22,1574,3735,2234,2839,2961,2737,2576,2001,1055,404,20546
POA6055,396,221,416,339,214,140,93,44,11,1872,7706,3354,6296,5619,3435,2611,1688,749,238,31684
POA6056,625,471,520,511,544,440,333,220,177,3848,7018,5014,5497,5169,5401,5179,4153,2459,990,40876
POA6057,235,135,151,130,123,118,59,38,16,1002,3118,1955,2142,2127,2071,2047,1510,890,306,16164
POA6058,190,125,110,164,109,100,77,32,23,926,2491,1469,1798,1900,1591,1462,1340,649,262,12958
POA6059,202,182,137,175,195,155,131,97,49,1325,3713,2772,2916,3052,3249,2999,2473,1821,790,23783
POA6060,234,168,332,237,209,173,100,60,29,1553,3546,2337,5339,4220,2947,2570,1974,1216,757,24906
POA6061,846,485,656,616,426,326,225,116,37,3737,8065,4851,8302,6646,4319,3858,2879,1524,534,40984
POA6062,352,256,291,278,243,237,150,110,47,1950,5500,3804,4998,4622,4079,3899,3535,2224,855,33507
POA6063,289,152,167,138,126,116,59,23,8,1073,3161,2007,2006,2145,1863,1793,1199,451,131,14751
POA6064,533,292,288,298,269,225,187,95,20,2210,5914,4113,4088,4074,3905,3737,2862,1456,490,30643
POA6065,814,484,459,495,464,309,214,123,57,3418,15415,8484,8725,10725,9043,6377,4631,2498,910,66815
POA6066,287,174,156,134,145,145,88,29,15,1166,3540,2591,2305,2182,2425,2702,1498,652,190,18092
POA6067,0,0,0,0,0,5,0,0,0,6,21,6,23,18,6,9,0,0,0,83
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
POA6069,836,424,371,418,362,223,122,54,17,2828,11700,5867,6482,7140,5688,3881,2493,1334,439,45014
POA6070,44,22,11,19,30,28,15,6,6,186,750,373,226,474,549,504,426,237,51,3589
POA6071,24,26,16,24,37,23,18,6,4,181,585,374,260,360,524,501,426,201,56,3290
POA6072,12,11,7,3,4,10,9,0,0,55,133,100,74,94,119,132,95,43,14,796
POA6073,34,24,17,20,32,26,25,16,11,199,494,306,237,305,437,456,419,290,136,3077
POA6074,12,6,6,12,12,14,5,0,4,68,168,102,91,104,141,143,141,58,17,951
POA6076,206,121,73,142,155,141,120,119,60,1136,3939,2513,1481,2393,3089,2848,2823,1872,666,21616
POA6077,18,14,8,8,11,14,20,10,0,102,187,211,93,120,178,285,282,186,35,1584
POA6078,13,16,9,10,7,13,12,0,0,78,165,130,69,106,114,151,130,43,5,916
POA6079,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,9,5,0,34
POA6081,58,30,35,32,41,39,27,6,3,263,931,576,439,573,733,722,501,225,53,4754
POA6082,41,37,30,32,23,27,24,13,0,241,675,372,353,422,444,484,337,156,30,3269
POA6083,30,32,20,30,56,40,26,17,4,236,531,408,216,348,640,615,387,176,43,3360
POA6084,136,111,80,79,114,110,56,24,7,718,1752,1164,944,1040,1354,1219,815,323,67,8681
POA6090,0,0,4,0,0,0,0,0,0,5,0,0,9,5,3,0,4,0,0,22
POA6100,155,194,281,254,227,190,113,47,6,1473,2154,1981,3436,2766,1976,1851,1295,508,179,16148
POA6101,190,179,275,195,162,109,49,37,14,1213,2709,2025,3616,2812,2119,1647,1230,560,234,16965
POA6102,126,228,291,159,120,74,89,178,257,1519,1628,2675,3272,1756,1127,927,833,861,737,13817
POA6103,112,101,180,172,139,88,50,31,8,872,1483,1219,2728,1788,1180,1121,749,380,129,10778
POA6104,230,167,290,210,196,159,94,88,104,1536,2343,1703,2687,2263,1967,1758,1319,712,417,15171
POA6105,224,193,234,194,150,122,74,39,17,1250,2912,1998,2963,2441,1843,1538,1145,702,322,15848
POA6106,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,4,3,0,0,24
POA6107,719,531,711,522,374,286,144,92,32,3425,9635,6390,9649,7866,5092,4111,2892,1519,565,47725
POA6108,360,219,192,204,174,150,108,63,17,1493,4611,2870,2920,3268,2933,2741,2391,1205,335,23286
POA6109,253,133,167,194,153,124,77,51,35,1191,2726,1636,1908,2022,1546,1297,1051,578,213,12968
POA6110,751,375,415,428,371,277,241,191,182,3224,9932,5622,5816,6812,5543,4356,3362,1837,799,44079
POA6111,403,253,235,224,290,211,131,96,62,1900,4318,2732,2690,2986,3067,3003,2631,1215,374,23009
POA6112,1305,647,779,755,517,400,245,136,66,4847,17703,7859,11031,12092,7587,6021,4249,2057,650,69250
POA6121,43,28,11,23,41,28,18,0,4,194,593,422,235,354,484,496,308,112,23,3033
POA6122,411,146,184,177,117,87,54,34,8,1224,6005,2386,3567,3336,2298,1732,1107,463,141,21031
POA6123,40,19,32,18,22,16,10,5,0,169,548,270,390,255,246,229,157,52,21,2165
POA6124,22,5,12,17,17,14,9,0,0,94,272,106,103,150,190,188,93,66,18,1177
POA6125,45,39,86,131,122,76,52,28,7,574,575,412,346,433,606,522,366,215,47,3516
POA6126,0,6,0,7,0,10,0,0,0,22,39,23,11,30,36,52,41,19,3,258
POA6147,203,134,125,144,122,91,75,41,11,949,2748,1715,2114,2218,1766,1710,1509,764,210,14760
POA6148,147,115,68,116,111,101,86,83,65,907,3507,2424,1654,2564,2495,2107,1937,1306,574,18565
POA6149,124,90,56,87,69,102,110,74,73,779,3442,2101,1629,2448,2303,2325,2559,1157,507,18476
POA6150,156,165,164,157,163,159,207,204,205,1587,2069,2074,1316,1517,1651,1686,1769,1112,604,13792
POA6151,157,161,179,145,130,145,128,68,39,1142,2450,2237,2432,2250,2242,2149,1925,915,293,16899
POA6152,227,207,243,167,182,177,144,146,189,1682,3838,3720,3932,3383,2901,2859,2675,1551,941,25793
POA6153,179,129,107,146,169,144,110,61,18,1053,3712,2535,2165,2866,2788,2697,2426,1293,515,21000
POA6154,82,49,44,69,62,47,41,40,37,473,1938,1265,928,1383,1430,1158,959,759,567,10390
POA6155,473,570,702,641,481,275,152,91,26,3418,10919,7635,5657,8222,7644,5825,4451,1889,646,52891
POA6156,215,143,109,122,144,122,72,53,38,1016,3471,2287,1917,2258,2610,2080,1506,1063,639,17839
POA6157,137,83,92,86,126,86,76,72,40,797,2433,1524,1734,1908,1935,1694,1462,861,436,13985
POA6158,85,58,39,74,68,53,50,53,74,558,1362,895,710,893,1156,1046,813,463,259,7605
POA6159,33,29,29,34,30,31,28,14,0,240,458,365,463,490,447,601,513,300,111,3745
POA6160,92,155,229,182,225,180,111,77,46,1279,1011,1076,1682,1359,1364,1325,1064,531,202,9612
POA6161,0,3,14,13,3,5,12,7,0,56,24,44,74,52,37,81,60,35,3,415
POA6162,144,96,109,118,128,99,93,37,20,837,1912,1137,1384,1605,1692,1638,1317,667,316,11678
POA6163,629,452,530,502,483,423,330,250,218,3814,8437,6079,7604,7211,6832,6822,5584,3324,1451,53341
POA6164,828,536,538,546,441,301,183,92,48,3512,14625,8129,10320,11011,8513,5889,3800,1611,565,64451
POA6165,0,0,4,4,4,5,0,0,0,19,4,12,7,10,13,9,4,3,0,75
POA6166,136,86,89,85,112,103,93,57,14,769,1926,1158,1173,1429,1465,1460,1176,615,182,10581
POA6167,525,462,762,652,425,235,143,66,17,3297,5893,3418,4354,4485,3557,2762,1979,1034,362,27851
POA6168,369,467,481,320,285,240,217,177,125,2690,3495,2921,3122,2686,3054,3458,3121,1997,805,24662
POA6169,618,287,311,330,319,309,181,178,171,2708,6734,3908,3925,4066,4430,4752,3372,2017,756,33961
POA6170,300,147,173,187,136,76,30,10,4,1055,4475,2125,3138,2987,1902,1221,656,254,48,16812
POA6171,707,313,378,344,267,163,106,69,8,2362,10082,4445,6054,5699,4115,2752,1912,1035,166,36249
POA6172,290,127,122,125,126,78,50,36,35,989,2980,1836,1551,1576,1880,1546,891,498,213,12968
POA6173,204,108,54,104,96,57,29,7,3,666,3103,1809,1199,1855,1984,1131,507,222,51,11860
POA6174,114,57,48,53,55,17,15,10,0,378,1428,837,848,821,692,440,254,120,20,5465
POA6175,70,42,32,39,38,24,11,4,4,268,979,522,454,536,561,402,233,103,31,3817
POA6176,41,22,21,15,13,10,9,9,0,148,550,245,406,245,219,185,130,43,15,2023
POA6180,136,50,52,48,43,29,22,14,3,396,1727,802,955,943,716,500,481,317,43,6492
POA6181,0,3,0,0,0,5,8,0,0,14,73,63,31,54,90,74,45,16,6,451
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,30,18,13,16,27,16,9,0,0,127,286,115,131,169,175,173,107,38,10,1194
POA6208,251,127,109,106,116,120,107,88,55,1090,2401,1284,1249,1316,1401,1569,1663,1056,326,12250
POA6209,23,25,19,16,31,29,40,19,7,214,245,223,153,166,258,306,329,180,40,1911
POA6210,1110,680,578,600,680,591,568,510,377,5695,12365,7612,7021,7494,8564,9508,9829,6510,2551,71463
POA6211,118,61,33,58,80,70,53,34,6,517,1602,775,713,921,994,1044,1210,580,76,7910
POA6213,8,5,5,9,20,16,10,7,0,81,117,52,61,71,109,112,103,38,18,672
POA6214,14,11,3,7,7,7,5,0,0,53,138,88,47,90,95,94,89,28,4,675
POA6215,62,48,30,52,65,59,51,31,28,435,690,409,351,475,575,637,565,289,98,4096
POA6218,6,4,3,0,10,4,9,0,0,42,109,59,53,54,56,87,73,17,12,516
POA6219,11,11,3,3,4,12,3,3,0,48,98,68,51,63,98,106,66,28,12,591
POA6220,64,39,32,28,55,59,35,43,21,375,747,386,530,506,555,542,527,341,146,4289
POA6221,0,24,10,0,12,7,5,0,0,55,30,160,27,30,52,58,30,14,6,401
POA6223,0,5,0,0,0,0,0,0,0,4,27,15,10,18,32,25,10,10,0,150
POA6224,31,16,14,17,17,18,16,7,0,132,227,158,124,132,178,162,151,78,18,1230
POA6225,221,103,110,123,122,117,84,50,23,948,1622,939,917,1030,1183,1316,1170,570,181,8923
POA6226,9,4,8,8,5,7,13,3,0,54,207,105,82,121,136,132,87,22,0,892
POA6227,5,0,7,8,3,4,4,0,0,37,199,75,69,125,100,93,68,35,4,766
POA6228,0,0,0,0,11,0,3,4,0,16,23,17,3,12,22,21,28,10,3,143
POA6229,0,0,0,4,4,10,4,5,0,27,7,4,7,15,26,39,51,21,4,170
POA6230,703,506,672,593,561,455,299,185,108,4076,8262,5175,5488,5667,5968,5551,4429,2416,1020,43978
POA6232,200,98,104,85,101,77,79,78,88,902,2382,1190,1488,1469,1271,1163,967,675,314,10917
POA6233,326,185,137,176,149,160,112,48,13,1311,4513,2199,2230,2697,2451,2406,1894,884,202,19478
POA6236,25,19,12,11,37,22,21,10,0,164,377,213,184,224,346,360,267,117,33,2118
POA6237,40,27,15,21,29,27,38,8,0,217,509,241,182,321,359,432,340,119,28,2534
POA6239,71,39,36,42,46,39,54,31,5,361,831,434,391,499,598,674,610,323,105,4470
POA6240,0,0,0,0,0,0,5,10,0,12,17,9,7,15,16,39,33,22,0,166
POA6243,0,0,0,0,4,0,0,0,0,8,13,15,3,11,6,13,18,9,4,89
POA6244,52,11,19,18,32,40,25,21,5,213,302,100,119,173,197,258,199,140,26,1525
POA6251,0,0,0,0,0,10,3,0,0,16,50,22,20,30,46,57,45,16,0,288
POA6252,3,0,0,0,3,6,0,0,0,10,20,6,16,17,18,32,21,17,0,138
POA6253,7,9,3,5,6,6,14,8,0,48,78,47,44,63,73,119,169,63,13,666
POA6254,10,9,5,17,15,18,3,0,0,76,79,49,63,82,91,128,67,41,10,615
POA6255,67,30,28,36,54,52,60,29,9,367,728,322,327,424,565,702,776,348,95,4276
POA6256,10,3,4,10,0,9,0,4,3,47,89,36,31,50,58,78,52,31,4,426
POA6258,107,70,44,61,100,78,62,33,11,562,1130,697,661,692,821,996,747,402,142,6289
POA6260,31,14,29,25,29,29,25,13,7,198,224,139,185,194,226,265,207,89,44,1569
POA6262,9,6,9,15,16,21,14,7,0,96,99,43,47,64,112,140,109,54,9,682
POA6271,63,41,20,33,48,30,36,16,6,280,663,344,305,385,500,468,398,183,43,3280
POA6275,35,11,17,30,33,31,37,35,6,222,205,82,94,182,171,277,317,145,26,1503
POA6280,516,255,269,282,326,327,270,162,78,2479,5659,2923,2874,3579,3944,3927,3942,2243,912,30013
POA6281,125,56,93,108,70,76,83,44,3,652,1778,621,785,1243,1110,1023,1102,508,108,8272
POA6282,29,10,19,22,29,48,46,12,4,217,305,117,152,213,285,316,296,89,18,1788
POA6284,93,27,27,72,42,35,17,11,3,323,708,188,249,521,402,323,211,82,34,2710
POA6285,241,99,144,152,176,138,89,20,12,1073,2233,885,1253,1664,1574,1343,1037,374,132,10496
POA6286,20,4,5,14,6,19,11,0,0,89,161,50,98,141,98,147,88,37,7,825
POA6288,5,6,7,6,12,10,9,6,0,59,96,49,62,76,106,87,76,32,3,585
POA6290,27,12,9,16,24,26,24,10,12,150,181,79,95,149,207,343,440,220,104,1815
POA6302,49,19,33,36,52,69,52,51,14,383,494,220,256,336,386,620,657,372,106,3450
POA6304,22,13,16,18,31,34,34,19,3,197,200,100,113,146,203,276,327,163,50,1585
POA6306,34,13,8,20,15,12,7,3,0,118,168,63,82,105,138,135,124,92,41,945
POA6308,33,22,17,23,30,31,22,25,7,205,237,123,125,146,208,258,232,139,33,1499
POA6309,11,5,3,4,4,0,5,0,0,36,39,29,21,24,47,43,47,21,7,276
POA6311,11,12,9,6,5,10,7,4,0,63,101,42,59,45,84,114,91,44,10,589
POA6312,123,90,83,74,68,67,51,29,8,589,801,636,522,509,566,604,508,300,159,4591
POA6313,5,0,3,5,0,0,0,4,0,21,47,19,18,25,38,41,25,20,0,234
POA6315,42,19,21,28,27,23,36,21,3,225,305,143,175,197,208,282,270,143,48,1779
POA6316,14,0,6,9,5,8,12,3,0,50,85,31,39,41,46,66,51,16,0,374
POA6317,130,68,66,66,48,36,47,24,13,511,786,509,539,480,487,528,428,226,94,4082
POA6318,20,3,10,0,6,10,10,8,0,61,110,28,50,71,64,75,60,22,4,483
POA6320,28,7,9,6,10,9,0,3,0,77,115,54,58,58,63,100,41,31,11,530
POA6321,25,4,7,11,6,11,4,4,0,68,100,37,35,57,61,78,57,38,4,465
POA6322,3,8,0,0,3,3,4,6,0,27,44,22,16,27,33,32,42,23,0,236
POA6323,21,4,5,12,17,12,18,8,0,105,171,80,57,88,143,178,195,92,7,1025
POA6324,77,51,53,81,66,74,54,21,12,488,638,342,341,417,509,571,499,207,101,3634
POA6326,10,10,9,3,7,10,5,4,0,66,78,50,52,46,65,88,80,24,8,492
POA6327,14,4,4,7,6,4,0,0,3,42,63,16,26,32,47,31,33,13,5,267
POA6328,5,5,14,5,8,3,9,0,0,44,79,40,69,50,40,71,40,21,0,419
POA6330,546,402,497,458,444,438,331,187,105,3406,6652,4137,4055,4130,4800,5188,4512,2741,1139,37345
POA6333,146,69,73,87,117,103,115,56,19,792,1099,523,435,727,823,1025,1002,538,160,6328
POA6335,25,7,8,11,6,9,5,10,0,84,164,68,115,105,81,109,90,25,12,758
POA6336,12,6,3,5,8,4,3,0,0,44,72,23,51,38,48,54,35,7,0,323
POA6337,23,11,6,17,18,11,4,0,0,93,128,44,78,87,72,81,38,8,0,536
POA6338,6,3,0,4,12,12,9,3,0,47,135,41,79,88,94,116,124,40,4,718
POA6341,0,3,0,4,0,4,4,0,0,19,57,27,33,39,36,26,28,6,0,253
POA6343,10,0,6,6,10,3,3,4,0,45,51,8,34,40,43,26,18,13,0,227
POA6346,13,23,46,39,52,39,8,0,0,230,143,137,278,203,255,209,93,26,15,1358
POA6348,16,6,21,9,17,18,15,9,0,118,200,49,147,128,150,172,142,87,16,1089
POA6350,11,7,3,5,13,6,12,3,0,57,50,21,33,30,49,51,51,34,6,318
POA6351,0,0,0,5,0,0,0,0,0,12,14,3,3,10,7,10,9,0,0,57
POA6352,11,4,12,15,15,16,3,0,0,68,33,10,24,33,27,30,19,7,0,190
POA6353,7,7,7,10,6,20,4,7,6,72,150,75,101,97,102,115,72,47,9,770
POA6355,9,3,3,5,13,13,6,0,0,54,87,20,50,70,71,75,52,13,0,435
POA6356,0,0,0,4,3,4,0,0,0,14,20,6,10,23,23,19,11,0,0,117
POA6357,0,0,5,0,5,0,3,0,0,13,6,6,7,8,15,3,10,0,0,53
POA6358,3,8,0,4,4,0,0,0,0,21,22,10,8,10,18,13,9,6,5,94
POA6359,18,10,13,20,15,17,7,4,5,103,83,58,113,117,112,115,65,25,12,700
POA6361,0,5,4,0,3,10,5,0,0,22,15,12,5,13,14,16,6,6,0,86
POA6363,4,0,0,0,9,0,0,0,0,13,21,5,10,11,19,7,3,8,0,86
POA6365,16,0,9,9,5,13,5,0,0,49,117,20,54,71,66,78,59,28,9,506
POA6367,5,5,3,3,0,3,5,9,3,33,51,21,34,30,48,70,52,21,9,328
POA6368,0,4,5,0,0,0,3,0,0,12,29,3,14,18,6,11,11,4,0,92
POA6369,16,8,14,9,16,20,16,11,12,123,116,34,77,59,94,94,71,53,34,639
POA6370,21,0,11,5,10,18,6,4,4,93,94,28,54,38,45,78,45,37,12,431
POA6372,6,0,3,0,6,8,7,3,0,25,9,8,7,15,18,21,24,9,7,112
POA6373,0,0,0,0,0,0,0,0,0,4,13,6,9,11,17,7,10,0,0,77
POA6375,12,11,10,7,12,12,13,3,0,74,144,68,92,100,95,112,138,63,38,845
POA6383,42,14,23,24,40,48,52,20,7,269,145,40,93,80,110,152,170,87,40,910
POA6384,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,0,0,0,0,23
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,16
POA6386,13,13,4,7,3,12,8,0,0,49,17,16,8,13,12,20,13,0,0,102
POA6390,38,13,20,22,30,27,17,10,0,171,370,136,247,293,318,324,191,85,20,1979
POA6391,23,4,16,22,10,16,14,6,3,119,224,71,110,151,118,149,107,68,17,1011
POA6392,29,0,8,14,0,8,0,0,3,71,74,23,37,54,54,81,52,31,15,412
POA6393,5,0,0,0,6,3,4,0,0,21,26,8,8,13,22,20,16,6,0,120
POA6394,11,3,5,3,10,15,5,0,0,60,77,31,28,49,86,80,61,43,9,451
POA6395,30,14,13,24,18,30,15,16,0,160,304,100,154,211,167,256,155,108,51,1511
POA6396,0,0,3,3,11,5,6,4,0,34,56,20,34,55,61,65,37,17,3,351
POA6397,5,0,0,0,3,0,4,0,0,12,13,3,4,7,22,18,17,4,0,91
POA6398,13,0,4,6,8,19,5,0,0,57,62,31,45,46,87,135,108,66,10,580
POA6401,219,168,221,203,168,125,86,58,36,1289,1504,936,919,936,1021,1150,980,514,205,8165
POA6403,0,0,3,0,0,8,0,0,0,7,23,13,7,14,20,32,17,17,0,141
POA6405,8,5,3,3,5,5,9,0,0,33,81,29,33,43,30,47,47,14,5,325
POA6407,19,15,6,8,4,3,11,5,0,79,180,227,114,100,108,104,86,44,20,997
POA6409,13,3,3,7,10,11,8,4,0,55,65,29,42,36,61,70,34,27,9,374
POA6410,13,6,11,9,15,18,16,10,4,95,131,69,90,97,126,158,119,96,42,924
POA6411,0,6,4,4,4,5,0,0,0,27,13,18,12,11,16,27,20,13,0,131
POA6412,0,3,4,0,4,3,3,0,0,16,12,9,3,0,11,17,4,0,0,58
POA6413,3,0,0,6,0,0,0,0,0,12,3,0,0,10,10,16,13,4,0,53
POA6414,0,0,5,0,4,0,0,4,0,15,19,3,11,4,9,14,14,3,0,77
POA6415,63,49,54,51,46,58,39,19,6,379,520,319,363,331,360,394,307,140,65,2799
POA6418,11,11,20,10,19,11,15,12,6,120,143,57,80,95,81,89,113,62,22,741
POA6419,0,0,0,0,3,0,0,0,0,7,8,8,9,0,15,8,0,5,0,50
POA6420,3,0,0,0,0,3,0,0,0,4,15,0,14,8,12,10,9,6,0,71
POA6421,6,5,4,6,4,0,3,0,0,28,36,14,14,26,28,13,19,4,0,149
POA6422,0,0,5,0,0,0,0,0,0,7,20,8,7,9,10,9,0,0,0,61
POA6423,0,5,14,13,20,18,3,4,0,78,17,16,37,47,61,70,29,15,8,296
POA6424,0,0,4,0,0,3,0,0,0,13,6,4,12,8,9,18,6,3,0,65
POA6425,0,0,0,0,0,0,0,0,0,3,13,0,10,6,6,23,5,3,4,72
POA6426,8,29,71,73,72,64,16,3,0,343,100,92,253,250,263,256,131,38,16,1397
POA6427,0,8,33,30,40,31,8,0,0,150,0,18,71,68,92,58,12,0,0,319
POA6428,4,0,0,0,7,4,0,0,0,17,11,6,6,6,15,12,9,0,0,59
POA6429,36,39,107,89,91,78,19,3,0,474,149,125,277,225,278,252,151,33,4,1492
POA6430,475,300,461,437,395,342,208,69,27,2712,4859,2718,3793,3434,3015,2594,1365,539,168,22481
POA6431,18,46,106,89,87,55,18,5,0,429,125,218,359,328,308,203,61,17,0,1626
POA6432,331,219,302,278,224,247,131,20,4,1758,1531,883,1140,1072,1000,1012,556,148,31,7378
POA6434,11,29,87,79,43,24,9,0,0,273,14,67,194,155,107,56,14,0,0,599
POA6436,0,17,31,47,25,28,23,6,0,177,14,32,59,84,62,73,50,9,0,387
POA6437,36,80,181,145,100,73,8,0,0,634,154,207,458,394,287,204,53,5,0,1768
POA6438,26,111,278,238,206,140,51,8,0,1061,108,170,473,385,351,289,151,29,5,1962
POA6440,26,133,450,390,435,302,47,0,0,1795,131,306,920,834,874,681,140,21,0,3909
POA6442,119,96,162,161,158,95,41,17,5,852,539,333,462,438,463,365,176,52,12,2843
POA6443,30,35,61,32,87,45,31,6,0,326,88,97,184,132,257,210,173,44,10,1189
POA6445,0,0,0,3,0,3,0,0,0,18,30,0,15,15,31,24,18,7,0,144
POA6446,0,0,0,0,0,4,0,0,0,7,27,8,15,18,20,15,7,5,0,115
POA6447,4,0,0,0,0,5,3,0,0,12,30,15,31,21,21,28,11,0,0,165
POA6448,15,6,5,9,7,8,3,3,3,58,97,81,54,43,55,50,46,12,6,436
POA6450,360,193,194,204,244,207,156,115,25,1704,2555,1426,1485,1577,1757,1784,1381,876,272,13122
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6460,13,13,4,12,13,14,19,12,3,97,112,60,48,75,76,113,127,51,20,689
POA6461,4,3,0,6,7,9,7,0,0,40,86,46,31,62,65,57,87,34,6,483
POA6462,8,0,3,3,0,0,0,0,0,16,57,11,25,17,20,19,19,3,0,164
POA6463,0,0,0,0,0,0,0,0,0,0,7,5,6,3,0,5,4,0,0,28
POA6465,0,6,0,0,0,0,0,0,0,8,0,0,0,4,12,5,11,6,0,39
POA6466,0,0,0,0,0,0,0,0,0,0,4,3,12,3,0,6,4,0,0,42
POA6467,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,9,8,0,0,28
