SED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SED51104,2688,105,6,3,0,2798,10693,141,10,0,9,10855,3332,88,38,0,0,3459,191,76,0,0,0,265,53,51,0,0,0,101,1120,26,10,0,0,1155,97,12,0,0,3,107,21,4,0,0,0,28,4807,261,48,0,4,5116,260,360,3,4,0,622,784,76,3,4,11,872,19232,946,71,12,18,20275
SED51205,4487,481,99,12,6,5081,5818,866,173,7,9,6871,2501,1179,467,13,14,4175,223,266,18,0,0,503,55,47,5,0,0,116,1181,350,84,0,5,1622,203,67,26,4,3,307,23,13,0,0,0,36,4183,1936,597,21,22,6761,169,123,9,3,0,311,636,256,97,23,8,1016,15292,3665,981,58,46,20034
SED51304,5855,632,111,0,0,6600,5558,475,49,0,0,6082,822,251,80,0,4,1160,19,38,10,0,0,71,3,26,8,0,0,36,392,176,60,0,0,629,20,8,8,0,0,32,3,9,0,0,0,9,1260,507,161,0,5,1935,93,77,63,0,0,229,184,73,63,0,5,328,12952,1766,445,0,6,15169
SED51401,5974,41,6,114,43,6184,3820,15,4,12,18,3874,643,59,18,6,5,727,418,169,0,9,7,604,119,58,11,6,0,197,1034,25,4,6,3,1082,462,41,0,33,20,559,21,5,0,0,0,34,2698,357,40,61,37,3195,703,11,0,22,14,752,1522,94,11,61,16,1705,14722,519,61,266,131,15701
SED51504,4719,778,450,0,0,5947,4296,893,508,0,4,5702,940,620,1245,0,0,2804,59,206,64,0,0,321,4,14,27,0,0,46,406,221,397,0,0,1023,22,20,84,3,0,123,3,9,7,0,0,16,1437,1085,1817,0,4,4342,112,121,67,0,0,298,166,107,139,4,0,420,10735,2977,2971,11,9,16706
SED51605,3580,172,79,170,0,4004,8070,255,267,3,7,8595,1778,289,727,0,0,2793,179,122,64,0,0,361,13,16,11,0,0,45,638,82,95,0,0,818,68,11,8,38,3,130,8,0,0,0,0,10,2673,511,922,50,4,4151,100,75,10,5,0,194,416,59,77,65,0,622,14849,1069,1349,286,10,17565
SED51706,5425,170,46,101,7,5749,6907,83,6,14,11,7020,1213,132,47,5,0,1395,156,110,35,0,0,301,31,25,3,0,0,60,947,61,14,10,0,1029,113,5,3,100,3,220,13,0,4,0,0,20,2468,327,114,116,5,3038,285,114,5,19,5,424,772,60,15,138,7,996,15858,759,187,388,41,17227
SED51804,4931,1013,857,4,4,6801,3556,649,539,0,0,4746,824,511,1539,0,3,2880,58,276,118,0,0,451,12,27,18,0,0,54,394,216,428,0,0,1043,157,17,29,0,0,204,7,5,3,0,0,14,1452,1052,2137,4,5,4645,98,135,263,0,3,503,249,147,263,14,5,682,10286,2992,4057,22,15,17376
SED51902,4108,25,23,90,12,4257,9371,45,12,5,11,9436,860,32,0,0,0,892,10,6,0,0,0,13,5,24,0,0,0,30,633,12,8,4,0,663,60,5,6,9,0,72,11,0,0,0,0,9,1580,84,6,12,5,1681,157,9,6,10,4,185,529,13,7,14,0,564,15732,176,53,131,30,16125
SED52006,6135,409,84,78,3,6709,5934,189,37,8,0,6167,1730,265,66,7,0,2065,26,36,0,0,0,62,16,73,0,0,0,89,839,98,20,5,0,963,76,38,4,9,0,128,13,8,0,6,0,24,2693,529,83,24,0,3334,162,215,3,6,0,392,417,82,12,29,5,546,15348,1423,226,136,11,17142
SED52102,4059,115,10,168,0,4350,7099,147,7,13,7,7275,1617,138,12,7,0,1779,192,63,0,0,0,257,13,19,0,0,0,33,931,44,0,9,0,995,107,11,8,76,3,204,16,0,0,0,0,18,2878,274,18,95,7,3285,169,112,4,8,0,296,591,45,3,102,4,748,14797,696,48,388,19,15954
SED52205,4195,821,461,113,24,5612,4609,952,530,7,6,6097,1300,847,921,3,9,3085,346,486,232,0,7,1065,49,119,37,0,0,206,871,410,286,6,5,1580,103,58,35,54,8,260,7,13,8,0,0,33,2674,1946,1515,72,26,6231,140,128,30,0,4,313,440,278,233,121,20,1098,12060,4124,2777,321,75,19350
SED52301,4071,306,21,236,32,4665,4794,187,20,15,5,5020,1478,465,103,4,7,2056,298,186,41,3,0,531,60,44,0,0,0,106,1099,165,29,5,8,1302,190,58,5,51,8,310,17,13,0,0,0,32,3138,930,186,59,24,4328,191,102,12,9,6,320,922,228,52,89,15,1303,13110,1747,285,408,87,15645
SED52404,5097,422,50,6,0,5576,6626,413,42,0,0,7080,1313,211,16,0,0,1539,46,35,0,0,0,80,10,9,0,0,0,13,741,128,15,0,0,894,45,3,0,0,0,50,12,4,0,0,0,15,2171,386,33,0,5,2589,97,17,5,0,0,116,277,40,6,27,0,358,14265,1289,138,30,6,15729
SED52505,4084,245,15,0,0,4346,10289,280,16,5,11,10588,1907,126,18,0,0,2054,18,0,0,0,0,19,8,0,0,0,0,6,657,49,8,0,0,715,69,8,0,0,0,78,9,0,0,0,0,9,2666,183,30,3,0,2881,129,8,0,0,0,136,345,19,6,7,0,374,17509,730,61,9,8,18324
SED52604,4437,321,124,7,0,4883,6103,308,158,0,0,6571,1242,360,461,6,7,2069,69,87,16,0,0,170,14,12,0,0,0,31,577,130,100,5,0,815,41,6,13,6,3,65,11,6,3,0,0,22,1949,604,593,12,8,3176,85,17,17,0,0,115,316,79,76,77,16,569,12893,1321,964,107,29,15318
SED52702,5992,198,16,34,6,6243,6119,47,14,8,8,6184,563,65,20,0,0,648,9,40,0,0,0,54,5,50,3,0,0,56,519,55,8,9,5,600,37,0,0,8,4,43,9,3,0,0,0,11,1145,224,28,14,6,1418,140,35,8,0,0,188,335,48,11,11,0,403,13726,549,77,71,26,14440
SED52803,2174,127,14,197,58,2562,4327,252,12,22,4,4610,1427,721,88,4,7,2235,350,246,15,0,5,616,98,61,12,0,8,179,743,122,12,16,10,911,414,142,16,158,45,773,12,20,0,3,0,35,3033,1315,142,186,73,4743,274,50,8,30,40,398,1088,300,51,480,49,1973,10891,2045,229,912,225,14293
SED52903,1055,74,14,2772,191,4098,1648,97,23,153,24,1943,707,291,102,23,12,1142,1909,364,48,10,21,2356,901,63,14,14,17,997,551,72,28,137,60,842,744,137,29,746,127,1794,42,10,0,9,3,62,4855,945,219,943,232,7194,480,87,4,228,85,880,1355,290,58,799,211,2711,9386,1493,315,4902,743,16832
SED53004,5485,557,12,82,6,6142,6463,411,6,5,0,6883,987,170,6,0,0,1159,34,28,0,0,0,62,11,26,0,0,0,33,579,117,0,0,0,702,42,11,0,8,0,63,6,0,0,0,0,12,1659,350,9,8,0,2030,90,158,4,5,0,256,264,71,3,25,0,359,13959,1545,36,113,5,15662
SED53105,2890,134,47,4,0,3083,8731,281,75,0,5,9088,2286,335,149,0,0,2769,201,127,87,0,0,411,60,34,31,0,3,129,918,69,41,0,0,1031,92,3,9,0,0,100,19,7,0,0,0,23,3568,572,314,0,3,4462,90,55,5,6,0,149,656,62,78,51,5,851,15936,1103,510,60,18,17626
SED53204,3409,245,4,37,3,3697,8936,340,0,0,5,9282,1300,291,0,0,0,1587,40,114,0,0,0,153,13,4,0,0,0,13,493,75,0,0,0,559,58,7,0,10,0,85,7,4,0,0,0,9,1900,496,0,10,0,2417,209,12,0,3,0,223,356,47,0,0,0,415,14812,1142,4,58,13,16033
SED53306,4030,752,210,59,3,5061,5965,335,128,0,5,6433,2177,649,263,3,3,3106,278,335,31,0,5,650,158,78,66,0,4,313,1151,237,50,3,0,1444,81,62,10,19,5,167,26,15,4,0,0,47,3872,1378,434,27,14,5722,159,628,15,0,0,806,704,240,76,62,7,1088,14735,3335,859,148,36,19118
SED53402,3534,672,299,0,0,4504,4901,1145,649,0,8,6703,1478,1140,1397,0,7,4017,175,397,185,0,0,756,20,60,69,0,0,150,834,419,424,0,5,1681,70,62,52,0,0,186,3,14,8,0,0,34,2588,2096,2129,3,11,6820,122,97,41,0,0,256,360,223,198,20,9,816,11504,4233,3309,25,24,19103
SED53502,4267,427,28,146,8,4865,7368,448,58,9,9,7887,1338,908,414,3,6,2671,223,357,54,0,4,630,30,82,22,0,0,129,911,301,38,11,3,1258,84,49,0,52,0,183,12,18,0,5,0,38,2597,1707,527,67,14,4916,157,22,12,7,3,198,579,242,64,287,40,1211,14961,2839,694,515,68,19079
SED53602,3893,392,23,0,0,4311,5383,936,63,0,0,6380,1835,603,73,0,4,2517,380,701,85,0,0,1166,64,81,4,0,0,144,1164,271,25,0,4,1458,290,58,13,0,0,354,43,11,0,0,0,56,3770,1724,197,0,7,5698,156,37,5,0,0,200,827,275,17,39,4,1166,14022,3356,314,39,18,17753
SED53701,5839,112,17,400,66,6430,4362,32,10,41,22,4460,541,40,16,13,4,601,203,82,15,6,0,312,56,41,17,6,0,112,985,46,12,24,18,1090,383,24,9,91,31,539,16,4,0,0,0,21,2189,234,65,132,52,2673,681,35,4,35,23,777,1486,88,29,242,31,1870,14562,497,117,856,186,16212
SED53802,4933,811,29,5,0,5776,4726,1448,18,0,0,6202,1751,1344,14,0,3,3118,161,312,10,0,0,484,20,65,5,0,0,92,948,456,7,0,3,1412,128,71,0,0,0,201,22,15,0,0,0,34,3031,2268,42,0,9,5347,153,77,9,0,0,239,446,294,6,3,4,754,13294,4902,97,10,18,18316
SED53902,3913,1343,320,0,3,5588,3543,1587,503,0,0,5639,1073,1478,1296,4,3,3856,33,71,130,0,0,230,13,34,87,0,0,138,628,556,339,0,0,1520,72,59,40,0,0,166,11,17,9,0,0,34,1822,2215,1896,8,3,5952,140,185,218,3,0,544,264,235,218,11,6,733,9684,5569,3161,24,15,18455
SED54006,5345,141,4,244,17,5753,6360,36,3,24,7,6430,1284,97,5,5,4,1396,141,71,3,0,0,215,22,42,4,0,0,67,998,86,6,14,6,1106,173,15,0,99,9,290,22,4,0,0,0,27,2647,315,10,112,12,3103,372,79,0,8,3,469,698,70,3,96,7,871,15420,636,23,483,53,16616
SED54104,4458,760,1036,0,7,6270,3001,615,939,3,4,4563,1125,918,2801,4,4,4845,8,54,369,0,0,433,5,28,81,0,0,113,425,327,697,0,7,1454,40,44,80,0,0,162,0,7,13,0,0,17,1606,1377,4036,7,10,7037,134,49,266,0,0,461,173,83,372,19,6,655,9378,2897,6650,36,27,18986
SED54203,1304,72,11,2736,171,4293,926,26,0,188,20,1159,357,85,32,11,3,495,642,93,27,12,9,779,169,30,55,31,0,286,402,69,12,144,34,661,1275,109,30,782,110,2311,19,5,8,12,0,44,2868,392,163,978,170,4570,490,51,21,179,99,834,953,146,26,507,185,1818,6539,689,227,4582,642,12678
SED54304,2371,692,1501,7,3,4580,2629,1034,2573,15,5,6248,909,1009,6759,21,14,8710,31,200,408,0,0,642,9,51,155,0,6,222,594,390,1393,16,12,2403,38,51,179,0,7,275,7,11,41,0,0,63,1587,1715,8934,31,46,12311,106,103,137,0,3,354,184,158,1123,397,25,1879,6882,3691,14272,450,79,25374
SED54403,763,95,35,730,120,1746,2202,221,23,49,9,2508,1584,532,440,13,15,2577,927,252,67,4,7,1257,234,27,11,0,8,277,338,91,44,26,19,515,3230,555,290,254,94,4423,17,10,0,0,0,23,6328,1463,850,293,132,9074,774,113,107,64,76,1137,1361,485,264,428,103,2638,11431,2369,1283,1570,451,17106
SED54505,5783,347,132,0,4,6270,5044,360,125,0,0,5529,1583,300,103,0,0,1987,26,57,36,0,0,119,5,20,27,0,0,53,608,131,42,0,3,789,56,13,16,0,0,82,11,7,4,0,0,15,2288,530,223,0,0,3050,142,120,291,0,0,552,234,54,45,0,4,340,13485,1417,826,4,10,15743
SED54605,5046,475,292,148,3,5959,5065,242,203,5,7,5522,1702,449,649,0,0,2805,151,166,124,0,0,441,23,49,24,0,0,94,993,187,154,3,0,1346,162,22,27,35,0,250,11,7,5,0,0,27,3046,883,975,41,6,4953,127,54,17,4,0,202,586,134,129,69,7,930,13871,1788,1618,273,24,17568
SED54701,5187,122,20,163,46,5543,3548,48,3,15,12,3621,756,193,34,0,5,987,422,170,7,0,0,609,80,76,31,0,0,190,1217,94,12,20,8,1355,499,39,6,63,23,626,28,16,6,0,0,51,3009,592,91,85,35,3812,956,38,8,16,41,1058,1314,142,33,102,10,1614,14007,941,166,389,146,15647
SED54804,3247,1468,232,67,8,5019,4164,2351,351,6,0,6879,1108,1875,745,0,0,3732,190,423,154,0,0,766,10,66,16,0,0,89,576,699,188,0,4,1470,66,56,17,25,0,161,5,13,3,0,0,27,1948,3132,1133,28,8,6251,141,180,98,3,0,424,323,341,202,19,8,898,9827,7477,2028,118,26,19473
SED54905,3485,1634,521,0,3,5642,3116,1409,478,0,7,5013,1049,1954,1112,0,3,4118,314,212,128,0,0,653,8,56,36,0,0,98,494,677,339,5,0,1516,40,33,32,0,3,110,9,11,5,0,0,31,1918,2942,1648,5,14,6524,122,237,168,0,0,527,247,256,173,0,7,688,8889,6480,2989,3,28,18389
SED55005,3910,93,14,3,5,4021,8445,175,15,0,0,8639,1802,232,20,3,4,2061,171,25,0,0,0,192,21,26,0,0,0,48,838,54,0,4,0,896,117,8,3,0,3,128,14,3,0,0,0,22,2956,349,26,5,4,3349,139,105,12,0,0,255,548,47,6,4,4,601,15998,773,70,15,13,16865
SED55102,3434,56,18,11,0,3522,8921,198,19,0,3,9145,1544,75,10,0,3,1636,128,69,0,0,0,201,42,7,0,0,0,56,749,33,10,0,5,802,112,3,0,0,0,111,18,0,0,0,0,20,2602,188,25,0,11,2819,151,5,5,0,0,163,657,32,4,148,4,843,15765,468,71,162,24,16487
SED55202,4413,468,44,3,3,4938,6741,380,96,0,3,7216,1706,513,174,6,3,2399,243,187,52,0,0,485,45,87,63,0,0,195,1080,164,55,3,0,1297,159,39,10,0,3,214,23,16,4,0,0,49,3265,1008,353,8,6,4640,140,294,7,5,5,452,741,181,42,27,4,989,15296,2334,539,47,20,18230
SED55306,5469,364,29,185,9,6057,5673,231,11,17,6,5941,1544,240,3,4,3,1801,264,225,0,0,0,488,22,68,0,0,0,97,1094,96,13,23,12,1235,180,24,3,109,9,321,15,8,0,0,0,25,3125,656,23,135,27,3963,293,163,19,29,3,504,759,130,4,117,20,1031,15322,1543,85,487,58,17495
SED55405,2949,765,264,0,6,3983,3971,1142,438,4,4,5562,2341,1835,1343,5,13,5532,412,482,103,0,3,1006,65,147,87,0,0,305,1163,701,288,0,3,2159,118,92,48,0,0,266,28,25,23,0,0,79,4130,3287,1896,3,16,9343,262,135,189,0,0,589,491,363,276,14,13,1152,11808,5700,3063,26,36,20633
SED55504,3508,233,10,68,5,3828,9194,184,13,6,0,9395,1649,152,29,0,0,1833,157,121,3,0,0,282,29,36,0,0,0,70,844,71,4,12,0,932,115,15,3,23,0,160,9,0,0,0,0,15,2808,394,40,39,0,3286,164,137,0,9,0,313,472,60,7,21,0,559,16158,1010,75,144,6,17385
SED55605,3363,124,5,0,5,3499,8815,71,8,5,22,8910,2238,94,7,0,0,2343,167,68,0,0,0,231,19,24,0,0,0,41,931,26,0,0,0,967,118,9,0,0,0,127,11,3,0,0,0,13,3484,224,9,0,0,3723,92,100,0,0,0,200,579,43,3,0,9,634,16337,560,27,4,32,16959
SED55706,6718,140,10,142,27,7042,5026,123,14,17,21,5198,1222,134,19,9,7,1379,289,123,13,0,4,426,63,53,15,0,0,133,1330,60,20,12,14,1427,266,7,5,79,24,382,20,4,0,0,0,20,3183,381,67,98,42,3771,519,87,10,19,17,653,1247,64,20,187,34,1546,16691,795,114,464,139,18209
SED55802,3251,340,13,27,6,3629,10278,346,14,0,8,10638,1531,206,101,0,0,1840,169,144,3,0,0,314,20,8,0,0,0,30,672,51,3,0,3,734,113,12,0,6,0,127,13,6,0,0,0,13,2517,422,114,4,11,3062,117,59,0,0,0,177,485,72,8,11,5,586,16642,1231,146,41,24,18092
SED55905,4502,571,86,0,9,5159,5443,509,159,0,0,6108,1411,284,230,0,3,1928,386,302,94,0,3,780,32,41,44,0,0,125,671,156,61,0,0,889,67,16,7,0,0,100,16,9,3,0,0,29,2585,808,440,0,7,3846,209,165,67,0,5,444,472,157,47,17,4,693,13205,2219,788,16,28,16254
SED59797,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
