SED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED52803,274,173,96,31,11,0,929,9,110,112,92,80,28,3,0,443,232,1027,811,526,359,155,39,5,3156,71,403,511,484,398,163,28,4,2065,708,2012,1757,1571,1177,462,111,20,7802,293,144,82,74,30,17,7,0,640,37,86,91,98,88,57,13,0,466,1039,2242,1929,1739,1293,530,121,20,8908,12,34,23,35,26,14,8,0,153,976,2074,1855,1729,1413,654,193,80,8976,2371,6204,5523,4770,3669,1583,399,105,24623
SED52903,330,232,289,189,32,0,1427,7,194,207,172,218,142,22,0,962,263,1485,1120,817,855,632,132,11,5323,102,463,585,515,752,670,112,7,3198,462,1259,1286,1256,1201,1003,196,17,6677,187,148,124,68,79,56,8,0,662,45,87,104,108,149,138,37,4,682,696,1493,1514,1434,1434,1196,238,18,8022,13,26,21,21,31,42,20,0,175,960,1416,1180,1184,1248,946,346,63,7341,2052,5414,4958,4375,4818,3823,906,106,26446
SED53004,463,350,205,131,24,7,1460,7,145,244,280,188,123,26,4,1019,355,1215,1670,1168,827,598,178,49,6065,184,393,695,720,738,635,236,60,3657,579,928,1195,1085,1086,846,344,97,6168,172,29,54,56,51,29,21,4,421,32,43,87,152,152,160,57,25,704,788,1001,1328,1292,1290,1037,423,127,7292,9,19,40,38,36,70,44,15,272,118,125,201,181,153,234,170,124,1306,1490,3157,4642,4038,3426,2830,1105,376,21071
SED53105,573,212,107,45,14,3,1296,20,166,200,123,73,37,10,0,628,271,1471,1775,816,369,189,56,14,4961,205,728,1010,699,394,223,68,19,3347,867,1941,1836,1324,972,483,187,51,7655,304,214,110,83,60,32,4,0,810,50,84,155,155,101,75,30,11,654,1224,2234,2104,1560,1133,581,221,63,9120,20,45,75,47,35,34,19,3,287,329,392,447,357,262,245,146,88,2269,2083,5364,6191,3822,2377,1355,525,194,21914
SED53204,607,309,123,50,20,6,1489,17,163,235,173,77,42,4,0,713,470,1664,2009,1095,510,237,94,23,6098,228,695,1017,874,584,294,100,32,3820,732,1443,1426,1314,967,541,190,51,6666,247,81,88,87,52,20,8,0,586,74,68,144,165,136,80,36,16,717,1047,1597,1660,1568,1154,647,232,62,7972,18,45,57,56,40,36,21,8,286,198,248,274,226,189,156,100,55,1454,2014,4754,5857,4294,2681,1460,571,189,21825
SED53306,175,138,103,74,25,4,618,7,77,112,116,90,78,22,7,510,166,645,709,594,399,315,157,39,3028,156,458,590,583,590,437,208,59,3089,798,1550,1374,1314,1271,920,513,135,7871,294,151,100,66,43,44,20,6,736,51,81,103,121,130,104,79,30,695,1148,1782,1572,1501,1440,1071,620,169,9304,17,26,45,28,47,51,46,22,292,344,361,365,390,354,473,534,444,3265,1850,3437,3574,3348,3037,2514,1600,749,20113
SED53402,950,530,312,170,47,7,2888,22,297,343,309,208,127,33,12,1350,518,2738,2451,1443,875,533,160,46,8764,272,757,777,671,585,392,136,28,3617,450,1096,945,759,693,470,209,64,4686,174,84,60,55,43,33,3,0,451,43,62,88,105,117,93,50,12,572,665,1246,1092,915,852,593,263,81,5705,15,53,69,34,41,49,26,14,298,216,383,334,282,243,250,230,154,2098,1757,6301,6019,4181,3125,2101,903,335,24725
SED53502,403,195,149,100,39,0,1167,19,138,189,172,150,49,21,4,730,224,1203,1125,816,511,361,149,39,4425,190,624,759,710,589,407,160,29,3461,865,1814,1402,1262,1143,731,330,71,7619,299,151,106,74,55,37,11,0,739,53,74,108,146,161,109,56,13,726,1213,2035,1612,1487,1363,879,401,83,9079,23,46,45,33,41,39,21,10,266,352,484,450,456,409,385,412,382,3323,2036,4791,4584,3865,3209,2219,1203,547,22453
SED53602,311,138,89,46,16,5,1088,17,120,116,86,48,26,12,0,425,363,1358,1089,598,363,260,87,7,4123,277,805,632,509,423,245,76,24,2993,757,1319,1136,945,898,613,259,59,5986,279,153,98,90,63,41,6,0,728,73,121,121,151,128,90,37,6,736,1106,1596,1361,1194,1084,742,309,70,7457,19,67,58,53,50,48,27,5,320,464,603,578,435,333,341,299,156,3214,2291,4986,4133,3008,2395,1707,823,267,19615
SED53701,94,75,124,90,31,4,497,7,68,79,84,108,86,18,0,446,88,470,613,531,440,348,140,23,2660,56,240,358,497,597,533,182,23,2489,409,959,1104,1187,1331,1018,332,39,6384,158,92,63,53,70,69,14,0,516,31,38,61,102,138,132,45,17,565,594,1093,1224,1347,1543,1219,394,57,7467,6,21,32,35,44,48,30,9,223,489,540,623,755,920,897,519,139,4870,1248,2503,3025,3321,3774,3219,1312,259,18656
SED53802,642,283,151,93,43,4,1969,11,210,205,151,119,83,40,0,819,476,2038,1758,980,622,458,190,38,6560,266,845,822,691,546,417,209,55,3849,579,1269,995,941,871,657,332,94,5735,197,101,62,65,54,41,3,5,530,32,80,99,131,132,96,61,22,651,811,1439,1162,1138,1058,788,396,119,6917,26,50,59,47,35,38,29,13,292,268,443,391,257,260,250,225,76,2175,1900,5734,5037,3547,2793,2130,1127,313,22579
SED53902,795,517,335,226,77,18,2882,21,254,304,252,238,130,36,6,1232,614,2525,2078,1489,1107,697,306,115,8927,264,623,680,666,576,438,269,96,3610,416,819,698,656,655,428,245,135,4054,148,71,55,43,33,32,5,7,399,36,53,66,110,120,109,71,41,600,597,948,821,815,807,564,324,179,5054,16,43,69,51,39,52,42,19,337,172,317,293,236,214,258,310,232,2039,1740,5554,5037,4023,3325,2369,1361,666,24074
SED54006,82,81,85,74,26,8,406,10,56,97,92,94,55,17,4,422,88,472,557,554,401,339,124,28,2566,83,285,467,537,563,406,139,41,2529,802,1390,1617,1573,1419,895,361,95,8155,287,123,105,72,89,47,10,0,739,37,53,100,154,133,110,56,16,657,1122,1559,1821,1797,1641,1060,438,117,9550,11,23,31,29,37,58,37,3,236,332,283,327,391,371,427,401,179,2720,1647,2728,3384,3479,3201,2423,1182,384,18423
SED54104,1622,1285,995,753,348,88,6773,28,296,360,411,327,243,122,21,1809,1352,2961,2527,2210,1732,1422,685,206,13102,217,370,422,534,580,553,377,127,3186,410,437,360,283,324,243,165,57,2274,185,39,27,18,25,30,19,6,339,32,39,42,71,114,97,57,35,493,629,511,432,370,459,367,245,94,3107,34,48,57,44,52,63,62,29,382,322,419,405,297,291,412,403,216,2760,2720,6156,5826,5150,4435,3816,2231,784,31117
SED54203,205,157,155,134,25,0,942,7,88,89,123,120,109,5,0,535,209,1092,827,547,575,530,111,11,3896,67,416,482,549,668,563,123,10,2876,509,1785,1680,1439,1484,996,259,27,8180,144,105,87,72,67,45,13,0,527,28,60,64,82,126,131,36,0,527,683,1947,1829,1594,1679,1170,304,26,9233,10,26,22,28,40,55,21,3,200,838,1930,1709,1839,1521,937,328,41,9150,1834,5749,5164,4828,4758,3500,917,97,26841
SED54304,1631,888,543,316,87,8,5727,40,497,434,360,280,125,23,0,1758,1150,5437,3500,1881,1273,691,204,50,14183,442,1180,954,749,703,391,130,35,4587,632,1256,892,775,668,345,137,47,4757,182,105,57,31,48,22,8,3,450,33,84,92,121,115,87,28,15,576,852,1446,1038,933,825,454,177,62,5787,39,111,72,67,44,47,31,4,423,647,1501,1042,796,672,474,269,140,5549,3276,12314,8674,5679,4335,2505,916,313,38012
SED54403,389,231,128,61,15,0,1280,17,170,211,156,98,60,0,0,710,243,1743,1446,847,469,195,47,0,4978,93,756,1080,960,666,244,32,0,3833,872,3612,3626,2644,1763,550,96,4,13169,310,256,189,106,64,17,3,0,957,40,124,153,144,121,57,11,0,649,1221,3988,3971,2895,1952,626,104,4,14771,13,40,43,46,29,13,9,0,199,1323,3813,3759,3271,2345,727,169,25,15434,2939,10931,10906,8406,5682,1928,377,31,41203
SED54505,1318,1050,595,316,102,12,3922,18,125,278,327,222,169,44,6,1190,690,1425,2542,2115,1202,940,370,78,9365,155,269,659,728,621,653,339,100,3518,404,410,611,722,639,551,291,93,3710,167,39,35,47,35,40,18,4,385,30,25,49,106,132,138,68,20,572,603,471,693,874,805,724,373,119,4670,15,22,55,70,37,73,63,13,343,148,109,160,154,169,205,225,149,1314,1683,2906,5702,5322,3654,3078,1513,470,24329
SED54605,182,144,125,69,25,4,647,7,77,96,103,112,71,14,4,482,168,597,615,533,433,315,120,33,2810,139,389,518,629,666,431,172,54,3003,747,1450,1261,1298,1398,941,475,120,7685,273,140,54,77,70,40,19,0,674,38,52,88,110,138,136,83,13,654,1065,1640,1399,1479,1608,1116,571,136,9013,8,33,29,36,61,57,39,18,277,485,536,401,373,389,381,482,318,3361,1877,3361,3242,3298,3378,2436,1424,556,19584
SED54701,86,83,68,41,13,6,394,10,55,98,95,78,50,9,0,403,146,733,704,545,425,233,112,34,2932,58,264,369,422,449,317,145,40,2061,587,1257,1109,1001,954,543,213,23,5696,178,132,87,74,57,29,14,0,564,28,39,75,101,97,68,29,5,443,794,1432,1265,1178,1108,637,258,36,6699,6,22,18,30,41,27,22,14,175,515,537,599,657,671,593,430,180,4183,1539,3126,3153,3009,2837,1887,980,305,16840
SED54804,906,536,316,185,79,4,2813,23,316,369,295,219,115,37,11,1378,549,2948,2589,1592,963,603,287,84,9606,154,789,813,775,651,451,229,82,3943,441,1264,1003,764,688,410,251,96,4917,110,77,50,27,31,28,12,4,346,38,67,81,137,129,107,64,32,648,588,1404,1137,935,848,542,324,133,5913,14,49,66,41,24,63,40,11,309,204,492,380,246,222,266,297,290,2400,1578,6720,6265,4429,3240,2222,1296,612,26366
