SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED52006,526,289,216,252,331,276,290,232,132,2543,6954,4115,3478,4105,4903,5515,6128,3725,1088,40011
SED52102,655,405,388,437,343,308,198,90,38,2874,8580,4887,5577,6190,5189,4793,3676,1869,650,41406
SED52205,509,439,595,554,581,475,360,245,220,3986,6385,4533,6404,6129,5955,5700,4628,2502,1206,43451
SED52301,1045,614,626,669,599,505,394,238,114,4796,7752,4517,4548,4730,5092,4986,4048,2152,836,38656
SED52404,456,253,275,324,314,236,167,77,44,2139,8032,4665,4723,5712,5491,5165,4422,1873,554,40633
SED52505,568,515,780,731,417,290,164,64,19,3538,13279,6485,8744,10279,6455,5312,3847,1363,355,56111
SED52604,378,350,331,322,375,410,219,176,136,2700,6890,5500,4565,5031,5811,5973,4115,1827,735,40454
SED52702,379,240,167,246,319,273,213,164,81,2088,7005,4371,2799,4294,5585,5328,4798,2925,980,38092
SED52803,1092,1105,2222,1986,1844,1438,584,135,35,10440,7605,5062,8225,7407,6930,5888,2878,899,229,45130
SED52903,1849,927,1428,1244,1265,1261,895,299,60,9236,9446,4973,7651,6861,6349,7293,6318,1687,216,50796
SED53004,387,253,172,269,292,215,194,110,77,1971,7781,4531,3936,5616,5290,5095,5105,2345,1002,40692
SED53105,842,628,945,851,567,309,194,92,30,4452,11498,5815,7729,8422,5967,4322,2939,1423,502,48614
SED53204,557,334,315,324,295,214,139,82,30,2290,10935,6330,6264,7709,6593,4842,3059,1423,476,47626
SED53306,823,491,444,448,462,398,340,316,254,3990,8574,4974,5125,5123,5191,5293,5155,3566,1565,44569
SED53402,407,310,432,404,360,259,190,110,85,2556,6882,4416,7507,7083,5559,4635,3562,1851,909,42395
SED53502,676,507,555,503,536,440,315,229,184,3937,8462,5569,6628,6283,5951,5587,4280,2522,1061,46350
SED53602,962,564,588,625,505,378,287,128,38,4078,9423,6308,7286,6520,5697,5228,4143,2153,726,47486
SED53701,814,494,571,663,759,928,796,391,91,5494,6337,3237,3640,4381,5266,6648,6051,2766,678,39009
SED53802,527,354,448,424,336,294,220,154,60,2816,7565,5097,7216,6499,5327,4952,4335,2686,962,44639
SED53902,373,284,372,359,323,266,217,221,145,2559,6159,4639,6650,6018,5256,4711,3819,2733,1618,41604
SED54006,714,454,322,382,468,453,370,246,124,3539,8156,4591,4133,4933,5433,5709,5146,2740,816,41660
SED54104,518,464,510,459,373,367,376,288,142,3503,7559,7107,6839,6256,5766,5260,4872,3108,1264,48038
SED54203,864,822,1970,1738,1835,1541,849,296,37,9949,5217,3311,7188,6589,6638,7092,5903,1879,226,44044
SED54304,426,741,1581,1082,916,693,453,213,97,6209,6199,6266,14225,9769,6880,5717,3776,1692,783,55310
SED54403,1718,1447,3955,3925,3376,2414,719,137,17,17718,11038,5872,13625,13524,11009,7991,3043,693,77,66879
SED54505,324,267,137,224,247,217,193,157,97,1871,9193,5990,3462,6417,6352,4987,4865,2694,1066,45028
SED54605,573,561,592,442,425,394,297,281,244,3811,6298,4444,4721,4498,4999,5657,4876,3100,1287,39875
SED54701,1003,527,571,611,656,632,469,276,75,4832,7188,3803,4437,4650,5018,5452,4157,2291,779,37766
SED54804,443,328,554,466,354,248,251,197,176,3014,7507,4507,7890,7219,5572,4512,3586,2324,1251,44359
SED54905,366,364,418,307,309,310,271,218,227,2791,6214,5908,6384,5600,5119,4993,4585,2457,1234,42493
SED55005,697,393,384,394,349,266,182,106,70,2842,11621,6774,6350,8263,6710,4846,3539,1562,607,50268
SED55102,818,649,1000,1066,780,488,271,104,17,5188,11108,6072,6444,7291,6666,5264,3553,1497,325,48219
SED55202,850,470,496,539,460,341,265,210,180,3805,9675,5863,6485,6935,5777,5065,4404,2567,1028,47783
SED55306,792,352,413,496,487,497,425,242,85,3785,8584,3901,4138,5658,5851,5748,5661,2981,1072,43594
SED55405,482,568,790,544,404,303,206,233,288,3822,6859,7024,10545,7391,5090,4299,3253,1973,1219,47660
SED55504,707,381,345,412,376,281,198,101,38,2846,11093,6098,6487,7271,6241,4806,3596,1922,636,48157
SED55605,941,460,384,436,438,285,151,88,47,3231,11372,6661,5819,6359,6760,5256,2938,1529,465,47150
SED55706,870,402,444,584,711,698,559,265,94,4630,7583,3582,3963,5211,5875,6815,6106,2869,913,42917
SED55802,778,455,590,464,371,290,172,67,28,3206,11838,6670,8826,7841,6122,5231,3096,1607,560,51795
SED55905,564,432,486,441,408,387,347,321,257,3642,6474,5032,5613,5128,5012,5046,4120,2741,1310,40478
SED59797,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
