SED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED51104,66,118,378,258,241,129,11,3,0,1212,56,122,269,279,227,122,21,11,0,1115,1613,2436,6123,6154,5614,3143,615,56,0,25753
SED51205,47,148,323,244,192,121,35,8,0,1112,55,200,502,332,258,147,53,9,0,1550,1010,2918,7562,6156,4110,2996,841,71,3,25668
SED51304,50,78,99,149,150,99,58,3,0,684,43,59,114,202,192,125,61,12,0,803,1388,1617,2592,4837,5135,3616,1344,158,7,20685
SED51401,39,59,95,124,98,104,40,4,0,560,42,48,103,84,122,131,73,34,6,643,758,1082,2777,3067,3660,3788,1423,284,39,16888
SED51504,32,67,99,112,104,96,49,4,3,563,47,75,165,197,211,115,52,21,0,884,1353,1908,4190,5275,5285,3467,1045,168,24,22720
SED51605,77,132,280,224,230,148,26,0,0,1128,61,133,283,294,272,140,48,5,0,1240,1607,2379,5590,6267,5606,3443,764,61,0,25719
SED51706,55,87,182,177,180,111,35,3,0,824,54,73,150,175,149,131,42,23,8,805,1334,1451,3554,4291,4420,3646,944,153,13,19807
SED51804,49,87,91,100,107,79,45,10,0,567,47,73,141,154,234,150,60,24,6,901,1289,1948,3514,3810,4851,3681,1588,355,24,21062
SED51902,75,123,282,221,215,161,39,5,0,1114,87,105,261,274,226,175,51,20,4,1208,1592,1910,4751,5161,4952,3719,981,123,9,23189
SED52006,50,68,139,112,147,113,45,3,0,678,47,66,112,132,142,103,61,19,3,683,1215,1333,2543,3150,3850,3359,919,101,5,16471
SED52102,65,117,246,220,180,161,38,12,0,1025,54,104,272,262,196,160,52,9,4,1096,1133,1805,4317,4911,4111,3234,883,71,9,20466
SED52205,38,83,176,167,150,132,38,8,0,779,34,80,266,268,212,157,65,14,5,1106,917,1909,5062,4804,4527,3676,1122,121,11,22154
SED52301,68,92,164,150,136,113,38,12,0,767,54,62,127,127,144,99,51,8,4,672,1316,1406,3202,3410,3833,3172,917,112,14,17379
SED52404,39,86,180,190,167,120,49,3,0,834,48,72,186,212,172,161,46,9,0,900,1320,1711,3992,4869,4653,3735,1086,80,3,21447
SED52505,51,99,253,263,182,150,38,6,0,1041,79,130,386,385,254,155,64,7,0,1469,1542,2380,6901,8463,5366,3773,1019,98,4,29544
SED52604,34,102,191,181,175,183,46,3,0,911,48,89,181,171,202,161,54,9,0,920,1399,2189,3619,4122,4915,4301,965,76,3,21582
SED52702,52,79,111,155,189,161,62,3,0,821,37,76,102,143,190,148,60,15,0,776,1332,1454,2236,3574,4748,3934,1273,193,8,18753
SED52803,59,93,201,162,161,98,22,0,0,805,56,81,177,162,166,122,41,9,0,816,1024,1967,5298,4827,4602,3599,826,76,0,22212
SED52903,24,51,152,164,136,106,30,0,0,665,38,64,197,177,148,112,54,19,0,798,661,1233,4419,4225,3879,3629,1261,146,7,19458
SED53004,46,84,142,189,157,141,67,8,0,830,31,56,146,169,165,161,56,9,0,796,1339,1650,3328,4809,4565,3772,1198,103,6,20777
SED53105,48,106,274,244,170,84,19,5,0,949,59,114,337,331,267,130,43,0,0,1279,1207,2070,5543,6425,4541,2649,613,33,4,23091
SED53204,50,115,263,296,219,156,40,6,0,1145,55,134,246,313,251,164,35,3,0,1195,1590,2378,5125,6503,5581,3482,710,58,4,25425
SED53306,50,71,166,136,118,103,22,6,0,666,63,70,175,161,155,123,32,4,3,791,1167,1648,3512,3637,3661,3055,716,74,10,17480
SED53402,31,80,209,204,172,118,37,6,0,856,32,98,270,225,152,119,39,7,0,940,862,2030,6258,5877,4500,3101,874,75,8,23581
SED53502,34,137,251,198,190,161,50,3,0,1028,51,123,232,259,233,167,49,11,7,1143,1253,2151,5046,4854,4457,3599,940,95,12,22397
SED53602,40,112,311,238,188,130,31,4,0,1052,62,167,396,345,259,163,52,4,0,1451,1012,2241,5167,4493,3827,2902,775,59,0,20480
SED53701,52,66,107,119,101,104,34,0,0,583,51,51,109,111,155,176,80,27,4,768,739,1037,2551,3221,3851,4096,1464,340,34,17330
SED53802,35,111,288,241,192,162,65,9,0,1113,35,108,340,249,211,149,52,20,5,1162,990,2099,5765,5080,4111,3242,1025,121,10,22444
SED53902,28,90,215,174,132,115,33,9,0,802,32,81,232,217,159,120,43,15,0,899,892,2061,5575,4953,4271,3305,1051,155,13,22263
SED54006,70,63,149,112,135,119,27,6,0,687,65,74,135,148,165,124,51,15,0,779,1346,1348,2976,3737,4178,3411,983,140,10,18129
SED54104,44,78,131,100,84,69,41,7,0,566,46,95,215,215,198,147,66,29,3,1017,1352,2658,5403,4917,4633,3604,1528,312,26,24442
SED54203,27,38,112,95,80,79,30,7,0,464,35,57,162,142,139,118,50,17,0,724,473,1257,4493,4319,4221,3854,1028,106,6,19757
SED54304,24,102,300,228,124,119,45,9,0,942,26,148,462,288,203,123,47,7,0,1296,833,3055,11164,7622,5141,3578,1054,135,10,32584
SED54403,48,80,286,244,173,88,20,0,0,943,52,110,299,297,230,157,26,0,0,1174,1139,2110,8766,8869,7065,4564,821,41,3,33374
SED54505,35,61,97,133,141,121,57,18,0,666,49,89,161,270,228,151,66,11,0,1021,1389,1861,2820,5234,5314,3384,1152,135,9,21292
SED54605,41,64,120,113,147,108,30,8,0,628,42,75,166,156,158,151,45,10,6,814,943,1600,3216,3231,3566,3377,798,73,8,16815
SED54701,62,79,143,121,139,106,27,3,0,677,50,71,113,105,136,165,65,20,4,724,864,1333,3263,3512,3789,3671,1344,257,30,18062
SED54804,37,84,294,194,165,110,28,13,4,916,28,74,269,267,187,114,29,25,3,990,1043,1908,6789,6070,4612,3156,902,139,5,24629
SED54905,35,91,186,119,120,94,48,12,0,696,36,90,220,201,155,122,64,19,5,917,1105,2599,5280,4621,4164,3406,1315,195,12,22699
SED55005,44,113,211,274,203,140,51,0,0,1039,70,152,307,351,280,168,45,0,0,1370,1447,2356,4702,6516,5364,3282,815,51,5,24547
SED55102,66,122,270,261,213,146,49,0,0,1132,70,132,230,275,265,179,64,12,0,1240,1627,1933,4470,5411,5154,3548,971,128,13,23264
SED55202,42,95,220,221,189,138,39,10,0,942,51,125,297,322,246,186,38,12,0,1284,1128,2063,4453,4974,4172,3092,853,66,6,20807
SED55306,51,71,151,160,186,110,45,3,0,780,54,54,105,165,167,124,50,23,6,752,1506,1166,3166,4590,4824,3803,1268,163,17,20517
SED55405,35,136,283,177,128,85,35,4,0,880,32,151,417,261,175,107,28,6,3,1182,1055,3444,8362,5850,3853,2687,734,70,6,26070
SED55504,60,147,295,260,252,160,43,6,0,1211,65,139,289,348,244,148,40,5,4,1293,1602,2273,5208,6022,5257,3424,854,82,10,24733
SED55605,63,89,228,165,166,113,19,3,0,841,87,113,223,260,257,155,26,0,0,1117,1850,2204,4295,4910,5468,3528,571,41,0,22857
SED55706,41,55,123,123,133,127,36,7,0,634,49,46,125,145,166,174,84,25,4,821,1090,982,2971,3965,4440,4280,1665,322,24,19736
SED55802,63,146,364,273,217,140,37,7,0,1242,67,142,343,349,254,175,40,5,0,1381,1485,2603,6847,6318,4938,3620,751,68,4,26634
SED55905,49,91,184,158,151,141,38,8,0,814,54,111,225,217,186,152,42,7,7,985,1117,1970,4358,4000,3873,3405,887,87,5,19713
SED59797,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
