SED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED54804,541,6043,6587,5466,1148,6605,2498,349,2845,2457,118,2573,639,28,669,174,18,192,11771,7699,19473
SED54905,339,5845,6187,5465,998,6461,2259,330,2587,2108,100,2209,667,45,708,217,23,235,11052,7343,18389
SED55005,273,2751,3028,4073,445,4513,3021,163,3186,3574,94,3665,1501,56,1566,887,25,910,13334,3529,16865
SED55102,445,2861,3303,4686,468,5157,2776,158,2933,2912,97,3011,1259,44,1305,753,25,778,12839,3649,16487
SED55202,315,4686,4997,4788,766,5550,2717,251,2973,2425,150,2575,1174,68,1246,836,46,884,12257,5974,18230
SED55306,482,4224,4699,5603,1019,6621,2267,210,2474,2215,169,2378,869,66,940,348,30,378,11779,5720,17495
SED55405,381,6892,7275,5151,1394,6542,2529,632,3164,2120,331,2454,651,140,794,323,85,408,11159,9477,20633
SED55504,459,3261,3725,4655,456,5117,3133,133,3267,3194,88,3280,1294,38,1325,657,23,678,13390,3995,17385
SED55605,530,2875,3406,4732,485,5214,3028,148,3181,3020,105,3125,1310,53,1369,644,21,668,13271,3687,16959
SED55706,514,5128,5641,5767,1269,7034,2089,260,2354,1722,192,1915,790,92,882,331,46,378,11211,6993,18209
SED55802,366,3138,3501,4844,563,5412,3354,164,3520,3322,77,3406,1335,48,1383,844,23,870,14065,4028,18092
SED55905,324,4474,4799,4839,675,5516,2407,197,2605,2126,110,2240,729,48,777,291,23,317,10720,5534,16254
SED59797,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
