SED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SED51205,4419,1211,991,1357,1594,522,75,307,19438,9,0,5,0,0,0,0,0,0,26,46,8983,5730,5169,1348,1079,1455,1712,575,95,485,26628
SED51304,474,78,65,88,91,67,16,33,3081,6,4,0,0,0,0,0,0,0,10,22,7642,2135,1552,256,166,214,183,138,35,186,12503
SED51401,295,76,46,44,78,40,12,44,1240,18,0,0,0,0,0,0,0,0,316,326,3523,687,627,124,76,75,127,62,21,549,5871
SED51504,1365,371,413,522,716,301,47,102,7160,4,0,0,0,0,0,0,0,0,11,19,7216,2298,2261,496,527,661,897,453,81,273,15166
SED51605,1867,254,249,219,273,128,24,90,7944,5,0,0,0,0,0,0,0,0,11,16,7460,3421,3147,389,378,336,389,197,63,242,16021
SED51706,430,61,64,89,77,29,23,32,1651,4,0,0,0,0,0,0,0,0,9,18,4148,1234,926,99,87,127,111,69,34,211,7045
SED51804,600,108,157,184,314,128,26,96,3594,10,0,0,0,0,0,0,0,0,5,20,7020,1711,1538,251,331,362,568,332,127,288,12529
SED51902,792,86,57,55,92,71,17,54,3222,6,0,0,0,0,0,0,0,0,83,92,7133,2540,1581,140,103,127,140,92,36,336,12236
SED52006,510,49,58,82,83,28,24,27,1824,3,0,0,0,0,0,0,0,0,17,20,6314,2157,1730,163,152,164,194,74,53,255,11256
SED52102,1411,223,162,206,222,101,25,87,6010,4,0,3,6,0,0,0,0,0,8,24,6050,2978,2130,296,218,260,273,141,43,239,12625
SED52205,790,174,128,194,247,113,28,157,5290,12,0,0,0,0,0,5,0,0,30,57,8070,1895,1719,294,233,350,452,222,71,336,13648
SED52301,532,96,89,87,78,72,38,30,1999,16,0,0,0,0,0,0,0,0,16,30,2957,984,934,132,147,118,106,93,52,156,5679
SED52404,537,56,57,78,95,40,23,53,3017,8,0,0,0,0,0,0,0,0,8,23,8208,2387,2181,231,176,218,229,129,52,215,14027
SED52505,4495,688,607,537,613,289,75,175,16157,3,7,4,0,4,4,0,0,0,182,196,8816,7192,5972,834,757,692,719,362,111,481,25938
SED52604,726,145,148,175,275,134,23,88,4111,7,0,0,0,0,0,0,0,0,16,26,9829,3598,2472,344,312,309,450,227,71,300,17916
SED52702,228,30,23,24,22,13,9,30,1472,4,0,0,0,0,0,0,0,0,41,44,7765,1284,804,77,77,84,60,39,26,245,10458
SED52803,991,156,191,228,320,136,76,79,3767,12,11,4,0,0,0,0,0,0,28,56,3360,2307,1971,265,304,402,508,208,116,257,9712
SED52903,430,89,95,139,324,137,49,49,2141,11,0,0,0,0,0,3,6,0,16,39,3687,979,928,145,166,218,457,194,66,219,7065
SED53004,697,96,90,87,115,41,8,62,3357,3,0,0,0,0,0,0,0,0,10,11,7585,2357,1980,186,178,164,202,78,23,201,12958
SED53105,2093,267,267,218,306,119,33,112,7568,4,4,0,0,0,0,0,0,0,205,213,6407,4015,3452,428,357,325,427,170,58,500,16144
SED53204,2177,327,239,209,329,138,55,146,11044,7,5,6,0,0,0,0,0,0,10,26,9160,4439,3272,449,314,273,398,181,76,259,18819
SED53306,849,153,104,154,169,55,20,61,2996,14,0,3,0,0,0,0,0,0,25,44,6261,2443,2143,292,197,252,268,102,44,304,12303
SED53402,1447,355,313,371,433,168,25,123,7185,17,0,0,0,0,0,0,0,0,13,32,7671,2262,2282,470,404,481,545,217,36,279,14656
SED53502,1291,246,160,177,236,114,33,133,5449,14,7,0,0,0,4,0,0,0,42,63,6665,2449,2053,318,238,244,307,150,60,352,12837
SED53602,2682,666,595,690,831,276,58,423,15955,12,10,5,3,0,0,0,8,0,44,80,10245,3936,3140,726,664,772,891,318,77,616,21385
SED53701,289,46,52,88,163,63,103,42,1381,20,0,0,0,0,0,0,6,0,11,40,4295,842,666,97,76,126,213,90,117,278,6792
SED53802,2251,619,416,466,605,226,35,241,12086,11,6,0,0,0,0,0,0,0,15,32,9684,3062,3037,714,509,549,743,268,46,386,19000
SED53902,1352,304,285,386,507,198,43,166,7640,6,3,0,0,0,0,0,0,0,23,33,8428,2061,2141,409,371,486,608,262,72,347,15185
SED54006,390,73,88,116,152,37,12,101,1805,11,0,0,0,0,0,0,0,0,29,40,4818,1197,911,125,119,151,187,58,26,344,7937
SED54104,1414,408,480,571,865,497,73,103,7888,9,0,0,0,0,0,0,0,0,33,45,8476,2432,2490,590,711,761,1143,746,186,303,17835
SED54203,451,88,74,155,244,81,27,54,2343,9,8,5,0,0,0,0,0,0,10,39,4464,1353,1092,165,141,263,414,132,55,263,8343
SED54304,2149,629,825,1114,1523,739,223,288,12170,4,0,4,0,0,0,8,0,4,76,99,8681,3001,3460,850,1083,1440,2017,996,337,563,22435
SED54403,1413,253,243,266,385,159,44,101,5274,16,5,4,0,0,0,7,0,0,27,66,4834,3202,2788,379,372,413,635,256,106,342,13331
SED54505,3297,564,491,498,553,278,63,180,14168,8,0,4,0,0,0,0,0,0,9,21,9760,4857,4176,671,578,587,671,331,81,328,22039
SED54605,483,84,82,76,104,29,13,63,2376,18,0,6,0,0,0,0,0,0,16,46,8026,1750,1453,144,154,128,186,83,35,273,12229
SED54701,388,95,80,126,179,106,85,63,1918,19,5,0,0,0,0,0,0,0,22,39,2840,906,737,150,126,194,251,143,103,262,5704
SED54804,1081,212,223,246,281,133,19,77,4904,12,0,0,0,0,0,0,0,0,6,25,6634,2268,2449,352,372,418,528,255,72,271,13611
SED54905,1345,294,285,381,543,283,46,121,7088,7,0,0,0,0,0,0,0,0,14,26,7917,2014,2125,431,419,512,702,377,79,291,14866
SED55005,3537,504,512,464,629,214,68,223,14401,10,0,0,5,0,0,0,0,0,5,29,8593,6287,4488,623,609,549,720,271,85,402,22640
SED55102,954,132,89,92,135,58,11,83,4481,9,3,3,0,0,0,0,0,0,380,389,6501,3433,2004,239,170,171,227,99,41,631,13512
SED55202,3311,527,444,476,722,235,72,232,12305,13,0,0,0,0,0,0,0,0,12,28,8377,4395,3977,616,515,539,795,273,89,435,20017
SED55306,438,81,67,74,103,38,27,32,1676,6,0,0,0,0,0,3,0,0,20,34,5256,1184,1039,152,140,126,190,99,45,269,8512
SED55405,2495,739,866,1211,1501,643,97,254,12260,8,0,3,0,3,3,4,0,0,77,98,7011,2926,3376,906,1019,1390,1756,736,139,541,19799
SED55504,1268,175,164,183,185,104,27,81,5602,17,3,0,0,0,0,0,0,0,43,67,8629,5437,3364,369,314,302,308,173,40,328,19270
SED55605,433,68,80,62,70,42,25,39,2082,8,0,3,0,0,0,0,0,0,13,26,6554,3359,2730,229,195,194,175,101,59,244,13836
SED55706,362,60,84,82,180,78,11,129,1846,15,0,0,0,0,0,0,0,0,35,55,5973,966,820,117,138,134,280,113,27,432,8994
SED55802,3010,399,358,324,425,175,51,161,11600,3,10,4,0,0,0,0,0,0,58,78,7957,5007,4254,509,464,402,516,216,63,374,19747
SED55905,1010,170,173,170,218,70,30,104,5559,6,0,0,0,0,0,0,0,0,8,25,7244,1855,1786,266,254,239,305,124,43,283,12400
SED59797,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
