SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED51104,17,72,791,6534,10000,902,109,808,19232,0,27,346,347,16,0,0,53,796,0,24,63,44,0,0,0,8,145,0,48,411,399,19,0,0,64,946,0,8,29,10,0,0,0,5,50,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,5,0,0,11,0,17,31,10,4,5,0,3,71,0,0,0,0,0,0,0,4,12,0,0,0,8,0,0,0,11,18,23,139,1241,6948,10026,901,112,886,20275
SED51205,17,88,619,7244,5792,737,153,637,15292,3,150,705,1795,199,12,0,225,3089,0,60,199,239,30,3,0,44,572,7,208,906,2032,224,18,0,263,3665,0,52,185,185,15,0,0,38,473,0,40,116,28,0,0,0,12,200,0,18,106,0,0,0,0,27,154,0,41,61,0,0,0,0,13,111,0,7,13,4,3,0,0,3,32,0,157,478,224,19,0,0,96,981,4,12,15,4,0,0,0,23,58,0,12,16,8,5,0,0,6,46,28,475,2034,9515,6036,758,155,1029,20034
SED51304,7,33,229,3368,7414,1501,210,188,12952,3,55,420,600,93,14,0,63,1238,0,4,85,264,138,17,0,14,529,3,61,509,860,233,29,3,74,1766,26,54,73,59,0,0,0,59,276,0,10,9,7,0,0,0,4,35,0,8,98,11,0,0,0,3,115,0,0,0,0,0,0,0,0,0,0,7,8,3,0,0,0,3,16,30,82,183,82,0,0,0,65,445,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,44,168,923,4313,7651,1535,215,330,15169
SED51401,57,377,1940,6001,3958,669,201,1505,14722,6,87,200,94,10,0,0,93,490,0,7,7,0,9,0,0,5,26,3,97,210,93,17,0,0,99,519,0,11,27,4,3,0,0,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,8,0,10,26,4,3,0,0,11,61,41,84,44,16,14,0,4,59,266,3,21,17,29,28,3,8,16,131,110,599,2233,6150,4017,676,219,1693,15701
SED51504,8,41,593,3666,4774,1291,209,165,10735,0,79,561,818,142,16,0,65,1682,0,78,339,673,150,19,0,40,1296,3,150,903,1493,290,28,4,107,2977,12,154,873,115,8,0,0,62,1219,6,230,805,116,0,0,0,53,1214,15,177,135,11,0,0,0,10,352,0,5,139,21,0,0,0,10,180,0,4,0,3,0,0,0,0,16,24,574,1951,265,8,0,5,137,2971,0,0,0,0,3,0,0,4,11,0,0,3,0,3,0,0,0,9,37,765,3452,5423,5078,1324,219,412,16706
SED51605,7,24,211,3893,9283,894,116,419,14849,0,54,200,557,39,0,0,45,898,0,33,39,64,19,5,0,19,171,0,92,235,621,55,6,0,62,1069,0,77,182,18,0,0,0,19,298,0,105,211,25,0,0,0,20,371,0,118,342,14,0,0,0,37,503,0,53,109,0,0,0,0,3,163,0,3,5,0,0,0,0,0,11,0,354,847,63,0,0,0,82,1349,11,58,122,31,0,0,0,62,286,0,3,0,4,0,0,0,0,10,21,535,1417,4613,9342,900,116,624,17565
SED51706,33,128,1040,5303,7694,780,135,751,15858,0,49,298,298,35,0,4,59,749,0,0,3,6,0,0,0,0,13,0,50,297,300,39,3,4,59,759,0,17,87,62,3,0,0,20,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,15,87,62,9,0,0,20,187,36,134,56,16,8,3,0,138,388,4,8,3,7,9,0,0,6,41,66,334,1475,5688,7759,788,133,975,17227
SED51804,8,56,747,3411,4163,1387,260,248,10286,3,119,443,582,140,17,0,60,1367,8,152,395,815,167,22,0,72,1630,12,271,841,1396,304,37,0,130,2992,7,132,484,95,7,0,0,59,776,35,443,438,123,12,0,0,79,1134,20,373,990,316,20,0,0,119,1845,0,18,229,38,7,0,0,11,304,0,4,0,0,0,0,0,3,9,61,967,2147,576,42,3,0,270,4057,0,0,6,0,3,0,0,14,22,0,3,4,6,0,0,0,5,15,83,1298,3741,5396,4513,1426,268,661,17376
SED51902,19,79,482,3871,9008,1392,332,556,15732,0,35,38,76,15,3,0,13,175,0,0,0,0,0,0,0,0,3,0,35,38,76,13,3,0,16,176,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,3,5,0,0,7,35,0,7,26,3,5,0,0,10,53,8,13,48,36,7,0,0,14,131,0,4,5,7,13,0,0,0,30,22,142,602,3996,9041,1403,333,584,16125
SED52006,17,137,791,4663,8340,865,127,416,15348,0,142,287,467,22,0,3,51,981,0,4,87,303,24,5,0,14,439,0,141,374,781,48,6,3,68,1423,0,0,23,7,0,0,0,0,34,0,0,22,33,4,0,0,0,57,0,0,23,32,0,0,0,6,59,0,0,20,41,0,0,0,7,65,0,0,6,0,4,0,0,3,10,0,0,87,119,5,0,0,12,226,13,62,24,6,0,0,0,27,136,0,3,0,0,0,0,0,5,11,35,351,1276,5561,8399,868,126,528,17142
SED52102,14,83,542,5578,6959,873,156,583,14797,3,61,176,338,31,4,0,44,654,0,12,5,22,4,0,0,4,50,3,72,182,362,38,4,0,43,696,0,9,14,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,0,0,0,18,0,18,19,3,3,0,0,3,48,34,116,84,21,13,3,0,105,388,0,3,6,0,4,0,0,4,19,49,287,837,5962,7022,884,164,741,15954
SED52205,20,248,1508,6173,3150,439,80,441,12060,7,314,1132,967,105,9,0,183,2715,3,154,462,563,117,7,7,92,1408,16,460,1596,1526,226,16,6,274,4124,4,127,280,39,5,3,3,45,501,7,178,413,80,0,0,0,69,749,31,424,558,125,3,0,0,105,1251,0,44,122,25,0,0,0,12,204,3,19,9,11,6,0,5,9,63,46,791,1378,281,23,5,11,239,2777,31,87,55,18,3,0,0,126,321,4,10,16,18,5,0,0,15,75,116,1591,4554,8015,3405,467,105,1095,19350
SED52301,26,129,841,4996,5473,620,120,904,13110,4,119,668,397,31,3,0,184,1410,0,14,93,104,84,13,0,28,337,8,130,769,501,114,21,4,206,1747,0,66,95,48,6,0,0,44,250,0,4,16,0,0,0,0,4,15,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,13,0,74,113,44,6,0,0,44,285,85,166,31,22,16,0,0,84,408,8,35,16,8,13,0,0,13,87,129,535,1766,5576,5607,644,125,1262,15645
SED52404,8,41,217,5227,7093,1239,178,263,14265,0,26,176,788,50,3,0,32,1076,0,13,51,96,34,8,0,13,215,0,39,227,884,81,12,0,46,1289,0,8,53,24,0,0,0,5,86,0,0,4,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,4,0,5,3,32,0,17,73,32,4,0,5,6,138,0,0,0,0,0,0,0,27,30,0,0,3,0,0,0,0,0,6,13,91,518,6147,7176,1249,185,348,15729
SED52505,10,34,145,4004,11446,1300,232,340,17509,0,5,112,364,139,14,0,15,642,0,0,4,72,8,4,0,6,88,0,5,115,437,147,14,0,13,730,0,6,25,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,3,21,0,15,34,0,5,0,0,6,61,0,0,0,0,4,0,0,7,9,0,0,0,3,8,0,0,0,8,8,48,288,4449,11604,1315,237,367,18324
SED52604,13,63,192,3476,7295,1343,201,313,12893,0,70,109,348,72,4,3,43,649,8,75,110,308,109,24,13,40,675,8,147,218,656,177,24,11,83,1321,0,8,26,24,5,0,0,0,68,0,56,197,58,5,0,0,35,358,4,100,247,124,0,0,0,42,518,0,0,0,0,0,0,0,0,0,0,4,11,0,3,0,0,0,23,4,174,475,208,19,0,0,74,964,0,5,5,12,5,0,0,80,107,0,3,4,3,0,0,0,16,29,21,392,896,4354,7496,1378,218,570,15318
SED52702,16,118,743,4441,6211,1533,345,322,13726,0,109,207,136,7,0,0,43,504,0,0,24,16,0,0,0,0,46,0,106,225,152,9,0,0,44,549,0,3,31,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,3,4,0,28,0,10,37,8,6,3,4,10,77,6,7,3,13,13,12,5,11,71,0,3,10,5,4,3,0,0,26,28,246,1018,4617,6249,1548,353,392,14440
SED52803,34,205,719,4477,3731,555,113,1073,10891,5,255,601,583,48,0,4,252,1749,0,9,74,114,40,4,0,55,297,7,260,677,698,90,4,4,304,2045,0,59,84,20,3,0,0,52,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,59,91,24,3,0,0,52,229,119,227,31,28,9,7,0,487,912,39,60,17,14,18,3,16,50,225,198,813,1530,5241,3853,566,137,1954,14293
SED52903,96,389,1115,3780,2320,290,61,1327,9386,26,191,408,236,41,0,0,246,1155,9,35,135,107,14,0,0,32,337,36,229,543,344,55,3,0,281,1493,0,33,148,63,4,0,0,56,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,32,149,63,4,0,0,58,315,1463,1963,203,169,162,33,15,882,4902,132,203,63,52,45,10,30,210,743,1730,2824,2077,4405,2590,336,115,2760,16832
SED53004,6,38,172,4378,7880,1105,134,243,13959,0,45,375,850,60,9,0,67,1404,0,5,50,62,17,0,0,9,143,0,49,427,913,77,9,0,71,1545,0,0,21,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,21,0,8,27,0,0,0,0,3,36,9,24,54,4,4,0,0,17,113,0,0,0,4,0,0,0,0,5,18,116,685,5299,7959,1109,137,337,15662
SED53105,21,107,565,5605,8080,738,150,664,15936,0,66,170,486,57,0,0,42,820,0,15,111,134,4,0,0,20,279,0,81,285,623,57,0,0,60,1103,0,56,184,52,0,0,0,55,344,0,0,90,39,0,0,0,17,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,17,0,57,275,91,0,0,0,77,510,4,0,0,3,0,0,0,51,60,0,3,0,6,0,0,0,7,18,27,250,1128,6326,8143,741,147,860,17626
SED53204,11,27,192,3053,10063,1015,119,341,14812,0,36,136,714,84,9,4,48,1027,0,4,9,71,24,0,0,7,116,0,41,145,784,114,11,4,57,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,15,27,10,0,0,0,0,11,58,3,0,0,0,6,0,0,0,13,26,93,345,3837,10180,1021,119,410,16033
SED53306,13,185,1071,4980,7013,667,108,698,14735,4,245,1149,1012,46,8,5,183,2648,5,45,205,347,43,6,0,33,690,7,295,1357,1355,89,11,5,218,3335,0,100,192,84,0,0,0,50,429,0,4,40,87,9,0,0,10,150,0,7,44,84,0,0,0,10,152,0,0,29,63,0,0,0,4,104,0,10,12,3,3,0,0,0,26,0,117,312,328,16,4,0,74,859,6,30,48,4,0,0,0,64,148,0,8,14,3,5,0,0,7,36,38,626,2803,6673,7120,678,109,1066,19118
SED53402,9,125,1476,5832,3234,418,62,344,11504,5,182,838,855,105,9,3,122,2107,0,184,821,858,138,13,3,108,2125,3,367,1658,1712,249,18,3,227,4233,10,299,1039,235,3,0,0,101,1688,3,203,518,46,0,0,0,51,828,9,254,197,0,0,0,4,46,508,0,141,111,19,0,0,0,17,281,0,0,4,0,0,0,0,0,9,19,906,1867,300,8,0,3,207,3309,4,5,0,0,0,0,0,20,25,0,0,0,7,3,0,0,9,24,35,1397,5009,7849,3498,436,74,808,19103
SED53502,24,130,955,5832,6537,785,144,558,14961,0,256,687,1156,36,0,4,179,2319,0,46,237,163,13,0,0,62,519,0,301,925,1317,51,0,4,239,2839,0,69,140,29,0,0,0,25,264,0,47,147,19,0,0,0,19,239,0,24,64,8,0,0,0,16,110,0,17,33,3,0,0,0,12,63,0,5,4,0,0,0,0,0,12,6,162,390,65,4,0,0,67,694,38,97,82,13,3,0,0,284,515,4,0,3,11,6,4,0,40,68,67,691,2343,7236,6604,789,149,1196,19079
SED53602,13,70,404,7541,4364,679,136,819,14022,7,403,661,1503,80,11,3,249,2910,0,46,61,285,12,0,0,41,446,6,448,724,1788,87,11,6,287,3356,0,54,157,48,0,0,0,15,282,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,20,0,54,182,59,0,0,0,14,314,0,0,0,0,0,0,0,39,39,0,3,0,9,0,0,0,4,18,21,579,1311,9393,4452,688,140,1173,17753
SED53701,94,387,1444,5227,4810,860,259,1471,14562,4,75,141,84,14,0,5,68,398,0,0,3,31,33,10,0,10,94,6,82,145,117,51,13,9,83,497,3,26,32,22,8,0,0,29,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,34,24,9,0,0,29,117,168,251,69,57,41,12,5,258,856,18,40,27,39,18,8,0,33,186,294,779,1719,5463,4928,891,279,1871,16212
