SED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SED52505,21052,21783,42832,11636,6760,18390,2947,6702,9652,659,841,1499,637,713,1347,15873,15014,30888,4720,6405,11124,4,4.7,4.4,75.4,68.9,72.1,72.4,65.7,69,1763,1670,3433,389,732,1119,4339,5630,9967,2201,2484,4685,4091,2266,6361,227,320,548,248,420,669,4567,3007,7572,22450,23525,45975,3409,3679,7089,13521,14207,27729,10359,11145,21504
SED52604,16386,17177,33562,8066,4498,12565,2421,5462,7885,515,614,1136,621,460,1082,11624,11039,22660,4038,5439,9484,5.3,4.2,4.8,71,64.3,67.5,67.2,61.6,64.3,885,760,1648,293,578,874,2442,3315,5754,1664,2080,3743,4299,2068,6364,199,294,491,259,459,718,4753,2821,7575,16255,16775,33034,2737,2784,5516,11318,11835,23152,6791,6918,13707
SED52702,14957,16129,31085,6809,3852,10661,2211,4823,7031,536,529,1065,426,344,770,9977,9541,19523,4582,6139,10717,4.3,3.6,3.9,66.7,59.2,62.8,63.9,57,60.3,752,765,1514,363,648,1007,2243,3320,5565,1533,2034,3570,4004,1869,5874,176,280,456,224,429,650,4401,2576,6974,16161,16845,33003,1766,1967,3737,12304,12752,25057,4877,5341,10216
SED52803,22816,14709,37528,11267,5219,16484,1408,2802,4210,944,573,1517,422,294,718,14038,8895,22932,2792,3486,6272,3,3.3,3.1,61.5,60.5,61.1,59.7,58.4,59.2,530,400,929,153,293,443,1493,1661,3156,979,1083,2065,5895,1904,7802,284,354,640,204,265,466,6380,2526,8908,15864,12211,28073,4030,3214,7245,9905,7254,17156,8866,7140,16005
SED52903,20537,20809,41346,6555,5177,11733,1530,2780,4316,1664,1745,3409,588,452,1034,10340,10154,20493,7017,7595,14613,5.7,4.5,5.1,50.4,48.8,49.6,47.5,46.6,47.1,597,832,1427,277,682,962,1980,3341,5323,1399,1796,3198,4728,1951,6677,241,427,662,288,399,682,5253,2772,8022,17308,17294,34603,3755,4275,8030,11614,11408,23025,8182,8919,17098
SED53004,15734,17181,32913,7621,4365,11988,2363,5354,7717,474,599,1076,537,412,954,10995,10730,21728,4424,6120,10542,4.9,3.9,4.4,69.9,62.5,66,66.5,60.1,63.1,732,730,1460,335,687,1019,2551,3512,6065,1694,1955,3657,4212,1957,6168,155,263,421,212,497,704,4578,2713,7292,17235,18297,35529,1861,2045,3909,12751,13343,26092,5325,5995,11322
SED53105,18598,18522,37117,9149,5073,14228,2114,5334,7443,688,735,1421,832,779,1617,12781,11924,24710,5041,5874,10919,6.5,6.5,6.5,68.7,64.4,66.6,64.2,60.2,62.2,595,698,1296,186,441,628,1979,2986,4961,1397,1958,3347,4802,2849,7655,333,473,810,223,426,654,5362,3755,9120,18975,19463,38434,3033,3302,6335,12156,12038,24196,8151,9129,17286
SED53204,17601,19092,36690,9793,5620,15414,2605,6085,8688,609,714,1320,623,624,1246,13630,13038,26675,3555,5629,9183,4.6,4.8,4.7,77.5,68.3,72.7,73.9,65,69.3,748,741,1489,208,502,713,2539,3560,6098,1674,2141,3820,4248,2422,6666,216,370,586,238,479,717,4702,3263,7972,20136,21162,41297,2269,2467,4742,13853,14367,28216,7082,7872,14957
SED53306,16568,19427,35993,6094,3518,9609,1932,4629,6566,686,614,1297,786,665,1453,9506,9431,18934,6033,8767,14804,8.3,7.1,7.7,57.4,48.5,52.6,52.6,45.1,48.6,297,323,618,137,371,510,1043,1984,3028,1158,1926,3089,4818,3054,7871,265,473,736,230,466,695,5311,3992,9304,16232,18512,34741,3088,3584,6676,10087,11231,21320,8097,9678,17774
SED53402,17237,18274,35512,8687,5923,14610,2718,5080,7798,517,661,1172,611,583,1194,12529,12244,24776,3956,5345,9304,4.9,4.8,4.8,72.7,67,69.8,69.1,63.8,66.4,1319,1572,2888,495,857,1350,3974,4789,8764,1735,1889,3617,2989,1695,4686,180,267,451,191,380,572,3361,2339,5705,16619,17188,33813,3081,3319,6392,10261,10628,20890,8370,8891,17256
SED53502,18363,19517,37886,8618,5113,13729,2259,5060,7319,651,710,1356,718,617,1336,12237,11491,23733,4908,6799,11705,5.9,5.4,5.6,66.6,58.9,62.6,62.7,55.7,59.1,539,629,1167,248,484,730,1745,2683,4425,1399,2064,3461,4874,2747,7619,308,424,739,248,479,726,5432,3648,9079,18086,18767,36853,2954,3257,6215,11635,11960,23594,8131,8846,16976
SED53602,18771,19294,38063,7476,4123,11595,3007,4687,7696,593,605,1197,933,851,1782,12000,10262,22261,5552,7783,13337,7.8,8.3,8,63.9,53.2,58.5,59,48.8,53.8,565,522,1088,129,298,425,1815,2306,4123,1328,1660,2993,3739,2244,5986,320,406,728,273,465,736,4332,3120,7457,19406,19600,39008,2578,2506,5079,13090,13299,26391,7492,7516,15012
SED53701,17035,15641,32668,7015,3550,10564,1634,3725,5362,799,607,1404,422,302,726,9875,8181,18052,4932,5764,10697,4.3,3.7,4,57.9,52.3,55.3,55.5,50.4,53,213,282,497,108,339,446,927,1734,2660,966,1522,2489,4482,1904,6384,182,335,516,233,329,565,4895,2566,7467,15074,14093,29165,2348,2360,4709,11015,10087,21099,5643,5636,11280
SED53802,17970,19106,37073,8237,5110,13352,2911,5037,7953,502,640,1145,716,656,1373,12364,11440,23811,4878,6938,11815,5.8,5.7,5.8,68.8,59.9,64.2,64.9,56.5,60.5,943,1022,1969,278,538,819,2960,3600,6560,1795,2051,3849,3717,2015,5735,217,312,530,223,426,651,4158,2752,6917,18112,18814,36925,2727,2801,5524,11766,12335,24099,7899,8145,16047
SED53902,16753,18698,35449,8013,5353,13367,2801,5052,7851,445,601,1047,570,513,1084,11828,11523,23351,4243,6444,10691,4.8,4.5,4.6,70.6,61.6,65.9,67.2,58.9,62.8,1407,1472,2882,455,777,1232,4109,4813,8927,1621,1988,3610,2628,1432,4054,126,270,399,197,396,600,2951,2100,5054,15785,17417,33201,3041,3297,6338,9945,11014,20961,7980,8831,16811
SED54006,16299,17203,33502,6946,3530,10474,1749,4505,6252,749,649,1396,563,541,1110,10008,9232,19241,5357,7071,12422,5.7,5.9,5.8,61.4,53.7,57.4,57.9,50.5,54.1,181,223,406,99,320,422,865,1702,2566,960,1568,2529,5154,2993,8155,263,482,739,238,419,657,5653,3899,9550,16479,16857,33334,2661,2902,5562,11305,11427,22732,6763,7375,14147
SED54104,19296,21184,40475,8473,5603,14072,3311,5878,9190,475,704,1180,631,594,1226,12896,12777,25666,5325,7289,12617,4.9,4.7,4.8,66.8,60.3,63.4,63.6,57.5,60.4,3632,3136,6773,676,1136,1809,6133,6968,13102,1312,1866,3186,1391,884,2274,152,187,339,151,345,493,1697,1412,3107,17478,18645,36124,4269,4760,9025,10049,11028,21078,10808,11505,22315
SED54203,23642,15187,38828,9246,3696,12944,1398,2092,3484,1913,1415,3322,310,230,545,12870,7435,20299,4913,5219,10132,2.4,3.1,2.7,54.4,48.9,52.3,53.1,47.4,50.9,506,436,942,200,338,535,1795,2107,3896,1516,1361,2876,6451,1729,8180,236,288,527,230,297,527,6921,2316,9233,16366,11847,28214,3584,2784,6362,10928,7765,18695,8250,6157,14403
SED54304,25480,23634,49111,12885,8441,21332,3619,5948,9575,811,873,1688,867,719,1585,18183,15989,34171,4332,5685,10014,4.8,4.5,4.6,71.4,67.6,69.6,68,64.6,66.3,2929,2800,5727,720,1032,1758,6986,7198,14183,2242,2344,4587,3142,1611,4757,201,248,450,233,343,576,3580,2206,5787,19007,18130,37143,6288,6197,12488,9500,9222,18718,14746,14161,28909
SED54403,36469,19366,55841,18279,7205,25486,1909,3155,5066,1767,1056,2820,479,405,888,22437,11823,34262,2975,3890,6869,2.1,3.4,2.6,61.5,61,61.4,60.2,59,59.8,719,558,1280,269,442,710,2320,2660,4978,2136,1696,3833,10522,2646,13169,439,513,957,320,328,649,11285,3486,14771,23220,14802,38026,6663,5255,11927,12368,6819,19185,15796,11825,27618
SED54505,17114,18726,35836,7822,4488,12308,2752,5421,8168,383,436,818,626,589,1213,11582,10926,22510,5213,7418,12629,5.4,5.4,5.4,67.7,58.4,62.8,64,55.2,59.4,2137,1789,3922,448,740,1190,4309,5057,9365,1583,1934,3518,2518,1191,3710,165,215,385,191,386,572,2878,1794,4670,18617,19711,38327,2751,2847,5603,12526,13385,25913,7998,8371,16360
SED54605,16505,17073,33576,6540,3494,10039,1683,3924,5609,612,561,1170,819,646,1464,9653,8630,18283,5485,7356,12840,8.5,7.5,8,58.5,50.5,54.4,53.5,46.8,50.1,290,353,647,141,345,482,1064,1743,2810,1293,1711,3003,5033,2646,7685,269,402,674,258,400,654,5559,3451,9013,15354,15962,31323,2717,2843,5557,10362,10706,21069,6839,7270,14106
SED54701,15897,14679,30575,7832,3653,11481,1578,3781,5357,645,577,1225,342,252,595,10395,8262,18656,3707,4947,8661,3.3,3.1,3.2,65.4,56.3,61,63.2,54.5,59.1,181,214,394,107,294,403,996,1927,2932,806,1256,2061,3837,1856,5696,222,343,564,175,263,443,4233,2470,6699,14552,13653,28202,2561,2447,5014,10200,9359,19556,5939,5844,11781
SED54804,17082,19766,36850,9032,6232,15268,2420,5617,8042,559,757,1321,498,451,958,12520,13066,25584,3738,5785,9526,4,3.5,3.7,73.3,66.1,69.4,70.4,63.8,66.8,1321,1490,2813,477,906,1378,4094,5511,9606,1726,2219,3943,3284,1631,4917,137,208,346,214,433,648,3639,2269,5913,16247,18094,34338,3447,4064,7512,9609,10660,20268,8906,10402,19310
SED54905,17392,18886,36280,8125,5453,13578,2923,5160,8081,475,569,1045,598,491,1090,12118,11675,23789,4525,6320,10844,4.9,4.2,4.6,69.7,61.8,65.6,66.2,59.2,62.6,2096,1885,3981,535,878,1421,4805,5368,10171,1545,1867,3418,2165,1276,3443,146,199,339,184,346,527,2493,1825,4317,16219,17021,33239,3508,3712,7221,9650,10415,20064,9145,9396,18546
SED55005,18704,19938,38645,9682,5341,15027,2748,5533,8278,615,623,1238,807,812,1618,13854,12309,26163,4250,6983,11226,5.8,6.6,6.2,74.1,61.7,67.7,69.7,57.7,63.5,1165,1131,2292,240,463,706,2684,3690,6370,1660,1944,3604,4060,2396,6453,266,382,649,211,402,615,4534,3181,7715,20890,21750,42640,2728,2859,5588,14341,14676,29024,7772,8423,16201
SED55102,18735,18378,37111,8889,5285,14170,2142,5424,7565,788,739,1521,589,593,1182,12402,12036,24440,5568,5580,11154,4.7,4.9,4.8,66.2,65.5,65.9,63.1,62.3,62.7,406,534,939,180,426,604,1476,2440,3913,1473,2090,3565,5326,3080,8406,270,457,725,229,463,695,5829,4000,9828,18728,19571,38292,2709,2920,5628,12860,13335,26194,7068,7855,14929
SED55202,18600,19515,38114,8099,4213,12317,2625,4690,7317,616,560,1176,929,844,1773,12278,10304,22585,5266,8139,13408,7.6,8.2,7.9,66,52.8,59.3,61,48.5,54.6,649,684,1335,163,328,494,1837,2625,4459,1526,1815,3348,4454,2504,6956,293,431,724,255,441,697,4999,3378,8375,19313,19915,39226,2653,2779,5431,13013,13383,26401,7563,7942,15509
SED55306,16452,18557,35010,6780,3845,10624,2571,5834,8410,750,728,1480,356,301,654,10456,10715,21171,4965,6768,11736,3.4,2.8,3.1,63.6,57.7,60.5,61.4,56.1,58.6,400,481,887,220,575,789,1807,3091,4904,1397,2145,3540,4750,2588,7339,243,406,648,251,484,737,5247,3476,8724,16142,17563,33711,3201,3586,6781,10357,11077,21439,7964,9062,17030
SED55405,20573,20220,40802,9395,5889,15282,3812,5662,9469,618,690,1313,849,705,1552,14673,12954,27622,4503,5959,10470,5.8,5.4,5.6,71.3,64,67.7,67.2,60.6,63.9,2008,1972,3975,451,746,1197,4652,5139,9788,1875,1997,3876,3134,1778,4917,295,319,611,209,316,522,3638,2411,6046,17373,17374,34748,4984,4492,9474,9239,9518,18759,11964,11192,23155
SED55504,17712,19348,37059,9372,5319,14684,2482,6087,8565,734,750,1483,643,653,1299,13229,12799,26027,3959,5954,9917,4.9,5.1,5,74.7,66.2,70.2,71.1,62.8,66.7,501,561,1062,191,451,644,1723,3047,4770,1534,2328,3861,5341,2925,8270,253,414,666,266,512,775,5867,3850,9710,19607,20917,40524,2710,2952,5661,13566,14307,27874,7329,8085,15418
SED55605,17014,18769,35781,8791,4760,13547,2082,5696,7770,811,727,1540,789,777,1565,12470,11948,24419,3940,6190,10132,6.3,6.5,6.4,73.3,63.7,68.2,68.6,59.5,63.9,306,336,643,169,407,574,1073,2237,3315,1472,2111,3574,5715,3615,9333,324,477,805,236,488,724,6281,4581,10863,18821,19846,38667,3011,3353,6363,12510,13016,25523,7782,8895,16680
SED55706,17385,17945,35331,6781,3554,10334,2605,5241,7846,796,762,1561,382,338,722,10566,9888,20458,5295,6593,11891,3.6,3.4,3.5,60.8,55.1,57.9,58.6,53.2,55.9,490,556,1046,216,521,738,1803,2841,4640,1238,2042,3283,4409,2374,6787,258,400,658,286,410,694,4951,3186,8142,16263,16543,32808,2871,3065,5936,11026,11047,22072,7139,7692,14827
