SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SED51104,600,554,1153,2211,2063,4275,306,311,618,578,575,1164,3103,2968,6074,1421,1270,2686,316,325,637,453,420,871,2193,2013,4206,137,159,297,64,180,243,198,123,320,189,379,564,3,3,3,586,840,1425,286,444,728,126,260,391,72,114,183,177,347,524,0,0,4,661,1170,1833,1250,2015,3262,94,97,193,149,279,434,0,0,0,247,382,629,1045,1159,2209,72,39,108,8509,9130,17640
SED51205,507,458,967,1295,1212,2510,364,347,712,365,366,728,2028,1926,3957,918,807,1730,298,246,542,246,254,502,1463,1310,2771,277,190,470,271,351,617,154,79,234,230,386,613,3,8,9,932,1010,1937,722,810,1535,431,547,974,104,118,219,197,281,478,0,5,10,1454,1763,3216,2397,2781,5174,184,186,374,138,254,393,4,4,7,329,440,773,1293,1240,2535,87,85,173,8108,8237,16349
SED51304,396,379,773,1552,1502,3048,360,319,676,220,234,452,2135,2052,4186,1010,929,1938,361,356,719,431,447,881,1805,1740,3541,65,65,133,42,48,89,120,36,158,79,138,220,0,0,0,302,295,602,500,575,1072,106,119,228,75,95,172,164,279,442,0,0,3,846,1072,1926,1154,1367,2521,22,33,56,81,140,221,0,0,0,104,172,274,323,388,710,33,38,75,5947,6137,12084
SED51401,239,231,470,1095,1082,2179,240,230,479,63,61,120,1398,1374,2775,730,716,1447,117,126,246,57,65,122,906,913,1820,29,32,56,22,36,58,93,62,158,65,190,259,4,0,6,208,325,534,30,57,82,23,49,75,17,32,49,64,136,198,0,0,0,127,275,400,334,600,937,29,38,72,46,82,125,0,0,3,83,117,201,2776,1894,4669,22,17,38,5765,5145,10913
SED51504,405,367,776,1519,1426,2945,395,330,724,280,207,494,2196,1970,4168,925,850,1772,477,463,941,764,478,1244,2171,1792,3957,84,92,180,88,123,216,79,34,111,113,173,286,0,0,0,365,422,790,746,812,1553,252,311,561,106,134,233,243,392,632,0,3,3,1343,1644,2986,1711,2066,3778,54,67,120,96,139,237,0,9,5,150,213,367,410,451,861,51,54,111,7094,6917,14016
SED51605,509,459,965,1594,1564,3152,518,537,1057,152,149,298,2269,2248,4524,909,846,1751,687,655,1337,264,236,495,1853,1739,3590,103,95,200,76,137,211,188,114,295,159,286,441,0,0,3,519,629,1153,421,656,1074,152,236,390,84,134,215,219,355,575,5,4,10,884,1379,2270,1403,2015,3422,53,49,99,128,172,295,3,4,7,179,222,402,740,743,1487,49,43,92,7010,7471,14484
SED51706,388,374,760,1393,1242,2639,388,364,755,214,224,437,2001,1830,3831,970,950,1922,293,322,613,236,246,480,1504,1522,3028,80,71,155,27,93,123,170,79,257,109,255,363,4,0,8,396,503,894,41,103,145,16,108,121,10,40,53,89,213,298,0,0,3,164,463,622,554,970,1526,43,57,97,70,128,192,3,0,6,113,187,294,1221,1125,2351,25,43,72,5803,6059,11860
SED51804,334,307,634,1049,949,2004,169,247,418,424,401,825,1646,1599,3248,474,416,892,292,395,689,1191,1208,2401,1960,2020,3982,47,43,91,41,58,103,54,30,89,88,154,240,0,4,5,233,296,525,894,1026,1916,229,298,526,116,110,222,262,381,642,0,4,4,1493,1810,3306,1734,2106,3834,33,26,64,73,129,204,0,3,9,107,162,274,770,923,1693,103,89,195,6652,7208,13858
SED51902,491,461,954,1630,1552,3185,350,310,662,454,500,955,2441,2374,4814,1130,1038,2162,207,201,413,465,445,911,1801,1690,3491,88,83,176,33,101,134,200,117,319,157,279,432,4,0,0,476,585,1061,205,376,579,74,162,234,64,84,145,109,257,367,0,0,0,455,880,1331,941,1463,2402,67,70,139,94,186,280,0,5,0,165,254,422,1068,769,1839,22,39,63,6929,7047,13978
SED52006,278,299,579,1017,1074,2093,320,330,654,234,206,439,1570,1616,3190,740,683,1425,391,377,767,267,264,530,1392,1328,2722,69,79,149,33,101,129,158,74,230,98,219,317,6,0,6,353,475,831,153,308,463,40,128,169,27,61,88,86,200,290,0,0,4,318,701,1016,674,1181,1852,38,52,87,97,150,251,0,0,0,135,204,339,629,726,1357,21,26,49,4706,5383,10090
SED52102,411,367,779,1507,1381,2885,200,186,389,233,252,483,1947,1823,3774,975,962,1933,256,227,491,197,211,413,1437,1405,2843,95,87,183,70,134,200,160,108,266,143,240,376,0,4,8,463,565,1033,246,359,608,98,163,263,46,82,122,111,228,335,0,0,0,500,831,1332,963,1401,2363,61,61,123,98,148,244,8,0,7,166,205,371,859,847,1702,30,16,43,5811,6065,11879
SED52205,339,325,666,908,872,1782,210,238,455,134,154,291,1258,1278,2533,573,538,1110,358,346,703,167,196,365,1105,1082,2178,57,59,120,67,109,179,100,77,174,140,219,358,0,3,5,362,464,834,383,573,959,216,363,584,91,105,197,239,479,713,3,0,8,937,1521,2455,1302,1989,3289,41,24,66,118,182,302,4,0,4,168,213,372,1479,1325,2801,97,95,195,5743,6295,12039
SED52301,345,332,678,958,823,1778,441,475,915,240,256,498,1645,1556,3201,715,656,1368,407,469,877,186,198,386,1312,1327,2643,59,100,161,41,82,117,150,121,279,143,324,466,0,5,0,397,633,1025,29,96,123,22,104,129,19,43,60,85,242,330,3,0,3,161,477,643,558,1111,1671,29,39,68,77,119,194,5,0,3,108,155,265,1832,1681,3518,26,21,47,5826,6191,12020
SED52404,407,352,757,1185,1090,2275,354,365,718,309,302,608,1850,1758,3611,853,766,1617,297,292,593,461,458,923,1616,1514,3135,80,73,155,36,79,116,147,46,195,112,197,313,0,0,0,378,396,773,425,535,953,113,164,283,68,83,157,151,283,431,0,0,6,760,1071,1827,1138,1462,2600,29,48,69,113,180,295,0,0,0,147,223,367,445,460,906,27,26,49,5622,5797,11421
SED52505,720,656,1377,2353,2331,4682,334,304,633,342,365,703,3027,3008,6032,1422,1340,2764,301,304,605,403,442,847,2130,2085,4214,118,86,203,93,155,248,144,73,221,189,336,521,0,0,0,546,651,1200,646,788,1436,198,311,507,99,139,235,257,387,647,0,0,0,1204,1632,2830,1755,2285,4035,88,95,178,154,250,396,0,4,7,243,349,583,1568,714,2282,88,95,180,9526,9183,18707
SED52604,310,282,588,1163,1046,2203,275,265,547,217,217,431,1655,1529,3190,777,696,1469,378,409,782,384,354,735,1542,1453,2997,100,86,187,61,89,151,169,80,251,111,194,307,0,0,0,445,453,897,541,654,1190,234,242,475,86,117,204,169,308,472,9,0,6,1028,1324,2352,1471,1782,3251,57,55,117,104,144,247,0,3,9,166,206,369,797,778,1577,23,35,60,5968,6060,12028
SED52702,288,291,576,1129,1046,2174,215,222,437,337,334,672,1681,1604,3288,666,658,1321,555,404,960,482,470,954,1703,1531,3235,62,64,121,30,50,75,167,67,235,114,170,285,0,0,0,372,348,718,305,390,703,74,111,182,80,79,158,124,279,403,0,0,0,580,864,1446,953,1214,2166,31,44,81,67,136,203,4,0,4,104,181,289,513,526,1036,21,13,36,5262,5357,10623
SED52803,322,345,671,1229,1109,2336,257,250,508,98,108,202,1582,1472,3054,594,617,1209,330,302,628,76,63,143,1005,986,1986,54,41,96,42,39,82,166,97,260,213,289,503,5,0,9,476,470,950,85,71,159,84,77,162,16,36,49,147,219,369,7,3,10,340,401,745,818,878,1695,50,29,74,76,118,197,3,4,4,131,149,280,6569,2716,9288,87,55,147,10519,6597,17117
SED52903,346,286,634,1464,1329,2790,471,431,910,131,135,266,2068,1905,3968,679,736,1416,191,203,390,67,97,160,939,1031,1968,19,21,46,26,34,57,55,52,112,122,234,360,3,4,3,224,350,572,32,100,135,46,118,162,14,49,64,126,300,426,0,0,3,214,568,788,442,921,1365,45,43,83,43,82,123,3,5,4,87,125,208,4059,3782,7837,174,205,374,8110,8250,16364
SED53004,367,333,701,1435,1352,2789,245,254,504,202,189,396,1885,1802,3687,1060,1006,2062,204,228,433,260,274,533,1524,1507,3031,89,88,172,37,72,106,144,62,210,113,155,269,0,0,0,380,378,760,381,490,870,99,136,234,79,84,162,136,278,413,0,4,5,695,982,1678,1075,1365,2441,44,35,80,94,147,239,0,0,0,143,177,319,386,397,782,25,28,53,5414,5602,11007
SED53105,560,540,1099,2135,1904,4038,304,312,617,228,238,466,2665,2452,5125,1044,926,1973,322,329,655,353,323,670,1729,1577,3300,98,105,206,75,153,234,175,102,269,164,324,487,4,0,6,515,691,1201,295,409,699,102,234,339,76,71,150,152,282,436,0,0,0,624,1006,1626,1137,1701,2838,80,97,175,141,210,350,3,6,3,218,309,523,2199,913,3111,39,36,80,8544,7531,16074
SED53204,529,463,992,1867,1714,3574,372,429,803,342,307,648,2583,2457,5036,1355,1227,2582,337,378,715,348,428,776,2040,2033,4079,127,97,221,63,138,199,155,74,227,130,261,394,3,0,6,478,571,1052,520,691,1215,120,178,301,114,132,247,140,263,407,0,0,0,899,1270,2167,1383,1839,3220,65,58,120,128,220,349,0,0,7,194,278,474,522,524,1039,29,43,76,7272,7641,14914
SED53306,380,366,738,1272,1320,2591,229,233,465,329,329,659,1841,1885,3729,911,803,1713,153,203,352,387,375,756,1451,1380,2830,77,107,188,49,114,158,143,111,249,130,277,400,0,0,4,396,608,1004,155,312,473,59,164,223,34,55,86,91,199,293,0,5,6,344,728,1069,735,1337,2073,52,73,131,94,170,266,0,0,0,146,254,398,1301,1491,2790,18,22,42,5869,6728,12604
SED53402,396,370,766,929,863,1791,413,395,813,105,127,234,1450,1391,2836,592,474,1064,415,368,780,168,205,374,1173,1050,2225,105,76,182,142,189,327,73,52,120,185,257,441,4,6,6,500,575,1074,478,612,1091,266,332,598,97,108,200,298,444,746,7,0,7,1134,1500,2639,1643,2077,3722,63,62,129,112,190,305,0,0,0,175,259,432,858,801,1661,38,37,76,5741,5978,11718
SED53502,426,368,800,1165,1121,2284,401,370,769,261,281,543,1844,1777,3617,669,656,1324,371,318,688,445,352,797,1482,1333,2822,99,110,208,69,140,210,153,87,239,158,265,416,5,4,4,483,603,1084,239,377,616,111,197,306,55,76,132,148,286,437,0,3,3,558,942,1502,1046,1545,2591,50,55,108,103,187,292,0,0,3,159,247,408,1390,1372,2759,41,60,99,6385,6709,13092
SED53602,424,379,803,1341,1195,2538,392,369,758,329,281,614,2075,1858,3932,999,944,1937,379,341,722,255,260,512,1640,1549,3189,153,170,322,191,277,463,113,86,200,199,389,592,4,0,9,657,924,1582,463,597,1064,201,217,422,102,101,200,123,203,322,3,0,3,886,1125,2010,1552,2058,3609,123,147,270,147,222,377,0,3,7,280,374,654,1573,1495,3070,31,63,96,7571,7782,15352
SED53701,222,231,454,1057,955,2010,244,275,521,110,106,219,1413,1338,2750,635,534,1172,222,239,459,126,168,291,990,946,1931,34,40,75,14,32,45,111,64,173,65,170,239,3,0,0,230,304,532,43,69,111,14,67,79,9,28,43,40,148,185,0,0,6,107,317,424,331,620,957,29,32,65,39,75,111,7,4,10,72,111,185,2625,2038,4666,121,58,179,5778,5337,11114
SED53802,385,371,760,1029,878,1914,431,410,844,201,216,417,1668,1517,3181,674,565,1237,406,395,800,252,227,477,1332,1189,2523,140,114,250,131,196,328,124,71,196,167,278,447,3,0,3,562,660,1224,520,568,1085,217,243,459,66,85,155,204,246,445,5,4,6,1011,1139,2148,1579,1809,3391,93,97,188,133,172,313,5,5,9,235,275,506,885,874,1757,25,43,72,6108,6082,12187
SED53902,334,288,622,832,745,1575,298,318,620,188,223,414,1328,1288,2618,480,458,933,356,299,653,277,435,705,1114,1184,2297,80,84,161,113,168,277,73,59,132,144,225,363,0,0,0,407,529,941,608,808,1419,293,317,606,85,115,200,232,372,603,3,6,7,1227,1619,2837,1636,2146,3784,54,69,118,119,167,285,0,8,5,174,240,413,781,811,1589,30,45,69,5392,5998,11392
SED54006,332,300,632,1229,1092,2316,389,360,751,312,267,581,1929,1722,3653,1077,1030,2106,260,296,560,251,307,557,1586,1631,3224,75,79,156,22,80,103,170,102,271,102,236,344,4,0,4,374,502,879,60,160,227,22,125,150,18,35,55,56,175,233,0,0,0,159,497,661,536,1004,1539,37,30,72,66,103,170,0,0,3,107,134,238,1166,1095,2261,29,24,52,5685,5921,11602
SED54104,384,344,727,1275,1254,2529,169,181,345,314,262,574,1754,1697,3446,810,702,1513,156,203,355,641,540,1184,1604,1453,3049,54,65,123,55,112,167,35,30,66,115,189,304,0,3,3,256,400,654,1664,1848,3512,593,583,1176,130,153,280,318,462,783,4,5,11,2713,3047,5762,2973,3450,6417,49,73,118,108,153,261,0,4,4,160,223,383,1241,1237,2479,95,86,188,8205,8483,16692
SED54203,212,224,435,934,826,1767,126,113,237,83,67,148,1149,1009,2155,402,365,763,64,64,122,43,25,67,504,447,946,17,12,29,26,27,55,53,28,85,133,150,276,0,0,0,224,211,441,20,47,63,32,50,85,12,21,35,124,180,303,0,0,0,187,305,487,406,515,924,37,27,60,58,66,125,3,0,3,93,92,187,6252,2870,9122,197,119,313,8812,5278,14086
SED54304,366,281,649,957,913,1866,190,171,363,96,132,224,1240,1216,2456,553,495,1044,239,200,438,139,183,324,932,882,1809,174,177,357,264,373,637,94,75,170,236,387,625,0,0,0,768,1020,1789,786,1027,1813,601,625,1222,119,157,273,500,600,1102,4,6,12,2012,2414,4428,2783,3438,6222,133,174,307,200,262,461,0,0,6,332,441,766,3048,2038,5089,578,334,916,9283,8627,17911
SED54403,454,414,865,1924,1862,3785,269,232,502,105,79,182,2297,2184,4484,1117,994,2116,198,198,394,40,46,88,1360,1243,2600,59,33,97,58,65,131,149,107,259,346,406,757,5,0,7,628,618,1243,21,49,72,55,102,164,23,35,53,256,307,567,0,0,3,355,500,858,988,1118,2100,41,52,96,102,172,271,0,0,5,141,223,370,11935,4339,16276,243,100,345,17414,9625,27041
SED54505,376,359,740,2181,1990,4168,153,147,300,133,124,254,2467,2261,4725,2052,1892,3948,114,106,222,181,168,352,2352,2172,4525,81,60,143,60,113,172,97,42,135,109,223,330,0,0,0,343,433,775,874,988,1859,202,225,430,100,105,205,175,279,451,0,4,4,1346,1597,2943,1690,2040,3733,52,68,127,100,116,213,0,5,5,154,189,344,396,478,871,74,73,150,7506,7576,15084
SED54605,254,246,494,1005,925,1930,259,221,479,160,192,358,1429,1341,2770,736,657,1395,232,241,470,191,168,361,1156,1068,2231,80,83,167,53,112,163,133,103,239,127,229,354,6,4,10,399,525,927,140,237,375,75,134,203,37,59,90,122,190,308,0,0,0,367,613,978,762,1141,1906,48,48,89,96,130,227,0,0,0,147,179,324,1549,1258,2810,50,35,81,5347,5259,10609
SED54701,293,286,586,1313,1284,2600,172,166,339,62,60,119,1549,1510,3055,894,842,1738,17,19,41,118,136,262,1028,1006,2038,65,62,128,17,33,48,94,76,171,76,252,323,4,3,9,256,421,677,10,76,88,25,55,85,11,34,47,46,141,191,0,3,4,104,309,409,356,736,1093,29,22,49,34,80,117,0,0,0,64,107,169,2240,1869,4111,55,20,70,5587,5536,11122
SED54804,434,366,799,1088,1013,2106,366,332,696,152,177,324,1604,1521,3128,705,662,1368,267,268,529,247,457,702,1217,1391,2604,75,57,133,83,133,212,88,48,138,166,257,421,0,0,0,410,494,906,435,631,1063,163,271,429,84,93,175,279,437,713,7,0,6,955,1429,2384,1372,1930,3298,34,55,88,112,205,314,3,0,3,149,259,405,943,1025,1970,70,67,137,5789,6559,12347
SED54905,352,312,666,812,703,1517,319,266,588,245,219,460,1378,1189,2570,358,327,686,625,324,945,565,514,1079,1541,1171,2716,116,79,193,67,109,177,84,57,143,120,217,343,3,0,0,399,461,863,970,1058,2027,356,365,721,141,147,285,295,394,689,3,7,10,1769,1962,3735,2172,2429,4599,61,51,112,97,146,244,0,3,3,164,198,359,840,979,1813,98,74,172,6541,6349,12893
SED55005,491,509,996,2078,1985,4065,323,329,651,428,416,846,2837,2739,5574,1380,1283,2667,288,309,593,424,411,831,2096,2006,4102,121,117,238,93,164,261,169,92,265,192,317,504,4,0,7,580,692,1277,600,758,1361,149,203,344,94,117,213,163,262,424,0,0,8,1008,1341,2344,1592,2035,3625,106,100,210,152,192,341,0,0,5,261,300,560,763,840,1604,62,76,138,8098,8501,16598
SED55102,537,437,976,1912,1813,3725,346,333,677,381,339,725,2642,2492,5130,1212,1072,2292,349,376,726,459,433,888,2024,1889,3915,81,107,188,37,117,152,176,106,283,147,283,428,0,0,5,437,615,1048,275,372,641,73,171,245,36,93,127,121,280,402,5,0,8,514,914,1426,950,1524,2478,65,81,149,111,187,297,0,0,0,175,269,444,2864,1007,3868,76,33,111,9274,7653,16924
SED55202,410,416,824,1460,1426,2889,262,269,532,364,354,720,2098,2059,4149,1053,1005,2055,285,260,550,256,286,542,1598,1551,3146,155,172,327,121,257,378,161,99,257,161,335,500,6,5,14,605,865,1472,373,510,878,157,221,382,75,96,168,128,194,325,0,4,6,737,1021,1761,1342,1893,3237,96,101,197,139,201,343,4,0,7,244,305,544,1327,1326,2653,50,56,108,7061,7604,14668
SED55306,358,378,741,1261,1113,2379,421,410,828,342,339,684,2024,1865,3890,870,776,1648,376,429,806,338,344,685,1586,1551,3139,65,33,102,30,91,119,152,82,236,119,258,378,0,0,6,373,469,839,33,115,150,34,123,157,11,33,41,79,278,354,0,0,0,152,556,710,530,1023,1552,41,37,80,67,149,221,0,5,5,113,193,306,1266,1351,2620,49,39,89,5930,6401,12342
SED55405,346,349,691,986,878,1873,282,276,558,187,182,369,1461,1339,2801,525,494,1020,325,325,646,128,164,290,987,980,1968,242,160,406,241,257,504,142,85,222,202,314,518,7,4,7,840,822,1658,1144,1255,2395,745,632,1381,140,162,301,335,463,798,7,4,11,2368,2515,4880,3212,3336,6552,149,134,285,145,196,339,6,3,10,303,333,635,1469,1532,3001,66,79,137,7840,7947,15780
