SED_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SED51104,8,101,0,111,1650,115,0,1878,66,58,6,129,1442,72,4,1649,1292,92,50,1430,2081,149,35,3694,1959,70,60,2094,1284,170,14,3566,979,114,21,1117,2033,131,5,3288,163,203,3,374,1749,104,5,2232,22,216,4,235,1276,43,0,1562,3,45,0,51,817,49,3,918,0,6,0,6,274,26,0,305,4488,917,145,5546,12593,881,64,19089,8,209,0,221,1481,97,0,1800,198,130,18,342,1256,86,4,1694,2209,190,165,2566,1674,211,6,4455,2702,123,160,2982,1116,169,3,4275,997,329,45,1373,2256,142,3,3778,77,577,7,658,1812,90,8,2572,15,356,0,373,1401,78,3,1857,0,55,0,56,995,77,0,1134,0,0,0,0,409,45,0,448,6214,1966,395,8574,12403,996,32,22006,19,312,3,334,3131,212,3,3676,265,187,21,477,2697,163,3,3340,3501,283,215,3994,3750,362,43,8148,4663,195,224,5075,2405,344,16,7842,1981,448,64,2489,4289,280,11,7061
SED51205,5,50,0,52,1181,86,4,1325,43,52,0,93,1925,153,10,2181,913,85,22,1023,3679,377,13,5086,1892,70,31,1992,1986,247,15,4235,833,59,21,911,1768,142,6,2835,147,157,5,304,1878,100,13,2299,42,290,0,335,1504,77,15,1927,3,84,0,93,840,56,0,990,0,4,0,4,263,35,0,308,3874,843,73,4792,15021,1285,80,21176,5,88,0,90,995,70,0,1162,99,72,0,176,1621,137,4,1941,1603,160,49,1813,2871,317,8,5008,2123,115,93,2328,1395,199,4,3930,714,152,28,897,1753,126,10,2787,87,525,7,617,1895,101,22,2643,33,474,5,503,1562,75,24,2167,4,73,0,82,961,95,6,1143,0,5,0,8,400,57,0,466,4682,1663,178,6513,13453,1177,83,21230,9,135,3,145,2176,160,6,2484,142,125,0,264,3553,288,11,4121,2519,247,70,2835,6545,694,20,10093,4016,183,124,4320,3374,448,19,8159,1547,208,50,1807,3521,273,17,5615
SED51304,7,63,0,72,1276,27,0,1371,5,26,0,35,936,13,5,985,316,35,0,350,1060,50,3,1466,1733,41,65,1836,651,57,3,2545,1426,41,34,1507,1294,60,4,2862,189,203,9,397,1850,27,5,2280,46,665,0,715,1711,38,4,2470,6,183,0,183,1142,43,0,1371,0,0,0,3,300,8,0,317,3724,1253,113,5091,10224,324,24,15661,0,78,0,78,1136,12,0,1228,13,39,0,52,852,19,0,924,578,64,29,669,883,48,5,1607,2190,82,157,2432,508,58,3,2998,1354,95,62,1513,1391,39,5,2953,65,623,11,702,1863,37,5,2612,34,1077,0,1110,1640,44,3,2794,5,169,7,179,1161,68,4,1409,0,4,0,4,502,34,0,532,4240,2236,266,6740,9926,356,34,17064,4,142,0,154,2408,38,0,2598,15,71,0,79,1792,29,0,1903,895,99,32,1018,1943,95,10,3073,3924,117,219,4264,1159,115,7,5546,2785,134,100,3019,2685,98,11,5820
SED51401,3,44,0,51,766,115,0,936,49,29,4,74,692,162,3,931,628,55,14,693,1151,436,15,2298,1071,42,46,1151,784,415,4,2353,617,68,17,700,1627,450,4,2778,138,195,10,337,2450,415,0,3202,25,173,0,198,2274,283,0,2751,0,31,0,36,1121,167,0,1325,0,0,0,3,323,68,0,387,2527,641,80,3246,11181,2519,22,16967,10,83,0,95,609,110,0,806,81,46,6,131,474,98,5,706,812,70,53,940,689,196,0,1826,1128,78,85,1279,516,227,0,2031,503,156,29,694,1483,278,0,2448,46,491,3,540,2036,254,0,2831,6,301,0,308,1869,218,6,2407,6,38,0,44,1083,179,4,1312,0,0,0,0,422,83,0,505,2590,1268,174,4033,9183,1643,17,14875,15,131,0,142,1370,226,0,1746,129,72,9,207,1168,262,7,1636,1443,129,64,1635,1841,632,11,4125,2194,119,123,2436,1301,645,5,4382,1118,226,38,1389,3110,727,8,5231
SED51504,4,73,0,73,1509,34,0,1621,4,42,0,42,1119,22,3,1191,279,47,7,335,1858,85,6,2286,1722,49,45,1820,1063,80,8,2967,1524,35,38,1601,1281,51,11,2940,265,140,5,404,1880,31,9,2318,28,343,0,371,1253,46,12,1685,3,139,0,143,881,40,7,1071,0,10,0,10,448,28,4,489,3829,871,102,4800,11290,423,49,16552,0,94,0,93,1255,24,0,1372,9,54,4,66,1020,30,3,1122,590,114,13,719,1799,81,13,2609,2175,92,146,2412,753,59,5,3234,1549,87,69,1708,1525,59,3,3297,114,402,5,524,1853,35,8,2423,26,667,5,695,1181,60,16,1949,15,176,0,193,1082,57,9,1334,4,15,0,15,747,52,3,822,4478,1701,243,6418,11212,463,55,18153,6,165,0,171,2763,56,0,2991,11,94,4,106,2144,48,9,2310,873,158,24,1055,3650,166,24,4891,3894,145,190,4230,1816,145,5,6199,3078,120,107,3312,2805,106,15,6236
SED51605,5,67,0,69,1428,51,12,1568,36,39,0,67,1380,66,4,1521,785,87,22,888,2210,133,3,3235,2011,81,51,2145,1334,122,0,3601,1126,89,31,1239,1926,84,0,3252,167,215,0,383,1863,64,7,2325,34,234,0,268,1163,59,8,1502,6,63,0,70,574,46,3,695,0,4,0,4,165,21,0,189,4157,881,104,5145,12044,648,49,17887,3,107,0,109,1319,62,0,1484,64,91,6,165,1307,53,0,1526,1327,153,56,1534,1878,116,5,3538,2564,101,145,2811,999,109,0,3924,1062,252,44,1362,2035,96,6,3493,80,585,8,672,1755,72,13,2514,18,426,3,446,1109,66,15,1638,6,61,4,69,619,67,3,749,0,4,0,4,228,33,0,262,5126,1788,262,7181,11247,677,41,19138,6,177,0,185,2746,108,12,3053,96,129,6,230,2691,122,3,3046,2108,236,72,2422,4088,249,7,6776,4574,186,202,4958,2334,233,0,7527,2191,337,73,2597,3959,182,8,6747
SED51706,3,53,0,62,1145,91,0,1294,58,33,9,97,891,56,0,1044,766,70,27,861,1221,128,10,2220,1417,46,68,1526,838,151,6,2516,725,98,31,853,1624,158,0,2641,134,262,7,400,2266,149,4,2813,14,270,0,288,2030,148,7,2471,4,44,0,53,1052,98,0,1202,0,0,0,0,264,67,0,337,3126,883,133,4144,11328,1037,28,16533,3,110,0,115,1053,73,3,1242,123,63,9,194,660,37,4,891,1230,115,88,1427,937,135,14,2514,1776,97,151,2021,670,124,9,2824,712,292,37,1032,1765,125,0,2922,53,671,6,724,2128,119,7,2978,15,392,3,412,1841,126,3,2388,4,48,0,51,1142,128,0,1324,0,0,0,0,370,107,0,483,3904,1786,293,5985,10562,982,38,17574,10,166,0,177,2199,166,3,2537,181,97,14,290,1553,87,6,1939,1988,182,118,2291,2154,266,22,4735,3190,141,220,3548,1506,269,14,5346,1435,384,64,1882,3388,285,0,5559
SED51804,0,68,0,70,1488,48,3,1610,5,29,0,35,1148,44,5,1225,249,47,11,305,1650,111,19,2079,1228,39,44,1304,773,94,12,2178,1366,38,37,1439,1264,87,15,2805,300,158,7,464,2071,83,20,2639,30,480,0,503,1632,82,14,2224,13,192,0,202,1182,85,6,1478,0,5,0,5,494,61,0,557,3187,1043,95,4323,11700,691,88,16797,8,108,0,111,1479,62,6,1662,11,52,0,61,1175,63,4,1299,409,130,27,561,1557,85,14,2219,1595,93,117,1802,621,89,12,2530,1497,96,55,1647,1464,88,15,3218,156,446,6,604,2120,88,14,2821,29,831,0,855,1468,96,10,2433,8,274,0,289,1334,106,0,1733,4,10,0,12,793,132,0,935,3710,2032,205,5949,12016,812,74,18852,5,176,0,181,2966,114,13,3274,13,78,0,94,2320,104,10,2528,650,174,35,865,3208,195,26,4296,2818,123,159,3108,1397,180,23,4705,2865,129,93,3090,2728,178,30,6023
SED51902,10,112,0,125,1278,65,0,1468,61,41,3,106,1090,52,0,1246,1054,63,25,1144,1471,156,0,2774,1709,64,65,1848,1026,226,4,3103,880,119,30,1029,1743,196,5,2964,161,284,4,446,2048,121,9,2620,17,294,0,310,1484,83,4,1881,4,48,0,59,809,45,0,904,0,6,0,8,190,17,0,212,3904,1025,135,5059,11141,961,18,17175,0,174,0,175,1276,60,0,1515,139,116,5,254,907,42,0,1204,1703,158,123,1978,1188,124,0,3294,2088,120,145,2356,845,121,6,3321,826,317,70,1208,1826,96,3,3142,53,719,8,781,1840,83,9,2714,10,484,4,501,1383,57,6,1952,5,71,0,78,722,42,3,848,5,0,0,6,227,23,0,253,4830,2147,354,7327,10209,654,37,18233,13,286,4,299,2553,121,0,2982,199,152,6,359,1997,94,0,2448,2760,213,146,3119,2657,283,3,6060,3800,186,212,4199,1869,343,8,6427,1700,431,101,2230,3567,291,9,6101
SED52006,5,69,0,69,1068,54,0,1192,29,30,0,57,792,22,0,871,523,47,10,587,921,72,3,1580,979,47,44,1069,666,74,3,1822,686,80,17,783,1333,64,4,2186,141,251,3,395,2082,53,0,2530,30,285,4,323,2525,84,6,2935,14,61,0,73,1685,68,0,1826,5,0,0,3,423,38,0,469,2415,875,71,3358,11502,529,23,15408,10,112,0,120,972,50,0,1140,92,77,9,170,703,33,3,908,961,91,55,1102,739,59,6,1907,1483,90,98,1684,540,76,6,2296,707,238,26,968,1669,85,0,2727,68,637,3,711,2204,70,3,2991,16,511,7,529,2585,84,6,3204,7,62,0,69,1731,97,0,1901,0,8,0,3,546,66,0,626,3341,1817,202,5359,11692,625,25,17695,14,179,0,191,2043,106,0,2338,118,105,7,232,1494,58,3,1781,1481,137,65,1684,1655,132,7,3481,2471,140,144,2754,1208,144,7,4116,1397,318,43,1753,3003,148,6,4908
SED52102,6,53,0,57,1121,66,0,1250,38,44,0,84,1127,70,4,1288,753,60,23,841,1703,151,7,2701,1556,41,43,1638,1263,155,3,3063,794,74,25,898,1571,112,3,2578,125,185,4,307,1910,101,4,2330,23,236,0,256,1420,63,5,1742,4,46,0,52,758,45,0,853,0,4,0,4,257,26,0,284,3299,739,100,4133,11132,793,20,16083,5,100,4,113,1025,78,0,1214,91,88,11,189,892,59,0,1140,1267,126,60,1454,1287,141,3,2880,1933,98,88,2124,862,148,0,3130,675,216,43,935,1563,115,0,2608,67,572,7,650,1723,97,9,2471,22,435,5,460,1415,62,0,1939,4,69,0,73,889,55,0,1020,0,5,0,3,339,24,0,373,4064,1709,216,5986,9991,789,15,16780,7,155,4,169,2145,150,0,2466,129,134,12,273,2017,130,9,2427,2022,186,83,2297,2987,292,9,5582,3490,138,135,3762,2128,305,3,6194,1475,288,63,1826,3136,227,3,5193
SED52205,3,69,0,71,860,59,0,988,13,39,0,56,1073,101,12,1236,416,55,16,484,2337,243,40,3103,1275,62,44,1385,1438,250,6,3080,960,65,36,1064,1634,233,13,2945,214,149,11,375,2168,192,18,2752,36,309,0,343,1734,132,9,2222,8,90,0,96,973,110,0,1178,0,3,0,8,382,88,3,482,2928,845,113,3881,12600,1400,99,17981,4,63,0,64,847,52,0,965,23,82,4,113,1154,93,16,1371,701,151,35,884,2232,223,30,3376,1577,110,129,1823,1067,165,4,3066,955,164,58,1178,1679,165,10,3037,101,477,14,583,2235,143,10,2979,16,618,5,637,1630,149,5,2425,7,107,0,112,1076,139,5,1329,0,5,0,5,576,142,0,726,3390,1771,248,5412,12503,1274,87,19273,3,134,5,137,1707,108,4,1957,40,120,4,166,2221,189,31,2607,1119,202,49,1371,4574,463,70,6479,2858,173,176,3210,2506,415,14,6142,1919,234,97,2247,3317,399,22,5981
SED52301,0,56,0,59,1069,144,0,1277,45,33,5,77,806,107,4,991,615,70,24,711,1179,291,6,2185,1016,42,32,1091,850,304,0,2248,629,64,23,709,1474,225,0,2411,121,193,3,321,1934,203,3,2459,18,181,0,204,1616,150,0,1970,0,39,0,40,876,109,5,1035,0,0,0,0,293,56,3,356,2449,686,80,3213,10106,1588,25,14937,14,115,3,126,966,108,0,1206,127,73,5,211,728,108,0,1049,979,111,80,1165,974,233,4,2383,1368,92,116,1576,644,252,0,2477,607,223,37,868,1619,200,3,2681,60,476,8,549,1816,164,3,2532,11,332,6,347,1569,165,0,2085,3,45,0,47,952,128,4,1132,0,6,0,6,394,86,0,487,3169,1470,253,4895,9663,1441,17,16016,9,167,3,181,2040,257,0,2476,174,106,10,283,1533,212,5,2042,1595,185,102,1879,2154,515,13,4563,2382,133,147,2667,1502,556,0,4730,1237,289,60,1582,3088,419,7,5096
SED52404,5,58,0,62,1226,35,0,1328,13,41,0,54,1020,30,0,1104,554,54,12,623,1550,80,6,2256,1640,38,64,1741,924,84,4,2753,1101,58,25,1188,1418,71,3,2684,143,228,6,383,1961,48,7,2390,34,459,0,494,1599,37,5,2132,5,100,0,103,767,40,0,909,0,0,0,0,206,4,0,216,3503,1038,108,4650,10674,428,21,15774,0,89,5,93,1121,34,0,1248,35,63,0,96,869,23,0,990,910,108,58,1077,1329,70,6,2476,2020,86,136,2239,652,64,4,2959,1092,137,42,1272,1476,64,4,2817,80,652,6,736,1988,48,3,2783,27,717,9,751,1502,43,3,2295,9,95,0,100,823,36,4,966,0,6,0,6,298,35,0,335,4175,1950,249,6368,10062,413,17,16867,7,145,5,155,2346,66,0,2569,47,103,0,153,1890,52,0,2097,1468,168,66,1700,2877,151,6,4732,3661,127,196,3981,1576,150,4,5711,2193,198,70,2455,2895,141,7,5499
SED52505,5,73,0,75,1525,129,0,1727,21,59,0,87,1405,134,5,1624,1116,107,31,1255,2436,487,8,4183,3001,54,49,3105,1605,414,5,5122,1208,68,33,1306,1683,201,9,3199,193,259,7,461,1958,103,13,2533,49,369,7,416,1413,38,27,1904,3,60,0,72,571,39,7,688,0,3,0,8,130,12,0,149,5598,1052,127,6780,12728,1550,81,21131,4,127,0,134,1439,46,0,1619,75,107,4,190,1271,55,3,1521,1977,183,61,2222,2166,179,4,4568,3526,112,145,3784,1209,161,0,5162,1068,188,38,1293,1891,75,11,3269,92,686,10,788,1949,55,30,2828,38,569,14,616,1318,44,29,2008,3,76,0,75,574,28,12,689,0,7,0,7,183,22,4,212,6782,2060,265,9108,12003,675,88,21872,6,199,0,210,2964,178,0,3346,104,165,6,273,2672,190,4,3146,3098,297,86,3474,4605,667,10,8747,6526,170,197,6892,2811,574,9,10289,2276,252,71,2599,3576,276,20,6469
SED52604,4,54,0,59,1285,46,0,1396,17,39,0,60,1385,64,4,1505,428,49,14,496,1680,125,3,2296,1350,47,35,1425,875,131,3,2430,983,69,23,1066,1567,112,7,2751,155,269,0,430,2332,110,5,2879,14,385,0,403,1552,73,5,2029,8,70,0,75,689,77,0,847,0,0,0,0,214,61,4,283,2947,994,71,4009,11580,795,26,16411,0,88,0,92,1161,34,0,1295,40,66,4,111,1148,48,4,1312,780,95,43,909,1247,116,4,2278,1705,78,94,1877,627,93,5,2608,948,183,32,1165,1800,103,3,3073,77,752,9,833,2168,97,0,3104,18,565,0,579,1423,86,3,2099,3,85,0,89,788,101,3,981,4,3,0,0,366,94,0,465,3570,1916,188,5668,10737,774,27,17204,5,145,0,152,2452,83,0,2685,58,107,6,167,2533,114,4,2821,1203,148,51,1405,2926,237,10,4576,3054,132,125,3308,1502,224,6,5040,1925,250,52,2233,3371,216,8,5827
SED52702,4,85,0,88,1233,31,0,1359,3,35,0,40,920,29,0,981,362,39,14,411,867,52,8,1335,1182,34,39,1257,629,63,5,1950,1067,64,38,1166,1396,48,0,2615,203,225,3,430,2076,72,0,2571,34,441,0,483,1770,61,3,2314,6,119,0,127,1231,68,0,1427,0,5,0,10,378,24,0,416,2864,1052,91,4011,10503,448,22,14980,3,115,0,115,1068,40,0,1215,19,61,4,83,707,20,0,807,610,68,40,722,703,52,4,1477,1600,83,143,1826,455,62,0,2346,1069,183,49,1299,1597,72,4,2970,83,622,3,715,1985,59,0,2758,13,742,3,759,1646,86,0,2485,8,136,3,143,1296,67,0,1504,0,3,0,3,516,45,0,572,3409,2006,251,5667,9969,495,18,16145,7,194,0,205,2301,71,0,2578,20,100,4,123,1624,48,0,1798,974,107,49,1129,1571,104,9,2811,2782,122,181,3083,1090,124,4,4298,2130,248,89,2468,2988,129,7,5589
SED52803,6,49,0,57,847,146,0,1052,97,38,3,144,1178,477,8,1806,983,79,29,1097,2395,1541,27,5060,1572,71,53,1694,1515,1419,19,4643,773,94,21,889,2205,1296,13,4404,146,174,0,327,2381,954,12,3670,11,68,0,83,1241,362,6,1693,3,15,0,24,393,72,0,487,0,0,0,0,64,14,0,85,3594,605,118,4313,12221,6284,90,22908,15,89,0,97,707,130,0,937,161,65,11,233,810,235,9,1284,1107,116,86,1310,1316,574,15,3211,1311,94,73,1478,855,443,3,2781,424,198,19,643,1513,392,4,2553,51,305,0,351,1522,350,8,2241,14,130,0,142,855,195,9,1193,0,28,0,25,328,54,0,412,0,3,0,3,125,21,4,153,3078,1020,192,4291,8024,2402,53,14761,19,135,0,160,1549,280,5,1986,253,107,15,381,1990,712,11,3091,2093,199,118,2406,3708,2107,47,8272,2882,165,127,3164,2373,1868,17,7425,1194,292,48,1530,3712,1686,13,6947
SED52903,19,105,0,128,758,206,0,1088,88,116,19,224,814,278,41,1351,647,156,75,875,2012,679,80,3640,1213,136,97,1445,1335,599,22,3398,630,162,42,830,1784,635,8,3267,115,182,8,303,2569,592,4,3471,22,177,0,204,2792,405,16,3414,6,35,0,46,779,148,0,969,0,0,0,0,81,25,0,105,2733,1070,241,4050,12925,3560,163,20700,38,162,12,220,710,217,0,1149,207,141,35,387,802,232,49,1470,968,227,139,1333,2049,708,104,4190,1445,230,185,1856,1109,518,18,3501,516,293,57,864,1729,502,5,3100,59,390,3,453,2844,531,10,3839,5,276,9,285,2269,368,12,2935,0,41,0,40,545,133,0,720,0,3,0,5,76,31,0,112,3243,1770,439,5450,12128,3236,198,21012,59,273,14,348,1472,423,0,2237,300,255,53,610,1614,512,87,2821,1612,380,212,2209,4058,1386,179,7831,2658,363,284,3305,2441,1115,42,6901,1146,455,98,1691,3515,1136,14,6358
SED53004,0,52,0,60,1185,27,0,1274,10,19,0,30,1038,30,0,1099,447,49,12,507,1342,45,7,1894,1620,44,59,1726,907,62,3,2706,1050,58,34,1142,1327,63,3,2534,167,263,4,433,1860,43,5,2330,23,533,0,561,1848,46,0,2454,4,111,6,118,935,36,5,1099,0,7,0,7,348,13,0,369,3323,1133,114,4573,10796,364,23,15754,3,95,0,99,1097,29,0,1227,15,53,0,73,848,17,3,939,750,97,44,895,1103,46,3,2042,1970,75,154,2198,641,70,5,2916,1048,138,53,1245,1460,52,0,2760,70,691,0,765,1959,48,7,2779,24,821,7,854,1741,55,5,2651,6,102,0,112,1097,48,4,1258,0,7,0,9,595,29,0,638,3899,2087,265,6242,10549,381,28,17203,10,148,0,156,2285,54,0,2497,29,78,0,103,1888,41,3,2037,1199,142,52,1395,2450,89,9,3939,3590,118,207,3922,1556,137,5,5620,2097,197,91,2385,2788,112,6,5292
SED53105,13,64,0,81,1239,115,0,1430,63,63,5,124,1275,227,0,1625,1047,97,25,1172,2024,648,10,3844,2135,68,65,2266,1428,528,7,4224,876,89,25,987,1803,292,0,3081,127,191,5,325,1671,129,11,2133,21,187,0,207,1109,91,13,1424,4,50,0,50,581,39,5,672,0,0,0,0,184,14,0,200,4283,808,128,5215,11303,2074,38,18635,15,123,0,141,1113,73,0,1323,153,103,8,264,1101,68,5,1439,1741,176,106,2018,1707,166,5,3896,2606,145,167,2915,1123,158,3,4202,739,247,35,1027,1748,112,0,2893,55,508,4,570,1540,86,11,2210,21,306,3,334,1134,61,11,1541,6,45,0,46,660,43,0,748,0,0,0,0,286,23,0,312,5335,1656,324,7320,10418,784,37,18554,29,187,0,219,2351,189,0,2759,207,167,9,389,2371,292,5,3057,2788,276,135,3191,3723,813,15,7743,4741,207,232,5177,2554,682,4,8427,1613,338,66,2016,3549,398,0,5970
SED53204,0,79,0,79,1564,53,0,1695,23,52,0,80,1409,52,0,1543,847,78,18,946,1818,106,0,2878,2230,52,56,2333,1258,82,6,3679,1152,75,24,1251,1880,69,0,3210,183,235,3,418,1881,53,5,2358,23,250,0,280,1114,40,8,1455,0,58,0,54,553,25,0,637,0,0,0,0,175,7,0,186,4465,880,97,5444,11658,497,29,17626,14,141,0,156,1439,40,0,1635,48,91,0,146,1278,33,6,1464,1488,153,68,1709,1582,100,3,3393,2633,96,132,2860,1087,90,3,4039,1059,214,38,1307,1998,82,0,3385,78,637,7,719,1719,56,13,2508,26,420,4,449,1121,45,6,1619,0,67,0,67,696,35,4,799,0,0,0,5,269,16,0,288,5351,1811,254,7417,11187,484,43,19132,17,218,0,233,3000,96,0,3330,75,141,0,225,2691,87,4,3001,2336,236,85,2653,3403,203,8,6271,4865,144,185,5193,2348,172,7,7717,2211,290,63,2562,3882,148,4,6597
