SED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED51104,1085,1347,3214,3241,2993,1651,281,16,0,13818,636,270,1041,873,653,833,1496,1026,392,7217,78,75,194,159,128,72,75,88,56,929,1802,1692,4449,4271,3771,2564,1850,1134,446,21976,331,1280,3786,3876,3762,1932,263,9,0,15237,1203,1006,1755,1900,1532,1008,317,32,0,8760,47,97,406,266,253,151,26,9,0,1256,29,57,173,112,69,47,8,6,0,500,1613,2436,6123,6154,5614,3143,615,56,0,25753,124,168,208,156,158,100,17,0,0,933,338,100,143,127,77,97,23,0,0,915,463,276,350,283,241,205,44,0,0,1846,2075,2709,6471,6431,5854,3341,653,56,0,27596,1428,480,1306,1067,935,1282,2631,1855,666,11653,178,148,326,321,267,165,123,135,87,1744,3673,3341,8105,7821,7054,4785,3414,2046,750,40997
SED51205,603,1454,3676,2797,2032,1574,370,27,0,12532,498,362,1055,941,629,953,1697,1033,405,7559,59,118,273,187,116,90,75,81,62,1060,1160,1937,4998,3923,2771,2618,2140,1137,463,21147,167,1169,4523,4065,2695,1820,361,23,0,14818,796,1583,2524,1786,1209,1032,428,47,3,9410,33,61,279,197,112,104,40,0,0,824,19,111,232,109,90,43,12,3,0,615,1010,2918,7562,6156,4110,2996,841,71,3,25668,48,113,265,181,155,130,17,0,0,919,198,144,159,116,66,72,21,4,0,774,245,259,427,293,224,203,43,3,0,1692,1259,3174,7991,6452,4333,3202,874,79,8,27365,1087,690,1503,1275,1015,1517,3031,1898,663,12681,137,245,579,420,245,180,146,144,97,2201,2480,4103,10074,8141,5600,4901,4054,2124,768,42247
SED51304,833,827,1353,2547,2573,1845,587,41,5,10608,384,85,204,400,338,730,2169,1314,489,6110,5,10,45,48,41,34,39,52,42,309,1226,920,1606,2991,2949,2603,2793,1407,532,17031,156,661,1645,3026,3448,2154,480,43,0,11623,1180,896,734,1551,1523,1302,787,104,3,8080,39,40,182,215,108,136,61,5,0,796,13,13,35,47,47,18,12,0,0,190,1388,1617,2592,4837,5135,3616,1344,158,7,20685,23,30,50,58,65,61,26,0,0,313,271,48,32,59,50,48,24,0,0,530,292,82,86,115,115,112,44,0,0,841,1676,1696,2680,4953,5247,3727,1383,158,7,21523,895,182,306,490,471,1099,3799,2534,790,10566,21,21,82,96,85,48,78,86,54,570,2595,1900,3066,5538,5803,4876,5257,2782,848,32664
SED51401,398,498,1201,1446,1760,1725,566,94,9,7695,324,120,425,358,422,851,1622,1029,424,5574,92,87,194,225,265,253,216,186,75,1590,806,709,1823,2026,2450,2827,2401,1313,505,14861,291,746,1913,2020,2506,2394,742,109,12,10737,405,257,616,871,935,1129,537,148,9,4911,37,44,182,120,156,220,95,11,3,876,31,30,61,54,65,38,44,17,9,364,758,1082,2777,3067,3660,3788,1423,284,39,16888,46,69,104,89,88,108,21,0,0,527,43,23,42,40,50,45,25,0,0,276,92,96,148,128,145,147,47,5,0,805,853,1177,2924,3202,3812,3933,1472,288,37,17691,706,243,692,645,748,1452,3199,1995,724,10401,186,215,501,529,668,648,475,348,133,3713,1741,1631,4110,4381,5227,6029,5152,2633,895,31803
SED51504,792,991,2242,2660,2734,1671,480,62,3,11633,562,104,273,506,508,715,1407,1217,760,6050,14,21,76,63,46,35,54,51,55,412,1370,1122,2591,3227,3290,2419,1934,1332,818,18098,105,640,2675,3322,3576,2174,396,38,3,12932,1175,1177,1274,1755,1574,1133,613,114,17,8834,62,65,170,150,98,131,31,12,0,722,12,29,69,47,42,22,13,4,0,238,1353,1908,4190,5275,5285,3467,1045,168,24,22720,12,41,78,69,96,63,12,3,0,378,207,65,48,62,54,45,24,0,0,506,217,109,126,134,149,106,34,0,0,879,1569,2017,4316,5411,5435,3575,1079,174,25,23600,1378,252,413,638,701,1093,2437,2139,1203,10247,38,39,146,139,87,60,90,83,74,754,2992,2305,4873,6190,6223,4729,3613,2393,1304,34607
SED51605,982,1286,2876,3161,2856,1669,329,14,0,13172,459,189,536,667,551,768,1231,675,232,5315,42,51,120,94,89,70,59,59,34,609,1484,1526,3531,3929,3489,2503,1619,753,264,19101,315,1207,3778,4134,3854,2188,343,13,0,15828,1240,1078,1401,1842,1512,1065,373,41,0,8542,35,57,323,226,178,148,35,7,0,1008,22,38,87,77,63,42,7,0,0,332,1607,2379,5590,6267,5606,3443,764,61,0,25719,51,104,140,118,115,68,7,0,0,604,224,98,88,94,76,63,16,0,0,655,280,201,224,216,188,132,29,0,0,1257,1889,2580,5814,6480,5794,3575,785,60,0,26975,1071,356,713,840,779,1129,2208,1280,396,8783,77,104,238,207,159,117,112,103,57,1179,3037,3042,6764,7526,6738,4816,3113,1444,450,36936
SED51706,792,687,1754,2215,2301,1763,370,56,5,9948,397,167,618,484,508,1091,1889,1145,368,6674,47,34,123,113,112,116,120,123,108,909,1241,890,2501,2822,2922,2973,2385,1320,483,17532,369,892,2272,2619,2860,2135,389,49,3,11583,874,449,991,1418,1290,1215,489,83,5,6814,65,71,223,191,205,244,48,14,0,1049,28,41,78,65,62,53,16,13,5,361,1334,1451,3554,4291,4420,3646,944,153,13,19807,56,76,130,85,92,95,20,0,0,551,124,52,49,64,60,69,16,0,0,437,182,125,180,155,150,167,33,0,0,989,1514,1575,3739,4441,4569,3812,976,155,13,20800,895,271,733,636,730,1725,3602,2150,616,11360,132,86,243,254,263,248,265,221,180,1886,2541,1932,4710,5330,5559,5781,4841,2527,815,34038
SED51804,794,1068,1844,1963,2538,1756,631,124,6,10727,816,175,286,464,588,966,1699,1505,797,7295,44,59,82,85,79,87,88,98,129,750,1657,1300,2207,2513,3206,2810,2421,1732,931,18776,88,634,2403,2450,3275,2235,594,80,3,11754,1123,1227,888,1168,1440,1316,931,246,21,8352,68,62,183,154,91,108,57,17,0,740,13,27,39,40,43,23,17,12,4,206,1289,1948,3514,3810,4851,3681,1588,355,24,21062,17,31,90,67,115,80,16,0,0,418,201,77,51,42,58,52,20,8,0,517,215,118,144,107,173,135,39,7,0,929,1503,2064,3650,3916,5020,3814,1628,363,24,21995,1678,365,441,592,811,1449,2849,2667,1273,12126,76,95,176,177,160,165,163,170,190,1366,3260,2519,4270,4687,5994,5431,4638,3202,1488,35488
SED51902,991,969,2484,2580,2524,1768,417,37,3,11769,485,194,694,626,521,855,1471,773,226,5851,38,37,104,108,89,81,50,42,24,575,1509,1202,3284,3317,3136,2703,1940,845,251,18200,416,1107,3085,3399,3361,2317,396,31,4,14109,1089,701,1271,1455,1343,1157,505,78,3,7612,50,62,305,220,189,185,62,7,0,1075,31,39,93,80,69,61,18,8,3,393,1592,1910,4751,5161,4952,3719,981,123,9,23189,74,83,106,93,85,67,10,0,0,520,173,52,82,65,45,64,15,0,0,497,251,132,186,161,133,130,29,0,0,1016,1840,2040,4934,5315,5087,3842,1005,123,9,24207,1050,329,930,895,821,1327,2716,1559,416,10047,85,75,189,206,184,154,96,72,38,1101,2980,2447,6058,6414,6096,5324,3821,1757,461,35350
SED52006,735,727,1361,1737,2152,1748,369,34,0,8862,376,150,481,493,507,1182,2762,1771,536,8249,33,28,58,66,72,56,60,98,88,559,1140,905,1906,2293,2724,2983,3194,1902,621,17672,233,640,1508,1877,2428,1927,345,19,0,8970,902,613,799,1051,1175,1179,502,64,0,6290,53,48,154,159,197,215,57,8,0,899,22,30,80,61,51,33,22,7,4,317,1215,1333,2543,3150,3850,3359,919,101,5,16471,59,85,119,107,118,112,22,4,0,626,192,48,69,63,60,97,31,4,0,563,244,133,192,173,184,208,50,5,0,1188,1455,1467,2735,3320,4031,3569,967,106,6,17659,805,265,627,671,739,1840,5023,3457,947,14363,80,51,111,119,131,111,135,162,134,1027,2338,1776,3478,4105,4903,5515,6128,3725,1088,33058
SED52102,733,908,2130,2380,2046,1559,393,26,4,10175,421,175,617,611,454,831,1483,929,338,5865,60,58,132,141,102,79,64,61,25,724,1213,1141,2883,3130,2607,2466,1932,1020,368,16760,257,939,2801,3296,2876,2073,424,17,0,12689,818,750,1168,1358,1028,961,404,44,3,6544,36,58,239,181,129,136,45,0,3,828,18,58,105,78,76,51,15,3,0,400,1133,1805,4317,4911,4111,3234,883,71,9,20466,64,88,144,138,103,97,16,0,0,653,196,54,79,79,59,53,12,0,0,535,256,149,227,215,162,146,32,0,0,1188,1390,1956,4538,5130,4274,3379,912,70,9,21652,964,347,783,783,714,1240,2643,1695,590,9759,108,124,258,280,202,171,117,98,54,1407,2463,2418,5577,6190,5189,4793,3676,1869,650,32826
SED52205,581,1092,2691,2395,2385,1970,524,48,6,11677,345,183,443,499,481,878,1763,1139,580,6317,43,86,208,165,162,124,131,139,141,1194,967,1358,3343,3054,3025,2969,2415,1327,726,19187,134,779,3341,2965,2986,2088,437,26,0,12752,735,1037,1388,1515,1356,1396,625,87,8,8140,32,72,261,264,138,159,55,5,0,975,20,28,71,60,53,39,6,4,0,284,917,1909,5062,4804,4527,3676,1122,121,11,22154,24,61,134,115,140,130,20,0,0,626,171,92,104,66,85,86,27,0,0,624,197,153,234,177,226,216,45,0,0,1251,1118,2067,5294,4984,4754,3892,1170,123,11,23403,752,339,672,748,823,1500,3203,2127,963,11127,90,172,438,398,381,309,258,255,233,2531,1955,2581,6404,6129,5955,5700,4628,2502,1206,37063
SED52301,764,751,1622,1824,2087,1603,408,41,9,9101,346,194,533,411,410,766,1514,973,392,5544,91,103,221,245,184,158,159,114,89,1351,1206,1043,2370,2482,2681,2524,2084,1129,487,15998,362,821,2024,2188,2490,1910,398,32,5,10226,898,494,916,1039,1111,1020,442,68,3,5983,34,66,199,143,165,204,70,7,0,889,20,23,70,43,62,36,10,11,7,279,1316,1406,3202,3410,3833,3172,917,112,14,17379,60,85,93,97,111,84,10,0,0,538,118,36,63,73,60,76,20,0,0,442,177,119,155,168,169,157,35,0,0,986,1490,1527,3365,3580,4000,3325,947,117,8,18363,762,332,765,657,709,1311,2800,1808,686,9837,221,174,422,490,381,341,305,230,143,2705,2477,2040,4548,4730,5092,4986,4048,2152,836,30906
