SED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SED52404,228,880,12,1118,3953,97,9,5169,68,1178,7,1247,3100,78,5,4435,13,195,0,204,1592,74,4,1878,0,6,0,6,510,38,0,549,7678,2988,357,11022,20739,839,41,32644
SED52505,284,950,12,1249,3906,156,49,5362,81,933,18,1031,2730,83,64,3914,7,139,0,141,1144,71,14,1374,0,12,0,12,315,36,4,358,12380,3107,391,15882,24727,2227,172,43008
SED52604,229,1023,10,1261,4499,207,5,5978,33,946,0,984,2977,153,4,4123,3,152,3,164,1484,181,3,1826,4,3,0,6,579,152,3,740,6516,2904,253,9677,22320,1566,54,33617
SED52702,291,846,8,1143,4058,128,5,5332,55,1183,6,1241,3420,142,3,4800,13,252,3,266,2528,130,4,2934,0,15,0,17,895,75,0,986,6275,3057,341,9674,20468,946,36,31119
SED52803,197,477,0,679,3908,1310,24,5913,19,202,0,225,2094,555,19,2891,6,43,0,46,720,126,0,899,0,3,0,3,188,38,4,230,6665,1623,310,8597,20242,8684,138,37663
SED52903,172,576,16,759,5414,1117,17,7312,23,456,8,487,5058,775,26,6344,7,81,0,88,1321,283,0,1688,0,3,0,7,156,53,0,216,5976,2842,682,9495,25053,6795,365,41713
SED53004,234,952,7,1196,3817,92,16,5113,50,1358,5,1411,3591,97,5,5106,12,215,4,230,2034,80,10,2353,0,14,0,19,943,39,0,1002,7218,3225,376,10822,21345,744,53,32961
SED53105,180,705,15,897,3211,213,21,4343,42,496,4,544,2245,155,19,2960,7,91,0,99,1237,78,7,1425,0,0,0,0,468,37,0,511,9617,2462,451,12532,21720,2863,71,37191
SED53204,261,872,13,1138,3594,113,16,4860,54,673,3,728,2238,86,18,3074,0,117,0,119,1249,58,6,1433,0,7,0,7,447,22,4,478,9815,2697,352,12869,22850,981,69,36759
SED53306,183,837,10,1025,4015,244,13,5295,38,622,0,660,4234,265,5,5164,10,127,0,137,3098,330,0,3568,0,12,0,12,1264,291,0,1563,6620,2619,378,9621,23950,2427,37,36029
SED53402,246,493,4,740,3716,170,15,4650,54,631,0,684,2727,148,9,3567,6,144,0,161,1574,117,3,1853,0,8,0,8,816,90,0,909,6998,2091,267,9364,24605,1550,74,35586
SED53502,229,826,21,1081,4215,299,19,5608,57,699,4,761,3278,242,15,4293,7,143,0,154,2100,272,9,2534,0,8,0,8,779,270,0,1061,7390,2786,331,10503,24772,2608,87,37971
SED53602,284,659,22,962,4032,235,26,5255,71,636,8,718,3207,221,16,4155,7,115,0,124,1839,186,0,2152,0,8,0,10,565,152,0,732,6891,2438,255,9577,25835,2657,83,38152
SED53701,188,762,5,960,4919,767,0,6649,36,541,0,578,4802,667,4,6059,11,95,0,100,2284,379,0,2766,0,7,0,11,564,100,0,678,4915,2038,256,7205,21352,4108,176,32846
SED53802,214,631,11,856,3914,179,20,4971,74,861,4,938,3262,135,17,4346,12,208,0,221,2353,110,7,2696,0,15,0,15,902,51,0,967,6978,2476,200,9657,25793,1625,70,37143
SED53902,248,490,7,746,3813,152,10,4725,41,770,0,806,2873,142,7,3824,21,254,0,281,2243,218,4,2737,4,24,0,29,1440,144,0,1617,6266,2212,205,8685,25215,1551,70,35519
SED54006,164,879,4,1053,4380,279,3,5710,36,623,0,652,4234,260,4,5150,10,109,0,116,2415,213,5,2746,0,8,0,11,694,116,0,816,6371,2488,352,9220,22303,1980,42,33544
SED54104,394,489,12,900,4120,243,21,5280,97,1237,8,1339,3230,305,23,4900,16,379,0,399,2420,288,9,3115,0,20,0,20,1066,177,9,1271,7453,2890,261,10610,27521,2341,177,40656
SED54203,141,533,13,682,4997,1411,34,7126,40,429,9,477,4655,772,9,5918,6,57,5,62,1567,253,0,1886,0,5,0,5,183,37,0,232,5288,1834,396,7513,22739,8574,307,39132
SED54304,279,473,11,759,4369,591,85,5806,31,596,4,630,2743,397,34,3811,3,140,0,148,1329,213,20,1708,0,11,0,11,661,108,3,790,6811,2207,253,9268,34698,5142,875,49990
SED54403,199,580,14,788,4946,2252,48,8037,16,286,3,306,2079,659,22,3070,0,36,0,35,527,128,4,695,0,0,3,8,59,11,0,77,10318,2337,637,13293,27366,15176,334,56171
SED54505,337,732,4,1073,3808,106,38,5027,87,1344,3,1441,3343,84,39,4901,18,287,0,306,2268,125,12,2696,5,14,0,12,965,88,3,1068,8727,3077,245,12049,22944,846,137,35976
SED54605,185,934,8,1131,4284,241,15,5672,40,773,5,810,3829,228,12,4886,12,135,0,148,2654,298,6,3108,4,9,0,12,1010,267,6,1292,5324,2691,266,8275,22700,2601,79,33659
SED54701,161,619,3,790,4136,520,10,5458,24,452,3,479,3251,428,4,4162,11,79,0,94,1901,295,0,2289,0,5,0,5,637,127,0,779,5486,1887,285,7663,19451,3463,70,30651
SED54804,226,562,9,795,3562,152,22,4537,44,894,6,940,2477,170,12,3603,13,202,0,218,1900,207,8,2330,0,8,0,5,1025,219,0,1246,7597,2491,250,10344,24634,1871,126,36975
SED54905,317,607,9,934,3878,175,22,5016,65,1114,4,1180,3203,201,30,4614,4,224,3,229,2017,208,0,2457,0,10,0,10,974,244,0,1232,6097,2707,254,9057,25464,1766,164,36438
SED55005,243,750,11,1000,3734,111,28,4877,70,694,5,767,2651,124,33,3576,7,102,0,110,1357,97,10,1569,0,10,0,14,513,83,4,608,9984,2751,352,13082,24129,1433,128,38772
SED55102,248,775,13,1042,3899,331,15,5275,46,573,0,625,2725,198,12,3561,6,95,0,101,1307,89,3,1504,0,3,0,6,305,18,6,327,8959,2604,426,11990,21565,3550,106,37217
SED55202,239,769,12,1024,3819,224,21,5082,52,711,6,765,3437,201,18,4423,10,139,4,154,2236,172,6,2565,3,5,0,10,835,183,5,1035,7599,2730,292,10621,25170,2323,94,38206
SED55306,217,779,7,1008,4375,364,10,5756,39,900,6,947,4370,339,5,5666,7,135,0,144,2599,231,4,2983,0,6,0,8,961,108,0,1080,7243,2541,393,10172,22539,2298,72,35085
SED55405,212,466,9,686,3385,232,20,4316,30,542,5,581,2441,231,15,3269,8,117,0,126,1584,264,6,1984,0,7,0,3,858,354,0,1219,6777,1997,247,9022,28792,2986,133,40926
SED55504,219,865,10,1093,3597,120,17,4823,38,742,5,789,2697,110,10,3606,9,113,0,119,1690,116,7,1930,0,6,0,6,534,97,0,638,9413,2860,429,12695,23065,1305,73,37132
SED55605,224,963,14,1196,3918,135,9,5263,36,492,0,523,2310,107,7,2947,10,81,0,91,1352,87,6,1535,0,7,0,11,403,53,0,470,8957,2873,522,12348,22036,1398,48,35829
SED55706,281,654,10,946,5313,559,10,6823,56,684,3,745,4912,455,12,6120,17,94,4,113,2493,261,0,2872,0,3,0,0,778,128,4,913,6289,2154,384,8828,23309,3204,160,35492
SED55802,243,829,11,1091,3987,155,36,5264,43,593,4,642,2365,94,17,3115,9,116,5,119,1429,64,4,1610,0,12,0,6,534,20,3,568,10015,2838,343,13198,25188,1570,89,40047
SED55905,245,768,13,1024,3779,241,10,5053,35,808,3,848,2990,288,7,4126,9,167,0,179,2191,375,0,2743,6,8,0,17,889,402,0,1310,6053,2557,277,8888,22525,2587,63,34054
SED59797,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
