SED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SED51104,30,15,184,293,60,546,67,383,31,1613,113,180,458,532,240,409,159,311,39,2436,558,952,1285,911,761,442,476,615,128,6123,664,1143,1163,855,850,339,518,508,114,6154,696,925,988,780,801,355,486,499,90,5614,320,430,552,407,482,257,322,339,39,3143,53,89,87,81,101,47,67,95,10,615,6,3,3,4,11,10,9,10,4,56,0,0,0,0,0,0,0,0,0,0,2440,3745,4712,3854,3297,2393,2100,2755,458,25753
SED51205,16,28,99,164,45,341,57,229,28,1010,97,327,482,588,240,439,219,445,82,2918,507,1797,1151,1081,772,466,772,861,152,7562,587,1514,1028,781,756,268,552,551,122,6156,379,738,706,494,554,193,439,532,76,4110,261,466,428,386,484,165,350,411,42,2996,75,141,126,97,134,49,85,106,13,841,11,16,5,3,9,3,8,11,6,71,0,0,0,0,0,0,0,0,0,3,1943,5024,4023,3602,2998,1919,2485,3155,520,25668
SED51304,12,29,107,326,64,488,43,306,15,1388,60,305,211,324,201,294,58,152,19,1617,280,1059,376,241,274,127,73,110,39,2592,1015,1951,504,320,588,196,86,105,72,4837,1189,1775,511,433,714,210,100,123,77,5135,682,1136,397,307,596,208,111,139,36,3616,211,425,128,75,236,113,60,73,23,1344,24,55,18,3,25,9,12,13,3,158,0,0,0,0,0,0,0,0,0,7,3485,6744,2248,2025,2695,1643,543,1012,278,20685
SED51401,35,6,126,80,30,199,49,222,25,758,88,88,246,117,95,108,110,220,13,1082,428,426,554,244,250,124,326,384,38,2777,647,404,520,322,305,157,357,297,55,3067,891,399,503,359,378,174,502,400,53,3660,970,388,476,342,392,182,559,428,58,3788,511,130,128,100,127,68,167,152,38,1423,174,16,13,11,9,4,15,31,17,284,24,0,0,0,0,0,0,7,6,39,3757,1863,2557,1573,1594,1013,2083,2137,304,16888
SED51504,10,45,75,351,83,455,50,268,22,1353,67,405,209,459,211,294,67,178,17,1908,407,1667,401,516,358,217,146,423,65,4190,1031,2306,361,359,497,190,137,334,63,5275,1310,2265,296,306,616,226,84,127,53,5285,776,1421,251,220,426,168,59,104,36,3467,212,381,79,54,165,56,31,54,16,1045,30,54,13,6,25,14,4,14,8,168,3,10,0,0,5,3,0,0,3,24,3851,8554,1678,2275,2376,1630,585,1499,280,22720
SED51605,18,27,168,291,79,525,71,400,14,1607,106,298,437,443,249,381,156,291,27,2379,534,1541,1062,602,718,315,319,393,105,5590,936,1662,1077,624,887,281,353,351,107,6267,803,1120,921,570,904,323,415,454,95,5606,432,519,567,348,625,233,320,355,39,3443,84,144,111,61,109,61,70,111,10,764,17,10,0,3,0,9,0,18,3,61,0,0,0,0,0,0,0,0,0,0,2938,5318,4357,2951,3578,2122,1696,2359,405,25719
SED51706,19,10,196,213,52,411,50,358,24,1334,53,90,377,211,123,153,140,287,21,1451,250,509,929,317,377,264,378,472,60,3554,456,751,859,470,490,239,502,441,83,4291,550,672,789,507,559,255,557,464,67,4420,456,535,572,415,442,216,551,404,51,3646,212,149,120,75,95,49,120,104,18,944,70,10,8,5,7,5,9,22,13,153,14,0,0,0,0,0,0,0,0,13,2080,2721,3848,2210,2145,1587,2304,2559,344,19807
SED51804,10,73,66,459,68,338,53,210,15,1289,82,463,134,525,258,278,58,135,21,1948,403,1803,249,382,289,169,60,113,42,3514,873,1850,206,230,336,131,42,76,61,3810,1376,2146,182,251,484,210,57,80,67,4851,944,1661,154,192,377,165,36,87,74,3681,393,718,65,68,173,83,17,33,41,1588,98,143,10,13,39,27,5,9,16,355,3,8,0,0,3,0,0,0,4,24,4178,8862,1066,2116,2032,1394,331,742,332,21062
SED51902,20,31,232,252,65,493,84,383,30,1592,74,155,499,332,181,261,144,240,29,1910,409,774,1175,560,664,275,448,357,85,4751,720,946,969,538,741,264,521,350,109,5161,730,853,831,529,804,265,503,348,87,4952,554,574,614,361,633,214,431,270,60,3719,155,152,146,77,144,72,118,96,13,981,38,21,15,5,12,4,8,9,15,123,3,0,0,0,0,0,0,0,3,9,2712,3510,4479,2655,3241,1843,2260,2052,438,23189
SED52006,14,15,159,234,34,417,50,272,16,1215,48,114,271,280,95,225,102,184,18,1333,193,434,648,340,238,187,210,246,49,2543,346,582,590,452,358,193,320,247,50,3150,496,661,662,501,487,267,413,309,54,3850,422,575,549,434,448,242,363,270,50,3359,134,162,122,75,146,83,100,76,26,919,17,12,11,3,16,10,11,10,11,101,0,0,0,0,0,0,0,0,3,5,1668,2552,3014,2317,1824,1631,1576,1603,285,16471
SED52102,13,13,147,165,61,383,62,281,17,1133,51,116,391,302,188,288,179,257,36,1805,339,793,969,479,575,257,429,364,110,4317,589,957,884,509,766,260,496,364,91,4911,486,592,695,428,673,242,520,388,79,4111,368,391,481,347,580,208,520,274,61,3234,110,129,119,73,163,55,132,92,10,883,9,6,12,4,15,7,7,11,0,71,0,0,0,0,0,0,0,0,3,9,1962,3004,3693,2308,3026,1699,2338,2024,414,20466
SED52205,8,23,90,231,25,291,35,201,5,917,78,264,267,564,165,270,76,201,20,1909,563,1832,830,678,411,207,172,285,87,5062,823,1756,694,420,414,156,193,267,82,4804,835,1533,534,406,516,186,200,250,58,4527,591,1145,414,338,459,186,202,277,57,3676,139,384,136,90,143,78,52,77,21,1122,20,43,4,5,12,11,5,13,4,121,0,5,0,0,0,0,0,0,4,11,3060,6991,2976,2728,2148,1391,943,1574,351,22154
SED52301,14,19,215,236,43,423,51,296,18,1316,51,128,338,257,131,197,72,202,16,1406,241,645,682,442,347,229,222,347,48,3202,412,737,578,434,425,228,242,329,37,3410,479,783,510,510,481,266,383,360,72,3833,395,509,433,405,446,216,394,319,41,3172,155,150,103,94,129,52,107,106,16,917,40,19,13,3,5,9,9,11,8,112,4,0,0,0,0,0,0,0,7,14,1793,2991,2869,2376,2007,1626,1483,1972,263,17379
SED52404,10,27,158,300,53,413,49,292,5,1320,80,259,302,361,158,307,70,167,17,1711,396,1180,841,425,466,235,154,212,78,3992,840,1518,832,449,634,169,158,203,67,4869,848,1298,646,461,677,224,186,249,68,4653,618,952,478,359,653,241,169,231,51,3735,168,255,149,85,206,71,60,78,17,1086,5,15,7,8,15,7,3,14,5,80,0,0,0,0,0,0,0,0,0,3,2972,5503,3410,2447,2855,1669,858,1442,298,21447
SED52505,15,33,144,277,70,539,90,351,21,1542,79,391,363,462,269,365,163,248,39,2380,637,2193,1041,746,920,403,445,378,131,6901,1132,2794,1115,847,1126,384,541,392,130,8463,795,1415,692,591,870,289,307,310,91,5366,589,857,485,363,682,249,243,259,42,3773,157,226,128,92,166,69,71,89,22,1019,20,13,9,5,15,6,3,21,0,98,0,0,0,0,0,0,0,0,0,4,3429,7929,3980,3385,4117,2307,1866,2050,480,29544
SED52604,7,21,145,301,55,479,50,318,8,1399,74,269,351,472,263,378,79,253,44,2189,329,990,718,432,435,236,179,233,74,3619,657,1149,699,427,556,168,170,230,56,4122,905,1247,693,524,755,269,198,241,86,4915,660,982,618,431,767,271,221,284,69,4301,137,188,139,79,191,81,60,78,17,965,11,27,5,6,5,8,3,11,0,76,0,0,0,0,0,0,0,0,0,3,2774,4882,3369,2666,3020,1885,970,1652,355,21582
SED52702,19,22,157,294,63,383,67,319,13,1332,50,168,305,275,159,207,92,182,16,1454,199,630,472,232,304,119,119,124,42,2236,628,1138,569,277,471,142,165,140,51,3574,943,1332,631,464,690,198,223,198,67,4748,697,994,524,367,601,202,266,222,59,3934,231,353,167,87,172,81,87,69,27,1273,50,51,11,13,21,5,7,17,12,193,4,0,0,0,0,0,0,0,3,8,2822,4694,2838,2004,2481,1330,1033,1270,288,18753
SED52803,9,15,228,124,51,276,81,213,21,1024,38,262,531,173,177,134,357,268,29,1967,278,1042,1343,400,459,189,1070,444,63,5298,547,749,1121,380,424,159,1050,327,66,4827,557,589,1021,338,467,178,1050,322,83,4602,436,465,689,243,370,158,822,363,64,3599,114,90,134,47,96,35,201,88,19,826,15,11,5,9,14,0,8,12,6,76,0,0,0,0,0,0,0,0,0,0,1986,3227,5073,1706,2058,1132,4644,2027,364,22212
SED52903,10,21,63,129,56,177,10,168,19,661,58,209,183,251,134,90,62,211,29,1233,430,1309,592,719,428,183,209,451,105,4419,691,1135,567,577,485,154,212,310,102,4225,731,836,511,488,507,173,282,264,90,3879,730,792,392,424,507,215,270,257,49,3629,300,249,123,108,143,80,119,103,35,1261,44,18,8,5,20,16,9,10,19,146,4,0,0,0,0,0,0,0,0,7,2993,4578,2436,2692,2279,1086,1169,1782,441,19458
SED53004,16,26,143,279,57,465,43,296,9,1339,46,240,281,314,182,285,85,200,19,1650,307,1065,610,366,416,177,146,186,57,3328,759,1608,746,415,672,195,163,190,49,4809,715,1259,632,471,807,245,185,213,57,4565,549,863,533,399,745,232,204,215,43,3772,152,266,145,112,239,79,69,110,13,1198,9,24,10,3,23,9,3,14,6,103,0,5,0,0,3,0,0,0,0,6,2552,5351,3113,2361,3139,1691,897,1428,251,20777
SED53105,16,22,152,139,47,450,62,297,30,1207,79,197,434,391,194,284,162,286,36,2070,471,1167,1066,661,732,380,504,483,96,5543,729,1484,1081,749,895,343,533,498,105,6425,522,737,769,548,633,264,518,481,79,4541,263,341,424,300,433,156,375,317,46,2649,66,69,85,71,98,38,86,89,12,613,5,5,4,0,7,0,5,9,0,33,0,0,0,0,4,0,0,0,0,4,2157,4017,4011,2857,3044,1907,2241,2458,401,23091
SED53204,18,34,135,285,78,587,67,357,26,1590,93,299,375,447,276,445,153,261,29,2378,527,1236,923,650,738,352,288,323,89,5125,976,1625,1000,631,995,378,355,445,93,6503,815,1064,883,617,892,341,418,460,89,5581,457,483,534,370,616,260,307,407,43,3482,80,112,96,62,143,51,81,93,3,710,10,8,10,7,7,3,4,9,3,58,0,0,0,0,0,0,0,0,0,4,2967,4863,3955,3063,3751,2418,1675,2359,376,25425
SED53306,12,7,138,219,40,387,48,284,27,1167,74,133,331,325,119,276,118,249,31,1648,282,513,768,549,323,288,363,356,64,3512,387,606,693,527,379,230,381,375,57,3637,441,607,617,529,410,253,427,327,58,3661,307,458,478,415,383,231,383,340,47,3055,76,109,80,79,93,66,103,95,8,716,6,13,8,4,13,8,12,8,4,74,0,0,0,0,0,0,0,0,4,10,1594,2450,3123,2648,1766,1729,1842,2039,302,17480
SED53402,9,25,61,196,33,296,34,194,4,862,73,348,235,468,228,337,105,211,29,2030,624,2365,784,712,700,333,279,371,90,6258,1003,2260,642,486,680,216,225,281,79,5877,851,1431,528,398,646,200,162,226,64,4500,498,828,324,298,537,171,168,231,43,3101,137,224,86,82,137,61,66,74,13,874,9,24,4,9,10,3,4,11,4,75,0,0,0,0,0,0,0,0,0,8,3209,7504,2663,2649,2981,1608,1044,1593,336,23581
SED53502,20,24,141,176,53,437,63,315,23,1253,93,183,436,372,225,324,177,285,55,2151,453,1029,1032,603,683,345,379,428,90,5046,609,1067,771,606,645,229,452,361,106,4854,578,833,688,546,665,282,415,369,75,4457,424,587,500,435,589,259,404,352,60,3599,91,187,105,93,163,55,115,101,25,940,16,15,6,6,10,3,5,16,3,95,0,0,0,0,0,0,0,5,3,12,2290,3927,3681,2834,3042,1934,2017,2229,435,22397
SED53602,7,18,91,146,36,392,41,245,26,1012,76,200,321,459,202,374,181,363,60,2241,370,819,900,858,514,376,516,677,133,5167,376,727,733,697,469,228,497,641,131,4493,340,446,581,546,431,243,445,722,78,3827,219,280,452,385,390,165,354,607,45,2902,65,86,105,101,95,45,89,155,23,775,9,5,9,4,8,7,9,5,5,59,0,0,0,0,0,0,0,0,0,0,1461,2587,3200,3204,2152,1833,2135,3414,498,20480
SED53701,15,4,145,110,21,175,37,197,26,739,84,75,232,115,71,96,113,235,22,1037,370,337,473,214,267,114,239,498,38,2551,731,493,536,271,364,109,296,385,46,3221,912,437,564,352,451,178,475,410,67,3851,998,430,545,326,474,209,594,451,72,4096,515,155,135,87,141,63,179,169,33,1464,182,16,17,7,29,16,15,32,22,340,19,0,0,0,0,0,4,4,3,34,3830,1942,2635,1472,1822,964,1951,2383,326,17330
SED53802,9,12,92,173,39,364,37,249,15,990,84,268,291,413,231,363,150,267,34,2099,517,1543,951,747,694,402,361,435,123,5765,652,1314,773,567,659,289,342,396,89,5080,571,825,610,451,669,248,293,363,77,4111,373,533,497,391,586,210,255,362,42,3242,116,191,149,99,170,75,75,130,18,1025,9,27,15,5,27,6,4,15,9,121,0,0,0,0,0,0,0,4,0,10,2333,4707,3380,2849,3079,1956,1514,2228,409,22444
SED53902,18,14,67,223,34,294,24,198,8,892,89,369,218,480,223,366,85,210,31,2061,512,2095,699,674,643,340,215,298,91,5575,855,1836,541,421,573,204,184,247,89,4953,841,1365,436,352,613,204,167,247,44,4271,576,978,344,278,546,184,149,212,32,3305,149,360,90,71,183,85,32,79,8,1051,26,39,9,6,23,11,7,16,13,155,0,4,0,0,5,0,0,0,0,13,3070,7052,2415,2505,2830,1691,876,1502,321,22263
SED54006,16,13,231,206,40,405,69,342,19,1346,48,74,358,199,111,157,138,237,32,1348,223,358,748,305,275,154,343,520,51,2976,378,496,784,409,397,211,510,475,76,3737,509,543,784,490,509,233,587,429,89,4178,414,443,580,393,387,207,523,391,61,3411,216,141,120,60,115,39,123,141,22,983,64,7,9,6,11,7,5,18,5,140,6,4,0,0,0,0,0,0,0,10,1876,2083,3612,2071,1842,1417,2301,2558,364,18129
SED54104,11,81,40,483,83,351,42,242,15,1352,98,703,157,715,312,402,64,186,32,2658,545,2943,382,475,467,218,102,215,57,5403,902,2646,278,251,422,137,79,130,68,4917,1114,2208,221,219,474,149,61,108,76,4633,762,1724,168,183,421,159,55,95,37,3604,304,731,67,66,199,77,28,33,23,1528,59,136,8,10,40,24,4,17,15,312,5,6,0,0,3,0,0,0,3,26,3798,11181,1318,2397,2426,1512,432,1029,339,24442
SED54203,3,5,79,72,17,105,31,136,15,473,34,156,271,153,108,74,167,260,32,1257,327,835,1164,406,332,105,678,568,78,4493,570,660,1078,316,335,121,773,381,77,4319,633,551,864,274,351,128,872,442,92,4221,634,510,633,274,391,183,794,383,63,3854,266,153,129,49,94,50,144,109,36,1028,45,11,7,0,3,7,4,18,10,106,0,0,0,0,0,0,0,3,0,6,2517,2888,4228,1552,1640,765,3472,2294,407,19757
SED54304,10,21,59,211,49,284,29,158,14,833,135,667,305,818,333,355,108,278,54,3055,1191,4833,1118,1255,1160,504,290,662,155,11164,1538,3234,785,532,687,251,211,285,98,7622,1113,1924,452,335,610,241,195,187,78,5141,774,1203,343,223,507,171,132,186,50,3578,206,355,87,72,149,64,46,55,15,1054,31,43,8,4,19,9,0,10,6,135,0,3,0,0,0,0,0,5,0,10,4999,12280,3157,3454,3510,1879,1014,1825,469,32584
SED54403,14,22,218,150,71,289,70,270,35,1139,64,235,587,183,182,121,303,384,46,2110,578,1556,2657,559,738,280,1283,967,146,8766,932,1279,2718,572,789,181,1452,746,193,8869,811,889,1893,423,575,182,1571,583,137,7065,471,579,1039,254,391,120,1174,447,81,4564,108,131,141,56,68,25,194,80,10,821,5,4,9,4,0,0,11,7,0,41,0,0,0,0,0,0,0,0,0,3,2988,4700,9264,2201,2810,1207,6057,3483,652,33374
SED54505,10,67,90,348,65,445,57,299,8,1389,68,414,210,363,187,335,70,190,26,1861,235,1221,317,276,300,169,92,168,45,2820,714,2192,571,426,659,171,214,203,84,5234,867,1890,587,505,684,213,232,263,72,5314,578,1037,365,255,562,165,180,188,53,3384,148,355,130,72,208,70,61,94,15,1152,21,44,16,4,18,7,7,7,6,135,0,0,0,0,0,0,0,0,0,9,2638,7218,2284,2253,2684,1575,904,1417,311,21292
SED54605,15,14,130,169,19,308,44,222,19,943,66,105,386,338,126,209,118,216,20,1600,247,497,810,530,348,169,223,331,58,3216,397,572,629,481,353,155,268,329,44,3231,400,518,626,545,463,216,376,360,71,3566,342,512,542,474,494,211,412,342,55,3377,87,123,99,87,121,58,92,108,14,798,4,11,5,5,6,5,7,9,6,73,0,0,0,0,0,0,0,3,6,8,1561,2358,3223,2634,1940,1338,1544,1916,300,16815
SED54701,26,16,151,110,43,200,57,236,30,864,100,124,290,152,109,113,154,265,35,1333,493,511,599,279,287,171,328,540,60,3263,868,467,488,284,393,191,298,473,53,3512,1056,435,496,316,365,192,390,472,65,3789,1011,425,416,260,334,172,448,517,89,3671,536,129,106,67,139,52,149,138,35,1344,153,12,4,8,12,9,17,34,11,257,18,3,0,0,0,0,0,4,0,30,4258,2112,2551,1473,1691,1100,1836,2671,370,18062
SED54804,16,21,80,267,41,340,32,238,7,1043,80,376,238,484,189,314,49,154,28,1908,789,2623,975,702,744,323,228,284,123,6789,1198,2282,708,484,651,268,164,211,101,6070,968,1563,454,365,637,249,123,188,57,4612,550,967,345,261,496,199,120,175,37,3156,145,252,77,62,164,79,41,54,23,902,19,39,15,9,21,10,3,11,17,139,0,4,0,0,0,0,0,0,3,5,3772,8129,2889,2633,2943,1788,770,1322,383,24629
