SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED51104,64,1698,122,0,1878,66,1500,85,4,1649,184,3309,163,35,3694,264,3116,177,14,3566,309,2825,145,5,3288,229,1895,106,5,2232,164,1342,50,0,1562,95,758,61,3,918,22,247,35,0,305,1395,16691,932,64,19089,81,1610,108,0,1800,84,1515,89,4,1694,412,3813,223,6,4455,546,3543,183,3,4275,513,3099,163,3,3778,434,2041,89,8,2572,249,1524,81,3,1857,119,927,83,0,1134,26,383,43,0,448,2463,18458,1055,32,22006,141,3307,225,3,3676,147,3020,170,3,3340,597,7122,382,43,8148,811,6656,358,16,7842,824,5922,309,11,7061,657,3935,196,13,4802,410,2865,128,6,3416,211,1689,146,3,2051,46,630,75,0,749,3854,35148,1992,104,41095
SED51205,73,1155,96,4,1325,76,1933,168,10,2181,258,4418,396,13,5086,322,3619,273,15,4235,310,2367,147,6,2835,258,1912,114,13,2299,225,1611,76,15,1927,99,825,65,0,990,27,245,39,0,308,1649,18080,1366,80,21176,53,1036,71,0,1162,93,1698,142,4,1941,323,4339,335,8,5008,444,3276,205,4,3930,462,2171,138,10,2787,498,2007,118,22,2643,345,1717,80,24,2167,139,914,88,6,1143,21,384,65,0,466,2367,17538,1246,83,21230,126,2192,163,6,2484,165,3631,309,11,4121,584,8756,730,20,10093,771,6893,479,19,8159,778,4537,288,17,5615,754,3920,227,38,4936,569,3321,160,35,4088,231,1742,150,14,2134,44,627,102,7,771,4019,35619,2609,161,42410
SED51304,54,1288,25,0,1371,48,922,16,5,985,75,1334,48,3,1466,209,2268,64,3,2545,365,2430,62,4,2862,401,1840,32,5,2280,383,2041,45,4,2470,152,1176,45,0,1371,54,250,11,0,317,1737,13549,352,24,15661,38,1175,16,0,1228,49,854,16,0,924,114,1442,54,5,1607,364,2565,63,3,2998,567,2331,45,5,2953,722,1850,29,5,2612,552,2193,47,3,2794,161,1178,68,4,1409,30,468,41,0,532,2590,14057,383,34,17064,87,2465,44,0,2598,95,1782,32,0,1903,185,2773,102,10,3073,569,4838,123,7,5546,931,4758,111,11,5820,1126,3692,61,8,4888,935,4230,94,8,5267,314,2357,109,0,2782,81,716,57,0,848,4326,27606,733,57,32721
SED51401,52,762,117,0,936,51,716,165,3,931,124,1719,443,15,2298,201,1726,429,4,2353,288,2034,452,4,2778,386,2392,423,0,3202,276,2186,292,0,2751,119,1026,179,0,1325,29,291,69,0,387,1527,12847,2563,22,16967,37,660,112,0,806,43,564,100,5,706,191,1430,200,0,1826,278,1508,246,0,2031,469,1701,276,0,2448,562,2005,262,0,2831,343,1830,225,6,2407,135,982,195,4,1312,23,399,88,0,505,2085,11074,1698,17,14875,90,1422,232,0,1746,90,1282,260,7,1636,318,3144,648,11,4125,474,3233,674,5,4382,759,3733,729,8,5231,952,4395,682,4,6031,621,4016,516,3,5155,253,2006,373,4,2636,56,686,157,0,895,3608,23925,4270,38,31841
SED51504,65,1524,26,0,1621,70,1093,21,3,1191,112,2077,90,6,2286,212,2661,88,8,2967,353,2526,55,11,2940,421,1858,36,9,2318,242,1380,52,12,1685,128,893,40,7,1071,63,395,21,4,489,1666,14411,432,49,16552,58,1287,25,0,1372,77,1015,29,3,1122,179,2329,86,13,2609,371,2786,72,5,3234,655,2580,61,3,3297,694,1679,37,8,2423,377,1495,68,16,1949,192,1076,64,9,1334,76,686,54,3,822,2680,14922,492,55,18153,124,2811,51,0,2991,149,2109,47,9,2310,288,4405,176,24,4891,583,5445,159,5,6199,1012,5102,111,15,6236,1117,3538,80,14,4744,624,2873,118,17,3630,318,1973,108,11,2400,137,1083,79,5,1306,4344,29338,924,100,34706
SED51605,54,1443,54,12,1568,55,1391,69,4,1521,162,2939,127,3,3235,269,3206,129,0,3601,345,2803,95,0,3252,307,1947,72,7,2325,163,1273,55,8,1502,95,551,52,3,695,20,147,24,0,189,1465,15694,678,49,17887,48,1383,57,0,1484,91,1371,62,0,1526,254,3148,133,5,3538,500,3304,125,0,3924,610,2785,96,6,3493,559,1870,75,13,2514,259,1288,70,15,1638,79,612,66,3,749,16,213,33,0,262,2415,15976,709,41,19138,97,2826,108,12,3053,154,2762,129,3,3046,412,6083,264,7,6776,766,6511,251,0,7527,956,5593,188,8,6747,858,3818,145,18,4836,424,2564,125,25,3138,171,1159,113,7,1449,35,360,59,0,451,3880,31670,1387,92,37025
SED51706,60,1140,97,0,1294,58,932,57,0,1044,128,1950,132,10,2220,231,2120,161,6,2516,307,2165,165,0,2641,387,2279,149,4,2813,287,2023,156,7,2471,137,959,107,0,1202,25,242,69,0,337,1617,13803,1086,28,16533,64,1108,71,3,1242,41,810,37,4,891,268,2093,138,14,2514,453,2228,136,9,2824,569,2225,127,0,2922,696,2159,121,7,2978,399,1848,135,3,2388,164,1018,140,0,1324,20,354,110,0,483,2672,13849,1004,38,17574,121,2245,165,3,2537,99,1734,95,6,1939,391,4044,274,22,4735,683,4346,297,14,5346,877,4392,292,0,5559,1077,4444,267,12,5795,686,3868,286,11,4852,302,1978,244,0,2525,44,595,177,0,815,4293,27659,2096,68,34107
SED51804,71,1480,56,3,1610,66,1112,43,5,1225,110,1844,116,19,2079,163,1912,98,12,2178,362,2337,90,15,2805,471,2058,88,20,2639,331,1808,81,14,2224,163,1220,83,6,1478,64,430,67,0,557,1790,14205,711,88,16797,84,1506,64,6,1662,74,1157,71,4,1299,163,1949,99,14,2219,302,2118,97,12,2530,674,2435,90,15,3218,862,1863,92,14,2821,503,1823,93,10,2433,259,1364,112,0,1733,56,732,146,0,935,2971,14947,851,74,18852,151,2992,117,13,3274,136,2270,110,10,2528,269,3798,206,26,4296,467,4027,191,23,4705,1040,4776,181,30,6023,1334,3924,177,27,5460,836,3627,173,20,4662,417,2586,196,7,3208,119,1164,211,4,1497,4764,29157,1563,163,35650
SED51902,61,1330,76,0,1468,45,1139,63,0,1246,134,2473,165,0,2774,284,2581,236,4,3103,321,2438,198,5,2964,353,2141,123,9,2620,216,1574,87,4,1881,116,739,46,0,904,20,173,19,0,212,1546,14595,1007,18,17175,69,1387,61,0,1515,66,1095,41,0,1204,324,2825,133,0,3294,466,2715,134,6,3321,621,2408,108,3,3142,593,2026,90,9,2714,336,1541,66,6,1952,103,696,50,3,848,11,214,22,0,253,2594,14905,697,37,18233,127,2723,129,0,2982,107,2234,101,0,2448,460,5299,303,3,6060,756,5296,367,8,6427,944,4850,309,9,6101,945,4169,212,12,5338,558,3112,152,11,3833,223,1437,97,3,1757,30,390,46,0,468,4145,29504,1708,53,35413
SED52006,47,1087,56,0,1192,39,807,27,0,871,98,1398,79,3,1580,152,1575,88,3,1822,232,1878,67,4,2186,338,2136,63,0,2530,342,2492,99,6,2935,204,1554,70,0,1826,59,369,40,0,469,1503,13300,580,23,15408,55,1039,48,0,1140,63,810,29,3,908,177,1657,70,6,1907,319,1894,86,6,2296,472,2165,88,0,2727,643,2274,66,3,2991,522,2586,87,6,3204,215,1583,101,0,1901,47,506,78,0,626,2511,14509,654,25,17695,102,2124,110,0,2338,101,1618,56,3,1781,274,3058,145,7,3481,470,3465,168,7,4116,704,4046,157,6,4908,980,4410,127,3,5521,867,5076,186,13,6140,418,3133,171,3,3730,101,872,112,0,1089,4015,27802,1237,47,33107
SED52102,43,1133,73,0,1250,53,1145,87,4,1288,152,2390,159,7,2701,271,2626,162,3,3063,290,2169,125,3,2578,277,1935,111,4,2330,223,1455,63,5,1742,101,711,42,0,853,24,231,27,0,284,1433,13792,835,20,16083,64,1071,79,0,1214,71,1003,62,0,1140,266,2468,150,3,2880,404,2572,158,0,3130,468,2022,113,0,2608,525,1849,98,9,2471,312,1562,69,0,1939,120,838,62,0,1020,18,324,27,0,373,2246,13704,815,15,16780,103,2205,154,0,2466,124,2147,145,9,2427,418,4863,303,9,5582,675,5197,320,3,6194,765,4185,238,3,5193,802,3781,205,16,4798,534,3012,133,9,3679,219,1545,100,0,1868,42,552,57,0,651,3675,27494,1655,40,32864
SED52205,45,877,61,0,988,72,1050,97,12,1236,159,2658,247,40,3103,205,2608,257,6,3080,367,2319,243,13,2945,407,2126,198,18,2752,283,1781,142,9,2222,141,924,118,0,1178,42,345,88,3,482,1733,14687,1460,99,17981,60,858,53,0,965,86,1177,97,16,1371,215,2902,228,30,3376,355,2527,175,4,3066,644,2206,175,10,3037,728,2097,147,10,2979,463,1797,156,5,2425,139,1042,140,5,1329,33,546,149,0,726,2721,15157,1314,87,19273,101,1737,113,4,1957,161,2228,194,31,2607,370,5558,479,70,6479,560,5137,433,14,6142,1011,4527,418,22,5981,1133,4222,344,27,5731,748,3585,296,12,4639,279,1963,259,3,2508,79,885,232,3,1206,4454,29839,2775,190,37251
SED52301,58,1065,149,0,1277,47,833,110,4,991,94,1787,295,6,2185,189,1755,309,0,2248,252,1926,235,0,2411,310,1942,214,3,2459,194,1627,152,0,1970,101,810,117,5,1035,33,265,54,3,356,1277,12001,1632,25,14937,57,1035,112,0,1206,49,884,107,0,1049,225,1909,240,4,2383,370,1844,262,0,2477,446,2031,201,3,2681,518,1842,165,3,2532,291,1617,171,0,2085,116,873,133,4,1132,24,377,89,0,487,2100,12412,1483,17,16016,112,2103,258,0,2476,99,1720,220,5,2042,320,3691,534,13,4563,563,3596,570,0,4730,690,3960,438,7,5096,827,3780,379,8,4992,486,3238,320,3,4051,216,1687,255,9,2160,58,637,144,5,840,3373,24419,3117,46,30954
SED52404,42,1250,35,0,1328,48,1027,36,0,1104,104,2061,82,6,2256,185,2478,92,4,2753,306,2298,71,3,2684,336,1998,48,7,2390,269,1818,45,5,2132,84,780,43,0,909,32,178,7,0,216,1411,13881,458,21,15774,50,1160,41,0,1248,57,907,23,0,990,146,2253,77,6,2476,340,2539,70,4,2959,485,2254,71,4,2817,618,2106,54,3,2783,395,1859,39,3,2295,117,805,37,4,966,18,281,38,0,335,2225,14165,458,17,16867,93,2405,74,0,2569,101,1933,59,0,2097,254,4309,161,6,4732,530,5015,159,4,5711,797,4552,146,7,5499,955,4106,103,9,5169,658,3677,87,5,4435,209,1583,83,4,1878,51,460,49,0,549,3641,28042,916,41,32644
