SED_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SED51104,886,2567,2482,9072,126,15142,7,99,79,1063,17,1262,548,32,35,49,0,670,117,33,8,93,6,253,604,114,69,194,7,994,14591,2317,2140,6758,180,25988,726,14,63,26,3,835,302,12,11,57,0,385,818,133,102,535,18,1603,83,40,15,62,0,199,68,9,8,21,0,101,785,38,24,38,0,889,2914,352,265,1557,44,5130,597,205,132,769,14,1715,74,0,9,3,0,84,27,18,10,14,0,67,49,29,11,45,0,126,65,18,10,26,0,121,1278,154,91,51,12,1583,589,204,102,52,9,951,263,37,20,99,10,429,81,11,11,18,0,124,153,12,11,10,0,190,3127,402,374,1448,28,5381,64,3,3,8,0,79,1445,77,76,21,7,1622,171,28,12,43,0,249,43,8,3,11,0,63,95,8,9,0,0,108,602,57,61,74,5,802,5081,419,471,453,58,6494,330,36,32,174,1968,2539,28298,4259,3765,15625,2427,54374
SED51205,887,1512,1226,5550,123,9296,26,63,41,824,15,975,6876,53,170,72,49,7208,95,30,18,72,0,223,375,108,110,229,6,822,4696,1251,1028,4707,111,11791,1879,20,66,16,9,1985,159,3,24,36,0,228,343,90,62,397,13,910,68,24,6,50,0,151,51,0,4,11,0,64,3848,53,29,36,20,3993,1004,214,163,1272,17,2666,793,204,103,636,12,1753,617,3,16,0,0,636,108,15,14,33,0,160,15,11,7,29,0,50,30,5,0,11,0,46,324,34,27,14,3,402,192,69,41,28,0,323,224,23,7,45,3,303,94,5,6,10,0,114,60,4,0,0,0,76,898,254,240,1110,14,2516,70,0,0,4,0,74,214,26,21,9,9,279,194,6,19,21,0,242,313,3,8,7,0,325,443,18,11,3,0,482,137,30,26,64,0,255,13373,461,447,415,80,14780,569,24,24,77,2187,2874,33700,2673,2266,10674,2605,51929
SED51304,406,2350,1823,9305,51,13933,10,14,4,189,0,224,976,38,86,70,7,1175,200,100,31,225,0,553,548,127,88,234,0,996,6963,1877,1449,7830,42,18159,115,12,31,9,0,164,209,21,35,50,0,317,704,125,134,583,9,1548,206,69,16,169,0,464,57,16,5,5,3,88,668,62,34,37,0,802,1861,448,296,2461,10,5068,1030,337,168,1080,12,2634,68,0,5,0,0,74,24,5,7,21,0,57,147,41,21,121,0,325,38,11,13,29,0,85,123,33,8,0,0,164,235,138,65,26,0,471,338,55,49,99,3,540,94,5,24,22,0,152,14,4,0,0,0,17,1735,441,300,2096,17,4596,82,11,9,14,0,112,747,72,67,17,0,904,149,11,23,47,0,228,38,11,7,9,0,70,120,12,8,9,0,148,342,48,30,128,0,554,2413,409,398,451,19,3696,143,23,7,103,610,890,16181,3966,2939,17356,747,41192
SED51401,282,1334,1293,11966,227,15105,4,84,39,1609,34,1768,116,4,14,35,9,177,42,19,5,82,3,151,297,95,53,162,8,616,3492,1359,1194,9927,219,16189,441,0,42,0,3,491,76,8,9,49,0,148,329,84,103,737,24,1273,18,3,0,36,0,64,45,11,4,8,0,68,193,9,7,17,0,230,653,196,182,2201,41,3267,260,117,65,674,12,1124,4,0,0,0,0,9,0,3,0,0,0,6,16,0,0,11,0,28,14,5,0,15,0,40,217,16,40,10,6,298,202,73,66,16,3,362,175,22,28,103,3,329,29,3,6,18,5,58,12,5,0,0,0,15,826,285,257,2241,34,3639,40,7,0,0,0,45,137,12,22,6,0,179,37,5,0,37,0,77,9,0,5,0,0,15,25,0,0,0,4,27,114,27,18,94,0,249,939,190,149,342,19,1635,59,19,20,207,4311,4609,7136,2350,2101,21736,4831,38163
SED51504,440,2253,1771,8508,56,13029,0,20,6,209,3,240,2808,96,145,91,5,3146,183,67,51,261,0,569,497,153,78,210,4,941,5105,1930,1436,7268,79,15819,191,3,46,0,3,242,245,38,34,69,0,389,632,106,102,590,4,1437,249,97,51,305,0,713,87,12,11,16,0,128,1357,57,53,52,6,1518,1584,466,320,2611,32,5004,1034,334,183,1072,9,2640,97,4,8,8,0,121,32,0,5,7,0,55,103,37,23,81,0,243,29,4,3,20,0,61,70,11,14,13,0,104,198,117,95,36,0,439,286,48,39,104,0,479,128,9,16,20,0,175,15,0,4,0,0,13,1287,438,272,2088,18,4107,93,9,15,24,0,135,546,57,77,9,0,684,166,9,8,48,0,230,124,7,11,16,0,160,208,5,30,11,0,253,222,42,35,127,0,426,5292,457,497,475,20,6751,128,27,3,70,765,987,18960,3930,3036,16331,961,43222
SED51605,680,2185,1859,9051,77,13848,8,63,45,764,8,880,2485,41,103,54,15,2694,762,196,97,452,9,1512,403,116,90,224,0,831,5819,1770,1564,6918,97,16177,1546,6,90,20,4,1669,202,17,17,40,0,282,456,133,92,512,8,1199,46,19,13,61,3,141,73,11,10,16,0,99,1206,59,38,33,0,1335,1313,284,249,1611,11,3469,1403,544,314,1895,20,4165,272,0,11,0,0,282,54,11,9,6,0,78,32,11,9,23,4,79,54,24,14,46,0,135,456,69,30,23,0,587,338,149,77,40,0,605,277,52,42,93,0,459,170,7,15,15,0,210,54,0,4,0,0,63,1519,423,313,1700,15,3963,449,12,11,26,4,509,617,53,67,21,0,758,233,19,21,59,0,325,82,11,6,4,0,101,130,7,11,0,0,152,210,48,35,83,0,377,4943,522,593,698,42,6802,250,22,7,111,1300,1680,21556,3964,3309,16623,1546,46997
SED51706,324,1909,1541,13956,140,17875,8,94,37,1151,22,1311,264,5,20,39,0,328,30,20,13,58,0,119,441,133,94,288,0,961,4401,1964,1518,11833,198,19917,289,5,58,5,0,364,77,22,13,61,0,169,402,151,88,825,3,1473,19,11,6,72,0,114,11,10,3,4,0,34,266,25,3,42,0,331,757,295,227,2442,36,3754,518,291,111,1593,18,2529,60,0,12,0,0,75,8,3,3,5,0,17,13,0,3,23,0,37,17,11,4,22,0,49,403,71,44,16,6,536,214,112,73,47,4,459,198,50,29,147,0,425,33,12,10,15,0,61,19,0,0,0,0,23,980,403,322,2535,30,4265,14,8,5,11,0,35,340,24,35,22,0,417,48,10,8,59,0,122,8,3,0,0,0,13,64,0,5,0,0,70,154,55,28,134,3,374,1344,240,178,435,21,2217,81,22,20,211,1989,2323,9242,3470,2611,25068,2348,42744
SED51804,380,2169,1955,9077,74,13655,6,25,16,278,6,327,1597,63,128,90,4,1891,155,58,31,222,10,476,458,130,89,187,5,862,5786,2176,1644,9303,94,19009,104,4,38,3,0,145,310,43,31,98,0,490,640,176,126,669,8,1619,171,73,33,254,0,531,67,19,15,16,0,109,557,44,60,32,0,693,1548,460,313,3144,19,5483,677,265,126,808,9,1886,57,8,15,4,4,80,27,6,5,20,0,56,42,5,13,39,0,94,21,16,4,30,0,65,43,9,12,3,0,69,180,45,50,26,0,308,295,42,45,106,0,494,122,23,5,19,0,171,12,0,0,0,0,12,1475,535,400,2945,22,5387,65,6,9,12,0,93,470,65,88,8,0,635,137,11,15,39,0,202,97,25,6,6,0,138,77,7,13,6,0,108,250,49,38,140,0,477,2966,444,532,510,20,4470,79,17,9,102,1461,1671,14627,4020,3335,19076,1678,42737
SED51902,614,2803,2299,11497,103,17313,11,87,74,855,16,1038,338,22,38,41,5,441,76,39,10,119,3,243,985,315,232,605,6,2141,7970,2411,2134,8813,142,21471,400,15,41,8,5,460,167,29,22,48,0,267,470,131,121,651,9,1387,42,14,12,50,0,119,58,15,8,18,0,90,849,51,24,42,0,967,1343,302,271,1748,20,3691,601,238,159,1017,9,2020,24,0,10,3,0,35,17,7,5,14,0,38,15,6,3,13,0,31,32,21,5,22,0,78,410,76,54,28,6,571,354,170,89,47,4,671,143,33,32,97,0,311,43,20,6,29,0,94,37,9,0,0,3,53,1587,440,364,1795,23,4212,47,6,0,10,0,63,524,76,59,18,3,683,90,12,6,32,0,146,43,8,3,8,0,66,59,0,4,0,4,60,262,56,42,89,5,458,3324,471,369,481,15,4665,159,29,21,162,1601,1977,16647,4489,3671,19444,1879,46134
SED52006,368,1903,1671,10116,145,14201,17,64,52,743,11,889,279,21,19,38,0,354,86,30,18,76,5,213,522,113,89,199,9,923,7624,1860,1557,9271,163,20476,360,4,77,14,4,451,153,11,17,61,0,242,475,88,93,744,8,1406,54,23,9,53,0,142,49,12,0,20,0,80,210,11,15,26,0,273,1428,303,189,2255,31,4209,388,185,77,695,13,1355,52,0,3,0,0,61,7,0,0,3,0,11,10,0,3,7,0,26,45,4,5,36,0,94,372,72,40,34,3,523,296,108,91,55,4,537,161,24,21,82,0,291,74,17,9,17,0,114,43,13,0,0,0,53,1572,341,312,2094,23,4353,25,9,6,18,0,48,396,37,44,19,3,494,80,8,7,47,0,141,21,3,3,3,0,31,78,0,5,0,0,87,356,49,37,102,0,547,1598,257,287,382,24,2544,113,24,13,200,1047,1399,13477,3251,2703,19179,1400,40011
SED52102,606,1936,1512,9245,101,13394,13,98,45,1090,18,1266,1251,23,36,36,0,1348,73,41,26,124,0,259,402,113,103,251,5,878,5134,1738,1372,7389,146,15786,1007,10,53,15,0,1095,147,11,5,60,7,235,395,132,90,612,9,1234,51,17,9,67,4,139,69,11,6,21,0,112,1460,37,46,46,5,1587,1064,279,211,1716,19,3292,639,267,113,890,8,1914,102,0,9,0,0,116,34,15,3,7,0,60,8,3,7,15,0,38,27,21,10,22,0,78,497,44,42,13,4,600,300,133,57,41,3,534,196,37,17,109,3,364,48,12,14,12,0,87,58,4,0,0,0,63,1099,322,241,1643,23,3334,52,6,10,13,0,72,251,35,26,17,0,332,104,5,10,30,0,160,104,12,0,8,0,124,117,5,11,6,0,136,155,46,18,76,0,285,5222,359,363,441,48,6433,240,23,19,184,1503,1965,17034,3314,2541,16698,1820,41406
SED52205,480,2049,1706,7329,91,11654,7,62,41,713,19,839,480,37,72,74,0,673,702,121,68,323,17,1233,421,133,94,240,3,887,5838,2020,1634,7232,105,16826,496,8,30,3,5,535,433,51,61,72,0,623,851,159,172,623,11,1825,81,37,20,99,8,243,69,18,15,32,5,136,306,33,25,27,0,392,1733,483,414,2772,29,5429,2367,531,275,1305,44,4523,41,5,14,0,0,64,38,5,4,15,0,68,34,4,0,17,0,53,48,15,3,22,5,95,205,54,17,22,3,306,219,72,54,42,0,377,248,41,47,83,4,425,91,12,14,31,0,151,16,3,0,0,0,18,1641,497,395,2235,18,4784,295,14,11,15,0,335,240,38,40,16,0,345,260,18,29,57,0,359,50,13,4,5,0,75,81,9,7,0,0,102,288,52,45,129,0,515,3636,545,528,572,51,5330,187,25,14,155,2623,3002,17223,4098,3277,15903,2947,43451
SED52301,230,1515,1188,11905,136,14972,9,140,55,3150,42,3399,217,18,20,67,5,326,33,22,7,108,3,170,298,95,58,207,5,664,2874,1371,1072,9687,140,15139,487,13,79,21,4,606,85,18,16,50,0,168,318,80,75,822,0,1298,36,22,15,29,0,102,26,10,0,12,0,48,278,20,12,32,0,344,507,273,177,2600,22,3578,371,165,81,871,13,1506,8,0,0,4,0,12,6,0,0,3,0,14,34,8,5,31,0,82,29,17,4,17,0,68,202,37,39,27,4,308,126,70,60,40,0,295,78,25,18,83,0,209,34,6,5,23,0,70,16,0,4,5,0,27,665,279,218,2192,24,3371,6,0,0,0,0,9,292,32,15,29,0,371,73,10,3,49,0,130,12,0,5,0,0,22,152,3,8,0,0,162,97,38,23,102,0,255,1394,239,265,663,17,2583,79,12,7,213,3361,3674,7222,2638,1999,23102,3692,38656
SED52404,507,2151,1901,8655,66,13279,0,42,33,313,0,393,639,41,54,55,0,789,150,56,24,153,0,380,518,116,74,215,0,927,8655,1898,1574,6367,83,18578,206,12,39,18,6,286,192,33,19,68,0,307,731,142,107,532,3,1522,146,45,39,114,0,344,85,19,16,14,0,140,509,49,28,30,0,623,2383,372,286,1966,25,5028,778,319,154,882,6,2142,30,0,5,0,0,35,27,4,0,11,0,43,80,20,13,56,0,174,35,13,19,24,0,91,219,29,37,13,0,309,325,134,79,26,0,574,355,50,43,85,0,537,130,6,13,14,0,165,10,5,3,0,0,15,2121,410,275,1618,13,4439,86,7,11,12,0,121,690,57,46,10,5,804,132,20,15,35,4,205,42,11,6,8,0,67,129,6,26,0,0,158,427,33,36,90,4,585,2699,409,459,401,26,3992,132,20,23,110,740,1031,17901,3686,3069,15028,942,40633
SED52505,942,2016,1605,7714,75,12344,13,34,17,416,81,567,6822,107,193,71,32,7228,98,36,32,114,0,276,452,154,75,277,9,972,6090,1781,1394,5874,68,15198,1235,11,54,12,0,1318,166,15,9,53,0,241,441,87,73,443,3,1044,49,25,14,57,0,138,62,3,3,17,0,90,6155,79,55,51,4,6346,1200,296,197,1303,6,2999,693,299,175,1016,8,2191,571,7,15,3,0,598,69,28,12,14,0,124,22,4,0,10,0,36,43,6,7,27,0,85,395,53,22,19,9,495,276,127,48,33,3,482,190,38,28,68,0,324,96,3,7,20,0,125,108,6,4,0,0,113,1395,353,254,1380,10,3393,61,3,11,13,0,92,995,88,67,23,0,1179,212,14,10,38,0,264,507,6,3,3,0,527,229,14,13,3,0,258,201,39,34,68,0,345,10088,428,474,464,21,11467,368,18,29,88,1974,2477,34100,3523,2786,13443,2270,56111
SED52604,514,1909,1618,6316,66,10417,20,29,23,313,9,392,987,17,30,44,0,1080,117,44,31,78,0,269,594,110,62,172,5,950,11044,1723,1416,4921,101,19200,252,9,42,0,0,310,284,24,12,34,0,357,695,97,72,367,3,1230,116,33,22,69,0,243,87,10,13,14,0,123,641,35,24,20,6,728,2763,351,235,1466,15,4827,642,195,114,556,12,1524,67,0,5,0,0,84,28,8,0,9,0,45,104,17,15,45,0,179,50,20,6,29,0,112,195,41,22,12,5,276,299,116,48,15,0,473,342,32,34,51,0,467,95,9,8,9,0,124,20,0,0,0,0,27,2424,350,255,1213,22,4266,76,13,3,6,0,95,1079,46,43,3,0,1174,135,13,15,29,0,193,58,6,8,7,0,81,132,7,11,4,0,154,483,45,27,51,7,616,3352,313,343,340,18,4369,190,22,26,108,1458,1802,21894,3187,2594,11096,1681,40454
SED52702,385,2348,1852,9121,66,13769,8,41,24,415,9,494,262,28,61,65,3,423,109,59,23,145,0,329,668,159,113,268,4,1211,7434,2187,1677,7577,123,18995,117,3,19,15,0,159,194,28,24,66,4,313,657,154,117,600,10,1533,62,25,8,45,0,137,64,21,11,34,0,130,224,47,18,26,0,324,1582,417,261,1877,18,4165,895,344,170,986,9,2411,6,0,8,3,0,16,21,4,5,16,0,41,17,8,4,19,0,41,25,11,13,31,0,86,101,31,23,10,5,168,265,118,66,32,5,488,249,52,37,101,0,442,79,11,17,39,0,145,11,0,0,3,0,15,1605,464,353,2075,25,4523,60,13,7,10,0,92,338,45,47,12,6,444,71,11,4,31,0,110,30,10,12,18,0,65,28,0,5,4,0,38,292,55,38,112,3,494,1775,395,347,465,16,2999,62,16,20,77,888,1054,13538,3998,3031,16391,1131,38092
SED52803,368,1407,1312,9852,158,13099,19,113,78,2611,90,2907,389,13,26,41,0,470,111,40,13,138,4,302,273,114,50,141,0,575,3777,1197,1057,7650,154,13836,944,9,94,17,17,1076,112,9,6,46,6,181,438,106,99,780,16,1429,44,16,10,54,0,129,30,3,3,13,0,50,516,18,17,25,0,578,874,244,165,2118,25,3428,280,144,74,794,17,1308,44,0,0,0,0,47,18,0,5,7,0,28,15,3,3,19,0,42,10,12,6,25,0,62,1331,115,103,34,34,1616,526,136,81,32,9,783,97,23,14,78,0,211,38,0,6,13,4,61,167,18,0,4,5,193,1109,306,220,1847,21,3508,39,5,3,4,0,50,384,32,20,4,0,443,115,5,6,26,0,154,48,0,3,4,0,53,71,0,3,0,0,78,131,34,22,92,0,278,2828,218,232,416,39,3732,169,29,29,220,9017,9464,11844,2518,2139,19139,9492,45130
SED52903,261,1239,1053,10232,142,12925,9,322,78,13026,304,13744,317,41,27,144,11,534,75,24,21,55,0,170,375,102,79,189,8,757,3432,1181,957,8512,158,14240,384,17,31,35,4,466,191,15,18,58,7,283,483,96,65,849,15,1508,38,19,10,56,0,126,34,7,9,9,0,60,226,18,10,28,0,277,801,255,170,2691,24,3941,458,156,70,536,13,1236,32,0,3,0,0,34,7,0,3,10,0,22,22,4,0,11,0,34,35,16,10,38,0,94,172,27,18,14,0,234,207,56,41,19,4,328,115,25,16,62,0,216,40,4,3,20,0,65,20,0,3,0,0,22,890,270,226,2252,22,3656,25,9,6,10,0,47,177,25,14,3,0,216,129,8,11,30,5,178,31,8,3,6,0,51,53,0,0,6,3,63,140,21,20,88,0,278,1607,273,200,852,57,2988,122,12,9,271,7169,7579,8621,2455,1806,30130,7778,50796
SED53004,431,2291,1797,9126,71,13724,5,32,18,310,0,374,981,42,73,74,0,1166,143,42,18,178,0,391,508,117,92,223,4,942,7365,2002,1529,7249,119,18268,164,5,37,10,0,222,221,26,20,71,5,344,601,119,99,540,8,1365,130,61,16,126,0,338,70,19,3,23,0,113,606,26,39,52,3,724,2184,398,263,2067,25,4934,876,306,151,917,8,2258,47,3,3,0,0,58,30,9,0,11,0,42,184,38,9,68,5,303,37,18,11,38,0,102,241,59,14,6,5,330,270,129,93,40,0,534,309,34,40,85,0,471,76,7,19,17,0,127,25,7,0,0,0,33,1840,420,304,1918,9,4493,55,12,7,19,0,90,593,61,34,10,0,702,121,8,17,32,0,177,52,6,4,10,0,79,189,6,21,4,0,216,322,59,31,122,0,537,2667,367,425,412,33,3908,138,15,12,95,627,892,16789,3783,2942,16307,866,40692
SED53105,719,2264,1896,9900,127,14908,14,87,70,1176,30,1374,1685,43,57,49,7,1838,198,69,14,215,8,503,414,134,84,287,4,920,6289,2016,1732,7386,130,17555,2056,19,84,26,0,2194,147,14,23,40,0,221,463,112,87,606,9,1279,53,21,16,72,3,169,42,13,11,30,0,85,1920,49,39,40,0,2045,1168,277,216,1527,20,3201,565,322,154,1174,14,2229,208,0,19,3,0,230,32,5,5,17,3,56,23,8,3,18,0,54,30,10,7,43,0,97,922,107,76,44,10,1161,390,140,92,33,4,668,139,27,26,60,0,253,102,8,12,11,0,133,122,20,8,5,0,162,1567,375,305,1584,18,3851,205,27,6,17,0,257,600,63,54,25,10,746,225,26,9,45,0,307,123,11,4,9,0,141,143,5,29,5,0,178,260,35,29,85,0,409,5220,503,434,547,39,6745,279,16,27,155,2880,3348,21225,3882,3173,17111,3221,48614
SED53204,1012,2050,1558,7419,48,12085,31,38,28,401,7,509,1767,36,80,63,9,1943,284,68,29,190,3,575,442,105,72,155,8,782,5652,1575,1244,5366,79,13911,854,16,51,27,0,943,166,17,9,45,0,234,402,98,90,389,6,987,180,78,47,177,0,490,95,13,8,10,0,130,3162,64,33,49,10,3318,1387,238,206,1217,9,3056,1217,504,221,1494,16,3448,95,3,11,4,0,112,80,20,17,17,0,125,966,166,96,223,7,1459,67,28,7,39,0,137,397,85,30,12,4,528,319,130,85,38,0,571,315,50,26,93,0,481,90,8,9,8,5,120,47,9,3,0,0,64,1193,260,206,1217,12,2881,342,23,9,30,0,400,878,62,40,12,5,990,197,27,21,51,0,302,70,26,3,18,0,120,2181,49,71,54,8,2374,223,39,24,67,4,350,7778,526,439,480,37,9266,478,29,14,122,830,1479,26850,3733,2765,13218,1061,47626
SED53306,474,2158,1690,11459,180,15957,14,89,47,1362,29,1540,389,14,20,46,4,474,58,31,16,92,6,208,504,108,89,202,4,903,7321,2034,1673,9360,238,20622,825,20,91,23,4,971,145,14,8,52,0,213,455,119,92,684,9,1358,41,18,4,55,0,118,53,7,3,7,0,68,487,23,19,18,0,546,1360,258,230,2128,39,4015,412,158,94,681,13,1362,44,8,7,0,0,57,8,4,0,4,0,22,11,3,0,6,0,23,36,15,6,21,0,83,676,114,58,38,5,885,369,111,78,53,4,613,138,24,24,81,0,263,56,4,5,10,3,82,64,17,0,0,0,88,1633,330,323,1956,28,4266,22,6,9,16,0,50,442,39,29,6,6,523,118,13,9,54,0,198,48,8,5,0,0,56,68,0,11,0,0,84,289,52,32,89,3,463,2378,284,267,394,19,3343,202,25,23,193,2373,2814,15067,3533,2836,20292,2840,44569
SED53402,532,2043,1650,7155,96,11470,11,48,21,501,25,605,2125,94,123,101,20,2466,175,68,33,185,0,467,406,130,98,198,6,835,4936,1777,1402,6382,122,14618,500,9,46,14,0,573,297,30,31,67,3,428,494,123,95,524,14,1249,168,56,32,177,7,435,71,16,22,18,0,120,1303,91,74,46,5,1518,1602,463,320,2318,33,4738,1369,490,232,1241,16,3345,168,0,18,8,0,196,27,5,0,7,0,39,87,13,7,53,3,161,47,12,11,44,0,110,193,40,28,12,3,279,222,79,49,20,0,379,449,54,72,150,5,734,136,13,13,22,0,185,25,6,4,0,0,31,1337,394,344,1737,20,3834,242,26,16,38,3,321,240,43,37,10,4,336,188,12,8,20,0,230,145,24,15,13,3,196,872,36,45,24,7,984,253,44,28,117,0,444,5250,528,520,560,51,6910,225,19,7,91,1437,1781,19345,3846,3015,14400,1794,42395
SED53502,514,2305,1791,10348,206,15165,13,100,76,1799,40,2028,667,24,48,52,7,795,356,68,46,256,8,732,437,154,76,242,0,909,5484,2056,1611,8560,212,17931,1483,26,83,18,10,1613,161,28,27,63,0,284,500,130,108,646,14,1402,82,42,16,98,0,239,68,13,6,29,0,110,1321,52,33,49,4,1456,1150,377,254,2034,38,3862,1069,337,178,1152,23,2750,40,0,8,0,0,53,12,4,0,5,0,16,51,16,10,28,0,110,56,22,12,30,4,115,517,58,51,15,0,639,297,133,70,54,11,562,283,54,40,133,3,513,55,9,6,23,0,94,46,3,4,0,0,50,1297,419,340,1907,34,4004,77,10,6,22,0,110,224,31,25,11,3,295,153,23,9,35,0,220,94,10,3,9,0,112,208,13,7,4,0,233,201,59,41,94,0,395,3830,424,407,501,47,5215,227,31,29,192,2461,2945,16921,4017,3070,19339,3005,46350
SED53602,1279,1354,992,5279,109,9011,59,103,39,1220,8,1434,1976,33,50,56,8,2120,231,54,21,96,5,406,207,67,36,123,0,430,3728,1181,878,4330,155,10272,910,9,55,3,3,975,164,20,9,24,0,211,318,65,60,327,4,778,262,66,38,128,9,490,91,4,6,12,0,115,1361,39,9,30,4,1440,778,245,116,1069,23,2238,1117,304,150,805,22,2391,58,0,6,0,0,65,74,13,3,3,0,101,1118,139,48,132,6,1446,55,13,12,32,0,108,369,61,38,24,3,499,205,55,46,19,0,327,262,24,25,46,0,356,89,7,17,12,0,125,46,6,7,0,0,62,772,249,182,969,16,2185,417,19,9,13,4,463,165,12,14,6,0,193,163,7,15,31,0,218,98,4,13,3,0,117,3469,23,67,24,14,3597,75,13,16,43,0,145,12829,440,353,345,133,14098,900,28,20,104,2570,3625,29340,2740,1961,10418,3021,47486
