SED_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SED51104,0,15,1755,1775,39,244,1267,1548,1048,1125,1302,3475,1989,619,741,3352,1986,395,739,3119,1415,197,506,2118,1085,77,314,1475,646,24,178,843,142,7,64,215,8341,2692,6871,17914,0,27,1672,1693,87,407,1094,1591,1621,1305,1282,4202,2375,656,1059,4096,2163,398,1063,3633,1361,164,919,2445,982,68,702,1747,511,15,473,1002,61,3,214,280,9173,3052,8470,20695,0,38,3424,3469,126,648,2362,3136,2670,2425,2581,7681,4370,1275,1802,7446,4146,797,1810,6750,2779,361,1420,4555,2063,145,1020,3225,1155,40,649,1845,203,14,276,493,17513,5750,15346,38609
SED51205,3,17,1228,1246,62,177,1774,2007,1644,635,2486,4762,2456,340,1161,3966,1604,233,821,2654,1281,122,754,2162,1222,67,533,1828,658,23,253,936,147,5,104,253,9075,1615,9107,19799,0,23,1062,1087,163,271,1357,1794,2294,674,1726,4692,2426,364,932,3720,1538,197,880,2619,1353,148,991,2491,1086,43,915,2047,437,18,601,1053,56,0,301,361,9355,1735,8771,19866,4,37,2288,2328,225,445,3130,3800,3934,1304,4213,9456,4884,705,2092,7685,3146,431,1696,5270,2633,273,1749,4654,2304,116,1449,3872,1092,35,856,1988,203,3,407,614,18430,3358,17881,39667
SED51304,0,0,1346,1342,0,32,911,943,334,360,698,1392,1803,299,344,2453,2086,250,427,2766,1745,178,309,2231,2001,87,308,2400,1068,26,217,1313,176,3,92,269,9224,1235,4645,15103,0,0,1203,1202,12,55,797,866,578,410,520,1509,2138,373,404,2908,2153,246,478,2873,1887,158,489,2536,1942,61,705,2707,715,17,579,1306,95,0,301,390,9514,1318,5469,16298,0,3,2545,2551,17,87,1704,1807,920,772,1219,2905,3944,669,750,5362,4242,494,904,5638,3631,332,798,4758,3942,148,1008,5106,1778,38,797,2616,269,3,394,658,18736,2556,10117,31403
SED51401,0,20,668,683,14,133,509,656,428,390,637,1450,861,266,424,1553,1052,273,596,1917,1342,257,794,2393,1413,144,742,2306,724,45,360,1124,176,0,117,294,5998,1531,4852,12380,0,28,598,626,32,187,318,544,620,440,443,1507,1004,287,432,1730,1189,271,585,2049,1444,266,685,2399,1297,92,661,2053,539,26,529,1093,77,3,247,328,6198,1607,4512,12321,0,51,1264,1309,43,321,830,1199,1045,830,1082,2958,1864,556,859,3281,2239,545,1184,3968,2782,519,1484,4793,2706,240,1405,4357,1264,68,891,2218,250,4,366,620,12200,3140,9361,24701
SED51504,0,3,1463,1460,10,61,1063,1134,638,464,1052,2152,1996,356,514,2863,2220,244,408,2867,1637,207,414,2254,1125,79,376,1585,729,44,190,967,246,9,136,391,8609,1464,5604,15683,0,3,1331,1334,23,94,933,1050,991,543,927,2459,2268,329,530,3132,2251,244,711,3213,1502,160,680,2348,1049,72,697,1820,590,25,584,1206,126,4,428,556,8803,1480,6824,17108,0,6,2787,2799,35,161,1995,2186,1627,1005,1979,4614,4266,686,1043,5994,4479,490,1116,6086,3141,365,1094,4601,2170,155,1077,3399,1323,69,783,2177,367,15,563,948,17415,2945,12434,32792
SED51605,0,9,1487,1495,16,152,1257,1427,916,803,1363,3083,2207,472,770,3447,2194,312,623,3128,1610,170,447,2229,1047,87,269,1408,486,25,132,643,100,4,72,175,8576,2038,6426,17041,0,13,1407,1423,39,254,1139,1431,1329,915,1138,3380,2544,483,772,3798,2306,311,776,3390,1512,157,720,2392,901,60,576,1539,319,16,347,681,48,0,173,224,8997,2209,7053,18256,0,27,2890,2919,54,407,2395,2859,2246,1716,2506,6461,4750,955,1546,7248,4496,616,1400,6515,3126,328,1167,4623,1951,154,845,2947,808,39,487,1330,146,4,249,396,17572,4246,13474,35294
SED51706,0,10,1175,1184,20,162,752,931,629,632,736,1998,1327,397,557,2282,1479,340,579,2400,1665,298,591,2553,1579,164,527,2269,812,35,234,1082,156,7,91,259,7670,2044,5237,14958,0,26,1138,1157,52,274,479,801,925,704,677,2303,1607,415,645,2668,1703,382,682,2767,1773,289,715,2771,1417,123,665,2199,580,25,570,1177,66,0,271,341,8123,2233,5836,16189,0,30,2308,2341,77,427,1229,1734,1563,1333,1410,4301,2937,817,1205,4951,3185,720,1261,5165,3433,585,1306,5324,2992,287,1187,4467,1391,60,803,2262,222,12,365,603,15795,4276,11075,31146
SED51804,0,5,1403,1405,5,59,1066,1124,360,495,1002,1852,1265,300,422,1990,1929,237,445,2620,1765,217,478,2461,1469,152,437,2061,981,64,291,1334,280,14,145,438,8048,1551,5689,15291,0,12,1399,1414,12,96,1077,1186,520,569,934,2024,1589,278,499,2363,2115,254,684,3051,1728,206,736,2663,1371,120,773,2267,755,34,756,1548,161,10,493,660,8249,1575,7348,17175,0,21,2800,2820,11,155,2142,2308,877,1062,1932,3874,2857,578,916,4353,4043,490,1133,5674,3494,416,1212,5122,2838,278,1213,4326,1735,101,1051,2882,439,23,637,1098,16299,3127,13036,32461
SED51902,0,11,1381,1392,42,155,976,1171,968,702,907,2576,1838,474,548,2862,1832,381,535,2747,1782,271,400,2454,1359,108,308,1778,661,12,179,852,105,9,76,184,8591,2125,5319,16031,0,22,1423,1445,84,226,812,1126,1483,843,810,3136,2063,521,610,3200,1980,410,612,3013,1756,228,605,2595,1231,73,534,1842,450,12,325,787,48,0,134,184,9107,2346,5869,17326,0,34,2807,2840,123,380,1786,2297,2451,1544,1716,5709,3905,1001,1160,6065,3815,795,1155,5762,3537,506,1010,5051,2588,185,843,3623,1107,27,503,1641,161,9,208,372,17696,4468,11186,33351
SED52006,0,3,1131,1136,10,108,687,813,368,449,650,1469,909,329,476,1711,1286,287,502,2076,1605,270,550,2424,2040,181,562,2788,1311,76,344,1729,256,8,134,404,7790,1713,5043,14543,0,14,1073,1083,22,185,635,842,622,566,617,1810,1248,369,578,2200,1545,333,742,2617,1805,252,782,2847,2017,167,865,3041,1004,53,712,1766,121,4,345,466,8387,1954,6335,16675,0,20,2204,2221,33,297,1323,1656,988,1022,1268,3272,2164,697,1055,3910,2832,618,1239,4692,3414,525,1335,5271,4054,344,1425,5829,2316,128,1053,3495,377,16,480,871,16174,3662,11379,31218
SED52102,0,9,1183,1191,15,152,1013,1183,737,637,1138,2514,1654,423,795,2879,1389,288,749,2428,1344,195,625,2166,1142,89,411,1642,565,23,211,795,156,0,75,234,7003,1818,6208,15027,0,20,1116,1132,44,229,784,1055,1160,738,825,2722,1799,412,761,2962,1434,298,758,2494,1377,170,785,2334,1042,67,731,1844,426,21,486,932,66,0,235,296,7338,1951,6477,15772,0,23,2299,2323,58,380,1804,2240,1898,1377,1964,5236,3451,836,1553,5844,2820,593,1512,4920,2721,368,1411,4499,2179,161,1143,3483,989,40,694,1727,216,0,309,527,14338,3772,12689,30797
SED52205,0,6,894,905,12,103,905,1020,453,852,1317,2625,1165,635,896,2695,1252,414,916,2585,1253,283,891,2429,1091,181,704,1974,678,42,307,1024,182,7,140,334,6100,2532,6965,15597,0,12,882,891,17,194,954,1160,713,1033,1248,2999,1369,603,845,2816,1318,436,1034,2791,1283,291,1147,2727,1070,127,994,2192,486,24,621,1132,67,3,390,458,6329,2717,8118,17166,0,15,1779,1793,32,297,1856,2187,1174,1885,2564,5624,2532,1242,1739,5517,2576,850,1950,5372,2541,572,2037,5157,2159,311,1704,4171,1168,64,925,2154,247,8,530,791,12431,5251,15084,32762
SED52301,0,19,1081,1100,16,176,645,839,497,545,760,1793,947,327,569,1834,1161,268,635,2069,1201,261,650,2116,1059,111,457,1619,558,29,243,834,147,16,103,263,5581,1746,5134,12458,0,45,1008,1053,49,270,535,857,743,581,723,2049,1161,354,647,2159,1346,325,733,2408,1215,240,753,2209,975,88,654,1716,436,26,479,944,63,5,239,308,5993,1930,5775,13700,0,63,2085,2151,69,448,1180,1696,1240,1116,1484,3840,2102,681,1215,3993,2507,597,1365,4472,2412,503,1408,4321,2033,191,1112,3335,1000,52,727,1774,213,22,339,573,11572,3677,10908,26158
SED52404,0,4,1265,1267,4,83,958,1051,580,651,901,2130,1640,428,568,2638,1734,293,564,2583,1707,182,432,2322,1656,80,336,2070,710,20,166,890,130,7,75,209,8157,1763,5248,15168,0,5,1191,1200,25,149,771,938,859,800,701,2360,1915,446,518,2870,1829,274,627,2726,1814,177,712,2708,1486,70,679,2233,497,9,438,942,72,0,242,312,8496,1934,5873,16292,0,13,2455,2471,28,234,1728,1989,1441,1450,1598,4489,3555,871,1084,5514,3560,567,1182,5311,3523,366,1139,5028,3144,155,1010,4308,1202,29,600,1834,201,7,311,520,16651,3691,11114,31458
SED52505,0,3,1592,1596,22,93,1358,1479,1529,711,1428,3668,3750,366,580,4704,2363,232,387,2984,1946,168,300,2414,1516,64,225,1806,525,19,85,631,98,0,39,130,11753,1661,5992,19415,0,5,1555,1566,69,190,1170,1430,2402,785,1179,4359,3888,389,711,4993,2328,236,613,3171,1945,147,628,2714,1264,60,562,1889,327,5,298,632,34,0,130,165,12256,1820,6849,20925,0,11,3147,3165,88,286,2528,2908,3931,1496,2606,8031,7640,755,1297,9699,4687,465,1004,6156,3893,314,924,5134,2782,125,787,3693,857,23,381,1260,129,3,166,299,24014,3482,12839,40339
SED52604,0,13,1309,1325,12,100,1239,1353,457,520,1122,2098,1385,315,571,2272,1877,253,469,2592,2068,196,458,2723,1522,77,332,1927,580,17,159,758,124,3,55,185,8017,1494,5703,15211,0,16,1194,1209,27,150,1001,1179,732,601,776,2108,1657,328,498,2482,2096,265,587,2950,2140,172,657,2964,1300,70,610,1979,427,8,402,839,63,0,224,285,8441,1611,5946,16001,0,23,2508,2535,37,255,2233,2527,1189,1116,1899,4204,3047,648,1064,4753,3971,516,1054,5539,4212,366,1113,5687,2818,142,941,3901,1005,26,560,1593,184,4,279,468,16465,3099,11649,31215
SED52702,0,3,1262,1264,10,44,876,930,355,299,585,1245,1221,272,352,1846,1791,308,431,2533,1769,262,444,2471,1718,137,369,2225,1058,46,243,1343,236,10,129,369,8162,1373,4698,14235,0,7,1106,1112,13,75,667,756,579,340,466,1380,1541,349,380,2265,2013,361,503,2878,1851,224,575,2653,1663,114,617,2391,766,26,615,1407,121,3,349,477,8548,1494,5275,15313,0,13,2370,2384,23,119,1545,1684,935,641,1050,2624,2764,623,724,4114,3803,668,938,5407,3619,485,1017,5123,3382,249,985,4617,1821,64,862,2752,355,11,482,840,16704,2869,9973,29547
SED52803,0,27,846,877,23,228,684,933,564,732,898,2196,1046,420,633,2104,1026,318,683,2025,1007,230,661,1901,545,59,414,1019,181,13,161,356,30,0,32,61,4429,2032,5023,11470,0,46,747,792,39,354,482,876,805,788,688,2273,1207,409,503,2119,1034,352,538,1926,931,160,510,1602,411,44,369,821,120,9,188,315,14,0,71,84,4557,2169,4090,10816,6,71,1594,1671,60,584,1167,1815,1375,1513,1580,4470,2258,833,1132,4221,2057,668,1222,3948,1938,393,1169,3503,954,103,779,1842,301,24,354,675,40,0,100,141,8986,4196,9109,22283
SED52903,10,21,826,854,71,154,577,797,453,685,892,2034,767,515,635,1921,715,390,584,1690,592,260,524,1375,368,94,348,818,93,20,111,221,9,0,23,32,3083,2148,4515,9748,22,34,833,887,77,206,615,895,597,791,1118,2502,888,580,805,2276,709,377,707,1802,592,215,639,1443,246,51,389,684,61,15,135,203,6,0,31,32,3195,2265,5269,10730,28,58,1657,1742,140,358,1188,1685,1053,1477,2014,4541,1662,1093,1440,4197,1428,771,1290,3489,1179,472,1161,2818,617,149,734,1499,154,32,241,431,12,4,49,66,6283,4417,9780,20475
SED53004,0,5,1236,1241,3,51,998,1051,508,468,841,1815,1683,408,515,2606,1660,270,525,2457,1660,177,422,2265,1921,83,377,2378,811,30,195,1033,184,4,102,287,8434,1489,5207,15133,0,11,1176,1185,13,95,775,886,786,595,569,1955,1886,402,529,2814,1786,274,631,2695,1867,171,663,2702,1715,62,775,2553,574,20,575,1171,98,0,337,439,8733,1632,6040,16405,0,14,2412,2427,23,142,1775,1941,1291,1060,1410,3767,3569,808,1040,5419,3448,546,1154,5154,3529,349,1090,4971,3640,149,1149,4937,1381,47,771,2200,284,3,443,728,17164,3127,11244,31537
SED53105,0,21,1294,1312,23,216,1138,1382,1002,860,1275,3138,2313,518,854,3679,1700,311,767,2775,1149,182,629,1961,856,77,372,1304,413,9,180,599,88,0,68,151,7549,2192,6570,16313,0,34,1207,1243,48,331,961,1340,1578,960,1150,3688,2535,548,944,4026,1629,307,828,2767,1110,142,822,2076,766,62,620,1450,274,12,369,655,41,0,153,196,7992,2383,7060,17435,0,52,2503,2556,77,548,2098,2723,2581,1822,2426,6828,4844,1061,1796,7703,3331,613,1595,5545,2264,328,1445,4038,1619,133,1000,2751,686,18,547,1252,126,0,221,352,15538,4578,13633,33748
SED53204,4,0,1637,1642,24,102,1355,1478,1030,572,1168,2763,2635,394,545,3582,2358,275,501,3137,1799,150,346,2298,1086,53,235,1379,462,17,115,595,109,0,52,160,9495,1571,5961,17026,5,9,1578,1587,61,154,1183,1402,1616,691,969,3275,2891,406,648,3955,2378,254,689,3326,1616,140,671,2428,880,49,611,1541,353,17,378,745,46,0,171,219,9851,1713,6903,18473,5,13,3214,3231,84,257,2535,2879,2644,1262,2132,6039,5532,805,1201,7532,4736,528,1191,6461,3418,288,1019,4726,1960,101,854,2915,818,32,489,1338,151,0,232,382,19343,3288,12865,35494
SED53306,0,22,1174,1197,21,219,831,1072,581,587,961,2132,1085,381,675,2136,1170,293,732,2192,1292,212,699,2201,1369,155,696,2226,1060,58,402,1519,282,13,204,503,6858,1940,6379,15177,0,43,1086,1131,55,308,797,1159,908,703,966,2576,1364,416,829,2603,1326,287,963,2573,1422,225,1070,2719,1368,114,1078,2560,812,51,877,1740,156,7,515,677,7405,2149,8186,17741,0,64,2255,2325,80,526,1624,2230,1489,1285,1932,4710,2442,791,1505,4743,2496,580,1694,4767,2712,439,1769,4921,2739,273,1780,4786,1872,105,1281,3260,434,19,721,1174,14268,4093,14564,32924
