SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED51104,433,471,904,126,70,198,8,0,7,0,0,0,21,20,39,7933,7960,15898,547,628,1175,172,5,176,53,0,53,30,11,39,396,68,463,97,99,199,9814,9333,19151,180,186,369,0,0,0,0,0,0,147,129,274,32,30,59,19,11,28,376,358,735,0,0,0,0,0,0,5,7,15,8,12,21,12,0,11,22,16,43,118,49,166,524,420,938,65,88,155,9,8,17,3,0,3,76,94,169,609,1085,1691,1811,1896,3704,59,41,95,12888,12859,25753
SED51205,382,498,880,243,342,590,3,0,5,3,0,3,94,65,155,9832,7006,16843,475,791,1268,134,3,140,62,12,73,87,26,111,201,43,246,88,107,194,11603,8896,20504,185,289,476,0,0,0,0,0,0,101,88,192,25,41,62,13,7,22,328,423,758,0,0,0,0,0,0,31,28,58,12,37,45,19,12,25,50,73,126,116,64,180,496,559,1056,81,108,193,6,7,11,10,3,14,98,120,225,517,689,1204,1180,1385,2561,59,54,115,13960,11706,25668
SED51304,381,322,706,47,29,73,0,0,0,0,5,5,19,9,30,6552,6131,12686,270,388,664,93,0,97,45,4,53,112,20,128,103,17,122,53,87,144,7686,7020,14705,276,121,399,0,0,0,0,0,0,157,146,303,26,23,51,20,0,24,478,294,772,0,0,0,0,0,0,7,14,22,6,5,8,0,0,9,18,13,28,48,33,82,542,342,890,51,50,100,0,6,4,0,6,8,61,57,110,1154,1313,2465,979,1480,2458,26,25,54,10446,10238,20685
SED51401,4,5,6,369,76,450,4,0,4,0,0,0,7,10,18,5471,4430,9897,427,343,769,244,0,251,36,5,39,52,20,69,267,74,345,652,483,1135,7535,5453,12990,0,0,0,0,0,0,0,0,0,8,9,18,0,0,0,0,0,0,11,9,19,0,0,0,0,0,0,22,3,25,6,0,6,7,3,10,34,7,40,118,30,148,152,49,200,8,3,10,14,0,14,17,0,19,39,3,44,919,916,1834,767,866,1633,112,73,187,9527,7353,16888
SED51504,181,220,401,456,421,881,0,0,0,0,0,0,54,53,101,7127,6335,13466,373,610,984,49,3,46,66,6,78,329,97,425,122,34,160,169,180,355,8937,7957,16893,148,171,316,0,0,0,0,0,0,74,62,138,15,12,23,12,4,21,247,243,491,0,0,0,0,0,0,32,29,62,9,25,37,6,13,24,47,65,118,78,54,134,374,366,740,34,39,75,13,11,19,10,0,8,60,48,105,1233,1314,2547,878,1496,2373,37,30,61,11510,11209,22720
SED51605,433,415,846,128,111,235,4,6,9,0,0,0,39,25,61,9044,7999,17041,468,620,1089,117,3,120,45,4,54,40,14,52,209,53,259,80,92,167,10603,9330,19932,191,206,390,0,0,0,0,0,0,136,124,260,17,35,59,10,0,13,360,372,731,0,0,0,0,0,0,11,9,25,12,12,26,7,11,13,34,34,71,104,57,164,501,462,962,83,88,165,3,0,5,9,0,5,94,89,177,667,979,1642,1254,1677,2933,45,21,70,13162,12553,25719
SED51706,5,0,5,214,43,253,0,0,3,0,0,0,9,14,21,6951,6547,13500,564,479,1037,145,9,148,38,0,42,56,11,61,136,19,156,174,149,325,8279,7282,15559,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,99,21,117,5,0,7,10,0,4,109,19,129,98,44,140,207,70,278,0,0,0,14,0,14,4,0,6,16,0,20,426,664,1092,1332,1415,2755,60,47,108,10334,9477,19807
SED51804,619,432,1056,323,239,556,4,0,4,0,0,0,23,23,49,6176,5652,11827,289,466,760,16,0,21,81,9,83,328,86,415,70,33,105,257,258,518,8187,7202,15389,65,60,119,0,4,5,0,0,0,45,42,86,9,14,25,18,6,25,131,130,262,0,0,0,0,0,0,10,20,30,3,15,12,6,4,10,17,38,55,68,43,107,213,210,421,26,17,39,3,0,3,7,3,3,28,20,52,1486,1549,3030,827,1271,2096,42,38,77,10783,10276,21062
SED51902,129,162,285,89,35,123,0,0,3,0,0,0,13,17,35,8180,7325,15512,412,448,860,310,22,328,46,3,51,22,5,25,209,54,261,129,112,242,9548,8177,17727,28,38,63,0,0,0,0,0,0,145,108,255,12,15,35,7,0,4,195,160,360,0,0,0,0,0,0,5,9,12,0,7,10,4,3,6,9,21,31,104,33,138,310,214,521,23,45,69,4,3,3,7,0,7,32,49,83,668,1169,1841,1324,1573,2900,65,61,119,11949,11240,23189
SED52006,105,124,229,130,75,209,0,0,0,0,0,0,15,9,20,4914,5327,10240,365,391,753,88,0,93,16,3,19,32,15,48,254,63,314,50,66,118,5980,6071,12046,37,29,70,0,0,0,0,0,0,72,62,133,7,6,12,0,0,4,121,101,219,0,0,0,0,0,0,14,9,23,9,15,17,8,3,6,31,23,52,88,29,120,237,149,389,34,30,59,7,8,13,4,0,4,42,35,78,453,736,1192,1413,1259,2678,57,35,87,8189,8286,16471
SED52102,66,91,163,170,161,333,0,3,3,0,0,0,47,28,73,7797,6436,14237,412,414,828,206,6,211,55,0,62,47,9,50,212,55,264,84,76,161,9107,7276,16380,23,43,66,0,0,0,0,0,0,59,55,114,4,9,16,3,0,3,92,107,200,0,0,0,0,0,0,18,18,35,18,21,39,15,3,16,42,43,87,84,40,122,214,190,413,18,20,40,7,0,9,0,0,0,19,20,42,435,740,1173,1031,1330,2360,57,38,98,10864,9597,20466
SED52205,213,209,424,255,309,561,8,4,14,3,0,3,49,35,87,6530,6250,12781,380,501,884,69,0,69,83,17,94,288,141,426,152,57,206,346,382,730,8374,7916,16287,199,141,339,0,0,0,0,0,0,102,116,216,16,28,43,29,15,48,342,307,645,0,0,0,0,0,0,8,19,31,14,11,32,14,16,23,38,52,85,90,59,152,472,414,884,30,38,64,11,4,10,11,3,13,42,44,83,947,1221,2172,1170,1469,2638,44,45,91,11043,11109,22154
SED52301,3,0,3,92,32,120,0,0,4,0,0,0,11,18,30,6075,6176,12251,451,524,979,143,8,150,80,11,90,113,47,162,124,29,155,182,159,341,7277,7003,14278,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,8,0,7,3,5,7,9,9,17,21,7,29,63,40,106,92,52,143,0,0,0,6,0,7,8,3,9,13,0,18,274,472,741,1024,1104,2133,35,29,64,8710,8671,17379
SED52404,280,324,604,59,31,95,4,7,3,0,0,0,24,9,32,7069,6423,13492,324,417,738,135,0,129,54,4,55,55,9,66,176,22,203,64,82,151,8240,7337,15572,189,143,334,0,0,0,0,0,0,209,168,378,15,20,40,13,4,12,429,336,769,0,0,0,0,0,0,7,3,7,4,5,9,4,0,7,13,3,23,60,27,84,507,367,873,72,63,131,0,0,3,6,0,6,74,61,141,927,1246,2174,1087,1553,2642,28,23,48,10859,10586,21447
SED52505,368,318,682,123,142,267,5,3,7,0,0,0,40,34,71,10519,9016,19540,456,732,1188,101,6,107,39,0,45,63,16,77,213,56,267,67,94,168,11995,10422,22416,365,278,647,0,0,0,0,0,0,279,159,438,13,32,50,6,5,12,673,477,1152,0,0,0,0,0,0,14,25,36,8,17,24,5,3,8,29,39,68,103,53,158,805,573,1375,113,115,228,11,6,17,0,0,0,126,116,241,1002,1288,2286,1257,1861,3121,54,44,93,15237,14303,29544
SED52604,485,454,932,92,66,163,4,0,3,0,0,0,34,21,56,6865,6283,13147,381,470,855,123,8,132,57,0,55,62,14,76,201,33,230,142,178,323,8431,7531,15965,181,137,318,0,0,0,0,0,0,151,133,280,38,41,72,27,3,29,394,310,700,0,0,0,0,0,0,9,4,14,4,10,14,10,4,8,25,11,38,74,43,110,485,366,856,57,56,111,3,0,5,7,0,5,68,60,127,873,1087,1960,1111,1502,2610,33,30,70,11004,10572,21582
SED52702,69,58,137,117,84,202,5,0,5,0,0,0,18,8,25,6307,5888,12189,277,333,610,195,9,197,61,3,64,48,7,55,144,35,174,132,121,253,7360,6548,13909,18,21,39,0,0,0,0,0,0,112,85,199,3,10,12,0,0,0,136,112,253,0,0,0,0,0,0,19,14,32,8,5,12,8,0,5,30,21,53,60,27,90,227,163,392,18,18,34,0,3,3,6,0,6,17,19,40,876,1131,2011,1021,1311,2326,50,28,78,9553,9200,18753
SED52803,7,4,9,1258,252,1513,13,5,17,0,0,0,59,54,115,7624,5502,13130,1309,737,2043,196,24,214,63,9,76,78,28,108,873,218,1085,473,488,966,11958,7318,19271,0,0,4,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,3,4,11,0,0,0,0,0,0,72,16,88,18,3,19,68,16,82,156,38,195,259,102,358,420,150,564,3,0,3,63,13,78,19,5,23,91,23,103,145,311,460,931,759,1690,80,45,121,13619,8593,22212
SED52903,6,12,21,201,86,288,8,0,4,0,0,0,9,12,22,4498,4414,8910,549,631,1181,127,7,142,116,47,164,186,139,326,413,123,540,1090,1292,2386,7202,6769,13971,4,4,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,7,13,0,0,0,0,0,0,4,0,11,5,4,9,6,3,7,18,9,26,97,50,145,126,65,185,0,3,3,4,0,4,9,5,9,8,6,14,416,558,969,1853,2181,4033,151,126,280,9756,9702,19458
SED53004,474,407,881,68,42,111,0,0,5,0,0,0,24,22,46,6692,6330,13021,319,377,692,107,0,107,49,5,54,77,10,82,148,28,175,62,55,119,8017,7286,15302,190,166,356,0,0,0,0,0,0,148,128,281,13,31,44,20,4,31,376,324,704,0,0,0,0,0,0,7,12,17,6,7,12,10,0,11,23,17,38,63,19,82,462,361,825,69,51,120,0,0,4,0,0,0,69,53,125,823,1032,1854,1053,1565,2620,30,22,51,10456,10316,20777
SED53105,372,406,781,116,94,212,3,3,4,0,0,0,34,21,56,8122,6901,15022,467,536,1005,138,0,143,39,3,40,31,3,33,223,55,277,71,86,162,9610,8116,17734,187,221,404,0,0,0,0,0,0,143,135,281,25,27,52,17,0,16,369,389,757,0,0,0,0,0,0,16,8,26,8,13,20,7,3,9,30,27,56,80,48,129,473,463,939,62,106,171,7,4,6,12,0,10,75,111,191,528,876,1405,1203,1538,2739,55,40,89,11949,11147,23091
SED53204,209,227,439,115,112,228,0,0,5,0,0,0,41,16,52,9291,8201,17495,480,668,1148,135,6,138,55,5,58,26,0,28,207,40,249,33,56,91,10602,9333,19930,126,120,251,0,0,0,0,0,0,215,189,398,22,32,51,0,3,3,366,348,708,0,0,0,0,0,0,23,17,39,10,16,20,0,4,6,38,32,71,97,41,140,495,422,916,53,76,136,0,3,9,5,0,5,60,86,145,696,1021,1714,1115,1531,2645,41,27,67,13008,12414,25425
SED53306,145,155,299,135,93,227,0,0,6,0,0,0,28,22,49,5439,5512,10950,398,474,873,94,0,95,25,5,36,35,18,49,259,64,322,109,112,221,6679,6448,13128,55,52,107,0,0,0,0,0,0,62,53,115,14,14,27,10,0,11,135,122,258,0,0,0,0,0,0,10,3,16,0,16,23,8,7,17,28,26,55,92,43,131,254,186,445,36,38,75,3,3,10,3,3,5,46,43,87,342,644,990,1337,1392,2725,47,50,98,8714,8762,17480
SED53402,512,456,970,723,756,1482,0,0,0,0,0,0,75,69,152,7016,6312,13329,355,637,995,62,0,62,73,3,75,321,90,408,160,57,214,139,125,259,9435,8513,17946,137,152,288,0,0,0,0,0,0,51,53,109,12,22,32,13,7,19,213,233,445,0,0,0,0,0,0,28,18,49,17,32,41,18,14,32,58,66,128,91,58,151,363,361,718,26,48,72,11,6,14,0,0,0,37,50,90,956,1122,2083,1075,1596,2668,54,23,73,11918,11663,23581
SED53502,194,243,440,131,100,228,0,0,0,0,0,0,35,43,70,7905,6844,14748,400,596,999,135,9,148,63,10,75,85,24,106,207,56,257,146,155,299,9293,8071,17367,106,102,205,0,0,0,0,0,0,85,115,204,15,25,43,14,6,24,222,251,473,0,0,0,0,0,0,11,5,12,4,7,15,16,8,15,28,21,49,86,61,142,332,334,665,28,50,75,4,4,7,4,0,7,38,52,89,497,803,1302,1284,1565,2856,66,59,122,11521,10876,22397
SED53602,88,111,197,190,244,430,0,0,4,0,0,0,85,46,126,8194,6208,14400,485,693,1180,130,0,130,51,4,52,39,8,42,156,53,209,59,48,104,9472,7404,16880,102,114,212,0,0,0,0,0,0,71,80,157,4,18,22,4,0,7,182,218,397,0,0,0,0,0,0,30,29,59,17,24,45,7,10,14,57,63,121,96,44,142,333,325,664,36,61,96,8,10,12,7,4,9,50,70,114,336,514,844,804,1046,1846,77,50,132,11068,9408,20480
SED53701,8,10,13,214,78,293,0,0,0,0,0,0,5,5,11,5371,4594,9964,364,376,741,227,10,235,27,10,41,48,21,70,315,93,407,566,433,1001,7146,5630,12777,3,0,0,0,0,0,0,0,0,10,21,31,0,6,7,0,0,0,14,21,37,0,0,0,0,0,0,7,0,10,5,4,8,10,0,10,25,4,31,107,34,141,145,65,207,0,9,12,4,0,4,5,0,6,13,12,26,982,1132,2116,1046,966,2015,115,76,194,9446,7884,17330
SED53802,62,92,156,446,538,983,0,0,0,0,0,0,46,55,101,8287,6865,15152,446,636,1086,108,7,109,75,3,75,81,15,95,167,45,214,48,58,102,9763,8312,18082,57,70,129,0,0,0,0,0,0,68,62,128,3,14,16,3,0,3,134,145,279,0,0,0,0,0,0,49,51,99,22,47,67,11,12,24,80,110,189,73,45,117,285,302,584,19,22,41,8,3,16,4,0,4,36,31,63,611,792,1405,905,1323,2228,44,30,81,11652,10789,22444
SED53902,88,103,192,923,849,1772,4,0,5,0,0,0,57,66,121,7066,6292,13353,353,621,969,49,0,49,56,11,65,176,39,220,155,44,196,149,175,329,9070,8203,17276,82,111,191,0,0,0,0,0,0,18,22,40,7,7,10,8,3,15,117,142,255,0,0,0,0,0,0,35,28,65,31,33,60,16,16,31,80,77,158,74,54,123,270,273,538,22,26,50,12,4,14,3,0,3,35,34,71,937,1035,1972,914,1430,2339,33,30,68,11258,11008,22263
SED54006,21,27,56,163,36,207,0,0,3,0,0,0,13,5,17,5998,5795,11786,478,442,913,173,13,182,41,0,40,25,16,44,202,91,291,146,143,292,7266,6564,13826,7,0,10,0,0,0,0,0,0,27,27,54,0,0,0,0,0,0,34,26,59,0,0,0,0,0,0,44,8,49,0,10,16,6,0,13,56,16,77,83,40,127,173,83,261,14,14,28,3,0,8,5,0,5,18,12,35,512,700,1212,1397,1272,2667,77,52,121,9438,8684,18129
SED54104,437,372,807,1064,968,2036,5,0,5,3,0,3,68,86,164,5923,5475,11399,393,650,1043,18,0,18,83,14,96,473,207,680,119,54,174,829,848,1674,9420,8678,18097,119,143,264,0,0,0,0,0,0,17,19,34,10,13,25,13,11,26,162,179,347,0,0,0,0,0,0,24,24,54,21,32,52,34,18,54,82,72,156,82,54,136,326,314,638,23,29,47,15,12,29,0,3,5,41,45,80,1398,1512,2907,1033,1593,2627,50,45,90,12264,12179,24442
SED54203,12,7,12,2204,424,2631,7,3,9,0,0,0,21,11,32,4079,2508,6581,914,423,1332,199,25,217,46,18,61,101,144,246,1134,271,1409,872,976,1846,9585,4803,14388,3,8,9,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,8,10,14,0,0,0,0,0,0,15,5,23,19,7,25,97,26,127,139,38,172,233,82,317,376,129,505,9,0,7,97,27,124,35,9,39,141,33,171,377,465,841,1942,1692,3629,134,87,223,12557,7202,19757
SED54304,343,334,680,2056,1957,4013,4,4,9,0,0,0,149,179,327,7377,6203,13585,451,785,1240,54,0,58,118,21,140,489,179,668,355,106,463,1925,1460,3387,13318,11234,24554,214,286,499,0,0,0,0,0,0,14,17,32,12,12,27,30,10,37,271,323,596,6,0,6,0,0,0,20,37,55,16,53,64,55,66,120,89,149,243,133,72,201,495,538,1034,42,59,103,33,15,47,9,3,18,86,80,160,1620,1405,3028,1717,1951,3665,81,59,138,17315,15268,32584
