SED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SED51104,44,2137,110,7,2292,277,4093,217,0,4594,106,1678,93,0,1878,71,1521,59,4,1649,55,3450,148,35,3694,54,3332,169,14,3566,74,3065,147,5,3288,102,2039,81,5,2232,144,1368,41,0,1562,172,695,48,3,918,133,157,13,0,305,1231,23539,1129,72,25974,24,2048,91,0,2167,116,4016,198,0,4332,49,1662,88,0,1800,36,1576,79,4,1694,70,4185,193,6,4455,80,4026,163,3,4275,142,3486,148,3,3778,149,2317,94,8,2572,168,1624,60,3,1857,279,800,52,0,1134,270,163,16,0,448,1383,25909,1176,39,28506,66,4189,206,4,4462,397,8107,409,3,8925,150,3346,179,3,3676,105,3095,137,3,3340,127,7638,338,43,8148,132,7356,334,16,7842,219,6547,290,11,7061,249,4365,174,13,4802,315,2993,106,6,3416,449,1498,103,3,2051,401,319,29,0,749,2612,49451,2308,108,54480
SED51205,24,1833,104,0,1962,108,2741,172,8,3023,40,1198,77,4,1325,42,2008,129,10,2181,66,4706,306,13,5086,65,3928,225,15,4235,92,2602,130,6,2835,110,2085,90,13,2299,173,1677,61,15,1927,208,746,36,0,990,115,156,25,0,308,1046,23683,1348,87,26159,8,1699,105,0,1816,58,2668,169,0,2894,30,1070,59,0,1162,21,1792,119,4,1941,58,4670,273,8,5008,59,3678,181,4,3930,97,2551,125,10,2787,134,2387,94,22,2643,213,1881,52,24,2167,264,816,60,6,1143,249,182,39,0,466,1187,23388,1276,85,25939,33,3531,206,4,3773,167,5407,338,3,5911,70,2270,140,6,2484,64,3795,240,11,4121,120,9378,574,20,10093,124,7606,411,19,8159,190,5153,252,17,5615,241,4477,185,38,4936,384,3558,117,35,4088,469,1560,92,14,2134,366,339,59,7,771,2231,47070,2621,173,52097
SED51304,16,1139,16,4,1175,110,3012,60,0,3182,28,1321,23,0,1371,18,947,15,5,985,25,1394,37,3,1466,22,2468,52,3,2545,37,2775,50,4,2862,39,2197,32,5,2280,100,2323,45,4,2470,144,1186,46,0,1371,114,181,16,0,317,665,18931,384,33,20014,3,1038,21,3,1065,63,2994,61,4,3122,28,1180,19,0,1228,5,901,9,0,924,25,1527,55,5,1607,29,2908,52,3,2998,36,2858,53,5,2953,58,2507,43,5,2612,142,2594,49,3,2794,233,1120,55,4,1409,302,209,28,0,532,933,19836,443,38,21253,22,2181,36,8,2241,173,6001,123,9,6300,54,2497,40,0,2598,29,1847,23,0,1903,54,2915,92,10,3073,53,5380,106,7,5546,73,5631,101,11,5820,100,4707,75,8,4888,248,4915,98,8,5267,379,2304,93,0,2782,416,387,44,0,848,1598,38768,831,75,41264
SED51401,11,867,101,0,977,103,1889,249,0,2245,26,815,92,0,936,25,752,154,3,931,39,1817,425,15,2298,57,1892,407,4,2353,77,2258,437,4,2778,138,2661,404,0,3202,211,2277,264,0,2751,205,974,145,0,1325,115,221,55,0,387,1012,16415,2735,22,20191,16,838,89,0,947,55,1902,229,0,2189,20,701,87,0,806,24,596,89,5,706,28,1604,195,0,1826,36,1758,237,0,2031,118,2068,270,0,2448,154,2424,247,0,2831,204,1996,204,6,2407,223,936,155,4,1312,229,216,62,0,505,1109,15037,1851,17,18007,28,1707,191,0,1923,156,3790,481,0,4433,50,1516,180,0,1746,46,1344,239,7,1636,69,3421,623,11,4125,96,3648,636,5,4382,191,4323,709,8,5231,296,5085,651,4,6031,414,4277,467,3,5155,428,1910,295,4,2636,348,436,113,0,895,2120,31454,4587,38,38200
SED51504,19,1111,20,0,1151,92,3275,55,6,3427,32,1549,31,0,1621,26,1139,19,3,1191,32,2165,74,6,2286,25,2858,80,8,2967,35,2846,47,11,2940,46,2229,39,9,2318,85,1546,45,12,1685,163,880,24,7,1071,204,272,9,4,489,745,19880,455,51,21131,12,1036,24,0,1071,55,2886,42,0,2983,20,1322,23,0,1372,12,1077,26,3,1122,20,2502,76,13,2609,23,3134,67,5,3234,45,3201,46,3,3297,66,2304,45,8,2423,90,1789,63,16,1949,237,1057,33,9,1334,447,352,13,3,822,1030,20656,461,54,22201,24,2148,47,0,2218,146,6158,103,3,6405,57,2876,58,0,2991,40,2217,44,9,2310,52,4666,148,24,4891,51,5995,143,5,6199,76,6049,92,15,6236,108,4531,91,14,4744,170,3327,111,17,3630,395,1936,59,11,2400,655,624,22,5,1306,1777,40533,913,111,43333
SED51605,23,1618,54,0,1701,158,3158,123,3,3442,51,1451,44,12,1568,44,1412,66,4,1521,47,3069,122,3,3235,50,3432,117,0,3601,63,3096,87,0,3252,83,2169,62,7,2325,137,1300,58,8,1502,122,534,35,3,695,61,107,17,0,189,831,21348,791,49,23024,17,1512,48,0,1576,93,3131,115,0,3349,41,1400,50,0,1484,24,1445,54,0,1526,75,3345,116,5,3538,52,3757,118,0,3924,81,3321,89,6,3493,109,2319,76,13,2514,117,1452,59,15,1638,159,535,55,3,749,133,106,28,0,262,901,22317,802,43,24063,40,3130,104,0,3276,255,6293,238,3,6788,94,2854,91,12,3053,67,2861,112,3,3046,114,6410,239,7,6776,99,7188,235,0,7527,142,6419,175,8,6747,194,4481,138,18,4836,249,2745,116,25,3138,284,1073,86,7,1449,189,216,48,0,451,1736,43665,1594,92,47091
SED51706,23,1276,70,0,1371,178,2812,159,4,3153,82,1136,85,0,1294,37,945,59,0,1044,45,2058,112,10,2220,48,2328,137,6,2516,89,2384,164,0,2641,147,2525,143,4,2813,194,2121,144,7,2471,206,905,89,0,1202,112,163,59,0,337,1164,18652,1213,25,21052,15,1172,60,0,1242,75,2711,151,5,2944,38,1144,63,3,1242,30,825,34,4,891,53,2312,130,14,2514,59,2636,125,9,2824,96,2696,131,0,2922,133,2730,113,7,2978,187,2071,124,3,2388,236,983,103,0,1324,194,201,94,0,483,1122,19474,1124,43,21759,36,2447,124,0,2607,259,5524,310,3,6094,119,2283,140,3,2537,62,1770,98,6,1939,99,4373,238,22,4735,109,4965,261,14,5346,186,5072,294,0,5559,274,5255,255,12,5795,382,4192,269,11,4852,444,1885,195,0,2525,305,363,150,0,815,2284,38124,2332,72,42814
SED51804,8,929,31,3,975,75,2576,80,8,2741,18,1544,36,3,1610,11,1167,44,5,1225,30,1935,98,19,2079,38,2033,100,12,2178,49,2651,86,15,2805,80,2452,89,20,2639,120,2005,94,14,2224,151,1244,76,6,1478,186,308,61,0,557,771,18842,805,103,20513,6,831,23,6,862,38,2542,103,11,2694,18,1579,58,6,1662,12,1219,64,4,1299,40,2085,83,14,2219,38,2390,86,12,2530,43,3066,95,15,3218,76,2642,95,14,2821,99,2231,91,10,2433,213,1429,84,0,1733,399,408,126,0,935,993,20425,906,89,22410,15,1761,54,10,1839,113,5120,189,18,5433,38,3121,95,13,3274,28,2385,106,10,2528,71,4021,180,26,4296,74,4426,183,23,4705,97,5712,184,30,6023,152,5092,184,27,5460,219,4239,184,20,4662,366,2671,160,7,3208,590,715,186,4,1497,1763,39265,1707,195,42928
SED51902,25,1713,59,0,1800,193,3405,152,0,3747,67,1342,55,0,1468,41,1157,51,0,1246,43,2575,156,0,2774,46,2853,206,4,3103,51,2722,186,5,2964,87,2417,114,9,2620,122,1681,75,4,1881,142,724,38,0,904,87,113,10,0,212,897,20693,1108,22,22717,14,1661,43,5,1723,95,3284,145,0,3525,38,1423,53,0,1515,29,1137,33,0,1204,34,3142,114,0,3294,57,3146,120,6,3321,76,2960,99,3,3142,109,2512,88,9,2714,128,1765,47,6,1952,177,635,34,3,848,131,105,18,0,253,884,21760,791,39,23475,39,3372,108,3,3519,287,6683,296,0,7266,103,2769,107,0,2982,67,2294,86,0,2448,79,5713,273,3,6060,99,5994,319,8,6427,121,5680,288,9,6101,196,4925,203,12,5338,252,3443,128,11,3833,314,1363,79,3,1757,222,213,26,0,468,1778,42458,1900,63,46195
SED52006,21,932,38,0,992,128,2257,100,5,2491,53,1095,45,0,1192,42,810,21,0,871,46,1461,64,3,1580,52,1701,56,3,1822,68,2052,63,4,2186,133,2342,55,0,2530,219,2626,89,6,2935,279,1480,69,0,1826,177,259,28,0,469,1220,17025,616,21,18883,10,959,19,0,987,65,2304,119,0,2489,20,1077,46,0,1140,21,855,27,3,908,44,1808,59,6,1907,45,2180,71,6,2296,99,2540,87,0,2727,137,2778,69,3,2991,238,2879,80,6,3204,312,1510,78,0,1901,286,282,50,0,626,1275,19177,692,26,21177,27,1892,61,0,1977,195,4569,218,5,4981,81,2175,88,0,2338,60,1666,49,3,1781,90,3267,119,7,3481,96,3883,127,7,4116,161,4596,146,6,4908,267,5121,128,3,5521,455,5509,165,13,6140,594,2989,144,3,3730,470,541,74,0,1089,2491,36205,1316,49,40062
SED52102,21,1420,64,3,1513,164,2633,155,3,2952,57,1136,52,0,1250,30,1184,74,4,1288,42,2530,120,7,2701,57,2862,140,3,3063,68,2401,111,3,2578,100,2130,89,4,2330,140,1543,57,5,1742,164,662,31,0,853,110,152,14,0,284,942,18667,912,30,20546,9,1265,53,0,1325,75,2583,139,0,2800,33,1114,72,0,1214,18,1074,49,0,1140,41,2711,126,3,2880,64,2919,146,0,3130,72,2433,105,0,2608,144,2234,95,9,2471,176,1693,67,0,1939,204,769,44,0,1020,182,169,20,0,373,1022,18952,908,16,20905,32,2688,117,3,2836,238,5219,291,8,5749,86,2248,129,0,2466,45,2255,117,9,2427,83,5240,248,9,5582,122,5778,287,3,6194,139,4835,207,3,5193,238,4365,187,16,4798,313,3238,127,9,3679,361,1428,78,0,1868,297,322,33,0,651,1969,37620,1817,43,41450
SED52205,22,1155,67,0,1242,84,1819,118,0,2023,55,879,56,0,988,30,1099,99,12,1236,51,2791,224,40,3103,59,2778,232,6,3080,87,2620,224,13,2945,128,2406,205,18,2752,152,1926,132,9,2222,217,861,106,0,1178,202,199,77,3,482,1077,18524,1538,97,21244,16,1061,49,0,1131,44,1852,104,4,2000,38,882,44,0,965,31,1240,83,16,1371,59,3075,212,30,3376,61,2830,167,4,3066,94,2750,179,10,3037,122,2701,140,10,2979,160,2116,139,5,2425,301,909,118,5,1329,390,217,121,0,726,1308,19642,1353,95,22399,35,2213,117,0,2367,129,3670,222,4,4020,92,1758,102,4,1957,56,2340,178,31,2607,106,5864,439,70,6479,122,5608,398,14,6142,181,5375,401,22,5981,250,5110,347,27,5731,312,4045,276,12,4639,511,1769,221,3,2508,591,416,196,3,1206,2385,38169,2899,195,43642
SED52301,19,1046,101,0,1165,145,2355,267,4,2773,59,1090,129,0,1277,33,857,99,4,991,52,1849,276,6,2185,46,1902,300,0,2248,46,2143,221,0,2411,108,2135,207,3,2459,153,1671,141,0,1970,193,741,101,5,1035,143,178,34,3,356,1000,15962,1882,26,18874,7,1039,130,0,1174,72,2301,273,0,2643,37,1062,102,0,1206,29,914,105,0,1049,38,2107,225,4,2383,59,2171,253,0,2477,84,2398,200,3,2681,127,2224,173,3,2532,183,1753,146,0,2085,248,791,92,4,1132,238,185,57,0,487,1113,16943,1758,21,19835,27,2081,229,0,2340,222,4654,535,7,5417,93,2151,226,0,2476,54,1770,204,5,2042,89,3959,504,13,4563,105,4071,552,0,4730,127,4543,420,7,5096,237,4362,383,8,4992,337,3426,289,3,4051,436,1528,197,9,2160,386,361,93,5,840,2114,32905,3638,47,38711
SED52404,9,1251,33,0,1291,125,2662,74,5,2858,39,1245,42,0,1328,28,1043,31,0,1104,40,2143,66,6,2256,38,2631,88,4,2753,41,2566,73,3,2684,63,2279,46,7,2390,99,1985,43,5,2132,124,769,25,0,909,76,134,5,0,216,677,18710,513,27,19932,6,1201,32,0,1243,51,2518,74,0,2645,17,1196,30,0,1248,14,955,20,0,990,34,2377,67,6,2476,29,2863,65,4,2959,51,2692,67,4,2817,86,2641,49,3,2783,125,2125,45,3,2295,136,808,18,4,966,149,165,23,0,335,702,19537,497,26,20754,21,2452,62,0,2539,169,5178,143,8,5504,61,2440,73,0,2569,46,1994,52,0,2097,67,4524,133,6,4732,61,5488,154,4,5711,90,5257,142,7,5499,150,4916,94,9,5169,219,4110,93,5,4435,263,1569,42,4,1878,221,301,28,0,549,1379,38245,1015,49,40683
SED52505,29,2282,39,7,2358,195,4064,124,0,4385,57,1546,127,0,1727,33,1459,131,5,1624,34,3683,470,8,4183,38,4669,404,5,5122,34,2977,188,9,3199,53,2371,97,13,2533,117,1708,46,27,1904,123,541,20,7,688,53,90,4,0,149,762,25385,1643,88,27875,18,2180,37,3,2241,72,4112,119,3,4307,27,1537,56,0,1619,17,1455,43,3,1521,50,4352,172,4,4568,54,4941,172,0,5162,44,3136,74,11,3269,57,2680,58,30,2828,157,1791,36,29,2008,162,503,13,12,689,123,82,9,4,212,776,26762,783,95,28418,49,4464,79,4,4596,272,8174,242,3,8693,86,3085,179,0,3346,56,2905,174,4,3146,76,8030,633,10,8747,90,9611,572,9,10289,77,6115,260,20,6469,112,5051,151,49,5362,269,3496,80,64,3914,279,1046,33,14,1374,180,165,16,4,358,1538,52151,2426,180,56297
SED52604,10,1003,19,0,1036,134,2335,77,0,2543,47,1303,50,0,1396,41,1400,64,4,1505,48,2143,108,3,2296,36,2270,124,3,2430,55,2595,99,7,2751,80,2682,120,5,2879,106,1855,69,5,2029,123,653,66,0,847,100,119,57,4,283,773,18349,848,23,19996,8,904,22,4,942,52,2233,82,0,2373,40,1221,30,0,1295,16,1241,50,4,1312,32,2126,109,4,2278,37,2467,98,5,2608,44,2920,105,3,3073,101,2895,108,0,3104,136,1877,80,3,2099,209,699,74,3,981,236,160,61,0,465,911,18743,829,35,20520,20,1907,47,3,1982,183,4569,163,0,4920,84,2522,81,0,2685,61,2645,116,4,2821,82,4266,216,10,4576,74,4737,219,6,5040,98,5508,199,8,5827,175,5572,222,5,5978,240,3727,150,4,4123,332,1350,145,3,1826,339,280,118,3,740,1682,37092,1683,60,40515
SED52702,17,828,24,0,866,142,2533,72,4,2757,40,1284,32,0,1359,25,932,29,0,981,39,1230,59,8,1335,36,1857,55,5,1950,51,2516,49,0,2615,63,2440,74,0,2571,111,2139,61,3,2314,177,1193,65,0,1427,147,242,24,0,416,850,17193,538,21,18604,16,807,11,0,834,65,2422,64,0,2548,33,1151,30,0,1215,15,768,26,0,807,31,1392,45,4,1477,41,2235,69,0,2346,43,2852,78,4,2970,73,2610,65,0,2758,112,2301,74,0,2485,247,1206,54,0,1504,263,267,38,0,572,945,18004,561,13,19525,31,1637,37,0,1704,206,4954,139,9,5301,73,2431,66,0,2578,39,1702,55,0,1798,70,2625,100,9,2811,77,4086,127,4,4298,94,5362,129,7,5589,137,5050,142,5,5332,222,4441,132,3,4800,418,2393,116,4,2934,413,512,58,0,986,1794,35201,1100,36,38132
SED52803,17,1186,159,0,1366,104,2139,344,0,2582,28,888,138,0,1052,19,1305,469,8,1806,38,3478,1512,27,5060,35,3196,1393,19,4643,44,3072,1272,13,4404,66,2646,949,12,3670,104,1234,349,6,1693,79,338,77,0,487,29,40,14,0,85,566,19525,6667,87,26854,7,1124,129,0,1260,51,2062,285,5,2404,17,791,119,0,937,14,1039,230,9,1284,34,2599,561,15,3211,31,2286,458,3,2781,47,2109,383,4,2553,84,1799,346,8,2241,114,885,188,9,1193,88,282,42,0,412,82,49,21,4,153,568,15030,2768,55,18423,23,2315,286,3,2627,158,4194,627,3,4985,50,1682,259,5,1986,31,2348,699,11,3091,75,6078,2075,47,8272,64,5487,1855,17,7425,96,5184,1658,13,6947,152,4445,1293,24,5913,215,2127,539,19,2891,164,614,115,0,899,110,88,30,4,230,1140,34558,9433,147,45275
SED52903,14,1297,205,4,1510,86,2716,499,7,3311,25,908,156,0,1088,18,1034,259,41,1351,38,2880,651,80,3640,34,2770,575,22,3398,63,2567,630,8,3267,92,2799,571,4,3471,146,2859,387,16,3414,98,729,140,0,969,29,58,24,0,105,647,20613,4092,174,25526,4,1232,195,0,1440,50,2628,517,3,3196,4,971,171,0,1149,9,1181,227,49,1470,31,3367,694,104,4190,37,2934,520,18,3501,68,2522,500,5,3100,113,3189,525,10,3839,152,2399,370,12,2935,95,501,121,0,720,56,29,25,0,112,628,20952,3857,205,25642,24,2529,406,4,2953,138,5350,1011,4,6508,28,1887,322,0,2237,32,2214,484,87,2821,65,6240,1339,179,7831,72,5702,1089,42,6901,132,5089,1129,14,6358,206,5983,1100,17,7312,300,5258,761,26,6344,192,1230,266,0,1688,81,90,47,0,216,1276,41569,7953,374,51170
SED53004,15,1157,22,0,1198,127,2593,57,0,2780,32,1208,33,0,1274,33,1045,22,0,1099,35,1815,38,7,1894,35,2606,61,3,2706,51,2420,64,3,2534,54,2236,40,5,2330,148,2251,56,0,2454,167,892,30,5,1099,174,184,14,0,369,862,18409,434,25,19732,11,1105,17,0,1142,85,2514,71,0,2667,29,1174,25,0,1227,28,890,20,3,939,33,1968,40,3,2042,44,2798,67,5,2916,51,2655,51,0,2760,87,2650,41,7,2779,134,2451,63,5,2651,259,953,35,4,1258,345,268,22,0,638,1109,19419,461,28,21013,34,2265,39,0,2332,211,5102,128,0,5448,63,2378,55,0,2497,55,1936,43,3,2037,71,3778,81,9,3939,76,5406,135,5,5620,96,5074,112,6,5292,136,4883,74,16,5113,284,4700,114,5,5106,432,1845,65,10,2353,516,449,37,0,1002,1971,37825,891,53,40742
SED53105,37,1931,95,0,2061,228,3547,174,0,3944,53,1269,111,0,1430,37,1382,203,0,1625,67,3130,640,10,3844,62,3656,507,7,4224,84,2717,279,0,3081,123,1866,129,11,2133,170,1158,84,13,1424,170,473,31,5,672,93,92,12,0,200,1121,21220,2266,39,24638,16,1820,71,3,1904,103,3321,162,0,3591,48,1213,69,0,1323,32,1350,61,5,1439,51,3680,164,5,3896,77,3971,152,3,4202,109,2669,109,0,2893,155,1971,83,11,2210,176,1294,59,11,1541,214,504,32,0,748,177,113,19,0,312,1161,21893,961,36,24050,54,3749,162,5,3965,334,6870,338,0,7538,97,2481,176,0,2759,66,2726,264,5,3057,116,6811,800,15,7743,135,7630,659,4,8427,193,5383,389,0,5970,278,3835,211,21,4343,348,2451,139,19,2960,381,972,66,7,1425,276,203,25,0,511,2276,43110,3228,80,48695
SED53204,36,1695,54,0,1789,183,3539,96,0,3826,49,1604,40,0,1695,35,1466,40,0,1543,43,2745,86,0,2878,51,3549,76,6,3679,65,3079,58,0,3210,81,2224,45,5,2358,122,1277,41,8,1455,101,511,22,0,637,70,114,4,0,186,836,21807,563,29,23237,19,1620,45,0,1679,87,3476,85,0,3648,29,1560,41,0,1635,24,1409,20,6,1464,31,3259,98,3,3393,42,3901,89,3,4039,70,3245,65,0,3385,109,2329,55,13,2508,162,1414,46,6,1619,198,565,26,4,799,169,110,11,0,288,945,22884,581,43,24463,56,3315,92,0,3467,270,7017,182,4,7475,84,3166,79,0,3330,61,2870,65,4,3001,78,6009,178,8,6271,97,7456,166,7,7717,139,6324,128,4,6597,194,4552,101,16,4860,284,2691,86,18,3074,299,1083,47,6,1433,235,224,21,4,478,1784,44694,1146,76,47702
SED53306,31,1251,90,0,1365,201,2525,174,0,2903,70,1147,63,0,1281,45,1061,78,0,1187,87,2104,141,7,2331,92,2103,134,0,2325,119,2135,150,0,2404,162,2101,121,3,2389,262,2018,121,9,2410,303,1240,116,0,1656,190,335,73,0,605,1557,18015,1260,18,20857,15,1290,78,0,1377,89,2648,190,0,2928,41,1114,73,0,1232,38,1162,77,0,1279,80,2555,159,3,2798,96,2539,162,0,2805,147,2499,145,3,2792,218,2577,118,3,2908,300,2340,117,3,2760,356,1407,153,0,1915,391,396,171,0,959,1771,20530,1439,22,23756,46,2532,163,0,2744,294,5173,364,0,5834,106,2258,140,4,2515,81,2220,161,6,2465,168,4656,300,3,5127,183,4641,295,3,5126,263,4636,294,9,5201,382,4675,234,13,5295,559,4360,237,5,5164,656,2643,267,0,3568,588,735,244,0,1563,3327,38542,2695,42,44609
SED53402,13,1250,37,0,1299,95,2092,97,4,2287,37,872,38,0,948,20,1160,51,0,1236,52,3406,152,5,3623,55,3365,135,13,3564,90,2490,119,11,2715,119,2084,102,6,2309,141,1514,69,5,1726,180,629,38,0,842,155,147,31,0,328,950,18999,872,38,20857,8,1183,44,0,1241,46,1930,84,0,2063,25,840,30,0,893,35,1259,55,0,1351,48,3684,147,14,3901,64,3325,140,6,3536,73,2685,95,0,2858,123,2134,75,14,2342,159,1622,56,5,1841,285,676,42,3,1015,364,187,40,0,582,1237,19527,811,37,21613,24,2426,84,0,2542,139,4023,181,4,4345,56,1709,71,4,1841,54,2423,104,0,2575,104,7094,301,17,7519,117,6686,277,16,7097,165,5176,216,9,5573,245,4213,177,15,4650,301,3133,127,9,3567,468,1306,79,3,1853,511,329,64,0,909,2187,38524,1688,76,42471
SED53502,27,1403,68,0,1496,148,2522,153,0,2832,69,1265,57,0,1399,35,1362,84,0,1485,100,2913,201,4,3223,85,2804,198,3,3090,115,2555,210,5,2883,161,2387,162,6,2717,179,1757,114,6,2055,214,850,94,5,1161,159,154,78,0,395,1295,19981,1417,41,22730,19,1339,74,6,1432,78,2485,147,8,2712,38,1141,70,3,1253,35,1313,93,7,1444,80,3142,191,5,3425,77,2946,168,11,3203,127,2780,167,0,3079,175,2590,116,14,2892,203,1913,113,4,2237,334,919,112,3,1372,286,241,140,0,665,1446,20807,1401,60,23713,44,2744,139,4,2932,224,5006,309,8,5544,110,2406,130,3,2650,73,2676,176,7,2930,178,6061,389,13,6640,168,5750,368,15,6290,237,5337,375,7,5965,338,4974,285,19,5608,384,3670,227,15,4293,541,1776,205,9,2534,446,393,222,0,1061,2738,40789,2820,99,46448
SED53602,30,1484,123,0,1642,138,2887,267,0,3298,52,1323,82,0,1457,44,1617,139,0,1799,90,3342,225,8,3665,73,2925,220,3,3225,105,2538,181,0,2824,199,2221,112,7,2532,246,1639,95,5,1986,257,695,58,0,1014,131,121,42,0,299,1370,20785,1550,31,23733,12,1427,114,3,1555,80,2632,226,3,2944,41,1273,83,3,1402,29,1518,102,6,1655,71,3333,229,13,3640,90,2984,232,5,3307,146,2579,156,11,2883,254,2341,108,17,2721,292,1766,102,10,2178,317,737,85,0,1138,273,105,49,0,429,1603,20683,1494,63,23845,47,2908,232,6,3195,219,5524,495,3,6237,97,2595,169,3,2861,71,3137,241,6,3449,161,6668,455,19,7304,162,5903,454,15,6533,245,5114,337,7,5707,449,4560,217,26,5255,542,3403,202,16,4155,575,1438,141,0,2152,407,225,91,0,732,2973,41469,3045,96,47580
