SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED51104,25974,28506,54480,2292,2167,4462,4594,4332,8925,1878,1800,3676,1649,1694,3340,3694,4455,8148,3566,4275,7842,3288,3778,7061,2232,2572,4802,1562,1857,3416,918,1134,2051,305,448,749,72,39,108,25828,28246,54075,146,264,413,602,626,1228,30,26,61,18,20,33,651,668,1322,14485,15307,29798,10415,12089,22500,21678,23547,45229,3126,3720,6845,21361,23292,44657,662,618,1285,4345,4086,8433,1311,1305,2618,438,538,981,632,1384,2011,9883,12368,22252,2394,2548,4937,4480,4592,9069,936,920,1857,347,374,723,75,98,174
SED51205,26159,25939,52097,1962,1816,3773,3023,2894,5911,1325,1162,2484,2181,1941,4121,5086,5008,10093,4235,3930,8159,2835,2787,5615,2299,2643,4936,1927,2167,4088,990,1143,2134,308,466,771,87,85,173,25956,25717,51674,203,220,424,443,505,953,11,5,17,9,16,25,463,530,994,11691,11278,22968,13210,13424,26628,12804,12597,25405,11878,11899,23773,18391,18077,36463,501,433,933,2818,2678,5503,1032,917,1947,1032,962,1997,1336,1927,3268,13429,13483,26915,1637,1499,3136,3058,3131,6189,770,730,1500,698,775,1473,282,343,624
SED51304,20014,21253,41264,1175,1065,2241,3182,3122,6300,1371,1228,2598,985,924,1903,1466,1607,3073,2545,2998,5546,2862,2953,5820,2280,2612,4888,2470,2794,5267,1371,1409,2782,317,532,848,33,38,75,19879,20985,40867,132,266,404,117,122,243,7,3,8,0,3,3,129,121,253,13741,14325,28065,5959,6548,12503,17729,18445,36179,1941,2412,4356,18474,19440,37917,395,391,786,3108,3043,6146,1191,1099,2285,463,491,952,435,694,1131,10663,11484,22149,1275,1308,2580,2492,2891,5383,584,570,1160,220,280,499,28,37,64
SED51401,20191,18007,38200,977,947,1923,2245,2189,4433,936,806,1746,931,706,1636,2298,1826,4125,2353,2031,4382,2778,2448,5231,3202,2831,6031,2751,2407,5155,1325,1312,2636,387,505,895,22,17,38,17662,17266,34935,2528,742,3265,934,960,1896,14,9,23,5,8,14,956,973,1932,14563,13205,27773,3049,2822,5871,16627,15233,31860,840,900,1737,16487,15181,31669,208,224,435,1965,1918,3882,504,498,1005,85,118,206,205,481,692,5987,6115,12102,1756,1676,3433,4675,3896,8574,1087,858,1947,753,494,1245,47,34,80
SED51504,21131,22201,43333,1151,1071,2218,3427,2983,6405,1621,1372,2991,1191,1122,2310,2286,2609,4891,2967,3234,6199,2940,3297,6236,2318,2423,4744,1685,1949,3630,1071,1334,2400,489,822,1306,51,54,111,20740,21815,42556,393,390,776,138,120,257,3,10,10,3,0,4,143,124,267,13514,13749,27261,7177,7983,15166,16492,16805,33296,4122,4815,8941,18077,18747,36826,394,381,775,3352,2924,6277,1434,1271,2700,675,690,1359,781,1150,1933,12698,13609,26311,995,1020,2017,1578,2020,3597,542,540,1080,197,301,497,45,74,120
SED51605,23024,24063,47091,1701,1576,3276,3442,3349,6788,1568,1484,3053,1521,1526,3046,3235,3538,6776,3601,3924,7527,3252,3493,6747,2325,2514,4836,1502,1638,3138,695,749,1449,189,262,451,49,43,92,22987,24018,47003,41,45,86,436,425,854,8,4,12,8,5,6,445,426,879,14669,14951,29618,7628,8390,16021,17383,17755,35141,4839,5480,10317,19786,20512,40304,519,484,1006,3286,3198,6481,1189,1193,2389,530,657,1181,690,1154,1842,10297,11887,22184,1944,1854,3801,3646,3329,6979,759,709,1470,455,503,959,86,136,220
SED51706,21052,21759,42814,1371,1242,2607,3153,2944,6094,1294,1242,2537,1044,891,1939,2220,2514,4735,2516,2824,5346,2641,2922,5559,2813,2978,5795,2471,2388,4852,1202,1324,2525,337,483,815,25,43,72,20753,21491,42244,296,273,572,634,623,1256,9,3,7,13,25,35,656,645,1301,16480,16952,33442,3369,3675,7045,18800,19412,38216,1079,1235,2311,18761,19428,38188,347,345,690,2941,2759,5698,851,850,1702,147,170,318,269,758,1028,5979,7870,13846,2204,2262,4467,5406,4892,10296,1153,916,2069,596,486,1087,62,52,111
SED51804,20513,22410,42928,975,862,1839,2741,2694,5433,1610,1662,3274,1225,1299,2528,2079,2219,4296,2178,2530,4705,2805,3218,6023,2639,2821,5460,2224,2433,4662,1478,1733,3208,557,935,1497,103,89,195,19850,21605,41448,666,811,1475,160,173,333,4,6,6,0,4,9,166,179,342,13794,14811,28606,5888,6637,12529,17593,18760,36349,2078,2681,4758,18130,19526,37653,320,313,630,2622,2565,5192,1446,1523,2969,721,790,1511,671,1004,1674,12927,14156,27084,982,1060,2040,1380,1880,3262,458,520,979,174,201,372,24,28,52
SED51902,22717,23475,46195,1800,1723,3519,3747,3525,7266,1468,1515,2982,1246,1204,2448,2774,3294,6060,3103,3321,6427,2964,3142,6101,2620,2714,5338,1881,1952,3833,904,848,1757,212,253,468,22,39,63,22285,23380,45661,437,100,537,526,513,1045,14,14,29,19,17,34,559,541,1108,16144,16376,32515,5888,6355,12236,19594,20360,39958,2072,2318,4393,19965,20801,40766,502,438,934,3557,3336,6896,1036,1131,2170,313,394,707,432,938,1368,7919,9926,17850,2172,2159,4332,4954,4305,9260,1011,780,1789,371,312,690,65,42,111
SED52006,18883,21177,40062,992,987,1977,2491,2489,4981,1192,1140,2338,871,908,1781,1580,1907,3481,1822,2296,4116,2186,2727,4908,2530,2991,5521,2935,3204,6140,1826,1901,3730,469,626,1089,21,26,49,18760,20963,39724,127,213,341,431,430,863,7,13,19,11,17,24,454,463,911,13081,14363,27439,5160,6095,11256,17281,19103,36390,977,1355,2330,16914,18815,35726,302,307,605,2370,2353,4722,852,902,1753,224,314,537,308,762,1071,6633,8199,14833,1866,2093,3962,4613,5048,9661,1081,1013,2087,519,522,1045,45,47,85
SED52102,20546,20905,41450,1513,1325,2836,2952,2800,5749,1250,1214,2466,1288,1140,2427,2701,2880,5582,3063,3130,6194,2578,2608,5193,2330,2471,4798,1742,1939,3679,853,1020,1868,284,373,651,30,16,43,20360,20753,41119,184,152,338,651,663,1313,14,8,16,14,11,27,672,680,1361,13671,13570,27242,6071,6550,12625,15812,15886,31703,3821,4127,7949,17564,17693,35259,421,370,789,2763,2629,5399,890,910,1793,367,410,778,482,882,1366,7672,8867,16539,1863,1844,3709,4136,3783,7915,960,792,1751,486,479,967,159,172,330
SED52205,21244,22399,43642,1242,1131,2367,2023,2000,4020,988,965,1957,1236,1371,2607,3103,3376,6479,3080,3066,6142,2945,3037,5981,2752,2979,5731,2222,2425,4639,1178,1329,2508,482,726,1206,97,95,195,20195,21607,41801,1053,786,1844,440,457,898,14,6,21,8,16,27,467,477,944,13294,13903,27196,6486,7156,13648,16366,16994,33356,3275,3990,7262,17755,18970,36724,351,298,652,1886,1884,3770,731,760,1485,449,613,1066,747,1325,2070,10708,12206,22912,1423,1249,2677,2851,2763,5620,620,654,1271,651,777,1429,145,169,311
SED52301,18874,19835,38711,1165,1174,2340,2773,2643,5417,1277,1206,2476,991,1049,2042,2185,2383,4563,2248,2477,4730,2411,2681,5096,2459,2532,4992,1970,2085,4051,1035,1132,2160,356,487,840,26,21,47,18065,19281,37344,814,551,1361,1806,1915,3722,10,10,26,37,18,54,1853,1948,3800,14592,15070,29662,2610,3069,5679,15624,16423,32042,1361,1613,2980,16105,17047,33153,271,281,559,2475,2352,4831,737,788,1525,140,226,368,337,833,1170,5398,6955,12349,1949,2133,4084,4395,3916,8317,975,872,1842,646,536,1181,89,97,191
SED52404,19932,20754,40683,1291,1243,2539,2858,2645,5504,1328,1248,2569,1104,990,2097,2256,2476,4732,2753,2959,5711,2684,2817,5499,2390,2783,5169,2132,2295,4435,909,966,1878,216,335,549,27,26,49,19879,20688,40572,49,63,109,187,191,373,8,3,10,4,0,3,191,188,382,12829,12920,25746,6645,7375,14027,17678,17993,35673,1764,2279,4047,17915,18542,36455,419,379,800,2776,2552,5323,1047,1058,2104,450,469,924,464,854,1317,9549,10904,20451,1677,1540,3215,3155,3039,6191,664,588,1250,237,283,522,40,41,80
SED52505,27875,28418,56297,2358,2241,4596,4385,4307,8693,1727,1619,3346,1624,1521,3146,4183,4568,8747,5122,5162,10289,3199,3269,6469,2533,2828,5362,1904,2008,3914,688,689,1374,149,212,358,88,95,180,26773,28136,54914,1103,279,1380,582,326,913,3,0,9,13,16,31,603,345,944,14796,14512,29308,12564,13376,25938,16500,16837,33332,9798,10721,20526,22101,22789,44896,742,666,1408,4237,4166,8400,1364,1408,2769,690,730,1415,847,1405,2252,14023,15283,29304,1652,1633,3282,3683,3215,6897,641,620,1270,303,365,663,127,140,265
SED52604,19996,20520,40515,1036,942,1982,2543,2373,4920,1396,1295,2685,1505,1312,2821,2296,2278,4576,2430,2608,5040,2751,3073,5827,2879,3104,5978,2029,2099,4123,847,981,1826,283,465,740,23,35,60,19489,19963,39450,505,555,1061,221,168,385,6,11,19,5,15,23,237,191,429,10634,10508,21144,8636,9277,17916,16901,17041,33941,2280,2678,4955,17136,17505,34641,345,286,630,2452,2282,4735,1076,1076,2157,645,631,1273,626,975,1602,9944,10726,20673,1653,1693,3348,3089,3004,6100,613,541,1154,212,255,464,37,50,87
SED52702,18604,19525,38132,866,834,1704,2757,2548,5301,1359,1215,2578,981,807,1798,1335,1477,2811,1950,2346,4298,2615,2970,5589,2571,2758,5332,2314,2485,4800,1427,1504,2934,416,572,986,21,13,36,18375,19243,37616,231,282,514,243,256,493,8,0,14,3,3,9,250,264,513,13199,13522,26723,4950,5511,10458,17161,17739,34899,955,1263,2215,17137,17840,34974,233,267,491,2665,2466,5131,1054,992,2050,393,370,762,387,724,1112,8414,9948,18361,1568,1490,3052,3461,3153,6617,704,632,1338,317,318,633,37,39,76
SED52803,26854,18423,45275,1366,1260,2627,2582,2404,4985,1052,937,1986,1806,1284,3091,5060,3211,8272,4643,2781,7425,4404,2553,6947,3670,2241,5913,1693,1193,2891,487,412,899,85,153,230,87,55,147,17924,16348,34272,8927,2071,11003,1716,1550,3266,40,21,59,44,38,86,1805,1609,3414,15034,11531,26566,5458,4253,9712,17513,13303,30816,2608,2302,4910,17168,13165,30334,297,330,625,2223,2086,4308,550,497,1052,212,183,392,577,731,1304,7810,6471,14283,2353,1596,3946,4985,3144,8128,939,615,1552,453,359,814,94,52,148
SED52903,25526,25642,51170,1510,1440,2953,3311,3196,6508,1088,1149,2237,1351,1470,2821,3640,4190,7831,3398,3501,6901,3267,3100,6358,3471,3839,7312,3414,2935,6344,969,720,1688,105,112,216,174,205,374,21314,22417,43732,4211,3222,7435,7087,7306,14388,32,40,75,150,162,317,7264,7513,14776,18257,18221,36483,3404,3655,7065,17439,17462,34899,3806,4204,8011,20269,20419,40686,307,268,573,2680,2570,5255,429,488,912,94,179,268,369,768,1135,7926,9515,17443,2190,2327,4515,4875,4148,9016,1106,834,1945,867,577,1438,183,150,326
SED53004,19732,21013,40742,1198,1142,2332,2780,2667,5448,1274,1227,2497,1099,939,2037,1894,2042,3939,2706,2916,5620,2534,2760,5292,2330,2779,5113,2454,2651,5106,1099,1258,2353,369,638,1002,25,28,53,19616,20774,40384,118,243,361,156,201,357,9,7,14,8,5,12,169,208,385,13191,13801,26997,6155,6806,12958,17252,18094,35347,2068,2481,4553,17916,18948,36865,380,380,757,2703,2583,5288,1016,1046,2058,450,430,880,454,732,1186,9452,10521,19979,1595,1677,3276,3299,3429,6731,638,656,1288,291,392,680,61,79,137
SED53105,24638,24050,48695,2061,1904,3965,3944,3591,7538,1430,1323,2759,1625,1439,3057,3844,3896,7743,4224,4202,8427,3081,2893,5970,2133,2210,4343,1424,1541,2960,672,748,1425,200,312,511,39,36,80,23305,23860,47170,1331,189,1525,1152,690,1841,12,12,23,49,22,68,1210,723,1929,15861,14831,30696,7832,8311,16144,17845,18016,35865,4520,5063,9588,19704,19981,39687,590,568,1156,3721,3394,7116,994,978,1971,409,449,861,592,1187,1781,9142,10510,19645,1994,1880,3868,4944,3868,8814,893,824,1721,484,478,963,138,98,238
SED53204,23237,24463,47702,1789,1679,3467,3826,3648,7475,1695,1635,3330,1543,1464,3001,2878,3393,6271,3679,4039,7717,3210,3385,6597,2358,2508,4860,1455,1619,3074,637,799,1433,186,288,478,29,43,76,23191,24391,47582,47,74,117,222,237,458,9,7,19,12,10,23,245,251,496,13800,14135,27934,8974,9844,18819,15177,15780,30958,7451,8020,15468,20630,21516,42147,540,490,1029,3690,3527,7221,1353,1378,2725,608,662,1270,538,1015,1557,10719,12012,22732,1788,1696,3483,3202,3238,6441,745,734,1471,452,569,1017,238,340,575
SED53306,20857,23756,44609,1365,1377,2744,2903,2928,5834,1281,1232,2515,1187,1279,2465,2331,2798,5127,2325,2805,5126,2404,2792,5201,2389,2908,5295,2410,2760,5164,1656,1915,3568,605,959,1563,18,22,42,20541,23207,43744,315,551,866,722,826,1546,20,18,39,10,16,24,758,858,1610,14035,15641,29679,5591,6706,12303,17976,20243,38221,1635,2066,3699,17820,20153,37969,375,357,730,2697,2719,5421,856,874,1728,242,368,607,375,905,1277,6820,8436,15257,2003,2322,4318,4640,5184,9825,1145,1202,2349,680,732,1411,69,59,129
SED53402,20857,21613,42471,1299,1241,2542,2287,2063,4345,948,893,1841,1236,1351,2575,3623,3901,7519,3564,3536,7097,2715,2858,5573,2309,2342,4650,1726,1841,3567,842,1015,1853,328,582,909,38,37,76,20574,21258,41838,281,354,638,298,307,601,13,8,21,12,9,23,325,323,642,12956,13234,26183,7076,7586,14656,15642,15822,31464,4328,4956,9283,17613,18250,35862,380,379,759,2178,1965,4136,742,762,1506,544,621,1165,996,1414,2418,11706,12590,24302,1287,1234,2519,2339,2380,4721,543,526,1070,423,549,970,90,146,235
SED53502,22730,23713,46448,1496,1432,2932,2832,2712,5544,1399,1253,2650,1485,1444,2930,3223,3425,6640,3090,3203,6290,2883,3079,5965,2717,2892,5608,2055,2237,4293,1161,1372,2534,395,665,1061,41,60,99,22150,23012,45165,576,700,1283,1104,1126,2231,18,13,37,16,7,26,1143,1145,2292,15382,15680,31063,6065,6770,12837,17994,18404,36401,3330,3900,7232,19383,20043,39431,421,390,811,2650,2531,5189,969,858,1834,363,465,823,555,1030,1580,8828,10055,18883,2005,2022,4026,4436,4343,8778,972,870,1848,608,690,1293,109,132,240
SED53602,23733,23845,47580,1642,1555,3195,3298,2944,6237,1457,1402,2861,1799,1655,3449,3665,3640,7304,3225,3307,6533,2824,2883,5707,2532,2721,5255,1986,2178,4155,1014,1138,2152,299,429,732,31,63,96,23564,23561,47120,173,285,460,671,744,1419,19,13,36,18,12,27,706,777,1482,11820,11508,23328,10475,10913,21385,11691,11395,23090,10421,10773,21195,18557,18637,37199,390,364,754,2955,2669,5625,1085,1084,2169,638,704,1345,905,1389,2293,9610,9889,19496,1732,1602,3334,3494,3453,6941,898,911,1807,1084,1322,2403,642,790,1433
SED53701,20425,18762,39188,942,895,1839,2332,2167,4499,899,819,1719,856,691,1546,1910,1815,3726,2252,2181,4432,2724,2548,5273,3453,3198,6649,3232,2830,6059,1514,1256,2766,309,365,678,121,58,179,18856,18120,36973,1569,639,2208,855,854,1712,6,8,13,5,11,17,868,865,1742,14264,13034,27304,3301,3492,6792,16861,15816,32676,887,892,1774,16626,15560,32180,207,214,420,2012,1904,3911,549,517,1067,98,115,210,163,492,653,6063,6736,12796,1776,1743,3519,4929,4046,8972,1094,751,1839,687,436,1124,44,51,95
