SED_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SED51104,96,103,206,2107,2002,4102,88,62,151,2290,2165,4456,121,87,210,2151,2090,4242,92,90,185,2366,2266,4628,90,86,174,2060,1906,3967,76,73,152,2231,2063,4289,76,49,128,1714,1679,3397,91,67,158,1876,1802,3673,51,45,97,1539,1590,3129,57,51,110,1650,1692,3341,43,62,96,1642,1966,3607,61,76,140,1739,2106,3845,44,54,102,1832,2214,4037,47,78,125,1917,2343,4262,40,50,94,1785,2216,4001,74,92,166,1897,2364,4260,17,30,50,1574,1821,3393,68,52,122,1656,1909,3566,24,28,49,1584,1851,3431,54,66,115,1661,1935,3601,13,23,33,1537,1762,3304,66,54,125,1622,1835,3462,16,20,38,1237,1306,2545,43,44,83,1296,1374,2666,6,12,21,885,1141,2028,33,36,71,927,1187,2119,17,22,37,2682,3290,5969,78,120,199,2777,3430,6209,651,668,1322,24330,26823,51155,925,975,1897,25902,28469,54374
SED51205,52,54,106,1842,1684,3527,69,70,140,1956,1814,3773,45,54,102,1487,1451,2933,76,74,153,1612,1572,3185,51,54,100,1302,1209,2511,52,55,110,1409,1313,2725,42,46,92,1208,1064,2269,71,50,119,1320,1160,2480,50,57,107,2014,1780,3798,104,93,204,2170,1937,4103,42,49,91,2419,2291,4710,120,115,243,2585,2452,5043,39,34,71,2355,2398,4753,93,113,207,2487,2543,5029,17,23,46,2234,2137,4377,86,86,178,2344,2249,4595,17,25,46,1758,1583,3344,98,62,161,1877,1676,3551,22,24,52,1386,1357,2742,53,60,117,1472,1440,2910,21,21,38,1282,1262,2545,52,50,101,1356,1333,2689,21,29,46,1111,1222,2338,40,42,81,1174,1290,2468,11,8,21,1068,1276,2338,37,41,79,1107,1327,2434,31,42,76,3068,3592,6664,104,106,210,3203,3745,6948,463,530,994,24545,24299,48846,1064,1020,2089,26073,25855,51929
SED51304,11,15,30,1153,1034,2189,7,7,19,1171,1061,2232,10,10,19,1458,1432,2885,21,18,40,1486,1457,2946,19,17,38,1649,1617,3267,24,24,45,1685,1664,3351,6,9,12,1344,1201,2549,16,14,35,1366,1226,2595,10,8,18,967,901,1864,9,12,15,980,920,1900,9,11,22,646,629,1273,11,22,35,669,665,1329,8,4,13,777,918,1692,14,17,25,794,939,1734,6,12,13,1135,1392,2531,21,16,36,1163,1417,2577,5,3,17,1351,1550,2900,22,20,43,1381,1577,2955,8,10,14,1443,1467,2910,23,18,42,1474,1495,2966,12,7,15,1360,1430,2795,14,16,32,1391,1448,2842,3,5,10,1136,1263,2402,8,13,23,1148,1275,2428,7,3,4,1112,1313,2420,14,12,23,1123,1323,2449,12,11,21,4066,4631,8695,69,95,168,4151,4737,8886,129,121,253,19595,20777,40369,258,309,578,19984,21210,41192
SED51401,101,78,172,791,790,1581,89,82,165,977,947,1923,107,106,215,909,927,1840,121,127,246,1143,1157,2299,97,118,217,872,810,1685,127,104,236,1102,1033,2139,111,85,194,727,636,1364,98,87,184,937,806,1741,60,64,119,745,563,1314,126,82,204,926,709,1631,47,51,99,915,712,1629,147,93,244,1109,856,1967,43,54,95,989,828,1817,143,93,229,1175,970,2145,42,38,80,1017,920,1939,156,112,265,1218,1069,2284,36,59,95,939,790,1733,157,110,266,1135,957,2091,49,46,93,1058,971,2037,182,141,316,1291,1155,2442,47,56,99,1241,1112,2358,203,125,327,1491,1291,2778,72,71,144,1293,1200,2493,199,137,344,1570,1412,2982,56,63,112,1407,1248,2650,179,104,283,1640,1416,3053,79,100,181,3953,3708,7659,423,409,836,4460,4219,8682,956,973,1932,16867,15224,32085,2344,1800,4143,20163,17995,38163
SED51504,17,13,25,1120,1042,2164,19,18,33,1150,1071,2221,22,16,34,1506,1365,2873,16,12,26,1543,1392,2933,21,10,27,1839,1558,3396,23,18,44,1878,1583,3464,24,13,33,1573,1345,2922,21,13,36,1621,1370,2992,16,12,25,1152,1092,2244,14,18,34,1187,1122,2305,10,10,20,1030,1147,2170,32,34,70,1068,1191,2264,8,7,15,1177,1364,2544,24,26,51,1209,1400,2608,5,3,9,1470,1594,3068,36,25,59,1514,1625,3136,12,7,17,1409,1573,2984,29,21,50,1448,1603,3053,7,12,22,1523,1702,3228,24,21,43,1550,1735,3283,7,8,15,1366,1525,2890,16,22,37,1381,1553,2938,11,0,11,1201,1297,2496,20,17,30,1226,1315,2538,4,0,6,1072,1085,2156,10,13,29,1082,1103,2187,7,15,17,3159,3964,7121,61,100,164,3222,4084,7305,143,124,267,20596,21649,42243,339,376,708,21074,22148,43222
SED51605,64,46,112,1594,1491,3087,33,41,74,1702,1577,3278,62,47,105,1602,1621,3226,41,47,90,1709,1708,3413,64,58,117,1623,1534,3161,42,42,91,1732,1633,3370,39,39,78,1482,1409,2889,33,38,64,1550,1484,3037,47,53,98,1427,1429,2859,45,41,87,1520,1526,3042,52,21,71,1440,1582,3025,43,49,93,1529,1657,3192,25,38,60,1625,1787,3414,53,46,99,1700,1871,3569,19,38,55,1744,1961,3712,43,49,91,1806,2047,3860,11,15,33,1725,1819,3543,52,45,93,1791,1881,3670,22,25,45,1685,1783,3460,44,48,87,1743,1850,3592,17,22,39,1458,1594,3048,31,31,61,1502,1640,3143,14,18,30,1236,1318,2551,26,34,58,1275,1368,2641,10,5,13,1013,1108,2113,27,25,53,1045,1134,2181,8,11,20,2287,2540,4821,83,89,165,2373,2637,5011,445,426,879,21933,22970,44903,594,619,1210,22973,24018,46997
SED51706,71,61,139,1243,1134,2376,52,48,97,1371,1242,2607,107,80,188,1426,1290,2719,65,48,112,1594,1427,3018,76,100,175,1396,1337,2738,76,83,154,1553,1519,3072,72,71,140,1141,1127,2271,81,46,125,1294,1241,2541,60,40,103,933,814,1749,47,32,76,1043,890,1932,41,45,84,961,1047,2012,49,65,105,1047,1152,2199,31,42,74,1083,1251,2331,52,56,105,1163,1351,2509,40,26,69,1154,1387,2535,66,61,125,1256,1467,2730,23,37,58,1176,1262,2440,58,48,106,1253,1352,2599,29,31,61,1160,1302,2464,76,50,129,1266,1386,2643,24,37,60,1281,1436,2720,67,69,136,1376,1542,2913,32,31,61,1317,1388,2701,63,61,119,1412,1470,2881,25,16,42,1307,1431,2739,64,55,124,1403,1502,2901,24,33,53,3726,3879,7603,250,276,525,3997,4186,8184,656,645,1301,19311,20085,39398,1063,982,2047,21027,21717,42744
SED51804,9,16,30,934,823,1756,27,15,44,972,858,1825,12,12,18,1141,1067,2212,27,44,68,1181,1125,2298,27,40,69,1480,1474,2954,42,52,95,1555,1563,3120,34,33,66,1531,1573,3106,33,51,89,1600,1657,3260,12,8,20,1171,1244,2419,35,47,82,1225,1300,2519,11,11,26,978,1076,2052,39,40,84,1037,1120,2158,3,9,21,982,1032,2011,47,36,82,1028,1082,2111,10,10,12,959,1228,2181,43,40,85,1002,1275,2280,4,3,9,1117,1204,2318,40,36,79,1160,1240,2407,11,10,21,1250,1455,2704,26,36,61,1286,1501,2783,10,12,19,1458,1651,3115,39,44,82,1508,1702,3209,9,8,12,1308,1403,2713,42,44,84,1356,1451,2805,0,6,6,1223,1321,2537,40,35,75,1261,1357,2622,12,8,20,4066,4852,8915,163,224,393,4242,5086,9326,166,179,342,19600,21393,40995,646,748,1389,20410,22324,42737
SED51902,92,74,165,1658,1618,3274,45,31,77,1799,1722,3517,77,78,156,1754,1693,3446,66,54,121,1902,1826,3729,80,80,155,1711,1563,3270,53,58,111,1844,1699,3541,37,60,96,1381,1420,2798,48,38,84,1468,1509,2980,37,38,72,1172,1128,2299,37,32,70,1246,1202,2447,37,41,79,1180,1414,2590,29,43,72,1249,1497,2745,41,35,77,1450,1702,3155,31,52,86,1523,1792,3316,37,39,76,1563,1685,3246,39,52,90,1640,1771,3414,36,22,55,1380,1474,2853,41,47,86,1453,1550,3001,33,19,51,1364,1497,2861,44,38,78,1440,1550,2990,9,20,36,1460,1521,2981,49,47,92,1521,1581,3106,14,20,32,1327,1382,2708,33,36,73,1379,1438,2818,6,11,23,1199,1226,2429,25,36,67,1240,1273,2507,18,8,28,2896,2934,5832,82,89,179,2999,3036,6036,559,541,1108,21509,22246,43749,625,649,1276,22692,23439,46134
SED52006,53,62,110,911,910,1820,24,13,42,992,988,1975,61,51,115,1060,1102,2164,24,49,74,1144,1202,2352,61,79,137,1241,1165,2402,42,43,85,1341,1287,2629,46,51,98,1116,1061,2173,30,35,66,1192,1140,2338,32,36,70,815,841,1662,21,19,42,871,905,1776,25,26,54,712,828,1535,24,25,52,761,879,1642,34,34,67,752,967,1720,26,20,50,812,1021,1836,19,11,34,863,1117,1982,30,26,54,915,1154,2069,17,14,28,860,1086,1945,23,36,58,898,1137,2037,17,23,35,1018,1285,2299,32,34,64,1063,1343,2404,21,24,41,1078,1325,2400,21,36,58,1118,1382,2498,20,22,40,1226,1379,2605,29,32,58,1272,1430,2707,12,12,24,1220,1512,2733,19,31,53,1257,1552,2811,24,23,46,5078,5558,10637,122,139,256,5223,5718,10942,454,463,911,17945,20139,38087,464,547,1016,18862,21147,40011
SED52102,86,74,152,1386,1218,2603,47,37,81,1513,1325,2837,108,78,186,1346,1258,2607,55,45,98,1511,1380,2890,76,66,145,1298,1297,2592,63,49,115,1435,1415,2851,75,48,131,1133,1114,2250,37,49,86,1250,1213,2463,55,72,130,1172,1031,2199,54,38,91,1282,1141,2418,40,57,97,1167,1199,2364,57,52,108,1265,1304,2565,46,45,92,1340,1485,2822,51,47,94,1433,1579,3012,39,45,88,1531,1563,3097,56,66,117,1627,1676,3299,28,41,66,1348,1369,2712,62,48,112,1437,1458,2886,27,37,59,1269,1281,2547,42,32,78,1332,1346,2683,23,33,61,1186,1176,2367,33,46,80,1247,1257,2505,21,25,45,1157,1204,2364,50,40,87,1226,1263,2491,15,27,46,1051,1151,2193,28,30,58,1098,1201,2302,32,37,70,2760,3198,5957,77,88,165,2872,3323,6195,672,680,1361,19129,19541,38673,711,656,1373,20516,20886,41406
SED52205,50,49,101,1135,1034,2164,57,41,104,1242,1124,2367,46,44,89,912,945,1854,46,40,88,1005,1036,2036,53,38,84,920,884,1803,47,46,93,1018,962,1981,38,39,79,895,890,1790,52,37,86,989,967,1955,25,44,69,1115,1235,2354,85,82,163,1225,1358,2581,22,43,66,1308,1418,2731,74,93,167,1406,1552,2957,42,34,73,1498,1662,3160,118,89,211,1654,1790,3448,29,35,68,1545,1514,3062,87,77,167,1665,1632,3292,34,20,56,1280,1342,2623,93,69,161,1406,1426,2839,33,22,59,1329,1354,2688,94,76,165,1449,1464,2909,23,27,46,1372,1473,2844,88,62,153,1484,1560,3044,17,20,45,1338,1467,2810,93,61,152,1448,1554,3001,19,19,37,1193,1338,2530,77,55,132,1289,1414,2701,35,37,71,3581,4163,7740,253,269,525,3868,4469,8334,467,477,944,19413,20732,40148,1260,1097,2357,21141,22310,43451
SED52301,198,189,382,878,878,1753,94,108,201,1165,1174,2340,214,211,426,1015,971,1979,133,119,256,1364,1301,2665,231,215,442,1069,1020,2085,108,116,223,1404,1341,2752,189,178,364,978,940,1917,108,82,192,1276,1206,2477,140,159,297,779,795,1576,74,95,163,989,1043,2040,135,127,263,875,912,1792,96,97,191,1102,1138,2244,114,122,236,874,1013,1883,85,97,183,1072,1231,2304,114,113,221,935,1013,1948,98,118,222,1150,1239,2388,100,112,214,891,1028,1914,112,101,214,1103,1235,2342,96,97,192,975,1122,2098,89,84,175,1163,1305,2468,84,98,189,1071,1193,2262,91,87,173,1242,1373,2621,67,94,157,1071,1116,2182,86,81,162,1224,1287,2508,63,90,149,1083,1083,2164,86,70,161,1231,1242,2478,111,150,264,2996,3264,6253,246,277,522,3352,3688,7042,1853,1948,3800,15481,16329,31813,1512,1531,3045,18846,19813,38656
SED52404,28,16,41,1234,1203,2441,26,25,56,1294,1243,2539,20,24,42,1318,1229,2542,28,20,53,1357,1280,2637,22,24,45,1450,1311,2766,22,28,49,1494,1365,2858,15,12,24,1283,1203,2489,28,26,55,1328,1248,2569,12,18,31,1064,958,2030,26,12,36,1105,990,2095,16,10,25,989,1057,2048,24,21,44,1031,1086,2115,16,23,39,1178,1342,2522,24,24,52,1218,1387,2612,9,7,22,1362,1490,2851,23,31,56,1399,1529,2926,9,15,23,1308,1385,2692,39,22,62,1355,1427,2778,11,7,23,1342,1412,2753,23,30,54,1377,1449,2826,6,9,15,1267,1330,2597,33,20,48,1300,1366,2667,7,10,16,1201,1359,2555,13,19,37,1223,1385,2606,7,6,17,1136,1361,2500,22,21,45,1163,1391,2554,12,12,21,3189,3502,6689,57,77,135,3255,3596,6846,191,188,382,19320,20152,39468,393,386,779,19901,20734,40633
SED52505,28,19,51,2302,2194,4492,26,22,44,2354,2234,4587,25,38,55,2260,2219,4478,33,33,73,2322,2283,4604,38,32,73,1988,1944,3931,39,43,84,2068,2017,4082,91,29,120,1614,1566,3179,26,28,51,1727,1619,3346,64,31,94,1533,1469,3001,24,17,41,1618,1519,3137,89,45,135,1679,1768,3445,20,20,35,1789,1824,3620,92,43,132,2259,2658,4917,33,43,73,2388,2737,5122,60,36,95,2737,2861,5595,45,46,89,2847,2941,5784,47,14,63,2204,2170,4372,29,31,62,2271,2219,4496,31,17,47,1664,1682,3344,18,14,38,1707,1715,3425,15,18,30,1447,1511,2953,20,25,46,1483,1544,3022,11,8,22,1307,1442,2744,23,24,42,1340,1468,2809,10,6,12,1151,1304,2451,21,14,37,1178,1325,2501,6,9,10,2650,2812,5462,48,46,92,2700,2866,5565,603,345,944,26790,27577,54364,403,404,802,27794,28324,56111
SED52604,26,22,49,993,893,1888,17,17,38,1039,940,1976,23,21,43,1176,1073,2249,26,39,60,1228,1125,2354,22,23,46,1264,1190,2455,30,35,62,1319,1241,2562,36,18,54,1326,1246,2575,34,29,61,1396,1291,2684,20,6,25,1445,1256,2695,46,44,92,1505,1312,2816,11,11,25,1105,1013,2115,43,48,87,1160,1066,2231,12,14,26,1082,1145,2231,36,46,79,1134,1204,2332,14,19,31,1196,1182,2382,38,42,85,1250,1240,2489,20,14,30,1121,1323,2446,35,37,68,1171,1367,2542,18,12,26,1233,1384,2610,48,36,83,1290,1432,2721,8,13,18,1412,1587,3001,37,40,80,1456,1638,3093,10,5,16,1381,1588,2970,43,37,81,1438,1632,3069,10,8,19,1374,1412,2790,49,44,92,1439,1468,2903,12,8,18,2966,3326,6290,171,197,370,3146,3530,6676,237,191,429,19074,19610,38685,661,683,1344,19970,20486,40454
SED52702,29,28,55,828,791,1614,16,16,29,866,834,1704,27,18,43,1127,1096,2219,26,24,50,1171,1136,2311,49,40,93,1493,1335,2832,36,30,67,1581,1408,2990,34,48,78,1303,1143,2450,19,22,46,1362,1215,2572,17,18,32,947,780,1725,22,19,40,981,811,1793,9,7,18,585,605,1184,15,21,36,606,631,1243,14,16,28,680,809,1489,22,17,47,719,837,1557,11,11,23,835,1042,1877,22,30,50,865,1075,1942,11,7,20,1046,1232,2277,29,28,57,1083,1266,2345,16,11,27,1206,1358,2568,26,30,52,1241,1404,2648,13,25,35,1333,1515,2847,24,26,49,1371,1565,2933,10,15,27,1298,1372,2668,32,29,68,1344,1421,2764,8,9,19,1194,1307,2502,28,16,45,1226,1336,2562,12,14,28,4063,4435,8499,78,111,188,4151,4561,8712,250,264,513,17936,18820,36755,400,423,826,18583,19510,38092
SED52803,175,162,338,1063,995,2053,130,98,232,1365,1259,2627,154,145,304,1054,984,2042,123,139,261,1335,1268,2606,187,154,344,906,865,1772,150,113,265,1244,1136,2378,131,143,272,815,688,1500,109,105,215,1054,937,1987,167,125,286,1217,946,2164,414,214,625,1797,1280,3078,172,124,294,1650,1186,2834,679,273,951,2491,1579,4071,158,99,256,1666,1281,2950,716,239,954,2537,1617,4157,114,120,235,1698,1172,2871,679,218,899,2498,1509,4004,112,99,212,1424,985,2413,592,180,773,2130,1269,3398,107,101,206,1498,1002,2496,601,165,764,2201,1263,3464,94,87,183,1492,1005,2500,599,186,788,2184,1283,3467,83,74,154,1428,946,2376,506,182,691,2023,1204,3226,66,68,133,1166,818,1980,403,151,554,1636,1030,2666,79,110,189,1753,1388,3144,426,244,672,2259,1744,4004,1805,1609,3414,18831,14255,33091,6126,2500,8625,26763,18369,45130
SED52903,745,690,1440,597,590,1195,165,155,323,1513,1440,2947,813,720,1533,728,747,1477,224,227,453,1771,1689,3458,741,760,1500,609,561,1169,186,183,366,1535,1505,3037,638,654,1291,331,357,685,124,136,263,1088,1145,2240,583,622,1205,533,620,1155,190,178,371,1315,1418,2734,553,586,1140,869,1110,1979,215,267,482,1641,1963,3606,598,605,1200,1058,1200,2254,269,324,597,1930,2124,4050,507,552,1057,1026,1121,2150,244,241,479,1777,1909,3688,473,498,971,918,884,1800,210,192,402,1597,1576,3172,383,403,782,887,869,1758,245,212,453,1514,1478,2988,375,403,780,1082,982,2067,281,232,513,1740,1614,3356,257,326,586,1130,1214,2343,266,245,510,1651,1786,3434,243,271,510,1318,1528,2850,256,240,498,1814,2045,3856,350,429,785,3600,2835,6438,519,483,998,4468,3750,8223,7264,7513,14776,14689,14631,29319,3398,3299,6699,25349,25443,50796
SED53004,17,24,37,1169,1104,2269,14,12,30,1193,1142,2333,23,29,50,1321,1235,2560,19,29,48,1366,1291,2653,29,25,51,1359,1329,2683,28,26,56,1415,1381,2792,21,23,42,1229,1184,2420,18,12,36,1274,1225,2497,9,12,24,1076,904,1982,15,19,30,1096,937,2037,8,15,16,818,847,1670,10,7,20,837,865,1708,5,9,17,1026,1140,2168,15,18,38,1053,1170,2227,11,15,27,1363,1470,2837,18,25,50,1393,1519,2909,15,14,18,1269,1363,2635,27,22,51,1307,1396,2705,13,9,22,1261,1374,2632,29,22,52,1298,1413,2705,8,5,14,1208,1322,2534,19,18,29,1234,1349,2580,7,6,19,1126,1347,2470,22,9,32,1154,1362,2520,8,10,16,1158,1382,2537,6,18,23,1170,1408,2576,12,14,21,3825,4426,8249,77,97,175,3917,4536,8450,169,208,385,19214,20434,39650,322,342,664,19708,20986,40692
SED53105,104,83,181,1886,1765,3649,68,61,131,2056,1905,3962,107,85,192,1890,1784,3674,80,72,149,2071,1940,4015,100,73,170,1709,1518,3230,60,61,122,1871,1651,3524,96,71,164,1262,1198,2466,69,51,127,1430,1323,2759,144,65,210,1422,1325,2745,46,48,97,1622,1433,3059,171,61,231,1575,1671,3251,54,66,119,1794,1800,3599,132,62,201,1824,1955,3783,86,67,152,2042,2091,4134,108,43,153,2090,2214,4303,79,82,159,2276,2333,4611,78,36,114,1804,1779,3580,64,46,113,1949,1860,3809,68,34,108,1502,1458,2956,51,49,102,1626,1545,3168,41,29,69,1370,1278,2644,45,38,86,1458,1344,2797,15,30,43,1107,1123,2231,39,40,83,1169,1189,2354,9,19,26,907,957,1869,35,35,69,957,1014,1966,36,31,64,2178,2470,4655,63,83,145,2277,2586,4864,1210,723,1929,22540,22495,45031,853,801,1649,24597,24013,48614
SED53204,42,23,67,1702,1629,3332,40,26,60,1782,1677,3461,30,40,60,1882,1812,3694,36,32,68,1936,1875,3820,23,29,52,1823,1711,3540,34,26,60,1880,1768,3656,27,26,50,1632,1589,3220,35,24,59,1695,1635,3330,21,19,43,1492,1418,2913,24,13,43,1542,1455,2996,26,26,53,1243,1402,2649,26,23,56,1298,1458,2758,20,15,36,1520,1871,3396,41,38,79,1575,1934,3509,21,16,33,1857,2113,3968,23,30,53,1901,2156,4056,13,9,25,1728,1843,3578,33,24,55,1774,1881,3655,11,6,17,1630,1776,3404,20,28,45,1657,1810,3466,3,9,16,1517,1551,3062,21,18,40,1550,1575,3125,9,8,17,1265,1331,2593,15,21,38,1283,1363,2643,6,6,18,1043,1108,2156,19,15,28,1066,1134,2198,7,8,16,2209,2622,4828,52,67,117,2260,2695,4961,245,251,496,22553,23775,46329,413,390,803,23212,24418,47626
SED53306,101,98,205,1184,1213,2400,78,64,145,1365,1382,2741,114,104,224,1238,1273,2509,63,76,142,1414,1461,2874,96,117,209,1300,1275,2574,90,84,180,1483,1469,2960,91,90,183,1125,1083,2206,64,60,122,1281,1228,2509,54,74,128,1058,1140,2199,69,69,139,1183,1279,2463,54,58,109,1036,1177,2216,65,62,121,1155,1290,2447,40,63,105,1070,1363,2430,61,75,134,1175,1504,2675,44,56,99,1157,1365,2529,63,82,140,1268,1502,2769,33,39,67,984,1202,2184,45,56,105,1056,1302,2361,23,32,50,1101,1208,2312,65,78,139,1186,1317,2507,27,36,66,1131,1377,2506,62,54,111,1219,1471,2688,18,28,48,1149,1351,2500,63,60,116,1233,1434,2667,19,21,37,1091,1401,2489,45,51,96,1150,1472,2623,32,45,77,4416,5329,9737,218,253,470,4662,5623,10290,758,858,1610,19031,21754,40790,1042,1124,2168,20833,23738,44569
SED53402,25,21,46,1248,1188,2432,32,26,58,1299,1238,2539,32,14,46,1095,1004,2096,47,40,87,1171,1055,2233,25,24,50,1052,939,1992,33,36,73,1106,1006,2113,28,29,57,880,834,1711,38,32,63,945,892,1834,41,37,78,1147,1268,2409,49,46,90,1231,1351,2575,28,25,59,1538,1699,3238,68,72,139,1631,1799,3433,28,30,55,1888,2003,3893,67,56,123,1979,2094,4071,18,18,38,1838,1833,3675,66,72,134,1916,1925,3849,22,14,32,1561,1554,3114,51,36,91,1630,1607,3234,14,26,40,1305,1435,2742,44,49,91,1365,1509,2874,18,22,35,1274,1288,2566,53,37,88,1340,1346,2688,28,18,44,1156,1175,2326,46,30,77,1227,1217,2447,12,15,26,1031,1071,2095,40,26,65,1076,1115,2190,16,31,47,2740,3287,6029,128,113,243,2890,3428,6321,325,323,642,19745,20578,40323,748,679,1428,20821,21573,42395
SED53502,147,133,283,1307,1249,2556,37,47,90,1500,1429,2926,129,122,252,1236,1224,2461,62,62,122,1421,1414,2835,113,114,226,1218,1127,2343,78,51,132,1403,1294,2697,115,105,219,1229,1088,2317,48,57,106,1399,1248,2645,94,117,214,1327,1243,2568,62,77,140,1485,1442,2923,98,79,181,1365,1432,2800,85,81,165,1552,1596,3147,70,77,149,1523,1687,3206,72,63,134,1664,1821,3481,67,69,132,1500,1548,3051,71,70,140,1637,1684,3321,54,56,115,1328,1403,2730,66,42,115,1452,1507,2952,46,73,114,1264,1390,2654,58,69,128,1377,1525,2903,58,56,112,1378,1433,2813,72,61,135,1506,1542,3053,40,44,83,1303,1426,2730,60,50,110,1400,1521,2924,45,30,71,1211,1282,2495,50,46,97,1307,1358,2669,59,73,134,3388,4006,7390,149,190,340,3601,4265,7866,1143,1145,2292,20572,21529,42106,979,972,1954,22690,23651,46350
