SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED55102,91,123,212,41,36,76,53,98,155,70,166,235,135,371,504,199,200,401,532,168,696,493,231,729,668,328,1001,801,286,1079,637,236,872,726,177,909,1747,285,2033,1290,33,1323,1084,80,1160,687,8,696,1743,79,1821,1691,75,1768,131,182,314,12839,3157,15992
SED55202,167,177,348,47,49,99,66,195,259,90,392,477,243,935,1177,277,564,847,826,357,1184,818,468,1287,951,488,1438,1030,363,1396,799,291,1087,823,225,1043,1717,298,2015,1112,53,1165,813,72,887,432,19,456,797,73,876,1100,99,1195,142,181,325,12257,5287,17547
SED55306,115,124,237,57,53,111,62,171,235,54,319,376,208,767,976,229,601,821,780,403,1189,645,418,1063,864,419,1289,907,325,1225,644,216,853,657,175,825,1401,301,1699,1069,72,1146,802,107,910,495,30,524,1217,219,1428,1460,115,1579,129,228,357,11779,5067,16845
SED55405,108,276,389,31,112,141,39,267,301,61,523,580,150,983,1136,189,768,959,442,465,905,437,606,1044,512,722,1231,736,607,1342,553,547,1105,608,403,1011,1396,888,2283,1099,176,1278,1004,253,1266,703,81,787,2117,358,2477,887,378,1268,74,207,278,11159,8614,19773
SED55504,110,114,225,38,37,76,54,89,140,64,198,261,154,501,654,208,449,659,574,240,814,566,304,872,663,334,1003,840,271,1113,674,248,921,792,166,960,1769,303,2067,1550,35,1580,1235,62,1295,743,13,759,1688,83,1771,1512,59,1572,152,147,297,13390,3650,17044
SED55605,94,105,199,36,30,68,51,86,137,67,184,248,178,452,627,256,296,551,629,195,827,630,231,862,639,295,939,730,252,977,703,237,941,705,183,895,1681,358,2033,1350,33,1380,1195,76,1271,711,8,720,1714,63,1778,1776,91,1865,142,74,213,13271,3257,16529
SED55706,126,167,291,67,122,194,80,251,339,65,427,491,292,1054,1351,279,640,910,896,434,1328,750,521,1276,889,491,1379,943,307,1249,610,243,852,698,177,873,1284,315,1595,939,70,1002,663,102,761,356,38,393,767,201,967,1374,114,1484,144,293,437,11211,5961,17168
SED55802,95,127,222,44,46,89,40,93,134,36,168,208,161,418,576,211,248,457,610,189,801,562,275,841,804,388,1197,920,377,1294,877,295,1175,887,239,1129,2173,358,2531,1688,58,1743,1167,65,1240,762,19,782,1450,71,1526,1434,93,1532,129,96,224,14065,3627,17695
SED55905,107,159,269,48,59,106,67,192,263,70,338,403,191,911,1097,203,483,689,631,293,924,511,366,880,607,432,1039,679,346,1027,546,294,838,583,246,823,1333,385,1723,1062,41,1106,960,96,1059,653,19,671,1464,113,1575,904,114,1018,102,180,281,10720,5068,15788
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
