SA3_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
50502,404,135,1348,690,455,324,232,345,44,3975,10,9,8,15,12,14,7,18,0,94,146,231,102,156,146,87,84,105,36,1092,167,214,296,212,180,119,119,171,324,1803,11277,28736,10526,8907,8892,4128,2869,4115,1184,80641
50503,455,152,1410,856,666,474,292,434,53,4792,12,10,11,11,3,20,9,18,0,98,107,118,157,165,131,68,113,97,32,990,182,118,382,228,225,126,199,262,414,2130,7610,15657,13706,10099,8381,3832,3755,4485,1107,68636
50601,153,60,581,301,236,152,201,195,17,1893,4,0,0,3,9,3,7,17,3,44,28,60,80,75,47,32,69,46,14,453,73,58,144,77,96,63,111,86,162,865,3074,7398,5808,4354,3595,1544,2192,1894,488,30346
50602,191,78,694,332,167,132,122,156,15,1886,4,5,8,4,0,4,4,12,0,49,42,106,67,59,50,21,44,37,13,434,70,78,127,76,93,42,80,78,145,796,3778,10114,4522,3548,3404,1522,1505,1723,479,30604
50603,180,27,738,303,186,110,188,247,23,1999,4,0,12,12,6,7,7,7,6,47,44,80,71,78,66,33,72,64,25,523,49,81,134,87,65,51,79,120,172,835,3859,12081,5106,4583,4011,1877,2024,2568,587,36690
50604,211,58,825,403,271,232,246,308,25,2577,0,4,9,10,7,7,12,11,0,56,69,78,101,84,71,44,117,63,17,641,72,80,221,126,92,62,140,160,232,1192,3524,9107,7232,5439,4593,2127,2855,2914,638,38424
50605,98,38,302,179,191,98,71,95,10,1085,0,0,0,3,0,4,4,4,0,21,39,45,42,48,25,13,31,15,13,268,69,43,104,44,64,37,77,44,93,568,2522,5017,3869,2275,2452,866,1130,935,303,19375
50606,59,28,206,116,91,58,73,66,11,707,0,5,0,3,0,4,3,3,0,11,10,16,29,22,16,6,36,9,4,147,34,18,63,37,39,15,39,34,72,348,1148,1855,2530,1417,1301,479,824,623,210,10395
50607,66,13,199,90,83,41,18,43,4,562,0,0,0,3,0,0,0,0,0,11,40,77,19,28,37,11,5,13,10,241,33,52,37,39,28,13,5,25,63,296,2906,8196,1564,1529,1934,835,400,583,256,18207
50701,279,80,834,423,278,223,137,203,22,2483,3,12,4,7,0,3,9,3,0,54,68,102,121,90,65,27,58,49,24,603,98,93,249,123,99,62,92,118,194,1126,5317,12958,8207,5138,5093,2028,1970,2280,661,43650
50702,85,20,212,101,51,42,14,37,7,563,0,0,4,4,4,0,3,0,0,16,58,105,27,27,27,12,10,19,5,293,30,45,39,40,16,18,13,29,43,274,2761,7391,1737,1513,1348,605,292,536,196,16372
50703,74,29,321,173,114,92,119,103,7,1030,0,0,0,0,0,0,8,9,0,20,20,23,61,37,26,15,44,24,7,258,26,26,77,54,35,29,82,75,65,471,1196,2936,3034,2259,1654,778,1155,1098,210,14317
50704,179,46,409,231,199,123,45,76,11,1322,5,4,0,4,0,0,3,9,0,30,87,122,53,63,77,35,30,36,19,520,81,100,116,58,85,57,28,55,146,727,6746,16787,4366,3435,4798,1963,883,1268,544,40781
50705,291,88,876,564,293,265,219,249,36,2879,5,3,10,13,6,14,0,13,3,58,72,79,153,105,61,33,88,53,21,663,97,76,262,185,107,86,151,150,186,1302,4366,8197,9647,6746,4401,2102,2702,2720,670,41553
50901,134,29,311,165,109,97,62,125,12,1045,0,5,3,4,6,3,0,9,0,29,33,28,38,45,17,6,18,26,5,225,81,37,102,74,33,43,45,112,54,582,2862,4064,3033,2460,1671,935,883,1621,228,17763
50902,101,10,203,113,99,69,79,97,10,777,0,0,4,9,0,0,0,5,0,23,35,18,31,34,13,9,29,19,0,198,136,28,91,50,48,42,92,106,83,679,2707,2447,2622,1572,1438,586,1101,1221,235,13929
50903,39,8,63,38,27,20,24,32,6,255,0,0,0,0,0,0,0,3,0,5,11,3,10,10,6,0,9,3,0,50,49,8,25,31,12,13,27,43,22,221,1220,878,769,534,472,179,357,482,71,4964
51001,77,20,135,102,79,42,23,59,6,536,0,5,0,0,0,0,0,3,0,16,24,24,21,25,26,3,4,23,8,161,39,67,52,83,47,37,28,68,85,510,1423,2783,1288,1452,1044,378,362,678,201,9608
51002,40,15,113,41,55,25,75,63,3,435,0,0,0,0,0,0,5,4,0,11,13,19,34,13,17,9,31,11,5,150,24,25,101,27,17,17,69,54,64,389,770,1403,2772,614,713,222,1054,611,193,8352
51003,67,17,155,65,68,32,81,53,12,553,4,0,0,0,0,0,0,0,0,5,22,23,57,20,16,5,57,12,8,220,18,24,92,23,33,20,60,46,51,367,1154,1889,3186,860,1018,307,1072,663,211,10366
51101,33,5,83,51,26,24,24,41,7,297,0,0,0,0,0,0,0,0,0,0,4,6,4,9,4,0,6,7,0,34,26,6,33,19,16,18,33,41,21,208,810,847,861,411,488,192,404,373,101,4483
51102,31,3,67,31,28,17,3,29,8,219,0,0,0,0,0,0,0,0,0,4,3,5,11,9,4,0,0,11,0,44,14,17,17,14,11,11,15,21,21,146,421,542,531,387,307,160,134,320,69,2877
51103,77,25,195,89,92,51,127,60,5,716,0,0,0,3,0,5,3,0,0,19,15,12,43,23,5,3,43,12,7,170,29,22,99,47,32,16,92,53,68,460,1165,2355,3048,1070,1029,374,1381,635,178,11240
51104,98,21,261,163,104,82,76,113,7,912,0,3,4,0,0,3,0,5,0,19,34,24,28,33,13,10,9,20,11,181,62,40,93,47,35,29,55,85,67,516,2029,3435,3000,2041,1534,744,990,1187,236,15202
59797,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
59999,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
