SA3_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
50502,377,610,770,756,2453,3832,1502,3555,96,13963,1242,2965,3025,2420,6175,7930,2342,4108,183,30388,506,984,1051,770,2772,3468,1054,2579,228,13399,536,3196,2599,1311,1850,1421,448,840,210,12406,504,1875,1900,1179,3608,2586,629,868,94,13242,249,2870,1576,657,1167,1038,292,558,89,8497,273,566,581,369,931,914,344,1254,139,5360,301,2436,1602,708,1274,1066,267,822,138,8607,89,189,140,103,279,280,64,174,447,1766,4061,15693,13230,8282,20502,22530,6931,14756,1626,107619
50503,291,456,608,576,2269,2866,1123,2486,102,10773,779,1507,1809,1483,4032,4218,1135,2046,108,17114,745,1147,1193,1012,3705,4868,1427,3790,324,18198,685,3202,2812,1690,2314,1704,472,843,192,13927,603,1733,1981,1315,3925,2692,602,876,125,13856,309,3244,1735,753,1402,1047,311,460,116,9379,541,637,572,383,1355,1318,597,2570,167,8131,476,2843,1608,933,1719,1599,429,1222,214,11038,95,143,102,91,266,305,74,218,540,1825,4516,14915,12416,8248,20982,20608,6165,14509,1887,104251
50601,111,193,236,198,887,1208,424,972,29,4253,382,660,742,696,1932,2048,525,861,58,7912,306,484,483,372,1497,1905,715,1576,119,7445,277,1147,1110,755,984,664,193,386,85,5586,224,633,774,505,1665,1232,293,362,51,5741,141,1169,671,295,628,376,106,150,33,3575,247,306,294,222,942,864,434,1205,78,4604,197,1080,655,417,737,673,215,476,77,4526,37,81,51,26,140,121,38,91,213,809,1909,5762,5017,3494,9412,9096,2943,6075,746,44453
50602,127,221,246,223,946,1323,509,1122,36,4754,414,884,900,766,2465,3045,825,1373,74,10761,210,396,437,320,1151,1408,432,1219,100,5668,215,1146,1008,559,719,569,188,310,80,4794,204,534,587,393,1460,1190,304,380,36,5097,102,848,575,218,433,348,122,194,24,2867,161,244,280,156,499,511,212,835,56,2946,122,903,699,273,481,391,132,396,63,3450,17,80,42,29,121,109,39,80,184,701,1570,5251,4773,2934,8279,8893,2765,5912,660,41031
50603,111,251,337,250,960,1263,465,1061,31,4731,431,1234,1303,989,3073,3483,803,1299,87,12708,201,553,653,361,1481,1525,481,1128,110,6494,246,1774,1405,768,898,624,184,319,92,6307,206,803,820,472,1621,1204,235,350,62,5761,127,1425,795,293,518,378,81,174,41,3846,112,408,462,235,695,662,230,613,82,3500,144,1460,1014,414,692,519,158,398,102,4901,31,92,85,40,115,134,33,74,276,873,1614,8002,6865,3829,10052,9800,2671,5419,879,49120
50604,117,243,268,246,1041,1340,513,1039,41,4848,335,871,929,775,2549,2704,547,992,109,9817,331,652,700,522,2230,2451,834,1925,172,9809,329,1629,1461,954,1321,810,224,453,116,7286,283,873,950,640,2222,1558,364,474,64,7434,171,1712,925,366,782,524,152,212,74,4916,226,488,535,371,1256,1288,471,1423,158,6217,231,1722,1116,595,1281,943,276,637,151,6947,35,110,70,50,204,165,38,118,322,1116,2060,8304,6954,4513,12877,11786,3423,7278,1198,58391
50605,100,183,218,156,552,853,365,981,30,3443,258,622,632,484,1008,1263,402,738,31,5442,226,349,324,249,917,1241,453,1181,74,5011,169,790,578,389,516,353,123,188,31,3138,165,559,595,384,1089,846,229,291,25,4186,98,750,411,166,313,244,79,118,22,2198,149,219,158,106,442,483,220,848,58,2690,110,697,375,199,335,288,92,249,29,2378,15,50,31,19,66,86,23,57,143,491,1289,4218,3323,2156,5242,5655,1980,4650,457,28979
50606,64,93,92,92,259,439,161,487,20,1698,101,174,230,207,425,484,133,257,21,2030,159,176,182,141,581,754,334,872,39,3236,126,430,358,232,312,250,62,118,31,1922,104,314,341,175,561,449,102,149,15,2206,61,395,208,104,177,151,36,79,10,1217,129,114,85,86,278,316,175,658,26,1878,76,365,219,140,207,230,59,218,31,1558,22,21,21,14,50,50,18,49,94,341,847,2074,1740,1189,2852,3118,1080,2887,300,16089
50607,92,207,203,169,501,936,369,1023,18,3507,315,899,844,651,1662,2246,676,1300,35,8629,82,186,167,109,351,502,132,407,30,1962,101,805,483,236,297,218,61,117,29,2360,99,462,434,208,618,540,159,179,10,2709,65,593,276,117,200,194,62,125,10,1645,35,121,83,50,107,101,47,162,17,724,40,399,243,71,135,133,40,114,14,1187,10,32,36,16,55,55,12,36,97,355,842,3714,2778,1628,3928,4919,1556,3466,255,23087
50701,211,307,366,328,1345,1956,708,1749,29,7008,687,1307,1434,1176,2961,3534,966,1651,87,13798,414,675,603,515,1964,2791,940,2302,144,10342,335,1720,1425,852,1156,860,217,436,87,7091,331,1037,1166,747,2181,1670,376,567,48,8121,149,1664,864,389,684,552,153,252,52,4754,239,299,268,211,738,800,365,1121,72,4126,224,1444,804,424,764,706,262,607,87,5327,32,93,63,45,173,205,36,139,240,1029,2622,8546,7005,4684,11967,13089,4017,8828,855,61612
50702,114,175,235,204,469,829,352,888,18,3285,394,922,1001,738,1185,1691,566,1173,60,7733,94,221,191,154,349,506,193,440,15,2166,114,755,486,267,283,211,80,124,25,2345,75,328,311,174,428,351,86,159,12,1927,34,475,221,110,144,130,32,90,10,1253,53,74,53,24,86,110,44,150,4,600,67,361,171,84,115,132,33,147,22,1119,16,35,27,13,28,40,18,36,73,280,971,3351,2687,1766,3085,4003,1403,3203,241,20713
50703,51,74,98,77,394,471,155,351,20,1679,154,293,305,256,763,827,196,366,19,3181,147,231,231,167,788,999,352,926,73,3915,137,543,571,354,491,345,87,236,57,2829,113,276,328,199,799,558,137,178,28,2613,79,599,327,139,325,190,49,56,27,1791,123,158,161,130,452,472,228,704,51,2465,125,617,341,230,394,359,124,326,66,2575,12,23,25,13,56,54,16,41,99,340,951,2817,2378,1563,4463,4270,1335,3175,426,21377
50704,233,425,495,419,1196,2116,873,2294,53,8107,692,1990,2068,1410,3254,4417,1333,2361,92,17619,205,495,455,342,1004,1371,479,1114,60,5519,219,1787,1030,520,625,478,162,256,58,5135,253,1323,1169,590,1592,1321,324,422,32,7017,153,1784,663,282,457,451,125,288,35,4239,104,295,204,102,280,274,125,387,33,1798,114,1183,489,231,290,291,85,275,42,2998,36,106,64,42,115,120,22,68,171,747,2009,9384,6624,3945,8800,10838,3533,7469,571,53172
50705,225,256,285,272,1190,1607,638,1526,47,6050,471,867,912,758,1890,2156,624,1244,68,8990,687,658,639,594,2244,3049,1058,3142,169,12233,494,1946,1737,1063,1431,1282,321,751,139,9169,332,837,1040,690,1948,1485,351,564,50,7292,225,2006,1024,453,799,449,117,236,53,5361,489,366,319,194,939,935,501,2194,113,6046,380,1634,945,516,898,863,297,1085,133,6742,74,79,58,51,154,191,65,185,285,1145,3381,8652,6971,4586,11474,12010,3971,10923,1062,63025
50901,237,387,357,296,459,954,400,1712,94,4899,259,578,559,473,771,861,262,532,30,4310,202,321,317,277,758,996,383,718,61,4039,187,749,676,452,477,421,110,221,50,3348,157,553,466,308,602,402,89,143,36,2753,108,643,385,180,372,280,96,125,26,2210,141,177,161,100,207,322,184,631,42,1966,170,1059,517,310,569,602,272,371,98,3965,57,52,37,21,44,54,21,42,123,445,1517,4521,3476,2403,4267,4897,1821,4489,546,27938
50902,182,349,356,249,414,900,397,2325,84,5254,172,317,286,242,459,586,212,400,21,2695,200,299,248,195,569,811,329,1001,72,3725,160,477,418,275,322,379,100,158,32,2336,132,500,400,248,536,447,108,208,26,2602,69,437,261,144,216,198,63,128,28,1549,236,193,168,97,274,408,207,1110,58,2754,160,717,484,222,404,498,189,527,78,3270,45,39,25,21,43,49,20,74,140,457,1350,3338,2644,1697,3238,4277,1632,5924,541,24641
50903,119,163,177,124,149,409,194,1221,33,2583,61,127,109,80,138,200,73,159,4,946,51,93,101,70,145,261,99,287,27,1131,47,161,161,94,102,104,38,59,14,778,50,177,130,78,150,131,32,77,0,822,20,106,65,38,60,83,37,48,3,469,89,69,58,17,91,164,81,346,16,933,70,244,164,92,116,215,94,191,35,1217,12,10,10,6,4,26,9,22,51,154,523,1141,964,609,956,1600,657,2410,178,9034
51001,81,55,81,57,357,409,185,672,20,1922,192,201,220,247,737,687,219,528,40,3073,79,116,97,91,287,381,149,455,45,1690,141,238,227,224,516,437,115,291,39,2229,86,136,157,154,537,303,88,173,24,1653,26,203,93,66,160,130,42,79,9,812,52,51,41,32,78,103,38,330,16,741,47,222,139,112,209,219,78,305,43,1380,29,16,10,10,47,45,12,40,154,370,726,1242,1067,984,2933,2720,934,2872,390,13873
51002,47,38,31,36,130,185,103,459,18,1046,126,98,70,69,282,367,160,361,16,1551,210,111,113,56,236,380,355,1790,61,3304,60,148,108,87,154,178,43,143,22,952,58,92,101,57,279,228,101,248,11,1172,26,128,81,47,104,64,34,77,13,575,200,99,56,27,122,143,174,1519,53,2400,97,179,107,65,122,132,69,533,42,1338,23,19,8,12,17,30,22,92,78,302,851,914,681,456,1455,1703,1054,5221,304,12640
51003,53,54,50,46,167,303,163,626,12,1473,136,122,140,135,298,479,211,464,20,2009,309,163,118,82,272,635,398,1765,67,3807,89,255,157,131,217,199,76,142,21,1295,90,131,167,100,294,356,153,229,13,1537,33,208,99,70,112,92,36,59,12,720,221,96,76,37,127,234,243,1161,46,2233,66,245,134,94,127,205,109,541,28,1549,16,24,7,10,26,47,25,121,62,337,1018,1295,950,702,1635,2553,1420,5106,293,14957
51101,76,109,86,61,121,261,108,567,21,1391,53,74,100,88,149,208,66,173,0,908,56,67,54,63,175,284,115,315,18,1142,48,120,116,75,117,81,22,42,11,632,45,176,141,83,133,125,35,68,6,809,31,160,83,47,87,75,23,42,17,554,83,67,43,27,85,145,96,395,20,956,59,205,115,70,88,143,48,175,24,931,17,17,5,9,16,26,5,31,55,180,469,994,743,506,968,1335,515,1792,176,7499
51102,32,38,34,21,73,182,77,293,15,761,48,41,51,38,130,149,31,99,12,601,39,38,35,12,116,200,52,162,20,672,40,60,73,78,105,113,34,58,15,577,29,72,61,42,150,86,22,42,10,518,19,91,49,32,56,46,19,27,10,348,29,25,24,11,33,38,21,106,9,288,33,113,92,73,128,95,29,87,20,661,3,9,9,4,12,11,4,18,44,106,267,481,435,315,802,922,294,889,143,4545
51103,55,50,77,53,217,348,152,683,23,1662,116,170,166,123,433,602,325,655,32,2618,175,163,140,94,329,615,423,2015,72,4028,91,243,246,165,306,314,100,214,28,1703,82,185,212,159,473,445,128,256,8,1960,39,321,204,98,194,123,33,85,18,1115,228,146,118,55,191,338,326,1939,82,3425,67,326,253,141,201,208,83,427,37,1730,23,32,20,5,28,33,19,76,96,330,877,1640,1426,896,2379,3035,1586,6343,404,18575
51104,102,174,186,173,364,647,289,1353,33,3326,259,388,376,343,697,776,265,563,29,3700,205,261,248,199,579,884,357,1145,65,3940,153,582,529,390,470,427,124,250,54,2973,114,408,360,274,659,456,116,200,17,2612,72,609,325,182,314,213,76,125,19,1946,218,181,166,82,201,313,231,1027,40,2468,150,738,407,254,313,361,102,502,83,2919,26,34,30,16,64,51,20,66,123,421,1303,3379,2632,1914,3665,4122,1586,5237,470,24307
59797,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
59999,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
