SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
50705,474,1633,661,1354,121,4602,372,344,1866,1414,2280,204,6481,10,15,76,89,237,16,449,24,25,130,247,1203,70,1696,43,21,220,244,985,230,1740,1603,1318,7526,7453,22109,1535,41553
50901,273,869,297,526,42,2204,265,176,1067,626,957,109,3197,15,0,32,43,90,7,193,22,18,65,110,513,26,747,23,9,80,66,248,93,522,842,692,4081,2901,8482,759,17763
50902,189,638,185,402,43,1544,114,87,489,362,510,71,1636,11,0,38,20,52,10,131,10,6,30,55,494,26,618,14,4,45,53,301,126,545,493,455,2731,2115,7305,824,13929
50903,65,249,72,140,20,579,29,21,253,118,215,29,664,0,0,7,3,17,5,31,0,3,22,26,167,4,222,0,0,18,18,72,35,140,132,146,1187,761,2477,256,4964
51001,175,638,164,353,52,1530,221,159,706,322,454,85,1947,15,3,48,24,69,13,177,24,13,53,51,226,17,387,23,3,61,32,174,115,409,681,493,2635,1468,3810,522,9608
51002,63,297,65,143,20,648,62,43,263,125,195,24,711,3,4,8,19,20,0,52,11,3,32,36,183,15,276,5,4,37,15,137,53,252,340,203,1529,1177,4775,327,8352
51003,112,437,108,214,15,975,88,81,300,124,175,14,782,0,0,16,8,32,7,70,6,3,38,53,224,11,335,22,8,60,44,257,52,446,470,341,2038,1450,5698,371,10366
51101,64,218,83,122,14,525,29,22,166,89,175,20,501,0,0,8,3,13,5,28,0,5,5,29,196,3,240,0,0,27,17,86,31,167,131,140,920,669,2373,242,4483
51102,29,125,25,69,9,268,25,19,89,42,87,17,280,4,0,16,9,16,3,51,5,4,9,14,64,0,101,7,0,20,13,65,33,144,141,80,681,403,1402,166,2877
51103,123,457,109,259,36,1083,133,72,438,238,281,49,1209,0,0,16,24,40,9,86,6,4,33,59,434,14,541,14,5,33,41,220,79,388,621,327,2224,1442,6114,497,11240
51104,208,776,253,566,57,2018,184,152,886,501,756,83,2569,6,3,21,20,48,6,112,8,8,41,93,502,21,675,13,9,45,59,275,79,470,599,552,3029,2363,7987,664,15202
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
59999,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
