SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
50502,82764,89795,172558,39613,25119,64728,12665,24542,37208,2539,3149,5684,2691,2504,5192,57509,55303,112810,20609,30323,50937,4.7,4.5,4.6,69.5,61.6,65.4,66.2,58.8,62.4,6138,6174,12311,1908,3439,5347,17414,21376,38789,8081,9520,17605,14869,7903,22775,788,1210,1998,1011,1960,2967,16670,11071,27742,80644,86292,166940,13899,14826,28727,50387,54480,104869,38727,41623,80353
50503,78914,83602,162511,39939,22326,62270,10780,24796,35574,3192,3214,6406,3182,3155,6333,57094,53489,110581,17480,26684,44164,5.6,5.9,5.7,72.4,64,68,68.3,60.2,64.1,2299,2424,4729,820,1942,2766,7948,12591,20539,6750,9794,16541,21877,12045,33928,1207,1840,3043,1129,2087,3213,24211,15967,40178,84019,87565,171583,12199,13254,25449,55570,56861,112430,34412,37806,72217
50601,35273,36821,72096,17936,9587,27526,4421,9850,14275,1236,1421,2657,1483,1535,3013,25077,22395,47471,8064,12647,20715,5.9,6.9,6.4,71.1,60.8,65.8,66.9,56.6,61.7,1440,1587,3024,434,844,1274,3989,5961,9949,3086,3899,6994,9124,5615,14742,593,828,1416,450,778,1227,10163,7216,17385,37842,38914,76758,5499,5822,11317,23762,24007,47769,16342,17690,34031
50602,32341,31450,63786,15867,9977,25850,4881,8080,12958,1075,1152,2227,1211,1059,2274,23038,20274,43306,6826,9262,16092,5.3,5.2,5.2,71.2,64.5,67.9,67.5,61.1,64.3,2416,2427,4846,620,1041,1657,6184,7328,13514,3036,3283,6324,5986,3150,9139,446,512,954,388,564,955,6826,4224,11050,28317,27949,56268,6692,6560,13244,16102,15992,32094,17130,16740,33876
50603,40263,41222,81486,17804,10135,27938,7188,11503,18692,1222,1271,2492,1614,1467,3087,27830,24371,52205,10308,14935,25243,5.8,6,5.9,69.1,59.1,64.1,65.1,55.6,60.3,3808,3578,7380,727,1297,2017,8609,9795,18407,3853,4145,7995,6583,3424,10006,498,569,1065,441,745,1187,7522,4737,12257,39147,40099,79246,7502,7094,14591,23961,25231,49195,20240,19689,39934
50604,50056,50054,100107,23194,12170,35364,7050,12717,19770,1687,1573,3259,2182,2067,4249,34109,28530,62643,13124,19108,32233,6.4,7.2,6.8,68.1,57,62.6,63.8,52.9,58.3,2362,2413,4775,513,976,1488,6007,8175,14184,4215,4722,8938,11071,6116,17187,707,986,1691,614,1058,1669,12388,8156,20546,51400,51969,103374,7120,7168,14282,34658,34768,69430,20222,20836,41063
50605,23227,24174,47399,11316,6213,17530,3040,6657,9703,842,904,1744,743,652,1396,15948,14420,30369,6083,8751,14837,4.7,4.5,4.6,68.7,59.7,64.1,65.5,57,61.1,842,860,1700,340,676,1017,2657,3939,6602,2031,2705,4737,6582,3260,9836,326,494,821,324,596,920,7234,4347,11579,24331,24901,49232,3042,3312,6354,17717,18168,35884,8201,8715,16919
50606,11974,12239,24215,6489,3452,9945,1322,3683,5008,582,559,1141,301,358,656,8690,8053,16747,2597,3679,6273,3.4,4.5,3.9,72.6,65.8,69.2,70.1,62.9,66.5,220,263,483,102,282,386,837,1490,2323,866,1478,2344,3987,2223,6209,172,277,446,169,310,483,4321,2812,7134,12875,13271,26148,1821,2018,3843,8556,8492,17047,4979,5643,10620
50607,17954,19254,37202,8350,5515,13864,2936,5187,8124,497,606,1097,585,503,1091,12363,11808,24176,4627,6441,11067,4.7,4.3,4.5,68.9,61.3,65,65.6,58.7,62,2164,1935,4096,544,904,1446,4942,5488,10431,1585,1899,3484,2245,1283,3526,148,210,352,187,339,530,2579,1831,4411,16521,17270,33793,3567,3721,7290,9797,10558,20355,9359,9513,18872
50701,45466,47774,93241,24069,13829,37896,5941,14300,20235,1634,1839,3475,1587,1500,3087,33232,31467,64696,9844,14405,24254,4.8,4.8,4.8,73.1,65.9,69.4,69.6,62.7,66.1,2195,2381,4573,699,1523,2218,6409,9473,15886,3969,5185,9150,11924,6092,18016,631,876,1514,649,1048,1696,13206,8017,21218,45801,47391,93194,7726,8410,16132,29401,30293,59700,20788,22447,43237
50702,16298,17638,33939,7080,4620,11697,2610,5198,7804,547,666,1211,570,434,1008,10802,10912,21719,4375,5778,10150,5.3,4,4.6,66.3,61.9,64,62.8,59.4,61,1685,1801,3489,482,977,1462,3675,4912,8582,1512,1693,3201,2564,1236,3802,163,200,366,225,336,565,2959,1780,4737,14963,16000,30960,2889,3308,6195,9418,10068,19481,7503,8418,15925
50703,18092,17364,35457,8568,4675,13242,2082,4678,6760,681,698,1374,813,776,1593,12148,10821,22972,4884,5719,10599,6.7,7.2,6.9,67.1,62.3,64.8,62.6,57.9,60.3,511,627,1136,144,398,543,1737,2627,4364,1279,1755,3028,4665,2787,7451,352,474,825,216,411,622,5230,3671,8899,17734,18008,35737,2901,3029,5930,10978,10646,21624,8055,8859,16913
50704,41551,46216,87766,19234,11404,30635,6530,13430,19957,1180,1403,2583,1298,1196,2490,28237,27433,55666,11620,17226,28852,4.6,4.4,4.5,68,59.4,63.4,64.8,56.8,60.6,4085,3611,7702,1218,2115,3329,10261,12292,22551,3954,4939,8895,6815,3356,10172,409,598,1011,547,1071,1620,7769,5028,12798,42059,45645,87710,6576,7318,13891,28235,30790,59024,18126,19995,38124
50705,51935,54306,106248,25064,13320,38381,5544,14655,20206,2345,2098,4446,2227,2102,4327,35182,32178,67357,12823,19356,32177,6.3,6.5,6.4,67.7,59.2,63.4,63.4,55.4,59.3,917,1072,1989,476,1165,1640,3350,6293,9644,4324,5957,10281,16559,9656,26213,903,1361,2265,755,1312,2072,18216,12330,30547,52835,54948,107785,8961,9696,18656,34498,35381,69880,23169,25571,48737
50901,25111,25658,50772,10054,5415,15472,3423,6983,10403,1064,1002,2062,625,484,1107,15157,13887,29041,8071,10026,18101,4.1,3.5,3.8,60.4,54.1,57.2,57.9,52.2,55,528,643,1167,281,679,966,2021,3622,5637,1707,2762,4466,6380,3589,9970,456,662,1110,366,591,951,7198,4834,12037,23791,24385,48180,3976,4203,8179,16180,16226,32412,10146,11038,21185
50902,24135,22507,46644,9958,5121,15073,2331,5343,7674,1023,872,1893,669,491,1158,13979,11823,25800,7304,8436,15742,4.8,4.1,4.5,57.9,52.5,55.3,55.1,50.3,52.8,268,369,638,142,439,586,1179,2357,3536,1213,2040,3246,6058,2763,8819,293,540,830,324,477,795,6675,3773,10444,21549,20740,42282,3332,3322,6650,15711,14782,30493,8003,8155,16160
50903,8132,7726,15859,3775,1847,5623,793,1923,2709,364,338,707,206,146,354,5137,4257,9393,2115,2660,4776,4,3.5,3.8,63.2,55.1,59.2,60.6,53.2,57,70,95,168,42,145,193,457,993,1448,381,688,1069,1849,948,2796,104,179,282,95,161,251,2047,1286,3328,7564,7177,14744,1154,1188,2333,5606,5198,10800,2670,2718,5380
51001,13093,13786,26876,5056,4399,9454,1132,2168,3301,551,561,1118,521,384,905,7258,7516,14777,3725,4184,7918,7.1,5.1,6.1,55.5,54.5,55,51.5,51.7,51.6,262,489,755,155,391,540,972,1982,2954,684,1026,1715,2773,1320,4096,179,330,505,176,225,402,3129,1878,5004,11499,11783,23280,2688,3193,5887,7136,7185,14323,5909,6705,12618
51002,11720,8268,19985,6249,3182,9435,697,1352,2050,671,489,1157,254,220,473,7870,5238,13116,1073,1689,2757,3.2,4.2,3.6,67.2,63.4,65.6,65,60.7,63.2,192,182,378,82,147,227,631,1065,1693,639,701,1339,3534,1107,4643,174,246,417,116,140,254,3824,1489,5316,8444,6651,15099,2828,2501,5330,3834,2710,6539,6539,5682,12218
51003,12489,9732,22223,7070,3646,10714,845,2096,2939,755,547,1304,198,209,410,8871,6493,15363,1180,1743,2925,2.3,3.2,2.7,71,66.7,69.1,69.4,64.6,67.3,237,283,513,113,262,371,804,1467,2275,726,919,1645,4131,1495,5623,181,267,445,114,169,279,4421,1924,6347,9805,8183,17983,3149,2916,6063,4520,3441,7954,7373,6714,14084
51101,6518,6340,12856,3104,1506,4612,614,1633,2248,339,302,645,120,88,209,4186,3529,7712,1592,2217,3806,2.9,2.5,2.7,64.2,55.7,60,62.3,54.3,58.4,74,91,167,42,133,175,394,784,1180,353,555,907,1742,854,2600,89,166,257,55,127,188,1893,1149,3043,5917,5858,11772,1156,1141,2297,4008,3871,7885,2660,2732,5387
51102,4030,3763,7794,1695,1219,2904,404,825,1230,230,180,408,111,61,173,2439,2281,4719,972,970,1936,4.6,2.7,3.7,60.4,60.6,60.5,57.6,59,58.3,56,105,166,27,73,101,276,534,807,243,273,516,1086,443,1534,63,95,157,59,59,118,1211,598,1803,3269,3038,6309,813,844,1658,2099,1869,3966,1754,1781,3531
51103,16500,13779,30285,8552,4782,13337,1179,2788,3960,730,549,1277,450,323,775,10910,8442,19352,2903,3684,6587,4.1,3.8,4,66.1,61.2,63.9,63.4,58.9,61.3,360,343,698,111,256,363,1027,1503,2533,701,1003,1701,4549,1799,6350,248,346,588,167,252,419,4959,2396,7352,13589,12265,25858,3475,3088,6566,8542,7459,16003,7366,6817,14181
51104,22639,22030,44672,9345,5270,14614,2429,5494,7921,957,815,1772,722,533,1259,13454,12111,25570,6181,7596,13780,5.4,4.4,4.9,59.4,55,57.2,56.2,52.5,54.4,319,391,713,159,502,664,1203,2466,3670,1266,1988,3255,6170,3078,9247,383,625,1013,279,431,705,6831,4132,10969,20266,20177,40444,3542,3670,7210,13976,13601,27581,8542,8984,17534
59797,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
59999,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,0,26.5,28.8,0,21.1,23.5,0,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
