SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50501107614,14,4,8,18,22,8,8,0,0,80,318,234,103,214,306,250,121,26,4,1573
50501107615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107616,9,7,8,10,14,8,4,0,0,63,300,129,89,208,202,125,71,19,0,1140
50501107617,11,15,8,6,14,8,5,0,0,73,247,195,136,162,256,235,101,24,7,1360
50501107701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107702,8,5,0,4,4,4,3,3,0,26,53,35,39,42,35,50,31,19,3,318
50501107703,4,3,0,4,10,9,4,0,0,29,46,69,79,55,52,82,65,16,3,463
50501107704,9,9,11,7,9,7,5,3,0,51,34,90,107,65,61,44,49,29,7,490
50501107705,8,0,11,7,5,7,14,24,12,98,23,28,61,39,35,46,48,58,50,381
50501107706,5,0,4,9,0,0,3,0,0,22,95,43,52,73,62,64,60,25,7,471
50501107707,3,0,5,0,0,0,0,0,3,13,83,37,35,68,50,44,27,15,7,364
50501107708,4,3,5,3,6,7,3,6,0,33,90,44,61,61,56,86,92,39,7,536
50501107709,0,5,0,0,0,4,4,0,0,16,35,24,10,25,37,33,14,5,5,190
50501107710,9,12,10,9,9,4,0,0,0,43,63,56,71,57,34,64,22,6,3,377
50501107711,3,3,0,6,3,3,0,0,0,24,67,43,49,45,48,43,35,7,6,349
50501107712,3,6,0,0,0,5,7,3,8,42,74,52,51,50,49,61,41,19,34,438
50501107713,4,13,16,5,4,8,6,3,0,60,36,122,156,92,68,69,75,41,5,664
50501107714,0,11,7,3,15,10,3,4,0,54,32,107,90,63,79,109,84,31,4,588
50501107715,0,0,5,3,3,3,4,0,0,20,29,46,58,44,32,55,62,23,7,351
50501107716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107717,0,3,4,3,6,5,4,0,0,25,42,33,58,25,26,48,20,3,0,256
50501107718,0,4,3,6,3,0,4,0,0,22,50,33,31,31,39,42,27,13,3,271
50501107719,0,12,15,7,9,9,0,0,0,51,44,259,218,86,63,47,29,6,0,758
50501107720,6,0,5,0,11,7,0,0,0,30,95,68,67,63,62,44,32,17,0,445
50501107721,9,3,9,5,4,7,5,0,0,44,100,49,88,75,68,71,46,13,6,517
50501107722,3,0,0,0,0,3,3,0,0,22,69,46,31,58,57,72,54,16,4,408
50501107723,4,0,5,0,4,6,5,4,0,25,111,63,60,69,77,79,62,40,14,562
50501107724,4,10,3,3,4,8,0,0,3,33,96,58,49,74,62,54,40,23,15,476
50501107725,3,5,6,4,6,3,3,0,0,34,88,34,41,57,63,68,46,28,11,446
50501107726,6,0,0,4,4,3,4,8,7,31,57,16,48,52,31,47,37,33,32,348
50501107727,0,3,4,5,0,5,9,0,0,27,101,42,93,85,50,61,52,18,4,515
50501107728,3,0,0,5,0,0,0,0,0,12,74,36,28,49,48,42,42,21,7,349
50501107729,0,0,3,0,0,6,4,0,0,13,61,51,44,46,35,43,43,16,3,341
50501107730,6,4,0,0,6,0,3,0,4,20,54,35,39,35,48,51,38,10,4,319
50501107731,5,4,8,3,0,0,0,0,3,27,83,64,38,50,74,81,19,5,7,419
50501107732,0,0,4,0,4,4,3,0,0,17,33,48,66,56,45,70,81,55,81,537
50501107733,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
50501107734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107735,0,0,3,0,3,4,0,0,0,13,47,43,32,36,54,56,27,14,3,299
50501107736,10,6,3,0,4,4,0,0,0,28,108,94,62,70,105,90,44,14,3,596
50501107801,5,7,3,11,4,4,3,0,4,40,119,65,53,82,79,70,55,22,27,576
50501107802,3,0,0,4,3,0,7,0,0,16,83,32,27,54,45,49,44,3,6,347
50501107803,0,0,5,4,6,4,0,0,0,22,84,45,45,79,56,53,59,16,15,456
50501107804,0,0,3,3,5,6,0,0,0,17,72,42,40,58,48,71,62,32,11,436
50501107805,0,0,3,0,0,0,0,0,0,18,73,40,41,54,48,71,53,9,4,388
50501107806,3,9,3,0,0,0,0,0,0,21,58,38,24,42,48,43,67,19,10,355
50501107807,5,0,3,3,3,9,0,0,0,28,126,57,38,73,63,62,64,18,4,507
50501107808,0,6,0,5,0,7,3,0,0,24,109,76,35,69,61,108,69,15,10,550
50501107809,6,3,0,3,3,0,0,0,0,14,62,43,36,59,44,32,37,9,12,328
50501107810,0,0,0,0,0,0,0,0,0,4,38,30,13,35,34,18,34,9,5,215
50501107811,4,0,3,7,9,4,3,0,0,36,110,64,66,83,84,65,78,15,4,577
50501107812,3,3,0,9,5,4,0,0,0,23,105,58,41,95,83,66,91,23,15,577
50501107813,3,0,0,0,0,0,0,0,0,16,61,21,23,49,32,43,48,7,10,296
50501107814,0,0,0,4,0,0,0,0,0,8,75,21,28,56,23,42,30,11,0,278
50501107815,8,0,3,7,0,0,0,0,0,21,92,39,36,63,56,46,50,20,8,406
50501107816,4,0,0,0,0,5,5,6,0,37,65,26,28,36,35,63,59,61,41,404
50501107817,12,4,0,3,10,4,5,0,0,29,99,45,36,82,65,67,57,14,13,474
50501107818,0,0,6,0,9,0,6,0,0,29,76,52,45,52,57,61,74,20,12,443
50501107819,3,0,6,4,3,4,3,0,0,18,70,32,34,53,37,49,59,14,4,347
50501107820,4,6,0,10,4,0,5,0,0,19,59,35,21,48,34,24,44,20,5,289
50501107821,4,0,0,3,6,5,3,4,0,22,113,48,49,84,88,58,67,17,9,531
50501107822,0,0,3,0,0,4,0,0,0,12,45,29,29,32,30,55,39,8,3,273
50501107823,9,5,6,5,0,4,0,0,9,30,128,78,57,81,79,88,63,28,17,610
50501107824,7,4,0,0,4,0,6,0,0,21,73,58,33,40,61,77,56,9,4,410
50501107825,0,0,6,3,0,4,3,0,3,15,46,22,22,49,42,52,35,22,6,297
50501107826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
50501107827,0,3,5,0,4,0,0,0,0,19,65,38,21,58,48,33,44,22,0,337
50501107828,5,0,4,0,3,0,6,0,0,13,54,24,37,37,29,25,32,14,3,260
50501107829,0,7,0,4,3,4,3,0,0,22,81,48,43,63,52,60,71,12,4,440
50501107830,5,4,4,0,3,4,0,0,0,15,66,48,26,45,60,71,36,15,6,374
50501107831,0,0,5,0,4,6,0,0,8,23,43,17,24,34,33,28,32,34,63,300
50501107832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107833,5,0,7,7,5,4,0,24,33,74,49,42,31,35,57,81,102,129,118,635
50501107834,0,0,0,0,0,0,3,0,6,13,3,7,4,10,9,15,39,72,106,275
50501107835,0,5,0,5,3,0,0,0,0,15,41,28,21,24,27,23,30,12,0,197
50501107901,3,3,3,3,0,4,3,0,0,23,94,60,31,63,70,61,64,20,3,472
50501107902,11,4,0,3,9,9,6,0,0,40,90,56,33,57,79,96,55,20,5,491
50501107903,3,0,0,3,6,5,0,0,0,11,58,21,15,36,33,35,19,12,7,237
50501107904,10,5,0,10,6,0,5,6,12,44,89,42,33,68,65,51,86,91,62,591
50501107905,3,0,3,3,3,6,0,0,0,24,103,75,59,80,75,85,58,26,4,571
50501107906,7,5,0,4,7,5,3,3,0,32,96,92,50,53,115,95,89,26,9,619
50501107907,9,6,5,0,7,0,3,0,0,26,56,83,13,38,77,65,71,20,3,426
50501107908,3,8,4,4,3,10,5,3,0,35,83,75,38,51,79,103,79,38,9,555
50501107909,0,3,0,0,8,10,4,0,0,26,81,63,23,47,86,75,55,30,9,481
50501107910,0,9,0,6,8,3,0,0,0,27,117,56,26,100,81,62,40,15,3,507
50501107911,4,3,9,0,6,0,7,0,0,30,75,52,72,59,52,46,46,23,4,425
50501107912,3,3,6,6,3,7,5,0,0,32,82,55,28,67,66,73,61,25,10,468
50501107913,0,0,8,0,4,0,0,0,0,18,92,50,79,62,62,49,49,31,8,486
50501107914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107915,12,3,0,9,13,0,4,0,0,37,86,70,51,67,85,70,53,15,8,510
50501107916,3,4,0,0,0,3,3,0,0,23,50,47,24,28,39,53,48,15,7,321
50501107917,3,0,0,4,3,0,3,0,0,17,76,52,33,56,57,50,53,24,3,402
