SA2_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
506041134,12,550,843,1389,17,16,30,309,465,766,0,0,0,324,475,798,119,133,252,2701,3344,6043,17,19,36,2830,3499,6326,31,33,65,428,428,854,549,526,1077,1014,985,1997,385,426,819,9499,9669,19172,594,566,1157,10477,10664,21146
506041135,5,365,516,884,0,7,7,137,212,339,3,4,4,139,217,355,47,69,115,2096,2512,4608,12,7,22,2157,2585,4743,19,13,36,358,362,717,328,278,606,701,655,1359,210,192,401,10232,10571,20804,362,303,669,10808,11062,21869
506041136,4,355,468,824,7,18,27,182,258,441,0,5,5,193,284,470,58,103,154,1673,1994,3666,11,16,26,1742,2104,3844,12,8,19,333,353,679,415,334,752,762,697,1457,209,244,454,6929,6809,13735,445,365,816,7590,7410,15005
506041137,6,619,764,1386,3,16,21,278,348,626,3,0,3,285,366,649,72,116,184,2923,3429,6348,19,11,34,3014,3557,6568,14,11,22,391,384,776,443,388,827,845,781,1625,266,293,562,10978,11222,22200,480,418,905,11726,11935,23665
506051138,6,435,632,1068,5,14,22,209,257,470,0,0,0,214,270,481,67,92,158,2286,2729,5015,5,9,16,2354,2836,5187,24,21,41,310,303,613,462,360,821,798,681,1478,273,279,556,9040,9266,18303,488,380,866,9801,9925,19729
506051139,0,330,437,763,6,0,9,156,245,404,0,0,0,164,250,413,42,60,105,1570,1967,3538,3,3,14,1621,2034,3654,8,12,17,216,206,424,272,188,462,494,409,906,199,213,414,5534,5747,11281,292,211,502,6029,6169,12198
506051140,5,452,541,996,5,0,10,195,198,389,0,0,5,196,200,406,30,24,50,2103,2414,4520,5,11,19,2136,2452,4586,3,4,9,285,259,545,228,191,418,517,457,972,107,97,205,7084,7381,14462,252,219,469,7442,7693,15136
506051141,4,312,360,676,4,4,4,155,174,334,0,0,6,162,179,336,17,21,41,1610,1769,3376,5,3,14,1630,1799,3433,6,0,8,213,216,423,166,113,278,379,331,710,73,97,173,5573,5643,11218,187,122,308,5832,5866,11698
506061142,4,365,560,923,0,8,8,142,207,349,3,3,7,144,220,360,73,80,157,2089,2679,4767,11,17,28,2167,2783,4951,17,22,35,349,362,712,385,297,686,759,675,1431,305,330,635,9276,9821,19097,411,326,734,9986,10481,20471
506061143,0,171,194,359,0,0,0,74,69,149,0,0,0,77,69,149,23,31,55,887,944,1830,3,0,3,921,976,1889,7,0,9,133,121,254,174,99,273,310,224,534,70,74,150,3354,3376,6733,189,104,292,3610,3559,7165
506061144,0,138,159,298,0,0,0,61,63,123,0,3,6,64,70,125,11,9,21,600,639,1237,3,12,17,616,655,1272,57,0,58,354,60,420,147,113,258,556,172,733,100,37,134,2235,1927,4165,174,131,306,2506,2093,4607
506071145,8,301,472,774,7,7,10,145,187,332,0,5,5,148,200,346,24,34,60,1580,2143,3723,7,14,22,1609,2195,3804,4,5,8,184,261,441,295,295,588,482,560,1046,69,90,157,6435,7359,13797,309,319,620,6809,7765,14575
506071146,0,250,314,561,7,8,13,134,192,328,0,3,3,145,202,347,31,21,55,1358,1575,2934,0,5,6,1393,1604,2994,16,13,29,214,213,428,208,157,365,432,389,823,168,129,294,5512,5457,10969,217,175,386,5893,5763,11653
506071147,4,345,450,795,0,6,6,131,152,282,0,0,0,129,155,288,29,32,60,1977,2188,4163,8,13,20,2011,2231,4244,6,6,16,297,301,597,333,339,680,641,649,1290,99,92,194,8111,8197,16306,359,371,724,8571,8653,17226
507011148,7,323,493,811,5,4,9,133,156,288,0,0,3,141,157,301,25,38,66,2044,2584,4628,9,18,20,2079,2635,4716,14,12,28,348,355,704,291,203,496,659,574,1224,128,142,274,10224,10709,20934,312,228,538,10664,11086,21746
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,9,0,10,0,0,0,0,0,0,7,0,3,0,0,5,0,0,0,11,0,12,7,0,3,14,4,21
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,9,208,264,466,0,0,3,100,116,216,0,4,0,103,123,223,18,12,33,1095,1273,2373,9,7,20,1120,1302,2421,0,0,3,158,168,328,237,194,426,395,362,755,61,43,107,4530,4720,9252,250,209,459,4844,4979,9816
507011153,8,231,312,539,3,9,10,111,154,268,0,0,0,112,163,282,30,43,73,1106,1388,2493,7,17,21,1152,1448,2596,4,4,5,145,150,295,188,152,347,342,308,648,95,110,206,3851,4055,7905,205,179,386,4155,4347,8503
507011154,6,256,430,686,3,9,15,141,169,312,0,0,4,152,187,337,45,54,103,1378,1736,3115,15,11,20,1429,1801,3233,21,9,32,198,184,377,383,323,700,595,509,1108,169,157,329,4923,5332,10258,408,338,742,5500,5826,11327
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,4,6,0,0,3,4,4,10
