SA2_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
511021277,5,0,4,108,109,213,4,0,7,118,107,228
511031278,155,18,176,90,24,115,29,7,36,275,53,329
511031279,17,21,35,188,133,317,63,57,119,265,207,477
511031280,0,0,0,6,4,0,11,6,17,10,7,18
511031281,0,0,0,0,0,0,0,0,0,0,0,0
511031282,16,0,12,191,53,240,205,49,253,406,101,510
511031283,37,15,52,642,130,766,708,143,853,1390,281,1665
511031284,0,0,0,0,0,0,0,0,0,0,0,0
511041285,17,20,38,148,204,349,47,44,87,214,265,482
511041286,135,10,147,48,4,49,0,0,3,181,13,197
511041287,0,0,0,0,0,0,0,0,0,0,0,0
511041288,0,3,3,15,0,15,4,0,3,15,8,19
511041289,0,0,0,4,4,8,6,0,6,10,4,19
511041290,14,6,22,433,93,526,375,85,465,826,189,1011
511041291,4,0,4,95,29,124,105,45,146,198,71,275
511041292,0,0,3,19,19,42,19,8,29,39,32,68
597979799,0,0,0,0,0,0,0,0,0,0,0,0
599999499,0,0,0,0,0,0,0,0,0,0,0,0
