SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
50502,1817,1699,3520,5034,4723,9757,1864,1799,3666,929,955,1883,7837,7492,15326,3154,2964,6120,1650,1613,3263,1441,1439,2881,6256,6026,12278,456,417,877,528,797,1326,416,281,697,746,1246,1992,8,5,14,2162,2752,4904,2268,2884,5153,972,1277,2252,394,467,855,1003,1519,2524,11,15,28,4654,6160,10812,6832,8931,15762,309,378,683,551,857,1405,13,10,20,867,1247,2117,4158,4316,8480,190,256,449,27964,29970,57937
50503,2104,1947,4051,7561,6998,14560,1469,1525,2998,1638,1551,3188,10687,10105,20791,5163,4832,9996,1322,1365,2689,1701,1626,3328,8207,7837,16034,551,543,1095,287,616,908,708,406,1116,631,1227,1858,10,11,21,2184,2807,4989,1608,2311,3918,514,906,1417,358,465,820,635,1257,1890,7,9,14,3109,4954,8065,5301,7768,13071,342,351,686,518,935,1454,10,10,19,865,1294,2164,3487,3642,7123,174,191,372,30825,32793,63617
50601,1083,952,2033,3564,3398,6958,599,539,1135,803,809,1610,4979,4755,9728,2231,2110,4337,334,374,706,664,713,1376,3221,3202,6427,207,213,414,157,276,433,283,215,498,328,571,904,0,8,9,979,1283,2259,560,772,1332,233,405,642,103,165,265,291,539,832,3,7,5,1182,1898,3082,2164,3181,5346,160,184,341,230,421,651,8,8,10,390,613,1010,2161,2173,4341,75,114,184,14076,14986,29064
50602,574,533,1111,1462,1336,2804,615,618,1233,334,369,701,2416,2320,4735,836,810,1648,580,526,1103,286,276,558,1707,1609,3316,244,217,465,267,408,680,191,107,302,330,557,884,7,4,12,1046,1297,2346,872,1146,2015,591,684,1282,162,201,367,442,653,1098,10,5,9,2077,2692,4770,3133,3997,7130,189,178,367,244,306,553,12,9,19,444,490,934,2500,2203,4703,138,108,244,10907,11270,22176
50603,783,784,1564,3262,2984,6245,497,475,976,422,416,835,4184,3881,8065,2771,2587,5359,427,397,826,417,439,857,3617,3435,7046,431,274,706,382,466,850,261,132,385,374,595,967,4,8,9,1449,1474,2927,2081,2270,4347,953,947,1894,246,265,512,397,579,980,5,10,16,3677,4064,7746,5141,5555,10697,280,279,562,229,352,576,9,7,10,521,637,1159,1876,2090,3965,186,172,352,16310,16538,32848
50604,1161,1135,2294,4259,4053,8315,743,742,1481,1023,1008,2030,6032,5816,11848,2990,2731,5718,745,699,1452,816,862,1684,4562,4305,8868,388,355,741,314,565,880,414,241,654,434,832,1263,10,11,25,1558,2008,3564,1263,1595,2862,441,579,1025,207,264,479,384,585,969,3,13,12,2308,3038,5339,3877,5045,8920,264,259,524,365,501,871,9,8,16,632,773,1405,3816,2993,6806,142,178,320,20214,20244,40460
50605,494,478,970,1981,1838,3815,314,324,642,342,357,703,2647,2522,5170,1245,1268,2512,675,502,1175,306,330,638,2232,2101,4332,116,110,227,58,123,182,236,127,362,192,297,486,0,4,4,601,655,1261,409,542,945,123,194,315,73,122,199,171,365,537,0,0,0,776,1218,1992,1380,1873,3255,72,68,142,120,191,311,10,0,11,194,266,463,971,984,1956,39,21,58,7956,8242,16200
50606,375,353,731,1202,1136,2335,266,244,507,332,336,665,1801,1716,3517,784,748,1532,116,100,213,308,305,609,1212,1151,2356,54,58,113,22,75,97,135,80,211,103,211,316,4,0,3,321,418,738,113,229,337,44,112,159,38,50,84,73,160,236,0,0,0,268,550,815,590,967,1557,45,43,86,73,125,200,0,0,0,120,166,284,857,534,1387,17,26,46,4968,4913,9880
50607,352,316,669,824,710,1530,330,278,602,247,221,464,1397,1213,2605,384,342,729,632,329,963,567,512,1077,1589,1187,2776,121,79,196,72,106,179,88,57,146,124,217,335,3,0,0,397,460,860,973,1062,2036,359,360,719,139,145,287,296,387,679,3,7,10,1773,1959,3730,2172,2419,4592,67,51,113,98,145,244,0,3,3,161,198,364,839,988,1827,98,74,172,6614,6395,13008
50701,1183,1040,2223,3635,3547,7180,964,1017,1977,389,407,797,4988,4978,9969,1976,1801,3773,1283,1287,2569,585,541,1130,3845,3632,7480,221,217,439,185,301,479,396,214,608,389,684,1072,3,0,9,1192,1418,2604,985,1457,2448,381,660,1040,200,298,496,498,930,1431,6,4,6,2073,3353,5424,3266,4771,8039,122,112,237,287,452,742,10,5,6,422,570,988,1957,1972,3928,98,103,199,15762,17058,32827
50702,309,299,608,907,915,1824,152,189,346,126,120,247,1194,1226,2420,543,551,1101,356,383,739,209,216,430,1105,1155,2261,41,50,90,48,83,127,69,60,130,123,178,297,0,0,0,287,366,646,423,615,1044,198,328,529,96,102,200,239,433,668,3,0,11,967,1485,2454,1259,1847,3105,34,39,66,103,143,249,3,0,3,141,178,317,1307,1144,2449,135,96,228,5446,5942,11389
50703,487,507,996,1676,1458,3130,288,289,579,318,372,687,2280,2118,4395,888,797,1689,249,234,482,386,339,724,1525,1378,2904,107,108,215,92,168,259,154,114,269,157,314,471,0,4,9,519,718,1237,249,371,615,123,224,352,66,68,130,142,265,410,0,4,5,575,931,1505,1093,1651,2743,89,88,179,120,207,329,3,4,7,209,296,508,2203,943,3145,44,24,74,7852,6910,14764
50704,922,828,1747,3217,3108,6327,767,789,1557,302,324,625,4294,4223,8517,2175,2002,4185,1065,1221,2289,709,666,1374,3956,3893,7853,171,161,337,126,196,326,306,127,433,252,461,711,8,3,14,868,953,1821,1722,2168,3890,498,551,1051,308,273,575,521,770,1298,0,11,12,3053,3771,6824,3925,4733,8660,80,114,192,229,332,560,3,5,13,299,458,760,1627,1948,3570,154,148,297,15171,16233,31410
50705,1262,1135,2398,5028,4723,9755,826,802,1622,867,859,1723,6720,6397,13121,3395,3248,6646,751,843,1597,964,979,1944,5120,5077,10200,312,311,627,135,362,492,547,336,881,433,858,1287,10,8,11,1432,1872,3304,633,976,1603,218,519,744,120,233,349,382,784,1163,0,3,8,1360,2515,3869,2794,4387,7183,185,200,383,322,530,849,6,4,11,513,729,1244,3237,3093,6329,97,105,203,19749,20922,40672
50901,498,447,946,1739,1613,3348,206,199,412,425,460,886,2366,2276,4639,1450,1342,2789,141,169,311,440,506,945,2035,2015,4051,119,100,221,46,119,163,232,108,343,166,431,592,3,6,8,568,759,1327,58,112,173,54,117,171,25,64,89,108,354,468,0,3,0,249,651,903,818,1407,2229,50,58,107,127,183,310,5,0,9,179,243,420,2677,2138,4812,56,25,83,8624,8556,17181
50902,333,337,669,1509,1420,2926,414,421,833,146,126,275,2066,1974,4039,1072,1004,2077,270,269,535,149,192,347,1489,1469,2961,47,47,93,29,60,86,165,99,263,95,277,368,3,4,6,338,487,828,65,98,161,31,92,115,21,50,70,69,206,273,0,0,0,185,446,628,524,929,1454,44,51,99,63,110,171,7,4,5,117,167,279,3753,2706,6458,123,61,183,8403,7643,16046
50903,137,128,262,685,654,1339,70,82,150,17,21,36,775,756,1530,419,419,836,6,12,16,19,37,58,451,470,918,16,22,35,9,16,28,46,32,69,42,93,129,0,0,0,115,160,271,11,38,46,6,29,35,7,13,17,27,75,101,0,0,0,51,162,212,160,318,485,13,17,30,15,45,65,0,0,0,33,63,98,1072,951,2026,18,11,34,2647,2694,5341
51001,344,289,633,1457,1319,2779,471,431,910,125,129,256,2061,1884,3949,676,734,1410,191,203,390,66,90,152,930,1027,1953,19,21,46,27,33,60,55,52,112,122,234,360,3,4,3,223,348,570,32,100,135,46,118,162,14,49,64,126,300,430,0,0,3,214,569,785,442,921,1362,45,43,83,43,82,123,3,5,4,87,125,208,4048,3774,7825,174,205,374,8082,8222,16302
51002,195,192,389,950,972,1921,83,84,168,65,46,108,1104,1096,2199,596,524,1114,5,10,14,38,44,76,631,576,1205,40,18,56,42,44,82,80,51,138,207,209,419,4,0,5,372,329,701,11,22,38,38,59,97,18,19,30,170,154,319,0,0,0,230,256,490,600,586,1188,30,38,66,55,97,154,0,0,5,84,131,222,7601,2491,10091,132,55,189,10354,5132,15484
51003,326,309,634,1365,1230,2593,187,156,346,62,52,114,1610,1446,3055,664,609,1275,189,190,385,16,12,32,876,815,1688,26,24,44,37,36,68,94,60,152,206,244,447,6,0,6,364,360,727,18,35,52,32,57,88,11,26,29,149,217,364,0,0,0,209,337,540,567,695,1263,22,21,42,69,96,165,0,0,0,92,116,208,7257,2873,10128,170,81,251,10905,6327,17233
51101,124,132,260,554,558,1116,49,39,95,35,36,70,640,637,1277,405,382,786,17,13,26,87,94,181,508,488,993,38,38,79,6,11,10,48,41,87,35,109,149,0,3,3,130,198,332,4,35,36,17,23,38,6,8,19,28,61,88,0,0,0,51,135,183,179,337,513,10,8,19,23,39,59,0,0,0,28,45,79,1039,784,1823,27,12,43,2552,2436,4981
51102,107,111,218,361,334,699,111,102,208,60,47,95,531,481,1010,150,130,283,52,56,109,20,12,30,224,199,415,3,7,8,3,10,14,25,13,34,44,75,113,0,0,0,71,104,177,18,21,38,13,27,41,5,15,22,26,88,112,0,0,0,59,145,203,125,251,379,22,14,31,24,27,52,0,0,0,44,44,88,1134,989,2126,107,70,179,2266,2145,4416
51103,331,353,682,1303,1177,2483,257,255,507,98,108,202,1660,1537,3199,642,662,1299,330,302,628,78,68,145,1054,1029,2080,54,41,96,42,39,82,166,97,260,221,288,510,5,0,9,481,473,949,85,76,158,84,79,166,16,36,49,150,222,375,7,3,10,343,412,754,823,883,1712,50,29,74,76,118,197,3,4,4,131,149,280,6653,2774,9430,96,57,148,10747,6788,17535
51104,430,429,864,1391,1223,2615,516,552,1062,271,294,561,2182,2071,4252,961,825,1779,490,565,1059,215,240,456,1673,1627,3298,76,117,190,52,92,149,187,141,331,187,400,581,0,5,0,497,751,1251,37,115,150,34,127,165,25,54,77,129,322,455,4,0,6,235,623,856,738,1377,2106,46,47,95,95,149,246,8,0,12,146,200,347,5153,3346,8497,69,35,103,10396,9076,19473
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
