IARE_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
IARE503002,693,1630,20,22,38,1057,805,1866,12,16,38,63,40,102,547,395,944,628,451,1081,0,5,8,15,18,34,0,0,0,18,24,41,20,32,54,165,148,313,5,8,10,187,189,375,5,7,16,41,40,86,0,0,0,49,51,97,0,0,3,7,18,17,0,0,0,8,14,23,3,5,10,27,45,75,3,3,4,39,48,86,30,43,72,479,438,926,9,3,5,519,489,1004,24,31,58,185,154,336,4,3,6,210,193,403,54,52,103,478,360,831,3,5,14,531,412,945,12,19,33,119,75,185,0,0,0,132,92,221,14,6,23,70,37,103,5,4,10,88,46,136,3,0,0,8,3,8,0,0,0,12,0,12,164,189,360,1241,1114,2364,302,318,615,1711,1626,3340,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,89,62,149,38,34,78,136,108,246,175,205,375,1333,1176,2508,339,353,697,1846,1732,3579
IARE503003,5399,11905,25,16,40,7086,5896,12983,280,144,426,451,326,780,1376,1080,2465,2111,1557,3667,21,26,48,252,261,515,0,0,0,273,290,564,231,202,435,1702,1619,3318,5,6,11,1933,1832,3763,35,53,95,456,392,849,3,0,4,498,449,944,4,3,13,139,132,273,0,0,0,150,140,287,16,23,38,370,588,959,0,0,4,387,613,999,200,180,381,4457,4974,9425,14,20,34,4673,5163,9835,82,109,196,1387,1108,2495,12,0,19,1488,1225,2706,291,231,522,3014,2151,5165,20,13,33,3327,2394,5724,71,53,121,571,398,967,3,8,7,638,460,1099,59,32,89,238,234,472,0,3,4,300,267,562,22,8,34,47,34,76,0,3,3,72,46,113,802,782,1591,10070,9530,19595,786,685,1469,11656,10999,22655,0,0,0,0,0,0,0,0,0,0,0,0,122,114,241,1617,1439,3060,333,265,598,2077,1822,3899,935,898,1831,11689,10966,22655,1115,955,2068,13736,12821,26552
IARE503004,103,343,6,0,4,397,292,687,115,124,238,10,0,7,391,130,519,511,253,766,3,10,12,0,0,4,0,0,0,8,8,12,95,84,179,7,10,13,0,0,0,100,96,193,31,24,52,0,0,0,0,0,0,31,24,52,0,0,5,4,0,5,0,0,0,5,0,9,5,0,5,18,9,26,0,0,0,21,9,31,63,67,129,211,104,313,0,0,0,273,173,447,71,66,136,63,27,87,0,0,0,134,92,225,117,132,248,86,36,122,0,0,0,206,170,370,31,35,74,17,0,20,0,0,0,52,40,91,36,56,90,11,0,9,0,0,0,48,55,100,9,14,20,5,0,5,0,0,0,12,14,24,444,481,922,87,80,163,40,36,81,569,600,1171,0,0,0,0,0,0,0,0,0,0,0,0,18,10,29,15,18,32,0,9,10,34,37,68,454,491,950,101,94,194,46,48,90,598,637,1238
IARE503005,244,685,0,0,3,509,304,813,6,6,10,38,12,50,485,153,633,526,168,689,3,5,4,6,9,21,0,0,0,11,15,27,29,21,48,57,46,98,0,0,0,85,66,151,0,7,4,10,7,17,0,0,0,4,8,21,6,0,0,4,9,14,0,0,0,7,10,20,3,0,3,21,16,38,0,0,0,25,16,39,19,19,39,335,193,527,0,0,0,355,214,569,15,15,31,86,41,133,0,0,0,104,64,161,32,33,61,179,86,263,0,0,0,208,120,324,6,4,15,42,12,52,5,0,5,47,24,73,6,11,19,14,14,21,0,0,0,23,27,45,9,7,11,5,0,9,0,0,0,7,4,17,80,86,168,270,272,544,61,53,109,410,416,823,6,3,5,0,0,0,0,0,0,6,3,5,19,27,40,40,44,88,15,17,36,73,89,160,94,117,213,315,316,631,70,74,143,485,507,985
IARE503006,12,37,0,0,0,95,87,184,3,8,16,0,5,6,9,12,16,14,19,37,5,4,12,0,0,0,0,0,0,5,4,12,35,21,59,0,0,0,0,0,0,37,23,62,6,10,9,0,0,0,0,0,0,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,4,5,3,19,24,39,21,18,39,0,0,0,36,42,76,27,28,45,0,3,3,0,0,0,27,29,53,51,58,112,4,0,8,0,0,0,56,66,117,28,28,60,0,0,0,0,0,0,31,28,62,26,27,56,0,0,0,0,0,0,29,27,56,0,9,12,0,0,0,0,0,0,0,9,12,186,205,393,19,19,39,3,3,13,214,233,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,3,10,186,208,397,27,20,50,3,6,14,220,237,454
IARE503007,29,116,0,0,0,125,71,196,11,15,25,7,0,11,117,39,161,140,61,199,0,0,0,0,0,0,0,0,0,0,0,0,15,17,30,9,4,17,0,0,0,20,20,43,0,0,9,0,0,0,0,0,0,3,0,10,0,0,0,0,0,8,0,0,0,0,5,10,0,4,4,5,5,6,0,0,0,5,4,5,12,9,21,77,34,106,0,0,0,90,42,128,3,0,0,20,3,23,0,0,0,19,4,29,20,27,53,36,7,42,0,0,0,61,41,99,0,4,3,13,0,12,0,0,0,16,3,18,5,10,15,9,0,10,0,0,0,8,12,23,0,0,0,0,0,0,0,0,0,0,0,0,51,63,117,43,36,78,21,22,41,119,116,233,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,7,4,5,4,0,4,14,7,19,60,68,127,51,40,87,26,22,49,134,125,259
IARE504001,44,96,3,0,3,103,91,190,25,25,54,14,6,15,28,29,61,70,62,131,4,9,12,0,0,0,0,0,0,6,9,12,42,49,91,0,0,3,0,0,0,47,53,98,18,10,30,0,0,0,0,0,0,18,10,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,0,6,7,37,36,70,53,55,112,0,0,0,87,97,185,34,36,66,8,6,15,0,0,0,40,39,86,63,75,142,16,11,25,0,0,0,84,85,164,21,16,33,6,0,6,0,0,0,27,15,41,29,22,53,0,0,0,0,0,0,33,22,58,17,9,25,0,0,0,0,0,0,14,9,23,261,259,515,21,13,32,19,14,34,296,282,580,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27,28,22,44,0,0,0,46,36,76,276,268,545,45,33,81,20,17,32,340,318,657
IARE504002,17,52,0,0,0,85,64,148,45,48,93,8,8,14,37,26,68,84,85,173,11,9,17,0,0,0,0,0,0,11,7,18,84,70,152,3,0,5,0,0,0,87,72,157,11,8,20,0,0,0,0,0,0,11,10,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,3,0,0,0,4,3,6,46,65,105,31,51,89,0,0,0,78,117,187,54,73,130,3,5,15,0,0,0,62,76,140,95,112,206,20,4,22,0,0,0,111,118,230,36,23,61,0,0,0,0,0,0,42,25,68,50,40,92,0,0,0,0,0,0,53,40,91,7,9,20,0,0,0,0,0,0,7,9,20,427,424,849,22,28,50,12,17,25,460,467,927,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,17,15,29,4,4,9,19,24,42,429,424,851,33,45,76,13,17,37,479,489,964
IARE504003,58,131,0,3,5,217,200,415,58,71,134,0,3,4,86,67,159,149,145,294,7,11,19,0,0,0,0,0,0,7,11,20,99,94,190,3,7,8,0,3,9,108,101,207,20,25,46,0,0,0,0,0,0,20,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,14,16,0,0,5,6,11,21,61,91,152,83,92,174,7,3,13,145,188,332,41,56,97,20,11,32,0,4,4,62,67,132,114,140,253,28,17,49,3,3,10,145,165,313,28,50,76,0,0,0,0,0,0,28,54,81,53,51,106,5,0,3,0,0,0,54,54,107,15,8,24,0,0,0,0,0,3,12,9,23,420,512,933,81,76,158,43,53,96,548,643,1187,3,4,4,9,0,5,3,3,3,12,10,14,61,59,123,22,28,50,14,12,19,93,103,188,482,581,1061,109,107,216,63,65,123,646,750,1399
IARE504004,4,17,0,0,0,35,32,61,37,34,64,3,0,3,6,12,21,48,38,89,6,0,0,0,0,0,0,0,0,6,0,0,33,22,49,4,0,4,0,0,0,37,22,58,21,11,33,0,0,0,0,0,0,21,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,39,12,7,25,0,0,0,33,35,61,19,14,30,7,0,5,0,0,0,18,16,37,33,45,80,9,3,14,0,0,6,44,50,95,14,7,21,4,0,0,0,0,0,13,12,25,12,3,20,0,0,0,0,0,0,12,3,19,6,3,11,0,0,0,0,0,0,6,3,11,167,149,313,6,8,16,11,12,17,186,165,350,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,9,7,13,0,0,0,15,14,25,169,153,324,17,14,29,11,12,17,200,174,378
IARE504005,3,10,0,0,0,4,8,15,6,4,7,3,0,3,13,14,22,12,15,31,4,0,9,0,0,0,0,0,0,4,0,9,20,31,46,0,0,0,0,0,0,20,31,46,3,5,9,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,4,15,20,36,10,9,18,0,0,0,25,31,53,26,40,62,5,0,5,0,0,0,33,41,72,51,48,98,0,0,4,0,0,0,50,48,102,10,19,31,0,0,0,0,0,0,13,19,34,10,4,18,0,0,0,0,0,0,10,4,18,0,0,0,0,0,0,0,0,0,0,0,0,154,166,321,5,9,19,6,8,14,169,188,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,166,321,5,9,19,6,8,14,169,188,353
IARE504006,722,1535,14,16,25,1099,1012,2108,80,71,159,39,30,72,355,373,726,476,478,955,20,17,35,25,15,41,0,0,0,39,39,76,126,142,268,161,136,298,3,4,3,294,282,575,25,21,48,22,29,54,0,0,0,50,50,97,0,0,3,11,21,27,0,0,0,8,17,28,7,9,14,45,70,113,0,0,0,52,81,132,88,100,189,560,779,1343,7,7,9,658,887,1540,60,82,133,110,98,205,0,0,0,164,174,342,110,134,240,257,172,429,3,4,7,370,306,672,31,43,80,55,37,93,0,0,0,94,81,175,43,48,89,33,12,41,0,0,0,75,58,131,4,11,16,9,0,8,0,0,0,17,11,29,415,485,905,768,762,1535,181,223,403,1366,1477,2845,0,0,0,0,0,3,0,0,0,0,0,3,114,158,277,343,368,713,122,117,236,576,645,1220,530,652,1182,1112,1132,2249,298,338,638,1942,2122,4066
IARE504007,202,435,6,4,12,270,229,503,18,16,32,11,10,24,131,110,246,166,138,302,0,0,0,4,6,9,0,0,0,5,3,12,12,16,38,38,53,85,0,0,3,52,74,124,0,3,7,13,10,20,0,0,0,14,16,22,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,17,28,0,0,0,5,17,28,16,10,31,170,189,361,3,5,4,194,204,394,12,9,20,43,29,66,0,6,3,51,42,94,20,29,53,89,54,145,0,0,0,111,85,198,6,9,20,15,10,28,0,0,0,25,19,44,12,9,18,10,0,10,0,0,0,20,9,36,0,3,3,0,0,6,0,0,0,0,4,7,101,98,203,226,253,485,87,78,166,417,436,851,0,0,0,9,4,16,0,0,3,12,3,19,3,4,8,34,27,67,3,6,12,45,35,84,105,103,211,275,288,561,95,89,181,476,477,952
IARE504008,48,125,0,0,0,155,154,310,20,15,33,3,0,3,53,47,104,81,59,135,0,6,8,0,0,0,0,0,0,3,6,9,48,48,89,5,6,12,0,0,0,53,48,101,7,5,9,0,0,0,0,0,0,7,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,5,0,0,0,3,3,9,32,42,74,51,48,95,0,0,0,74,91,166,13,34,49,10,5,16,0,4,4,26,39,68,48,50,91,30,10,44,0,0,0,73,63,134,20,14,32,6,5,11,0,0,0,25,18,43,21,10,31,3,3,11,0,0,0,23,17,37,0,0,3,0,0,0,0,0,0,0,0,3,191,220,403,93,65,159,25,30,51,303,314,619,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,3,3,4,5,0,9,12,14,27,194,225,415,91,74,165,31,32,59,314,327,643
IARE505001,17728,36639,66,52,121,19906,18705,38611,60,51,108,1241,1107,2353,2204,1797,3997,3506,2954,6461,56,45,100,1010,911,1918,6,0,6,1067,950,2021,325,358,686,6642,6280,12923,11,8,24,6972,6652,13626,82,74,150,1845,1961,3808,8,0,10,1930,2039,3970,18,23,33,723,876,1600,0,0,0,738,896,1638,28,56,80,1177,2130,3306,8,5,6,1215,2186,3402,256,318,572,17885,20276,38155,39,54,90,18171,20648,38823,124,140,265,3631,3641,7267,21,22,43,3772,3801,7575,268,265,528,7829,7319,15151,40,37,76,8133,7624,15761,91,75,168,1656,1525,3188,13,15,31,1764,1618,3383,43,33,76,792,831,1623,3,13,14,840,878,1716,13,5,14,213,248,459,0,7,6,222,250,477,1155,1196,2352,38631,39867,78498,1430,1433,2864,41213,42495,83705,0,0,0,0,0,0,0,0,0,0,0,0,111,140,249,2443,2938,5382,267,271,534,2823,3353,6171,1266,1333,2603,41076,42804,83881,1691,1700,3396,44035,45847,89881
IARE505002,3476,7248,9,3,19,3908,3608,7513,10,8,13,223,180,397,415,315,730,649,503,1147,5,4,10,142,128,268,0,0,0,148,129,275,52,32,80,831,764,1596,3,0,6,880,805,1681,17,15,25,269,265,535,0,0,0,289,278,566,10,4,12,142,148,292,0,0,0,148,150,304,6,6,9,240,394,634,0,4,4,242,401,646,49,57,102,3461,4026,7484,9,7,16,3516,4099,7611,17,15,31,564,515,1080,0,3,9,581,538,1118,45,42,79,1218,1211,2432,9,7,19,1270,1262,2538,15,10,25,264,232,491,0,0,0,274,238,516,3,7,9,183,249,429,4,0,4,189,257,446,0,5,3,36,44,81,0,0,0,37,46,87,149,136,277,5803,6072,11871,238,221,452,6183,6425,12607,0,0,0,0,0,0,0,0,0,0,0,0,49,48,98,984,1209,2193,77,78,158,1109,1333,2449,192,184,371,6786,7278,14066,319,296,612,7295,7755,15055
IARE505003,12585,26208,46,23,65,13986,12902,26892,13,12,29,799,692,1493,1371,1090,2462,2179,1802,3978,10,11,20,592,519,1116,0,0,0,604,534,1137,106,79,180,3248,2979,6228,7,9,14,3359,3065,6422,31,34,60,1215,1197,2413,4,0,6,1245,1234,2477,9,12,21,827,839,1670,0,0,0,841,846,1689,21,26,49,1361,1902,3257,9,4,8,1384,1934,3315,154,170,327,17192,18031,35222,30,37,68,17374,18238,35610,47,60,105,2224,2007,4234,9,6,17,2274,2073,4346,88,98,187,4227,4324,8550,22,18,38,4339,4435,8774,20,30,48,976,962,1934,7,5,15,999,993,1990,26,27,56,862,1157,2020,4,0,4,890,1187,2084,5,5,6,222,324,547,0,4,4,229,330,560,324,334,663,23387,23775,47160,609,520,1136,24323,24635,48958,0,0,0,0,0,0,0,0,0,0,0,0,149,163,311,6492,6995,13482,345,342,689,6981,7501,14481,468,497,969,29870,30771,60641,956,866,1822,31303,32134,63433
IARE505004,6966,15016,24,22,51,8398,7295,15689,37,25,60,643,617,1260,1316,1046,2359,1992,1682,3677,7,15,25,273,260,535,0,0,0,286,273,557,87,98,186,1899,1804,3697,9,8,12,1990,1908,3896,35,35,66,649,623,1277,3,6,11,693,662,1355,14,14,25,571,567,1138,0,0,3,578,578,1163,13,27,40,963,1357,2321,3,4,7,981,1384,2363,144,173,318,10345,10463,20809,30,22,51,10521,10658,21181,65,73,139,1494,1309,2812,7,10,12,1572,1391,2965,104,120,227,2871,2639,5504,13,11,26,2995,2763,5759,33,30,67,635,565,1201,5,14,22,670,611,1283,21,20,45,481,588,1068,0,0,0,502,608,1113,9,6,9,182,176,364,0,0,0,190,185,377,381,408,789,13111,12992,26108,659,597,1253,14154,13998,28150,0,0,0,0,0,0,0,0,0,0,0,0,109,115,221,5230,5202,10431,308,321,632,5644,5641,11288,489,527,1012,18340,18198,36535,969,918,1887,19798,19635,39432
IARE505005,14825,31362,37,30,69,16907,15203,32116,30,40,73,1211,1044,2256,1697,1321,3027,2947,2404,5352,21,14,34,750,688,1437,0,3,4,765,716,1478,119,135,258,5857,5437,11293,17,16,28,5992,5589,11585,44,52,94,2437,2516,4952,4,0,14,2489,2562,5054,12,20,33,2241,2002,4239,7,0,5,2253,2024,4278,15,34,55,2364,2984,5340,0,3,4,2381,3020,5402,149,163,314,26141,26270,52413,54,57,107,26341,26489,52837,57,65,126,2693,2635,5329,11,9,16,2758,2705,5467,125,131,257,4920,5196,10112,31,16,45,5069,5343,10420,29,45,72,1267,1272,2535,4,9,10,1305,1322,2622,16,11,30,923,1107,2026,8,12,23,944,1132,2075,8,11,15,287,426,713,0,0,0,295,433,730,442,495,943,36298,36536,72830,874,766,1642,37616,37800,75417,0,0,0,0,0,0,0,0,0,0,0,0,94,126,221,7276,7434,14712,403,448,850,7772,8009,15782,544,618,1164,43569,43971,87543,1272,1215,2487,45387,45809,91194
IARE505006,23230,48296,75,70,140,25910,24033,49940,31,17,54,1411,1288,2699,2638,1867,4506,4079,3176,7255,31,37,59,1187,1059,2244,4,0,0,1221,1094,2311,270,221,489,6899,6722,13618,12,15,31,7180,6958,14142,58,65,122,2372,2412,4788,4,12,14,2440,2489,4924,16,30,45,1215,1506,2715,6,3,8,1231,1540,2773,30,51,80,1678,2902,4578,0,6,3,1705,2955,4660,259,336,600,25688,28955,54643,66,55,117,26012,29348,55356,109,112,222,4514,4112,8625,17,11,25,4635,4235,8874,199,220,422,8767,8174,16943,38,36,70,9010,8431,17438,60,54,115,1828,1743,3574,7,19,27,1898,1814,3714,28,26,55,1285,1446,2731,7,12,22,1323,1479,2809,9,5,12,248,321,571,0,0,3,259,331,588,888,894,1784,44861,46431,91291,1083,1083,2163,46830,48411,95243,0,0,0,0,7,8,8,5,10,11,9,18,149,152,305,6130,7224,13354,444,445,896,6732,7829,14560,1034,1053,2087,51000,53661,104661,1535,1533,3067,53566,56242,109811
IARE505007,10428,20941,34,20,50,10718,10669,21387,25,10,33,562,545,1104,1073,865,1936,1659,1415,3075,9,5,13,308,285,588,0,0,0,314,288,602,59,65,122,1759,1791,3551,3,0,4,1824,1857,3674,25,23,44,734,809,1539,4,0,7,755,836,1595,3,15,20,432,587,1018,3,0,3,441,602,1040,12,11,19,655,1129,1782,3,0,7,671,1140,1812,84,108,186,10438,11925,22359,35,37,66,10552,12064,22617,26,36,61,1163,1010,2173,8,8,15,1198,1057,2254,56,49,105,2109,2079,4191,10,8,19,2175,2140,4313,14,28,39,471,466,939,3,4,7,492,496,985,12,13,21,412,518,927,3,8,7,425,530,955,0,0,5,74,99,174,0,0,0,78,102,179,154,186,334,11487,12478,23966,330,343,670,11969,13005,24972,0,0,0,0,0,0,0,0,0,0,0,0,115,110,224,4821,5423,10245,343,327,673,5278,5866,11142,266,290,556,16310,17902,34209,671,671,1343,17247,18869,36109
IARE505008,18537,39383,83,62,146,21796,19485,41279,403,164,566,2386,1621,4004,2583,2169,4754,5371,3955,9324,40,43,84,1101,1110,2212,6,0,6,1145,1154,2300,339,334,671,8153,7759,15912,29,19,49,8518,8114,16632,64,87,155,2953,2869,5819,5,9,9,3022,2959,5986,20,15,38,1596,1732,3321,4,3,13,1623,1749,3369,24,47,71,1936,3058,4997,9,8,23,1969,3118,5087,308,378,687,26289,27658,53948,77,69,147,26677,28105,54784,134,170,307,4517,4308,8828,22,21,40,4675,4496,9169,532,407,943,10149,9383,19529,44,37,80,10720,9829,20549,92,85,181,2225,2074,4302,13,9,22,2334,2169,4501,62,52,113,1602,1726,3322,7,15,23,1667,1791,3462,35,8,39,764,903,1667,8,0,4,799,916,1712,1230,1373,2606,52020,52296,104312,1836,1799,3635,55085,55464,110550,0,0,0,4,3,6,0,0,0,4,4,8,102,106,204,4029,4578,8609,265,284,552,4400,4961,9364,1329,1477,2809,56050,56878,112926,2108,2079,4190,59490,60428,119920
