IARE_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE505019,46,736,777,18,340,354,124,996,1117,137,1670,1810,159,3781,3937,170,3797,3965,171,3767,3932,192,5136,5331,234,6527,6755,162,5172,5340,109,4070,4178,108,3254,3362,231,6007,6240,208,4336,4549,48,700,744,2117,50289,52391
IARE505020,14,574,595,15,257,269,48,815,864,69,1355,1429,84,3089,3172,75,3188,3261,77,3037,3112,92,4096,4190,97,5100,5198,75,4137,4212,64,3404,3464,43,2686,2732,81,4768,4850,84,3313,3396,14,596,613,932,40415,41357
IARE505021,14,401,419,5,166,170,59,546,606,51,978,1028,67,2155,2213,78,2294,2368,66,2077,2141,72,2895,2958,81,3429,3511,66,2840,2910,41,2420,2471,38,1873,1912,61,3648,3708,98,2975,3074,9,396,403,806,29093,29892
IARE506001,3,11,14,4,4,9,46,11,61,70,12,81,37,16,54,10,18,32,13,33,47,17,62,71,20,94,116,21,129,146,25,104,131,26,146,174,44,494,548,32,104,136,9,24,36,377,1262,1656
IARE506002,8,24,32,4,10,5,19,20,41,26,33,59,9,86,94,13,86,99,14,83,98,10,132,140,29,221,241,22,217,244,24,204,228,11,239,251,76,688,766,28,281,314,9,55,63,302,2379,2675
IARE506003,12,20,28,8,5,12,16,23,41,22,20,41,22,49,64,33,62,95,26,89,113,29,182,213,44,329,377,37,416,448,54,420,469,52,486,543,150,1941,2089,65,407,469,20,41,57,590,4490,5059
IARE506004,25,32,57,9,13,19,59,18,79,83,29,111,60,46,106,47,53,109,36,75,113,57,153,212,79,275,354,77,336,415,57,373,436,65,356,425,224,1671,1895,120,315,429,51,66,117,1049,3811,4877
IARE506005,4,14,15,7,4,15,24,9,36,30,5,43,32,12,44,22,15,37,28,20,48,16,39,55,16,61,80,17,64,75,11,87,103,17,107,126,47,403,456,6,90,106,6,12,18,283,942,1257
IARE507001,10,221,231,3,141,145,43,318,366,62,617,682,65,1663,1728,54,1556,1607,43,1269,1317,58,1555,1618,50,1656,1706,31,1101,1135,31,913,942,28,669,701,35,1234,1269,54,940,990,11,282,292,578,14135,14729
IARE507002,12,154,166,4,65,68,26,218,246,27,396,427,43,1173,1219,54,863,921,39,643,681,25,733,761,41,800,841,30,574,599,24,507,523,6,390,394,28,846,875,30,768,803,25,209,228,414,8339,8752
IARE507003,13,193,203,3,89,94,38,327,369,43,651,695,67,1581,1654,66,1270,1332,53,1007,1059,52,1305,1360,64,1335,1397,34,1063,1102,28,842,870,26,651,676,33,1414,1449,43,825,870,11,233,241,574,12786,13371
IARE507004,3,209,211,6,104,113,21,286,314,15,582,596,33,1486,1517,36,1393,1436,32,1289,1320,34,1468,1501,38,1607,1646,19,1263,1287,25,941,967,16,751,768,22,1543,1569,45,1396,1438,10,276,282,355,14594,14965
IARE507005,4,47,57,0,30,30,11,66,75,7,115,120,20,344,365,21,220,239,14,187,203,15,260,280,12,276,291,9,230,240,10,158,171,0,132,138,12,315,320,12,232,249,12,63,71,159,2675,2849
IARE507006,3,135,137,0,59,55,17,200,222,25,361,386,22,920,947,35,771,812,34,725,765,32,916,949,35,1112,1149,22,839,862,24,750,776,16,599,606,41,1234,1274,44,934,978,5,150,154,355,9705,10072
IARE507007,4,54,54,3,20,25,12,61,71,18,101,122,27,293,321,15,244,259,15,203,215,7,251,259,15,294,304,8,212,218,6,180,186,0,134,134,5,303,304,28,247,273,12,94,98,175,2691,2843
IARE507008,0,41,42,3,25,29,12,64,77,11,90,103,18,217,235,12,198,212,12,192,203,15,246,258,17,283,295,6,200,199,4,147,154,3,124,124,4,314,316,8,201,216,15,67,84,140,2409,2547
IARE507009,26,728,756,16,293,307,69,901,970,99,1830,1926,131,4855,4986,143,4079,4225,110,2954,3056,108,3286,3392,103,3360,3463,76,2432,2506,60,2154,2212,50,1754,1805,99,4071,4165,150,3332,3483,28,755,789,1268,36784,38041
IARE507010,5,119,122,5,77,81,13,221,235,17,422,451,29,1052,1083,31,872,898,39,649,687,31,800,833,23,767,790,18,535,551,9,391,405,4,302,313,7,588,599,19,636,662,3,173,183,253,7604,7893
IARE507011,10,124,133,4,42,51,4,153,162,14,265,281,31,625,660,30,491,524,21,404,427,24,543,570,33,630,662,17,463,473,18,416,439,6,330,333,19,735,750,39,674,714,13,143,153,283,6038,6332
IARE507012,3,111,115,4,61,67,9,160,165,12,288,302,25,742,766,29,574,602,30,454,478,20,484,497,33,541,576,17,379,393,14,378,395,12,265,283,20,631,647,26,638,662,3,162,164,257,5868,6112
IARE507013,10,66,73,12,45,52,28,124,153,21,193,221,44,590,626,50,465,522,27,401,423,23,506,527,25,524,552,18,399,418,18,264,280,0,217,219,9,503,514,21,395,420,13,127,139,319,4819,5139
IARE507014,0,33,39,5,17,24,12,64,80,24,112,131,30,337,365,25,255,277,13,182,198,17,204,216,17,245,261,6,171,173,3,151,157,0,116,117,5,194,200,15,157,173,12,61,74,184,2299,2485
IARE507015,9,393,396,9,224,229,41,555,587,57,1052,1112,73,2726,2799,72,2221,2294,77,2025,2101,97,2510,2609,95,2849,2951,65,2196,2265,57,1755,1812,37,1388,1424,66,2831,2896,99,2437,2539,15,442,460,869,25604,26474
IARE508001,4,3,9,0,0,5,39,5,44,34,0,39,39,22,54,29,16,45,20,18,34,29,32,63,19,49,72,27,48,75,16,62,81,16,45,59,19,116,137,44,45,89,7,15,18,342,476,824
IARE508003,0,0,0,6,0,6,69,0,69,76,0,76,33,0,33,18,0,20,13,0,13,0,0,0,3,0,5,0,3,3,0,5,8,0,8,9,0,10,8,18,3,15,10,0,10,246,29,275
IARE508005,0,0,0,7,0,7,56,0,56,64,0,64,55,0,55,46,0,46,9,0,15,3,9,13,13,17,24,6,19,31,0,23,23,3,24,29,5,51,56,37,11,43,8,0,9,312,154,471
IARE508006,0,4,5,8,5,8,30,0,30,31,6,34,23,5,26,15,0,12,9,11,15,11,5,19,6,17,18,4,10,13,0,8,11,0,10,12,0,17,17,13,3,22,27,5,30,177,106,272
IARE594994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE597997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
