IARE_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
IARE503002,153,165,316,1374,1086,2464,492,336,831,2018,1592,3609,67,58,123,960,655,1609,12,6,16,1037,717,1757,20,13,31,40,26,66,4,0,4,60,42,103,83,71,152,1000,679,1680,16,12,27,1094,760,1858,62,86,150,352,387,739,6,12,17,423,483,905,11,10,16,28,19,44,468,320,789,501,344,849,19.5,20.8,20.1,4.2,3.7,4,20,11.1,16.7,5.6,5.4,5.5,54.3,43.9,48.9,72.7,62.5,68.2,3,2.7,2.9,54.3,47.9,51.5,43.7,34.8,39,69.6,60.2,65.5,2.4,2.4,2.4,51.3,45.3,48.7,5,7,15,71,117,189,0,3,3,77,130,210,56,45,106,866,522,1391,12,6,14,945,574,1516,0,0,0,22,9,38,3,0,3,25,12,38,0,0,0,18,13,31,0,0,0,20,13,34,0,0,0,10,17,29,0,0,0,10,17,29,4,0,3,67,79,148,0,0,0,67,82,152,6,3,3,54,73,128,0,0,3,52,80,133,27,22,48,428,159,591,6,8
IARE503003,810,702,1504,9951,9086,19036,1158,897,2058,11910,10682,22592,339,271,608,7965,6538,14500,33,22,57,8334,6828,15164,57,33,87,244,196,444,9,0,7,304,231,533,390,300,695,8206,6735,14944,44,21,61,8642,7058,15702,356,332,688,1598,2250,3845,15,23,40,1975,2603,4577,57,66,122,141,106,246,1102,850,1949,1298,1024,2319,14.1,10.2,12.4,3,2.9,3,11.9,4.3,9.2,3.5,3.2,3.4,48.5,43.3,46.1,82.5,74.1,78.5,3.6,2.6,3.2,72.5,66.1,69.5,41.7,38.9,40.4,80,71.9,76.2,3.2,2.4,2.9,70,63.9,67.1,34,72,107,536,1244,1782,0,0,0,572,1314,1889,290,194,489,7336,5217,12550,31,19,45,7655,5432,13089,6,0,7,183,174,357,0,0,4,192,175,362,4,0,3,308,307,618,0,0,0,318,306,625,0,5,7,88,209,296,0,0,0,89,222,304,10,33,44,839,1297,2142,4,0,4,852,1336,2185,13,24,38,535,821,1357,3,0,6,549,850,1400,143,91,233,3519,1410,4925,12,3
IARE503004,373,410,782,411,170,582,376,121,498,1155,702,1856,68,85,147,362,145,506,0,5,4,425,234,658,35,21,53,5,3,7,0,0,0,40,21,59,98,103,202,367,150,516,0,5,4,468,255,720,255,295,550,33,19,50,0,0,0,290,311,597,14,15,30,10,5,11,377,114,496,397,134,539,36,18.3,27,1.4,2,1.6,0,0,0,8.8,8.6,8.7,26.9,25.4,26.1,89.5,87.1,88.8,0.3,2.5,0.8,40.3,36.6,38.9,17.2,20.8,19.1,88.3,85.4,87.4,0.3,2.5,0.8,36.8,33.4,35.5,12,15,34,31,30,59,0,0,0,48,45,95,47,66,110,324,119,442,0,5,4,370,184,554,0,0,0,3,0,7,0,0,0,4,0,4,0,0,0,12,8,15,0,0,0,12,8,15,0,0,0,4,7,13,0,0,0,4,7,13,0,5,0,50,37,86,0,0,0,45,41,87,0,4,0,37,22,56,0,0,0,40,20,61,22,15,37,120,24,147,0,0
IARE503005,89,93,185,681,358,1038,462,135,595,1227,593,1818,38,20,61,578,273,854,0,0,3,617,298,914,8,5,15,12,6,24,0,0,0,20,13,32,47,28,75,592,281,871,0,0,3,644,311,953,39,70,104,66,79,146,4,3,6,109,145,258,0,4,7,13,0,22,453,130,589,473,138,610,19.1,18.5,18.9,2.2,2.5,2.3,0,0,0,3.4,3.9,3.6,53.4,27.8,40,87.3,78.1,84.1,0.2,0.7,0.3,52.2,52.2,52.2,43.2,22.7,32.4,85.4,76.1,82.2,0.2,0.7,0.3,50.4,50.2,50.4,8,13,17,30,55,83,0,0,0,38,65,100,32,12,44,544,216,763,0,0,0,575,229,807,0,0,0,13,6,20,0,0,0,13,6,20,0,0,0,13,7,24,0,0,0,13,7,24,0,0,0,8,12,15,0,0,0,8,12,15,0,0,0,45,38,83,0,0,0,45,38,81,0,8,5,51,39,95,0,0,0,55,52,99,13,9,22,240,55,297,0,0
IARE503006,151,181,337,31,25,55,7,9,16,188,218,406,19,16,32,27,24,49,0,0,0,41,38,82,20,18,38,0,0,0,0,0,0,20,18,40,43,31,72,27,21,48,0,0,0,65,51,121,106,145,247,0,0,0,0,0,0,109,142,250,3,11,15,0,0,3,7,8,16,13,23,38,55,53.3,54.3,0,4.2,2,0,0,0,33.3,31.5,32.5,26.5,16.5,21,89.7,88.9,89.3,0,0,0,35.1,24.9,29.6,11.9,7.7,9.6,89.7,85.2,87.5,0,0,0,23.4,17.1,20,15,3,16,10,8,19,0,0,0,25,11,32,7,9,11,13,17,31,0,0,0,24,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,4,10,19,0,0,0,8,10,21,0,0,0,0,7,4,0,0,0,0,7,4,5,3,8,10,0,13,0,0
IARE503007,48,49,99,152,58,211,104,35,142,303,140,452,12,9,24,131,45,175,0,0,0,143,57,196,6,0,6,0,0,5,0,0,0,4,0,9,14,9,24,133,42,178,0,0,0,147,53,203,33,44,77,18,6,25,0,0,0,49,54,98,0,0,0,5,3,3,108,35,137,113,31,148,20,0,12,2.3,2.2,2.2,0,0,0,4.1,1.8,3.4,32.6,19.2,25.5,86.9,79.3,84.8,0,0,0,48.2,39.4,45.4,26.1,19.2,22.4,85,77.6,82.9,0,0,0,46.3,38.7,43.9,0,6,3,9,14,22,0,0,0,9,19,29,9,3,16,117,32,152,0,0,0,124,37,160,0,0,0,5,0,4,0,0,0,5,0,4,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,0,0,5,0,0,0,0,0,5,0,4,4,15,12,24,0,0,0,15,11,27,0,0,0,15,8,22,0,0,0,15,8,25,6,5,5,58,9,66,0,0
IARE504001,217,202,419,94,74,168,26,24,55,337,304,639,61,45,105,78,70,148,3,0,3,144,115,258,21,15,38,0,0,0,0,0,0,21,15,34,81,60,140,78,64,146,3,0,3,162,128,287,128,137,269,12,7,21,0,0,0,142,150,285,7,4,8,0,0,0,29,24,51,34,29,59,25.6,25,25.4,0,1.5,0.7,0,0,0,12.9,12.5,12.7,38.1,29.6,34,85.9,89.5,87.5,7.1,0,3.8,48.7,42.1,45.5,28.4,22.2,25.4,85.9,88.2,86.9,7.1,0,3.8,42.4,36.8,39.7,3,9,12,5,6,13,0,0,0,10,11,29,50,33,78,72,59,131,3,0,3,121,93,212,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,4,3,8,0,0,0,4,3,8,0,0,0,0,0,5,0,0,0,0,0,5,0,3,3,12,24,35,0,0,0,12,24,39,0,0,0,8,13,24,0,0,0,6,13,25,45,23,71,30,11,39,0,0
IARE504002,321,338,656,65,67,125,25,25,50,410,430,840,51,58,108,55,63,120,0,0,0,109,118,222,81,51,135,0,0,0,0,0,0,81,50,136,131,106,241,55,60,116,0,0,0,193,168,361,162,206,370,3,3,10,0,0,5,169,213,383,17,19,42,0,0,5,22,21,50,51,48,94,62.2,47.2,55.6,0,1.6,0.9,0,0,0,43.8,30.8,37.7,42.3,32,37,90.3,91,90.7,3.6,0,1.9,46.9,39.4,43.1,16,16.9,16.5,90.3,89.6,89.9,3.6,0,1.9,26.4,27.3,26.8,19,12,24,3,0,6,0,0,0,21,14,37,33,45,75,53,59,104,0,0,0,83,99,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,7,11,3,5,8,4,4,9,0,0,0,4,12,13,0,0,0,12,18,29,0,0,0,12,21,34,0,4,4,5,7,14,0,0,0,5,9,17,29,12,40,21,3,25,0,0
IARE504003,339,440,784,135,126,262,83,72,155,557,641,1200,68,77,143,115,105,220,7,9,10,188,188,377,31,18,54,0,0,0,0,0,0,33,18,58,104,95,202,117,105,221,7,9,10,221,208,433,215,320,531,18,15,36,7,10,13,238,343,581,23,24,47,3,3,8,69,64,133,101,89,186,33,20.8,27.1,0.9,0,0.5,0,0,0,15.7,9.6,12.8,30.1,21.8,25.4,84.4,83.6,84,7.4,6.8,7.1,40,32.4,35.9,20.2,17.2,18.5,83.7,83.6,83.7,7.4,6.8,7.1,33.7,29.3,31.3,20,19,39,37,52,86,0,0,0,52,71,124,47,47,95,70,54,130,0,0,8,123,104,228,0,0,0,3,0,3,0,0,0,9,0,9,0,0,0,13,13,21,0,0,0,10,13,21,0,0,0,3,12,14,0,0,0,3,12,14,0,9,9,24,50,69,0,0,0,24,59,81,4,5,9,8,10,22,0,0,0,13,14,29,31,43,75,45,19,62,0,0
IARE504004,134,124,258,34,13,52,9,6,19,174,151,322,20,26,46,25,11,41,0,0,0,44,36,85,19,11,29,0,0,0,0,0,0,19,11,29,37,36,75,25,11,41,0,0,0,63,47,113,63,62,132,3,3,8,4,0,3,76,73,144,29,21,53,0,0,0,9,3,16,39,24,69,47.4,28.9,38.2,0,0,0,0,0,0,28.1,22.4,25.7,28.6,30.9,29.7,81.3,68.8,77.1,0,0,0,36.4,33.3,35,15,22,18.4,81.3,68.8,77.1,0,0,0,26.1,25.9,26,3,11,12,0,0,0,0,0,0,4,9,15,16,21,30,23,12,34,0,0,0,41,26,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,3,3,3,0,3,4,6,6,4,0,0,0,5,8,11,19,18,39,14,0,14,0,0
IARE504005,115,128,244,10,15,23,13,14,22,135,155,292,13,16,33,10,15,21,0,0,0,24,30,53,8,11,16,0,0,0,0,0,0,8,11,16,25,24,49,10,15,21,0,0,0,36,36,74,90,104,193,0,0,0,0,0,0,90,101,191,0,0,0,0,0,0,13,14,22,10,14,22,33.3,33.3,33.3,0,0,0,0,0,0,23.5,23.7,23.6,20.9,21.1,21,83.3,100,91.3,0,0,0,24.6,25.2,24.9,13.9,14.1,14,83.3,100,91.3,0,0,0,18.8,19.2,19,3,3,12,3,7,12,0,0,0,8,12,26,10,13,20,5,0,10,0,0,0,14,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,3,0,3,0,0,0,3,0,3,3,10,7,0,3,3,0,0
IARE504006,383,487,868,1044,1107,2155,286,305,595,1714,1905,3612,163,172,330,885,949,1834,11,3,18,1054,1125,2181,28,25,51,20,8,29,0,0,0,48,33,78,182,195,384,902,958,1863,11,3,18,1103,1162,2261,169,271,437,134,142,277,0,9,9,306,417,723,27,22,50,8,9,14,273,294,567,311,323,630,14.5,11.7,13.1,2.1,1,1.6,0,0,0,4.2,2.8,3.5,48.6,40.3,44,86.5,86.5,86.5,3.8,1.3,2.5,64.2,61,62.5,41.5,35.6,38.2,84.7,85.6,85.1,3.8,1.3,2.5,61.5,59.2,60.3,28,24,57,183,270,452,0,0,4,211,303,515,118,135,256,693,668,1359,11,0,15,823,804,1622,0,0,0,37,24,59,0,0,0,39,25,59,3,0,3,39,72,112,0,0,0,42,77,115,0,3,8,25,52,70,0,0,0,25,49,71,6,9,22,152,314,461,6,0,6,161,322,486,7,27,33,85,128,213,0,0,0,95,151,249,52,46,97,344,157,504,0,0
IARE504007,82,78,159,342,286,624,121,86,206,537,452,991,34,17,48,279,243,523,4,0,6,317,258,577,4,3,5,3,0,8,0,0,0,8,4,10,35,17,55,284,246,527,4,0,6,323,268,592,34,53,88,52,36,85,0,0,6,86,95,182,4,6,13,7,5,14,110,79,194,127,87,219,5.4,11.8,7.4,1.8,0.4,1.1,0,0,0,2.1,1.1,1.7,46.8,21.8,34.4,83,85.7,84.2,5,3.5,4.4,60.5,58.9,59.8,44.3,19.2,31.8,81.5,85.3,83.3,5,3.5,4.4,59.2,58.2,58.7,0,5,5,27,51,78,0,0,0,26,55,83,33,11,43,249,189,444,4,4,5,285,204,486,4,0,4,7,9,18,0,0,0,13,9,19,0,0,0,14,12,27,0,0,0,15,12,29,0,0,0,3,13,22,0,0,0,3,15,22,0,0,0,29,66,97,0,0,0,31,67,98,4,0,0,20,51,74,4,0,3,29,51,80,15,0,20,121,36,160,0,0
IARE504008,146,168,307,104,73,173,47,48,89,288,280,575,52,56,106,76,47,125,0,0,0,126,104,231,3,0,8,0,4,3,0,0,0,10,6,12,61,57,116,76,50,132,0,0,0,134,109,239,74,96,168,22,22,42,0,4,4,94,115,210,13,17,31,3,0,3,47,41,91,60,58,117,10.5,1.8,6.2,1.3,7.7,3.9,0,100,100,5.3,5.5,5.4,39.6,33.7,36.5,75.2,73.2,74.4,0,2.3,1.1,45.5,38.8,42.2,35.4,33.1,34.2,74.3,67.6,71.5,0,0,0,43.2,36.7,40,8,7,14,16,14,29,0,0,0,18,24,47,48,43,88,59,33,97,0,0,0,102,78,182,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,4,3,4,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0,6,3,0,3,4,7,18,27,0,0,0,10,24,33,3,6,5,8,8,11,0,0,0,11,8,20,20,16,36,30,12,39,0,0
IARE505001,831,868,1708,32544,34416,66963,1896,1535,3427,35273,36821,72096,413,348,765,23115,20462,43577,58,51,114,23594,20859,44453,107,82,191,1367,1447,2817,0,6,11,1483,1535,3013,529,432,955,24490,21902,46394,63,59,120,25077,22395,47471,273,415,692,7729,12139,19866,58,88,155,8064,12647,20715,36,25,59,335,372,707,1767,1389,3152,2135,1779,3915,20.7,19.3,20.1,5.6,6.6,6.1,6.3,10.5,8.3,5.9,6.9,6.4,63,49.5,56.1,75.2,63.6,69.3,3.4,3.7,3.5,71.1,60.8,65.8,49.9,40,44.9,71,59.4,65.1,3.2,3.3,3.2,66.9,56.6,61.7,56,82,141,2279,3920,6203,3,7,11,2339,4012,6351,355,264,618,20524,16298,36823,49,40,91,20933,16593,37530,8,9,20,1269,904,2175,0,5,5,1278,915,2197,5,8,14,1436,1576,3017,3,0,3,1440,1587,3024,3,12,17,425,831,1260,4,0,0,434,844,1274,21,33,54,3966,5920,9887,4,11,13,3989,5961,9949,36,80,115,3052,3805,6859,8,12,17,3086,3899,6994,193,147,345,8905,5453,14357,27,17
IARE505002,125,142,263,5822,6369,12195,373,297,672,6322,6810,13129,63,53,111,4010,3949,7962,13,13,24,4083,4014,8098,12,12,22,203,178,382,0,3,3,218,191,407,77,62,138,4211,4133,8344,9,14,28,4297,4207,8504,47,76,120,1554,2177,3732,8,19,32,1612,2270,3882,0,5,9,58,61,122,355,266,611,416,334,746,19.2,18,18.7,4.8,4.3,4.6,8.3,21.4,15.4,5,4.6,4.8,62.4,43.6,52.5,72.3,64.9,68.4,3.2,4.7,3.9,68,61.8,64.8,50.4,35.7,42.6,68.8,62,65.3,2.9,3.7,3.3,64.6,58.9,61.7,9,11,15,561,939,1499,0,0,0,568,951,1515,56,44,94,3415,2987,6402,8,11,19,3478,3037,6520,0,0,4,280,191,467,0,0,0,277,190,473,0,7,3,322,382,705,0,0,0,325,383,709,0,3,9,133,278,413,0,4,4,135,283,421,5,10,16,934,1354,2288,0,0,3,943,1361,2303,8,7,12,543,665,1211,0,0,0,550,673,1225,29,19,48,1484,762,2248,3,5
IARE505003,347,396,741,26091,27261,53358,1281,1029,2312,27725,28690,56412,212,171,378,18110,16920,35025,32,28,56,18356,17110,35469,34,30,61,964,880,1845,0,4,3,1004,914,1910,244,203,443,19072,17799,36871,40,25,62,19353,18028,37382,97,185,280,6773,9222,16000,44,53,92,6921,9461,16377,3,11,12,242,235,482,1199,956,2161,1453,1203,2655,13.2,14.9,14,5.1,4.9,5,7.9,7.7,7.8,5.2,5.1,5.1,70,50.8,59.8,73.1,65.3,69.1,3,2.5,2.8,69.8,62.8,66.3,60.8,43.2,51.4,69.4,62.1,65.6,2.7,2.3,2.5,66.2,59.6,62.9,36,45,85,2253,3601,5854,0,0,3,2286,3652,5935,169,118,290,15660,13159,28824,26,17,48,15860,13303,29163,8,0,11,1242,822,2063,3,0,5,1257,825,2078,3,12,7,1685,1970,3651,0,4,4,1685,1973,3667,5,10,11,568,1038,1607,0,0,0,573,1050,1621,34,32,68,5279,6276,11555,4,10,12,5318,6313,11637,20,25,47,2643,2917,5561,11,4,17,2684,2947,5632,84,69,151,5394,2803,8198,16,10
IARE505004,390,437,832,16376,16145,32520,1216,943,2161,17982,17528,35511,200,211,404,11621,9884,21503,31,22,52,11855,10113,21968,32,35,67,672,565,1240,0,0,3,708,602,1313,231,244,481,12297,10448,22739,33,22,53,12561,10710,23274,143,182,326,3842,5417,9262,31,49,77,4010,5655,9666,11,12,23,244,275,516,1157,876,2031,1412,1163,2573,14.9,14.8,14.8,5.5,5.4,5.4,6.1,4.8,5.6,5.6,5.6,5.6,59.8,55.7,57.6,75.1,64.7,69.9,2.7,2.2,2.5,69.8,61.1,65.5,50.9,47.5,49.1,71,61.2,66.1,2.5,2.1,2.4,65.9,57.7,61.8,23,51,79,1013,1696,2703,0,3,3,1041,1750,2784,170,149,324,10428,8081,18509,26,12,33,10626,8244,18868,4,4,4,678,399,1080,0,0,0,681,400,1086,9,6,10,1075,1004,2075,0,3,3,1078,1012,2086,4,7,7,244,450,696,0,0,0,246,454,707,18,34,55,2824,3458,6282,3,0,3,2845,3493,6345,16,39,56,1707,1793,3499,3,0,3,1725,1836,3560,85,77,161,3574,1796,5371,15,7
IARE505005,393,448,844,36829,37538,74368,1600,1235,2831,38822,39219,78039,182,184,372,25316,22027,47340,49,31,77,25547,22239,47787,40,48,89,1494,1389,2886,7,0,6,1544,1436,2982,231,229,459,26813,23413,50227,50,34,82,27096,23676,50771,154,209,366,9601,13718,23325,49,67,119,9812,13995,23808,13,9,15,417,400,817,1491,1134,2630,1921,1545,3458,19.1,20,19.6,5.6,5.9,5.7,9.4,6.7,8.4,5.7,6.1,5.9,58.2,51.5,54.6,72.8,62.4,67.5,3.3,2.4,2.9,69.8,60.4,65.1,47.1,41.2,43.9,68.7,58.7,63.7,3,2.3,2.7,65.8,56.7,61.2,30,47,73,2843,4369,7204,5,5,5,2871,4415,7285,156,129,288,22079,17404,39478,42,27,65,22269,17552,39827,4,4,10,1510,894,2407,0,0,5,1523,901,2422,7,10,10,3718,3466,7183,6,0,8,3726,3478,7203,5,4,8,699,1240,1937,0,0,0,704,1245,1947,17,32,46,8357,9435,17793,11,16,29,8388,9483,17865,12,28,42,3707,3963,7671,10,16,23,3731,4002,7730,80,77,160,6244,3210,9459,24,5
IARE505006,689,773,1456,42984,45512,88499,2476,1726,4199,46148,48011,94158,400,382,778,31514,29667,61181,72,56,133,31986,30109,62094,72,53,127,1507,1447,2957,12,0,8,1593,1498,3088,467,432,904,33020,31108,64132,81,61,140,33572,31605,65181,203,329,536,9587,14006,23586,62,76,132,9846,14408,24261,14,12,23,379,395,777,2334,1589,3920,2721,1997,4714,15.1,12.2,13.7,4.6,4.6,4.6,9.9,3.3,7,4.7,4.7,4.7,68.3,56.1,61.8,76.8,68.4,72.5,3.3,3.5,3.4,72.8,65.8,69.2,58,49.2,53.4,73.3,65.2,69.1,3,3.4,3.1,69.3,62.7,65.9,73,104,180,3616,6164,9782,3,9,15,3692,6281,9972,319,269,591,27576,23236,50806,66,49,112,27958,23550,51510,8,3,14,1866,1448,3308,6,0,10,1884,1452,3334,11,13,29,2189,2370,4556,0,0,7,2199,2382,4587,3,12,14,690,1511,2200,0,5,5,697,1527,2223,28,74,97,6405,9418,15822,6,11,23,6444,9498,15946,42,59,99,3960,5134,9093,8,8,13,4005,5198,9206,157,129,283,11862,5971,17828,27,20
IARE505007,208,235,444,14997,16530,31523,1016,810,1827,16219,17571,33787,106,105,208,10030,10297,20334,24,17,42,10165,10420,20583,21,18,36,555,411,963,0,0,3,574,434,1005,122,123,247,10585,10711,21298,29,24,52,10740,10855,21591,73,103,177,4261,5624,9889,38,45,83,4375,5774,10146,9,8,21,143,188,333,954,744,1697,1112,940,2050,15.1,15.6,15.3,5.2,3.9,4.5,3.8,4.5,4.2,5.3,4,4.7,60,52.1,55.9,70.6,64.8,67.6,2.6,2.7,2.6,66.2,61.8,63.9,51,44,47.3,66.9,62.3,64.5,2.5,2.6,2.5,62.7,59.3,60.9,23,32,44,1439,2552,3993,5,4,8,1462,2586,4052,86,71,163,8512,7687,16200,21,14,36,8617,7778,16393,8,3,14,769,815,1584,3,5,8,781,825,1605,5,14,13,1674,1787,3464,0,3,4,1683,1803,3484,5,4,10,476,976,1452,0,0,0,482,974,1457,14,26,41,3637,4863,8501,7,11,21,3656,4902,8556,16,20,35,1478,1654,3133,3,9,17,1497,1685,3178,43,31,74,2493,1193,3696,16,0
