IARE_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
IARE503002,199,216,421,1647,1321,2972,573,421,997,2428,1963,4389,21,18,44,100,80,177,29,22,53,154,125,275,26,37,62,176,159,328,55,61,116,257,252,505,31,50,82,157,141,304,62,59,120,251,251,506,52,57,102,424,354,769,200,133,336,670,535,1212,53,34,91,545,424,965,176,103,281,770,565,1339,23,19,45,249,175,418,52,42,93,326,234,563,190,201,393,1552,1247,2794,549,408,956,2286,1856,4138,4,5,6,0,0,6,0,0,0,8,3,8,0,0,0,20,13,30,7,5,11,26,21,45,0,0,0,37,22,60,19,11,27,55,30,84,0,0,0,35,17,53,26,9,31,66,19,84,0,0,0,25,9,38,7,0,11,33,16,51,27,19,39,777,203,978,644,151,792,1438,370,1813,0,0,0,4,4,8,3,0,3,6,9,12,0,0,0,0,0,0,3,0,0,6,4,6,0,0,0,4,0,4,0,0
IARE503003,1196,1031,2231,12626,11632,24258,1446,1133,2581,15265,13805,29072,135,113,247,933,897,1826,87,62,148,1154,1073,2227,256,222,476,1746,1652,3395,198,177,373,2195,2051,4245,205,161,370,1532,1376,2905,157,147,301,1893,1688,3575,343,263,610,3912,3752,7666,438,376,818,4694,4390,9088,213,197,409,3317,2902,6215,400,261,656,3925,3359,7283,47,69,115,1190,1063,2245,165,114,284,1399,1248,2650,1110,947,2060,11978,11128,23107,1213,1021,2239,14309,13094,27404,9,9,12,24,17,40,4,0,4,34,24,58,0,0,0,24,14,40,13,11,23,37,18,58,0,0,0,33,25,54,27,17,45,61,44,103,0,0,0,36,19,54,13,10,25,52,27,79,0,0,4,21,11,38,16,16,28,39,32,65,112,99,210,841,425,1268,419,150,568,1375,666,2039,0,0,0,12,7,16,8,4,12,20,14,28,0,0,0,3,5,13,3,0,3,12,5,14,0,0,0,0,0,0,0,0
IARE503004,508,534,1044,422,189,609,393,127,523,1325,855,2177,31,36,66,4,3,16,4,0,9,41,42,91,106,99,200,5,9,19,8,9,17,117,110,233,107,83,188,24,14,38,30,14,50,158,113,275,143,162,308,189,78,261,186,56,243,513,294,810,97,122,223,161,68,231,148,45,195,410,237,645,22,41,68,34,12,44,11,0,14,71,52,126,480,512,991,374,161,538,362,112,471,1218,781,2004,3,9,12,29,6,37,17,7,29,53,22,70,0,0,0,20,3,25,19,0,19,40,3,46,0,0,0,13,11,21,13,3,19,28,13,43,0,0,0,27,9,35,26,0,29,53,12,62,6,11,21,19,11,25,8,0,11,36,26,56,33,29,61,975,236,1211,1058,199,1254,2063,459,2524,0,0,0,13,0,11,8,0,8,15,0,18,0,0,4,0,0,0,5,0,5,6,0,9,0,0,0,0,0,0,0,0
IARE503005,125,143,267,763,441,1209,483,153,639,1374,737,2113,13,16,21,28,31,59,11,6,21,47,55,107,30,28,61,63,47,103,14,11,23,100,87,185,17,20,34,92,49,137,71,29,103,176,97,277,46,34,76,315,142,451,254,56,310,607,231,836,21,32,51,206,131,341,113,44,156,340,210,547,10,11,20,69,38,113,21,6,27,99,52,157,119,119,236,699,398,1090,470,153,617,1282,671,1949,0,6,6,3,4,5,3,3,6,12,5,14,0,0,0,21,5,26,13,3,13,37,8,40,0,0,0,23,10,29,18,7,23,37,13,52,0,0,0,35,8,43,35,5,43,68,11,85,0,0,0,16,5,21,7,0,7,31,5,31,47,37,82,1166,274,1439,1143,241,1386,2363,550,2908,0,0,0,5,6,5,3,5,3,10,8,13,0,0,0,5,0,4,3,0,3,10,0,10,0,0,0,0,0,0,0,0
IARE503006,206,225,431,37,30,61,9,8,16,247,264,511,18,18,36,4,0,4,0,0,0,22,15,37,35,25,60,0,0,0,0,0,0,37,30,65,44,48,94,0,3,0,0,0,4,51,52,102,63,72,137,15,14,32,5,0,7,86,91,179,32,50,82,11,13,21,0,0,4,49,62,107,4,4,12,4,0,5,0,0,0,9,13,13,193,208,408,28,27,59,10,7,17,233,245,475,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,3,6,0,0,0,3,3,6,3,0,4,0,0,0,0,0,0,3,0,4,0,3,3,8,3,15,0,0,3,10,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
IARE503007,63,73,141,162,75,236,117,39,161,345,189,535,7,9,15,0,4,10,0,0,3,6,15,21,17,12,30,9,4,17,12,5,20,32,29,63,16,11,24,21,3,26,19,5,19,54,20,72,17,21,35,66,28,98,55,16,75,141,61,204,6,14,25,52,15,65,27,7,34,85,39,128,8,7,19,15,7,23,8,4,12,27,17,50,60,69,129,148,61,213,117,40,156,328,170,502,0,0,6,0,0,4,0,0,4,3,4,6,0,0,0,10,0,10,4,0,4,17,0,17,0,0,0,0,0,6,4,0,5,5,6,12,0,0,0,6,0,6,8,0,8,18,0,18,0,0,0,3,0,3,3,0,3,6,0,9,9,12,22,324,90,418,257,48,303,589,154,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,3,0,0,0,0,0,0,0,0
IARE504001,295,286,582,98,77,179,33,29,65,432,399,824,38,32,69,4,4,7,3,0,3,47,30,79,42,56,96,0,0,3,0,4,4,47,61,110,60,65,133,12,6,15,3,0,3,72,76,149,97,80,182,43,39,78,6,10,12,145,126,276,42,40,82,27,25,50,13,13,22,82,72,155,11,16,25,12,3,17,9,8,18,35,29,63,281,273,548,91,75,170,21,18,42,395,363,762,0,0,0,0,0,0,10,9,15,11,9,14,3,0,4,57,51,108,5,0,4,62,51,115,0,0,0,95,88,188,0,0,7,99,91,190,0,0,3,46,38,82,4,6,10,52,46,97,0,0,0,29,27,56,0,0,0,27,30,60,23,8,30,323,217,547,48,13,56,396,235,633,0,0,0,6,8,15,3,3,3,10,13,24,0,0,0,21,17,36,3,0,3,23,18,45,0,0,0,4,3,7,0,0
IARE504002,464,459,919,71,72,135,39,26,70,566,558,1124,49,40,87,4,0,4,3,0,5,55,43,101,90,82,174,3,0,5,9,3,6,103,84,183,101,95,196,7,16,25,0,5,3,109,116,228,139,147,288,25,22,46,7,7,15,174,175,347,60,72,134,28,24,48,18,7,26,107,103,210,13,20,38,5,3,5,0,5,9,22,31,52,441,438,876,62,67,127,33,25,55,530,527,1061,6,11,16,0,0,0,3,5,6,15,14,25,0,0,0,21,22,43,5,0,4,27,27,53,0,0,0,41,66,103,4,10,13,46,71,119,8,6,10,38,42,83,4,0,0,43,44,91,0,0,0,16,14,28,4,4,3,21,19,32,21,14,34,168,147,310,51,32,84,237,186,426,0,0,0,0,3,4,0,0,0,0,3,4,8,3,8,11,11,18,3,0,3,19,12,27,0,0,0,5,5,5,0,0
IARE504003,521,607,1133,145,134,281,101,89,191,771,828,1605,57,62,121,5,0,5,7,0,8,72,62,135,121,110,230,8,7,11,16,12,24,137,123,267,98,110,206,7,11,11,10,11,18,112,124,240,134,182,308,59,74,132,32,33,66,221,284,507,83,114,199,52,33,83,32,17,49,160,176,334,30,37,68,23,14,36,10,12,19,60,60,120,497,584,1079,135,125,254,98,75,170,725,781,1505,9,11,18,0,6,0,0,7,4,14,20,30,0,0,0,9,8,16,0,0,0,15,8,21,5,0,4,17,18,37,4,4,6,24,22,48,0,0,0,21,20,41,7,4,10,31,20,47,0,0,0,9,3,11,3,4,6,9,7,18,12,13,24,80,54,137,48,25,71,142,95,231,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,6,4,12,5,3,6,13,7,17,0,0,0,3,0,7,0,0
IARE504004,182,165,349,32,13,50,10,8,22,233,194,421,12,16,23,0,0,0,0,0,0,12,16,23,36,33,69,4,0,4,0,0,0,40,32,75,45,34,78,5,0,4,3,4,5,52,38,93,45,52,104,10,0,15,5,3,4,65,59,120,26,29,58,14,8,25,0,4,4,45,39,82,12,7,17,3,3,9,0,0,3,15,12,28,175,151,325,32,12,50,11,8,20,219,177,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,26,0,0,0,12,14,29,0,0,0,11,14,28,6,4,8,14,17,32,0,0,0,12,13,26,0,0,4,9,12,25,0,0,0,8,6,9,0,0,0,8,6,9,8,10,18,66,39,104,4,10,13,76,58,138,0,0,0,5,0,6,4,0,7,7,0,10,0,0,0,4,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0
IARE504005,163,176,343,10,15,23,13,14,22,184,198,388,31,18,45,0,0,0,0,0,0,31,18,45,18,35,55,0,0,0,0,0,0,18,35,55,43,41,87,0,0,0,0,0,0,43,41,87,48,47,95,6,0,4,0,3,4,50,49,99,23,36,55,7,8,17,7,9,15,38,55,88,3,7,5,5,0,5,5,4,7,12,8,19,155,170,326,8,9,16,9,8,17,172,186,359,0,3,4,0,0,0,4,4,4,7,4,11,0,0,0,0,0,3,0,0,0,3,3,8,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,0,0,0,5,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
IARE504006,605,713,1314,1313,1332,2648,371,394,768,2290,2441,4726,62,60,126,101,85,187,23,26,47,192,166,357,156,166,325,165,140,308,58,62,127,378,374,755,100,110,205,111,115,225,36,53,83,241,278,523,161,191,353,431,552,985,125,145,272,714,887,1604,97,146,240,368,363,740,95,85,178,561,590,1151,25,42,69,130,72,205,32,30,60,188,139,333,562,679,1238,1193,1218,2408,324,367,692,2082,2264,4341,6,3,13,11,17,30,0,0,3,24,21,46,0,0,0,67,65,131,4,10,6,70,76,139,4,0,3,93,88,182,6,6,14,96,98,196,0,0,3,69,62,125,0,0,0,68,63,131,0,0,0,47,48,98,0,0,0,47,48,98,32,37,73,348,388,733,37,54,87,417,477,892,0,0,0,3,8,15,0,0,3,4,4,15,6,3,5,19,10,29,3,3,7,23,20,44,0,0,0,5,10,11,0,0
IARE504007,116,115,229,388,369,753,145,119,259,649,593,1245,10,8,25,16,26,39,6,15,19,33,41,78,26,32,56,38,56,90,16,23,35,79,100,179,10,16,30,35,32,67,19,8,27,64,60,125,36,32,70,111,96,202,33,32,66,185,160,342,22,19,45,144,135,280,45,35,86,212,188,401,10,10,12,54,29,80,20,10,29,77,43,125,114,111,222,367,341,704,135,111,240,614,557,1171,0,0,0,0,0,0,0,4,3,0,4,3,5,0,8,51,45,92,13,9,17,66,56,119,0,0,0,58,45,109,18,9,30,79,56,138,0,5,8,63,37,101,15,5,15,78,45,121,0,0,0,21,24,43,3,0,4,27,26,50,27,8,35,303,186,483,81,31,110,407,219,631,0,0,0,6,3,6,0,0,0,11,3,9,3,0,4,15,11,27,3,0,0,21,14,35,0,0,0,5,8,11,0,0
IARE504008,209,234,448,113,80,201,53,50,104,377,365,745,14,20,34,3,9,7,5,0,5,20,22,49,49,47,103,5,6,12,8,9,7,63,61,123,23,28,51,13,9,17,3,9,9,35,44,82,57,73,124,37,24,57,19,19,40,104,115,226,55,50,102,42,28,63,21,15,31,111,88,195,16,15,30,21,13,34,3,10,10,40,35,72,194,225,415,110,74,187,49,39,86,349,334,686,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,9,8,16,4,0,10,17,6,25,0,0,0,10,5,13,4,5,5,10,12,25,0,0,0,9,12,16,0,0,0,12,11,17,0,0,0,4,0,7,0,0,3,9,7,13,9,7,13,51,24,79,48,17,68,100,53,154,0,0,0,0,0,0,0,0,0,5,0,5,0,4,4,4,0,4,3,0,4,11,4,12,0,0,0,3,0,3,0,0
IARE505001,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184,193,171,367,3521,3342,6866,134,138,271,3850,3656,7505,333,376,707,6812,6430,13247,332,300,630,7481,7107,14584,238,247,486,4880,4859,9736,275,254,528,5390,5363,10747,363,351,718,13248,14256,27503,807,637,1443,14416,15243,29661,183,202,389,9353,9619,18970,609,399,1013,10150,10226,20372,46,65,112,5067,5687,10752,203,240,439,5315,5989,11309,1266,1348,2610,41244,43055,84303,1708,1725,3433,44221,46123,90345,3,6,8,47,55,103,7,7,18,65,71,130,0,0,0,14,11,29,0,0,0,13,14,30,0,0,0,10,11,23,0,0,0,10,11,23,0,0,0,7,10,16,0,0,0,7,14,22,0,0,0,3,7,15,0,0,0,3,7,15,63,53,115,682,685,1370,80,86,174,832,827,1656,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,3,4,0,0
IARE505002,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932,29,20,48,479,434,911,25,19,46,532,476,1002,53,33,86,848,786,1633,47,33,80,939,857,1799,47,34,85,757,696,1445,42,22,69,847,755,1601,41,53,89,2060,2222,4284,155,95,248,2260,2368,4628,30,36,71,1866,1992,3855,104,104,213,2002,2135,4133,5,15,21,1139,1459,2604,72,72,144,1216,1555,2771,194,182,380,6832,7347,14186,319,298,616,7349,7833,15180,0,0,0,17,10,26,0,0,0,17,13,29,0,0,0,3,5,11,0,0,0,3,5,11,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,134,140,273,17,0,15,149,145,293,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE505003,512,535,1050,31315,32115,63431,1470,1188,2655,33294,33835,67129,56,55,110,1910,1818,3728,55,43,96,2021,1919,3940,109,80,189,3308,3032,6344,135,107,242,3555,3224,6773,107,114,219,3381,3238,6615,139,115,255,3626,3463,7090,142,149,289,10173,10280,20454,534,420,960,10847,10852,21699,80,105,182,7504,7761,15266,367,226,593,7951,8086,16040,20,39,52,5042,5984,11023,240,269,502,5295,6284,11581,472,505,983,30077,31108,61183,1033,955,1983,31580,32570,64150,0,0,0,36,44,85,0,0,0,36,44,83,4,0,4,17,13,24,4,0,4,18,13,30,0,0,0,21,15,33,0,0,4,22,15,40,0,0,0,4,3,5,0,0,0,8,3,14,0,0,0,5,5,6,0,0,0,4,5,11,49,33,80,587,553,1139,31,33,69,668,616,1293,0,0,0,5,0,9,0,0,0,6,0,7,0,0,5,7,5,12,0,0,0,7,4,14,0,0,0,0,0,0,0,0
IARE505004,547,582,1129,19458,19128,38583,1391,1126,2517,21402,20842,42236,58,47,102,1146,1126,2268,51,67,120,1251,1235,2487,99,102,195,1938,1862,3798,124,110,237,2162,2072,4239,121,104,219,2224,2134,4357,161,139,295,2508,2371,4877,148,167,308,7089,6709,13804,558,446,1002,7793,7324,15114,107,116,226,4503,4187,8689,365,230,599,4971,4538,9511,25,48,74,2556,3111,5673,128,130,263,2713,3293,6010,498,542,1040,18560,18495,37050,1014,941,1954,20071,19974,40047,3,4,5,32,24,56,0,0,0,40,23,66,4,0,4,26,19,45,14,3,18,49,17,64,0,0,0,50,11,60,14,0,10,56,13,77,3,0,7,63,11,77,32,0,33,101,13,117,0,0,0,47,11,54,28,7,27,76,10,85,43,52,100,525,435,962,115,76,194,686,567,1252,0,0,0,16,13,30,7,6,14,26,19,44,0,0,0,8,5,14,0,0,3,16,4,15,0,0,0,0,0,0,0,0
IARE505005,586,652,1236,45372,45476,90850,1816,1452,3271,47775,47579,95358,57,64,123,2591,2400,4992,81,64,149,2732,2528,5263,131,145,272,5955,5545,11494,136,158,293,6220,5839,12058,137,145,277,6737,6153,12892,271,192,466,7135,6496,13632,139,153,296,13781,13516,27291,704,519,1225,14620,14191,28810,92,104,194,10141,10649,20794,437,290,727,10672,11046,21715,32,44,76,6176,7210,13390,183,229,414,6389,7487,13880,554,630,1181,43867,44332,88202,1292,1235,2524,45715,46196,91906,3,0,0,46,48,88,0,0,0,46,49,98,0,0,0,22,25,51,0,0,0,22,27,49,0,0,0,24,16,39,4,0,4,27,13,42,0,0,0,21,7,28,0,0,0,23,7,33,0,0,0,4,5,11,0,0,0,7,5,16,44,48,93,620,628,1249,43,21,59,707,696,1401,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,5,3,8,0,0,0,5,3,8,0,0,0,0,3,4,0,0
IARE505006,1133,1114,2248,53819,55853,109669,2800,2040,4843,57753,59011,116763,158,116,274,3802,3488,7288,100,110,212,4064,3707,7776,282,235,519,7027,6849,13878,229,207,438,7546,7292,14834,224,222,447,6550,6442,12990,429,270,693,7206,6932,14138,271,313,581,16542,17468,34010,1077,657,1728,17880,18439,36319,152,182,336,13023,13729,26750,654,443,1096,13832,14349,28180,42,53,98,6873,7873,14747,321,355,677,7235,8285,15516,1061,1067,2129,51494,54199,105693,1905,1697,3598,54462,56962,111422,0,0,0,69,54,129,11,6,20,80,62,150,0,0,0,43,23,66,20,0,21,62,26,88,0,0,0,33,32,66,6,3,11,44,35,78,3,0,3,21,24,46,9,0,4,27,28,61,0,5,5,14,11,23,4,0,4,20,11,32,45,53,99,1120,1041,2160,183,104,290,1347,1199,2549,0,0,0,12,13,29,0,0,0,10,18,30,0,0,0,5,5,12,9,0,9,16,10,28,0,0,0,13,0,10,6,0
IARE505007,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744,31,25,52,997,926,1917,44,40,82,1069,991,2057,61,65,121,1791,1818,3609,89,77,165,1944,1953,3896,53,63,111,1811,1992,3800,96,100,199,1962,2156,4111,64,91,159,4724,5108,9830,390,294,690,5184,5494,10675,71,58,128,4976,5388,10360,339,215,555,5385,5659,11039,17,20,46,3488,4043,7535,186,197,381,3687,4269,7958,277,301,582,16695,18318,35012,836,767,1595,17806,19380,37187,0,0,0,19,29,54,5,0,3,23,31,53,4,0,4,109,51,166,27,14,42,144,65,210,0,0,0,56,33,86,5,0,5,61,33,96,0,0,0,44,10,51,13,0,13,58,10,68,0,0,0,19,8,20,6,0,6,14,8,28,51,26,80,559,491,1048,198,140,338,805,660,1468,0,0,0,4,11,18,0,3,3,4,12,22,0,0,0,5,3,12,0,0,0,6,5,15,0,0,0,3,3,8,0,0
IARE505008,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376,187,187,373,3997,3834,7832,158,153,307,4340,4170,8513,354,341,699,8393,7968,16358,351,351,702,9091,8659,17753,340,280,622,7801,7203,15007,317,309,620,8462,7794,16250,558,483,1044,17382,17367,34748,946,743,1691,18891,18593,37484,255,279,532,13667,13752,27418,726,492,1215,14651,14517,29167,84,94,180,7662,8719,16383,311,332,646,8056,9150,17208,1672,1584,3257,56980,57451,114434,2139,2104,4240,60787,61142,121933,4,13,15,82,80,160,5,0,6,94,90,181,0,0,0,19,23,40,4,0,4,23,19,48,0,0,0,22,29,54,0,0,0,22,29,54,0,0,3,22,12,35,0,0,0,21,17,36,0,3,3,9,4,12,3,0,3,10,5,17,140,76,217,879,876,1751,53,60,112,1073,1010,2085,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,0,5,0,0
IARE505009,706,681,1386,75882,78221,154104,2613,1904,4517,79198,80810,160003,75,73,141,4255,3997,8259,68,72,137,4395,4145,8538,167,176,343,10612,9953,20567,201,197,401,10978,10332,21309,119,104,228,9783,8843,18624,253,194,451,10156,9139,19300,174,172,346,17513,18499,36010,796,474,1269,18478,19145,37619,121,115,242,20610,22320,42926,869,473,1341,21606,22907,44508,39,39,79,13116,14614,27730,430,495,924,13589,15142,28726,654,650,1306,72487,75852,148339,1357,1430,2784,74500,77934,152432,0,0,0,78,86,161,0,0,0,78,85,167,0,0,0,19,27,48,0,3,7,23,29,54,0,3,5,46,52,95,3,3,3,49,59,108,0,0,0,20,23,36,0,0,5,16,20,41,0,0,0,4,5,7,0,0,0,0,5,5,50,37,85,1301,1285,2587,219,224,443,1569,1540,3112,0,0,0,3,11,18,0,0,0,3,13,17,0,0,0,0,9,12,0,0,0,0,9,12,0,0,0,0,7,11,0,0
IARE505010,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762,64,77,141,1637,1460,3100,49,29,77,1755,1562,3318,192,153,344,3796,3649,7445,137,111,248,4125,3917,8038,134,136,266,3297,2984,6281,127,97,222,3553,3217,6770,156,163,322,6500,6938,13440,383,273,659,7044,7381,14421,92,122,214,6988,7303,14293,369,229,596,7449,7649,15105,24,34,58,4999,5695,10701,161,189,352,5181,5924,11107,618,664,1281,25950,27144,53102,726,730,1456,27304,28535,55838,0,0,0,38,34,73,3,0,3,41,34,75,0,0,0,9,6,12,0,0,0,8,6,12,0,0,0,10,6,18,6,0,6,17,6,24,0,0,0,13,3,18,5,0,3,15,7,22,0,0,0,8,3,15,0,0,0,7,3,14,42,39,82,550,516,1061,25,14,38,614,573,1188,0,0,0,0,6,6,0,0,0,0,10,10,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0
