IARE_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IARE503002,14,22,38,0,9,7,21,22,43,18,15,28,20,25,46,8,20,21,6,8,14,7,19,22,13,11,28,6,7,11,3,3,8,7,0,7,22,6,27,12,10,23,153,165,316
IARE503003,78,94,173,22,33,57,62,48,102,49,64,112,28,54,83,29,70,98,22,43,56,34,38,73,36,53,89,34,32,67,38,30,71,40,21,61,103,31,133,231,94,318,810,702,1504
IARE503004,34,26,56,5,10,14,129,120,243,86,94,179,28,46,69,13,47,59,5,13,11,3,8,12,4,0,5,4,0,9,4,3,7,4,3,3,7,3,17,49,44,91,373,410,782
IARE503005,0,7,8,8,7,10,16,12,29,21,32,49,0,10,13,7,7,12,0,4,8,0,8,13,0,5,3,5,6,8,5,3,6,3,0,9,18,0,17,8,4,13,89,93,185
IARE503006,7,8,8,0,0,0,43,40,81,39,28,66,27,23,55,15,37,54,0,12,18,3,12,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,17,25,151,181,337
IARE503007,0,0,3,10,8,13,25,27,43,9,0,12,0,5,8,0,0,0,0,0,0,0,0,4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,49,99
IARE504001,36,22,61,4,0,3,60,55,116,27,37,64,12,22,38,15,23,38,0,9,9,8,4,13,8,3,9,6,4,10,7,0,8,0,0,0,8,0,8,23,18,42,217,202,419
IARE504002,17,18,38,9,11,20,150,127,275,75,76,154,8,39,51,10,23,37,5,0,8,0,0,11,0,5,6,0,3,3,0,4,0,0,0,0,0,0,0,27,32,57,321,338,656
IARE504003,36,32,68,10,21,35,91,99,194,55,65,117,33,56,84,15,37,49,15,21,35,12,21,35,18,21,32,7,7,15,4,11,16,6,6,5,9,10,9,36,41,81,339,440,784
IARE504004,19,13,33,3,5,10,32,24,50,29,19,47,6,6,14,7,6,12,3,5,7,4,6,8,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,37,32,66,134,124,258
IARE504005,16,21,37,14,7,17,36,28,70,27,36,56,14,17,28,4,12,22,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,115,128,244
IARE504006,48,44,88,13,10,27,53,52,101,44,58,106,18,46,66,29,45,73,14,26,44,21,35,61,25,34,60,20,26,51,22,25,45,10,13,24,26,11,36,44,60,101,383,487,868
IARE504007,3,5,11,4,6,15,19,17,36,8,10,18,6,10,14,9,3,15,0,0,0,3,3,11,6,3,11,3,0,3,0,0,3,5,0,5,3,5,10,14,6,21,82,78,159
IARE504008,13,21,33,4,5,10,28,21,49,15,33,49,7,11,27,12,18,31,3,10,10,13,10,23,9,5,16,11,9,17,4,0,8,5,0,5,8,6,12,19,15,28,146,168,307
IARE505001,109,112,217,27,37,65,89,95,179,71,88,158,45,80,121,62,95,155,41,68,107,46,57,98,75,59,132,38,52,95,39,38,80,43,21,67,104,48,150,46,33,79,831,868,1708
IARE505002,15,15,35,0,0,9,17,21,31,9,20,22,6,16,23,10,19,33,9,7,18,13,8,15,7,8,17,4,3,8,3,0,6,7,3,13,17,9,25,0,7,8,125,142,263
IARE505003,34,54,88,9,16,26,31,36,67,27,33,61,15,37,55,26,38,65,13,42,49,23,28,45,33,26,57,29,21,49,22,20,39,17,14,29,59,21,79,20,18,31,347,396,741
IARE505004,52,50,102,13,16,31,29,45,75,35,54,90,20,43,63,18,34,55,16,26,50,19,23,48,29,33,57,19,29,49,26,14,40,15,14,30,68,41,110,19,15,31,390,437,832
IARE505005,55,68,124,15,14,31,48,33,79,47,61,107,24,50,71,17,44,62,18,32,51,30,27,53,31,35,60,14,13,31,17,16,37,16,10,29,44,27,78,15,12,30,393,448,844
IARE505006,91,81,174,38,34,72,66,57,127,61,70,127,33,72,105,26,64,93,27,65,88,48,64,108,54,63,118,53,55,104,39,27,70,32,27,60,113,52,164,24,30,56,689,773,1456
IARE505007,18,23,45,12,16,28,30,26,55,22,25,50,18,16,32,13,22,34,9,9,19,16,13,27,14,16,27,10,12,23,3,13,19,7,6,5,35,18,56,7,15,21,208,235,444
IARE505008,105,129,231,36,48,83,93,98,193,100,121,219,55,114,170,63,123,181,42,73,113,79,51,128,74,86,157,49,53,107,50,49,99,35,21,56,89,37,116,381,135,515,1236,1144,2375
IARE505009,56,56,112,16,19,34,24,33,63,26,35,58,22,38,63,22,30,54,24,21,49,19,29,54,41,44,81,38,29,70,32,20,46,32,20,49,96,47,138,13,10,22,462,429,891
IARE505010,60,84,143,16,17,30,28,30,64,24,47,70,24,30,57,16,34,54,18,27,46,24,37,64,41,41,78,27,27,55,25,30,53,22,12,32,67,30,97,15,12,25,405,456,862
IARE505011,68,66,141,17,30,41,35,52,88,48,60,106,30,39,68,24,45,69,14,38,55,26,38,70,31,44,71,29,33,59,34,20,56,21,7,33,48,9,62,511,15,528,946,505,1451
IARE505012,34,27,60,19,15,30,34,35,67,33,36,72,18,32,52,24,32,54,11,19,33,14,14,26,21,15,40,12,14,27,17,21,36,15,21,35,55,33,88,9,27,36,317,342,660
IARE505013,46,49,94,14,13,25,26,28,53,23,24,47,20,25,41,10,23,35,15,31,45,19,17,36,21,29,49,23,15,41,34,18,53,16,14,35,47,22,68,609,9,618,917,318,1234
IARE505014,56,55,107,32,36,66,31,21,57,25,48,75,20,43,58,31,34,63,18,27,43,22,28,47,32,32,61,20,30,49,30,26,52,19,23,43,103,63,169,10,15,23,450,466,919
IARE505015,123,150,275,43,59,100,85,80,159,74,93,175,46,96,144,48,106,155,41,97,140,49,92,142,76,95,169,62,64,121,67,47,117,51,15,67,210,65,274,53,50,97,1033,1114,2145
IARE505016,20,40,54,10,17,29,11,12,20,7,15,27,10,13,19,9,19,27,17,17,34,11,23,33,19,29,46,15,26,40,23,17,41,9,10,20,38,19,59,63,3,69,263,262,523
IARE505017,72,44,117,17,17,29,47,47,94,39,48,86,29,32,61,44,42,86,19,25,42,29,32,63,22,23,45,23,21,45,18,36,50,23,13,33,83,39,122,35,52,91,490,479,967
IARE505018,105,93,193,35,30,70,71,91,162,83,110,187,71,119,193,58,98,154,34,82,112,42,79,124,58,76,138,50,70,121,42,72,113,35,36,66,172,90,265,43,36,82,906,1072,1975
IARE505019,213,224,438,48,70,118,108,150,259,135,137,267,78,127,203,59,160,223,67,124,192,77,106,188,140,133,274,115,99,211,90,74,166,84,63,147,230,88,323,67,190,262,1518,1757,3275
IARE505020,80,103,186,33,35,64,71,57,126,48,72,123,29,80,107,33,73,106,34,65,98,31,47,76,44,45,94,35,32,63,38,33,67,24,14,45,74,30,108,18,19,42,600,703,1301
IARE505021,83,75,160,20,32,53,30,37,72,45,68,112,35,66,96,35,77,103,20,52,70,37,42,77,35,45,83,26,30,56,29,26,51,26,9,37,85,25,109,15,17,29,514,590,1101
IARE506001,55,50,110,14,12,31,229,215,444,37,71,109,13,39,53,21,28,44,14,12,26,8,20,28,17,16,31,22,25,47,28,19,45,32,16,43,147,34,180,27,22,46,646,588,1234
IARE506002,31,31,65,9,10,16,33,33,63,13,39,49,12,14,28,4,15,22,9,12,12,10,12,22,13,15,29,16,17,28,12,13,30,18,11,30,126,45,169,23,9,33,327,271,598
IARE506003,63,89,153,9,17,31,34,34,66,15,37,52,10,32,40,25,34,56,13,27,38,17,35,53,36,33,63,19,17,40,30,21,53,35,28,60,153,69,221,17,28,47,476,505,976
IARE506004,136,159,302,22,31,52,96,83,175,90,123,209,37,67,103,21,64,81,26,52,75,26,54,76,33,58,92,28,77,110,49,51,99,63,27,86,277,95,368,75,81,154,963,1022,1982
IARE506005,62,52,118,7,11,15,76,48,118,43,46,91,23,36,52,4,28,33,4,15,18,12,8,19,13,16,29,15,9,22,8,8,18,8,8,11,72,12,81,172,18,192,506,321,825
IARE507001,59,45,103,27,27,53,62,52,109,56,62,115,36,48,85,34,40,70,23,38,63,25,37,66,31,28,57,31,14,42,19,11,31,16,6,24,39,11,48,152,21,174,594,451,1038
IARE507002,54,43,93,14,15,22,31,26,61,51,35,87,27,46,69,34,45,80,16,20,35,14,22,39,23,20,48,18,11,34,10,17,30,10,8,22,27,7,31,21,22,46,355,329,684
IARE507003,40,52,94,15,25,39,38,56,98,43,45,85,32,72,106,31,54,82,28,38,62,25,38,64,34,30,64,15,15,28,15,15,27,18,11,27,26,26,58,124,22,148,485,501,986
IARE507004,31,17,51,3,18,21,25,30,56,21,23,44,11,17,33,12,34,54,15,14,29,16,26,43,28,14,50,10,6,16,12,6,13,7,9,15,32,4,39,12,7,20,239,239,485
IARE507005,14,8,25,3,5,9,15,5,25,9,12,23,16,12,30,15,19,28,0,8,12,6,9,14,7,6,17,6,0,6,3,3,7,3,0,4,8,0,13,14,14,26,125,109,235
IARE507006,28,41,65,14,13,26,20,22,39,17,35,54,17,26,48,11,34,44,18,16,32,13,21,38,15,16,33,20,12,29,13,8,19,15,9,22,39,14,52,15,14,22,254,264,523
IARE507007,8,14,23,7,11,11,14,20,32,18,27,45,5,20,28,0,22,21,3,17,20,10,8,14,7,9,15,8,3,9,8,4,8,3,0,3,4,0,9,11,6,26,110,149,260
IARE507008,8,13,21,3,6,8,10,14,21,10,20,30,13,21,30,3,9,11,9,11,18,13,10,19,14,11,24,10,4,17,0,0,0,0,0,3,11,0,11,19,22,41,126,139,264
IARE507009,124,141,261,27,42,68,73,87,160,82,97,182,46,92,136,52,112,164,36,62,104,41,48,93,61,60,116,38,33,71,37,22,60,34,22,60,123,51,173,34,29,63,815,893,1703
IARE507010,20,22,48,7,13,21,10,22,28,20,12,32,16,23,41,24,25,48,11,16,25,8,19,30,14,8,20,10,7,14,3,5,9,9,5,10,16,4,16,7,4,13,177,193,371
IARE507011,59,41,104,6,14,14,14,21,33,21,25,45,21,21,45,14,17,33,9,24,40,17,18,34,16,14,32,10,6,19,9,6,17,5,0,9,33,11,38,11,7,24,244,236,481
IARE507012,35,24,61,6,11,16,13,14,36,15,20,32,11,21,31,23,21,42,3,14,23,5,12,17,10,20,24,3,5,11,7,6,20,11,4,18,39,7,50,9,9,12,199,190,385
IARE507013,29,40,70,9,12,26,21,27,44,23,40,59,30,31,57,18,28,51,16,23,36,17,15,30,22,18,42,10,3,14,12,0,13,9,6,12,12,0,17,21,18,38,242,264,502
IARE507014,27,28,54,4,12,15,17,11,25,25,14,42,15,27,43,14,39,51,6,9,14,15,17,26,15,11,27,0,12,9,6,5,10,5,4,3,9,4,9,10,15,22,162,187,352
IARE507015,79,88,169,21,26,43,53,46,101,48,66,113,38,71,112,31,70,104,29,56,85,32,52,88,52,40,91,39,27,61,21,24,49,29,19,43,76,18,98,21,20,33,570,616,1190
IARE508001,45,38,80,11,5,16,71,64,131,51,47,91,61,89,154,20,42,62,16,24,40,17,18,35,14,16,34,20,26,46,16,15,31,10,14,24,13,15,31,25,23,46,388,436,819
IARE508003,25,19,52,0,12,13,192,179,373,52,68,127,14,29,43,16,28,45,4,5,10,0,4,10,3,5,5,0,4,3,0,3,0,0,0,0,3,3,3,26,21,46,348,385,735
IARE508005,21,16,39,12,16,31,143,120,266,109,136,247,37,62,98,11,19,29,7,11,22,9,8,22,14,15,23,3,8,14,4,4,8,3,0,3,9,0,10,31,17,45,413,441,859
IARE508006,16,16,37,5,7,12,79,67,153,24,23,46,11,12,26,11,24,26,12,17,22,20,10,28,0,7,4,4,3,4,4,4,6,3,0,3,0,0,0,203,70,272,393,258,644
IARE594994,27,19,46,23,24,45,215,161,373,121,100,215,50,52,102,19,30,50,15,19,35,3,10,15,6,0,10,0,7,6,9,3,14,0,0,3,12,0,19,238,176,416,749,597,1349
IARE597997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,3,9
