IARE_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
IARE503002,..,48,34,22,9,9,126,..,..,..,0,0,0,6,..,..,..,..,..,5,5,..,48,34,27,11,9,134,..,395,143,108,49,24,723,..,..,..,7,0,11,19,..,..,..,..,..,0,0,..,395,143,118,48,36,739
IARE503003,..,179,126,110,79,58,550,..,..,..,19,16,36,66,..,..,..,..,..,0,0,..,179,126,123,94,101,622,..,2642,1391,1349,582,225,6187,..,..,..,56,51,94,206,..,..,..,..,..,3,3,..,2642,1391,1405,635,322,6393
IARE503004,..,46,46,30,22,30,179,..,..,..,3,14,35,56,..,..,..,..,..,23,23,..,46,46,36,38,85,258,..,40,8,5,0,0,59,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,40,8,5,0,0,59
IARE503005,..,10,15,7,10,11,49,..,..,..,3,0,4,13,..,..,..,..,..,0,0,..,10,15,13,12,13,58,..,98,28,29,12,5,187,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,98,28,36,12,5,185
IARE503006,..,16,19,11,15,4,57,..,..,..,5,14,29,52,..,..,..,..,..,12,12,..,16,19,11,23,49,117,..,6,0,6,0,0,11,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,6,0,6,0,0,11
IARE503007,..,7,6,0,0,6,25,..,..,..,0,10,0,10,..,..,..,..,..,4,4,..,7,6,0,9,8,36,..,22,0,0,0,0,22,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,22,0,0,0,0,22
IARE504001,..,24,14,14,4,18,72,..,..,..,0,16,37,62,..,..,..,..,..,19,19,..,24,14,13,24,74,152,..,12,3,3,0,0,13,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,12,3,3,0,0,13
IARE504002,..,25,28,34,29,21,134,..,..,..,0,16,45,62,..,..,..,..,..,25,25,..,25,28,34,41,88,217,..,8,0,3,0,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,8,0,3,0,0,14
IARE504003,..,60,56,40,20,29,203,..,..,..,6,5,48,64,..,..,..,..,..,23,23,..,60,56,44,19,100,287,..,37,14,5,0,0,49,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,37,14,5,0,0,49
IARE504004,..,18,18,10,12,15,65,..,..,..,4,0,14,21,..,..,..,..,..,4,4,..,18,18,17,12,31,85,..,10,0,0,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,0,0,0,0,10
IARE504005,..,7,7,8,5,6,38,..,..,..,3,3,36,39,..,..,..,..,..,10,10,..,7,7,11,8,47,91,..,4,0,0,0,0,4,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,0,0,0,0,4
IARE504006,..,75,79,58,42,38,297,..,..,..,10,4,32,49,..,..,..,..,..,9,9,..,75,79,68,51,80,357,..,310,141,109,48,16,628,..,..,..,7,8,8,20,..,..,..,..,..,0,0,..,310,141,112,52,23,647
IARE504007,..,16,17,8,7,6,52,..,..,..,6,0,9,11,..,..,..,..,..,0,0,..,16,17,15,7,15,61,..,95,34,29,21,0,178,..,..,..,4,3,9,16,..,..,..,..,..,3,3,..,95,34,35,25,12,195
IARE504008,..,36,26,18,14,14,102,..,..,..,4,0,5,9,..,..,..,..,..,0,0,..,36,26,17,14,25,118,..,21,13,9,3,0,41,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,21,13,9,3,0,43
IARE505001,..,240,209,201,121,107,886,..,..,..,23,15,50,94,..,..,..,..,..,9,9,..,240,209,227,140,167,988,..,8961,5380,5617,2140,942,23032,..,..,..,338,428,611,1376,..,..,..,..,..,73,73,..,8961,5380,5955,2568,1626,24480
IARE505002,..,39,39,30,14,17,141,..,..,..,3,0,3,5,..,..,..,..,..,0,0,..,39,39,34,14,20,138,..,1889,967,818,249,74,3998,..,..,..,61,35,31,127,..,..,..,..,..,6,6,..,1889,967,879,282,110,4132
IARE505003,..,127,96,65,37,23,353,..,..,..,10,0,7,18,..,..,..,..,..,5,5,..,127,96,73,33,34,372,..,8269,4024,3461,986,346,17089,..,..,..,195,168,233,606,..,..,..,..,..,20,20,..,8269,4024,3659,1153,601,17710
IARE505004,..,121,110,48,38,24,343,..,..,..,15,6,0,26,..,..,..,..,..,0,0,..,121,110,64,49,27,371,..,4888,2222,1772,616,291,9782,..,..,..,115,108,158,384,..,..,..,..,..,17,17,..,4888,2222,1888,726,464,10181
IARE505005,..,130,96,85,42,27,391,..,..,..,12,3,25,41,..,..,..,..,..,4,4,..,130,96,101,44,56,434,..,8734,5435,5916,2209,814,23105,..,..,..,282,383,638,1311,..,..,..,..,..,86,86,..,8734,5435,6202,2594,1541,24502
IARE505006,..,224,197,168,80,71,736,..,..,..,20,10,34,69,..,..,..,..,..,3,3,..,224,197,188,93,114,811,..,12656,7136,7171,2342,664,29969,..,..,..,360,388,524,1281,..,..,..,..,..,66,66,..,12656,7136,7535,2732,1254,31311
IARE505007,..,85,47,39,21,11,207,..,..,..,4,4,5,10,..,..,..,..,..,0,0,..,85,47,38,27,20,215,..,5020,2088,1953,573,129,9764,..,..,..,78,77,58,213,..,..,..,..,..,0,0,..,5020,2088,2031,651,191,9980
IARE505008,..,285,249,216,109,94,950,..,..,..,15,20,53,87,..,..,..,..,..,12,12,..,285,249,236,125,157,1054,..,11081,6985,7251,3096,1493,29908,..,..,..,430,505,1013,1953,..,..,..,..,..,130,130,..,11081,6985,7686,3606,2640,31997
IARE505009,..,165,162,131,68,33,554,..,..,..,12,12,14,32,..,..,..,..,..,7,7,..,165,162,133,74,46,589,..,19008,9525,11044,3726,846,44151,..,..,..,554,491,574,1624,..,..,..,..,..,43,43,..,19008,9525,11594,4222,1473,45819
IARE505010,..,133,110,112,61,36,448,..,..,..,6,13,17,37,..,..,..,..,..,0,0,..,133,110,115,74,55,490,..,6909,3259,3316,1376,447,15318,..,..,..,212,205,262,675,..,..,..,..,..,44,44,..,6909,3259,3528,1584,754,16033
IARE505011,..,153,128,111,57,43,488,..,..,..,5,5,34,47,..,..,..,..,..,0,0,..,153,128,112,68,78,535,..,4109,2588,2500,1049,442,10685,..,..,..,121,168,332,616,..,..,..,..,..,45,45,..,4109,2588,2619,1210,815,11343
IARE505012,..,115,77,80,41,14,329,..,..,..,6,4,18,27,..,..,..,..,..,0,0,..,115,77,85,42,34,357,..,12431,6005,6724,2322,529,28008,..,..,..,249,326,463,1038,..,..,..,..,..,29,29,..,12431,6005,6969,2645,1022,29071
IARE505013,..,101,84,75,55,39,354,..,..,..,7,8,11,31,..,..,..,..,..,0,0,..,101,84,87,69,51,393,..,4957,2207,2091,853,239,10350,..,..,..,150,163,233,539,..,..,..,..,..,21,21,..,4957,2207,2241,1016,487,10912
IARE505014,..,176,65,55,27,9,321,..,..,..,3,0,6,10,..,..,..,..,..,0,0,..,176,65,57,28,15,333,..,18327,7072,7466,2785,530,36174,..,..,..,209,178,240,628,..,..,..,..,..,26,26,..,18327,7072,7670,2966,795,36828
IARE505015,..,336,313,306,185,120,1256,..,..,..,17,34,39,88,..,..,..,..,..,0,0,..,336,313,319,221,159,1345,..,14407,7612,7512,3106,1175,33809,..,..,..,428,433,632,1490,..,..,..,..,..,78,78,..,14407,7612,7944,3533,1882,35375
IARE505016,..,83,66,81,48,34,322,..,..,..,0,8,13,25,..,..,..,..,..,0,0,..,83,66,79,61,52,347,..,2955,1716,1906,865,394,7836,..,..,..,132,164,290,591,..,..,..,..,..,35,35,..,2955,1716,2041,1037,716,8456
IARE505017,..,159,89,61,24,21,350,..,..,..,9,0,10,14,..,..,..,..,..,0,0,..,159,89,68,31,28,367,..,10159,4222,3708,1061,250,19394,..,..,..,139,112,155,409,..,..,..,..,..,20,20,..,10159,4222,3845,1167,429,19826
IARE505018,..,391,213,170,75,38,884,..,..,..,19,15,24,52,..,..,..,..,..,4,4,..,391,213,187,86,63,943,..,28234,13504,13142,4100,1177,60158,..,..,..,559,617,922,2099,..,..,..,..,..,81,81,..,28234,13504,13702,4714,2189,62346
IARE505019,..,450,399,388,201,147,1590,..,..,..,32,34,109,170,..,..,..,..,..,15,15,..,450,399,419,236,271,1781,..,14440,8852,8755,3412,1529,36997,..,..,..,493,656,1106,2252,..,..,..,..,..,173,173,..,14440,8852,9247,4068,2810,39418
IARE505020,..,179,198,159,87,73,692,..,..,..,20,23,45,83,..,..,..,..,..,10,10,..,179,198,177,104,128,788,..,11127,7301,8140,3086,1262,30931,..,..,..,508,569,961,2040,..,..,..,..,..,103,103,..,11127,7301,8656,3659,2331,33071
IARE505021,..,160,164,153,96,80,659,..,..,..,16,12,21,46,..,..,..,..,..,0,0,..,160,164,170,112,101,706,..,8782,5297,5180,2086,742,22084,..,..,..,302,328,423,1049,..,..,..,..,..,31,31,..,8782,5297,5481,2419,1196,23167
IARE506001,..,56,49,68,39,40,262,..,..,..,9,18,79,105,..,..,..,..,..,57,57,..,56,49,76,65,178,419,..,334,186,194,81,36,825,..,..,..,3,4,13,17,..,..,..,..,..,0,0,..,334,186,195,90,43,844
IARE506002,..,85,45,52,29,18,223,..,..,..,0,3,0,7,..,..,..,..,..,0,0,..,85,45,50,32,16,233,..,713,311,404,176,41,1650,..,..,..,13,10,15,39,..,..,..,..,..,0,0,..,713,311,416,187,55,1697
IARE506003,..,112,99,114,57,46,425,..,..,..,7,4,17,30,..,..,..,..,..,0,0,..,112,99,122,61,61,451,..,1183,705,914,399,99,3289,..,..,..,13,23,41,78,..,..,..,..,..,8,8,..,1183,705,931,422,142,3375
IARE506004,..,261,180,145,99,80,767,..,..,..,12,9,44,74,..,..,..,..,..,6,6,..,261,180,161,106,129,843,..,1047,576,593,275,102,2595,..,..,..,17,19,27,60,..,..,..,..,..,3,3,..,1047,576,607,296,136,2661
IARE506005,..,62,56,41,35,18,204,..,..,..,7,8,24,35,..,..,..,..,..,3,3,..,62,56,49,38,39,247,..,273,136,192,90,24,721,..,..,..,0,0,9,16,..,..,..,..,..,0,0,..,273,136,198,97,33,739
IARE507001,..,149,111,90,64,33,448,..,..,..,5,0,16,27,..,..,..,..,..,3,3,..,149,111,92,67,58,474,..,5053,1763,1634,682,279,9404,..,..,..,90,77,139,308,..,..,..,..,..,22,22,..,5053,1763,1725,759,439,9737
IARE507002,..,109,72,61,31,34,309,..,..,..,4,12,5,19,..,..,..,..,..,0,0,..,109,72,62,43,41,333,..,3198,908,773,428,149,5454,..,..,..,60,43,100,206,..,..,..,..,..,3,3,..,3198,908,831,474,253,5663
IARE507003,..,147,101,79,39,35,399,..,..,..,10,11,24,42,..,..,..,..,..,5,5,..,147,101,84,47,66,445,..,4269,1525,1343,464,158,7756,..,..,..,98,54,73,228,..,..,..,..,..,4,4,..,4269,1525,1434,516,233,7989
IARE507004,..,79,81,63,30,27,290,..,..,..,5,3,11,16,..,..,..,..,..,0,0,..,79,81,67,33,43,302,..,5376,1924,2029,770,216,10315,..,..,..,88,146,137,374,..,..,..,..,..,23,23,..,5376,1924,2120,917,370,10712
IARE507005,..,41,24,21,12,10,110,..,..,..,0,0,3,9,..,..,..,..,..,0,0,..,41,24,21,14,13,116,..,974,282,273,140,42,1713,..,..,..,12,3,16,25,..,..,..,..,..,0,0,..,974,282,276,149,57,1741
IARE507006,..,90,64,82,42,26,298,..,..,..,0,3,15,25,..,..,..,..,..,0,0,..,90,64,82,41,44,318,..,3470,1420,1535,643,235,7311,..,..,..,93,107,124,328,..,..,..,..,..,16,16,..,3470,1420,1629,752,375,7653
IARE507007,..,39,28,13,14,13,113,..,..,..,8,0,0,7,..,..,..,..,..,0,0,..,39,28,19,19,13,118,..,1040,262,280,184,42,1804,..,..,..,6,7,18,34,..,..,..,..,..,0,0,..,1040,262,286,186,64,1837
IARE507008,..,30,21,20,20,13,102,..,..,..,0,3,4,6,..,..,..,..,..,0,0,..,30,21,20,22,21,114,..,825,253,310,162,48,1598,..,..,..,10,0,13,28,..,..,..,..,..,0,0,..,825,253,323,162,59,1622
IARE507009,..,323,239,197,135,82,974,..,..,..,18,23,44,95,..,..,..,..,..,0,0,..,323,239,219,157,130,1068,..,13609,4776,4353,1663,584,24987,..,..,..,269,281,391,938,..,..,..,..,..,35,35,..,13609,4776,4621,1944,1007,25963
IARE507010,..,65,47,58,23,19,206,..,..,..,4,4,0,8,..,..,..,..,..,0,0,..,65,47,56,26,22,218,..,2909,877,747,343,133,5008,..,..,..,39,48,63,151,..,..,..,..,..,0,0,..,2909,877,785,387,200,5157
IARE507011,..,81,49,36,25,18,208,..,..,..,13,6,11,31,..,..,..,..,..,0,0,..,81,49,48,33,30,244,..,2371,759,688,320,129,4265,..,..,..,70,53,112,234,..,..,..,..,..,16,16,..,2371,759,751,372,263,4512
IARE507012,..,65,49,36,29,13,198,..,..,..,5,3,7,15,..,..,..,..,..,0,0,..,65,49,40,38,17,214,..,2143,755,733,340,145,4111,..,..,..,61,50,110,218,..,..,..,..,..,5,5,..,2143,755,796,391,256,4330
IARE507013,..,91,54,39,21,24,224,..,..,..,9,0,13,21,..,..,..,..,..,4,4,..,91,54,44,21,36,245,..,1715,534,494,221,104,3074,..,..,..,23,22,51,103,..,..,..,..,..,4,4,..,1715,534,520,246,158,3182
IARE507014,..,47,41,32,18,20,147,..,..,..,0,0,14,14,..,..,..,..,..,4,4,..,47,41,32,18,35,163,..,773,260,227,111,57,1423,..,..,..,24,14,12,44,..,..,..,..,..,0,0,..,773,260,248,121,68,1473
IARE507015,..,201,170,143,84,61,656,..,..,..,13,11,30,54,..,..,..,..,..,0,0,..,201,170,159,97,87,712,..,9177,3588,3670,1551,475,18463,..,..,..,195,183,223,600,..,..,..,..,..,26,26,..,9177,3588,3861,1730,722,19086
IARE508001,..,82,45,33,28,32,220,..,..,..,8,11,39,67,..,..,..,..,..,12,12,..,82,45,45,40,84,299,..,149,47,37,8,3,248,..,..,..,4,0,6,5,..,..,..,..,..,0,0,..,149,47,39,8,11,261
IARE508003,..,47,46,39,29,26,185,..,..,..,13,3,49,63,..,..,..,..,..,11,11,..,47,46,51,32,86,257,..,10,0,0,0,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,0,0,0,0,14
IARE508005,..,67,39,31,30,24,192,..,..,..,9,23,47,81,..,..,..,..,..,38,38,..,67,39,46,59,106,315,..,43,12,8,0,0,67,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,43,12,8,0,0,67
IARE508006,..,38,28,22,12,18,116,..,..,..,0,15,19,34,..,..,..,..,..,11,11,..,38,28,22,26,47,162,..,29,5,6,4,0,41,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,29,5,9,4,0,42
IARE594994,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
IARE597997,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
