IARE_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
IARE503002,..,28,3,0,0,0,35,..,..,12,19,6,5,39,..,15,16,6,4,3,41,..,6,0,0,0,0,9,..,49,35,25,10,4,126,..,..,..,0,0,0,5,..,49,35,27,12,8,128,38,..,..,..,..,..,38,..,5,0,0,0,0,10,38,53,39,27,12,10,182,..,328,17,0,0,0,341,..,..,103,97,43,29,264,..,58,30,16,4,0,113,..,12,0,0,0,0,12,..,395,146,111,46,29,728,..,..,..,4,0,4,10,..,395,146,115,49,31,738,452,..,..,..,..,..,452,..,27,0,0,0,0,29,452,423,148,115,49,34,1220
IARE503003,..,121,9,3,0,0,135,..,..,54,81,57,49,241,..,46,60,34,29,15,178,..,6,0,0,0,0,7,..,180,130,109,85,68,567,..,..,..,11,10,22,36,..,180,130,120,93,84,607,140,..,..,..,..,..,140,..,25,6,5,0,0,32,140,207,129,125,93,88,776,..,2185,109,23,0,0,2319,..,..,1011,1218,548,198,2969,..,382,253,104,32,15,794,..,83,15,4,0,0,104,..,2651,1390,1348,583,217,6188,..,..,..,29,27,48,95,..,2651,1390,1374,609,265,6284,2578,..,..,..,..,..,2578,..,260,60,10,9,0,336,2578,2909,1449,1386,614,266,9199
IARE503004,..,32,8,6,0,0,43,..,..,11,19,19,24,71,..,9,16,10,0,10,46,..,6,5,0,0,0,14,..,49,41,34,23,29,177,..,..,..,3,5,21,33,..,49,41,34,31,56,211,46,..,..,..,..,..,46,..,4,0,0,0,0,4,46,47,41,34,31,56,263,..,36,5,0,0,0,41,..,..,6,6,0,0,10,..,3,0,0,0,0,6,..,0,0,0,0,0,0,..,40,9,8,0,0,59,..,..,..,0,0,0,0,..,40,9,8,0,0,59,70,..,..,..,..,..,70,..,0,0,0,0,0,0,70,44,9,8,0,0,131
IARE503005,..,4,3,4,0,0,13,..,..,7,6,9,5,24,..,3,3,0,3,5,16,..,0,0,0,0,0,5,..,13,16,8,10,9,46,..,..,..,0,0,5,3,..,13,16,8,8,10,56,16,..,..,..,..,..,16,..,3,0,0,0,0,3,16,14,16,8,8,10,71,..,87,3,0,0,0,95,..,..,25,32,12,5,72,..,7,5,0,0,0,17,..,4,0,0,0,0,4,..,104,32,30,12,5,188,..,..,..,0,0,0,0,..,104,32,33,12,5,185,114,..,..,..,..,..,114,..,6,0,0,0,0,6,114,105,35,33,12,5,310
IARE503006,..,9,0,0,0,0,6,..,..,8,4,11,0,26,..,6,10,3,0,6,18,..,0,3,0,0,0,3,..,14,15,9,10,7,58,..,..,..,3,9,20,28,..,14,15,7,18,27,86,13,..,..,..,..,..,13,..,0,0,0,0,0,0,13,14,15,7,18,27,98,..,5,0,0,0,0,5,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,5,0,0,0,0,12,..,..,..,0,0,0,0,..,5,0,0,0,0,12,22,..,..,..,..,..,22,..,0,0,0,0,0,0,22,12,0,0,0,0,34
IARE503007,..,3,0,0,0,0,9,..,..,0,0,4,0,5,..,0,0,0,0,0,10,..,0,5,0,0,0,5,..,9,8,0,0,5,26,..,..,..,0,5,0,5,..,9,8,0,10,3,29,8,..,..,..,..,..,8,..,0,0,0,0,0,0,8,8,8,0,10,3,39,..,18,0,0,0,0,18,..,..,0,0,0,0,3,..,5,0,0,0,0,5,..,0,0,0,0,0,0,..,20,0,0,0,0,27,..,..,..,0,0,0,0,..,20,0,0,0,0,27,29,..,..,..,..,..,29,..,0,0,0,0,0,0,29,24,0,0,0,0,49
IARE504001,..,10,0,0,0,0,10,..,..,3,7,5,10,28,..,5,9,3,3,4,27,..,0,5,0,0,0,0,..,23,14,16,7,13,75,..,..,..,0,11,27,38,..,23,14,17,15,42,113,15,..,..,..,..,..,15,..,3,0,0,0,0,5,15,25,17,17,15,46,124,..,12,0,0,0,0,12,..,..,5,0,0,0,4,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,10,5,0,0,0,18,..,..,..,0,0,0,0,..,10,5,0,0,0,18,41,..,..,..,..,..,41,..,0,0,0,0,0,4,41,13,0,0,0,0,53
IARE504002,..,8,0,0,0,0,12,..,..,23,18,18,21,79,..,9,7,12,0,9,28,..,0,0,0,0,0,11,..,19,32,38,25,24,133,..,..,..,0,9,29,38,..,19,32,38,33,50,174,21,..,..,..,..,..,21,..,0,0,0,0,0,0,21,23,32,38,33,50,194,..,7,0,0,0,0,7,..,..,0,3,0,0,9,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,11,0,3,0,0,16,..,..,..,0,0,0,0,..,11,0,3,0,0,16,33,..,..,..,..,..,33,..,3,0,0,0,0,9,33,14,9,3,0,0,52
IARE504003,..,23,7,0,0,0,36,..,..,16,17,9,15,58,..,28,25,18,9,10,96,..,5,8,3,0,0,18,..,61,56,35,15,26,202,..,..,..,5,3,34,41,..,61,56,42,20,63,238,73,..,..,..,..,..,73,..,3,0,0,0,0,3,73,64,56,42,20,63,316,..,27,0,0,0,0,32,..,..,12,4,3,0,18,..,0,5,0,0,0,6,..,4,0,0,0,0,6,..,35,13,4,3,3,61,..,..,..,0,0,0,0,..,35,13,4,3,3,61,85,..,..,..,..,..,85,..,0,0,3,0,0,4,85,36,13,4,3,3,150
IARE504004,..,13,0,0,0,0,14,..,..,8,4,7,8,26,..,3,7,3,3,3,22,..,3,3,0,0,0,3,..,21,20,9,14,11,68,..,..,..,0,0,7,9,..,21,20,14,14,19,79,12,..,..,..,..,..,12,..,0,0,0,0,0,0,12,21,20,14,14,19,90,..,10,0,0,0,0,10,..,..,0,0,0,0,6,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,10,0,0,0,0,9,..,..,..,0,0,0,0,..,10,0,0,0,0,9,6,..,..,..,..,..,6,..,0,0,0,0,0,0,6,10,0,0,0,0,15
IARE504005,..,3,0,0,0,0,3,..,..,3,0,9,4,16,..,3,4,4,0,0,17,..,0,0,0,0,0,0,..,7,8,8,6,4,41,..,..,..,0,0,20,25,..,7,8,7,13,27,61,12,..,..,..,..,..,12,..,0,0,0,0,0,0,12,7,8,7,13,27,68,..,5,0,0,0,0,5,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,5,0,0,0,0,5,..,..,..,0,0,0,0,..,5,0,0,0,0,5,9,..,..,..,..,..,9,..,0,0,0,0,0,0,9,5,0,0,0,0,14
IARE504006,..,43,5,0,0,0,47,..,..,32,33,23,20,116,..,24,41,23,18,13,123,..,14,3,0,0,0,18,..,77,79,58,45,34,301,..,..,..,5,3,23,34,..,77,79,67,45,60,331,61,..,..,..,..,..,61,..,10,4,0,0,0,8,61,86,81,69,45,60,407,..,283,20,0,0,0,300,..,..,100,104,48,11,258,..,28,20,4,4,0,59,..,10,0,0,0,0,9,..,316,139,113,51,11,629,..,..,..,3,4,3,11,..,316,139,114,51,16,638,302,..,..,..,..,..,302,..,33,10,4,4,0,55,302,355,149,113,56,16,993
IARE504007,..,12,3,0,0,0,14,..,..,0,6,8,5,18,..,0,9,6,0,0,14,..,0,7,0,0,0,3,..,12,15,11,6,5,52,..,..,..,3,0,5,6,..,12,15,12,6,9,59,13,..,..,..,..,..,13,..,0,0,0,0,0,4,13,16,15,12,6,9,72,..,87,3,0,0,0,97,..,..,29,27,18,0,70,..,5,3,0,0,0,6,..,0,0,0,0,0,0,..,94,36,25,21,0,176,..,..,..,6,5,7,12,..,94,36,33,23,4,193,51,..,..,..,..,..,51,..,8,0,0,0,0,7,51,103,36,30,23,7,248
IARE504008,..,14,0,0,0,0,14,..,..,10,17,3,15,42,..,15,18,7,5,0,39,..,3,0,0,0,0,9,..,37,24,16,13,18,103,..,..,..,0,0,5,7,..,37,24,20,13,21,110,32,..,..,..,..,..,32,..,3,0,0,0,0,3,32,39,24,20,13,21,142,..,13,0,0,0,0,12,..,..,4,3,4,0,19,..,6,0,0,0,0,10,..,0,0,0,0,0,0,..,19,10,7,4,0,42,..,..,..,0,0,0,0,..,19,10,7,4,0,42,39,..,..,..,..,..,39,..,0,0,0,0,0,0,39,17,10,7,4,0,78
IARE505001,..,144,33,3,0,0,180,..,..,93,130,81,69,377,..,84,84,77,41,37,325,..,17,13,0,0,0,29,..,244,225,208,127,108,907,..,..,..,15,16,34,65,..,244,225,227,136,146,978,156,..,..,..,..,..,156,..,38,7,4,0,5,49,156,278,229,232,136,147,1182,..,7069,375,54,15,0,7509,..,..,3709,5060,1961,862,11594,..,1643,1227,482,167,74,3604,..,285,64,10,0,4,365,..,8994,5382,5610,2143,938,23067,..,..,..,164,211,321,697,..,8994,5382,5773,2350,1262,23769,6799,..,..,..,..,..,6799,..,676,95,22,6,4,806,6799,9670,5479,5796,2360,1264,31370
IARE505002,..,22,7,0,0,0,28,..,..,15,20,10,13,53,..,10,16,14,3,9,52,..,7,0,0,0,0,9,..,42,40,33,15,17,138,..,..,..,0,0,0,4,..,42,40,35,15,18,138,26,..,..,..,..,..,26,..,9,0,0,0,0,11,26,48,42,32,16,21,176,..,1492,66,3,0,0,1566,..,..,662,763,223,68,1716,..,333,225,56,18,7,634,..,73,13,0,0,0,89,..,1897,969,822,250,78,4008,..,..,..,31,16,16,65,..,1897,969,849,264,89,4075,1876,..,..,..,..,..,1876,..,155,41,11,8,0,218,1876,2054,1013,861,271,90,6164
