IARE_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE504002,0,0,0,5,29,38,70,0,0,7,35,29,63,70,67,136,142,118,265,9,13,15,35,29,63,183,161,342
IARE504003,0,0,0,0,51,42,92,0,5,7,82,70,152,134,119,250,177,173,348,12,18,35,87,73,160,273,270,544
IARE504004,0,0,0,0,43,35,71,0,0,0,12,12,19,49,42,94,92,67,160,3,0,7,12,12,19,110,79,181
IARE504005,0,0,0,0,7,8,20,0,0,0,13,14,22,17,21,42,39,49,84,0,0,4,13,14,22,49,60,112
IARE504006,0,9,14,26,56,44,102,14,16,25,331,365,699,400,424,821,227,244,468,277,279,561,337,371,706,843,892,1740
IARE504007,0,5,0,6,16,14,33,6,0,9,130,107,235,153,130,283,33,42,77,61,95,152,133,107,242,230,243,474
IARE504008,0,0,0,0,20,9,34,3,0,3,52,44,97,78,63,137,74,66,139,13,13,25,52,44,97,141,130,263
IARE505001,4,391,604,999,47,39,86,504,527,1034,2143,1746,3889,2697,2312,5014,541,592,1136,11903,12679,24587,2172,1761,3939,14626,15041,29664
IARE505002,0,67,78,137,8,10,19,72,65,140,411,312,717,485,387,873,85,68,152,1699,1765,3465,410,313,730,2198,2144,4345
IARE505003,0,317,384,705,8,18,28,286,283,571,1344,1084,2429,1645,1385,3028,182,172,354,7531,7724,15255,1362,1092,2459,9080,8991,18069
IARE505004,4,246,267,512,30,18,43,262,316,581,1294,1009,2301,1580,1334,2918,183,201,378,4621,4922,9543,1310,1024,2330,6112,6144,12256
IARE505005,0,518,616,1134,19,18,38,449,457,904,1649,1290,2943,2117,1764,3885,227,278,508,14092,14081,28175,1686,1321,3002,16003,15676,31675
IARE505006,0,433,567,1002,29,26,59,453,461,915,2605,1826,4432,3082,2317,5402,438,426,865,13800,15060,28864,2626,1863,4491,16866,17349,34215
IARE505007,0,133,189,325,15,4,17,203,250,450,1051,841,1899,1268,1096,2372,113,123,233,4085,4851,8936,1070,852,1916,5271,5820,11091
IARE505008,4,639,768,1406,380,136,513,1438,930,2371,2527,2124,4646,4342,3187,7535,869,666,1534,17172,17462,34628,2577,2165,4742,20621,20292,40907
IARE505009,5,544,757,1303,11,4,20,482,565,1045,2349,1615,3960,2844,2190,5028,267,279,548,20433,20930,41370,2403,1683,4084,23112,22891,45999
IARE505010,5,204,266,470,27,30,59,259,278,541,1096,831,1931,1387,1136,2521,291,296,585,6934,7262,14196,1122,850,1971,8347,8413,16762
IARE505011,3,211,293,509,508,12,523,922,202,1128,1077,815,1889,2511,1029,3543,806,292,1096,6258,5871,12123,1094,836,1924,8160,6993,15150
IARE505012,0,308,466,770,15,35,50,382,450,835,1518,1261,2780,1919,1754,3668,176,203,377,13680,14412,28094,1547,1294,2835,15404,15906,31307
IARE505013,0,119,209,331,601,6,614,1455,213,1673,877,630,1504,2941,850,3785,787,208,991,5547,4532,10079,895,649,1540,7227,5381,12607
IARE505014,7,627,829,1459,15,4,20,569,602,1172,3829,3003,6832,4416,3611,8023,245,269,516,19717,20758,40474,3862,3037,6904,23823,24069,47895
IARE505015,5,520,739,1257,47,40,85,672,817,1486,3549,2466,6011,4269,3316,7585,746,787,1534,16382,17804,34184,3601,2515,6116,20723,21108,41835
IARE505016,0,122,172,291,61,0,65,414,133,548,686,489,1174,1163,631,1796,242,184,422,4341,4314,8658,710,498,1209,5287,5001,10292
IARE505017,0,370,443,814,38,42,79,540,822,1355,1812,1544,3355,2384,2410,4793,303,249,546,10014,10431,20439,1827,1568,3389,12139,12238,24382
IARE505018,14,1001,1455,2453,46,42,83,1005,1155,2167,4904,4236,9139,5954,5432,11387,446,455,901,28333,30630,58963,4976,4314,9290,33755,35406,69161
IARE505019,0,649,930,1575,73,203,275,749,976,1728,3284,2466,5749,4102,3649,7753,1016,1167,2184,19041,19943,38991,3342,2528,5871,23401,23632,47038
IARE505020,0,519,754,1279,34,32,63,703,735,1432,2026,1444,3471,2763,2208,4972,373,440,809,16506,17584,34094,2061,1492,3556,18948,19513,38458
IARE505021,3,357,545,905,14,13,32,351,419,772,2032,1476,3511,2400,1913,4313,439,423,862,11084,11818,22903,2074,1506,3580,13595,13751,27346
IARE506001,0,11,39,53,28,27,56,49,28,81,1670,531,2203,1748,593,2339,249,233,486,551,518,1065,1672,535,2213,2468,1292,3765
IARE506002,0,24,40,61,26,7,31,73,54,123,973,556,1528,1070,620,1691,130,138,264,902,888,1792,986,577,1555,2011,1595,3610
IARE506003,0,41,73,112,29,28,62,56,47,101,1318,1038,2354,1403,1114,2521,280,295,575,1820,1900,3721,1329,1046,2371,3434,3241,6673
IARE506004,3,58,86,142,71,92,165,64,63,126,1177,910,2085,1316,1064,2380,494,523,1019,1291,1425,2713,1181,914,2098,2961,2865,5828
IARE506005,0,7,10,23,177,18,193,52,27,78,610,309,919,830,355,1185,295,107,402,466,412,879,610,313,928,1374,835,2209
IARE507001,4,129,163,297,173,40,208,429,260,686,879,742,1619,1475,1033,2514,382,260,637,4065,4212,8271,899,757,1654,5344,5221,10571
IARE507002,0,48,69,113,18,15,35,504,154,659,1178,999,2177,1703,1170,2866,175,171,343,2133,1974,4104,1200,1027,2229,3507,3169,6681
IARE507003,4,95,143,240,124,21,152,587,222,816,873,763,1642,1589,1013,2607,323,232,554,3369,3279,6653,891,787,1677,4582,4299,8882
IARE507004,0,104,178,286,9,12,19,223,218,437,1046,870,1919,1277,1099,2374,163,168,331,4273,4572,8845,1070,898,1961,5503,5645,11146
IARE507005,0,13,12,30,12,16,26,59,54,110,559,385,945,635,455,1089,54,66,120,611,629,1236,572,393,959,1236,1082,2321
IARE507006,0,102,96,197,6,11,13,154,131,281,689,490,1184,847,630,1478,169,161,327,3292,3377,6672,703,508,1214,4169,4048,8216
IARE507007,0,11,29,40,7,3,15,50,35,78,379,336,714,435,368,807,62,68,128,545,636,1179,388,335,720,992,1038,2030
IARE507008,0,15,19,28,13,30,45,56,45,102,278,264,540,350,336,685,58,97,163,581,639,1223,279,274,557,923,1014,1939
IARE507009,0,305,472,779,38,34,69,686,806,1495,2531,1928,4461,3251,2772,6024,545,593,1139,9517,10861,20380,2569,1976,4552,12634,13431,26071
IARE507010,0,52,73,123,8,10,23,221,152,376,800,731,1530,1033,893,1926,109,123,234,1962,1944,3908,827,754,1580,2898,2825,5719
IARE507011,0,33,61,92,9,12,22,133,131,266,801,589,1393,946,732,1677,143,133,280,1482,1612,3091,831,614,1440,2453,2361,4815
IARE507012,0,17,59,76,10,7,17,165,154,317,564,484,1055,738,647,1386,106,106,213,1644,1884,3530,577,502,1078,2326,2490,4819
IARE507013,0,18,43,59,23,19,40,144,136,282,615,569,1187,776,730,1508,125,135,256,1200,1305,2504,627,584,1211,1954,2023,3976
IARE507014,0,15,31,42,13,13,30,38,36,74,325,302,628,377,350,725,105,103,218,567,627,1189,332,304,634,1009,1033,2039
IARE507015,0,197,321,514,26,20,52,461,478,941,2330,1875,4205,2819,2381,5201,345,397,737,7767,8319,16091,2381,1922,4304,10491,10639,21126
IARE508001,0,4,5,7,23,32,53,11,16,22,331,394,724,363,435,799,153,161,321,94,86,181,331,388,721,573,641,1219
IARE508003,0,0,0,0,15,16,26,3,0,7,11,3,15,28,18,51,157,138,299,6,3,10,11,3,15,171,151,321
IARE508005,0,3,4,3,26,18,41,5,0,6,53,62,110,81,82,160,135,140,280,28,31,58,53,62,110,211,234,447
IARE508006,0,4,0,3,176,36,212,14,6,16,63,44,109,248,94,340,278,138,418,18,22,41,67,44,113,363,206,572
IARE594994,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
IARE597997,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
