IARE_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE503002,30,479,9,514,20,174,0,199,48,461,3,517,12,108,0,117,14,63,5,85,3,8,0,12,18,42,474,529,148,1338,491,1974,42,437,3,482,31,147,3,178,42,348,5,400,15,63,0,82,6,34,4,41,0,3,0,0,17,21,323,361,160,1056,337,1546,68,916,5,993,52,323,8,381,97,808,12,913,25,179,0,203,23,97,10,128,0,8,0,12,33,63,794,892,301,2397,827,3523
IARE503003,196,4439,14,4650,79,1298,12,1396,284,2897,19,3201,53,466,3,524,54,229,0,286,22,47,0,72,76,233,1106,1412,777,9595,1155,11534,172,4942,12,5134,92,1016,0,1117,214,2045,13,2270,45,304,8,354,32,227,3,260,8,34,3,46,80,190,856,1130,652,8759,896,10308,374,9384,31,9785,172,2316,19,2505,505,4938,31,5474,99,772,7,878,86,455,4,541,34,76,3,113,159,419,1960,2544,1427,18358,2050,21839
IARE503004,63,211,0,268,70,63,0,131,112,86,0,202,28,17,0,44,36,11,0,48,9,5,0,12,30,7,376,413,339,406,376,1123,67,104,0,173,66,27,0,92,126,36,0,161,32,0,0,30,56,0,0,55,14,0,0,14,34,5,114,158,391,170,121,674,124,311,0,444,137,87,0,223,238,122,0,362,59,20,0,78,89,9,0,100,20,5,0,24,65,12,490,577,724,576,498,1801
IARE503005,19,330,0,360,15,86,0,101,28,175,0,205,6,37,5,42,6,14,0,23,9,5,0,7,0,24,458,484,84,673,462,1220,19,193,0,214,15,41,0,62,28,87,0,116,10,11,0,19,11,14,0,24,7,0,0,4,3,12,132,148,91,351,135,582,39,525,0,564,31,131,0,158,62,262,0,320,11,44,5,64,16,21,0,47,11,9,0,17,7,30,591,631,183,1026,595,1799
IARE503006,19,21,0,36,21,0,0,21,49,4,0,56,28,0,0,31,29,0,0,25,0,0,0,0,7,0,7,15,144,31,7,189,24,18,0,42,28,3,0,29,59,0,0,65,23,0,0,26,25,0,0,25,9,0,0,9,10,0,8,22,176,25,9,211,39,39,0,76,48,3,0,50,108,8,0,116,51,0,0,57,54,0,0,54,12,0,0,12,19,0,16,35,321,55,16,395
IARE503007,12,77,0,90,3,20,0,19,15,36,0,59,0,9,0,10,5,9,0,8,0,0,0,0,8,3,108,116,44,149,104,305,9,34,0,42,0,3,0,4,29,7,0,34,4,0,0,3,10,0,0,12,0,0,0,0,4,7,35,38,53,58,35,143,21,106,0,128,0,23,0,29,47,42,0,93,3,9,0,16,15,10,0,23,0,0,0,0,7,10,137,158,98,214,142,447
IARE504001,33,53,0,84,28,8,0,39,63,16,0,84,19,6,0,26,32,0,0,34,17,0,0,14,13,5,27,38,205,94,26,328,32,55,0,95,31,6,0,38,72,7,0,81,10,0,0,12,23,0,0,23,9,0,0,9,11,0,24,38,192,72,24,297,70,112,0,180,60,15,0,81,136,24,0,168,27,6,0,36,52,0,0,53,25,0,0,23,24,5,52,83,398,168,55,620
IARE504002,42,31,0,76,53,3,0,61,87,20,0,108,33,0,0,39,50,0,0,53,7,0,0,7,30,0,28,57,308,65,25,399,62,51,0,116,66,7,0,75,112,4,0,115,26,0,0,27,40,0,0,40,9,0,0,9,22,3,21,43,333,64,25,420,106,89,0,186,122,11,0,131,200,22,0,227,55,0,0,57,92,0,0,91,20,0,0,20,44,3,52,100,636,128,50,816
IARE504003,57,83,7,145,42,20,0,56,107,28,3,140,25,0,0,25,52,5,0,54,15,0,0,12,35,3,66,101,323,135,83,538,85,92,3,182,50,9,4,66,134,21,3,160,46,0,0,45,52,0,0,50,8,0,0,9,35,6,57,102,418,129,72,612,144,174,13,332,94,27,4,123,243,43,10,301,69,0,0,71,97,3,0,101,24,0,3,23,72,8,126,200,737,260,155,1155
IARE504004,12,12,0,33,14,7,0,17,29,9,0,38,10,4,0,13,6,0,0,12,6,0,0,6,31,0,9,40,120,34,9,161,18,7,0,35,10,0,0,16,45,0,0,54,10,0,0,8,9,0,0,9,3,0,0,3,18,0,3,27,115,13,6,142,39,25,0,61,27,5,0,34,74,13,6,91,20,0,0,26,15,0,0,14,11,0,0,11,51,0,13,64,238,46,19,298
IARE504005,15,10,0,25,26,5,0,33,46,0,0,49,10,0,0,13,11,0,0,11,0,0,0,0,0,0,13,13,111,10,13,134,20,9,0,31,40,0,0,41,44,0,0,46,19,0,0,19,4,0,0,4,0,0,0,0,0,0,14,14,125,15,14,149,36,18,0,53,62,5,0,72,97,4,0,99,31,0,0,34,18,0,0,18,0,0,0,0,0,0,22,22,238,23,22,283
IARE504006,84,562,7,650,53,101,0,153,98,253,3,363,28,53,0,81,42,33,0,71,4,9,0,17,40,20,271,343,361,1027,286,1675,99,777,7,882,79,96,0,170,131,157,4,293,43,34,0,72,44,3,0,50,11,0,0,11,60,13,293,369,468,1085,305,1858,186,1338,9,1536,128,197,0,322,232,409,7,655,71,84,0,158,91,36,0,128,16,8,0,29,108,34,572,711,830,2110,595,3529
IARE504007,16,170,3,194,12,33,0,50,22,87,0,110,6,14,0,27,12,14,0,25,0,0,0,0,4,13,110,129,77,331,121,534,10,189,5,204,9,27,0,33,26,56,0,84,9,5,0,17,10,0,0,10,3,0,0,4,10,5,79,93,71,280,88,440,31,361,4,394,20,66,3,87,49,141,0,191,15,23,0,38,19,14,0,32,3,6,0,7,17,17,194,221,155,613,203,971
IARE504008,32,51,0,74,13,10,0,26,42,30,0,71,17,6,0,28,21,3,0,23,0,0,0,0,13,3,47,63,140,104,47,290,45,48,0,89,32,4,4,39,44,10,0,55,13,5,0,18,10,3,0,17,0,0,0,0,7,0,41,52,157,71,48,274,72,95,0,167,48,12,4,62,88,44,0,132,33,11,0,39,31,11,0,37,3,0,0,3,25,3,91,121,297,170,89,563
IARE505001,243,17768,39,18054,109,3234,16,3368,243,7401,40,7675,75,1254,13,1342,40,743,3,792,13,213,0,222,39,529,1782,2355,768,31149,1892,33806,316,20149,54,20519,117,3209,22,3350,245,6881,37,7160,55,1146,16,1214,31,792,13,828,5,248,7,250,33,570,1388,1995,804,32992,1531,35330,563,37919,90,38573,231,6447,43,6717,485,14278,76,14839,130,2401,27,2562,72,1536,14,1621,14,459,6,477,75,1099,3168,4345,1568,64140,3422,69134
IARE505002,49,3447,9,3500,12,508,0,528,36,1153,9,1205,14,192,0,206,3,175,4,185,0,36,0,37,3,97,350,449,115,5621,373,6109,57,4017,7,4085,17,460,5,482,34,1151,7,1199,10,182,0,197,7,236,0,247,5,44,0,46,4,96,266,369,135,6186,300,6620,102,7461,16,7585,32,969,3,1003,77,2308,19,2402,24,378,0,403,9,421,4,431,3,81,0,87,9,191,617,817,254,11812,670,12733
IARE505003,154,17115,31,17301,35,1969,5,2009,79,3925,18,4023,14,759,8,781,24,828,4,861,5,222,0,229,10,392,1211,1608,323,25207,1275,26808,166,17942,36,18140,55,1737,9,1802,85,4071,18,4172,16,759,3,773,28,1129,0,1159,5,324,4,330,15,460,961,1433,374,26417,1027,27822,322,35059,66,35447,93,3708,9,3812,169,7994,40,8197,32,1517,11,1560,54,1959,4,2015,6,547,4,560,23,849,2171,3039,694,51627,2307,54626
IARE505004,139,10285,27,10458,56,1368,6,1428,100,2717,13,2831,23,514,5,537,22,461,0,481,3,176,0,183,14,365,1156,1533,356,15885,1213,17457,170,10418,23,10615,65,1185,8,1254,106,2492,11,2610,23,477,17,516,18,582,0,599,6,175,0,187,21,395,885,1298,412,15733,937,17085,315,20707,51,21073,118,2548,13,2684,201,5215,26,5438,48,986,17,1055,41,1043,0,1082,11,354,0,368,29,756,2038,2834,773,31614,2150,34534
IARE505005,147,26000,54,26200,46,2148,11,2200,113,4388,28,4529,19,811,4,839,16,871,8,893,8,284,0,292,15,591,1487,2095,358,35097,1594,37044,162,26133,57,26351,53,2079,9,2142,122,4639,16,4782,36,874,11,910,16,1060,12,1086,11,425,0,433,11,633,1130,1780,413,35838,1227,37480,307,52133,107,52550,95,4232,16,4340,231,9029,42,9308,59,1685,12,1750,26,1928,23,1978,15,709,0,726,30,1227,2619,3869,768,70933,2823,74519
IARE505006,256,25536,63,25855,95,3999,17,4116,178,8191,38,8402,48,1354,7,1411,28,1219,7,1253,9,248,0,260,17,649,2338,2998,636,41187,2472,44301,331,28823,55,29207,99,3598,12,3712,198,7603,34,7836,42,1318,17,1376,26,1381,12,1413,5,323,0,329,19,751,1594,2365,722,43797,1714,46236,588,54359,116,55065,196,7602,24,7828,379,15793,71,16243,90,2674,22,2790,56,2594,22,2669,12,567,3,584,38,1395,3928,5363,1363,84981,4189,90539
IARE505007,85,10410,35,10526,20,1004,6,1031,52,1951,10,2012,14,323,4,333,12,388,3,403,0,74,0,78,15,322,958,1294,194,14463,1014,15668,102,11887,37,12023,29,845,7,883,39,1897,8,1947,18,308,5,323,13,485,8,504,0,99,0,102,11,427,751,1184,213,15945,812,16968,191,22292,66,22545,51,1840,10,1906,92,3845,19,3956,26,628,5,661,21,873,7,903,5,174,0,179,21,755,1706,2478,409,30412,1821,32636
IARE505008,313,26066,75,26446,117,3863,22,4005,515,9425,42,9980,79,1722,8,1809,65,1509,7,1582,35,761,8,800,65,971,2130,3176,1185,44321,2290,47793,370,27436,65,27866,139,3693,15,3852,388,8709,35,9127,69,1597,9,1675,46,1652,15,1716,8,903,0,916,38,982,1728,2749,1067,44968,1866,47899,681,53499,140,54315,260,7554,38,7857,899,18132,72,19103,149,3319,18,3484,113,3166,23,3294,39,1665,4,1713,105,1958,3858,5920,2247,89290,4158,95694
IARE505009,209,38288,99,38592,43,5443,15,5500,107,11160,40,11308,28,1501,6,1532,15,747,4,767,0,132,8,145,7,683,2166,2857,421,57949,2339,60708,209,41716,98,42022,51,5217,18,5285,98,10952,50,11111,15,1419,14,1446,14,1013,10,1031,7,178,0,183,11,852,1430,2293,394,61347,1622,63360,412,79998,199,80617,95,10655,32,10784,211,22121,91,22419,40,2914,22,2975,26,1754,17,1798,4,316,10,329,19,1536,3599,5147,809,119299,3960,124072
IARE505010,137,11603,29,11772,49,2267,3,2327,111,5087,23,5218,32,875,8,910,12,534,3,555,7,112,0,123,14,305,961,1278,361,20795,1029,22186,166,13297,33,13499,67,2142,6,2218,108,4736,15,4860,25,719,5,755,15,538,8,561,0,133,0,136,16,411,726,1155,406,21984,788,23175,304,24904,59,25270,110,4416,11,4540,218,9820,35,10076,59,1592,12,1665,29,1075,7,1119,10,244,6,259,30,710,1683,2428,770,42774,1820,45359
IARE505011,183,8279,21,8474,46,1688,9,1745,514,4075,18,4600,38,649,3,695,53,387,4,444,50,97,0,153,25,351,896,1270,907,15528,949,17385,191,9339,24,9555,69,1538,4,1615,132,3338,14,3485,37,564,3,604,21,406,6,435,3,111,0,116,15,265,651,926,467,15561,704,16734,371,17620,39,18029,121,3224,17,3363,648,7407,30,8086,80,1217,9,1303,68,800,8,882,49,210,5,261,38,620,1545,2194,1376,31090,1651,34116
IARE505012,134,28340,67,28544,38,2365,11,2413,64,5001,24,5093,24,771,8,804,16,617,3,634,0,139,0,140,10,582,1388,1976,290,37813,1501,39601,172,31040,57,31269,26,2554,12,2595,81,6149,44,6270,21,930,8,957,7,954,13,976,3,210,0,211,17,766,1161,1942,329,42603,1293,44227,307,59378,132,59813,67,4923,21,5006,145,11150,67,11361,43,1702,16,1764,24,1571,19,1615,3,347,0,357,29,1340,2546,3917,621,80414,2795,83829
IARE505013,171,7685,33,7888,44,1577,8,1634,561,4431,14,5008,14,596,11,619,37,375,0,413,36,107,0,149,17,457,781,1258,887,15239,850,16965,156,8834,37,9025,39,1509,6,1552,70,3423,16,3506,18,521,9,538,12,349,6,361,0,39,0,41,8,275,554,840,296,14949,624,15864,326,16520,68,16916,83,3086,19,3186,627,7854,37,8518,34,1114,13,1160,44,726,9,781,37,147,0,196,23,736,1333,2096,1176,30184,1472,32836
IARE505014,267,47572,111,47954,37,2484,13,2530,60,4019,21,4098,16,656,4,682,12,536,3,553,10,173,5,186,18,849,3583,4452,415,56291,3743,60452,285,49322,100,49715,42,2381,8,2434,72,4738,22,4832,10,695,6,715,7,782,8,803,3,260,0,259,14,931,2773,3721,431,59114,2930,62475,556,96897,209,97661,73,4870,23,4969,128,8757,47,8931,26,1355,15,1391,25,1312,16,1354,12,433,5,449,29,1784,6361,8167,844,115407,6670,122925
IARE505015,361,22318,84,22764,148,5920,26,6088,304,12520,64,12888,68,2040,14,2121,33,1010,11,1053,7,152,5,161,38,791,3077,3903,960,44747,3280,48987,429,26398,82,26905,155,5810,19,5975,294,12173,59,12529,90,1927,14,2030,25,1118,18,1157,0,157,3,166,37,1001,1998,3034,1030,48583,2190,51797,793,48715,165,49671,300,11727,39,12068,597,24696,123,25412,157,3970,27,4152,61,2125,30,2216,11,311,5,327,79,1788,5077,6941,1983,93326,5469,100781
IARE505016,84,4948,18,5051,27,1375,10,1413,99,3238,15,3351,11,570,5,585,4,243,4,253,12,45,0,51,5,189,594,789,242,10607,638,11487,122,6225,19,6372,40,1346,7,1381,67,2702,14,2776,10,368,3,385,0,177,0,181,0,25,0,27,3,152,406,556,242,10995,446,11683,203,11175,35,11419,60,2720,16,2797,164,5936,31,6127,28,939,4,971,4,415,3,434,12,70,0,81,10,342,999,1347,482,21603,1087,23169
IARE505017,227,23291,43,23561,39,1809,3,1855,94,3434,16,3543,18,530,5,553,13,434,0,456,3,150,3,159,36,745,1683,2467,434,30401,1761,32595,185,24299,47,24531,68,1781,9,1859,113,3691,9,3818,22,601,5,625,19,613,11,643,6,202,3,211,25,1100,1419,2546,441,32286,1510,34237,413,47588,95,48098,114,3591,14,3714,203,7129,32,7361,42,1130,4,1178,36,1049,12,1101,7,352,10,371,66,1845,3104,5009,869,62686,3270,66828
IARE505018,386,62292,141,62815,108,5754,23,5885,217,11616,48,11883,55,2113,18,2194,37,2508,22,2565,11,850,6,868,30,1462,4376,5875,843,86594,4644,92084,493,67531,156,68183,118,5837,25,5979,255,13141,65,13457,59,2462,23,2538,47,3466,31,3546,13,1146,5,1162,32,1724,3739,5500,1020,95310,4042,100367,878,129819,300,130998,223,11597,46,11866,473,24759,114,25341,117,4569,39,4726,84,5974,52,6108,24,1998,10,2027,68,3185,8113,11372,1861,181904,8688,192448
IARE505019,530,29544,77,30157,197,5420,18,5637,420,11674,45,12137,107,1958,15,2079,63,1421,19,1509,14,504,6,514,57,907,2818,3788,1396,51429,2999,55817,623,33025,76,33729,206,5254,15,5478,559,10872,55,11479,96,1773,14,1889,69,1674,12,1761,24,701,4,723,51,1014,2043,3115,1632,54317,2224,58168,1156,62571,156,63885,410,10675,26,11112,977,22545,96,23619,206,3732,32,3968,135,3099,33,3265,33,1201,4,1238,109,1925,4858,6902,3024,105747,5214,113985
IARE505020,209,25218,61,25483,76,4234,13,4322,177,8691,36,8901,41,1496,7,1542,21,1208,9,1236,5,628,8,643,19,743,1722,2482,546,42218,1857,44622,267,28178,51,28496,101,3942,10,4049,187,8072,39,8296,46,1382,8,1431,20,1533,4,1564,5,823,3,840,20,882,1182,2076,649,44814,1296,46755,475,53399,109,53982,174,8175,21,8372,368,16761,74,17199,86,2879,17,2981,47,2741,15,2798,18,1454,10,1485,39,1624,2902,4559,1192,87031,3150,91374
IARE505021,194,16668,56,16913,61,3255,10,3334,135,6342,32,6507,41,963,4,1006,11,465,0,473,6,107,5,117,14,465,1740,2220,463,28260,1843,30571,219,19782,64,20060,84,3295,11,3390,171,6120,21,6307,40,957,7,1002,15,540,3,563,8,164,0,175,18,549,1214,1779,555,31395,1327,33275,412,36444,120,36972,145,6549,23,6722,305,12460,52,12817,77,1916,16,2001,29,1001,8,1037,14,270,5,288,31,1014,2958,4001,1011,59655,3173,63846
IARE506001,198,1689,16,1905,103,449,5,559,178,752,3,936,50,104,0,155,54,23,0,83,15,18,0,30,29,68,1610,1703,625,3102,1636,5357,220,1112,6,1336,97,178,0,278,120,260,0,384,45,31,0,76,47,20,0,65,13,15,0,26,21,38,469,524,562,1651,475,2686,417,2797,22,3233,195,633,5,831,305,1005,6,1315,90,135,0,232,99,46,0,151,29,27,0,55,43,109,2074,2230,1183,4750,2114,8048
IARE506002,107,1723,6,1841,48,519,4,568,102,908,9,1013,18,129,0,145,18,48,0,68,6,22,0,34,14,81,857,955,317,3424,877,4615,114,1711,9,1834,44,288,0,328,57,517,3,580,5,67,0,73,13,33,0,44,9,9,0,20,13,46,462,519,260,2663,473,3398,220,3428,21,3671,89,802,4,897,159,1421,12,1594,19,195,0,219,30,81,0,112,16,36,0,47,29,129,1314,1476,577,6083,1356,8011
IARE506003,168,2769,9,2943,86,646,4,737,127,1156,6,1293,31,150,0,179,20,48,3,73,3,13,0,22,10,69,1065,1137,446,4856,1082,6376,179,3047,15,3238,102,436,0,535,129,683,4,810,22,83,0,108,9,49,0,55,4,11,0,12,26,41,796,868,460,4347,819,5631,344,5809,22,6183,184,1086,6,1279,252,1843,3,2099,51,234,0,287,29,97,3,125,5,28,0,35,31,108,1862,2000,905,9205,1902,12007
