IARE_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE503003,20,3676,1500,5176,24,23,44,169,259,427,0,0,3,191,282,472,718,751,1469,9778,9073,18849,64,42,107,10562,9867,20428,222,187,411,2467,2263,4727,5,8,9,2696,2459,5153,407,396,806,6014,5398,11415,41,33,74,6465,5831,12292,417,431,847,5414,5154,10567,15,18,32,5849,5599,11453
IARE503004,0,142,49,187,0,4,8,8,7,13,0,0,0,11,13,22,436,456,899,308,122,429,5,4,6,747,579,1334,52,63,118,105,60,162,5,0,0,159,125,285,378,376,756,195,58,254,0,0,0,574,438,1011,85,110,200,205,120,324,0,5,3,292,232,527
IARE503005,0,257,63,325,0,0,7,21,9,28,0,0,0,26,11,36,97,105,202,553,304,860,4,0,8,657,413,1066,23,27,45,195,124,320,0,0,0,216,153,367,77,84,159,297,149,449,3,3,3,373,234,610,37,39,74,405,251,653,0,0,0,443,287,730
IARE503006,0,12,3,19,0,4,4,0,0,0,0,0,0,0,4,4,182,199,380,25,18,49,0,0,0,207,222,423,20,18,40,6,6,15,0,0,0,25,24,51,165,197,362,11,6,25,0,0,0,175,203,383,18,8,25,15,20,37,0,0,0,38,32,70
IARE503007,0,62,16,79,0,0,0,4,4,3,0,0,0,4,3,4,54,69,124,116,53,173,0,0,0,174,116,294,10,3,15,43,20,60,0,0,0,52,22,74,48,49,96,69,19,88,0,0,0,112,69,181,14,17,25,88,40,131,0,0,0,105,59,160
IARE504001,0,72,26,101,9,13,21,0,0,3,0,0,0,9,7,21,272,262,529,56,42,97,3,0,3,324,305,623,21,24,46,42,42,76,0,0,0,65,62,124,176,185,355,33,17,54,0,0,0,210,203,408,77,70,142,58,56,114,3,0,3,134,122,257
IARE504002,0,49,22,66,7,6,18,0,0,0,0,0,0,7,12,21,390,386,775,47,41,86,0,0,0,435,432,862,49,48,102,18,27,46,0,0,0,71,77,144,287,309,599,17,7,18,0,0,0,304,317,622,100,85,179,42,55,97,0,0,0,141,140,281
IARE504003,3,78,59,137,5,6,15,3,0,5,0,0,4,10,10,20,443,538,980,91,75,165,8,10,11,541,620,1162,43,50,95,47,53,104,3,9,11,97,113,210,362,434,795,42,28,73,3,6,6,403,466,871,81,97,176,93,101,198,6,5,10,182,204,386
IARE504004,0,32,18,48,3,8,8,0,0,0,0,0,0,3,8,7,143,125,271,28,12,36,0,0,0,171,140,312,6,14,26,4,3,7,0,0,0,15,22,30,110,90,202,14,9,21,0,0,0,127,98,224,28,32,67,20,9,30,0,0,0,49,47,96
IARE504005,0,3,5,12,0,3,6,0,0,0,0,0,0,0,3,6,150,166,311,5,3,14,0,0,0,154,171,327,3,10,12,5,9,9,0,0,0,13,17,26,117,146,270,4,0,3,0,0,0,124,153,272,9,14,26,6,12,17,0,0,0,22,23,47
IARE504006,0,398,199,600,5,16,24,8,18,28,0,0,0,12,36,51,454,545,1001,944,908,1846,14,17,39,1418,1469,2882,84,119,206,320,394,710,5,6,13,410,516,929,234,289,518,470,437,904,7,9,16,709,731,1447,246,312,561,710,794,1504,10,11,23,964,1120,2088
IARE504007,0,142,35,179,5,3,3,5,3,7,0,0,0,9,5,13,90,93,187,292,289,572,9,9,17,387,391,781,17,15,28,88,69,156,0,0,0,107,83,193,76,91,165,202,186,391,6,6,11,284,279,566,23,15,33,164,143,304,3,4,6,185,159,345
IARE504008,0,46,28,75,6,12,8,6,0,4,0,0,0,9,10,16,172,198,368,81,54,133,0,0,0,250,255,506,21,31,51,32,21,56,0,4,4,58,55,107,107,117,224,43,33,76,0,0,0,150,154,299,73,89,157,60,44,105,0,4,4,133,132,267
IARE505001,42,9124,5615,14742,20,36,54,571,788,1356,0,4,4,593,828,1416,1082,1118,2197,36616,37633,74258,147,163,307,37842,38914,76758,206,243,446,5269,5568,10831,27,15,40,5499,5822,11317,562,583,1146,23092,23308,46398,105,116,226,23762,24007,47769,560,621,1180,15739,17023,32762,47,43,86,16342,17690,34031
IARE505002,9,1515,790,2304,4,8,10,87,106,198,0,4,4,89,118,212,160,147,305,6102,6527,12626,23,34,61,6285,6703,12988,35,39,72,903,928,1827,3,0,4,943,974,1909,100,79,183,4087,4426,8518,18,24,47,4207,4536,8743,76,89,162,2495,2653,5150,11,11,19,2573,2753,5325
IARE505003,16,5486,2878,8370,9,8,18,299,440,736,0,0,0,306,448,757,375,397,778,26343,26952,53298,85,82,171,26813,27436,54250,110,114,224,4336,4507,8842,7,4,18,4457,4631,9084,203,200,404,16893,17415,34312,69,65,134,17171,17680,34848,241,269,512,12164,12534,24693,21,21,36,12422,12819,25241
IARE505004,21,3675,1874,5555,22,19,35,248,282,530,0,0,0,272,296,564,434,450,876,15609,15263,30871,68,71,141,16109,15780,31885,87,107,203,3337,3323,6661,6,9,16,3435,3441,6874,226,219,448,9034,8918,17949,42,44,86,9301,9185,18485,241,297,539,8959,8728,17682,22,24,53,9222,9055,18274
IARE505005,32,6347,3298,9649,6,24,28,475,523,999,0,0,0,486,546,1028,438,470,910,37483,38107,75588,120,121,239,38040,38698,76736,128,153,283,7054,6612,13664,13,13,23,7196,6775,13969,201,220,415,23087,24155,47241,87,80,163,23368,24455,47823,303,355,658,19173,18465,37639,42,41,86,19519,18868,38384
IARE505006,45,12043,6118,18161,17,29,45,622,853,1477,3,0,6,640,891,1531,878,865,1749,44959,46429,91385,154,151,300,45992,47446,93435,202,196,394,7676,8287,15963,17,27,42,7893,8512,16401,471,470,939,28863,29736,58598,114,109,223,29453,30310,59763,478,504,980,20575,22009,42586,44,58,104,21095,22571,43666
IARE505007,12,2553,1229,3779,3,5,9,157,187,347,0,0,4,167,198,364,215,222,439,14625,15681,30309,69,69,134,14913,15976,30886,58,82,137,2784,3181,5967,13,8,22,2853,3269,6125,121,130,254,9224,9881,19103,47,45,92,9387,10052,19447,127,152,278,7309,8195,15498,25,30,48,7451,8373,15825
IARE505008,46,11071,6116,17187,20,53,72,686,930,1619,0,7,7,707,986,1691,1143,1229,2374,50046,50553,100601,214,187,404,51400,51969,103374,213,265,476,6881,6874,13759,22,23,49,7120,7168,14282,664,692,1353,33845,33959,67808,153,117,267,34658,34768,69430,544,643,1182,19614,20122,39737,67,76,140,20222,20836,41063
IARE505009,69,16646,7468,24116,15,17,31,667,966,1633,0,0,0,676,989,1660,549,528,1079,66001,67925,133926,211,249,462,66759,68700,135463,125,131,256,8643,9051,17694,30,23,52,8799,9205,18003,325,312,637,47463,48713,96181,157,186,345,47946,49212,97163,288,275,567,23560,24780,48339,74,62,141,23918,25121,49042
IARE505010,29,6582,3260,9836,15,17,35,310,476,782,0,0,5,326,494,821,491,485,977,23756,24332,48090,87,86,168,24331,24901,49232,137,158,293,2892,3138,6035,12,9,23,3042,3312,6354,276,258,533,17372,17848,35219,65,70,132,17717,18168,35884,298,333,630,7883,8365,16251,24,16,41,8201,8715,16919
IARE505011,23,4665,2787,7451,17,25,48,333,439,775,0,0,0,352,474,825,591,589,1176,17075,17351,34427,65,73,135,17734,18008,35737,151,134,279,2745,2888,5632,14,11,16,2901,3029,5930,317,280,598,10611,10315,20923,45,56,104,10978,10646,21624,326,372,697,7709,8476,16182,21,11,32,8055,8859,16913
IARE505012,44,6815,3356,10172,8,13,18,401,589,985,0,0,0,409,598,1011,322,331,661,41589,45155,86740,152,159,308,42059,45645,87710,94,99,196,6458,7201,13658,20,21,39,6576,7318,13891,190,205,393,27944,30460,58400,106,125,232,28235,30790,59024,189,192,383,17879,19762,37637,53,47,100,18126,19995,38124
IARE505013,27,4785,2261,7047,9,15,24,204,315,516,0,0,0,218,326,543,411,407,822,15724,16229,31953,83,76,160,16222,16705,32930,79,73,147,1879,2032,3910,11,8,15,1966,2116,4078,240,234,476,11764,12099,23861,65,63,128,12066,12392,24463,190,188,371,5018,5425,10446,19,22,42,5223,5635,10859
IARE505014,28,5739,3108,8838,15,19,34,397,530,929,0,0,0,411,551,961,358,368,725,54683,56163,110848,171,163,334,55205,56696,111904,183,201,386,13847,14505,28354,30,35,63,14054,14743,28806,161,150,312,31202,32946,64145,109,112,227,31466,33215,64679,342,395,737,34498,35094,69596,76,68,143,34922,35556,70482
IARE505015,91,16447,9636,26087,32,52,91,863,1301,2159,4,3,5,896,1352,2252,1387,1434,2816,51054,53270,104325,251,231,478,52687,54927,107615,320,326,645,8466,9266,17734,40,40,79,8829,9636,18457,701,687,1387,33592,34531,68121,187,157,341,34476,35378,69852,791,851,1647,22050,24555,46603,73,85,156,22914,25493,48407
IARE505016,31,3987,2223,6209,11,13,22,161,263,421,0,0,0,172,277,446,331,328,661,12483,12887,25367,62,57,116,12875,13271,26148,65,98,161,1753,1912,3665,10,12,16,1821,2018,3843,177,185,370,8334,8268,16598,46,36,83,8556,8492,17047,150,195,346,4805,5429,10235,17,23,38,4979,5643,10620
IARE505017,24,4788,2680,7475,19,11,32,317,424,749,0,0,0,340,435,780,478,430,905,29276,30305,59576,81,111,193,29835,30839,60675,154,155,306,6955,6981,13938,15,21,38,7128,7158,14287,218,207,427,16919,17879,34801,55,65,120,17191,18151,35341,367,333,699,17582,17640,35227,33,49,84,17986,18026,36009
IARE505018,92,16452,8836,25282,25,35,56,860,1322,2183,0,4,7,890,1359,2243,1020,1073,2089,91760,97994,189749,337,377,711,93105,99443,192553,224,250,471,16075,17274,33348,41,33,75,16344,17557,33899,535,581,1112,57070,61404,118481,230,265,496,57830,62254,120089,568,656,1227,44783,48269,93051,113,101,213,45462,49036,94500
IARE505019,64,15734,9018,24746,50,55,100,919,1188,2107,0,5,4,965,1249,2216,1975,1967,3941,59310,60256,119562,232,238,470,61515,62457,123976,445,475,919,8787,9262,18047,34,32,67,9265,9764,19034,1041,1016,2053,38832,39008,77838,171,165,325,40040,40182,80221,1095,1170,2265,24646,26317,50954,78,74,161,25819,27558,53378
IARE505020,55,12369,6622,18993,18,27,46,653,1006,1658,5,0,5,675,1036,1713,758,837,1596,50063,51774,101839,162,173,337,50985,52781,103769,160,207,366,6210,6482,12696,21,26,42,6398,6721,13113,416,459,875,34733,35519,70255,118,124,242,35267,36098,71370,374,462,836,18102,19309,37413,44,49,95,18517,19821,38335
IARE505021,57,9573,5457,15026,22,32,53,506,773,1278,0,5,8,532,804,1334,724,772,1496,32398,34112,66513,130,134,266,33255,35018,68273,178,154,335,5666,6428,12093,25,32,57,5870,6611,12477,368,387,757,19935,20357,40288,95,100,199,20400,20844,41246,420,428,845,15601,17716,33319,49,54,102,16065,18196,34260
IARE506001,8,1450,361,1807,22,25,50,66,46,117,0,0,0,93,71,160,751,670,1425,2599,1396,3991,24,15,42,3374,2082,5459,134,135,262,962,665,1624,4,0,4,1093,796,1891,537,473,1009,1227,502,1727,20,8,25,1784,979,2763,269,257,528,2112,1406,3524,7,3,14,2393,1674,4067
IARE506002,7,1613,567,2181,11,13,23,56,67,120,0,0,0,57,86,145,336,295,627,3199,2496,5698,21,20,44,3555,2812,6364,107,80,192,1078,960,2039,11,14,24,1193,1062,2251,182,155,334,1569,1097,2666,14,14,28,1763,1267,3028,210,190,402,2428,2077,4498,16,25,34,2655,2293,4944
IARE506003,14,2280,856,3135,18,18,35,94,152,238,5,0,5,107,166,278,539,545,1091,4999,4430,9429,29,21,49,5567,4997,10569,185,188,372,1649,1600,3251,7,8,17,1833,1800,3635,250,243,495,2153,1792,3949,9,7,16,2416,2042,4454,385,395,780,3949,3779,7729,24,17,39,4358,4189,8543
IARE506004,12,2088,747,2837,31,53,85,50,116,165,0,0,0,81,170,250,1080,1075,2155,3962,3457,7423,31,34,61,5067,4567,9640,291,303,592,1431,1399,2834,8,4,12,1729,1705,3436,544,550,1089,1491,1157,2648,24,24,38,2051,1724,3780,665,691,1351,3465,3297,6767,14,16,28,4147,4005,8153
IARE506005,10,686,246,932,11,15,26,24,27,55,0,0,0,29,46,80,379,320,693,1355,1019,2370,13,9,20,1737,1345,3082,88,80,169,368,321,695,0,0,0,458,408,866,209,179,385,792,534,1327,9,4,12,1008,711,1721,210,191,401,803,714,1519,10,3,9,1026,909,1929
IARE507001,33,4258,2456,6717,16,24,39,285,409,697,0,3,3,300,441,735,536,528,1064,14174,15070,29249,96,104,206,14801,15711,30518,98,89,189,2484,2695,5177,14,16,30,2597,2796,5392,328,315,639,9459,9896,19356,77,82,157,9860,10291,20155,239,238,482,6383,7120,13506,31,34,70,6652,7398,14052
IARE507002,25,2447,1176,3618,5,6,13,113,215,326,0,0,0,121,222,342,377,379,762,8565,8341,16902,85,83,170,9032,8800,17832,87,72,161,1146,1138,2286,12,9,19,1245,1215,2467,232,244,479,6426,6157,12585,73,67,145,6735,6468,13205,197,167,362,2895,2929,5825,15,21,34,3110,3115,6225
IARE507003,24,3695,2304,5999,16,29,45,235,319,554,0,4,3,252,349,605,449,505,950,11439,12364,23801,57,77,134,11945,12945,24891,117,154,273,2365,2504,4869,16,17,28,2495,2682,5175,238,246,485,7651,8226,15876,41,60,102,7937,8532,16470,252,355,604,5457,6002,11461,29,29,58,5734,6390,12122
IARE507004,40,4659,2439,7091,11,11,20,223,357,580,3,0,4,237,371,602,311,302,616,14823,15844,30662,85,102,187,15222,16248,31468,76,66,139,2910,3176,6087,10,13,24,3000,3255,6248,182,168,350,9544,10009,19548,74,73,153,9797,10248,20048,158,167,330,7380,8163,15546,21,31,45,7556,8366,15923
IARE507005,5,758,332,1092,7,7,9,39,70,108,0,0,0,46,79,122,127,115,243,2900,2602,5499,33,28,57,3053,2747,5803,29,26,59,443,397,837,0,0,0,474,423,895,88,79,161,2112,1825,3934,30,17,43,2224,1923,4143,54,57,113,1063,990,2058,5,5,16,1124,1058,2182
IARE507006,17,3682,2129,5807,8,8,17,192,323,511,0,0,0,201,333,531,327,330,650,11095,11158,22254,56,75,125,11480,11554,23033,79,57,140,1697,1867,3568,0,6,12,1778,1934,3712,174,163,342,7529,7555,15085,41,57,94,7745,7778,15523,185,183,373,4509,4838,9351,18,21,32,4714,5042,9754
IARE507007,14,700,350,1045,3,5,11,45,54,94,0,0,0,43,58,106,144,162,303,2964,2674,5641,21,24,47,3133,2863,5997,19,31,49,408,375,787,0,5,5,426,412,842,96,101,191,2254,1985,4239,21,17,37,2370,2099,4468,50,85,134,933,888,1816,6,4,13,990,978,1963
IARE507008,5,589,311,894,3,9,8,37,49,87,0,0,0,43,56,96,154,159,321,2640,2354,4992,17,19,32,2811,2536,5350,21,20,43,387,368,753,0,0,0,414,385,794,112,125,239,1909,1659,3567,15,11,23,2032,1793,3822,45,48,88,919,906,1828,3,4,9,966,957,1925
IARE507009,78,11650,6388,18045,31,27,61,540,897,1438,0,4,6,568,928,1502,986,1061,2042,35387,38475,73862,242,244,481,36610,39777,76392,273,312,589,6321,7171,13494,32,32,61,6636,7515,14146,503,488,993,22793,24280,47069,166,177,337,23459,24951,48406,618,729,1350,16882,19308,36188,79,74,154,17573,20113,37689
IARE507010,23,2091,1142,3236,8,12,14,125,220,347,4,0,6,132,234,370,214,234,446,7806,7760,15567,76,62,140,8098,8059,16155,38,46,85,1155,1240,2394,5,15,15,1197,1304,2497,133,134,271,5518,5382,10900,61,39,103,5705,5558,11269,105,121,225,3042,3240,6285,22,31,56,3165,3394,6559
IARE507011,36,2228,920,3152,3,14,17,70,148,215,0,0,0,78,159,235,259,266,524,6703,6307,13005,88,59,149,7043,6636,13676,88,72,164,1081,1123,2205,25,15,36,1189,1215,2406,150,150,305,4915,4517,9433,69,46,118,5130,4718,9851,171,159,327,2542,2607,5145,34,29,57,2741,2788,5531
IARE507012,18,2016,1144,3160,3,14,16,101,176,279,0,0,0,106,192,298,220,208,424,6213,6355,12565,52,58,104,6475,6622,13100,61,50,109,1001,1067,2064,8,6,10,1064,1122,2189,122,93,217,4306,4361,8665,33,42,73,4457,4495,8951,130,139,268,2515,2695,5213,13,15,27,2662,2843,5505
IARE507013,13,1260,687,1944,6,12,12,82,123,203,0,0,0,86,136,220,260,281,544,4967,4798,9757,48,55,105,5278,5132,10409,67,72,137,738,782,1524,13,11,20,817,865,1680,166,175,349,3660,3455,7117,45,33,78,3871,3669,7541,123,138,264,1775,1845,3627,19,22,38,1926,2007,3936
IARE507014,4,621,338,958,7,7,11,46,73,118,0,0,0,49,86,125,212,216,426,2189,2323,4512,18,14,36,2421,2558,4974,50,54,95,369,415,781,4,3,6,418,468,888,110,129,235,1499,1538,3040,15,13,29,1616,1679,3297,105,113,219,924,1072,1994,7,3,8,1036,1187,2226
IARE507015,69,8751,4845,13597,21,32,48,415,744,1154,0,3,3,435,774,1209,707,738,1445,27474,28016,55486,193,200,390,28369,28955,57326,159,173,331,4705,5072,9776,22,23,45,4886,5272,10157,405,405,810,18924,18939,37862,142,148,289,19471,19490,38963,365,430,797,11534,12540,24071,52,57,111,11958,13026,24983
IARE508001,0,241,99,339,10,20,33,0,12,16,0,0,0,12,37,47,438,502,938,410,358,763,8,9,14,856,861,1717,70,69,137,152,160,311,0,0,0,216,227,442,284,300,583,230,181,408,9,4,11,518,486,1003,173,201,378,304,324,622,0,5,3,472,524,1000
IARE508003,5,43,29,72,3,8,16,0,0,0,0,0,0,3,8,16,475,460,935,22,14,39,0,0,5,493,482,975,39,49,91,15,11,26,0,0,0,54,64,116,360,364,724,4,6,14,0,0,5,373,374,743,100,116,213,24,26,48,0,0,0,124,137,262
IARE508005,0,74,50,121,8,11,17,0,3,9,0,0,0,4,14,25,490,548,1035,105,98,203,0,0,0,597,640,1238,60,59,120,70,81,154,0,0,0,134,144,279,394,405,795,52,32,83,0,0,0,445,440,886,106,126,228,115,146,266,0,0,0,226,273,493
IARE508006,0,77,36,116,10,15,25,0,0,0,0,0,0,10,19,28,311,298,606,77,72,156,5,5,7,391,373,764,10,9,22,41,39,83,0,0,0,55,48,104,239,233,476,48,34,79,3,5,3,293,265,555,37,32,66,71,77,149,0,0,0,108,111,216
IARE594994,7,662,286,946,6,6,15,33,45,74,0,0,0,39,49,85,90,65,159,543,370,912,15,4,16,650,443,1089,104,124,228,1625,1531,3156,12,7,24,1743,1662,3403,50,41,91,305,192,499,12,0,11,365,234,595,121,127,248,1770,1627,3393,12,12,22,1901,1766,3664
IARE597997,0,100,3,100,0,0,0,0,3,4,0,0,0,3,3,4,8,3,7,196,26,225,3,0,3,200,24,229,5,0,5,56,10,66,0,0,0,55,10,71,8,3,9,117,10,130,6,0,6,123,16,139,0,0,0,136,24,158,0,0,0,137,24,163
