IARE_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
IARE505015,259,3910,4171,53,447,500,14,67,79,4,14,17,0,3,4,71,531,600,518,12489,13008,447,16479,16925,206,10173,10378,13,709,721,1184,39850,41032,1626,46804,48428
IARE505016,54,837,889,4,106,109,0,29,32,0,4,4,0,0,0,4,139,145,119,2414,2538,116,3372,3486,51,2329,2382,6,230,232,292,8345,8638,384,9852,10232
IARE505017,171,6059,6231,34,510,543,5,48,58,0,13,13,0,0,0,39,571,614,213,11562,11774,114,10063,10170,29,2563,2584,11,432,437,367,24620,24965,610,32448,33058
IARE505018,406,14751,15159,70,1664,1736,15,223,242,0,45,46,0,11,16,85,1943,2040,478,32317,32796,289,31394,31683,52,8981,9030,12,1197,1206,831,73889,74715,1431,94486,95917
IARE505019,413,5672,6083,117,833,952,41,182,221,11,40,56,5,12,20,174,1067,1249,619,14213,14828,493,17661,18155,214,8490,8708,20,739,760,1346,41103,42451,2108,50278,52393
IARE505020,171,3896,4065,53,690,746,19,164,179,3,31,39,3,19,29,78,904,993,277,11200,11475,253,14454,14707,79,7457,7538,6,565,573,615,33676,34293,930,40427,41359
IARE505021,152,2416,2571,42,318,361,8,49,61,4,8,9,0,0,5,54,375,436,250,8263,8514,213,10701,10916,78,5379,5459,5,375,387,546,24718,25276,807,29092,29898
IARE506001,82,201,288,34,17,54,27,4,29,14,0,14,23,0,23,98,21,120,108,472,581,68,367,433,9,95,106,0,14,15,185,948,1135,390,1254,1644
IARE506002,81,445,522,19,48,59,5,12,14,7,4,6,0,3,6,31,67,85,86,711,797,72,779,847,26,176,197,0,21,26,184,1687,1867,302,2376,2681
IARE506003,118,623,744,24,76,96,3,3,10,7,0,6,0,0,0,34,79,112,174,1417,1596,159,1480,1638,38,575,611,5,51,54,376,3523,3899,577,4486,5062
IARE506004,243,726,963,57,76,133,19,12,31,6,5,11,7,0,7,89,93,182,313,1254,1569,254,1161,1415,51,346,397,10,43,47,628,2804,3428,1058,3814,4872
IARE506005,75,139,214,22,18,38,8,5,12,3,0,4,3,0,3,36,23,57,91,353,442,53,316,366,13,64,78,0,12,12,157,745,898,284,960,1244
IARE507001,145,1713,1863,31,171,199,4,25,30,3,4,10,0,0,0,38,200,239,182,3817,3999,136,5189,5321,54,2331,2382,0,268,274,372,11605,11976,597,14133,14733
IARE507002,85,860,950,21,107,129,6,18,25,3,7,6,0,0,0,30,132,160,125,2130,2256,95,3019,3114,37,1343,1380,11,248,251,268,6740,7001,418,8339,8752
IARE507003,144,1427,1575,30,150,182,7,29,35,0,6,9,0,0,0,37,185,226,162,3588,3744,121,4870,4985,50,1923,1968,6,142,149,339,10523,10846,570,12784,13356
IARE507004,74,1209,1286,19,133,145,6,23,29,4,4,6,0,7,7,29,167,187,107,3669,3771,91,5312,5404,34,3229,3263,7,260,265,239,12470,12703,361,14599,14957
IARE507005,26,267,292,13,16,23,0,4,0,0,0,0,0,0,0,13,20,23,47,686,732,43,1012,1057,20,406,425,0,84,85,110,2188,2299,156,2676,2833
IARE507006,52,740,792,19,95,120,4,27,29,0,4,6,0,4,6,23,130,161,104,2347,2455,96,3412,3508,52,2386,2439,0,195,199,252,8340,8601,368,9709,10077
IARE507007,39,264,303,11,23,29,0,4,4,0,0,0,0,0,0,11,27,33,43,628,671,37,997,1041,12,465,479,0,75,75,92,2165,2266,162,2685,2846
IARE507008,27,222,249,14,23,38,0,4,4,0,0,0,0,0,0,14,27,42,34,548,587,40,884,925,6,401,405,0,100,103,80,1933,2020,149,2401,2551
IARE507009,232,3091,3315,60,299,360,21,52,76,3,7,17,0,0,0,84,358,453,379,9665,10039,337,13384,13725,130,7889,8013,8,643,650,854,31581,32427,1263,36781,38048
IARE507010,62,891,952,21,88,113,0,22,18,0,5,5,0,0,6,21,115,142,94,2111,2202,51,2787,2838,14,1155,1164,6,191,199,165,6244,6403,259,7615,7879
IARE507011,45,510,555,19,84,102,4,8,12,0,9,12,0,0,0,23,101,126,82,1338,1416,70,2084,2158,24,1382,1409,4,221,230,180,5025,5213,289,6031,6321
IARE507012,45,578,628,16,78,91,3,17,20,0,0,0,0,0,0,19,95,111,72,1595,1667,66,1934,2003,25,1140,1168,0,130,129,163,4799,4967,253,5862,6116
IARE507013,77,526,603,16,77,94,8,13,21,0,3,3,4,0,4,28,93,122,97,1298,1395,85,1734,1817,20,719,737,0,149,155,202,3900,4104,324,4817,5142
IARE507014,46,223,263,19,39,59,9,7,17,0,0,0,0,0,0,28,46,76,56,639,692,30,912,945,9,328,339,7,33,39,102,1912,2015,195,2288,2484
IARE507015,174,2447,2616,31,311,342,9,60,74,0,16,13,0,3,8,40,390,437,245,6776,7019,246,9049,9296,76,4976,5060,7,519,526,574,21320,21901,870,25609,26477
IARE508001,78,83,162,34,4,46,11,0,10,11,0,10,0,0,0,56,4,66,85,133,216,60,137,201,14,77,94,6,9,11,165,356,522,335,481,819
IARE508003,62,3,64,29,0,35,18,0,18,11,0,11,3,0,3,61,0,67,65,11,68,52,11,63,12,0,9,5,0,5,134,22,145,251,31,278
IARE508005,68,25,88,55,3,61,22,0,22,9,0,9,7,0,7,93,3,99,69,84,154,61,30,93,12,9,19,0,0,3,142,123,269,316,156,469
IARE508006,41,24,57,13,7,18,8,0,12,4,0,4,4,0,4,29,7,38,49,21,77,31,21,54,12,6,19,0,4,4,92,52,154,171,98,274
IARE594994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE597997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
