IARE_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
IARE505007,290,305,591,10,7,18,6,12,11,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744
IARE505008,1713,1616,3332,29,16,45,36,32,71,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376
IARE505009,650,633,1286,34,24,59,23,21,41,706,681,1386,75882,78221,154104,2613,1904,4517,79198,80810,160003
IARE505010,639,670,1306,12,10,23,14,8,26,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762
IARE505011,1198,719,1916,21,16,36,50,20,62,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867
IARE505012,420,450,872,9,10,22,13,16,30,445,481,927,48779,53262,102037,1693,1469,3163,50918,55210,106127
IARE505013,1047,486,1534,16,3,17,36,0,36,1101,491,1594,19189,18636,37824,980,726,1708,21271,19854,41121
IARE505014,532,573,1110,21,15,32,9,17,28,564,603,1164,69685,71792,141478,4063,3228,7291,74310,75627,149933
IARE505015,1647,1726,3376,37,47,84,62,57,122,1750,1830,3579,60816,63812,124625,3906,2787,6702,66476,68430,134903
IARE505016,442,419,864,13,14,26,18,14,36,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242
IARE505017,632,599,1229,19,18,27,22,11,34,670,626,1297,37033,38302,75342,1952,1703,3650,39652,40640,80288
IARE505018,1242,1335,2576,36,28,65,27,30,62,1304,1395,2699,110079,117588,227664,5366,4748,10121,116754,123727,240484
IARE505019,2394,2529,4930,70,60,123,56,63,123,2520,2649,5170,69633,71221,140852,3601,2789,6389,75752,76665,152414
IARE505020,923,1033,1950,26,30,58,29,24,50,973,1086,2061,57523,59550,117069,2246,1655,3901,60745,62290,123036
IARE505021,879,914,1793,31,32,60,23,29,55,935,971,1910,38905,41385,80286,2242,1664,3903,42079,44020,86103
IARE506001,878,799,1681,20,19,41,19,15,31,916,826,1746,3627,2117,5738,1712,560,2275,6256,3504,9760
IARE506002,433,367,796,20,16,37,11,21,27,460,400,862,4407,3567,7978,1036,607,1643,5907,4576,10482
IARE506003,667,700,1365,37,32,65,56,41,96,755,773,1530,6820,6167,12984,1405,1096,2500,8976,8036,17013
IARE506004,1278,1342,2618,75,54,128,81,84,162,1435,1476,2916,5554,5008,10559,1243,965,2207,8229,7449,15684
IARE506005,595,413,1014,29,14,43,15,3,20,637,427,1070,1792,1376,3164,629,328,956,3058,2130,5187
IARE507001,786,654,1433,9,13,21,16,7,18,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763
IARE507002,490,465,956,9,10,13,4,4,5,499,478,976,10307,9707,20015,1300,1116,2415,12111,11302,23409
IARE507003,679,679,1354,5,4,17,18,16,31,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987
IARE507004,404,372,765,3,5,15,9,3,16,418,383,797,18108,19456,37565,1170,1011,2181,19696,20852,40544
IARE507005,177,155,333,0,0,0,0,0,3,175,160,337,3440,3090,6531,609,425,1029,4227,3670,7898
IARE507006,401,399,798,3,4,10,7,5,7,410,408,815,13097,13304,26403,775,576,1354,14285,14286,28567
IARE507007,168,206,375,0,0,0,4,6,12,176,214,385,3458,3126,6589,417,368,782,4045,3708,7752
IARE507008,187,203,386,5,3,11,0,0,3,192,206,393,3118,2787,5912,308,302,608,3616,3300,6912
IARE507009,1282,1370,2654,30,31,66,22,31,55,1341,1431,2771,42773,46793,89565,2830,2216,5040,46942,50439,97378
IARE507010,260,272,530,6,18,23,0,3,3,269,288,557,9256,9244,18500,904,826,1736,10432,10360,20795
IARE507011,356,358,714,0,0,4,4,4,10,366,367,732,7993,7622,15623,925,681,1606,9282,8670,17957
IARE507012,285,263,550,4,3,6,0,0,3,292,265,558,7444,7673,15112,635,560,1195,8373,8500,16866
IARE507013,348,365,716,3,6,14,3,5,10,357,377,731,5905,5732,11633,704,664,1372,6974,6770,13741
IARE507014,269,278,549,0,0,6,5,5,8,273,288,557,2625,2812,5441,353,327,679,3254,3424,6679
IARE507015,875,903,1776,15,13,31,18,24,46,908,947,1849,32916,33834,66748,2577,2136,4721,36404,36920,73316
IARE508001,536,573,1109,5,5,9,11,23,29,551,604,1149,576,528,1106,345,408,757,1472,1540,3009
IARE508003,512,529,1039,0,0,0,6,8,12,522,530,1049,38,28,64,9,4,16,569,566,1133
IARE508005,569,605,1179,0,0,0,0,6,10,569,617,1190,185,180,371,54,67,122,812,869,1678
IARE508006,492,342,829,0,0,0,8,4,11,502,346,845,132,122,257,65,50,123,700,520,1221
IARE594994,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
IARE597997,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
