IARE_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE505002,0,88,88,0,42,42,8,71,81,3,172,178,12,405,416,9,273,279,11,343,354,8,346,355,16,407,420,15,391,402,13,321,330,7,303,309,22,723,739,17,461,473,16,405,421,18,948,967,13,377,388,5,91,94,176,6164,6350
IARE505003,12,484,495,4,172,177,22,333,350,16,634,650,24,1605,1634,25,1092,1115,39,1470,1508,26,1531,1558,32,1752,1785,37,1867,1898,35,1439,1480,32,1443,1477,47,3000,3045,34,1805,1842,28,1825,1854,65,4241,4311,46,1630,1679,13,354,366,533,26684,27221
IARE505004,19,311,323,7,101,105,18,217,238,24,474,503,28,1018,1045,27,600,627,30,795,830,23,968,992,34,1175,1207,41,1268,1308,30,1074,1106,29,922,957,56,2028,2080,35,1086,1118,18,1008,1027,72,2065,2132,42,1111,1153,19,238,255,549,16465,17018
IARE505005,14,605,620,0,251,250,21,418,432,23,683,708,36,1606,1639,29,1145,1166,37,1610,1652,35,1732,1765,47,2172,2219,40,2230,2271,19,1848,1863,29,1762,1793,51,3738,3784,36,2511,2548,24,2294,2323,74,5299,5376,61,2437,2493,16,347,366,589,32680,33271
IARE505006,21,599,616,7,224,240,18,454,475,28,799,823,46,1970,2015,44,1319,1366,40,1963,2001,50,2063,2112,69,2512,2583,72,2624,2692,56,2335,2391,48,2262,2310,112,5108,5221,74,3497,3569,48,3270,3316,157,7152,7312,97,3136,3230,23,503,528,1005,41798,42804
IARE505007,6,276,279,5,102,117,21,247,269,20,430,445,20,938,951,13,619,631,13,753,770,24,742,766,9,884,896,25,885,909,10,703,711,14,748,758,30,1548,1577,12,858,871,17,1050,1063,54,3658,3710,27,1086,1117,14,204,214,325,15736,16062
IARE505008,23,727,753,15,212,226,27,453,486,39,898,933,46,2150,2197,71,1631,1703,93,2456,2547,76,2505,2577,101,3044,3150,104,3131,3231,70,2558,2628,60,2439,2497,155,4954,5108,98,3232,3330,55,2595,2649,120,4756,4879,137,3037,3177,28,584,609,1309,41369,42675
IARE505009,7,770,780,0,344,344,9,480,491,9,882,891,19,2324,2348,20,1826,1841,20,2662,2681,21,2709,2730,43,3281,3327,47,3290,3337,31,2689,2721,27,2636,2670,88,5914,5996,62,4448,4510,66,4507,4576,147,12873,13022,64,4525,4588,11,653,670,702,56819,57522
IARE505010,10,314,323,0,152,152,8,208,218,11,374,388,24,976,995,26,783,807,28,1103,1133,22,1086,1112,36,1403,1441,45,1396,1437,28,1070,1101,35,1060,1098,62,2336,2399,54,1640,1688,40,1449,1488,87,3360,3451,57,1645,1710,7,300,307,584,20662,21248
IARE505011,9,187,193,13,64,75,12,158,175,21,319,340,24,721,749,33,577,612,44,747,794,39,873,913,52,1027,1081,49,1100,1150,44,1018,1064,33,950,985,61,1880,1945,41,1242,1286,39,988,1024,70,1550,1615,56,1385,1445,8,206,218,657,15009,15666
IARE505012,10,665,675,8,335,339,14,474,485,11,733,746,30,1951,1976,20,1457,1473,28,1819,1848,11,1873,1885,28,2200,2235,21,2230,2253,26,1760,1786,16,1756,1775,40,3776,3811,41,2470,2511,27,2728,2756,108,9876,9988,34,2422,2455,6,455,461,473,38986,39453
IARE505013,9,199,201,5,71,78,7,184,193,4,249,258,19,756,767,13,510,525,22,752,781,16,736,755,28,862,884,27,892,915,25,618,633,15,716,730,41,1432,1474,38,1010,1046,21,995,1018,79,2376,2461,62,1313,1376,9,223,230,425,13892,14325
IARE505014,12,1140,1159,3,397,403,17,673,687,19,1199,1226,17,2168,2187,21,1956,1971,18,1972,1991,23,2373,2396,41,3067,3107,43,3161,3203,32,2771,2806,25,2832,2855,77,6020,6094,31,3032,3065,38,3599,3637,136,18377,18507,34,3536,3565,5,591,597,587,58863,59446
IARE505015,16,666,683,3,239,247,23,487,504,33,959,994,52,2441,2496,81,2066,2145,89,2707,2797,93,2700,2793,100,3004,3103,105,3014,3119,102,2688,2786,65,2549,2620,207,5332,5538,119,3443,3563,100,3114,3221,221,5955,6177,187,4705,4893,33,728,761,1626,46804,48428
IARE505016,3,114,116,0,45,45,0,81,81,6,109,112,0,271,270,9,241,250,16,420,436,14,412,420,27,542,567,28,630,658,22,575,594,22,638,667,51,1350,1400,39,944,980,36,763,797,51,1516,1570,52,1079,1134,4,127,135,384,9852,10232
IARE505017,13,666,675,0,232,237,16,440,461,25,767,795,28,1596,1621,43,1465,1506,23,1388,1412,36,1573,1615,26,1929,1961,39,2054,2092,38,1773,1810,30,1601,1632,59,3567,3630,33,1954,1980,34,2081,2115,94,7068,7165,41,1908,1947,23,379,401,610,32448,33058
IARE505018,34,1580,1621,12,600,620,36,1360,1396,57,2206,2259,83,5396,5477,53,3925,3979,78,4670,4751,98,5038,5138,97,6167,6259,106,6370,6468,67,5216,5288,47,4872,4918,126,10170,10290,80,5734,5816,72,5911,5982,227,18471,18697,95,5579,5673,43,1235,1279,1431,94486,95917
IARE505019,46,736,777,11,266,280,30,476,509,62,863,927,78,2096,2169,73,1613,1687,106,2468,2576,110,2600,2707,166,3469,3635,125,3722,3851,130,3078,3208,117,3020,3136,244,6524,6772,153,4368,4522,120,3381,3506,277,6557,6830,208,4336,4549,48,700,744,2108,50278,52393
IARE505020,14,574,595,8,176,185,17,364,389,19,658,681,50,1721,1762,40,1352,1392,50,1996,2044,52,2101,2153,44,2491,2536,71,2763,2830,54,2381,2433,54,2335,2386,103,4957,5067,67,3734,3800,64,2988,3050,124,5929,6051,84,3313,3396,14,596,613,930,40427,41359
IARE505021,14,401,419,4,124,129,16,264,278,15,507,520,32,1183,1213,39,1028,1071,46,1468,1518,58,1601,1658,47,1861,1911,50,2039,2091,45,1675,1725,35,1660,1701,95,3597,3694,65,2348,2409,40,2038,2077,95,3926,4023,98,2975,3074,9,396,403,807,29092,29898
IARE506001,3,11,14,0,4,4,8,3,14,10,10,18,12,10,24,11,6,19,32,17,47,30,22,54,34,39,70,27,64,93,28,63,87,20,81,98,27,164,190,23,105,135,29,123,151,55,403,452,32,104,136,9,24,36,390,1254,1644
IARE506002,8,24,32,0,10,10,7,19,25,8,19,28,12,55,67,10,42,49,12,58,69,12,67,74,11,92,102,7,88,97,9,83,94,15,125,138,35,367,406,20,180,194,26,244,268,69,580,642,28,281,314,9,55,63,302,2376,2681
IARE506003,12,20,28,3,3,11,7,14,20,13,23,29,14,33,49,11,27,39,5,42,50,22,51,73,27,90,116,15,134,152,21,186,208,32,238,271,59,589,644,43,308,346,50,497,546,159,1772,1932,65,407,469,20,41,57,577,4486,5062
IARE506004,25,32,57,4,7,15,22,15,41,39,26,66,39,24,66,28,33,60,52,38,86,38,54,88,46,99,143,45,124,171,36,181,215,45,197,249,115,542,654,59,279,337,86,443,528,202,1336,1544,120,315,429,51,66,117,1058,3814,4872
IARE506005,4,14,15,0,8,5,7,3,14,12,6,22,16,4,20,14,13,25,23,14,33,25,14,41,22,28,48,19,28,51,9,33,46,14,26,40,24,101,128,13,61,76,6,104,115,51,396,446,6,90,106,6,12,18,284,960,1244
IARE507001,10,221,231,6,122,127,13,189,205,32,370,405,40,1048,1085,34,841,876,37,1085,1133,46,993,1037,50,1118,1172,48,1079,1121,26,806,838,25,755,781,49,1476,1523,31,926,959,23,692,721,55,1177,1230,54,940,990,11,282,292,597,14133,14733
IARE507002,12,154,166,0,63,59,9,140,145,16,223,239,17,747,764,30,429,457,28,668,699,27,618,648,31,614,640,31,581,609,26,412,434,15,405,423,50,794,843,23,466,488,20,352,375,24,710,727,30,768,803,25,209,228,418,8339,8752
IARE507003,13,193,203,4,76,78,23,192,215,12,426,437,30,1020,1053,42,752,787,40,990,1026,39,942,976,51,989,1039,44,931,970,50,703,746,33,729,769,60,1219,1278,24,726,751,22,654,673,45,1182,1224,43,825,870,11,233,241,570,12784,13356
IARE507004,3,209,211,3,93,98,11,182,189,10,307,317,19,893,908,15,745,758,20,1079,1099,22,935,960,37,1131,1162,34,1059,1096,25,733,760,10,712,727,40,1463,1500,20,987,1001,21,773,798,33,1627,1663,45,1396,1438,10,276,282,361,14599,14957
IARE507005,4,47,57,0,27,27,6,40,40,3,72,79,13,218,228,7,115,122,9,185,198,8,181,184,21,210,230,8,220,230,9,146,150,7,143,151,18,274,285,3,149,156,3,124,129,14,235,248,12,232,249,12,63,71,156,2676,2833
IARE507006,3,135,137,0,55,54,0,101,105,11,202,208,17,559,571,20,352,370,14,606,622,17,526,548,25,614,646,29,610,640,19,463,488,17,536,555,37,1149,1190,32,759,790,24,681,703,41,1269,1312,44,934,978,5,150,154,368,9709,10077
IARE507007,4,54,54,3,15,20,3,44,44,10,56,66,15,194,215,14,104,114,15,183,198,13,191,202,11,210,220,10,193,205,8,147,153,7,147,155,10,272,274,4,157,166,6,132,136,0,250,248,28,247,273,12,94,98,162,2685,2846
IARE507008,0,41,42,0,18,27,3,47,52,5,47,55,16,132,144,3,97,104,10,158,165,12,154,171,10,206,218,12,194,211,7,108,114,8,137,145,8,265,278,5,129,136,10,129,140,5,253,256,8,201,216,15,67,84,149,2401,2551
IARE507009,26,728,756,7,267,270,22,533,554,28,1033,1065,61,2856,2917,84,2213,2299,83,3101,3183,91,2679,2770,89,2671,2767,78,2392,2473,72,1640,1717,57,1613,1676,128,3315,3442,81,1965,2044,52,1839,1891,129,3828,3951,150,3332,3483,28,755,789,1263,36781,38048
IARE507010,5,119,122,0,62,68,6,161,163,7,220,225,12,690,703,17,443,461,20,635,658,22,622,649,29,637,665,24,543,564,19,376,390,12,388,399,33,647,672,15,447,457,13,302,314,13,517,532,19,636,662,3,173,183,259,7615,7879
IARE507011,10,124,133,0,43,45,8,87,96,4,155,158,15,389,405,3,219,224,21,414,432,22,388,411,18,358,378,19,399,414,20,284,307,14,335,346,28,576,602,20,389,406,18,353,368,22,702,727,39,674,714,13,143,153,289,6031,6321
IARE507012,3,111,115,0,63,63,8,92,98,4,165,165,15,423,442,11,301,306,14,485,496,17,377,389,16,388,404,27,332,358,8,249,258,12,277,293,15,554,570,12,345,358,28,307,334,34,612,643,26,638,662,3,162,164,253,5862,6116
IARE507013,10,66,73,3,40,45,13,72,82,7,120,126,30,384,416,24,240,258,24,350,378,30,339,365,35,384,426,19,354,371,19,274,298,12,272,281,21,489,515,14,283,304,13,223,239,14,402,412,21,395,420,13,127,139,324,4817,5142
IARE507014,0,33,39,4,16,19,4,37,40,6,70,79,16,217,232,14,130,147,16,182,192,17,156,173,20,186,202,14,172,182,11,122,130,12,112,119,11,238,250,7,142,153,11,100,104,7,163,168,15,157,173,12,61,74,195,2288,2484
IARE507015,9,393,396,11,202,211,11,302,315,21,586,601,50,1659,1708,35,1064,1098,43,1769,1820,53,1574,1630,67,1792,1853,62,1805,1870,50,1332,1386,52,1309,1359,92,2768,2862,74,1839,1912,42,1569,1607,92,2757,2848,99,2437,2539,15,442,460,870,25609,26477
IARE508001,4,3,9,0,0,0,15,3,19,10,0,12,30,16,48,9,13,17,29,9,33,17,14,32,15,31,47,21,48,65,25,48,70,22,32,56,30,73,106,12,30,39,24,38,60,21,67,86,44,45,89,7,15,18,335,481,819
IARE508003,0,0,0,0,0,0,20,0,20,15,0,15,46,0,46,21,0,21,39,0,39,23,0,23,21,0,23,16,0,18,10,5,17,8,10,15,3,8,8,3,0,0,3,0,3,0,5,4,18,3,15,10,0,10,251,31,278
IARE508005,0,0,0,5,0,5,21,0,21,22,0,22,28,0,28,13,0,13,35,0,40,39,5,48,32,3,37,20,9,32,5,17,18,14,17,28,14,38,48,7,13,19,4,18,26,6,20,23,37,11,43,8,0,9,316,156,469
IARE508006,0,4,5,5,3,5,13,0,17,7,6,12,18,5,23,5,0,5,15,4,16,20,3,21,13,13,26,10,8,19,3,10,13,6,4,10,8,5,16,0,7,8,3,5,6,0,13,13,13,3,22,27,5,30,171,98,274
IARE594994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE597997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
